metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;62.79$\pm$2.2;"[0.6043956  0.61978022 0.65274725 0.62417582 0.60879121 0.63516484
 0.62637363 0.67472527 0.63516484 0.5978022 ]";81.69$\pm$2.32;"[0.84175824 0.80879121 0.82417582 0.8021978  0.84835165 0.8043956
 0.77802198 0.83296703 0.84175824 0.78681319]";76.46$\pm$2.65;"[0.7956044  0.74065934 0.8        0.76703297 0.79340659 0.76483516
 0.74285714 0.78021978 0.71648352 0.74505495]";71.52$\pm$3.98;"[0.77142857 0.67472527 0.73406593 0.72307692 0.72967033 0.74285714
 0.72967033 0.7010989  0.72527473 0.61978022]";74.42$\pm$4.82;"[0.7956044  0.70989011 0.78241758 0.74505495 0.78461538 0.65274725
 0.74945055 0.77802198 0.77582418 0.66813187]";74.53$\pm$2.94;"[0.7978022  0.72307692 0.79120879 0.76703297 0.73626374 0.72747253
 0.72307692 0.73406593 0.74945055 0.7032967 ]";55.34$\pm$2.16;"[0.55604396 0.53406593 0.54505495 0.54065934 0.58021978 0.56483516
 0.55604396 0.58461538 0.56483516 0.50769231]";80.15$\pm$1.91;"[0.82637363 0.81098901 0.8021978  0.7956044  0.81098901 0.8043956
 0.76483516 0.81098901 0.81978022 0.76923077]";63.67$\pm$5.43;"[0.58461538 0.71428571 0.66593407 0.64835165 0.61318681 0.67472527
 0.63736264 0.68351648 0.63296703 0.51208791]";92.44$\pm$2.16;"[0.94725275 0.93186813 0.94725275 0.94725275 0.92087912 0.92527473
 0.9010989  0.92527473 0.92307692 0.87472527]";83.01$\pm$2.95;"[0.87252747 0.83736264 0.85714286 0.82197802 0.80659341 0.84835165
 0.82857143 0.85054945 0.81538462 0.76263736]";75.56$\pm$4.35;"[0.78681319 0.80659341 0.84175824 0.74725275 0.72967033 0.75824176
 0.7032967  0.74725275 0.74505495 0.69010989]";72.02$\pm$3.73;"[0.74065934 0.74505495 0.74285714 0.75604396 0.73846154 0.64395604
 0.71208791 0.75824176 0.66593407 0.6989011 ]";67.69$\pm$4.59;"[0.74065934 0.68351648 0.71648352 0.69010989 0.7010989  0.64395604
 0.63956044 0.68571429 0.6989011  0.56923077]";78.75$\pm$2.64;"[0.81098901 0.76483516 0.82417582 0.77802198 0.82857143 0.73846154
 0.76923077 0.79340659 0.78461538 0.78241758]";82.48$\pm$3.15;"[0.84615385 0.83736264 0.87032967 0.81758242 0.84835165 0.79120879
 0.8043956  0.82417582 0.85054945 0.75824176]";55.34$\pm$2.16;"[0.55604396 0.53406593 0.54505495 0.54065934 0.58021978 0.56483516
 0.55604396 0.58461538 0.56483516 0.50769231]";77.47$\pm$3.44;"[0.7956044  0.78241758 0.83296703 0.8021978  0.76923077 0.75384615
 0.70989011 0.78901099 0.78461538 0.72747253]";81.3$\pm$2.91;"[0.78021978 0.78461538 0.86813187 0.86593407 0.81318681 0.8021978
 0.8021978  0.80659341 0.81538462 0.79120879]";90.48$\pm$1.87;"[0.92307692 0.90989011 0.92307692 0.92307692 0.91208791 0.90989011
 0.88791209 0.91208791 0.88131868 0.86593407]";55.34$\pm$2.16;"[0.55604396 0.53406593 0.54505495 0.54065934 0.58021978 0.56483516
 0.55604396 0.58461538 0.56483516 0.50769231]";78.51$\pm$7.65;"[0.8021978  0.85054945 0.81318681 0.85714286 0.83516484 0.61538462
 0.69450549 0.86373626 0.73846154 0.78021978]"
Hits@50;75.01$\pm$3.03;"[0.74725275 0.73406593 0.75604396 0.76263736 0.72307692 0.73406593
 0.76483516 0.77142857 0.81318681 0.69450549]";89.27$\pm$1.0;"[0.89450549 0.87692308 0.9032967  0.87472527 0.89230769 0.9032967
 0.88571429 0.9010989  0.9010989  0.89450549]";82.48$\pm$2.12;"[0.82637363 0.81318681 0.83736264 0.83516484 0.84835165 0.78681319
 0.82197802 0.86373626 0.80659341 0.80879121]";83.23$\pm$3.03;"[0.89230769 0.83516484 0.82417582 0.83516484 0.86813187 0.82857143
 0.81098901 0.82417582 0.83296703 0.77142857]";85.78$\pm$2.65;"[0.87692308 0.83736264 0.86373626 0.89010989 0.87912088 0.85274725
 0.84175824 0.88571429 0.85274725 0.7978022 ]";82.99$\pm$1.94;"[0.86593407 0.82857143 0.84835165 0.84835165 0.83736264 0.83296703
 0.81098901 0.81318681 0.80659341 0.80659341]";58.88$\pm$1.95;"[0.6        0.56043956 0.57362637 0.56703297 0.6021978  0.59120879
 0.61098901 0.62197802 0.59120879 0.56923077]";88.64$\pm$1.6;"[0.8989011  0.88131868 0.86813187 0.90769231 0.89230769 0.90549451
 0.86593407 0.87912088 0.86373626 0.9010989 ]";81.67$\pm$2.64;"[0.84395604 0.85274725 0.83736264 0.80659341 0.80659341 0.7956044
 0.83956044 0.79340659 0.82637363 0.76483516]";96.75$\pm$0.84;"[0.97362637 0.95824176 0.97582418 0.97142857 0.98461538 0.96263736
 0.95604396 0.96703297 0.96263736 0.96263736]";93.56$\pm$1.03;"[0.92087912 0.93626374 0.93406593 0.94285714 0.93406593 0.92527473
 0.92527473 0.95824176 0.94285714 0.93626374]";89.34$\pm$2.39;"[0.91208791 0.93406593 0.8989011  0.9010989  0.87912088 0.87472527
 0.86813187 0.87692308 0.92747253 0.86153846]";86.62$\pm$2.19;"[0.90769231 0.86593407 0.87032967 0.87032967 0.86813187 0.85274725
 0.83076923 0.88571429 0.87692308 0.83296703]";84.95$\pm$2.85;"[0.85494505 0.8989011  0.84835165 0.88571429 0.84615385 0.83516484
 0.8        0.86373626 0.85054945 0.81098901]";88.44$\pm$1.02;"[0.9010989  0.87252747 0.87912088 0.89010989 0.8989011  0.87912088
 0.88351648 0.87692308 0.89230769 0.87032967]";90.64$\pm$1.58;"[0.92967033 0.91648352 0.91208791 0.8989011  0.91648352 0.89450549
 0.8989011  0.9010989  0.92307692 0.87252747]";58.88$\pm$1.95;"[0.6        0.56043956 0.57362637 0.56703297 0.6021978  0.59120879
 0.61098901 0.62197802 0.59120879 0.56923077]";88.46$\pm$1.71;"[0.88791209 0.87692308 0.89450549 0.89450549 0.91428571 0.87472527
 0.84835165 0.88791209 0.8967033  0.87032967]";90.84$\pm$1.92;"[0.91648352 0.90549451 0.93186813 0.92527473 0.93406593 0.87692308
 0.88571429 0.89010989 0.92087912 0.8967033 ]";95.69$\pm$0.96;"[0.96483516 0.94285714 0.95384615 0.97142857 0.96923077 0.95824176
 0.94065934 0.95384615 0.96043956 0.95384615]";58.88$\pm$1.95;"[0.6        0.56043956 0.57362637 0.56703297 0.6021978  0.59120879
 0.61098901 0.62197802 0.59120879 0.56923077]";93.82$\pm$1.32;"[0.92527473 0.94505495 0.93626374 0.94285714 0.92747253 0.93846154
 0.93186813 0.96703297 0.91868132 0.94945055]"
Hits@100;85.49$\pm$2.47;"[0.85274725 0.80879121 0.88571429 0.86373626 0.84615385 0.85274725
 0.86373626 0.85054945 0.8989011  0.82637363]";94.09$\pm$1.16;"[0.92967033 0.92527473 0.95824176 0.93406593 0.94065934 0.93406593
 0.93846154 0.94065934 0.96483516 0.94285714]";87.05$\pm$1.95;"[0.87032967 0.87472527 0.88351648 0.87032967 0.89010989 0.83516484
 0.87472527 0.9032967  0.84175824 0.86153846]";90.15$\pm$1.29;"[0.91868132 0.90989011 0.88791209 0.8967033  0.91428571 0.89230769
 0.9032967  0.91868132 0.89450549 0.87912088]";93.63$\pm$1.52;"[0.95164835 0.94505495 0.92747253 0.95164835 0.94505495 0.95164835
 0.92087912 0.94285714 0.90989011 0.91648352]";88.53$\pm$1.84;"[0.8989011  0.85934066 0.89230769 0.91648352 0.9032967  0.88791209
 0.87252747 0.89010989 0.85494505 0.87692308]";63.96$\pm$1.29;"[0.63296703 0.62417582 0.62637363 0.62417582 0.63956044 0.65274725
 0.65934066 0.65934066 0.63736264 0.63956044]";93.25$\pm$1.51;"[0.94505495 0.91428571 0.90989011 0.94725275 0.96043956 0.93406593
 0.91868132 0.92527473 0.93186813 0.93846154]";91.65$\pm$1.04;"[0.92967033 0.92747253 0.9032967  0.91868132 0.92527473 0.90769231
 0.91868132 0.8967033  0.92307692 0.91428571]";98.09$\pm$0.77;"[0.98241758 0.98241758 0.99120879 0.98021978 0.98901099 0.98241758
 0.97582418 0.98901099 0.96703297 0.96923077]";97.45$\pm$0.79;"[0.97142857 0.96923077 0.96703297 0.97142857 0.98681319 0.98021978
 0.96923077 0.98901099 0.97582418 0.96483516]";96.0$\pm$1.08;"[0.95604396 0.96923077 0.96263736 0.96703297 0.96263736 0.97142857
 0.93626374 0.95604396 0.97142857 0.94725275]";93.76$\pm$0.98;"[0.95824176 0.94945055 0.93846154 0.92967033 0.94285714 0.93406593
 0.92527473 0.93846154 0.93186813 0.92747253]";92.59$\pm$1.06;"[0.92747253 0.93406593 0.92307692 0.92967033 0.94285714 0.92747253
 0.9010989  0.93186813 0.91648352 0.92527473]";93.58$\pm$0.73;"[0.94725275 0.93186813 0.92747253 0.92747253 0.94505495 0.93406593
 0.92747253 0.94505495 0.93846154 0.93406593]";95.32$\pm$0.88;"[0.96043956 0.96483516 0.94065934 0.95384615 0.94725275 0.94945055
 0.94065934 0.94945055 0.96703297 0.95824176]";63.96$\pm$1.29;"[0.63296703 0.62417582 0.62637363 0.62417582 0.63956044 0.65274725
 0.65934066 0.65934066 0.63736264 0.63956044]";94.26$\pm$1.53;"[0.93846154 0.92967033 0.94065934 0.96263736 0.95824176 0.95384615
 0.90769231 0.95384615 0.94505495 0.93626374]";96.09$\pm$0.83;"[0.96263736 0.96923077 0.95604396 0.96263736 0.97582418 0.96923077
 0.94945055 0.96043956 0.95164835 0.95164835]";98.02$\pm$0.63;"[0.98461538 0.98241758 0.97802198 0.98241758 0.98681319 0.98021978
 0.96263736 0.98241758 0.98021978 0.98241758]";63.96$\pm$1.29;"[0.63296703 0.62417582 0.62637363 0.62417582 0.63956044 0.65274725
 0.65934066 0.65934066 0.63736264 0.63956044]";96.22$\pm$1.18;"[0.96263736 0.94505495 0.96263736 0.96483516 0.93846154 0.97802198
 0.96043956 0.97582418 0.96263736 0.97142857]"
ROCAUC;90.78$\pm$1.04;"[0.90994324 0.89569376 0.91290907 0.91230528 0.90308417 0.90282333
 0.91337761 0.91148895 0.92800869 0.88812945]";95.37$\pm$0.62;"[0.95265306 0.94576983 0.96652095 0.94999638 0.95329067 0.94993358
 0.95111218 0.95304915 0.96417341 0.95052288]";91.08$\pm$1.57;"[0.91432436 0.90583263 0.92141529 0.91316991 0.93110011 0.87943968
 0.91481705 0.93238981 0.89082478 0.90509359]";92.97$\pm$0.87;"[0.94229199 0.92821157 0.92046371 0.92791692 0.94648472 0.92467576
 0.92931772 0.9344427  0.92592199 0.91689893]";94.7$\pm$0.71;"[0.95735298 0.94556696 0.94696534 0.9522763  0.95408284 0.9449197
 0.94149499 0.95387514 0.93962565 0.93348146]";91.85$\pm$1.03;"[0.92500423 0.90035503 0.91899529 0.93464074 0.92732279 0.9222606
 0.91327134 0.92713923 0.90888057 0.9066876 ]";76.76$\pm$0.84;"[0.77259268 0.7578022  0.76588818 0.7574834  0.78250453 0.77209999
 0.77837459 0.76944813 0.7612269  0.75901944]";94.75$\pm$0.74;"[0.95792296 0.93627823 0.9405096  0.95166767 0.95802439 0.9486149
 0.94152397 0.95464316 0.94401642 0.94205048]";93.16$\pm$0.62;"[0.9353025  0.94070764 0.93413839 0.93046733 0.9385195  0.93181017
 0.92817293 0.92990702 0.93012438 0.91684096]";97.87$\pm$0.6;"[0.98122932 0.98004589 0.9883444  0.97851467 0.98406956 0.97814757
 0.97366502 0.98386185 0.97203236 0.96734694]";97.06$\pm$0.44;"[0.97258302 0.96818742 0.9729936  0.97145755 0.97273276 0.97225939
 0.96922594 0.97726362 0.9698732  0.95963772]";95.9$\pm$0.62;"[0.95926096 0.96953508 0.96782997 0.95818862 0.95931892 0.95879242
 0.95039246 0.9573723  0.96141529 0.94815602]";94.63$\pm$0.6;"[0.9566236  0.95064364 0.94525299 0.9439488  0.94677937 0.94110856
 0.94147567 0.95587006 0.9441565  0.93732158]";94.0$\pm$0.8;"[0.94280401 0.94605965 0.94602584 0.94385219 0.94450912 0.94182828
 0.92584954 0.94859075 0.93538462 0.92518295]";95.23$\pm$0.39;"[0.95753653 0.9513537  0.95141167 0.95242604 0.95958459 0.94960995
 0.94582297 0.95486052 0.95094071 0.94918971]";96.06$\pm$0.56;"[0.96938534 0.96489313 0.95838184 0.95788914 0.96008212 0.95640623
 0.95480739 0.96293201 0.96921628 0.9522618 ]";76.76$\pm$0.84;"[0.77259268 0.7578022  0.76588818 0.7574834  0.78250453 0.77209999
 0.77837459 0.76944813 0.7612269  0.75901944]";95.31$\pm$0.68;"[0.95799058 0.94607898 0.95623234 0.95977297 0.9610192  0.9550006
 0.93930202 0.95747857 0.95276899 0.94578916]";96.36$\pm$0.47;"[0.96511532 0.96846275 0.96871875 0.96357928 0.96986354 0.96586403
 0.95718391 0.96081633 0.9616568  0.95491366]";98.04$\pm$0.39;"[0.98465403 0.97916677 0.98334501 0.98320976 0.98465403 0.9799203
 0.97325927 0.98343195 0.97795435 0.97479531]";76.76$\pm$0.84;"[0.77259268 0.7578022  0.76588818 0.7574834  0.78250453 0.77209999
 0.77837459 0.76944813 0.7612269  0.75901944]";95.28$\pm$0.62;"[0.95925613 0.94865837 0.95405869 0.95950731 0.94788552 0.95045526
 0.94748943 0.96513948 0.94425311 0.95144548]"
AP;91.68$\pm$0.93;"[0.91916201 0.90700658 0.9290365  0.91716933 0.91245653 0.91234796
 0.91935723 0.9264717  0.92734419 0.89765288]";96.16$\pm$0.5;"[0.96286707 0.95732471 0.97046518 0.96065603 0.96446352 0.96146443
 0.9559916  0.96413259 0.96627274 0.95237912]";93.51$\pm$1.05;"[0.94024211 0.93342305 0.94511786 0.93758931 0.94747839 0.91928291
 0.93294243 0.95032163 0.92105093 0.92349121]";93.71$\pm$0.9;"[0.94869242 0.93279139 0.93736331 0.93960337 0.95328304 0.93806439
 0.92911092 0.93699132 0.93637966 0.9191119 ]";94.98$\pm$0.81;"[0.95835735 0.94809519 0.95722897 0.95338545 0.9575794  0.9408345
 0.94257395 0.95980474 0.94389894 0.93603065]";93.76$\pm$0.83;"[0.94485436 0.92785448 0.94346202 0.94889408 0.94434462 0.94056138
 0.92787901 0.9430523  0.92925467 0.92626635]";82.79$\pm$0.66;"[0.8339148  0.82160973 0.82917445 0.82033396 0.83618    0.83444678
 0.83307083 0.82789403 0.82708639 0.81495085]";95.49$\pm$0.69;"[0.96386726 0.95081504 0.95449118 0.95900728 0.96269161 0.95797675
 0.94531933 0.9619645  0.94858117 0.94410921]";93.15$\pm$0.84;"[0.93262676 0.94162657 0.94093249 0.93295203 0.93654718 0.93306587
 0.92618162 0.93200455 0.92826333 0.91034334]";98.02$\pm$0.68;"[0.9850727  0.98340121 0.99009371 0.98222927 0.98292239 0.9777478
 0.97590454 0.98550071 0.9730329  0.96566514]";97.02$\pm$0.51;"[0.97338817 0.9709066  0.97468682 0.96988805 0.97127468 0.97200018
 0.96844013 0.97737237 0.96606906 0.95769297]";95.75$\pm$0.83;"[0.959512   0.96905524 0.97147451 0.95796731 0.95727635 0.95827616
 0.94698384 0.95679731 0.95570995 0.9419076 ]";94.8$\pm$0.73;"[0.95661556 0.95431022 0.95177875 0.94835083 0.95180199 0.93262018
 0.94540708 0.95612249 0.94195319 0.94130906]";93.98$\pm$0.86;"[0.94459433 0.94829352 0.94987647 0.94036855 0.94342226 0.93915151
 0.92757599 0.94577282 0.93726385 0.92165218]";95.75$\pm$0.51;"[0.9643362  0.95712835 0.95949819 0.95952079 0.96349379 0.95190398
 0.94905685 0.96206118 0.95638122 0.95119558]";96.52$\pm$0.62;"[0.97306167 0.96821916 0.96825885 0.96388167 0.96567652 0.96298509
 0.95949203 0.96896457 0.97103597 0.95064818]";82.79$\pm$0.66;"[0.8339148  0.82160973 0.82917445 0.82033396 0.83618    0.83444678
 0.83307083 0.82789403 0.82708639 0.81495085]";95.67$\pm$0.79;"[0.96131051 0.95253427 0.9641674  0.96434293 0.9635657  0.95595367
 0.94120145 0.9629728  0.9564507  0.94494016]";96.42$\pm$0.61;"[0.96737334 0.96872844 0.97173158 0.96671145 0.97058523 0.96630718
 0.95623181 0.9627303  0.96042428 0.95158514]";98.09$\pm$0.54;"[0.98568673 0.98054867 0.9854908  0.98535483 0.98514463 0.979305
 0.9738939  0.98447546 0.97962599 0.96906799]";82.79$\pm$0.66;"[0.8339148  0.82160973 0.82917445 0.82033396 0.83618    0.83444678
 0.83307083 0.82789403 0.82708639 0.81495085]";95.36$\pm$0.82;"[0.96175312 0.95531671 0.96153532 0.96329633 0.95258848 0.94169197
 0.94654243 0.96342404 0.94614761 0.94367055]"
pretrain_time;nan$\pm$nan;[];24.93$\pm$0.07;"[24.95798779 24.92216706 24.90968037 24.88983679 25.12532759 24.90906692
 24.9135766  24.88677788 24.87771654 24.89712524]";10.31$\pm$0.09;"[10.23672104 10.24740195 10.25021005 10.44138837 10.23579764 10.22215629
 10.23889446 10.45381188 10.31129718 10.43911791]";0.4$\pm$0.0;"[0.39554214 0.39433718 0.39808178 0.39808393 0.39020109 0.39756417
 0.39264035 0.39701509 0.39740252 0.39921856]";14.73$\pm$0.25;"[14.49961734 14.49974918 14.50367522 14.50590539 14.50361252 14.66073656
 15.00575423 15.05709004 15.0377233  15.0525167 ]";18.31$\pm$0.03;"[18.24722147 18.28024268 18.28572941 18.28269076 18.30518174 18.34589386
 18.32170057 18.35445714 18.30498934 18.32423973]";nan$\pm$nan;[];12.14$\pm$0.25;"[12.31748152 12.15295911 11.85313654 11.81341624 12.3044951  11.8652072
 11.96183681 12.5882194  12.32738662 12.24243212]";40.08$\pm$2.21;"[42.40629721 42.57077503 39.83119416 36.6711607  42.97187996 37.71078372
 39.76470852 42.28653884 38.74492049 37.88487554]";2.68$\pm$0.1;"[2.6829617  2.61840606 2.66284251 2.78956461 2.67364955 2.55632281
 2.66341829 2.61283231 2.58754158 2.9343617 ]";1.15$\pm$0.07;"[1.25946522 1.3334229  1.10763836 1.11137438 1.11216807 1.11336756
 1.12957954 1.10435653 1.11767888 1.14735293]";3.71$\pm$0.01;"[3.70613694 3.70274997 3.70598841 3.70284486 3.72095299 3.70600533
 3.70308042 3.70520949 3.70621562 3.70594287]";0.7$\pm$0.02;"[0.6954658  0.69645166 0.69347048 0.74422288 0.69725156 0.701437
 0.69348693 0.69343519 0.69358277 0.687361  ]";0.7$\pm$0.02;"[0.68936753 0.68929338 0.74021649 0.69048142 0.68987489 0.68962669
 0.69105935 0.68922067 0.69031477 0.74247932]";3.77$\pm$0.01;"[3.78594589 3.76992774 3.76813555 3.7639544  3.76979041 3.76634884
 3.78282142 3.78560114 3.76643038 3.7839911 ]";9.21$\pm$0.02;"[9.20615673 9.20484066 9.26898122 9.20185614 9.20033336 9.20526004
 9.19995451 9.21249962 9.20315099 9.21129918]";nan$\pm$nan;[];1.16$\pm$0.16;"[0.99428678 0.97148776 1.08613658 1.11411834 1.28120613 1.26360917
 1.12259388 1.0072372  1.21944475 1.53612089]";0.99$\pm$0.14;"[0.8472805  1.01822591 0.95191216 0.89105034 0.8801322  1.09204054
 1.34067893 1.04640317 0.83458877 0.98752666]";11.06$\pm$0.89;"[ 9.79753447 10.10614705 11.12235761 11.18519902 10.37264347 10.4603157
 12.18860245 10.97601628 12.8167491  11.56519818]";nan$\pm$nan;[];12.36$\pm$0.87;"[11.29903054 12.69283438 11.84220767 12.07006574 11.41717958 14.49582076
 12.75137138 12.25747681 11.98946524 12.78513837]"
