metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;86.62$\pm$1.04;"[0.85372113 0.86911891 0.86142002 0.87339607 0.84602224 0.86227545
 0.87510693 0.88366125 0.87254063 0.86484175]";82.65$\pm$1.46;"[0.81351583 0.82805817 0.82121471 0.83661249 0.82121471 0.81266039
 0.84858854 0.85457656 0.81950385 0.80923867]";70.07$\pm$2.16;"[0.7005988  0.72369547 0.70230967 0.72797263 0.67151411 0.67322498
 0.68263473 0.7005988  0.68776732 0.73652695]";81.85$\pm$1.75;"[0.81779299 0.84174508 0.78186484 0.84174508 0.81180496 0.80496151
 0.82121471 0.82549187 0.83233533 0.80581694]";83.68$\pm$1.51;"[0.83062447 0.85457656 0.80923867 0.85885372 0.82805817 0.82121471
 0.83575706 0.83575706 0.85543199 0.83832335]";88.4$\pm$1.29;"[0.8716852  0.91017964 0.85970915 0.87938409 0.87938409 0.88280582
 0.88195038 0.89478186 0.88964927 0.8905047 ]";70.07$\pm$2.16;"[0.7005988  0.72369547 0.70230967 0.72797263 0.67151411 0.67322498
 0.68263473 0.7005988  0.68776732 0.73652695]";65.85$\pm$2.13;"[0.66723695 0.66723695 0.65098375 0.70915312 0.65868263 0.63815227
 0.66723695 0.6578272  0.62703165 0.64157399]";83.99$\pm$1.38;"[0.84516681 0.85543199 0.82378101 0.84345595 0.82976903 0.83917879
 0.86142002 0.85457656 0.82035928 0.82549187]";77.25$\pm$1.45;"[0.78785287 0.79384089 0.75962361 0.786142   0.74508127 0.76817793
 0.76390077 0.78443114 0.7647562  0.77159966]";70.07$\pm$2.16;"[0.7005988  0.72369547 0.70230967 0.72797263 0.67151411 0.67322498
 0.68263473 0.7005988  0.68776732 0.73652695]";70.4$\pm$3.47;"[0.74764756 0.69461078 0.70829769 0.66381523 0.71856287 0.6390077
 0.7031651  0.74251497 0.7459367  0.67664671]";69.62$\pm$2.23;"[0.68776732 0.67750214 0.67493584 0.73994867 0.69375535 0.68092387
 0.70402053 0.7031651  0.72968349 0.66980325]";69.69$\pm$3.86;"[0.71770744 0.66210436 0.70230967 0.76218991 0.69461078 0.68349016
 0.64499572 0.72882806 0.73567151 0.63729683]";84.76$\pm$1.0;"[0.84773311 0.86227545 0.84345595 0.85201027 0.82634731 0.83917879
 0.85885372 0.85628743 0.84516681 0.84431138]";80.37$\pm$1.49;"[0.78956373 0.81266039 0.80153978 0.82121471 0.79555175 0.79298546
 0.81094953 0.81437126 0.82378101 0.77416595]";78.55$\pm$1.83;"[0.79213003 0.79982891 0.77074423 0.81266039 0.76133447 0.77673225
 0.76903336 0.79982891 0.80838323 0.76390077]";85.75$\pm$2.03;"[0.84516681 0.88023952 0.83746792 0.87254063 0.85628743 0.83490163
 0.82634731 0.893071   0.86398631 0.86484175]";67.14$\pm$3.66;"[0.62275449 0.66638152 0.63301967 0.69974337 0.73994867 0.62104363
 0.67579127 0.69546621 0.69974337 0.6603935 ]";84.83$\pm$1.87;"[0.84345595 0.86655261 0.80667237 0.85543199 0.83575706 0.82805817
 0.86056459 0.86826347 0.85714286 0.86142002]";78.91$\pm$1.9;"[0.8075278  0.77929855 0.75363559 0.80923867 0.78015398 0.76390077
 0.80068435 0.78699743 0.81437126 0.79469632]";80.95$\pm$1.6;"[0.82805817 0.81094953 0.79555175 0.81437126 0.78015398 0.80496151
 0.80923867 0.82805817 0.8314799  0.79213003]";69.7$\pm$3.83;"[0.71000855 0.64927288 0.68691189 0.76390077 0.67322498 0.73652695
 0.67408041 0.6603935  0.74935843 0.66638152]";85.43$\pm$2.49;"[0.82121471 0.90076989 0.82207015 0.88366125 0.84944397 0.85970915
 0.8314799  0.86398631 0.84174508 0.86911891]"
Hits@50;88.14$\pm$0.78;"[0.8742515  0.88280582 0.88280582 0.88451668 0.86911891 0.87254063
 0.88964927 0.89649273 0.88451668 0.87767322]";86.61$\pm$1.02;"[0.86826347 0.87082977 0.86056459 0.87254063 0.8502994  0.85628743
 0.87082977 0.88537211 0.87254063 0.85372113]";79.06$\pm$1.63;"[0.79555175 0.80410607 0.786142   0.78699743 0.75705731 0.78956373
 0.77159966 0.81351583 0.79041916 0.81094953]";86.37$\pm$0.85;"[0.86826347 0.87082977 0.85885372 0.86655261 0.85115483 0.85115483
 0.87082977 0.87082977 0.8742515  0.85457656]";87.31$\pm$1.1;"[0.87254063 0.88280582 0.86313088 0.88195038 0.85885372 0.85714286
 0.87938409 0.88879384 0.88280582 0.86313088]";92.34$\pm$0.65;"[0.92386655 0.93755346 0.9118905  0.92386655 0.92130026 0.91531223
 0.92386655 0.92386655 0.92472198 0.92728828]";79.06$\pm$1.63;"[0.79555175 0.80410607 0.786142   0.78699743 0.75705731 0.78956373
 0.77159966 0.81351583 0.79041916 0.81094953]";81.68$\pm$1.84;"[0.79041916 0.80496151 0.82805817 0.84602224 0.81094953 0.79298546
 0.84516681 0.82207015 0.82121471 0.80581694]";87.49$\pm$0.84;"[0.8742515  0.88280582 0.86740804 0.87681779 0.86398631 0.86911891
 0.88109495 0.89221557 0.87510693 0.86569718]";82.97$\pm$1.38;"[0.83319076 0.84431138 0.81266039 0.83832335 0.80667237 0.81522669
 0.8289136  0.84602224 0.84687767 0.82463644]";79.06$\pm$1.63;"[0.79555175 0.80410607 0.786142   0.78699743 0.75705731 0.78956373
 0.77159966 0.81351583 0.79041916 0.81094953]";81.87$\pm$1.79;"[0.84858854 0.79726262 0.81180496 0.81437126 0.786142   0.82207015
 0.82035928 0.83490163 0.83917879 0.81266039]";83.35$\pm$2.22;"[0.85628743 0.82121471 0.79469632 0.86826347 0.81608212 0.81608212
 0.85543199 0.85201027 0.83233533 0.82292558]";85.23$\pm$1.53;"[0.86398631 0.83233533 0.84858854 0.86826347 0.85201027 0.84088965
 0.8314799  0.86655261 0.87767322 0.84088965]";87.28$\pm$0.67;"[0.8742515  0.87681779 0.86826347 0.87938409 0.86398631 0.86655261
 0.87339607 0.88708298 0.8716852  0.86655261]";86.3$\pm$1.03;"[0.86997434 0.86142002 0.86227545 0.86569718 0.84602224 0.8528657
 0.88195038 0.86569718 0.87339607 0.85115483]";84.33$\pm$0.72;"[0.83746792 0.8502994  0.83917879 0.84858854 0.83490163 0.83575706
 0.84003422 0.85799829 0.84858854 0.84003422]";90.28$\pm$0.85;"[0.90076989 0.9144568  0.89136014 0.90761334 0.91017964 0.88622754
 0.89820359 0.91103507 0.90419162 0.90419162]";82.45$\pm$2.87;"[0.80239521 0.80496151 0.77844311 0.84088965 0.86655261 0.82378101
 0.80667237 0.87596236 0.83319076 0.81180496]";88.31$\pm$0.92;"[0.88109495 0.89392643 0.87681779 0.88537211 0.86911891 0.87082977
 0.89136014 0.89820359 0.88708298 0.87767322]";85.5$\pm$1.07;"[0.85970915 0.86569718 0.8528657  0.86740804 0.83661249 0.83746792
 0.84944397 0.86227545 0.8528657  0.86569718]";86.67$\pm$0.77;"[0.8716852  0.86655261 0.85799829 0.86740804 0.85799829 0.85628743
 0.87510693 0.87596236 0.87767322 0.86056459]";84.83$\pm$2.34;"[0.8742515  0.83233533 0.8289136  0.89136014 0.80923867 0.85543199
 0.83832335 0.86911891 0.8502994  0.83404619]";91.98$\pm$1.13;"[0.91787853 0.9384089  0.89991446 0.92472198 0.92386655 0.92215569
 0.90675791 0.92301112 0.90846878 0.9332763 ]"
Hits@100;89.29$\pm$0.82;"[0.88537211 0.893071   0.89734816 0.89649273 0.87852866 0.88366125
 0.89991446 0.90846878 0.89478186 0.89136014]";88.2$\pm$0.82;"[0.88451668 0.88195038 0.87681779 0.88622754 0.86655261 0.87852866
 0.8905047  0.8956373  0.88708298 0.87254063]";85.35$\pm$1.03;"[0.86056459 0.86398631 0.84345595 0.84345595 0.84431138 0.84088965
 0.85970915 0.87339607 0.8502994  0.85457656]";87.93$\pm$0.89;"[0.88195038 0.88879384 0.87767322 0.88366125 0.86740804 0.86740804
 0.88793841 0.88537211 0.88793841 0.86484175]";88.61$\pm$0.93;"[0.89136014 0.89649273 0.87852866 0.88793841 0.87082977 0.87339607
 0.89221557 0.89820359 0.893071   0.87938409]";93.87$\pm$0.49;"[0.93669803 0.94952951 0.9332763  0.94097519 0.93498717 0.93156544
 0.94097519 0.9384089  0.93755346 0.94268606]";85.35$\pm$1.03;"[0.86056459 0.86398631 0.84345595 0.84345595 0.84431138 0.84088965
 0.85970915 0.87339607 0.8502994  0.85457656]";90.72$\pm$1.11;"[0.88280582 0.90761334 0.90761334 0.91017964 0.91274594 0.92130026
 0.8956373  0.91958939 0.89991446 0.9144568 ]";89.23$\pm$0.76;"[0.89136014 0.89478186 0.88793841 0.89221557 0.88195038 0.88708298
 0.90076989 0.91017964 0.88793841 0.88879384]";85.77$\pm$1.04;"[0.85372113 0.86484175 0.8528657  0.86740804 0.85201027 0.83917879
 0.86655261 0.86655261 0.87082977 0.84345595]";85.35$\pm$1.03;"[0.86056459 0.86398631 0.84345595 0.84345595 0.84431138 0.84088965
 0.85970915 0.87339607 0.8502994  0.85457656]";86.82$\pm$1.19;"[0.87596236 0.86740804 0.84174508 0.87596236 0.85970915 0.85970915
 0.87852866 0.88537211 0.87339607 0.86398631]";92.54$\pm$1.02;"[0.92985458 0.94097519 0.9144568  0.93755346 0.91274594 0.91531223
 0.92130026 0.93498717 0.91531223 0.93156544]";93.4$\pm$0.95;"[0.94354149 0.9384089  0.93156544 0.9384089  0.92557742 0.94354149
 0.91103507 0.93498717 0.94183062 0.93156544]";88.66$\pm$0.64;"[0.88451668 0.893071   0.88280582 0.8905047  0.87510693 0.88708298
 0.893071   0.8956373  0.88622754 0.87767322]";88.83$\pm$0.86;"[0.89734816 0.88537211 0.88451668 0.88879384 0.88023952 0.87339607
 0.90504705 0.893071   0.89221557 0.88280582]";87.13$\pm$0.85;"[0.87254063 0.87681779 0.85885372 0.87767322 0.86569718 0.86484175
 0.87767322 0.88793841 0.86997434 0.86142002]";92.33$\pm$0.63;"[0.92301112 0.93755346 0.91531223 0.92130026 0.92386655 0.91531223
 0.92386655 0.92985458 0.91873396 0.92386655]";90.75$\pm$1.39;"[0.88622754 0.92130026 0.89136014 0.9170231  0.91958939 0.9118905
 0.88964927 0.92643285 0.91274594 0.89905902]";89.57$\pm$0.74;"[0.89392643 0.90248075 0.89478186 0.8956373  0.88622754 0.88537211
 0.90504705 0.90675791 0.89991446 0.88708298]";88.29$\pm$0.91;"[0.893071   0.88793841 0.87852866 0.88537211 0.86740804 0.86655261
 0.88793841 0.893071   0.88879384 0.88023952]";88.79$\pm$0.89;"[0.893071   0.88366125 0.88109495 0.89478186 0.87082977 0.88195038
 0.8956373  0.89649273 0.89991446 0.88109495]";92.3$\pm$0.82;"[0.9384089  0.92130026 0.9118905  0.93242087 0.92130026 0.92301112
 0.90846878 0.92557742 0.92557742 0.92215569]";94.02$\pm$0.6;"[0.9358426  0.95380667 0.93413174 0.93926433 0.94183062 0.93413174
 0.94097519 0.94011976 0.93498717 0.94696322]"
ROCAUC;93.54$\pm$0.56;"[0.93560478 0.93832694 0.93607018 0.93763689 0.92582366 0.92908879
 0.94079262 0.94365784 0.93926726 0.92768782]";91.65$\pm$0.54;"[0.91471511 0.92251864 0.91494708 0.92086413 0.90765432 0.91185465
 0.91979868 0.92584597 0.91693675 0.91035819]";92.02$\pm$0.62;"[0.92107341 0.92705265 0.91402286 0.92821762 0.91109215 0.91142144
 0.92329797 0.9223979  0.9270929  0.91597155]";91.83$\pm$0.61;"[0.91710579 0.92269719 0.91952353 0.92091169 0.90950934 0.91066334
 0.92414206 0.92889304 0.91903947 0.91089092]";91.64$\pm$0.63;"[0.91331598 0.92191567 0.91600741 0.91857663 0.90570344 0.90960228
 0.92471906 0.92344067 0.92142539 0.90914639]";96.26$\pm$0.46;"[0.95666714 0.97178465 0.959933   0.96494119 0.96415162 0.95869632
 0.96067354 0.9618118  0.95822982 0.9686827 ]";92.02$\pm$0.62;"[0.92107341 0.92705265 0.91402286 0.92821762 0.91109215 0.91142144
 0.92329797 0.9223979  0.9270929  0.91597155]";95.64$\pm$0.29;"[0.94979148 0.95788479 0.95631589 0.95443965 0.95902269 0.95627857
 0.95627711 0.96087039 0.95418646 0.95849362]";93.32$\pm$0.41;"[0.9323905  0.93625532 0.93295652 0.93063683 0.92565791 0.93033315
 0.94009634 0.9393697  0.93332533 0.93109418]";90.58$\pm$0.65;"[0.90078745 0.91126338 0.9036267  0.91006183 0.89209958 0.90014057
 0.91151218 0.91241445 0.91225822 0.90343278]";92.02$\pm$0.62;"[0.92107341 0.92705265 0.91402286 0.92821762 0.91109215 0.91142144
 0.92329797 0.9223979  0.9270929  0.91597155]";91.83$\pm$0.53;"[0.92019822 0.91981002 0.91578129 0.91511319 0.91187367 0.91014452
 0.92273122 0.92742475 0.92483321 0.91511063]";96.84$\pm$0.17;"[0.96867465 0.97189734 0.96526097 0.96836585 0.96902553 0.96814449
 0.96995304 0.96888174 0.96613031 0.96798606]";96.72$\pm$0.27;"[0.96513145 0.96965521 0.96710319 0.96492729 0.96637545 0.96729162
 0.96164606 0.97087836 0.97046967 0.96881259]";91.89$\pm$0.53;"[0.91917375 0.92480321 0.92162589 0.92196104 0.90946251 0.91858614
 0.92427597 0.92188274 0.9186981  0.90886832]";92.97$\pm$0.61;"[0.9348335  0.93702879 0.92259255 0.92539448 0.92348457 0.92685947
 0.93991194 0.93559929 0.92606001 0.92476077]";91.92$\pm$0.57;"[0.91484683 0.9245105  0.91975843 0.92185859 0.90931982 0.91326476
 0.92308869 0.9291755  0.92098633 0.91480146]";96.04$\pm$0.28;"[0.95858033 0.96711782 0.9581314  0.95928466 0.95941418 0.95791772
 0.96124908 0.96400014 0.95824263 0.96022644]";96.25$\pm$0.36;"[0.95686764 0.96882247 0.96017082 0.9605711  0.96672231 0.95841166
 0.96335985 0.96595615 0.96326179 0.96079429]";93.07$\pm$0.69;"[0.92916782 0.94279948 0.92605416 0.92454856 0.92903061 0.92585695
 0.93706684 0.93775177 0.93548038 0.91906911]";92.45$\pm$0.48;"[0.92898085 0.92484199 0.92092413 0.92510836 0.91427166 0.91993918
 0.93152153 0.92872693 0.92656383 0.92422585]";92.62$\pm$0.61;"[0.9247915  0.92685142 0.92223179 0.92655432 0.91443119 0.92451197
 0.93842939 0.92992702 0.93175936 0.92233424]";96.32$\pm$0.3;"[0.96569198 0.96402063 0.96099406 0.96800143 0.96175582 0.9613797
 0.96039621 0.96598322 0.96560746 0.95784747]";96.69$\pm$0.46;"[0.96122969 0.97669917 0.96249527 0.96752651 0.96788581 0.96320472
 0.96239319 0.96860367 0.96709331 0.97210297]"
AP;95.94$\pm$0.36;"[0.95924376 0.96116358 0.96090169 0.9608287  0.95226579 0.95520187
 0.96225079 0.96503257 0.96102118 0.95634275]";94.89$\pm$0.38;"[0.9483459  0.95320785 0.94861812 0.95164129 0.9419196  0.94520924
 0.95147698 0.9547719  0.94927929 0.94501531]";93.92$\pm$0.48;"[0.93632005 0.94511425 0.93793258 0.94680935 0.93001077 0.93432266
 0.93721467 0.94272931 0.94155096 0.94046986]";94.67$\pm$0.42;"[0.93865957 0.95002975 0.94786569 0.95163892 0.9428278  0.94380865
 0.94778136 0.95340192 0.94695492 0.94420161]";94.8$\pm$0.41;"[0.94182906 0.95212849 0.94603171 0.95214701 0.94295085 0.94398285
 0.95107433 0.95409698 0.94933896 0.9461522 ]";97.03$\pm$0.51;"[0.959152   0.97750074 0.96844011 0.97450168 0.97096145 0.96961436
 0.96704363 0.97189783 0.96771373 0.97646666]";93.92$\pm$0.48;"[0.93632005 0.94511425 0.93793258 0.94680935 0.93001077 0.93432266
 0.93721467 0.94272931 0.94155096 0.94046986]";96.12$\pm$0.28;"[0.95875208 0.96304593 0.95654474 0.96213375 0.96508547 0.95992667
 0.96281683 0.96490701 0.95747646 0.96090441]";95.72$\pm$0.31;"[0.95463916 0.96032423 0.95682483 0.95622587 0.95213659 0.95491718
 0.96113546 0.96263205 0.95671718 0.95621399]";93.92$\pm$0.49;"[0.93026066 0.9446236  0.93869277 0.94456723 0.9315703  0.9363798
 0.94157437 0.943191   0.94324576 0.93822635]";93.92$\pm$0.48;"[0.93632005 0.94511425 0.93793258 0.94680935 0.93001077 0.93432266
 0.93721467 0.94272931 0.94155096 0.94046986]";94.06$\pm$0.46;"[0.94394428 0.9412493  0.93470329 0.93865046 0.93673317 0.93271648
 0.94192151 0.94590406 0.94799847 0.94261014]";96.83$\pm$0.25;"[0.97065174 0.97249074 0.96603955 0.97105337 0.96647618 0.96428139
 0.96833328 0.96886017 0.96868467 0.96564824]";96.75$\pm$0.31;"[0.9694513  0.96814918 0.96528608 0.96951769 0.96992426 0.96449137
 0.96076898 0.97169619 0.96678488 0.96929545]";95.12$\pm$0.31;"[0.95159805 0.95535528 0.95301252 0.9534879  0.94475489 0.94986128
 0.95339684 0.95286363 0.95068955 0.9468012 ]";95.33$\pm$0.32;"[0.95614344 0.95666728 0.95001751 0.95266225 0.94898161 0.95086097
 0.95720265 0.95783586 0.9520651  0.95027848]";94.71$\pm$0.42;"[0.94323279 0.94998195 0.94691477 0.95095187 0.93958794 0.942937
 0.94829357 0.95445342 0.94972471 0.94538112]";97.05$\pm$0.25;"[0.96828702 0.97414327 0.96990364 0.97151049 0.96810294 0.96902446
 0.96800711 0.97493237 0.96804237 0.97268193]";96.46$\pm$0.47;"[0.95539892 0.96933973 0.96035587 0.96606737 0.97059593 0.95986131
 0.9642125  0.97014819 0.96583386 0.96409003]";95.65$\pm$0.41;"[0.95527518 0.96384353 0.95228585 0.95473096 0.95443769 0.95235392
 0.95975801 0.96149382 0.95938653 0.95143055]";95.02$\pm$0.35;"[0.95230879 0.95114245 0.94348573 0.95139239 0.94544197 0.94636017
 0.95380236 0.95324127 0.95295798 0.95158007]";95.15$\pm$0.35;"[0.95187948 0.94972491 0.95039139 0.95413483 0.94417043 0.95082468
 0.9570965  0.95614718 0.95069143 0.9502709 ]";96.77$\pm$0.23;"[0.96903575 0.96874071 0.96492695 0.97167334 0.96679703 0.9676392
 0.9653653  0.96782584 0.9709471  0.96425545]";97.49$\pm$0.47;"[0.96482214 0.98175014 0.97046297 0.97763595 0.97485977 0.97264488
 0.9725675  0.97805824 0.97620953 0.97969746]"
pretrain_time;nan$\pm$nan;[];39.59$\pm$0.01;"[39.55686164 39.57485962 39.58860636 39.6038115  39.58615875 39.59773254
 39.60143375 39.57692742 39.60206079 39.59894991]";nan$\pm$nan;[];42.6$\pm$1.36;"[41.80041027 41.76230025 41.65826988 41.4590714  42.07636118 41.6464386
 41.58338165 44.48733664 44.69363117 44.80747581]";9.8$\pm$0.11;"[9.59917569 9.78821802 9.77350211 9.74209738 9.94679642 9.86319876
 9.82384539 9.65111041 9.90250158 9.90874219]";66.24$\pm$2.31;"[65.08872747 68.81236601 64.93393469 65.00986218 65.2667439  68.66466212
 68.97840428 61.3665216  68.26839757 66.00026798]";nan$\pm$nan;[];6.42$\pm$0.06;"[6.59011197 6.37368464 6.37305808 6.39475012 6.46881914 6.3912077
 6.39582562 6.41107368 6.40879965 6.42023444]";5.26$\pm$0.0;"[5.26042914 5.2565496  5.26034236 5.26362967 5.27213597 5.26127648
 5.25984073 5.26038694 5.25529099 5.26246095]";1.22$\pm$0.04;"[1.15982962 1.22877717 1.24647164 1.29730749 1.16042113 1.19492388
 1.22647953 1.24828959 1.24307919 1.24253702]";nan$\pm$nan;[];32.54$\pm$0.76;"[33.39035654 32.81350136 33.04156375 34.06841993 32.81224227 31.87675929
 31.91867137 31.91877294 31.85723877 31.74009109]";27.27$\pm$1.16;"[24.6673038  26.02072954 28.01770735 28.01628351 26.35181427 26.97435093
 28.19185209 28.24848175 28.11730886 28.05166698]";24.93$\pm$0.88;"[25.72611451 25.60437727 25.59351254 25.48006439 25.32678509 25.52434921
 23.74688053 23.63166285 23.44101644 25.23050189]";7.9$\pm$0.17;"[8.10116696 7.76269031 8.13434076 8.07707834 7.7884593  7.73538685
 7.78445721 7.78780174 7.73635173 8.1289444 ]";1.79$\pm$0.07;"[1.89729762 1.86721778 1.88599372 1.84846568 1.7315588  1.72897291
 1.72404766 1.7247684  1.72630167 1.73812175]";10.29$\pm$0.3;"[10.35344124 10.80402398 10.63640285 10.5268805  10.52401733 10.05337381
  9.86113453 10.05585575 10.16376734  9.96711683]";16.83$\pm$0.7;"[16.74785471 16.29932857 16.50478172 17.39938331 16.25845742 18.31794381
 16.38231254 16.33895588 16.29297137 17.79404306]";25.44$\pm$0.17;"[25.49827886 25.3436923  25.15008879 25.20162487 25.64966226 25.54979968
 25.42763543 25.46303344 25.39168715 25.6922915 ]";21.08$\pm$2.77;"[24.5104413  18.80820704 24.41976023 24.49321771 18.83061314 18.81705093
 18.77781439 18.81716681 18.86544657 24.47182417]";2.59$\pm$0.09;"[2.53590274 2.53458166 2.55871248 2.53587127 2.53575969 2.5274446
 2.77610135 2.77773166 2.54314661 2.56142282]";80.06$\pm$2.74;"[84.52231383 85.4738133  82.22089624 78.21241808 78.30897593 78.11941481
 78.1826942  78.20908141 78.39700222 78.91749072]";84.23$\pm$3.08;"[81.39845443 81.39912748 81.90113544 81.85052156 81.68021655 82.79114413
 88.72804308 88.42775273 88.66512513 85.45950103]";87.52$\pm$3.66;"[90.88346624 92.36914468 91.99342561 83.59371781 84.33632016 83.95519543
 84.76618814 91.95034146 87.52703905 83.85583115]"
