metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;75.03$\pm$2.67;"[0.75137379 0.77396508 0.7644401  0.75735743 0.74514593 0.77140066
 0.69947491 0.77628526 0.76260838 0.70081817]";43.43$\pm$6.13;"[0.41787764 0.45841983 0.50152644 0.35047014 0.46977653 0.43802662
 0.46196117 0.37061912 0.53474173 0.33935767]";53.31$\pm$5.46;"[0.48455245 0.5442667  0.5418244  0.4484064  0.49542069 0.5914031
 0.56966663 0.54744169 0.63389913 0.47380633]";52.02$\pm$4.76;"[0.48784955 0.5044572  0.52375137 0.47881304 0.49993894 0.57528392
 0.4866284  0.48943705 0.63915008 0.51679082]";51.06$\pm$4.17;"[0.48149957 0.54292343 0.48308707 0.46196117 0.50946392 0.49419954
 0.55867627 0.55257052 0.574307   0.44767371]";51.22$\pm$4.79;"[0.46489193 0.58261082 0.57626084 0.50555623 0.47380633 0.51068507
 0.51239468 0.54048113 0.53657345 0.41861033]";39.64$\pm$1.97;"[0.34961534 0.40407864 0.40639883 0.39980462 0.38808157 0.42935645
 0.41238246 0.39577482 0.39064599 0.38795946]";44.07$\pm$2.89;"[0.43595067 0.43729393 0.5020149  0.38881426 0.4484064  0.45768714
 0.42410551 0.44950543 0.45426792 0.40932959]";39.64$\pm$1.97;"[0.34961534 0.40407864 0.40639883 0.39980462 0.38808157 0.42935645
 0.41238246 0.39577482 0.39064599 0.38795946]";39.41$\pm$4.29;"[0.3427769  0.3858835  0.41335938 0.40774209 0.37928929 0.44120161
 0.45707657 0.35401148 0.43778239 0.321651  ]";46.44$\pm$2.92;"[0.42837953 0.48186592 0.53107828 0.45231408 0.44474295 0.4857736
 0.47453902 0.439492   0.46867749 0.43717182]";42.79$\pm$3.87;"[0.45426792 0.41946514 0.45890829 0.36255953 0.37245085 0.47380633
 0.43363048 0.39687386 0.48113323 0.42630358]";49.01$\pm$3.21;"[0.49700818 0.51923312 0.51520332 0.41873245 0.46440347 0.50909757
 0.50860911 0.48052265 0.52729271 0.4606179 ]";55.65$\pm$4.91;"[0.53962633 0.57931371 0.60263768 0.53559653 0.57039932 0.60752229
 0.53266577 0.50860911 0.63011357 0.45805349]";53.58$\pm$4.4;"[0.54060325 0.57870314 0.55977531 0.45793137 0.47124191 0.58554158
 0.51434852 0.54390035 0.59201368 0.51373794]";45.81$\pm$5.03;"[0.42679204 0.50091586 0.48919282 0.40957382 0.41494688 0.53962633
 0.4971303  0.41519111 0.50250336 0.38527293]";57.27$\pm$3.56;"[0.59445598 0.59824154 0.61277323 0.56258395 0.55354744 0.57235316
 0.57503969 0.55916473 0.61338381 0.48528514]";43.09$\pm$3.37;"[0.45402369 0.43570644 0.45793137 0.41909879 0.39492001 0.43790451
 0.41287092 0.44242276 0.49041397 0.36341434]";23.08$\pm$2.24;"[0.20991574 0.22347051 0.23934546 0.18305043 0.23690316 0.26938576
 0.24154353 0.21736476 0.23849066 0.24825986]";48.17$\pm$2.96;"[0.42398339 0.51654659 0.45255831 0.46525827 0.4971303  0.49322262
 0.4971303  0.50726584 0.51202833 0.45158139]";43.58$\pm$5.07;"[0.36939797 0.44254488 0.52082061 0.41812187 0.4597631  0.42899011
 0.38087679 0.41873245 0.52521675 0.39394309]"
Hits@50;83.89$\pm$1.28;"[0.82366589 0.85846868 0.85443888 0.8278178  0.8342899  0.84601294
 0.82647454 0.84686775 0.84845524 0.82220051]";60.46$\pm$3.09;"[0.58712908 0.63157895 0.64977409 0.56197338 0.61387227 0.62535108
 0.59311271 0.56527048 0.64354622 0.57406277]";69.55$\pm$2.59;"[0.6685798  0.71205275 0.70008548 0.66516058 0.66552693 0.72756136
 0.68946147 0.71034314 0.74172671 0.67456344]";69.17$\pm$2.77;"[0.66625962 0.71437294 0.70032971 0.6726096  0.70289413 0.71986812
 0.67602882 0.65490292 0.74465747 0.66467212]";67.8$\pm$2.4;"[0.64147026 0.69336915 0.67957016 0.66064233 0.6596654  0.68689706
 0.7010624  0.69507876 0.71742582 0.64464526]";66.69$\pm$3.06;"[0.65612407 0.67602882 0.7075345  0.62156551 0.64354622 0.72511906
 0.64562218 0.678349   0.67676151 0.63792893]";50.36$\pm$1.01;"[0.49749664 0.50921968 0.52704848 0.50006106 0.5004274  0.49383319
 0.49786299 0.50726584 0.51202833 0.4906582 ]";60.18$\pm$2.4;"[0.59934058 0.63475394 0.60727806 0.57858102 0.63548663 0.62901453
 0.57552815 0.60849921 0.57735987 0.57223104]";50.36$\pm$1.01;"[0.49749664 0.50921968 0.52704848 0.50006106 0.5004274  0.49383319
 0.49786299 0.50726584 0.51202833 0.4906582 ]";55.05$\pm$2.61;"[0.52326291 0.57601661 0.5702772  0.5589205  0.52765905 0.58627427
 0.55623397 0.51984369 0.57565026 0.51117353]";60.96$\pm$2.25;"[0.5914031  0.62999145 0.64855294 0.60105019 0.59396752 0.63499817
 0.57748199 0.5905483  0.60007327 0.62840396]";58.46$\pm$4.29;"[0.58029063 0.5800464  0.65893271 0.5304677  0.50543412 0.61057516
 0.56893394 0.59433386 0.63585297 0.58138967]";64.96$\pm$2.32;"[0.65575772 0.68469899 0.66735865 0.62767127 0.612529   0.65673464
 0.63841739 0.64684333 0.68274515 0.62364147]";70.4$\pm$1.93;"[0.67761631 0.71278544 0.71217487 0.71046526 0.68189034 0.72927097
 0.70716815 0.70582489 0.73012578 0.67236537]";68.23$\pm$2.38;"[0.68530956 0.7075345  0.69825376 0.68921724 0.6417145  0.70667969
 0.6596654  0.69019416 0.7010624  0.64293565]";62.58$\pm$2.08;"[0.63047991 0.63817316 0.63292221 0.59311271 0.60898767 0.66027598
 0.6165588  0.64281353 0.64000488 0.59421175]";70.38$\pm$2.74;"[0.67053364 0.72548541 0.73256808 0.69556722 0.66235194 0.70985468
 0.71119795 0.71986812 0.74392478 0.66674808]";60.75$\pm$2.82;"[0.61142997 0.63206741 0.64232507 0.57858102 0.57626084 0.61948956
 0.57943583 0.61936744 0.64843082 0.56795702]";36.94$\pm$1.28;"[0.37965564 0.37709122 0.35950666 0.35413359 0.39626328 0.35865185
 0.36854317 0.35327879 0.37013066 0.37648064]";64.96$\pm$2.27;"[0.63890585 0.63866162 0.66406155 0.61961167 0.64403468 0.70179509
 0.62669435 0.66601539 0.65990963 0.63634143]";60.35$\pm$3.17;"[0.57223104 0.60202711 0.6279155  0.58493101 0.6198559  0.61265112
 0.56832336 0.60337037 0.67578459 0.56759067]"
Hits@100;87.74$\pm$0.62;"[0.87605324 0.8854561  0.88362437 0.8781292  0.87861766 0.87641959
 0.86823788 0.88460129 0.87739651 0.86579558]";72.65$\pm$2.08;"[0.73012578 0.74709977 0.75454878 0.70240567 0.71473928 0.73855172
 0.69507876 0.70069606 0.7497863  0.73159116]";79.71$\pm$1.0;"[0.78080352 0.81182074 0.79460252 0.79179387 0.79289291 0.81047747
 0.79081695 0.79899866 0.81023324 0.78874099]";79.76$\pm$1.27;"[0.7895958  0.80376114 0.81365246 0.78935157 0.78971791 0.81658322
 0.78642081 0.79325925 0.81414092 0.77921602]";77.97$\pm$1.37;"[0.76651606 0.77628526 0.80009769 0.75882281 0.77543046 0.79252656
 0.78519966 0.78874099 0.79313714 0.76028819]";78.61$\pm$1.72;"[0.76944682 0.78861888 0.81279766 0.77298815 0.77481988 0.80852363
 0.78935157 0.80363903 0.78336793 0.75747955]";59.14$\pm$1.37;"[0.60153865 0.60569056 0.60947613 0.5914031  0.59360117 0.56148492
 0.58712908 0.58786177 0.6003175  0.57577238]";72.62$\pm$1.92;"[0.71791428 0.76981316 0.73317865 0.71254121 0.73330077 0.72304311
 0.68933936 0.73305654 0.72841617 0.72121138]";59.14$\pm$1.37;"[0.60153865 0.60569056 0.60947613 0.5914031  0.59360117 0.56148492
 0.58712908 0.58786177 0.6003175  0.57577238]";67.52$\pm$1.6;"[0.65441446 0.69275858 0.69752106 0.66711442 0.64794236 0.67798266
 0.68115765 0.66076444 0.68286726 0.68933936]";71.96$\pm$1.41;"[0.70875565 0.73403346 0.72499695 0.68933936 0.71107583 0.73965075
 0.71058737 0.72585175 0.7213335  0.73049212]";71.5$\pm$2.05;"[0.68824032 0.72157773 0.75186225 0.69275858 0.70338259 0.71999023
 0.6897057  0.73049212 0.73806326 0.71364025]";75.2$\pm$1.36;"[0.76273049 0.76590548 0.7433142  0.74856515 0.72743925 0.76663817
 0.7457565  0.74038344 0.77249969 0.74636708]";79.75$\pm$1.18;"[0.78263524 0.81548419 0.80852363 0.79154964 0.77689584 0.80974478
 0.79020637 0.79435829 0.80400537 0.80205153]";77.99$\pm$1.43;"[0.785566   0.81121016 0.78666504 0.75967762 0.76627183 0.78849676
 0.76993528 0.78080352 0.78434485 0.76590548]";73.78$\pm$1.5;"[0.73378923 0.73891806 0.75137379 0.71168641 0.72353157 0.75479302
 0.73317865 0.76505068 0.7270729  0.7384296 ]";79.44$\pm$1.7;"[0.76822567 0.81365246 0.81414092 0.78422274 0.76639394 0.79570155
 0.79277079 0.80718036 0.81340823 0.78874099]";72.98$\pm$1.2;"[0.71547197 0.73122481 0.73928441 0.70606912 0.7343998  0.73098058
 0.72536329 0.74477958 0.74661131 0.72353157]";50.58$\pm$1.42;"[0.51984369 0.50457931 0.50396874 0.46989864 0.51153987 0.49419954
 0.50897545 0.51386006 0.50873122 0.52228599]";75.59$\pm$1.34;"[0.74136036 0.7587007  0.77079008 0.74343632 0.74917572 0.7733545
 0.73549884 0.77616315 0.75845647 0.75174014]";73.42$\pm$1.34;"[0.71461717 0.73085847 0.71754793 0.74380266 0.73000366 0.72792771
 0.73720845 0.75210648 0.75894493 0.72927097]"
ROCAUC;97.72$\pm$0.1;"[0.9766768  0.97887771 0.97811524 0.97708668 0.97754159 0.97621538
 0.9752816  0.97740935 0.97790286 0.97659403]";97.7$\pm$0.07;"[0.97686589 0.97744009 0.97809995 0.97556008 0.97730354 0.97689812
 0.97653996 0.97632283 0.97809924 0.97679911]";97.26$\pm$0.16;"[0.97254976 0.97354136 0.97549159 0.97113727 0.97070511 0.97238704
 0.97282428 0.97461578 0.97296691 0.96979323]";97.79$\pm$0.1;"[0.97701747 0.97938262 0.97800215 0.97706856 0.97673321 0.97788068
 0.97744739 0.97877799 0.97950817 0.97668285]";96.82$\pm$0.12;"[0.9662844  0.96707802 0.9700451  0.96766237 0.96759111 0.96871876
 0.96745661 0.96951421 0.96984297 0.96795428]";97.52$\pm$0.13;"[0.97393452 0.97503116 0.97684439 0.97383243 0.97453033 0.97629034
 0.97496508 0.9774104  0.97595598 0.97320265]";88.97$\pm$0.19;"[0.89006803 0.89209491 0.88991262 0.88855883 0.88980895 0.89112366
 0.89035657 0.89075904 0.8896282  0.88460839]";97.05$\pm$0.12;"[0.97000868 0.97084107 0.97318206 0.96815348 0.97063843 0.97057654
 0.97068961 0.97115679 0.970478   0.96970691]";88.97$\pm$0.19;"[0.89006803 0.89209491 0.88991262 0.88855883 0.88980895 0.89112366
 0.89035657 0.89075904 0.8896282  0.88460839]";96.48$\pm$0.09;"[0.96445554 0.96331771 0.96601564 0.96461895 0.96328599 0.96514441
 0.96548044 0.96463499 0.96605479 0.96521266]";95.73$\pm$0.28;"[0.96034498 0.95807408 0.95850388 0.95634292 0.95317554 0.95773685
 0.95330165 0.96044537 0.96085537 0.95430454]";97.84$\pm$0.07;"[0.97904827 0.97843877 0.97984934 0.97732462 0.97761348 0.97809112
 0.97795914 0.97829352 0.97899445 0.97883205]";97.78$\pm$0.09;"[0.97712744 0.97718914 0.97828108 0.97703701 0.97765078 0.97790103
 0.97631007 0.97863477 0.97949719 0.97862289]";97.62$\pm$0.11;"[0.97513227 0.97752494 0.9780646  0.975099   0.97499111 0.97607064
 0.97650004 0.97713648 0.9761594  0.97509404]";97.45$\pm$0.1;"[0.97398867 0.97475734 0.97519765 0.97523719 0.97282994 0.97484512
 0.97249416 0.97538311 0.97582652 0.97473888]";97.71$\pm$0.08;"[0.97716968 0.97572279 0.97817741 0.9759421  0.97711943 0.97773839
 0.97622017 0.97790396 0.97716798 0.97798364]";97.47$\pm$0.11;"[0.97384476 0.97658956 0.97521054 0.9742027  0.97389522 0.97483512
 0.9736305  0.97620813 0.97514722 0.97301344]";97.53$\pm$0.13;"[0.97443031 0.97570067 0.97708792 0.97362098 0.97418516 0.97612676
 0.97404789 0.97645698 0.97746566 0.97418737]";95.8$\pm$0.19;"[0.96000651 0.95722856 0.95948106 0.95850956 0.95622499 0.95322392
 0.95949115 0.95794975 0.95913522 0.95891209]";97.59$\pm$0.09;"[0.97578571 0.97491611 0.97702777 0.9757372  0.97582793 0.97646734
 0.97410073 0.97730356 0.97652791 0.97532889]";97.86$\pm$0.11;"[0.97699217 0.97871451 0.97900641 0.97803852 0.9787712  0.97711696
 0.97842145 0.9802619  0.98031309 0.97872848]"
AP;98.28$\pm$0.08;"[0.98249588 0.98416261 0.98302902 0.9826515  0.9831916  0.98227878
 0.98135671 0.98327933 0.98367575 0.98221387]";97.76$\pm$0.12;"[0.97733304 0.97838476 0.97938405 0.97581827 0.97788722 0.97740649
 0.97690614 0.97640459 0.97982052 0.97669988]";97.75$\pm$0.14;"[0.97690053 0.97844433 0.97967673 0.9758363  0.97578948 0.97780148
 0.97762534 0.97901612 0.97843546 0.97516598]";98.04$\pm$0.1;"[0.9796084  0.98147537 0.98055437 0.97957083 0.97940303 0.98102821
 0.97988883 0.98063645 0.98245168 0.97903101]";97.41$\pm$0.1;"[0.9727915  0.9737396  0.97510676 0.97345758 0.97349375 0.97445731
 0.97351896 0.97534014 0.97593301 0.97341028]";97.85$\pm$0.12;"[0.97743956 0.97862001 0.98017419 0.97735484 0.97794747 0.97940161
 0.97816449 0.98054667 0.97908638 0.97661012]";92.14$\pm$0.15;"[0.92151655 0.92371074 0.92179541 0.92046214 0.92137032 0.92202824
 0.92277712 0.92156605 0.92149577 0.91765874]";97.43$\pm$0.11;"[0.97361052 0.97497066 0.97689374 0.97257527 0.97462192 0.97452078
 0.97362851 0.97478008 0.97416258 0.97305067]";92.14$\pm$0.15;"[0.92151655 0.92371074 0.92179541 0.92046214 0.92137032 0.92202824
 0.92277712 0.92156605 0.92149577 0.91765874]";96.89$\pm$0.11;"[0.96768657 0.96844317 0.97053252 0.96911603 0.96732983 0.96934927
 0.9696     0.9683634  0.97051046 0.96801632]";96.65$\pm$0.18;"[0.96783541 0.96752392 0.96823123 0.96595034 0.9637553  0.96691506
 0.96377208 0.967808   0.96899753 0.96443026]";97.89$\pm$0.11;"[0.97912557 0.97874334 0.98070382 0.97703259 0.9770548  0.97931157
 0.97830961 0.97894436 0.9803944  0.97921776]";97.93$\pm$0.08;"[0.97871037 0.97965394 0.97969512 0.97829217 0.97874589 0.97935236
 0.97824339 0.97988957 0.98110907 0.97922826]";97.98$\pm$0.1;"[0.97883421 0.9808536  0.98141659 0.97920187 0.97865359 0.98013087
 0.98003235 0.98000068 0.98067296 0.97835508]";97.81$\pm$0.11;"[0.97789885 0.97908654 0.97908837 0.97811361 0.97590941 0.97891182
 0.97672585 0.97858173 0.97968646 0.97731525]";97.83$\pm$0.1;"[0.97810294 0.97783664 0.98023644 0.97619146 0.97756349 0.9789868
 0.97788858 0.97918315 0.97861999 0.97833744]";97.89$\pm$0.11;"[0.97804896 0.98039527 0.97972582 0.97850547 0.97795422 0.97901813
 0.97845182 0.98001702 0.97996231 0.97677749]";97.71$\pm$0.16;"[0.97656419 0.97759179 0.97928726 0.97553973 0.9756089  0.97785236
 0.97528515 0.97817523 0.97951057 0.9751163 ]";95.6$\pm$0.15;"[0.95739252 0.95570031 0.95766934 0.95489208 0.95574466 0.95242583
 0.95718602 0.95534206 0.95712545 0.95694202]";97.81$\pm$0.09;"[0.97759788 0.97799754 0.97921246 0.97750683 0.97790198 0.9787436
 0.97676668 0.97951734 0.97918736 0.97699919]";97.9$\pm$0.12;"[0.97699597 0.9793051  0.97959118 0.97814563 0.97939413 0.97816827
 0.97843352 0.9799541  0.98158653 0.97843308]"
pretrain_time;nan$\pm$nan;[];41.26$\pm$0.1;"[41.29089093 41.44399381 41.31753588 41.25299382 41.30884409 41.26017618
 41.24392319 41.27618241 41.17824125 41.02544069]";103.33$\pm$0.18;"[103.61799812 103.27228332 103.55778241 103.46418595 103.48397851
 103.18578172 103.08629727 103.18814492 103.23370671 103.18938303]";57.27$\pm$0.56;"[57.52469134 57.78396392 55.80309296 57.99988008 57.54423642 57.23639607
 57.3328011  57.10946226 57.25404739 57.14960098]";143.45$\pm$0.13;"[143.425385   143.67778277 143.57985568 143.38882327 143.64237928
 143.4520607  143.36124921 143.40443635 143.25415874 143.3033638 ]";28.79$\pm$0.1;"[28.52915311 28.70443678 28.79435968 28.86054468 28.79321289 28.80685902
 28.85644889 28.81926775 28.84816694 28.93305135]";nan$\pm$nan;[];160.9$\pm$6.06;"[153.36559224 159.5078609  155.06076646 161.73188853 167.89859319
 166.63616538 168.55605674 167.51788235 153.03268528 155.68825054]";nan$\pm$nan;[];6.41$\pm$0.26;"[6.3360734  7.12202954 6.25027466 6.44033504 6.30501747 6.23407674
 6.26902986 6.28552175 6.6346035  6.26484036]";4.77$\pm$0.06;"[4.67263174 4.66815972 4.77463365 4.81305242 4.77378964 4.83930922
 4.83782172 4.83114219 4.70668006 4.81318545]";227.55$\pm$3.63;"[231.51527643 230.28465319 229.34715104 222.76508188 230.37742782
 223.09477091 223.66596699 232.91297555 227.14167547 224.34985328]";94.9$\pm$0.08;"[94.91077447 94.93139005 94.9363277  94.81442022 94.82924819 94.89496636
 94.77227068 95.06816721 94.84671068 94.94916582]";159.87$\pm$0.11;"[160.09128547 160.0068934  159.91054845 159.8012569  159.80468774
 159.76012921 159.94138002 159.72956848 159.85475087 159.803828  ]";197.65$\pm$0.1;"[197.78319836 197.68258452 197.58115816 197.77204204 197.70125008
 197.51145697 197.57763648 197.66967368 197.47921038 197.71653771]";10.99$\pm$0.01;"[10.96339202 10.99806404 10.98076653 11.00395155 10.98880839 10.99371409
 11.00420904 10.97319102 10.98511481 10.99798822]";11.29$\pm$0.12;"[11.36682844 11.27759409 11.12393379 11.10699081 11.24001408 11.25826597
 11.25044751 11.31991339 11.48357487 11.47851443]";12.02$\pm$0.05;"[12.06052852 11.99844337 11.97612238 11.98091602 11.96059752 12.05779576
 12.00733113 12.15607262 12.03589296 11.99406528]";202.27$\pm$3.55;"[208.75292611 204.09547782 204.8998332  203.9468379  202.66539025
 200.96174693 201.58185363 194.41494846 201.71209049 199.71278524]";50.79$\pm$0.41;"[51.67485952 50.51820874 50.49602747 51.24366665 50.31166482 50.74086499
 50.79030061 50.27519345 50.99236107 50.90160918]";129.71$\pm$0.74;"[130.08843136 130.40576982 130.37911248 129.59642887 129.81788325
 129.75297689 129.0507462  129.70761943 130.43417478 127.87101293]"
