metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast
Hits@20;29.92$\pm$2.86;"[0.31263107 0.30625907 0.3075496  0.30117761 0.28774802 0.25044362
 0.30226649 0.32235038 0.34985482 0.25185514]";38.95$\pm$3.64;"[0.36905146 0.38304565 0.3756251  0.35497661 0.3595338  0.34896758
 0.414583   0.39829005 0.47636716 0.41426036]";38.32$\pm$3.64;"[0.41434102 0.34876593 0.39748347 0.38332796 0.32831908 0.34138571
 0.37885143 0.36723665 0.44789482 0.42410066]";34.92$\pm$2.68;"[0.34174867 0.36070334 0.31839813 0.33348121 0.32694789 0.31831747
 0.36941442 0.35832392 0.41131634 0.35364575]";45.56$\pm$3.78;"[0.45011292 0.40107275 0.39865301 0.44289402 0.4484191  0.43757058
 0.47838361 0.48503791 0.48648976 0.52726246]";32.64$\pm$3.58;"[0.34884659 0.32093886 0.34961284 0.38590902 0.31565575 0.29488627
 0.31561542 0.31537345 0.36457493 0.25278271]";31.94$\pm$2.36;"[0.33787708 0.29036941 0.28883691 0.29863688 0.32985159 0.31263107
 0.31948701 0.35050008 0.36058235 0.30561381]";27.9$\pm$2.69;"[0.30214551 0.21563962 0.26520407 0.26919664 0.26709953 0.28226327
 0.28202129 0.32186643 0.29036941 0.29468463]";34.48$\pm$1.96;"[0.35917083 0.3591305  0.3474754  0.3743749  0.35146798 0.30879981
 0.3496935  0.34457171 0.34299887 0.31057429]";33.23$\pm$3.59;"[0.34812066 0.28762704 0.35477496 0.31819648 0.29331344 0.2825859
 0.40087111 0.3484433  0.36255848 0.32630263]";29.61$\pm$2.7;"[0.30266979 0.30275044 0.2633086  0.34610421 0.30073399 0.29960477
 0.29932247 0.23725601 0.30391999 0.30529118]";31.71$\pm$3.86;"[0.32896435 0.28879658 0.34626553 0.28682045 0.28121471 0.30859816
 0.3904662  0.35812228 0.25629134 0.32581868]";27.18$\pm$2.17;"[0.26911599 0.26032425 0.29194225 0.22176964 0.30359735 0.27072915
 0.26907566 0.28468301 0.25766253 0.28863526]";24.31$\pm$2.24;"[0.25721891 0.21604291 0.2218503  0.25492015 0.24427327 0.21160671
 0.2414099  0.2537506  0.29161962 0.23878851]";27.95$\pm$2.66;"[0.30444427 0.2705275  0.23298113 0.27133409 0.28932086 0.25451686
 0.3338845  0.29157929 0.26197774 0.28399742]";20.93$\pm$2.11;"[0.23882884 0.21479271 0.20128246 0.21777706 0.20204872 0.19067592
 0.1987014  0.20680755 0.24915309 0.17325375]"
Hits@50;44.24$\pm$2.41;"[0.44083723 0.44043394 0.42208421 0.4101468  0.43430392 0.43478787
 0.45043555 0.46140507 0.50241975 0.42760929]";53.22$\pm$2.54;"[0.49858848 0.5120584  0.52980319 0.5354896  0.51746249 0.51391353
 0.53436038 0.53944185 0.59658816 0.54399903]";54.6$\pm$2.54;"[0.5721084  0.53561058 0.53831263 0.55299242 0.50233909 0.50778351
 0.54186159 0.55992902 0.58775609 0.56166317]";51.23$\pm$2.29;"[0.52738345 0.51859171 0.50552508 0.49072431 0.53557025 0.47390708
 0.49290208 0.51798677 0.55654138 0.50379093]";60.58$\pm$2.09;"[0.585417   0.57815777 0.61235683 0.60477496 0.61163091 0.57206808
 0.6310292  0.62227779 0.60263752 0.63804646]";44.16$\pm$1.2;"[0.4291418  0.44257138 0.4370463  0.4572915  0.43466688 0.43765123
 0.44950799 0.4471689  0.46132441 0.41986611]";46.56$\pm$2.44;"[0.47814164 0.45015325 0.46015486 0.45467011 0.45273431 0.4376109
 0.50600903 0.46543797 0.51157445 0.43910308]";41.51$\pm$2.0;"[0.43623972 0.3696564  0.43373931 0.41228424 0.38929666 0.4088966
 0.43035167 0.42176157 0.42389902 0.42478626]";48.86$\pm$2.15;"[0.51560736 0.48310211 0.49213583 0.52310857 0.48761897 0.44253105
 0.4790692  0.47475399 0.50362962 0.484191  ]";47.46$\pm$2.19;"[0.47971447 0.4547911  0.46705114 0.48132763 0.45769479 0.42716567
 0.49487821 0.48661074 0.49286175 0.50383126]";46.42$\pm$1.71;"[0.45446846 0.47427004 0.46366349 0.44785449 0.50213744 0.45721084
 0.48140829 0.43837716 0.46192934 0.46039684]";46.78$\pm$2.04;"[0.47519761 0.45644459 0.46293757 0.44547508 0.42075335 0.4822552
 0.48253751 0.48665107 0.48435231 0.48185191]";41.53$\pm$1.76;"[0.39804807 0.40942087 0.42785127 0.44946766 0.41026779 0.39373286
 0.42716567 0.43394096 0.40913857 0.39445878]";38.63$\pm$3.21;"[0.40042749 0.38046459 0.36832554 0.405025   0.35114535 0.31396193
 0.39421681 0.4155509  0.42510889 0.40897725]";41.22$\pm$1.51;"[0.411397   0.41551057 0.44120019 0.41397806 0.40079045 0.38627198
 0.42611712 0.40244394 0.39909663 0.42474593]";32.69$\pm$2.15;"[0.36025972 0.33682852 0.31376028 0.32537506 0.31408292 0.28565091
 0.3281981  0.32779481 0.36211486 0.31529279]"
Hits@100;55.88$\pm$1.92;"[0.57170511 0.56138087 0.54258751 0.55484756 0.5619858  0.52613325
 0.55750928 0.56448621 0.60259719 0.54468463]";65.08$\pm$2.41;"[0.66430069 0.63002097 0.64429747 0.65736409 0.63812712 0.61517987
 0.64881432 0.65083078 0.71136474 0.64776577]";65.89$\pm$2.08;"[0.66466366 0.63272302 0.67906114 0.68470721 0.64308759 0.62651234
 0.63909502 0.66079206 0.67522988 0.68281174]";65.06$\pm$1.22;"[0.64982255 0.6629295  0.6547427  0.64772544 0.65994515 0.62610905
 0.63469915 0.64639458 0.66881755 0.65494435]";71.46$\pm$1.73;"[0.69144217 0.6876109  0.71309889 0.72451202 0.73237619 0.69753186
 0.74350702 0.71676883 0.71180836 0.72713341]";50.38$\pm$1.49;"[0.48112599 0.49298274 0.51548637 0.52944023 0.48523955 0.50879174
 0.51060655 0.5066543  0.51762381 0.49052266]";59.52$\pm$2.8;"[0.61808356 0.57356025 0.58481207 0.5883207  0.60126633 0.53504598
 0.6196564  0.61929343 0.63425553 0.5775125 ]";53.13$\pm$1.61;"[0.52258429 0.50988063 0.53887724 0.534804   0.5104049  0.51004194
 0.54073238 0.55738829 0.5446443  0.54391837]";62.1$\pm$2.45;"[0.64232134 0.61421197 0.62280206 0.6500242  0.65361349 0.56787385
 0.60445233 0.61751895 0.63401355 0.60352476]";59.41$\pm$1.23;"[0.59630586 0.57319729 0.59384578 0.60558155 0.58872399 0.57412486
 0.60985643 0.60929182 0.59154702 0.59808034]";59.81$\pm$1.51;"[0.5965075  0.59190999 0.60723504 0.58182771 0.60719471 0.58505404
 0.61267946 0.57118084 0.62385062 0.60368608]";57.64$\pm$0.88;"[0.59005485 0.56855945 0.55730763 0.57493144 0.58077916 0.57239071
 0.57956929 0.57464914 0.58622358 0.57924665]";54.78$\pm$1.51;"[0.56005001 0.53944185 0.5617035  0.58202936 0.54170027 0.52774641
 0.54218422 0.5452089  0.53351347 0.54440232]";50.92$\pm$2.45;"[0.49955638 0.49741894 0.49753993 0.53637683 0.47318116 0.47499597
 0.52101145 0.52766575 0.55355703 0.51024359]";52.3$\pm$1.39;"[0.52169705 0.54194225 0.52698016 0.53262623 0.51145346 0.49725762
 0.51544604 0.51851105 0.5177448  0.54653976]";44.92$\pm$2.39;"[0.47935151 0.45644459 0.4632602  0.43446524 0.42583481 0.41159864
 0.44499113 0.45793676 0.49128892 0.42708501]"
ROCAUC;98.07$\pm$0.05;"[0.98087843 0.98035207 0.98049779 0.98076477 0.98160576 0.9808263
 0.98018038 0.98085652 0.98130654 0.97996081]";98.46$\pm$0.06;"[0.98461681 0.98318909 0.98445804 0.98443833 0.9848707  0.98463852
 0.98438282 0.9847523  0.98557765 0.98466924]";98.28$\pm$0.06;"[0.98311397 0.98218656 0.98259862 0.98357284 0.98353045 0.98239841
 0.98161577 0.98354082 0.98295645 0.98230291]";98.62$\pm$0.06;"[0.98570685 0.98561564 0.98693529 0.9867105  0.98684591 0.98533543
 0.9854492  0.98602253 0.98712159 0.98637006]";98.02$\pm$0.07;"[0.97988385 0.97921126 0.97973332 0.98071445 0.98154206 0.98098304
 0.97962014 0.97971076 0.98026111 0.98029381]";92.75$\pm$0.18;"[0.92866345 0.92769279 0.92453787 0.93038177 0.92791045 0.92702623
 0.92902075 0.92723176 0.92814558 0.92419064]";98.26$\pm$0.07;"[0.98340293 0.98142022 0.98250628 0.9825995  0.98291488 0.98167332
 0.98250274 0.98277025 0.98405076 0.98212743]";96.94$\pm$0.11;"[0.97002893 0.9666825  0.96940993 0.96995796 0.96985356 0.96972925
 0.96842375 0.97088005 0.96952157 0.96920907]";98.48$\pm$0.06;"[0.98516983 0.98393722 0.98463353 0.98488021 0.98611897 0.98443005
 0.98414961 0.98496392 0.98531404 0.98436194]";98.22$\pm$0.06;"[0.98271321 0.98113251 0.98185418 0.98263879 0.9831246  0.98143304
 0.98247742 0.98199436 0.98245475 0.98226692]";98.37$\pm$0.04;"[0.98392467 0.98350346 0.98336571 0.98421851 0.98417496 0.98357278
 0.98315824 0.9834167  0.98424465 0.98327926]";97.86$\pm$0.05;"[0.97908393 0.97835107 0.97771347 0.97843605 0.9784198  0.97861608
 0.97809052 0.97957404 0.97920042 0.97858413]";98.06$\pm$0.08;"[0.98088077 0.97915593 0.98063355 0.98183277 0.98120359 0.97979165
 0.98048007 0.97992725 0.98133689 0.98064713]";98.02$\pm$0.06;"[0.98034826 0.97893336 0.98007384 0.98042531 0.98082743 0.98018315
 0.97966674 0.98075843 0.98107183 0.97968089]";97.55$\pm$0.09;"[0.97653699 0.97698618 0.97538601 0.97413709 0.97495159 0.97417445
 0.9754946  0.97575672 0.97519011 0.97595305]";97.29$\pm$0.05;"[0.97379434 0.97213969 0.9726634  0.97291015 0.97316123 0.97286485
 0.97180166 0.97314473 0.97325279 0.97276882]"
AP;98.13$\pm$0.05;"[0.98147917 0.9809179  0.98106739 0.98145625 0.98197777 0.98107391
 0.98076681 0.98143593 0.9821303  0.98054363]";98.56$\pm$0.05;"[0.98570795 0.98464446 0.98560226 0.98557783 0.98575294 0.9855271
 0.98525863 0.98572057 0.98688283 0.9857665 ]";98.43$\pm$0.05;"[0.98493328 0.98372927 0.98443424 0.98498314 0.98458666 0.98384237
 0.98336318 0.98442963 0.98491469 0.98410049]";98.67$\pm$0.05;"[0.98652383 0.98624826 0.98702121 0.98701327 0.98730687 0.98590539
 0.98622446 0.98637575 0.98772995 0.98696249]";98.37$\pm$0.06;"[0.98339542 0.98252176 0.98322534 0.98419481 0.98459603 0.9841919
 0.9834902  0.98349941 0.98386879 0.98390796]";94.65$\pm$0.14;"[0.94754837 0.94601038 0.94479724 0.94888671 0.94674069 0.94629662
 0.94779108 0.94644485 0.9471809  0.94374579]";98.31$\pm$0.08;"[0.98387717 0.98228521 0.98288618 0.98307005 0.9835465  0.98199352
 0.98318043 0.98341026 0.98472966 0.98239107]";97.26$\pm$0.1;"[0.97321327 0.97006327 0.97277102 0.97264842 0.97277819 0.97281648
 0.97204586 0.97414692 0.97295211 0.97289421]";98.53$\pm$0.06;"[0.98572334 0.98455494 0.98527007 0.98572227 0.98649589 0.9845629
 0.98459792 0.98528437 0.98578429 0.9847847 ]";98.31$\pm$0.05;"[0.98353085 0.9820706  0.98268132 0.98357487 0.98349457 0.98221197
 0.98339745 0.98299418 0.98352384 0.98319109]";98.42$\pm$0.05;"[0.98431774 0.98419635 0.98368745 0.98464421 0.9847796  0.98407292
 0.98367166 0.98376208 0.98500326 0.98375156]";97.98$\pm$0.05;"[0.98020179 0.97927465 0.97918921 0.97955376 0.97949295 0.97963011
 0.97952242 0.98074111 0.98023705 0.97983632]";98.07$\pm$0.08;"[0.98119766 0.97940498 0.98114907 0.98196754 0.98144582 0.97982676
 0.98060145 0.98014768 0.9812492  0.98041737]";97.96$\pm$0.07;"[0.97986578 0.97819944 0.97949947 0.98017304 0.98003279 0.97889115
 0.97909929 0.98033413 0.98058593 0.97922685]";97.6$\pm$0.09;"[0.97666443 0.97746853 0.9760474  0.97486967 0.97570012 0.97438367
 0.97607823 0.97632377 0.97558857 0.97675546]";97.26$\pm$0.07;"[0.9738225  0.97209443 0.97255372 0.9728259  0.97281241 0.97228043
 0.97162203 0.97263044 0.97379718 0.97195918]"
pretrain_time;30.77$\pm$0.18;"[30.53523397 30.7482028  30.6922667  30.80330467 30.48117352 30.65132737
 30.93768883 31.05878878 30.7418108  31.01440549]";536.38$\pm$1.46;"[533.11416125 535.59488082 538.80938935 535.94591713 537.39040208
 536.74282503 535.88278723 537.74244452 536.79332137 535.73916674]";543.2$\pm$0.16;"[543.15864921 543.01718903 543.31668544 543.07304621 543.01528859
 543.58603787 543.19485068 543.22630501 543.24869275 543.12411165]";1115.79$\pm$1.19;"[1114.23891664 1116.17449284 1115.87645054 1115.2401371  1116.20885444
 1114.10330224 1118.50956297 1115.81618929 1115.22849536 1116.52004313]";543.6$\pm$1.12;"[543.94633436 544.40310359 543.13845158 542.19098973 544.73432851
 545.25064397 543.92020178 542.29566979 541.79567289 544.3280127 ]";nan$\pm$nan;[];178.11$\pm$1.56;"[174.30520034 178.74160528 178.93109393 179.02754378 176.0845964
 178.53924799 179.14870262 178.9713788  177.88339925 179.48015475]";637.48$\pm$1.98;"[636.1253109  637.3366766  635.90648031 636.48510766 640.57925057
 638.73550797 638.24001169 633.625      637.61147857 640.17232156]";186.08$\pm$0.93;"[186.46939373 186.26224351 186.19473457 183.41620231 185.81103277
 186.35477471 186.75666046 186.13338447 186.65284944 186.70072484]";1100.96$\pm$1.97;"[1098.80937982 1103.5370779  1103.3174336  1100.86533523 1100.0559144
 1099.02918553 1100.39304924 1098.80063939 1100.31675243 1104.45567179]";248.72$\pm$2.36;"[248.28565621 249.2527597  250.27298737 246.36454368 251.97476101
 247.05170655 251.28389192 245.25015187 251.51301122 245.95841098]";5.91$\pm$0.11;"[5.79315877 5.79585814 6.02023244 6.02110958 6.00844908 5.84831095
 5.81013179 5.802073   6.03049016 6.01002693]";202.85$\pm$2.77;"[198.43040729 203.45825362 205.42963624 200.90023589 206.64968395
 205.14109325 201.31767011 206.16803384 199.44642496 201.57723999]";188.98$\pm$1.9;"[191.18407512 188.11273003 188.5987699  190.74093533 185.86853433
 190.29459882 190.15701413 187.11278772 191.21056938 186.56453872]";42.37$\pm$1.09;"[41.4280827  41.1278429  44.40855956 43.25082827 41.28348923 42.95007062
 43.02768755 41.1433351  41.78901601 43.25429893]";61.78$\pm$3.45;"[59.54604959 60.15527463 60.05475354 69.35528708 60.58634377 60.6208117
 60.14761257 59.48114848 67.87990785 59.9911623 ]"
