metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;69.72$\pm$4.17;"[0.65420561 0.71028037 0.67757009 0.73831776 0.61214953 0.71495327
 0.72429907 0.68224299 0.69158879 0.76635514]";58.13$\pm$6.36;"[0.51401869 0.53738318 0.56074766 0.52336449 0.53271028 0.58878505
 0.59813084 0.61214953 0.60280374 0.74299065]";31.68$\pm$10.03;"[0.30373832 0.31308411 0.1635514  0.21962617 0.18691589 0.39719626
 0.37850467 0.42990654 0.48130841 0.29439252]";54.39$\pm$6.2;"[0.46261682 0.51401869 0.51869159 0.47663551 0.46261682 0.62616822
 0.61682243 0.56542056 0.57943925 0.61682243]";33.32$\pm$9.49;"[0.29906542 0.3411215  0.23831776 0.19626168 0.21028037 0.40186916
 0.36915888 0.47196262 0.47663551 0.3271028 ]";64.07$\pm$6.95;"[0.55607477 0.72429907 0.65420561 0.67757009 0.52803738 0.71028037
 0.6728972  0.55140187 0.61682243 0.71495327]";33.32$\pm$9.49;"[0.29906542 0.3411215  0.23831776 0.19626168 0.21028037 0.40186916
 0.36915888 0.47196262 0.47663551 0.3271028 ]";62.57$\pm$6.55;"[0.5046729  0.61682243 0.72429907 0.58878505 0.56542056 0.65420561
 0.71962617 0.60747664 0.59813084 0.67757009]";49.49$\pm$7.43;"[0.5        0.51401869 0.48130841 0.52336449 0.43925234 0.47663551
 0.57009346 0.45794393 0.34579439 0.64018692]";70.33$\pm$6.21;"[0.69626168 0.64953271 0.78971963 0.74299065 0.64018692 0.72429907
 0.74299065 0.64018692 0.61214953 0.79439252]";62.94$\pm$5.33;"[0.55607477 0.64485981 0.6588785  0.6728972  0.51401869 0.6588785
 0.67757009 0.60280374 0.62616822 0.68224299]";62.24$\pm$4.15;"[0.64953271 0.59813084 0.56074766 0.62149533 0.65420561 0.64953271
 0.64953271 0.55140187 0.60280374 0.68691589]";59.67$\pm$7.37;"[0.45794393 0.72429907 0.60747664 0.54205607 0.50934579 0.63084112
 0.64485981 0.57009346 0.63551402 0.64485981]";60.28$\pm$8.14;"[0.51401869 0.68224299 0.59345794 0.57009346 0.43457944 0.64485981
 0.6588785  0.63084112 0.57009346 0.72897196]";64.67$\pm$7.55;"[0.59345794 0.71495327 0.63551402 0.73364486 0.54205607 0.68224299
 0.71495327 0.56542056 0.54672897 0.73831776]";57.48$\pm$4.69;"[0.51869159 0.62616822 0.56542056 0.56542056 0.53271028 0.62149533
 0.64953271 0.5        0.56542056 0.60280374]";56.78$\pm$5.54;"[0.45327103 0.49065421 0.63551402 0.59345794 0.58878505 0.57943925
 0.61682243 0.58411215 0.52803738 0.60747664]";57.99$\pm$5.42;"[0.52336449 0.54672897 0.63084112 0.55140187 0.47663551 0.56074766
 0.6588785  0.60747664 0.61214953 0.63084112]";62.24$\pm$6.46;"[0.59813084 0.6588785  0.6682243  0.62149533 0.5046729  0.61682243
 0.68224299 0.52803738 0.61682243 0.72897196]";72.52$\pm$5.66;"[0.70560748 0.69626168 0.71962617 0.72429907 0.68691589 0.67757009
 0.81775701 0.65420561 0.72897196 0.8411215 ]";67.24$\pm$5.96;"[0.64485981 0.62149533 0.78037383 0.67757009 0.59813084 0.69626168
 0.72897196 0.61682243 0.61682243 0.74299065]";58.83$\pm$6.18;"[0.52803738 0.64953271 0.65420561 0.61682243 0.58878505 0.60280374
 0.60747664 0.48130841 0.4953271  0.6588785 ]";74.11$\pm$3.87;"[0.71028037 0.74299065 0.78504673 0.72429907 0.6728972  0.78971963
 0.78971963 0.70093458 0.72897196 0.76635514]";55.0$\pm$5.3;"[0.5        0.51869159 0.52336449 0.45794393 0.54205607 0.55607477
 0.65420561 0.57009346 0.56542056 0.61214953]"
Hits@50;90.51$\pm$2.36;"[0.89252336 0.91588785 0.94392523 0.89719626 0.88785047 0.92056075
 0.92990654 0.86448598 0.87850467 0.92056075]";81.64$\pm$3.4;"[0.78037383 0.79439252 0.84579439 0.80373832 0.79439252 0.86915888
 0.8271028  0.76168224 0.82242991 0.86448598]";61.59$\pm$4.54;"[0.63084112 0.62616822 0.62149533 0.54672897 0.51401869 0.6682243
 0.63084112 0.64018692 0.62616822 0.65420561]";81.4$\pm$3.91;"[0.8411215  0.85514019 0.76168224 0.78037383 0.77570093 0.86448598
 0.77570093 0.82242991 0.79439252 0.86915888]";61.21$\pm$4.68;"[0.62149533 0.61214953 0.61682243 0.56542056 0.5        0.68224299
 0.62149533 0.62616822 0.62149533 0.65420561]";84.35$\pm$5.18;"[0.81775701 0.91121495 0.86448598 0.82242991 0.81775701 0.89252336
 0.90654206 0.75700935 0.77102804 0.87383178]";61.21$\pm$4.68;"[0.62149533 0.61214953 0.61682243 0.56542056 0.5        0.68224299
 0.62149533 0.62616822 0.62149533 0.65420561]";83.93$\pm$4.31;"[0.76168224 0.85981308 0.87383178 0.8364486  0.80373832 0.91121495
 0.84579439 0.8364486  0.78504673 0.87850467]";78.41$\pm$4.48;"[0.78971963 0.81775701 0.78504673 0.82242991 0.79439252 0.85514019
 0.75233645 0.74299065 0.68691589 0.79439252]";89.39$\pm$2.25;"[0.88785047 0.90654206 0.92523364 0.88785047 0.87383178 0.91121495
 0.91121495 0.84579439 0.87850467 0.91121495]";85.93$\pm$3.98;"[0.79906542 0.91121495 0.89719626 0.86448598 0.8411215  0.88317757
 0.86915888 0.80373832 0.81775701 0.90654206]";84.67$\pm$2.71;"[0.8411215  0.86448598 0.87850467 0.84579439 0.8364486  0.86915888
 0.86915888 0.79906542 0.79906542 0.86448598]";86.31$\pm$4.16;"[0.87383178 0.92990654 0.87850467 0.85046729 0.75700935 0.85981308
 0.85514019 0.87383178 0.85981308 0.89252336]";83.69$\pm$2.24;"[0.8317757  0.8364486  0.85514019 0.8271028  0.81308411 0.86448598
 0.8317757  0.8317757  0.79906542 0.87850467]";87.76$\pm$4.6;"[0.8364486  0.92056075 0.87850467 0.90186916 0.8411215  0.90654206
 0.88785047 0.79906542 0.8411215  0.96261682]";78.69$\pm$3.73;"[0.74766355 0.77570093 0.72897196 0.78504673 0.77570093 0.8364486
 0.8271028  0.79439252 0.75233645 0.84579439]";83.55$\pm$4.3;"[0.76168224 0.88317757 0.84579439 0.80373832 0.79906542 0.89252336
 0.8317757  0.81308411 0.82242991 0.90186916]";82.52$\pm$2.53;"[0.8364486  0.81775701 0.81775701 0.8411215  0.77570093 0.8317757
 0.85046729 0.79906542 0.81308411 0.86915888]";86.78$\pm$2.47;"[0.8364486  0.90654206 0.86448598 0.85981308 0.8271028  0.90654206
 0.87850467 0.85514019 0.86448598 0.87850467]";90.37$\pm$3.96;"[0.88785047 0.91588785 0.94859813 0.90654206 0.92056075 0.90186916
 0.92056075 0.79906542 0.89252336 0.94392523]";85.61$\pm$3.41;"[0.85981308 0.8317757  0.89719626 0.8411215  0.88317757 0.85981308
 0.87383178 0.79906542 0.80841121 0.90654206]";82.99$\pm$2.05;"[0.8271028  0.85514019 0.85514019 0.84579439 0.82242991 0.85046729
 0.82242991 0.78971963 0.80841121 0.82242991]";90.79$\pm$2.2;"[0.89719626 0.92990654 0.90654206 0.92990654 0.88785047 0.94392523
 0.90654206 0.88785047 0.86915888 0.92056075]";81.21$\pm$3.33;"[0.80841121 0.78504673 0.8364486  0.78504673 0.76168224 0.8411215
 0.85046729 0.78504673 0.79906542 0.86915888]"
Hits@100;97.2$\pm$0.93;"[0.95327103 0.96728972 0.98598131 0.97663551 0.98130841 0.96261682
 0.97196262 0.97196262 0.96728972 0.98130841]";94.49$\pm$2.02;"[0.94859813 0.97196262 0.94392523 0.94392523 0.93925234 0.97196262
 0.92523364 0.90186916 0.93925234 0.96261682]";80.47$\pm$2.88;"[0.80373832 0.81775701 0.74766355 0.77570093 0.79439252 0.85514019
 0.8317757  0.79439252 0.79906542 0.8271028 ]";96.31$\pm$1.6;"[0.97196262 0.94392523 0.97663551 0.92990654 0.95327103 0.97663551
 0.96261682 0.96261682 0.96728972 0.98598131]";80.61$\pm$2.64;"[0.78971963 0.8364486  0.75700935 0.78037383 0.79439252 0.84579439
 0.8317757  0.79439252 0.81308411 0.81775701]";95.75$\pm$1.7;"[0.93457944 0.97196262 0.96728972 0.95794393 0.93925234 0.97663551
 0.96261682 0.92523364 0.96728972 0.97196262]";80.61$\pm$2.64;"[0.78971963 0.8364486  0.75700935 0.78037383 0.79439252 0.84579439
 0.8317757  0.79439252 0.81308411 0.81775701]";92.99$\pm$2.0;"[0.92990654 0.92523364 0.94859813 0.89252336 0.92990654 0.95327103
 0.93925234 0.92990654 0.89719626 0.95327103]";92.43$\pm$2.32;"[0.94392523 0.94392523 0.92523364 0.95327103 0.91588785 0.93457944
 0.91588785 0.89719626 0.87383178 0.93925234]";95.56$\pm$1.17;"[0.93925234 0.95327103 0.97196262 0.94859813 0.95794393 0.97196262
 0.95794393 0.93457944 0.95794393 0.96261682]";96.82$\pm$1.04;"[0.95327103 0.97663551 0.98598131 0.96261682 0.97196262 0.97196262
 0.97663551 0.95794393 0.95327103 0.97196262]";95.56$\pm$1.73;"[0.97196262 0.92523364 0.97663551 0.96261682 0.94392523 0.97663551
 0.96728972 0.93457944 0.94392523 0.95327103]";98.18$\pm$1.33;"[0.99065421 0.9953271  0.98598131 0.97663551 0.94859813 0.97196262
 0.98130841 0.98130841 0.99065421 0.9953271 ]";96.68$\pm$1.47;"[0.97663551 0.96261682 0.96261682 0.97663551 0.96261682 0.98130841
 0.98130841 0.94392523 0.93925234 0.98130841]";98.64$\pm$0.61;"[0.97663551 0.99065421 0.99065421 0.98130841 0.98598131 0.99065421
 0.99065421 0.97663551 0.98598131 0.9953271 ]";93.5$\pm$1.87;"[0.93925234 0.92990654 0.95327103 0.92523364 0.91121495 0.95327103
 0.93457944 0.92056075 0.91121495 0.97196262]";96.07$\pm$1.69;"[0.96728972 0.97196262 0.96728972 0.97196262 0.92990654 0.97196262
 0.96728972 0.94392523 0.93457944 0.98130841]";94.63$\pm$1.59;"[0.95327103 0.95794393 0.94392523 0.96728972 0.91588785 0.93925234
 0.93457944 0.94392523 0.93457944 0.97196262]";96.87$\pm$0.94;"[0.98130841 0.95327103 0.96728972 0.96728972 0.95794393 0.98130841
 0.98130841 0.96728972 0.96261682 0.96728972]";95.7$\pm$1.64;"[0.94392523 0.97196262 0.98130841 0.97196262 0.94392523 0.95327103
 0.97196262 0.92990654 0.93925234 0.96261682]";94.25$\pm$2.36;"[0.92990654 0.95327103 0.97196262 0.95794393 0.95794393 0.95327103
 0.93457944 0.90654206 0.89719626 0.96261682]";96.26$\pm$1.43;"[0.95794393 0.96261682 0.98598131 0.96261682 0.95794393 0.97663551
 0.95794393 0.93925234 0.94392523 0.98130841]";97.85$\pm$0.96;"[0.97663551 0.99065421 0.98130841 0.97663551 0.98130841 0.9953271
 0.97663551 0.95794393 0.97663551 0.97196262]";96.07$\pm$1.7;"[0.97663551 0.94392523 0.97196262 0.94392523 0.92990654 0.97196262
 0.96728972 0.96728972 0.94859813 0.98598131]"
ROCAUC;90.64$\pm$1.09;"[0.88625644 0.91123679 0.91970914 0.91006877 0.89186829 0.90850729
 0.91323329 0.90014412 0.90058084 0.92195825]";87.02$\pm$1.54;"[0.85559874 0.87232509 0.87522928 0.86201728 0.85634117 0.89033977
 0.86617524 0.84915713 0.87295834 0.90184732]";74.81$\pm$2.57;"[0.73576295 0.76063412 0.72491047 0.71140451 0.70571666 0.78771072
 0.77026019 0.75921478 0.76032841 0.76497947]";86.97$\pm$1.71;"[0.85835007 0.87750022 0.85422308 0.84579439 0.8492008  0.90060267
 0.87326138 0.87418115 0.87241244 0.89191196]";74.64$\pm$2.74;"[0.73558826 0.76327627 0.71969168 0.70631282 0.70200454 0.78784173
 0.76745206 0.75853786 0.75912743 0.76465193]";88.65$\pm$2.0;"[0.8618875  0.90973011 0.89352782 0.88610915 0.86525024 0.90684776
 0.90551095 0.85297843 0.87695432 0.90597432]";74.64$\pm$2.74;"[0.73558826 0.76327627 0.71969168 0.70631282 0.70200454 0.78784173
 0.76745206 0.75853786 0.75912743 0.76465193]";87.31$\pm$1.76;"[0.8474976  0.88046991 0.89584243 0.85549286 0.85743296 0.8955804
 0.88096178 0.86690977 0.85703992 0.89409555]";84.61$\pm$2.25;"[0.85321862 0.85817539 0.84284654 0.86126785 0.84035724 0.8621932
 0.85948401 0.82116342 0.79172854 0.87049087]";90.34$\pm$1.19;"[0.89335313 0.89726177 0.92311556 0.89776935 0.89101668 0.91141148
 0.91365013 0.88662765 0.90119224 0.91890121]";89.15$\pm$1.49;"[0.86293563 0.9094244  0.90726264 0.89536678 0.87483623 0.90117041
 0.90406301 0.87885405 0.88254433 0.89887763]";88.23$\pm$0.98;"[0.88916063 0.87908333 0.88960826 0.87894551 0.87633199 0.89722902
 0.89289632 0.86306664 0.87304568 0.88385449]";89.26$\pm$1.74;"[0.87704166 0.92104114 0.89739279 0.88359637 0.85570792 0.89132239
 0.90926243 0.88715172 0.8983099  0.90555944]";88.12$\pm$1.57;"[0.86533758 0.89300376 0.88317757 0.878152   0.85151542 0.90534108
 0.89561669 0.87686698 0.86837278 0.8950345 ]";90.41$\pm$1.74;"[0.886715   0.91881387 0.90617084 0.91275789 0.88330859 0.91232859
 0.924751   0.88079745 0.88603808 0.92925146]";86.11$\pm$1.64;"[0.85280374 0.857695   0.85976941 0.84625727 0.84184208 0.88442222
 0.88219034 0.85258538 0.84559787 0.8878068 ]";87.57$\pm$1.75;"[0.84430955 0.87448685 0.89313477 0.87028302 0.86201852 0.89256704
 0.88561274 0.87042536 0.85922351 0.90501354]";87.23$\pm$1.35;"[0.86586165 0.86963927 0.8823478  0.86911479 0.84171107 0.87073107
 0.88581019 0.87094943 0.87169185 0.89562407]";89.25$\pm$1.3;"[0.88737008 0.89841908 0.89977291 0.88782843 0.86808892 0.90387807
 0.90919661 0.87560049 0.88715172 0.9080269 ]";90.87$\pm$1.64;"[0.89261071 0.9088785  0.92169622 0.90845971 0.90370338 0.90352869
 0.92935808 0.87289283 0.91647742 0.92933881]";88.54$\pm$1.72;"[0.87276181 0.87328588 0.91104027 0.88882031 0.88581972 0.89754564
 0.89498047 0.86428946 0.85756398 0.90796139]";87.81$\pm$1.41;"[0.86217137 0.8878723  0.89271989 0.88558014 0.8770635  0.88693336
 0.87986486 0.8541139  0.8588523  0.89619181]";91.86$\pm$1.04;"[0.90769936 0.92656564 0.92850904 0.92080321 0.90117041 0.93246135
 0.9298846  0.90625819 0.91322386 0.91951262]";87.12$\pm$1.66;"[0.86531575 0.85234518 0.87289283 0.84667607 0.85520569 0.88745742
 0.89629678 0.87276181 0.86699712 0.89566774]"
AP;89.51$\pm$1.53;"[0.86579443 0.91052066 0.89488702 0.89329743 0.87633476 0.90472711
 0.90905232 0.88823731 0.8901504  0.91803467]";85.73$\pm$1.78;"[0.83585755 0.85594207 0.85793037 0.84682725 0.83539119 0.87244817
 0.86124365 0.83842015 0.88112398 0.88794436]";72.44$\pm$3.85;"[0.70646692 0.75479338 0.6789426  0.67280079 0.66176902 0.75904053
 0.75040766 0.75947884 0.76583559 0.73433099]";84.56$\pm$2.63;"[0.82563028 0.86339021 0.81054888 0.80867707 0.81979799 0.88943487
 0.8587482  0.85210565 0.85418087 0.87314861]";72.02$\pm$3.94;"[0.71266948 0.7561126  0.68224641 0.66402031 0.64686504 0.75699236
 0.73827803 0.75234532 0.75333751 0.73901926]";87.66$\pm$2.29;"[0.84471062 0.91005364 0.87643578 0.87526821 0.85130279 0.89719433
 0.89896847 0.84077094 0.87837861 0.89293479]";72.02$\pm$3.94;"[0.71266948 0.7561126  0.68224641 0.66402031 0.64686504 0.75699236
 0.73827803 0.75234532 0.75333751 0.73901926]";87.03$\pm$1.56;"[0.84013181 0.89185342 0.88283064 0.86727346 0.86101298 0.88910968
 0.86130188 0.85598293 0.87061471 0.88307141]";83.14$\pm$3.07;"[0.84615574 0.83947206 0.80695006 0.84187597 0.83037167 0.85169126
 0.85661391 0.80465438 0.7617913  0.87418169]";89.65$\pm$1.48;"[0.89536031 0.89198526 0.91037631 0.89087234 0.86945243 0.90753888
 0.90846151 0.87257913 0.90391338 0.91402169]";87.82$\pm$1.89;"[0.84691141 0.89870057 0.88099265 0.8812188  0.85280274 0.89852293
 0.90174765 0.85733372 0.8761096  0.88777076]";86.69$\pm$1.55;"[0.88495647 0.87774091 0.84868803 0.85810133 0.84831509 0.89064017
 0.87370476 0.84457095 0.87633452 0.86565567]";87.23$\pm$2.36;"[0.83637491 0.90742003 0.88023596 0.87423501 0.82851455 0.87345667
 0.90392535 0.86786015 0.8768257  0.87459025]";86.39$\pm$2.46;"[0.83346072 0.88226537 0.85570451 0.86356638 0.8188212  0.90199436
 0.89819415 0.86646488 0.86305593 0.85570277]";88.61$\pm$2.05;"[0.87267986 0.90525552 0.8787141  0.89854754 0.85242504 0.89436507
 0.92712774 0.86505194 0.87662085 0.88981849]";85.66$\pm$1.8;"[0.84594719 0.86430312 0.85440318 0.85229985 0.82915785 0.87534548
 0.8846942  0.82874093 0.85504554 0.8759905 ]";85.51$\pm$2.47;"[0.81066794 0.84749477 0.8768035  0.84094362 0.83781744 0.86709513
 0.88523724 0.8595097  0.83198401 0.89390774]";86.26$\pm$1.74;"[0.85744787 0.85458312 0.8751828  0.85230028 0.82331375 0.86864518
 0.88904805 0.8542743  0.87529562 0.8754828 ]";87.55$\pm$2.05;"[0.86885955 0.88978159 0.89197873 0.86824824 0.83849406 0.88055275
 0.90706668 0.84244995 0.88609264 0.8812849 ]";90.38$\pm$1.81;"[0.88986668 0.90232408 0.90021149 0.90752411 0.88297589 0.89895165
 0.93532262 0.87440474 0.92102227 0.92523586]";88.21$\pm$1.63;"[0.87639036 0.86780667 0.89728752 0.88215318 0.86935915 0.90244563
 0.90681425 0.85527132 0.86990954 0.89336146]";86.13$\pm$1.59;"[0.85145173 0.87342054 0.86156076 0.87701564 0.86271157 0.87479343
 0.87578992 0.83007614 0.83692705 0.86921279]";90.95$\pm$1.56;"[0.89501187 0.91628686 0.92055413 0.91016428 0.88808568 0.91448953
 0.93352893 0.88091112 0.92155746 0.91478958]";85.3$\pm$1.71;"[0.84432209 0.83846068 0.84188897 0.82661961 0.8448228  0.87140888
 0.88233703 0.84594835 0.86036205 0.87377679]"
pretrain_time;nan$\pm$nan;[];28.1$\pm$0.56;"[27.84717822 27.72325397 27.77367687 27.873528   27.8327229  29.36332655
 29.04263997 27.87609911 27.8228302  27.84250188]";nan$\pm$nan;[];63.12$\pm$0.32;"[63.62208414 62.78212667 63.43513322 62.66208005 62.81512237 62.95912242
 63.23168302 62.97003651 63.58173704 63.16140389]";nan$\pm$nan;[];1.47$\pm$0.04;"[1.51255751 1.51057315 1.4179101  1.42096829 1.41890693 1.53225827
 1.42228961 1.48681331 1.48814917 1.51872039]";nan$\pm$nan;[];0.84$\pm$0.03;"[0.86518097 0.82399225 0.82190228 0.81796312 0.81804442 0.84117937
 0.83226514 0.82752037 0.82634807 0.909585  ]";38.2$\pm$0.65;"[37.85456109 37.78340578 39.15816045 37.80071998 37.91947269 37.82114577
 37.99447942 39.77360821 37.92724943 37.94073248]";1.39$\pm$0.04;"[1.37686825 1.46233773 1.36613584 1.46685958 1.37721848 1.40517068
 1.35718656 1.36058807 1.3619504  1.36242914]";1.71$\pm$0.01;"[1.71531773 1.7197876  1.70261049 1.71374464 1.70855594 1.72003198
 1.70545244 1.71327519 1.71923876 1.70795679]";1.34$\pm$0.0;"[1.34648466 1.34616661 1.34279418 1.3396709  1.35301757 1.34101176
 1.33828616 1.33876538 1.33508372 1.3389852 ]";1.22$\pm$0.04;"[1.3219707  1.19846654 1.24925017 1.19643807 1.20263886 1.21167374
 1.19351292 1.20744443 1.20108271 1.21035576]";1.32$\pm$0.04;"[1.44518995 1.33640361 1.3011713  1.30123949 1.30055189 1.29482913
 1.29640508 1.2980001  1.29822922 1.30115032]";9.02$\pm$0.05;"[9.05168247 9.07495832 9.08976078 8.9712162  9.08486509 8.97608161
 8.99205899 9.06304169 8.95578861 8.96958661]";0.86$\pm$0.05;"[0.84895325 0.84847426 0.84150863 0.84100008 0.83167434 0.83463097
 0.84003758 0.9409163  0.98072147 0.83214402]";1.3$\pm$0.02;"[1.28973556 1.29533076 1.28945923 1.28820753 1.26708269 1.27147174
 1.3582654  1.31729054 1.28338814 1.29000044]";18.71$\pm$0.33;"[18.39531541 19.46572733 18.70453477 18.5918076  18.73569632 18.90059614
 18.47427201 19.04631805 18.3713634  18.43705368]";38.4$\pm$0.25;"[38.52717257 38.22718501 38.40835261 38.61725855 38.89158058 38.27088118
 38.1128149  38.12919736 38.63173175 38.19326305]";25.31$\pm$0.22;"[25.43318534 25.72027659 25.42335224 25.06194592 24.95464969 25.04794431
 25.35884929 25.33666706 25.33488941 25.46336699]";8.57$\pm$0.1;"[8.52451849 8.65419531 8.53628969 8.54605889 8.58293533 8.50400972
 8.52800918 8.46859455 8.50196743 8.83432508]";44.49$\pm$0.31;"[44.4388113  44.79540086 44.37700868 44.40300798 44.42243075 44.24394774
 44.26406193 44.44807816 44.24786448 45.30510259]";23.53$\pm$0.2;"[23.87629199 23.40272427 23.3649857  23.41853976 23.43389511 23.4666996
 23.40410018 23.37933469 23.93056417 23.61912322]";8.7$\pm$0.01;"[8.67736506 8.69536114 8.70046782 8.69427586 8.71386456 8.67595029
 8.6990726  8.7106998  8.68839407 8.71129799]"
