metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;leiden_prob_pred_mean;leiden_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;louvain_prob_pred_mean;louvain_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;27.66$\pm$1.67;"[0.2917514  0.28727731 0.2763768  0.28715529 0.28646384 0.28487757
 0.23273408 0.28060685 0.26173432 0.27727162]";25.31$\pm$2.25;"[0.27096722 0.27198406 0.23781827 0.28296592 0.26547629 0.20637761
 0.23436102 0.23606931 0.25441308 0.27027577]";29.97$\pm$4.04;"[0.3269747  0.2771496  0.33433661 0.32453429 0.27385504 0.32738144
 0.1954771  0.32701537 0.31428455 0.29569674]";22.48$\pm$2.85;"[0.26921825 0.21923046 0.24526153 0.20475067 0.2399333  0.20487269
 0.24916619 0.19295534 0.17465224 0.24794599]";19.35$\pm$3.02;"[0.22980558 0.185024   0.19153177 0.24587163 0.19458228 0.14125925
 0.17782478 0.15504759 0.21687139 0.19669731]";4.09$\pm$0.4;"[0.03815179 0.03904661 0.04254454 0.04339868 0.03717563 0.0442935
 0.03217278 0.04197511 0.04673391 0.04327666]";23.9$\pm$2.94;"[0.29158871 0.19982917 0.27739364 0.21658668 0.27426177 0.21321077
 0.23305946 0.22887009 0.22215895 0.23318149]";4.09$\pm$0.4;"[0.03815179 0.03904661 0.04254454 0.04339868 0.03717563 0.0442935
 0.03217278 0.04197511 0.04673391 0.04327666]";20.23$\pm$3.22;"[0.26291385 0.24579029 0.19795819 0.18595949 0.14984137 0.16712763
 0.20499471 0.19181648 0.19576182 0.22110144]";4.09$\pm$0.4;"[0.03815179 0.03904661 0.04254454 0.04339868 0.03717563 0.0442935
 0.03217278 0.04197511 0.04673391 0.04327666]";20.63$\pm$2.87;"[0.24989832 0.21939315 0.22472139 0.17485561 0.18404783 0.17839421
 0.20283901 0.17188644 0.20247295 0.2545351 ]";24.74$\pm$2.24;"[0.26995038 0.2566908  0.28809078 0.24892215 0.22004393 0.25547059
 0.24888148 0.23090377 0.20637761 0.24855609]";24.1$\pm$3.28;"[0.30741072 0.22911413 0.29223949 0.23871309 0.24233304 0.19848694
 0.2230131  0.23102579 0.20422191 0.24339055]";24.45$\pm$3.07;"[0.30179777 0.2334662  0.27474986 0.24070609 0.26958432 0.18335638
 0.22036932 0.24924754 0.23468641 0.23733019]";23.32$\pm$3.63;"[0.29459855 0.23399496 0.27462784 0.20149679 0.20287969 0.20849264
 0.23143252 0.24509884 0.17139836 0.26820142]";25.37$\pm$2.94;"[0.29773042 0.29085659 0.27190271 0.25522655 0.24973562 0.25233873
 0.23330351 0.26108354 0.18937607 0.23513382]";18.29$\pm$4.36;"[0.25433173 0.1258033  0.13528024 0.17119499 0.16432116 0.14642479
 0.2096315  0.21369885 0.15988774 0.24871878]";23.6$\pm$4.54;"[0.3220532  0.28910762 0.2623851  0.24143822 0.20645896 0.17038152
 0.24566827 0.19393151 0.18518669 0.24326853]";23.32$\pm$3.34;"[0.25071179 0.20649963 0.27312292 0.17839421 0.23224599 0.23334418
 0.23334418 0.26417473 0.18250224 0.27792239]";19.77$\pm$2.95;"[0.2391605  0.21361751 0.20190352 0.18937607 0.21251932 0.16053852
 0.13328724 0.19043358 0.21703408 0.21886439]";21.71$\pm$1.86;"[0.19714472 0.23090377 0.18970146 0.23366957 0.22956154 0.19112503
 0.21691206 0.21687139 0.21573253 0.24920687]"
Hits@50;42.12$\pm$1.73;"[0.42337102 0.43959977 0.44683966 0.411413   0.40551533 0.41527699
 0.44500935 0.42320833 0.39066949 0.41072155]";40.23$\pm$2.33;"[0.40604409 0.43345807 0.41946636 0.43215651 0.40128528 0.35442935
 0.41491092 0.39367933 0.38009436 0.38709021]";48.22$\pm$2.14;"[0.51146994 0.45822826 0.51606605 0.49979663 0.47327747 0.48824534
 0.4472464  0.48820467 0.46705442 0.47270805]";38.71$\pm$2.03;"[0.39351664 0.37781664 0.43752542 0.37431872 0.38037908 0.36089645
 0.39091353 0.36797364 0.38798503 0.399577  ]";31.39$\pm$2.01;"[0.34104775 0.29268689 0.32416823 0.33885138 0.31424388 0.29061254
 0.27755633 0.33043195 0.31456927 0.314976  ]";5.96$\pm$0.5;"[0.05808184 0.05202148 0.06027821 0.05918002 0.05710567 0.0619865
 0.05678028 0.05909867 0.0724396  0.05930204]";37.57$\pm$2.25;"[0.39355731 0.354348   0.40954202 0.35601562 0.38302286 0.39591638
 0.34462702 0.40307492 0.35686976 0.36032702]";5.96$\pm$0.5;"[0.05808184 0.05202148 0.06027821 0.05918002 0.05710567 0.0619865
 0.05678028 0.05909867 0.0724396  0.05930204]";34.39$\pm$3.14;"[0.41096559 0.36048971 0.35715448 0.34617262 0.29402912 0.3431221
 0.31200683 0.34064102 0.31164077 0.36232002]";5.96$\pm$0.5;"[0.05808184 0.05202148 0.06027821 0.05918002 0.05710567 0.0619865
 0.05678028 0.05909867 0.0724396  0.05930204]";36.72$\pm$2.61;"[0.38440576 0.36618401 0.41735134 0.33710242 0.36467909 0.38452778
 0.32628325 0.36244204 0.34165785 0.38774099]";38.49$\pm$2.43;"[0.41674123 0.41812414 0.39733995 0.36337753 0.35036199 0.37399333
 0.35996095 0.40087855 0.36191328 0.40632881]";38.1$\pm$3.03;"[0.43235988 0.3761897  0.39790938 0.39795005 0.35707313 0.33474335
 0.36858375 0.40933865 0.3369804  0.3988042 ]";41.16$\pm$2.91;"[0.4677052  0.39949565 0.44736842 0.37277312 0.41413813 0.41511429
 0.38351094 0.41120963 0.37594566 0.42898397]";38.05$\pm$3.09;"[0.42292362 0.36345888 0.4220288  0.3629708  0.36207598 0.35528349
 0.37980965 0.41442284 0.32534776 0.39652648]";39.75$\pm$2.64;"[0.43459693 0.42349304 0.419263   0.38745628 0.36423168 0.41129098
 0.37513219 0.42056455 0.35459204 0.38432441]";32.58$\pm$4.06;"[0.3558936  0.35048402 0.26039209 0.33222159 0.27495323 0.27926462
 0.36215733 0.362198   0.3025299  0.37802001]";38.52$\pm$2.51;"[0.42568942 0.42715366 0.39860083 0.38273814 0.35495811 0.35198894
 0.38473115 0.38237208 0.35939152 0.38448711]";37.98$\pm$3.04;"[0.39917026 0.35857805 0.42491662 0.35202961 0.34210526 0.34755552
 0.42019849 0.40901326 0.35556821 0.38863581]";33.16$\pm$1.53;"[0.34291873 0.3177418  0.33917677 0.31676564 0.31847393 0.32717807
 0.32526641 0.34511511 0.31753844 0.36532986]";38.55$\pm$2.1;"[0.36622468 0.39709591 0.35007728 0.40929797 0.3980314  0.35963556
 0.3895713  0.39982104 0.37090214 0.41389409]"
Hits@100;56.32$\pm$1.7;"[0.58260799 0.57947612 0.57671032 0.56910437 0.54108029 0.54160905
 0.561051   0.54103962 0.55348572 0.58553648]";54.06$\pm$2.16;"[0.56560644 0.57683234 0.5659725  0.54880826 0.52810543 0.52847149
 0.51838445 0.53526397 0.53083055 0.50756528]";62.52$\pm$2.2;"[0.64125925 0.62084113 0.66505328 0.63528024 0.59391524 0.62006833
 0.61059139 0.62698284 0.59058    0.64699422]";51.95$\pm$2.03;"[0.52708859 0.51472383 0.55995282 0.49479379 0.49255674 0.53257952
 0.51069714 0.5238347  0.49947124 0.53961604]";42.78$\pm$1.98;"[0.45993655 0.42434719 0.43349874 0.44618889 0.3986415  0.39721793
 0.41503295 0.43036688 0.42162206 0.45066298]";8.78$\pm$0.9;"[0.08765151 0.07422924 0.08533312 0.09318311 0.08447897 0.09529814
 0.0872041  0.08020825 0.10839502 0.08179452]";50.74$\pm$1.83;"[0.50833808 0.49581062 0.53888392 0.51342227 0.4943057  0.52086553
 0.47624664 0.53290491 0.49739689 0.49613601]";8.78$\pm$0.9;"[0.08765151 0.07422924 0.08533312 0.09318311 0.08447897 0.09529814
 0.0872041  0.08020825 0.10839502 0.08179452]";48.28$\pm$2.95;"[0.54185309 0.48779793 0.49605467 0.48393395 0.43353941 0.48320182
 0.46526478 0.50935492 0.44334174 0.48393395]";8.78$\pm$0.9;"[0.08765151 0.07422924 0.08533312 0.09318311 0.08447897 0.09529814
 0.0872041  0.08020825 0.10839502 0.08179452]";50.4$\pm$1.97;"[0.50764663 0.51411372 0.54823884 0.48405597 0.48987229 0.4984544
 0.49007565 0.51618807 0.47681607 0.51423574]";51.83$\pm$2.42;"[0.54535101 0.53961604 0.54494428 0.51309688 0.46916945 0.53074921
 0.4886114  0.53034247 0.49991865 0.52135362]";52.19$\pm$2.23;"[0.56235256 0.5141544  0.54209713 0.52163833 0.50976165 0.5163101
 0.49109249 0.54653055 0.4886114  0.52684455]";54.55$\pm$2.11;"[0.57939478 0.53701293 0.56987717 0.53640283 0.52139429 0.5309119
 0.52619377 0.56995851 0.52224843 0.56166111]";51.2$\pm$2.57;"[0.53827381 0.52086553 0.55922069 0.50073212 0.46380054 0.49528187
 0.49084845 0.52005206 0.50170829 0.5287562 ]";52.68$\pm$2.25;"[0.5561295  0.56141707 0.52558367 0.50467746 0.5169202  0.55010982
 0.50524689 0.53111527 0.48946555 0.52725128]";45.24$\pm$3.57;"[0.48222566 0.45082567 0.40116326 0.46977955 0.3923371  0.43561376
 0.47701944 0.48206296 0.42686895 0.50622305]";52.22$\pm$2.53;"[0.55035386 0.54925567 0.55133003 0.53652485 0.4781583  0.48299845
 0.51785569 0.52684455 0.50508419 0.5238347 ]";51.16$\pm$2.17;"[0.53066786 0.47490442 0.54404946 0.50947694 0.47974457 0.4944684
 0.51208005 0.53286423 0.51264948 0.52513626]";46.3$\pm$1.82;"[0.48775726 0.45420158 0.47209794 0.45269666 0.42849589 0.48735052
 0.44683966 0.46099406 0.45761816 0.48177825]";52.72$\pm$2.03;"[0.50931424 0.54356138 0.53225413 0.54872692 0.51521191 0.50203368
 0.53868055 0.51626942 0.50211502 0.56426422]"
ROCAUC;98.74$\pm$0.04;"[0.98716567 0.9882395  0.98750858 0.9871785  0.98734898 0.98733388
 0.98676211 0.98800336 0.98720285 0.98746406]";98.62$\pm$0.05;"[0.98629037 0.98666876 0.98703843 0.98633213 0.98577752 0.98545213
 0.98580749 0.98654326 0.98592223 0.98576232]";98.88$\pm$0.04;"[0.98878899 0.98917099 0.98930008 0.98881784 0.98853981 0.98903307
 0.98789699 0.9889881  0.98895172 0.98884694]";98.52$\pm$0.05;"[0.98561841 0.98545763 0.98555757 0.98558377 0.98466505 0.98535488
 0.98428628 0.98565392 0.98446176 0.98511936]";97.66$\pm$0.08;"[0.97727322 0.97689878 0.97747404 0.9775421  0.97580698 0.97620047
 0.97481434 0.97663352 0.97613837 0.97673686]";91.36$\pm$0.22;"[0.91415153 0.91383489 0.91465952 0.9159149  0.91141427 0.91686196
 0.91482515 0.90920766 0.91396652 0.9113441 ]";98.48$\pm$0.05;"[0.98516415 0.98517523 0.98557065 0.98452243 0.98475476 0.98550197
 0.98358571 0.98470652 0.98484504 0.98452851]";91.36$\pm$0.22;"[0.91415153 0.91383489 0.91465952 0.9159149  0.91141427 0.91686196
 0.91482515 0.90920766 0.91396652 0.9113441 ]";98.32$\pm$0.04;"[0.98353916 0.98291496 0.98324662 0.9830539  0.98257171 0.98305987
 0.98291244 0.98412007 0.98295017 0.98332581]";91.36$\pm$0.22;"[0.91415153 0.91383489 0.91465952 0.9159149  0.91141427 0.91686196
 0.91482515 0.90920766 0.91396652 0.9113441 ]";98.32$\pm$0.05;"[0.98341715 0.98359382 0.98408943 0.98306928 0.98261598 0.98287894
 0.98255212 0.98387786 0.98286345 0.9830752 ]";98.47$\pm$0.05;"[0.98510092 0.98522844 0.98546385 0.98451936 0.98428612 0.98454382
 0.98365296 0.98518717 0.98465283 0.98478919]";98.6$\pm$0.04;"[0.98636885 0.98620146 0.98618637 0.98622949 0.98605173 0.98616111
 0.98517558 0.98660415 0.98575146 0.98556513]";98.52$\pm$0.05;"[0.98574148 0.98517658 0.98567511 0.98531893 0.98498139 0.98515089
 0.98440261 0.98587529 0.98455101 0.98467733]";98.33$\pm$0.08;"[0.98389098 0.98382585 0.98443204 0.98369728 0.98210077 0.98356878
 0.98253391 0.98426159 0.9823545  0.98263343]";98.65$\pm$0.04;"[0.98691221 0.98698829 0.98696968 0.98624146 0.98659181 0.98628807
 0.98584807 0.98720934 0.98600164 0.98618206]";98.17$\pm$0.1;"[0.98231371 0.98393635 0.97992193 0.98256534 0.9808198  0.98142847
 0.98155699 0.98082566 0.98186867 0.98170984]";98.52$\pm$0.05;"[0.98570108 0.9855763  0.98547656 0.98524358 0.98486889 0.98435403
 0.98435287 0.98550868 0.98523516 0.98535894]";98.47$\pm$0.05;"[0.98471132 0.98448028 0.98531945 0.98397344 0.9841723  0.98435416
 0.98453839 0.98552042 0.98473475 0.98486087]";98.18$\pm$0.13;"[0.98289208 0.98213428 0.98358113 0.98316289 0.98187727 0.98178475
 0.97934613 0.98230004 0.97979065 0.98114782]";98.63$\pm$0.04;"[0.9862964  0.98691768 0.986469   0.98633596 0.98582157 0.98608346
 0.98627724 0.98701345 0.98620065 0.98569118]"
AP;98.66$\pm$0.05;"[0.98644744 0.98699968 0.98722937 0.98655386 0.98656711 0.98637939
 0.98571713 0.98705729 0.98597567 0.98683416]";98.48$\pm$0.06;"[0.98470323 0.98558379 0.98568298 0.98533384 0.98426786 0.98356349
 0.98430126 0.98505553 0.98457122 0.98448452]";98.83$\pm$0.06;"[0.98863669 0.98822164 0.98935419 0.9885359  0.98795709 0.9883186
 0.98682243 0.9886925  0.98839588 0.98849651]";98.37$\pm$0.06;"[0.98454069 0.98382143 0.9846597  0.98394476 0.98289588 0.98342076
 0.98290864 0.98368651 0.98273323 0.98406028]";97.49$\pm$0.1;"[0.97616337 0.97466191 0.97587383 0.97652247 0.97397835 0.97371144
 0.9733178  0.97443475 0.97474804 0.97533773]";89.98$\pm$0.4;"[0.9008228  0.89692293 0.90266993 0.90478586 0.89656389 0.90494212
 0.90112189 0.89233968 0.90183433 0.89559845]";98.35$\pm$0.07;"[0.98411554 0.98351559 0.98483544 0.98333481 0.9833475  0.9839872
 0.98186855 0.98343305 0.98353687 0.98324264]";89.98$\pm$0.4;"[0.9008228  0.89692293 0.90266993 0.90478586 0.89656389 0.90494212
 0.90112189 0.89233968 0.90183433 0.89559845]";98.15$\pm$0.08;"[0.98278299 0.98149274 0.98201639 0.98142179 0.97995668 0.98095646
 0.98113925 0.98238456 0.98085831 0.98199792]";89.98$\pm$0.4;"[0.9008228  0.89692293 0.90266993 0.90478586 0.89656389 0.90494212
 0.90112189 0.89233968 0.90183433 0.89559845]";98.17$\pm$0.07;"[0.98211365 0.98214682 0.98310905 0.98131396 0.98085963 0.9811596
 0.980573   0.98173478 0.98135516 0.98215004]";98.34$\pm$0.07;"[0.98422018 0.9838745  0.98463972 0.98315805 0.9824034  0.98327432
 0.98217836 0.98372874 0.98320814 0.98376775]";98.45$\pm$0.06;"[0.98537416 0.9841716  0.98500966 0.98465639 0.98454164 0.98425433
 0.98355094 0.98505861 0.98361871 0.98431644]";98.43$\pm$0.06;"[0.98537496 0.98415933 0.98533315 0.98437875 0.98418422 0.98377395
 0.9833623  0.98497394 0.98377536 0.98409114]";98.26$\pm$0.1;"[0.98355951 0.98279149 0.98416221 0.98281711 0.98111218 0.98236204
 0.98184808 0.98363624 0.98130398 0.98224199]";98.49$\pm$0.06;"[0.98557605 0.98548617 0.98571927 0.98472725 0.98463448 0.98470157
 0.98404923 0.98555221 0.98402731 0.98468897]";98.01$\pm$0.12;"[0.98125144 0.98158657 0.97780371 0.98104652 0.9785161  0.97915993
 0.98030651 0.97961623 0.98012817 0.98108838]";98.37$\pm$0.08;"[0.98484545 0.98449592 0.98428942 0.98395413 0.98291462 0.98204164
 0.98302381 0.98376238 0.98336209 0.984018  ]";98.33$\pm$0.06;"[0.9833618  0.98286801 0.98451171 0.98244073 0.9827639  0.98264138
 0.98324054 0.98409044 0.98302736 0.98376947]";98.02$\pm$0.13;"[0.98169501 0.98051649 0.98185164 0.9814301  0.98017782 0.97994517
 0.97733722 0.98033413 0.97848477 0.9798397 ]";98.47$\pm$0.04;"[0.98476757 0.98528089 0.98483706 0.98510655 0.98457676 0.98430979
 0.98448977 0.98526913 0.9843866  0.98431718]"
pretrain_time;41.76$\pm$0.3;"[41.48875475 41.55037785 41.8624754  42.08752823 42.18498135 41.89271045
 42.11430168 41.69808054 41.4120183  41.28143001]";200.1$\pm$1.15;"[198.87852812 200.26871037 200.71726441 200.76056814 201.03672433
 201.13845944 201.47023487 200.27952528 198.3235023  198.14577317]";242.59$\pm$0.74;"[241.0146234  242.7812326  242.76777124 242.57890224 243.32577801
 243.77450585 242.28060007 242.70960832 242.93567634 241.70742965]";124.54$\pm$0.48;"[123.71400428 125.10656619 124.75793743 124.18076658 124.61772799
 125.03231812 124.17138529 123.9061749  124.98517203 124.92394543]";29.1$\pm$0.06;"[29.12949109 29.1267035  28.98562431 29.15767956 29.19412875 29.10570502
 28.99054623 29.06507063 29.09926367 29.12047982]";nan$\pm$nan;[];10.9$\pm$0.08;"[11.02451634 10.761415   10.87279773 10.86326122 10.92747116 10.88891315
 10.91126394 11.04630423 10.87569022 10.81074214]";nan$\pm$nan;[];240.54$\pm$1.27;"[241.34506893 241.98801541 241.92840576 238.16718268 239.62471247
 241.89695215 239.91908979 241.42856646 239.73124146 239.35732007]";nan$\pm$nan;[];47.29$\pm$0.13;"[47.31076932 47.23957562 47.1745255  47.58793998 47.22207546 47.41843724
 47.22978377 47.1559751  47.41678119 47.16403413]";12.68$\pm$0.18;"[13.20474124 12.67844748 12.56869841 12.6119957  12.6344254  12.57225323
 12.61403465 12.68585634 12.53353524 12.69870687]";20.65$\pm$0.02;"[20.64813018 20.64072514 20.65434432 20.63053942 20.64824033 20.6304307
 20.6578362  20.68152976 20.6274786  20.66283989]";123.31$\pm$0.89;"[122.25720835 124.89975882 124.96863961 123.18605876 123.58046818
 123.20276117 122.9014194  122.91627026 122.46162748 122.70027041]";19.48$\pm$0.01;"[19.48125386 19.47917056 19.47840762 19.4717412  19.49664044 19.44928002
 19.45623207 19.48102498 19.46540713 19.4964323 ]";145.54$\pm$0.17;"[145.42055345 145.57171655 145.5573554  145.81354594 145.48207617
 145.31075716 145.37410545 145.56847668 145.39018083 145.86613154]";73.35$\pm$0.39;"[73.62426496 73.393574   73.59958959 73.31339335 73.13386846 73.34829187
 73.02001214 74.25272441 72.89347315 72.91310334]";164.63$\pm$3.45;"[166.46977806 164.79829001 154.84841347 164.97134233 166.41676402
 163.9354372  167.16962028 164.27922177 167.42406535 165.96562886]";134.61$\pm$2.09;"[136.86946058 132.48364758 134.28063416 131.77456689 132.48080635
 132.2100246  135.61473393 136.92379904 137.05721235 136.37056684]";91.71$\pm$0.64;"[92.34204102 90.20039177 91.72969413 91.89566803 91.73668814 91.52907968
 92.09901428 92.71683645 91.39393044 91.41652107]";281.84$\pm$1.22;"[280.06440949 281.92016792 281.37768006 282.58224392 281.72682333
 283.75408411 283.56066036 280.98561597 282.36268067 280.03787065]"
