metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;87.74$\pm$2.08;"[0.85766423 0.87591241 0.90875912 0.87956204 0.85036496 0.87591241
 0.90875912 0.84671533 0.89416058 0.87591241]";82.01$\pm$3.22;"[0.82116788 0.84306569 0.88686131 0.82116788 0.80291971 0.81386861
 0.85036496 0.7810219  0.81021898 0.77007299]";87.96$\pm$2.31;"[0.86131387 0.87591241 0.90875912 0.88686131 0.87226277 0.87591241
 0.91240876 0.82846715 0.89781022 0.87591241]";86.68$\pm$2.32;"[0.84671533 0.86131387 0.90145985 0.87956204 0.85766423 0.84671533
 0.88321168 0.82116788 0.89051095 0.87956204]";87.01$\pm$1.92;"[0.86131387 0.87226277 0.90145985 0.8649635  0.8540146  0.86861314
 0.88686131 0.82846715 0.88686131 0.87591241]";87.48$\pm$2.12;"[0.8540146  0.87226277 0.90145985 0.87226277 0.87591241 0.8649635
 0.90145985 0.83211679 0.90145985 0.87226277]";94.42$\pm$1.15;"[0.95255474 0.93430657 0.95985401 0.95985401 0.9270073  0.9379562
 0.94525547 0.9270073  0.94890511 0.94890511]";96.09$\pm$1.15;"[0.97080292 0.96350365 0.96350365 0.97445255 0.94160584 0.96715328
 0.95255474 0.94160584 0.95985401 0.97445255]";86.61$\pm$2.73;"[0.82116788 0.84671533 0.90510949 0.87591241 0.86131387 0.89051095
 0.88686131 0.82481752 0.89051095 0.85766423]";87.48$\pm$2.12;"[0.8540146  0.87226277 0.90145985 0.87226277 0.87591241 0.8649635
 0.90145985 0.83211679 0.90145985 0.87226277]";86.5$\pm$1.71;"[0.82846715 0.86861314 0.89051095 0.87591241 0.8540146  0.8540146
 0.88321168 0.8649635  0.87591241 0.8540146 ]";87.15$\pm$1.9;"[0.83941606 0.88321168 0.89416058 0.87956204 0.86131387 0.85766423
 0.89781022 0.84671533 0.88686131 0.86861314]";95.84$\pm$1.26;"[0.96715328 0.95985401 0.96715328 0.97810219 0.9379562  0.95620438
 0.95620438 0.9379562  0.95255474 0.97080292]";95.95$\pm$1.25;"[0.97080292 0.96350365 0.96715328 0.97810219 0.9379562  0.95620438
 0.95620438 0.9379562  0.95985401 0.96715328]";84.89$\pm$2.59;"[0.81386861 0.8649635  0.87956204 0.8540146  0.81751825 0.84306569
 0.88321168 0.81021898 0.87226277 0.85036496]";86.68$\pm$1.88;"[0.86131387 0.87956204 0.87956204 0.87956204 0.85766423 0.85036496
 0.88686131 0.82116788 0.87956204 0.87226277]";87.7$\pm$2.44;"[0.83576642 0.87956204 0.89781022 0.88686131 0.8540146  0.87591241
 0.90875912 0.83941606 0.89051095 0.90145985]";90.11$\pm$2.14;"[0.89051095 0.91240876 0.91970803 0.91970803 0.88321168 0.89416058
 0.92335766 0.85036496 0.91605839 0.90145985]";93.76$\pm$1.95;"[0.95985401 0.92335766 0.9270073  0.95255474 0.89781022 0.93065693
 0.96715328 0.94160584 0.94890511 0.9270073 ]";88.07$\pm$1.97;"[0.8540146  0.87956204 0.90510949 0.88686131 0.86131387 0.88321168
 0.90510949 0.85036496 0.90510949 0.87591241]";87.81$\pm$2.05;"[0.85036496 0.89051095 0.89781022 0.8649635  0.86861314 0.87591241
 0.91240876 0.84306569 0.89051095 0.88686131]";87.41$\pm$2.22;"[0.83941606 0.87226277 0.90145985 0.8649635  0.87226277 0.86131387
 0.90145985 0.84671533 0.90875912 0.87226277]";92.37$\pm$1.31;"[0.91605839 0.93065693 0.9379562  0.9379562  0.90510949 0.91970803
 0.93430657 0.89781022 0.9270073  0.93065693]";93.83$\pm$1.09;"[0.95255474 0.94525547 0.94525547 0.94890511 0.91970803 0.9270073
 0.94890511 0.93065693 0.9379562  0.9270073 ]"
Hits@50;89.34$\pm$2.12;"[0.87226277 0.89416058 0.92335766 0.91240876 0.87226277 0.87956204
 0.91240876 0.85766423 0.91605839 0.89416058]";88.1$\pm$1.89;"[0.8649635  0.89416058 0.91970803 0.88321168 0.88686131 0.89781022
 0.87591241 0.85766423 0.87591241 0.8540146 ]";89.09$\pm$2.11;"[0.87226277 0.88321168 0.91240876 0.90145985 0.89051095 0.87591241
 0.91970803 0.84671533 0.91240876 0.89416058]";89.05$\pm$2.28;"[0.8649635  0.89781022 0.92335766 0.91605839 0.86861314 0.87591241
 0.90510949 0.85036496 0.90145985 0.90145985]";89.01$\pm$2.49;"[0.87226277 0.89781022 0.91605839 0.89051095 0.87591241 0.89781022
 0.91970803 0.83576642 0.91970803 0.87591241]";88.76$\pm$2.16;"[0.86131387 0.90145985 0.91240876 0.87956204 0.89051095 0.89051095
 0.90510949 0.83941606 0.90875912 0.88686131]";95.22$\pm$1.23;"[0.96350365 0.9379562  0.95985401 0.96350365 0.94160584 0.9379562
 0.95255474 0.93430657 0.96715328 0.96350365]";96.86$\pm$1.05;"[0.97810219 0.97080292 0.96715328 0.97445255 0.95255474 0.98540146
 0.96715328 0.94890511 0.96715328 0.97445255]";89.16$\pm$1.97;"[0.86131387 0.90145985 0.91970803 0.88686131 0.89051095 0.90510949
 0.90875912 0.86131387 0.90875912 0.87226277]";88.76$\pm$2.16;"[0.86131387 0.90145985 0.91240876 0.87956204 0.89051095 0.89051095
 0.90510949 0.83941606 0.90875912 0.88686131]";88.28$\pm$1.57;"[0.84671533 0.88686131 0.89416058 0.89416058 0.86861314 0.88686131
 0.89781022 0.88686131 0.89781022 0.86861314]";88.83$\pm$2.14;"[0.8649635  0.89416058 0.92335766 0.89416058 0.87591241 0.86861314
 0.90875912 0.8540146  0.91240876 0.88686131]";96.31$\pm$1.16;"[0.97080292 0.97445255 0.97080292 0.97810219 0.94525547 0.95620438
 0.95985401 0.94525547 0.95620438 0.97445255]";96.64$\pm$1.19;"[0.97080292 0.97810219 0.97810219 0.97810219 0.94525547 0.96350365
 0.96715328 0.94525547 0.96350365 0.97445255]";86.86$\pm$2.38;"[0.84671533 0.87226277 0.89781022 0.88686131 0.84671533 0.86131387
 0.89781022 0.82116788 0.88686131 0.86861314]";88.43$\pm$1.92;"[0.88321168 0.90875912 0.90875912 0.87956204 0.86131387 0.8649635
 0.90875912 0.8540146  0.89051095 0.88321168]";89.53$\pm$2.63;"[0.85766423 0.89416058 0.93430657 0.89781022 0.87591241 0.88321168
 0.91240876 0.8540146  0.91605839 0.9270073 ]";91.64$\pm$1.89;"[0.92335766 0.91970803 0.93430657 0.93065693 0.90145985 0.90875912
 0.93065693 0.86861314 0.91605839 0.93065693]";96.24$\pm$1.39;"[0.97445255 0.95620438 0.95985401 0.96350365 0.93430657 0.95620438
 0.98905109 0.96715328 0.97080292 0.95255474]";89.23$\pm$2.16;"[0.8540146  0.88321168 0.92335766 0.90875912 0.86861314 0.88686131
 0.91970803 0.87591241 0.90875912 0.89416058]";90.15$\pm$2.38;"[0.87226277 0.90875912 0.91605839 0.89416058 0.88686131 0.90145985
 0.94525547 0.85766423 0.91970803 0.91240876]";89.89$\pm$2.23;"[0.8540146  0.90510949 0.90510949 0.90510949 0.91240876 0.88686131
 0.92335766 0.86861314 0.93065693 0.89781022]";92.85$\pm$1.3;"[0.9270073  0.9379562  0.9379562  0.94525547 0.90510949 0.9270073
 0.93430657 0.90510949 0.9270073  0.9379562 ]";95.11$\pm$1.34;"[0.96715328 0.94890511 0.95255474 0.96350365 0.92335766 0.94890511
 0.95985401 0.95620438 0.95985401 0.93065693]"
Hits@100;91.61$\pm$1.64;"[0.89781022 0.90875912 0.93430657 0.93430657 0.90510949 0.91970803
 0.9270073  0.88686131 0.9379562  0.90875912]";93.25$\pm$1.5;"[0.90875912 0.94160584 0.95620438 0.9379562  0.9270073  0.94890511
 0.9270073  0.90875912 0.94160584 0.9270073 ]";91.97$\pm$2.13;"[0.89416058 0.90875912 0.94525547 0.9379562  0.91970803 0.91605839
 0.95255474 0.87956204 0.9270073  0.91605839]";92.92$\pm$1.49;"[0.91605839 0.93430657 0.9379562  0.94160584 0.93430657 0.92335766
 0.9379562  0.89051095 0.9379562  0.9379562 ]";93.07$\pm$2.21;"[0.93430657 0.93430657 0.94160584 0.9270073  0.91605839 0.93430657
 0.97080292 0.87956204 0.94525547 0.92335766]";91.35$\pm$1.48;"[0.89051095 0.92335766 0.9270073  0.90510949 0.90875912 0.93065693
 0.93430657 0.89051095 0.91605839 0.90875912]";96.06$\pm$1.33;"[0.97445255 0.94525547 0.96715328 0.97810219 0.95255474 0.95255474
 0.95255474 0.9379562  0.97080292 0.97445255]";97.96$\pm$0.8;"[0.98905109 0.98175182 0.97445255 0.98540146 0.96350365 0.98905109
 0.97445255 0.97080292 0.98175182 0.98540146]";92.96$\pm$1.93;"[0.90145985 0.9379562  0.94525547 0.9270073  0.93430657 0.93065693
 0.94525547 0.90510949 0.96350365 0.90510949]";91.35$\pm$1.48;"[0.89051095 0.92335766 0.9270073  0.90510949 0.90875912 0.93065693
 0.93430657 0.89051095 0.91605839 0.90875912]";91.28$\pm$1.54;"[0.87591241 0.9270073  0.90510949 0.92335766 0.90510949 0.91605839
 0.91970803 0.93430657 0.91605839 0.90510949]";90.91$\pm$1.87;"[0.90510949 0.90510949 0.93430657 0.9379562  0.89781022 0.88321168
 0.91240876 0.87956204 0.9270073  0.90875912]";96.79$\pm$0.8;"[0.97080292 0.97445255 0.97080292 0.97810219 0.95985401 0.95620438
 0.97080292 0.95620438 0.96350365 0.97810219]";97.81$\pm$0.83;"[0.98175182 0.98905109 0.98540146 0.98175182 0.96350365 0.98175182
 0.98175182 0.96715328 0.96715328 0.98175182]";88.28$\pm$2.33;"[0.87591241 0.88321168 0.90875912 0.89416058 0.88321168 0.86861314
 0.90145985 0.82481752 0.90875912 0.87956204]";90.58$\pm$1.73;"[0.89416058 0.92335766 0.93065693 0.90145985 0.90145985 0.88686131
 0.93065693 0.87956204 0.91605839 0.89416058]";91.06$\pm$2.47;"[0.87956204 0.89781022 0.94160584 0.90875912 0.89781022 0.89781022
 0.9379562  0.87226277 0.94525547 0.9270073 ]";93.25$\pm$1.3;"[0.93065693 0.9379562  0.9379562  0.94160584 0.93430657 0.92335766
 0.93430657 0.89781022 0.94160584 0.94525547]";98.58$\pm$0.94;"[0.98175182 0.98905109 0.98175182 0.99635036 0.96715328 0.98540146
 1.         0.97810219 0.99635036 0.98175182]";90.55$\pm$2.17;"[0.8649635  0.89416058 0.93065693 0.91970803 0.87956204 0.90145985
 0.93065693 0.89416058 0.93065693 0.90875912]";92.7$\pm$2.13;"[0.90510949 0.94160584 0.9270073  0.93430657 0.91240876 0.92335766
 0.96350365 0.88321168 0.94160584 0.9379562 ]";93.14$\pm$1.42;"[0.91240876 0.94525547 0.9379562  0.92335766 0.94525547 0.93430657
 0.94890511 0.90875912 0.94160584 0.91605839]";93.5$\pm$1.26;"[0.94525547 0.9379562  0.94160584 0.94525547 0.91240876 0.9379562
 0.9379562  0.90875912 0.9379562  0.94525547]";96.79$\pm$1.14;"[0.97445255 0.96715328 0.96350365 0.97810219 0.94525547 0.95985401
 0.97080292 0.97810219 0.98540146 0.95620438]"
ROCAUC;92.86$\pm$1.33;"[0.90897224 0.92769993 0.94521551 0.94185892 0.91632479 0.93011082
 0.93930151 0.90686078 0.94252491 0.92756673]";92.72$\pm$1.16;"[0.91933507 0.93385369 0.95063669 0.93286803 0.92461639 0.93727689
 0.92843252 0.91053715 0.92381054 0.91097022]";93.13$\pm$1.36;"[0.91625819 0.92125313 0.94371037 0.93915499 0.93272151 0.92429005
 0.95728329 0.90786343 0.93558527 0.93515904]";93.97$\pm$1.0;"[0.93293463 0.94445628 0.9478262  0.94754649 0.93382706 0.93136289
 0.94846555 0.91714125 0.94734669 0.94650754]";93.99$\pm$1.25;"[0.94237839 0.93501252 0.94496244 0.93950131 0.93357398 0.94195216
 0.95778944 0.9102163  0.95571155 0.93804944]";93.09$\pm$1.17;"[0.91814961 0.93622463 0.94070009 0.92030742 0.92764665 0.93717033
 0.94450956 0.90819764 0.94568171 0.93032394]";96.52$\pm$0.93;"[0.97477223 0.95636422 0.9672332  0.97928766 0.96099952 0.95889499
 0.95699025 0.95008155 0.97360009 0.97350685]";98.26$\pm$0.5;"[0.98814535 0.98284405 0.97866162 0.98747935 0.97326709 0.98656029
 0.98272417 0.97525467 0.98684    0.98413608]";94.08$\pm$1.27;"[0.92155949 0.93498588 0.95568491 0.93433321 0.94052693 0.9482924
 0.95672385 0.92652603 0.95864191 0.93060365]";93.09$\pm$1.17;"[0.91814961 0.93622463 0.94070009 0.92030742 0.92764665 0.93717033
 0.94450956 0.90819764 0.94568171 0.93032394]";92.52$\pm$1.18;"[0.89635836 0.93226863 0.92028078 0.93063029 0.91705738 0.92025414
 0.93742341 0.93379856 0.93663754 0.92684746]";92.28$\pm$1.38;"[0.91537908 0.92723374 0.94609462 0.9353988  0.91400714 0.90689435
 0.92666098 0.89702147 0.93206884 0.92716714]";97.47$\pm$0.59;"[0.97782247 0.977636   0.97288081 0.98221802 0.9691779  0.96808567
 0.97686345 0.96373092 0.97551814 0.98305717]";97.87$\pm$0.47;"[0.98203154 0.98309713 0.98003357 0.98309713 0.96787256 0.97984709
 0.97812883 0.97298201 0.9773696  0.98288401]";89.66$\pm$2.15;"[0.88076083 0.89665139 0.91581864 0.90043423 0.90022111 0.88941872
 0.9238505  0.84568594 0.92054718 0.89242901]";91.98$\pm$1.12;"[0.91876232 0.92955139 0.92568864 0.91765677 0.91061058 0.91115669
 0.94040705 0.89738242 0.92402366 0.92254515]";92.45$\pm$2.08;"[0.90340455 0.91800309 0.95251479 0.92089349 0.91018435 0.91647131
 0.94618786 0.88651373 0.94750653 0.94320422]";93.87$\pm$1.22;"[0.93417337 0.93904843 0.95007726 0.95002398 0.93398689 0.92662102
 0.94770632 0.91048368 0.94565507 0.94913155]";97.87$\pm$0.78;"[0.98145879 0.97835527 0.96816559 0.98469551 0.96492887 0.97402632
 0.99143535 0.97763429 0.98781235 0.97802227]";92.57$\pm$1.32;"[0.90299164 0.91167617 0.94388353 0.93055038 0.91749694 0.92899195
 0.94136608 0.91549691 0.94111301 0.92375726]";93.39$\pm$1.57;"[0.91547232 0.9402339  0.93329426 0.93344078 0.92953807 0.93148276
 0.95836219 0.90167375 0.94412329 0.95148916]";93.7$\pm$1.09;"[0.92355746 0.94597475 0.93920827 0.93346742 0.9416458  0.93882199
 0.94933134 0.91492206 0.951316   0.93132293]";93.92$\pm$1.16;"[0.94413661 0.94062017 0.94749321 0.95128936 0.91705738 0.94557515
 0.94255155 0.91651293 0.94176568 0.94510896]";96.55$\pm$0.88;"[0.96939102 0.96635409 0.96210507 0.97145559 0.94947786 0.96294422
 0.97142895 0.96743403 0.98161863 0.95328734]"
AP;95.62$\pm$0.81;"[0.94568281 0.95546787 0.96693896 0.96237829 0.94826039 0.95559497
 0.96428969 0.94282733 0.96501919 0.95565493]";94.66$\pm$0.78;"[0.94336318 0.95004287 0.96279138 0.94991472 0.94421599 0.95181646
 0.95050778 0.93721644 0.94224605 0.93427469]";95.56$\pm$0.89;"[0.94768292 0.9482409  0.96306392 0.95897794 0.95704799 0.95033824
 0.97172332 0.93910912 0.96134872 0.95812943]";95.63$\pm$0.63;"[0.95296307 0.95743389 0.9554301  0.96182873 0.95382506 0.94887994
 0.96121077 0.94370322 0.96474309 0.96271935]";95.57$\pm$0.84;"[0.95846849 0.94786772 0.94875306 0.9574985  0.95439372 0.95663972
 0.96706479 0.93889119 0.96860894 0.95868324]";95.47$\pm$0.75;"[0.94732107 0.9559137  0.96123467 0.94868208 0.95437103 0.95549454
 0.96429192 0.9393036  0.9645902  0.95556538]";97.91$\pm$0.54;"[0.98446623 0.97354052 0.9815098  0.98671335 0.97585568 0.97504345
 0.97634056 0.96968711 0.98419761 0.98377266]";98.56$\pm$0.42;"[0.99004968 0.9825457  0.97859768 0.99020818 0.981538   0.98572733
 0.98683318 0.98089765 0.99007722 0.98928522]";95.83$\pm$0.89;"[0.94382682 0.95084749 0.96743103 0.957392   0.95969623 0.96254871
 0.96888939 0.94741381 0.97098278 0.95351544]";95.47$\pm$0.75;"[0.94732107 0.9559137  0.96123467 0.94868208 0.95437103 0.95549454
 0.96429192 0.9393036  0.9645902  0.95556538]";94.76$\pm$0.88;"[0.93367985 0.94849146 0.93372893 0.95090859 0.94768257 0.93948914
 0.95980189 0.95236025 0.95868608 0.95127355]";94.98$\pm$0.79;"[0.93958467 0.94769326 0.95906548 0.95806479 0.94733741 0.94214968
 0.95363792 0.93710876 0.95955467 0.95414918]";98.21$\pm$0.46;"[0.98380396 0.98123405 0.97430389 0.98762884 0.97897577 0.98014966
 0.98507205 0.97591008 0.98426741 0.98916787]";98.27$\pm$0.37;"[0.98749464 0.98137221 0.97825692 0.98321622 0.97823366 0.98435448
 0.97979467 0.97910944 0.98573931 0.9890891 ]";93.53$\pm$1.31;"[0.92278786 0.93865832 0.94993175 0.94145234 0.92755423 0.93244587
 0.95214966 0.91031706 0.95106862 0.92692705]";94.48$\pm$0.76;"[0.94056713 0.94009043 0.94262974 0.94247892 0.94204959 0.9422744
 0.96046975 0.93269865 0.95351541 0.95102097]";95.31$\pm$1.25;"[0.93877039 0.9501997  0.96858455 0.95319123 0.94468819 0.94972731
 0.96689811 0.92927648 0.96581304 0.96342066]";96.22$\pm$0.81;"[0.95752985 0.9628729  0.96953471 0.96988797 0.95912442 0.95505386
 0.9692694  0.94346108 0.96777506 0.9678143 ]";98.09$\pm$0.74;"[0.98182812 0.98025728 0.9658293  0.98574487 0.9744598  0.97365867
 0.99206932 0.98287725 0.98942574 0.98245822]";95.44$\pm$0.84;"[0.94021364 0.9480173  0.96617296 0.95816519 0.94790385 0.95345827
 0.96501153 0.94689103 0.9642645  0.9540014 ]";95.34$\pm$0.97;"[0.93784127 0.95908901 0.94791803 0.95672758 0.95205135 0.95279721
 0.96743976 0.9378502  0.9558497  0.96686912]";95.4$\pm$0.87;"[0.93738308 0.95400084 0.94880096 0.95377675 0.95563062 0.95595506
 0.96625451 0.94439313 0.96810189 0.95577288]";96.65$\pm$0.62;"[0.96780548 0.96773901 0.97154502 0.97321109 0.95528522 0.96790549
 0.96940423 0.95379556 0.96791097 0.97061417]";97.29$\pm$0.74;"[0.97304409 0.97210636 0.95713943 0.97859971 0.96819413 0.9728604
 0.97961031 0.97473087 0.98551438 0.96680332]"
pretrain_time;nan$\pm$nan;[];0.72$\pm$0.03;"[0.6996417  0.74380493 0.68302393 0.746104   0.75967479 0.70053506
 0.72944617 0.75337553 0.68346119 0.70224667]";nan$\pm$nan;[];46.57$\pm$3.19;"[46.58845615 43.45950747 43.29019737 44.40201879 46.36978674 44.43000364
 43.9648087  49.30438924 52.00861835 51.86550522]";57.27$\pm$0.26;"[57.71071553 57.33097267 56.78524041 57.18491602 57.08287287 57.31227803
 57.64346766 57.30396533 57.08683968 57.24477935]";nan$\pm$nan;[];4.73$\pm$0.2;"[5.26627421 4.71732545 4.8602438  4.84892082 4.60361838 4.64660883
 4.62638521 4.60612202 4.59406376 4.56540608]";9.14$\pm$0.08;"[9.10230803 9.06730247 9.08415914 9.07123256 9.1877892  9.22833824
 9.04753685 9.25670552 9.22658777 9.08899879]";27.54$\pm$1.8;"[26.68435836 26.60809565 26.7540617  26.60984516 26.79528022 26.65994573
 26.67326975 26.33783412 31.20191765 31.06695461]";nan$\pm$nan;[];7.02$\pm$0.3;"[7.63629818 6.91542673 6.74530935 6.95704865 6.98829985 6.88793063
 6.76015496 6.87328482 6.84804034 7.55450606]";1.4$\pm$0.06;"[1.28125405 1.34312773 1.38964295 1.45605445 1.3761158  1.45514131
 1.38068819 1.46641231 1.37159777 1.47372341]";1.92$\pm$0.05;"[1.87064338 1.94835043 1.89552212 1.93506932 1.91213322 1.87288713
 2.00999188 1.91034961 1.86929154 1.98549414]";58.73$\pm$3.15;"[63.41082811 59.72524714 55.94956899 55.92491651 55.79508948 55.91922212
 55.42298293 61.00740504 60.40447903 63.78623843]";1.55$\pm$0.1;"[1.420223   1.39630985 1.60129023 1.55499268 1.67276144 1.67798901
 1.61670446 1.59422159 1.5626905  1.45043826]";27.43$\pm$0.08;"[27.52121902 27.33738613 27.416888   27.44530034 27.45720124 27.28727627
 27.48566031 27.37906337 27.52991533 27.49008417]";16.0$\pm$0.78;"[16.31677961 16.33572149 16.30269814 16.28532553 16.32650352 16.35080552
 16.1169219  16.18106246 16.12934422 13.68407679]";1.89$\pm$0.04;"[1.91562915 1.88004565 1.80951715 1.97152948 1.8649931  1.86008191
 1.89608073 1.86241102 1.93775725 1.92407036]";25.18$\pm$1.58;"[27.2694056  27.13045788 26.71164179 27.20851707 23.38307524 23.52710772
 24.31912923 24.17981529 24.15583611 23.94682264]";11.98$\pm$1.09;"[11.58347631 11.58479357 11.61419082 11.62766409 15.23576975 11.63632727
 11.63567567 11.64284062 11.60923076 11.62338471]";10.55$\pm$0.63;"[11.07079911 11.05779052 10.23351574  9.65224624  9.60610127  9.75038385
 11.05379033 11.02189255 11.01664591 11.06696057]";12.61$\pm$0.05;"[12.69190526 12.63567543 12.63693547 12.56728768 12.60483122 12.62765241
 12.62057877 12.54232526 12.54253721 12.6541431 ]";9.26$\pm$0.56;"[ 9.91929412  8.77547359  8.7721045  10.12604713  8.80383301  8.77517962
  8.9916811   9.8395772   8.72400737  9.842906  ]";10.5$\pm$0.62;"[ 9.98928714  9.98496509  9.96215963  9.99728203 10.04535699 11.25333929
 11.21562743 11.34399247 11.22872925  9.97420049]"
