metrics;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;38.51$\pm$3.74;"[0.40006718 0.41106819 0.38008062 0.45901915 0.35136043 0.40376218
 0.37739335 0.3852872  0.30819617 0.37437017]";37.25$\pm$3.26;"[0.34774941 0.41257978 0.36924756 0.35597917 0.36622439 0.43911656
 0.35539133 0.39519651 0.32012093 0.36353712]";42.87$\pm$6.02;"[0.40393013 0.44726234 0.43953645 0.51629157 0.44188781 0.44617064
 0.3805005  0.43525361 0.2849345  0.49143433]";45.04$\pm$5.8;"[0.40141082 0.51074908 0.45372859 0.52049043 0.46330198 0.52510917
 0.36320121 0.47665435 0.35959019 0.43004703]";34.18$\pm$4.03;"[0.31315082 0.40275445 0.36378905 0.35068861 0.30021834 0.41904602
 0.34103124 0.32146456 0.30273766 0.30298959]";7.54$\pm$1.15;"[0.07658717 0.08901579 0.0856567  0.08280148 0.0838092  0.07751092
 0.05601276 0.05802822 0.06222707 0.0827175 ]";29.76$\pm$4.75;"[0.35371179 0.24840443 0.30525697 0.29475983 0.23135707 0.36412496
 0.36093383 0.3062647  0.23975479 0.27175008]";7.55$\pm$1.03;"[0.07306013 0.0875042  0.0893517  0.07885455 0.0867484  0.07415183
 0.05744038 0.0632348  0.06567014 0.07885455]";22.59$\pm$3.65;"[0.21388982 0.21708095 0.26897884 0.26855895 0.2393349  0.26637555
 0.2382432  0.2099429  0.18500168 0.15174672]";33.36$\pm$3.44;"[0.27939201 0.37311051 0.31348673 0.36798791 0.32054081 0.39326503
 0.34909305 0.32851864 0.29702721 0.31407457]";38.5$\pm$4.17;"[0.31121935 0.46019483 0.41988579 0.37361438 0.38940208 0.42853544
 0.35480349 0.39183742 0.33993954 0.38024857]"
Hits@50;56.5$\pm$3.14;"[0.56902922 0.61446087 0.56264696 0.59766544 0.55231777 0.57843467
 0.52519315 0.58170977 0.50100773 0.56768559]";52.99$\pm$3.19;"[0.52107827 0.58582466 0.50125966 0.52947598 0.51217669 0.5757474
 0.50487068 0.54593551 0.47824992 0.54417199]";61.86$\pm$3.57;"[0.62739335 0.65905274 0.6419214  0.63579106 0.60262009 0.61639234
 0.60723883 0.64082969 0.52292576 0.63218005]";61.98$\pm$3.47;"[0.59858918 0.63301982 0.64477662 0.6672825  0.62411824 0.66526705
 0.58187773 0.63150823 0.55324152 0.59842123]";51.26$\pm$2.92;"[0.52746053 0.56348673 0.51436009 0.50948942 0.47253947 0.53577427
 0.50352704 0.47917366 0.47589856 0.54433994]";14.07$\pm$1.75;"[0.12562983 0.15468593 0.15535774 0.14788378 0.1419214  0.13117232
 0.10681895 0.13595902 0.13469936 0.17332885]";47.69$\pm$4.21;"[0.55937185 0.46430971 0.48320457 0.46741686 0.39763184 0.51477998
 0.50470272 0.48656365 0.45230097 0.43911656]";14.12$\pm$1.18;"[0.12453813 0.15325831 0.15250252 0.1467081  0.14393685 0.13301982
 0.12680551 0.13486732 0.13394357 0.16232785]";36.29$\pm$4.56;"[0.36387303 0.34178703 0.40804501 0.39385287 0.37966073 0.41996977
 0.40250252 0.31113537 0.34052738 0.2676352 ]";51.19$\pm$1.69;"[0.52418542 0.54047699 0.50764192 0.51687941 0.48480013 0.52175008
 0.49252603 0.53031575 0.50251931 0.49773262]";55.87$\pm$2.21;"[0.56222707 0.59606987 0.58103796 0.57339604 0.55349345 0.57835069
 0.52872019 0.53191132 0.53459859 0.54694323]"
Hits@100;70.97$\pm$3.45;"[0.73513604 0.75755794 0.72346322 0.73320457 0.67366476 0.71464562
 0.6363789  0.73354048 0.67920726 0.71053074]";67.04$\pm$1.84;"[0.66963386 0.68827679 0.65611354 0.69365133 0.66291569 0.70524017
 0.6713134  0.65779308 0.64586832 0.65325831]";74.78$\pm$2.48;"[0.76578771 0.76419214 0.74319785 0.78367484 0.73127309 0.74084649
 0.74353376 0.76276453 0.68768895 0.7547867 ]";75.85$\pm$2.09;"[0.76494793 0.77141418 0.75755794 0.77015452 0.75058784 0.77594894
 0.73152503 0.78913336 0.71380584 0.76032919]";66.4$\pm$1.54;"[0.67164931 0.67971112 0.67534431 0.68878065 0.6341955  0.66829023
 0.65351025 0.66417534 0.64821968 0.65594558]";22.49$\pm$1.18;"[0.22421901 0.23538797 0.23026537 0.23664763 0.22127981 0.21036278
 0.21111858 0.21447766 0.21741686 0.24798455]";62.41$\pm$3.73;"[0.69701041 0.59984884 0.65468593 0.59833725 0.56852536 0.64519651
 0.64427276 0.63553913 0.62201881 0.57549547]";22.25$\pm$1.01;"[0.2216997  0.23202889 0.23085321 0.22228754 0.21338596 0.21556937
 0.21615721 0.21388982 0.21330198 0.24563319]";49.63$\pm$3.9;"[0.48563991 0.48169298 0.51427612 0.53988915 0.51755123 0.52914007
 0.53518643 0.46011085 0.4941216  0.40510581]";66.08$\pm$1.94;"[0.66946591 0.6856735  0.65745717 0.66039637 0.62302654 0.69071213
 0.66048035 0.66946591 0.636043   0.65535774]";69.73$\pm$2.44;"[0.67651999 0.7382432  0.71153846 0.71439368 0.70767551 0.71095062
 0.69541485 0.70154518 0.65863285 0.65812899]"
ROCAUC;98.9$\pm$0.11;"[0.98955035 0.99059502 0.98880787 0.9903913  0.98801165 0.98971155
 0.98686818 0.98929725 0.98819672 0.98905351]";98.74$\pm$0.09;"[0.98715353 0.98805531 0.98750336 0.98889483 0.98779424 0.98853721
 0.98686259 0.98724368 0.98600523 0.9863132 ]";99.06$\pm$0.06;"[0.99064211 0.9913973  0.99050469 0.9916391  0.9903964  0.99076059
 0.99026466 0.99068534 0.98930323 0.99018631]";98.91$\pm$0.06;"[0.98951342 0.98928475 0.98871805 0.98966488 0.9892687  0.99014243
 0.98834867 0.98931916 0.98820974 0.9882204 ]";98.48$\pm$0.07;"[0.98492341 0.98538165 0.98530568 0.9856464  0.98380426 0.98549512
 0.98427087 0.9852029  0.98435235 0.98376278]";93.74$\pm$0.17;"[0.93730024 0.93538959 0.94078116 0.93954553 0.9375479  0.93613766
 0.93558166 0.93779134 0.93581277 0.93839809]";98.24$\pm$0.19;"[0.98499823 0.98051857 0.98329743 0.98044923 0.97990409 0.98477471
 0.98369895 0.98366681 0.98285478 0.97977179]";93.74$\pm$0.15;"[0.93681338 0.93543073 0.94068155 0.93930631 0.93751334 0.93694252
 0.93578717 0.93732716 0.93588752 0.93785393]";97.21$\pm$0.42;"[0.96950224 0.97437042 0.97481046 0.97405087 0.97417699 0.9748705
 0.97483134 0.97062288 0.97360113 0.96058294]";98.5$\pm$0.05;"[0.9849948  0.98538811 0.98519457 0.9853952  0.98466428 0.98586629
 0.98488156 0.98503425 0.98456031 0.98396355]";98.73$\pm$0.06;"[0.98739413 0.98788211 0.98786058 0.98769166 0.98744686 0.98787625
 0.98697324 0.98673908 0.98667245 0.98615615]"
AP;98.74$\pm$0.14;"[0.98780655 0.98920669 0.98700855 0.98942079 0.98616367 0.98857857
 0.98481209 0.98752531 0.98580966 0.98743988]";98.56$\pm$0.12;"[0.98514475 0.98630835 0.98578819 0.98724729 0.98574806 0.98751752
 0.98493909 0.98553237 0.98342323 0.9845086 ]";98.94$\pm$0.1;"[0.98915225 0.99043098 0.98961265 0.99095813 0.98926391 0.98966212
 0.98880444 0.98952941 0.98707572 0.98927664]";98.86$\pm$0.09;"[0.98827286 0.98911743 0.98855114 0.98962091 0.98853229 0.99004026
 0.98760515 0.9892991  0.98684611 0.9878328 ]";98.3$\pm$0.1;"[0.98330372 0.98419445 0.98406161 0.98357889 0.98130782 0.98433461
 0.98261335 0.98310672 0.98165517 0.98181231]";92.15$\pm$0.29;"[0.91986561 0.92155218 0.92685112 0.92447416 0.92184871 0.92137156
 0.91653625 0.91998186 0.91820029 0.92417291]";98.04$\pm$0.25;"[0.98415567 0.97834407 0.98173248 0.97833847 0.97662021 0.98334713
 0.98276367 0.98150157 0.98009082 0.97712429]";92.13$\pm$0.25;"[0.91980449 0.92189825 0.9260586  0.92407287 0.92157271 0.92135322
 0.91769437 0.91924977 0.91818108 0.92343231]";96.84$\pm$0.47;"[0.96547011 0.97038969 0.97176458 0.97101416 0.97081547 0.97176348
 0.97189747 0.96624771 0.9689129  0.95576631]";98.36$\pm$0.07;"[0.98336496 0.984184   0.98385735 0.98419085 0.9830888  0.98492313
 0.98360582 0.98341175 0.98256864 0.98280027]";98.61$\pm$0.08;"[0.98594661 0.98694992 0.98691972 0.98664893 0.98627756 0.98696639
 0.9855037  0.98581603 0.98459752 0.9849136 ]"
pretrain_time;78.78$\pm$0.09;"[78.67132592 78.78523445 78.99107194 78.85658431 78.69556642 78.78487062
 78.77384925 78.68358183 78.72197652 78.85045838]";7.11$\pm$0.01;"[7.11525464 7.13308716 7.11536789 7.11330581 7.10474658 7.10518265
 7.11464119 7.11002874 7.09534431 7.11566639]";98.79$\pm$0.18;"[98.7977488  99.01860642 98.94947362 98.86066794 98.64441943 98.94594288
 98.9736042  98.57066154 98.51416326 98.59611487]";128.34$\pm$0.94;"[127.55782437 129.08521247 129.76517487 130.0288403  128.82261062
 127.65473199 127.72766614 127.64289927 127.48362732 127.62369466]";1.89$\pm$0.0;"[1.88625121 1.88525629 1.88452029 1.88712192 1.88165975 1.88576531
 1.89492178 1.8883903  1.88238335 1.88108397]";nan$\pm$nan;[];2.39$\pm$0.02;"[2.38197875 2.38414288 2.37272668 2.40061188 2.41722798 2.39205885
 2.38192248 2.40640497 2.36590767 2.3744936 ]";nan$\pm$nan;[];57.19$\pm$2.48;"[58.1533649  54.43745828 54.88136125 55.71896911 60.03119731 56.78382921
 60.52567458 61.30249524 54.95030999 55.15968251]";3.1$\pm$0.14;"[3.02831626 3.5039196  3.03085208 3.03608513 3.02484155 3.09252119
 3.07825923 3.09350109 3.09169674 3.03791213]";137.16$\pm$3.1;"[138.29172683 135.82260704 135.38904262 134.02447033 137.07551289
 135.16765738 136.13974071 141.23130584 134.25611234 144.25144863]"
