metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc
Hits@20;70.85$\pm$2.48;"[0.71354251 0.71144539 0.66587353 0.66716406 0.70672689 0.71592192
 0.71576061 0.74245846 0.74407162 0.70225036]";35.15$\pm$2.67;"[0.36187288 0.36598645 0.30875948 0.30867882 0.35812228 0.35489595
 0.33295693 0.35296015 0.40034683 0.3699387 ]";24.15$\pm$1.97;"[0.22491531 0.26395386 0.22890789 0.21479271 0.26121149 0.22979513
 0.2272544  0.22939184 0.26964026 0.26532505]";31.88$\pm$3.28;"[0.32577835 0.28403775 0.32343926 0.30996935 0.33868366 0.33912728
 0.26843039 0.3933699  0.30383933 0.3015809 ]";26.33$\pm$2.68;"[0.27012421 0.24931441 0.24927408 0.23806259 0.22451202 0.25286337
 0.3215438  0.26060655 0.27125343 0.29528956]";39.79$\pm$3.87;"[0.41837393 0.42668172 0.37506049 0.37070495 0.31246975 0.36804323
 0.41845459 0.41034844 0.45104049 0.42781094]";3.3$\pm$0.82;"[0.02742378 0.02177771 0.03520729 0.05154057 0.03540894 0.0345217
 0.02137442 0.03012583 0.03665914 0.0354896 ]";29.06$\pm$3.22;"[0.27056783 0.30448459 0.30867882 0.22616551 0.29153896 0.281618
 0.31182449 0.25056461 0.32952896 0.3309808 ]";3.26$\pm$0.64;"[0.02835135 0.02242297 0.03528795 0.04311179 0.03609453 0.03585256
 0.02234231 0.02972254 0.03774802 0.03524762]";34.15$\pm$4.09;"[0.35880787 0.30206485 0.33751412 0.30053234 0.37695596 0.27447975
 0.34896758 0.39627359 0.31666398 0.40276658]";3.26$\pm$0.64;"[0.02835135 0.02242297 0.03528795 0.04311179 0.03609453 0.03585256
 0.02234231 0.02972254 0.03774802 0.03524762]";19.33$\pm$1.81;"[0.20003226 0.19733021 0.2206001  0.18220681 0.20942894 0.15853363
 0.16926117 0.20922729 0.19845943 0.18797387]";24.65$\pm$3.08;"[0.23592515 0.25104856 0.21330053 0.26923697 0.28976448 0.20454912
 0.29149863 0.20398451 0.2623407  0.24294241]";39.9$\pm$2.95;"[0.36457493 0.43849814 0.39296661 0.39990321 0.40788837 0.36126795
 0.45229069 0.42075335 0.37223746 0.37945636]";26.68$\pm$2.66;"[0.26806743 0.25012099 0.2889579  0.22757703 0.25500081 0.23124698
 0.29891918 0.27085014 0.31460719 0.262623  ]";26.57$\pm$3.79;"[0.26879335 0.20305694 0.26903533 0.29553154 0.22180997 0.28060978
 0.31505081 0.29512825 0.29807227 0.21031618]"
Hits@50;83.9$\pm$1.31;"[0.85783997 0.83408614 0.8171076  0.82226972 0.84489434 0.8309808
 0.83271495 0.85078238 0.84360381 0.85550089]";52.03$\pm$2.92;"[0.5350863  0.50838845 0.49374899 0.48632844 0.55714631 0.47342313
 0.5088724  0.54569285 0.56380061 0.53081142]";38.94$\pm$2.06;"[0.40425875 0.41147766 0.36211486 0.35941281 0.39574931 0.3788111
 0.42930311 0.38135183 0.39127279 0.3803436 ]";47.39$\pm$2.43;"[0.45785611 0.49499919 0.48064204 0.45164543 0.4775367  0.46289724
 0.42309243 0.51028392 0.48273915 0.49693499]";38.59$\pm$3.02;"[0.38494112 0.37211647 0.40615422 0.39300694 0.34642684 0.32969027
 0.4373286  0.37675432 0.39671721 0.41591386]";54.85$\pm$2.12;"[0.56436522 0.54577351 0.55113728 0.53085175 0.51439748 0.52540732
 0.55980803 0.53432005 0.57678658 0.58170673]";5.56$\pm$0.86;"[0.05101629 0.04077271 0.05363768 0.07642362 0.06121955 0.05258913
 0.05194386 0.05674302 0.0550492  0.05670269]";41.91$\pm$3.11;"[0.4057106  0.42990805 0.42744798 0.41301016 0.39909663 0.35658977
 0.44341829 0.39687853 0.47717374 0.44180513]";5.53$\pm$1.11;"[0.0452089  0.03415874 0.05141958 0.07763349 0.05670269 0.06174383
 0.04734635 0.05996935 0.05928376 0.05924343]";46.64$\pm$4.49;"[0.49427327 0.44333764 0.46148572 0.43922407 0.50024197 0.37731892
 0.43321503 0.51407485 0.45971124 0.54125665]";5.53$\pm$1.11;"[0.0452089  0.03415874 0.05141958 0.07763349 0.05670269 0.06174383
 0.04734635 0.05996935 0.05928376 0.05924343]";31.68$\pm$2.63;"[0.34320052 0.31964833 0.34957251 0.30525085 0.33323923 0.26443781
 0.27835135 0.31061462 0.3351347  0.3284804 ]";39.6$\pm$2.68;"[0.40853363 0.40147604 0.37372963 0.43978868 0.42724633 0.34477335
 0.41413938 0.3731247  0.39050653 0.3867156 ]";56.56$\pm$2.67;"[0.55827553 0.56855945 0.5468624  0.58255364 0.58013389 0.51403452
 0.60880787 0.5930392  0.53520729 0.5683578 ]";39.64$\pm$2.49;"[0.39341023 0.37699629 0.41841426 0.38236006 0.38139216 0.34360381
 0.42777061 0.4101468  0.42607679 0.40341184]";41.46$\pm$1.97;"[0.43297306 0.40191966 0.40490402 0.43680432 0.37889176 0.40853363
 0.41974512 0.42599613 0.4437006  0.39288595]"
Hits@100;89.3$\pm$0.78;"[0.89760445 0.89345056 0.89034522 0.87227779 0.89986288 0.88913534
 0.89538635 0.90123407 0.89744314 0.89308759]";66.96$\pm$2.25;"[0.68446524 0.64901597 0.65381513 0.68043233 0.68490886 0.62748024
 0.64744314 0.67438296 0.70003226 0.69386191]";51.94$\pm$1.9;"[0.53206162 0.51447814 0.47164865 0.52516535 0.51818842 0.50379093
 0.531618   0.52540732 0.54379739 0.52819003]";58.06$\pm$2.67;"[0.55541216 0.60312147 0.58053718 0.58013389 0.5740442  0.57981126
 0.51988224 0.6196564  0.58549766 0.607598  ]";51.14$\pm$2.47;"[0.50923536 0.52157606 0.5227456  0.54125665 0.47785933 0.47164865
 0.54859655 0.48402968 0.51411518 0.52278593]";66.31$\pm$1.65;"[0.6727698  0.65942087 0.67119697 0.67160026 0.64873367 0.63744152
 0.65437974 0.64514438 0.69567672 0.67506856]";9.09$\pm$1.23;"[0.0816664  0.06843846 0.08360219 0.1135667  0.09965317 0.08912728
 0.08126311 0.09090176 0.09876593 0.10175028]";54.2$\pm$1.91;"[0.55529118 0.54932247 0.53125504 0.53024681 0.51193741 0.52339087
 0.55214551 0.53629618 0.58380384 0.54605582]";9.15$\pm$1.14;"[0.08622358 0.0683578  0.0844491  0.11542184 0.09392644 0.09348282
 0.08815938 0.09037748 0.09432973 0.10041942]";58.86$\pm$3.28;"[0.61884981 0.58686885 0.58932892 0.57146314 0.60078238 0.51709953
 0.55234715 0.59912889 0.61542184 0.6347798 ]";9.15$\pm$1.14;"[0.08622358 0.0683578  0.0844491  0.11542184 0.09392644 0.09348282
 0.08815938 0.09037748 0.09432973 0.10041942]";43.17$\pm$1.97;"[0.44664462 0.44103888 0.43708663 0.42442329 0.44781416 0.38901436
 0.41071141 0.4234554  0.46132441 0.43527182]";52.38$\pm$3.19;"[0.50879174 0.52379416 0.53754638 0.55117761 0.57247137 0.45636393
 0.54952412 0.50354896 0.53911921 0.49548314]";68.94$\pm$1.84;"[0.69656396 0.66869656 0.67200355 0.6920471  0.71378448 0.65417809
 0.68930473 0.70487175 0.71229231 0.69027262]";51.81$\pm$1.95;"[0.51197774 0.50653331 0.53153734 0.53645749 0.5135909  0.47112437
 0.53698177 0.50867075 0.52706082 0.53742539]";53.27$\pm$1.41;"[0.54170027 0.54157929 0.54605582 0.52758509 0.51217938 0.50536377
 0.52290692 0.54198258 0.54778997 0.53968382]"
ROCAUC;98.88$\pm$0.04;"[0.98927508 0.9883206  0.98862807 0.98907901 0.98943843 0.98867633
 0.98842044 0.98910888 0.98888472 0.98862559]";98.3$\pm$0.06;"[0.98390917 0.98251294 0.98266325 0.98331052 0.9838566  0.98221251
 0.98249283 0.98242815 0.98373863 0.98276395]";98.33$\pm$0.05;"[0.98412877 0.98281467 0.98253611 0.98384407 0.98331609 0.98332371
 0.98272521 0.9834851  0.98414853 0.98299012]";97.8$\pm$0.08;"[0.97812115 0.97827892 0.97798605 0.97798754 0.97925835 0.97722779
 0.97626085 0.97846657 0.97825674 0.97769642]";97.85$\pm$0.07;"[0.97879965 0.97783014 0.97859495 0.97988431 0.97945131 0.97756973
 0.97833826 0.97781138 0.979203   0.97800661]";98.35$\pm$0.05;"[0.98406767 0.98299431 0.9833064  0.983563   0.98388633 0.98326038
 0.98312326 0.98329504 0.98462952 0.98314223]";85.93$\pm$0.34;"[0.86365119 0.86176739 0.85765209 0.85908714 0.85417833 0.85632933
 0.86426937 0.86201111 0.85875408 0.85516674]";97.78$\pm$0.06;"[0.97789396 0.97704141 0.9775071  0.97799608 0.97822443 0.97724558
 0.97783415 0.978819   0.97870503 0.97708967]";85.98$\pm$0.36;"[0.86359395 0.86329763 0.85620763 0.85874382 0.85586777 0.85857158
 0.86587712 0.86252651 0.85900472 0.85470989]";97.8$\pm$0.1;"[0.97765558 0.97875809 0.97854539 0.97823362 0.9783368  0.97625776
 0.97607167 0.97918115 0.97870499 0.9783767 ]";85.98$\pm$0.36;"[0.86359395 0.86329763 0.85620763 0.85874382 0.85586777 0.85857158
 0.86587712 0.86252651 0.85900472 0.85470989]";97.31$\pm$0.12;"[0.97438885 0.97241017 0.97335405 0.97494694 0.97403646 0.97154908
 0.97066635 0.97353428 0.97340438 0.97317871]";97.15$\pm$0.07;"[0.97062987 0.97080133 0.97100562 0.97152286 0.97242076 0.97088886
 0.97224017 0.9728023  0.97109493 0.97181912]";97.96$\pm$0.08;"[0.98077288 0.97797868 0.97957348 0.97950435 0.98039269 0.9797421
 0.9790416  0.98045372 0.9797651  0.97850532]";97.71$\pm$0.06;"[0.97776597 0.9762596  0.97667924 0.97772211 0.97809116 0.97683168
 0.97678255 0.97742138 0.97708159 0.97673035]";97.4$\pm$0.09;"[0.97427027 0.9746464  0.97570327 0.97473536 0.97313072 0.97372578
 0.97337663 0.97337526 0.97461835 0.97252957]"
AP;99.16$\pm$0.02;"[0.99183885 0.9912411  0.99144094 0.99171755 0.99190823 0.99154244
 0.99141675 0.99172502 0.99171445 0.99143146]";98.53$\pm$0.06;"[0.98603762 0.98487542 0.98480052 0.9854374  0.98595494 0.9845288
 0.98483788 0.98494269 0.98616321 0.98524877]";98.25$\pm$0.05;"[0.98307564 0.98213201 0.98143338 0.98252496 0.98265175 0.98240716
 0.98203446 0.9827392  0.98335245 0.98222233]";97.96$\pm$0.1;"[0.97925978 0.97962849 0.97981079 0.97938005 0.9808919  0.97941453
 0.97706567 0.98070751 0.97987796 0.97972761]";97.88$\pm$0.08;"[0.97906709 0.97854213 0.97921777 0.98015234 0.97920112 0.97758109
 0.97893118 0.97764622 0.97951721 0.97858021]";98.54$\pm$0.04;"[0.98585191 0.98505442 0.98526945 0.98538336 0.98526561 0.98477371
 0.98504722 0.98521516 0.98642973 0.9852581 ]";87.07$\pm$0.24;"[0.87379688 0.8686553  0.86853339 0.87205207 0.86728926 0.86817263
 0.87381212 0.8732846  0.87155327 0.86968669]";97.84$\pm$0.06;"[0.97830281 0.97770985 0.97833883 0.97832175 0.97842895 0.97769738
 0.97875793 0.97899989 0.97971817 0.97792423]";87.1$\pm$0.24;"[0.87393568 0.8692476  0.86751848 0.87167212 0.86805312 0.87001748
 0.8747391  0.87377161 0.87156646 0.86962609]";97.96$\pm$0.11;"[0.97966017 0.97978957 0.9798232  0.97971009 0.98013446 0.97717058
 0.97779889 0.98091076 0.98052231 0.98060854]";87.1$\pm$0.24;"[0.87393568 0.8692476  0.86751848 0.87167212 0.86805312 0.87001748
 0.8747391  0.87377161 0.87156646 0.86962609]";97.27$\pm$0.15;"[0.97396874 0.97212698 0.97359648 0.97411969 0.9737541  0.97002891
 0.96966045 0.97292655 0.97362899 0.97280335]";97.48$\pm$0.08;"[0.97424153 0.97415428 0.97442221 0.97524659 0.97644484 0.97355746
 0.9756759  0.97526013 0.97456791 0.97456885]";98.33$\pm$0.05;"[0.98395664 0.98228453 0.98308422 0.98327331 0.98389685 0.98298798
 0.98300864 0.98399853 0.98355135 0.98269118]";97.85$\pm$0.05;"[0.97891466 0.97757787 0.978491   0.97887396 0.97904883 0.97749249
 0.97813046 0.9788484  0.9788745  0.97832956]";97.55$\pm$0.09;"[0.97577634 0.97564644 0.97707219 0.97643631 0.9744739  0.97539671
 0.97498276 0.97510392 0.97651954 0.97387638]"
pretrain_time;nan$\pm$nan;[];408.45$\pm$0.11;"[408.45455146 408.34917593 408.36997342 408.3368392  408.45616913
 408.46754837 408.4919138  408.71904612 408.46644115 408.35475159]";34.97$\pm$0.02;"[34.92659307 34.96330953 34.98558021 34.97067046 34.98487449 34.99261093
 34.97521329 34.97412825 34.97645235 34.97320724]";9.17$\pm$0.03;"[9.07426381 9.17757058 9.17154408 9.17324805 9.18297791 9.17422271
 9.19324207 9.21210814 9.17783904 9.18403029]";114.47$\pm$0.1;"[114.33946204 114.40459108 114.33624673 114.45257092 114.62930417
 114.59452844 114.45328331 114.48575687 114.59536648 114.36765933]";125.01$\pm$0.23;"[124.50066686 125.19129324 125.09671116 125.10146427 124.94217062
 125.1853981  125.37572718 125.04993796 124.79137373 124.89240551]";nan$\pm$nan;[];6.74$\pm$0.11;"[6.72494769 6.68387103 6.67940354 6.71503019 6.77201509 6.67225909
 6.6748383  7.04250765 6.7023952  6.70705867]";nan$\pm$nan;[];10.63$\pm$0.1;"[10.73103786 10.48805189 10.68293047 10.71370339 10.59573984 10.80844045
 10.62294388 10.46911144 10.54763412 10.62872934]";nan$\pm$nan;[];64.32$\pm$2.52;"[65.83148265 65.34802794 65.43776321 65.62991238 65.9029026  59.01944208
 59.64258146 64.81702638 65.89923811 65.69724131]";745.54$\pm$31.9;"[735.81331277 810.272264   733.74856353 735.24477744 715.76516128
 734.78026915 731.98173833 725.3831048  806.1893189  726.18090606]";1093.23$\pm$0.41;"[1093.40270114 1092.86605477 1093.67141938 1092.89161205 1093.03801298
 1093.33481336 1092.8563168  1093.06187558 1093.02031231 1094.18875241]";487.54$\pm$0.24;"[487.94690824 487.53322887 487.90510607 487.35046744 487.47065973
 487.51052713 487.55256677 487.44469404 487.07659602 487.59402657]";900.06$\pm$0.16;"[899.94950318 899.97796416 900.01551795 900.52060175 900.04361033
 900.00807691 900.04648042 899.99743652 900.02741385 900.05095267]"
