metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;leiden_prob_pred_mean;leiden_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;59.6$\pm$3.88;"[0.53742826 0.64550006 0.60043961 0.59677616 0.60190499 0.59164733
 0.60849921 0.64085969 0.62046648 0.51642447]";60.12$\pm$3.89;"[0.56710221 0.64305776 0.62840396 0.54072536 0.54793015 0.61973379
 0.66479424 0.60178288 0.61619245 0.58273293]";46.35$\pm$5.09;"[0.47624863 0.43411894 0.55464648 0.42850165 0.40798632 0.49139089
 0.51715716 0.43973623 0.50238124 0.38246428]";48.46$\pm$3.95;"[0.50592258 0.52582733 0.49102455 0.49945048 0.43936989 0.45365735
 0.49346685 0.44791794 0.56001954 0.42935645]";49.43$\pm$6.38;"[0.48406399 0.55171572 0.48345341 0.41323727 0.46892172 0.5613628
 0.53559653 0.5491513  0.53803883 0.35718647]";39.64$\pm$1.97;"[0.34961534 0.40407864 0.40639883 0.39980462 0.38808157 0.42935645
 0.41238246 0.39577482 0.39064599 0.38795946]";42.69$\pm$3.45;"[0.42471608 0.45634388 0.44315545 0.39858347 0.41360361 0.47295152
 0.4159238  0.44486506 0.45243619 0.34595189]";43.56$\pm$1.32;"[0.4281353  0.42703627 0.46086213 0.43668336 0.42825742 0.44816217
 0.44339968 0.40969593 0.43998046 0.43363048]";50.75$\pm$4.18;"[0.47002076 0.54963976 0.47246306 0.46538039 0.47588228 0.54475516
 0.51862254 0.49041397 0.59811943 0.48992551]";50.71$\pm$3.43;"[0.55330321 0.4679448  0.50799853 0.46269386 0.45964098 0.51483698
 0.54707534 0.52753694 0.54365612 0.48613994]";47.12$\pm$3.44;"[0.45268042 0.52375137 0.47111979 0.46367078 0.41775553 0.48101111
 0.43069972 0.47710343 0.53388692 0.46049579]";45.12$\pm$4.83;"[0.38979118 0.50335816 0.44657467 0.47539382 0.40542191 0.47649286
 0.41567957 0.47002076 0.54060325 0.38857003]";40.23$\pm$3.78;"[0.36036146 0.45658811 0.37562584 0.38002198 0.45402369 0.4183661
 0.35669801 0.39528636 0.45231408 0.37354988]";44.1$\pm$4.07;"[0.47380633 0.51056295 0.40224692 0.41897668 0.40139211 0.47234095
 0.46049579 0.43521798 0.46562462 0.36952009]";38.41$\pm$5.39;"[0.37806814 0.41128343 0.45756503 0.29454146 0.33520576 0.39919404
 0.31591159 0.38551716 0.47050922 0.39284406]";39.64$\pm$1.97;"[0.34961534 0.40407864 0.40639883 0.39980462 0.38808157 0.42935645
 0.41238246 0.39577482 0.39064599 0.38795946]";40.0$\pm$4.25;"[0.3501038  0.44645256 0.45133716 0.42581512 0.36695567 0.42764684
 0.35657589 0.3769691  0.45268042 0.34497497]";36.81$\pm$2.28;"[0.34827207 0.37220662 0.40444499 0.34009037 0.36952009 0.41311515
 0.37013066 0.34961534 0.35071437 0.36292588]";39.64$\pm$1.97;"[0.34961534 0.40407864 0.40639883 0.39980462 0.38808157 0.42935645
 0.41238246 0.39577482 0.39064599 0.38795946]";29.59$\pm$2.68;"[0.26083771 0.27720112 0.33972402 0.29319819 0.34949322 0.27768958
 0.28635975 0.28196361 0.30602027 0.28660398]";28.08$\pm$2.83;"[0.22078398 0.30308951 0.31481255 0.26364635 0.28147515 0.30272317
 0.2713396  0.26254732 0.31835389 0.26901942]"
Hits@50;73.41$\pm$2.2;"[0.6937355  0.77396508 0.74465747 0.72402003 0.72963732 0.72939309
 0.72536329 0.75491513 0.75357186 0.71205275]";73.65$\pm$2.58;"[0.69263646 0.73867383 0.76737086 0.70362682 0.72426426 0.74526804
 0.7635853  0.75100745 0.76651606 0.71205275]";61.87$\pm$2.83;"[0.62290878 0.59616559 0.64611064 0.59726462 0.58419831 0.66711442
 0.63939431 0.62925876 0.63145683 0.57357431]";64.04$\pm$2.36;"[0.63133472 0.65844425 0.66894615 0.63878373 0.61777995 0.63170106
 0.63963854 0.62669435 0.6872634  0.60337037]";66.21$\pm$2.21;"[0.62718281 0.66870192 0.67773843 0.63475394 0.64452314 0.69556722
 0.65990963 0.66186348 0.69593357 0.65453657]";50.36$\pm$1.01;"[0.49749664 0.50921968 0.52704848 0.50006106 0.5004274  0.49383319
 0.49786299 0.50726584 0.51202833 0.4906582 ]";58.36$\pm$2.88;"[0.54536573 0.5938454  0.61155208 0.54060325 0.61142997 0.62193186
 0.57650507 0.59311271 0.59726462 0.54451093]";59.71$\pm$1.71;"[0.5824887  0.61643668 0.6052021  0.55977531 0.6036146  0.58615216
 0.59152522 0.5954329  0.61033093 0.61997802]";66.51$\pm$2.02;"[0.65661253 0.69935279 0.65429234 0.64916351 0.64879717 0.66870192
 0.64965197 0.67089999 0.70570277 0.64830871]";66.25$\pm$2.95;"[0.66381732 0.67419709 0.6961778  0.60324826 0.64891928 0.68127977
 0.65307119 0.69959702 0.68164611 0.62327513]";63.44$\pm$3.13;"[0.62608377 0.71461717 0.6498962  0.61619245 0.61692514 0.63084626
 0.61033093 0.62706069 0.65502503 0.59750885]";62.12$\pm$3.26;"[0.58200024 0.65136158 0.6523385  0.61643668 0.5751618  0.6052021
 0.61839052 0.64806448 0.67566247 0.58773965]";56.85$\pm$2.42;"[0.57052143 0.60263768 0.58138967 0.5531811  0.60141653 0.55769935
 0.52790328 0.53925998 0.59128099 0.56001954]";61.7$\pm$2.08;"[0.58786177 0.64708756 0.62364147 0.60178288 0.60862132 0.64024911
 0.62339724 0.61692514 0.63805104 0.58261082]";56.26$\pm$3.61;"[0.56197338 0.59726462 0.60715594 0.49334473 0.52949078 0.55232629
 0.55171572 0.58041275 0.61533765 0.53706191]";50.36$\pm$1.01;"[0.49749664 0.50921968 0.52704848 0.50006106 0.5004274  0.49383319
 0.49786299 0.50726584 0.51202833 0.4906582 ]";55.41$\pm$2.87;"[0.53669557 0.56478202 0.58505312 0.50970815 0.5296129  0.57052143
 0.52082061 0.55195995 0.6067896  0.56551471]";54.77$\pm$1.68;"[0.53144462 0.57870314 0.55342533 0.56368299 0.51935523 0.5629503
 0.53376481 0.54194651 0.55037245 0.54170228]";50.36$\pm$1.01;"[0.49749664 0.50921968 0.52704848 0.50006106 0.5004274  0.49383319
 0.49786299 0.50726584 0.51202833 0.4906582 ]";43.02$\pm$2.42;"[0.44083527 0.42141898 0.4606179  0.39943827 0.47466113 0.40224692
 0.40175846 0.43802662 0.44059104 0.42202955]";45.16$\pm$3.34;"[0.38930272 0.49603126 0.48540725 0.46110636 0.46806692 0.44889486
 0.41018439 0.42129686 0.48516302 0.45048235]"
Hits@100;80.39$\pm$1.14;"[0.7831237  0.82171205 0.81291977 0.79912077 0.79411406 0.80522652
 0.8082794  0.81291977 0.81169862 0.79008426]";81.04$\pm$1.45;"[0.78947368 0.81279766 0.82964953 0.78984003 0.80547075 0.81059958
 0.82647454 0.82757357 0.81768226 0.79472463]";74.45$\pm$1.73;"[0.76163146 0.72682867 0.75796801 0.72267676 0.72682867 0.75906704
 0.74954207 0.7497863  0.76956893 0.72157773]";75.65$\pm$1.61;"[0.7246306  0.76041031 0.77225546 0.75027476 0.74636708 0.75271706
 0.74783246 0.75979973 0.78886311 0.76150934]";78.27$\pm$1.32;"[0.76089877 0.79582367 0.79509098 0.77005739 0.77665161 0.7904506
 0.774942   0.78104775 0.80656979 0.77591892]";59.14$\pm$1.37;"[0.60153865 0.60569056 0.60947613 0.5914031  0.59360117 0.56148492
 0.58712908 0.58786177 0.6003175  0.57577238]";70.33$\pm$2.17;"[0.68799609 0.72585175 0.71425082 0.64476737 0.71022103 0.71681524
 0.70399316 0.71364025 0.70240567 0.71278544]";71.37$\pm$1.53;"[0.69385761 0.74148248 0.71449505 0.68445476 0.70521431 0.71962389
 0.72414214 0.71412871 0.72353157 0.71596043]";77.05$\pm$1.28;"[0.75357186 0.78922945 0.78874099 0.75918916 0.77152277 0.77567469
 0.76883624 0.77017951 0.77884968 0.74966418]";77.92$\pm$1.59;"[0.77213335 0.78104775 0.78642081 0.74661131 0.76920259 0.79423617
 0.77933814 0.79386983 0.80437172 0.76517279]";75.42$\pm$2.0;"[0.74600073 0.80315057 0.77274392 0.74587862 0.73696422 0.73781903
 0.73305654 0.7522286  0.7644401  0.74954207]";74.95$\pm$2.3;"[0.72328734 0.77884968 0.77188912 0.72878251 0.7457565  0.74636708
 0.75161802 0.76908047 0.77311027 0.70667969]";69.49$\pm$1.98;"[0.68457687 0.70692392 0.72731713 0.69471242 0.70973257 0.67273171
 0.65441446 0.68860667 0.70802296 0.70203932]";72.75$\pm$1.88;"[0.69666626 0.74880938 0.75198437 0.71534986 0.70362682 0.74123825
 0.73037001 0.74074979 0.73720845 0.70887776]";70.08$\pm$2.44;"[0.69507876 0.72402003 0.74746611 0.65368177 0.69727683 0.69605568
 0.68359995 0.70716815 0.7188912  0.68433264]";59.14$\pm$1.37;"[0.60153865 0.60569056 0.60947613 0.5914031  0.59360117 0.56148492
 0.58712908 0.58786177 0.6003175  0.57577238]";68.24$\pm$2.51;"[0.65624618 0.71119795 0.70191721 0.64598852 0.66357309 0.67383075
 0.65380388 0.71461717 0.70655758 0.69666626]";67.48$\pm$2.26;"[0.6514837  0.71718159 0.70094029 0.66015386 0.63560874 0.67541824
 0.6661375  0.67810477 0.69031628 0.67248748]";59.14$\pm$1.37;"[0.60153865 0.60569056 0.60947613 0.5914031  0.59360117 0.56148492
 0.58712908 0.58786177 0.6003175  0.57577238]";55.43$\pm$1.91;"[0.54438881 0.54622054 0.57198681 0.52179753 0.57955794 0.54304555
 0.53559653 0.54854073 0.57858102 0.57369642]";58.0$\pm$2.24;"[0.54390035 0.60862132 0.60947613 0.56478202 0.58712908 0.58370985
 0.56307241 0.54963976 0.60080596 0.58871657]"
ROCAUC;96.76$\pm$0.15;"[0.96532824 0.96905963 0.96780698 0.96554982 0.96854689 0.96918299
 0.9663383  0.96925396 0.96833257 0.96612915]";97.32$\pm$0.11;"[0.97178673 0.97194208 0.97437391 0.97242457 0.97255083 0.97395164
 0.97229452 0.97497489 0.97397837 0.97341267]";97.64$\pm$0.1;"[0.97690196 0.9763591  0.97804876 0.97624664 0.97619819 0.97746666
 0.9745656  0.97654637 0.97715269 0.974866  ]";97.43$\pm$0.08;"[0.97341854 0.97506976 0.97482239 0.97373783 0.97444441 0.97549622
 0.97380246 0.97405497 0.97543465 0.9730215 ]";97.87$\pm$0.08;"[0.97784407 0.97880284 0.9800015  0.9772958  0.9784509  0.97872487
 0.97910103 0.97889053 0.9799396  0.97771388]";88.97$\pm$0.19;"[0.89006803 0.89209491 0.88991262 0.88855883 0.88980895 0.89112366
 0.89035657 0.89075904 0.8896282  0.88460839]";96.9$\pm$0.12;"[0.96823857 0.96668978 0.97016768 0.96813768 0.96824737 0.96996606
 0.96850547 0.96909458 0.97133736 0.96946528]";96.23$\pm$0.17;"[0.95974008 0.9640719  0.96408592 0.96155309 0.96182583 0.96277126
 0.95945677 0.96453532 0.96384687 0.96140779]";97.76$\pm$0.1;"[0.97704559 0.97798836 0.97907992 0.97716811 0.97643301 0.97826302
 0.97801129 0.97587326 0.97883798 0.97771387]";97.94$\pm$0.09;"[0.97946427 0.9790043  0.9803642  0.97724544 0.97903717 0.979518
 0.97940817 0.98023873 0.98071407 0.97895071]";97.59$\pm$0.07;"[0.97676153 0.97544415 0.97562315 0.97627255 0.97457983 0.97623851
 0.97478592 0.97625617 0.97697296 0.97609751]";97.55$\pm$0.08;"[0.9742959  0.97684957 0.9754577  0.97503731 0.97446558 0.9751841
 0.97521064 0.97564659 0.97700132 0.97539571]";97.6$\pm$0.11;"[0.97531714 0.97724601 0.97734875 0.97579399 0.97759238 0.97480618
 0.97461191 0.97467838 0.97674349 0.97608846]";97.18$\pm$0.05;"[0.97068526 0.97121463 0.97257694 0.9716115  0.97170289 0.97197222
 0.97206697 0.97152322 0.97229258 0.97189986]";97.44$\pm$0.13;"[0.97413711 0.97454432 0.97723188 0.97239522 0.97439189 0.97462515
 0.97293149 0.97521038 0.97524023 0.97335437]";88.97$\pm$0.19;"[0.89006803 0.89209491 0.88991262 0.88855883 0.88980895 0.89112366
 0.89035657 0.89075904 0.8896282  0.88460839]";97.19$\pm$0.18;"[0.9704857  0.97175121 0.97500705 0.97011449 0.97066363 0.96994268
 0.97035751 0.97443485 0.9726978  0.97324554]";97.21$\pm$0.09;"[0.97064822 0.9737835  0.97267451 0.97103115 0.97181356 0.97146092
 0.97217304 0.97271758 0.97304729 0.97148656]";88.97$\pm$0.19;"[0.89006803 0.89209491 0.88991262 0.88855883 0.88980895 0.89112366
 0.89035657 0.89075904 0.8896282  0.88460839]";96.36$\pm$0.15;"[0.96256251 0.96199872 0.96644627 0.96270464 0.96542869 0.96226886
 0.96222083 0.96371223 0.965452   0.96355862]";96.74$\pm$0.13;"[0.96625086 0.96742873 0.97077627 0.96723104 0.96694786 0.96638566
 0.96598364 0.96752608 0.9683053  0.96763896]"
AP;97.49$\pm$0.12;"[0.97299713 0.97636772 0.97481207 0.97415776 0.97570157 0.97580268
 0.97424844 0.97638566 0.97575761 0.97293674]";97.84$\pm$0.09;"[0.97716887 0.97792833 0.9793179  0.9774799  0.97782054 0.97893102
 0.97822197 0.97961182 0.9795654  0.97747571]";97.79$\pm$0.12;"[0.97823838 0.97740984 0.97995686 0.9776054  0.97681282 0.97924607
 0.97656223 0.97771761 0.9792145  0.97581691]";97.72$\pm$0.1;"[0.97624808 0.97813392 0.97802539 0.97719672 0.97674476 0.97761502
 0.97668098 0.97703813 0.97901653 0.97540514]";98.05$\pm$0.11;"[0.97943977 0.98067372 0.98149052 0.97900179 0.98018997 0.98102535
 0.98101706 0.98085657 0.98219642 0.97875208]";92.14$\pm$0.15;"[0.92151655 0.92371074 0.92179541 0.92046214 0.92137032 0.92202824
 0.92277712 0.92156605 0.92149577 0.91765874]";97.22$\pm$0.11;"[0.97147771 0.97130185 0.9734098  0.97044472 0.97207724 0.97343729
 0.97161393 0.97276297 0.97391934 0.9715642 ]";96.87$\pm$0.12;"[0.96661569 0.97002419 0.97005595 0.96765738 0.96840744 0.96869269
 0.96748749 0.97003932 0.97001196 0.96784856]";97.99$\pm$0.1;"[0.97911666 0.98060119 0.98121284 0.97893905 0.9788142  0.980337
 0.98018638 0.97840193 0.98174555 0.97960325]";98.1$\pm$0.09;"[0.98125235 0.98064171 0.98176262 0.97915427 0.98033592 0.9814959
 0.98115414 0.98188334 0.98250661 0.97998136]";97.79$\pm$0.09;"[0.97829502 0.97859214 0.9784378  0.97751431 0.97610255 0.97790731
 0.97657391 0.97823173 0.97923924 0.97789915]";97.74$\pm$0.12;"[0.97580969 0.97894478 0.97807468 0.97695704 0.97610195 0.97701149
 0.97702769 0.9782568  0.97963915 0.97610423]";97.59$\pm$0.12;"[0.97505439 0.97750429 0.97707064 0.97535665 0.9770406  0.97488212
 0.97377402 0.97486177 0.97710093 0.97591609]";97.44$\pm$0.08;"[0.97343938 0.97447325 0.97522167 0.97414673 0.97411739 0.97509963
 0.97471043 0.9744647  0.97564869 0.97300973]";97.52$\pm$0.16;"[0.97467663 0.97621284 0.97837395 0.97292285 0.97445382 0.97539643
 0.97337571 0.97625724 0.97663263 0.97409818]";92.14$\pm$0.15;"[0.92151655 0.92371074 0.92179541 0.92046214 0.92137032 0.92202824
 0.92277712 0.92156605 0.92149577 0.91765874]";97.29$\pm$0.17;"[0.97115702 0.97358444 0.97567264 0.97111982 0.9716859  0.97204087
 0.9706142  0.97498982 0.97490979 0.97312882]";97.31$\pm$0.11;"[0.97116138 0.97490937 0.97454688 0.97220587 0.9724662  0.97347257
 0.97268894 0.97365467 0.97395719 0.97227304]";92.14$\pm$0.15;"[0.92151655 0.92371074 0.92179541 0.92046214 0.92137032 0.92202824
 0.92277712 0.92156605 0.92149577 0.91765874]";96.27$\pm$0.19;"[0.96140561 0.96139997 0.96620122 0.96108391 0.96473509 0.96103905
 0.96076748 0.96212878 0.9650416  0.96298026]";96.61$\pm$0.19;"[0.9627492  0.96707953 0.97000994 0.96599504 0.96589288 0.96525511
 0.96442773 0.96552939 0.96782009 0.96654422]"
pretrain_time;199.08$\pm$0.12;"[198.94901228 199.14820933 199.32898211 199.12375426 199.19416738
 198.93636107 199.06444025 199.04803038 199.02627707 198.96769142]";167.78$\pm$0.24;"[167.8006525  167.74270535 168.04427624 167.79833412 167.88217878
 167.52597451 167.19570923 168.06284833 167.85431004 167.84706163]";330.82$\pm$0.13;"[330.93200684 331.09812593 330.95070624 330.71877193 330.87150455
 330.74326825 330.75168443 330.63501716 330.74176335 330.74099278]";133.63$\pm$0.15;"[133.88225341 133.70604873 133.82253122 133.57054925 133.73015022
 133.52078795 133.38886142 133.44644427 133.67805004 133.51534367]";60.68$\pm$0.23;"[60.59483647 60.76293254 60.59875512 61.02371478 60.33999443 60.92145252
 60.34341788 60.98195791 60.52955914 60.67452312]";nan$\pm$nan;[];7.5$\pm$0.08;"[7.50638795 7.57720065 7.58612514 7.48912263 7.59380484 7.49700046
 7.28009653 7.49049354 7.47479463 7.50587511]";193.4$\pm$0.38;"[192.84970975 193.7631259  193.0708096  193.55365992 194.13638401
 193.43759322 193.25846887 193.4658637  193.57227921 192.85857201]";11.88$\pm$0.05;"[11.84903979 11.96267748 11.9446528  11.82626367 11.93245792 11.82918525
 11.86551309 11.85789275 11.88534784 11.88607335]";77.09$\pm$0.82;"[76.3588891  76.53606343 78.07261682 76.30448413 76.11960268 77.88160896
 76.19754219 77.37759089 78.04906297 78.04030704]";113.59$\pm$1.77;"[111.92196774 116.20304656 116.04007697 112.49803591 116.49651837
 112.2972064  113.09423494 112.20111275 112.71338129 112.42620301]";168.36$\pm$1.64;"[167.61283112 170.86315918 170.9591248  167.16222882 170.75747418
 167.15739536 167.25095725 167.31198072 167.25904965 167.30123234]";45.84$\pm$0.6;"[45.51026058 47.26085043 45.76134324 45.7940414  46.49848509 45.3911252
 45.94090867 45.17181826 45.8410368  45.23982716]";59.01$\pm$0.34;"[58.68885636 59.4236455  59.52583599 58.86331487 59.58831692 58.70187497
 58.78996778 58.88602257 58.7754941  58.84003425]";62.71$\pm$0.14;"[62.66318107 62.92424989 62.95848441 62.60855412 62.84330964 62.58291841
 62.60476708 62.60971785 62.60825658 62.65102577]";nan$\pm$nan;[];85.97$\pm$2.53;"[86.97568083 85.76801944 87.99982524 85.56134439 84.5661757  87.93517041
 86.58909631 81.89955759 81.94406819 90.41209149]";232.77$\pm$11.14;"[231.24377179 242.09359503 255.83202505 224.79044247 230.8501873
 246.17931509 227.29773426 219.54431343 220.21897912 229.61458111]";nan$\pm$nan;[];3.41$\pm$0.17;"[3.32805443 3.89728785 3.34069967 3.40587068 3.31547499 3.3221128
 3.32457185 3.36809921 3.36911511 3.37952304]";29.29$\pm$1.58;"[29.86924171 31.01162362 26.67636013 26.75638223 31.1564374  29.1968472
 30.26908064 27.75965619 29.69842601 30.51685953]"
