metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;91.7$\pm$2.11;"[0.90566038 0.93396226 0.92924528 0.91981132 0.91981132 0.86792453
 0.91037736 0.93867925 0.9009434  0.94339623]";83.58$\pm$5.02;"[0.81132075 0.86792453 0.85377358 0.88207547 0.75471698 0.78773585
 0.88207547 0.91037736 0.76886792 0.83962264]";27.83$\pm$10.69;"[0.27358491 0.5754717  0.20754717 0.29716981 0.30660377 0.22641509
 0.17924528 0.19811321 0.25471698 0.26415094]";75.24$\pm$5.42;"[0.70283019 0.76886792 0.71226415 0.80188679 0.69811321 0.69339623
 0.80188679 0.86792453 0.73584906 0.74056604]";27.83$\pm$10.69;"[0.27358491 0.5754717  0.20754717 0.29716981 0.30660377 0.22641509
 0.17924528 0.19811321 0.25471698 0.26415094]";80.9$\pm$4.47;"[0.75471698 0.85849057 0.76886792 0.82075472 0.80188679 0.80188679
 0.83962264 0.85377358 0.72641509 0.86320755]";27.83$\pm$10.69;"[0.27358491 0.5754717  0.20754717 0.29716981 0.30660377 0.22641509
 0.17924528 0.19811321 0.25471698 0.26415094]";76.98$\pm$5.23;"[0.70754717 0.81132075 0.76886792 0.84433962 0.68396226 0.77830189
 0.74056604 0.83490566 0.72169811 0.80660377]";83.49$\pm$3.47;"[0.80660377 0.89622642 0.81132075 0.87264151 0.78773585 0.79245283
 0.82075472 0.84433962 0.85377358 0.86320755]";89.72$\pm$2.38;"[0.91981132 0.92924528 0.90566038 0.86792453 0.87735849 0.88207547
 0.91037736 0.91037736 0.85377358 0.91509434]";87.69$\pm$2.17;"[0.83018868 0.9009434  0.88679245 0.89622642 0.88679245 0.86792453
 0.86320755 0.90566038 0.86320755 0.86792453]";77.78$\pm$6.09;"[0.75943396 0.75471698 0.81132075 0.83490566 0.73113208 0.64622642
 0.85377358 0.85377358 0.75       0.78301887]";86.42$\pm$3.25;"[0.86320755 0.85849057 0.89622642 0.85377358 0.85377358 0.78301887
 0.89150943 0.90566038 0.85849057 0.87735849]";80.57$\pm$5.16;"[0.80660377 0.81132075 0.80188679 0.86792453 0.68396226 0.77830189
 0.81603774 0.88679245 0.78773585 0.81603774]";88.58$\pm$3.2;"[0.9009434  0.88207547 0.89622642 0.87264151 0.89150943 0.80660377
 0.89150943 0.92924528 0.86792453 0.91981132]";85.47$\pm$2.96;"[0.83018868 0.8254717  0.87735849 0.89622642 0.8254717  0.86792453
 0.87264151 0.88207547 0.80188679 0.86792453]";73.49$\pm$3.69;"[0.70283019 0.71698113 0.71226415 0.75943396 0.68867925 0.71698113
 0.76886792 0.82075472 0.72169811 0.74056604]";62.17$\pm$6.45;"[0.63679245 0.54245283 0.6509434  0.72169811 0.60377358 0.50943396
 0.66981132 0.67924528 0.55188679 0.6509434 ]";82.64$\pm$5.26;"[0.83962264 0.83962264 0.83962264 0.81603774 0.70283019 0.8254717
 0.9245283  0.81132075 0.80188679 0.86320755]";90.28$\pm$3.38;"[0.89622642 0.89150943 0.93867925 0.91981132 0.87264151 0.8254717
 0.91981132 0.94339623 0.89150943 0.92924528]";85.14$\pm$2.94;"[0.83962264 0.84433962 0.82075472 0.8490566  0.83490566 0.82075472
 0.90566038 0.89622642 0.8254717  0.87735849]";81.42$\pm$4.82;"[0.77830189 0.87264151 0.80660377 0.88679245 0.75943396 0.76886792
 0.85377358 0.84433962 0.74056604 0.83018868]";83.82$\pm$4.09;"[0.8254717  0.8490566  0.74528302 0.86320755 0.83018868 0.80188679
 0.89622642 0.88679245 0.83962264 0.84433962]";88.68$\pm$3.44;"[0.85849057 0.90566038 0.91037736 0.87735849 0.83018868 0.84433962
 0.91037736 0.9245283  0.86792453 0.93867925]"
Hits@50;95.33$\pm$2.08;"[0.97641509 0.96226415 0.93867925 0.94811321 0.95283019 0.91509434
 0.96226415 0.97169811 0.9245283  0.98113208]";92.22$\pm$2.27;"[0.9245283  0.91981132 0.93396226 0.94339623 0.89622642 0.88207547
 0.94811321 0.95283019 0.89622642 0.9245283 ]";55.94$\pm$7.5;"[0.61792453 0.74056604 0.58962264 0.49528302 0.51415094 0.53301887
 0.46698113 0.51415094 0.53301887 0.58962264]";86.89$\pm$2.08;"[0.87264151 0.85849057 0.83962264 0.89150943 0.86320755 0.8490566
 0.87264151 0.91509434 0.85377358 0.87264151]";55.94$\pm$7.5;"[0.61792453 0.74056604 0.58962264 0.49528302 0.51415094 0.53301887
 0.46698113 0.51415094 0.53301887 0.58962264]";90.52$\pm$2.76;"[0.87735849 0.91509434 0.84433962 0.91037736 0.91981132 0.91981132
 0.94339623 0.91037736 0.88207547 0.92924528]";55.94$\pm$7.5;"[0.61792453 0.74056604 0.58962264 0.49528302 0.51415094 0.53301887
 0.46698113 0.51415094 0.53301887 0.58962264]";87.17$\pm$2.95;"[0.84433962 0.88679245 0.88207547 0.91509434 0.83018868 0.85377358
 0.86320755 0.91509434 0.83490566 0.89150943]";94.39$\pm$1.2;"[0.94811321 0.95754717 0.94811321 0.93867925 0.93867925 0.94339623
 0.96226415 0.94339623 0.91509434 0.94339623]";93.25$\pm$1.92;"[0.94339623 0.97169811 0.93396226 0.90566038 0.91509434 0.9245283
 0.92924528 0.95283019 0.91037736 0.93867925]";94.58$\pm$1.22;"[0.96226415 0.95283019 0.93867925 0.94811321 0.94339623 0.93396226
 0.93867925 0.96698113 0.9245283  0.94811321]";89.39$\pm$3.68;"[0.9245283  0.93867925 0.91037736 0.91037736 0.83962264 0.83018868
 0.93396226 0.90566038 0.85849057 0.88679245]";93.25$\pm$2.11;"[0.97169811 0.95283019 0.91981132 0.90566038 0.9245283  0.9245283
 0.94811321 0.94811321 0.92924528 0.9009434 ]";91.18$\pm$1.96;"[0.91037736 0.91509434 0.9009434  0.9009434  0.87735849 0.90566038
 0.9245283  0.95754717 0.90566038 0.91981132]";93.63$\pm$1.57;"[0.95283019 0.94339623 0.93867925 0.91509434 0.9245283  0.91509434
 0.93396226 0.96226415 0.9245283  0.95283019]";93.58$\pm$1.72;"[0.94339623 0.9245283  0.93396226 0.95283019 0.9009434  0.94339623
 0.95283019 0.95754717 0.91509434 0.93396226]";84.25$\pm$3.38;"[0.82075472 0.8254717  0.83962264 0.87735849 0.76415094 0.8490566
 0.88207547 0.88207547 0.83490566 0.8490566 ]";83.07$\pm$4.91;"[0.83490566 0.8490566  0.87264151 0.85377358 0.75943396 0.72169811
 0.88679245 0.86320755 0.82075472 0.84433962]";94.34$\pm$2.74;"[0.93867925 0.96226415 0.96226415 0.95283019 0.91509434 0.93396226
 0.97169811 0.96698113 0.87735849 0.95283019]";95.0$\pm$1.08;"[0.96698113 0.95283019 0.94339623 0.94339623 0.93867925 0.94339623
 0.95283019 0.96698113 0.93396226 0.95754717]";90.38$\pm$2.65;"[0.88207547 0.91981132 0.89622642 0.86792453 0.89622642 0.86792453
 0.92924528 0.95754717 0.91037736 0.91037736]";91.89$\pm$2.85;"[0.90566038 0.93867925 0.9245283  0.96226415 0.89622642 0.87735849
 0.95754717 0.93867925 0.88207547 0.90566038]";92.78$\pm$2.05;"[0.94339623 0.91509434 0.89150943 0.93867925 0.91509434 0.91037736
 0.94339623 0.96698113 0.93396226 0.91981132]";94.76$\pm$1.56;"[0.98113208 0.95754717 0.93396226 0.93396226 0.93867925 0.92924528
 0.95283019 0.95754717 0.93396226 0.95754717]"
Hits@100;97.12$\pm$1.02;"[0.98584906 0.97641509 0.95754717 0.96698113 0.97169811 0.95754717
 0.97641509 0.98113208 0.95754717 0.98113208]";96.18$\pm$1.61;"[0.99056604 0.96226415 0.94339623 0.96698113 0.94339623 0.95283019
 0.96698113 0.97641509 0.93867925 0.97641509]";89.48$\pm$2.07;"[0.89150943 0.91981132 0.90566038 0.89622642 0.88207547 0.88679245
 0.86320755 0.93396226 0.86792453 0.9009434 ]";94.34$\pm$1.93;"[0.94339623 0.95754717 0.91981132 0.95754717 0.95283019 0.96226415
 0.94811321 0.95283019 0.89622642 0.94339623]";89.48$\pm$2.07;"[0.89150943 0.91981132 0.90566038 0.89622642 0.88207547 0.88679245
 0.86320755 0.93396226 0.86792453 0.9009434 ]";95.57$\pm$1.68;"[0.94811321 0.96226415 0.93396226 0.95283019 0.97169811 0.94811321
 0.96226415 0.97169811 0.9245283  0.98113208]";89.48$\pm$2.07;"[0.89150943 0.91981132 0.90566038 0.89622642 0.88207547 0.88679245
 0.86320755 0.93396226 0.86792453 0.9009434 ]";95.14$\pm$1.97;"[0.95283019 0.97169811 0.93396226 0.96226415 0.9245283  0.96226415
 0.95283019 0.94811321 0.91981132 0.98584906]";98.07$\pm$0.8;"[0.99056604 0.98113208 0.97641509 0.96698113 0.97169811 0.98584906
 0.99528302 0.98113208 0.98113208 0.97641509]";95.8$\pm$1.64;"[0.98113208 0.98584906 0.94339623 0.94811321 0.95283019 0.95754717
 0.95283019 0.97169811 0.92924528 0.95754717]";96.93$\pm$1.54;"[0.97641509 0.97169811 0.94339623 0.95283019 0.96698113 0.96226415
 0.97641509 0.99528302 0.95754717 0.99056604]";94.76$\pm$1.9;"[0.98584906 0.96698113 0.93867925 0.95283019 0.93396226 0.94339623
 0.94339623 0.96226415 0.91509434 0.93396226]";96.08$\pm$1.73;"[0.98584906 0.97641509 0.94811321 0.92924528 0.97169811 0.95754717
 0.97641509 0.97169811 0.94811321 0.94339623]";96.65$\pm$1.27;"[0.98113208 0.95754717 0.95283019 0.96698113 0.95754717 0.95283019
 0.97169811 0.99528302 0.96226415 0.96698113]";95.66$\pm$1.33;"[0.97641509 0.95754717 0.93867925 0.94811321 0.95283019 0.94339623
 0.95754717 0.97641509 0.94339623 0.97169811]";96.18$\pm$1.34;"[0.98584906 0.96226415 0.94339623 0.95754717 0.95754717 0.96226415
 0.96226415 0.97641509 0.93867925 0.97169811]";91.6$\pm$2.31;"[0.89622642 0.89150943 0.93867925 0.93396226 0.88207547 0.94339623
 0.94811321 0.9245283  0.89622642 0.90566038]";95.85$\pm$1.98;"[0.98113208 0.95283019 0.98113208 0.97641509 0.91037736 0.95283019
 0.95754717 0.96698113 0.94811321 0.95754717]";97.97$\pm$1.88;"[0.98584906 0.98113208 0.99528302 0.98584906 0.96698113 0.98113208
 0.99528302 0.99528302 0.92924528 0.98113208]";96.89$\pm$1.2;"[0.99056604 0.98113208 0.95283019 0.96226415 0.95754717 0.97169811
 0.96698113 0.97641509 0.95283019 0.97641509]";94.48$\pm$1.63;"[0.95283019 0.95754717 0.93867925 0.91509434 0.94339623 0.9245283
 0.94811321 0.97641509 0.93867925 0.95283019]";96.84$\pm$1.33;"[0.98584906 0.97641509 0.94339623 0.98113208 0.96226415 0.95283019
 0.97641509 0.98113208 0.95754717 0.96698113]";96.56$\pm$1.32;"[0.98113208 0.97641509 0.95754717 0.96698113 0.95754717 0.95754717
 0.98584906 0.97641509 0.94339623 0.95283019]";96.46$\pm$1.68;"[0.99056604 0.97169811 0.93396226 0.94811321 0.96698113 0.95283019
 0.96698113 0.97641509 0.95283019 0.98584906]"
ROCAUC;95.72$\pm$0.99;"[0.96586336 0.96377714 0.95449893 0.95280794 0.95687967 0.94001424
 0.96342115 0.96873888 0.94021449 0.96591314]";93.32$\pm$1.69;"[0.95023697 0.94166073 0.9243058  0.94226148 0.91229085 0.91449359
 0.94288448 0.96055091 0.90706212 0.93603151]";76.73$\pm$2.81;"[0.78684163 0.84129138 0.75916696 0.75671947 0.7504005  0.75976771
 0.73589356 0.76635368 0.74481577 0.77180491]";89.97$\pm$1.82;"[0.90371546 0.91473834 0.87157351 0.91413759 0.89246618 0.89135368
 0.90294589 0.93422926 0.87239676 0.89936365]";76.73$\pm$2.81;"[0.78684163 0.84129138 0.75916696 0.75671947 0.7504005  0.75976771
 0.73589356 0.76635368 0.74481577 0.77180491]";91.83$\pm$1.87;"[0.90657695 0.93580901 0.89322268 0.90630562 0.92839979 0.91576184
 0.93127002 0.93981399 0.88565771 0.94034799]";76.73$\pm$2.81;"[0.78684163 0.84129138 0.75916696 0.75671947 0.7504005  0.75976771
 0.73589356 0.76635368 0.74481577 0.77180491]";91.44$\pm$1.81;"[0.90402844 0.93189302 0.90690637 0.93458526 0.89128693 0.91097811
 0.91451584 0.93373977 0.88147472 0.93434051]";94.31$\pm$0.71;"[0.94489404 0.95796992 0.93685475 0.94508722 0.93046903 0.93832325
 0.95044945 0.94146048 0.94161623 0.94346298]";94.69$\pm$1.43;"[0.95935795 0.96595764 0.94352973 0.93233802 0.9375445  0.936877
 0.9506497  0.9635324  0.92054557 0.95879316]";94.51$\pm$1.24;"[0.94900742 0.95367569 0.92542942 0.94217248 0.94424172 0.93336152
 0.94357423 0.96827163 0.93204877 0.95943841]";90.67$\pm$2.03;"[0.9220245  0.91936632 0.91300285 0.91818708 0.88977394 0.86465379
 0.92081257 0.93420701 0.88423371 0.9005429 ]";94.24$\pm$1.42;"[0.95987213 0.95245194 0.94179423 0.92748754 0.94526522 0.92005607
 0.96195265 0.95514418 0.92679779 0.93336152]";92.94$\pm$1.58;"[0.93932755 0.93040228 0.91709683 0.93556426 0.90218939 0.91618459
 0.93458526 0.96382164 0.92103507 0.93342827]";94.05$\pm$1.43;"[0.95258428 0.94319598 0.93327252 0.92835529 0.9368325  0.91967782
 0.94099324 0.96675863 0.9247063  0.95828142]";93.64$\pm$1.24;"[0.94625771 0.937144   0.92873354 0.94210573 0.92012282 0.93694375
 0.94766821 0.95274119 0.91080011 0.94166073]";88.61$\pm$1.72;"[0.87545828 0.87268601 0.8883277  0.89840691 0.85461908 0.88772695
 0.91202385 0.91251335 0.8744215  0.88436721]";87.86$\pm$1.99;"[0.88457927 0.8759345  0.89678266 0.90614988 0.85401833 0.8384879
 0.88445621 0.8997864  0.86696778 0.87913848]";94.28$\pm$1.7;"[0.93892515 0.9495817  0.95765842 0.94849146 0.91418209 0.937767
 0.96860538 0.94695621 0.9120461  0.95363119]";94.87$\pm$0.74;"[0.96045337 0.95561143 0.94308473 0.9493147  0.94217248 0.94090424
 0.95242969 0.95572268 0.93627625 0.95151744]";93.2$\pm$1.6;"[0.93085487 0.94633321 0.91947757 0.91718583 0.92099057 0.90875311
 0.95142844 0.96079566 0.9245283  0.93959149]";93.0$\pm$1.86;"[0.93572834 0.94535422 0.9129361  0.95970541 0.92005607 0.9001424
 0.94577697 0.94457547 0.90599413 0.93009078]";93.42$\pm$1.39;"[0.94359742 0.94468672 0.91035511 0.95053845 0.92383855 0.91938857
 0.95645692 0.937233   0.92777679 0.92851104]";95.0$\pm$1.28;"[0.96391845 0.95627892 0.93576451 0.93954699 0.94072624 0.93167052
 0.96050641 0.96402189 0.94079299 0.96686988]"
AP;96.85$\pm$0.69;"[0.97227682 0.97161909 0.97111597 0.96777601 0.96596349 0.95208348
 0.97411627 0.97670683 0.96065787 0.97223742]";94.66$\pm$1.31;"[0.95457708 0.95489697 0.94751541 0.95557018 0.93016569 0.9279746
 0.95334492 0.96871751 0.92813441 0.94512074]";73.08$\pm$3.7;"[0.75007787 0.83338409 0.72393693 0.72301584 0.7186517  0.71872496
 0.69117912 0.71466743 0.70678118 0.7279448 ]";90.99$\pm$1.95;"[0.91195017 0.91786277 0.88958169 0.92470802 0.90988433 0.88044688
 0.91889133 0.95175289 0.90288177 0.89114441]";73.08$\pm$3.7;"[0.75007787 0.83338409 0.72393693 0.72301584 0.7186517  0.71872496
 0.69117912 0.71466743 0.70678118 0.7279448 ]";92.82$\pm$2.11;"[0.9206699  0.94687991 0.92211864 0.8785885  0.93860583 0.92874599
 0.93957963 0.95263411 0.90826118 0.94625921]";73.08$\pm$3.7;"[0.75007787 0.83338409 0.72393693 0.72301584 0.7186517  0.71872496
 0.69117912 0.71466743 0.70678118 0.7279448 ]";92.79$\pm$1.6;"[0.91659273 0.94473829 0.91777094 0.94879066 0.91132878 0.91692118
 0.92599994 0.94685915 0.90464949 0.94528184]";94.67$\pm$0.72;"[0.94879033 0.96021523 0.94213081 0.95333263 0.93666454 0.94136156
 0.94738168 0.93750428 0.94631217 0.95344002]";96.16$\pm$0.89;"[0.968333   0.9706186  0.96412155 0.95539098 0.95369789 0.9483214
 0.96641999 0.97143109 0.94779616 0.96998576]";95.46$\pm$0.88;"[0.95589989 0.96215507 0.94202038 0.95754617 0.95573697 0.93915141
 0.9549051  0.9683555  0.94761966 0.963098  ]";90.95$\pm$2.39;"[0.9128019  0.9164325  0.93084243 0.91683332 0.89747661 0.8550703
 0.92421808 0.94572927 0.88709026 0.90891598]";95.22$\pm$1.41;"[0.96467462 0.95776072 0.95748803 0.94892275 0.95448896 0.92501493
 0.96952111 0.96557186 0.92877697 0.94995314]";93.97$\pm$1.27;"[0.94713709 0.94276439 0.93377425 0.93779014 0.91314866 0.93369447
 0.94526447 0.96577988 0.93321311 0.94396871]";95.74$\pm$0.97;"[0.96100977 0.95975416 0.96013685 0.95161131 0.95268608 0.93787255
 0.96032425 0.97429464 0.94895196 0.96776296]";94.86$\pm$0.99;"[0.9454697  0.9458605  0.95024496 0.96056002 0.93226815 0.95107939
 0.95955213 0.9616315  0.93300869 0.94617345]";90.18$\pm$1.61;"[0.89610707 0.89750828 0.89940215 0.9126681  0.87898761 0.88774307
 0.92690964 0.9319168  0.89484222 0.89157057]";86.66$\pm$2.63;"[0.86981438 0.85015525 0.88495529 0.90643704 0.84834277 0.80781552
 0.87151811 0.89357888 0.85824209 0.87560222]";94.41$\pm$1.51;"[0.93691258 0.94937319 0.95881692 0.94775092 0.91502694 0.93800853
 0.96873417 0.94030865 0.92766967 0.95813243]";95.54$\pm$0.75;"[0.96141766 0.9614459  0.9548031  0.96520333 0.95501332 0.94248921
 0.96442867 0.94369266 0.95294127 0.95263578]";94.92$\pm$1.16;"[0.94749366 0.95933138 0.94081604 0.94539316 0.94050191 0.92687683
 0.96269315 0.96706867 0.94468672 0.95694407]";94.04$\pm$1.62;"[0.94099341 0.95311504 0.93437301 0.96357279 0.93228019 0.91087346
 0.95469848 0.95447419 0.917211   0.94210401]";93.98$\pm$1.67;"[0.94470995 0.95400758 0.91024433 0.96122862 0.93530477 0.92597484
 0.96097976 0.91702506 0.94402187 0.94464459]";96.26$\pm$0.85;"[0.96924661 0.96588674 0.95994346 0.95744646 0.95395901 0.94594632
 0.97038146 0.9729401  0.95826315 0.97233876]"
pretrain_time;nan$\pm$nan;[];2.02$\pm$0.0;"[2.02724957 2.02089238 2.02357364 2.02355146 2.02224422 2.02355933
 2.01797056 2.01498556 2.01886463 2.01858401]";nan$\pm$nan;[];37.08$\pm$2.4;"[38.26528978 38.2686739  38.22344923 38.25878048 38.26109099 38.2844944
 38.25569797 38.26793671 33.26057696 31.42137122]";nan$\pm$nan;[];59.07$\pm$2.06;"[65.22863102 58.35910487 58.38388228 58.59569812 58.37271023 58.4076438
 58.43379474 57.96382642 58.37773776 58.54121327]";nan$\pm$nan;[];23.64$\pm$0.03;"[23.65343666 23.63900852 23.68717241 23.63678241 23.68305421 23.62243056
 23.62092733 23.67228794 23.63000727 23.59364319]";5.0$\pm$0.02;"[5.0119791  5.00341082 5.00965786 5.00739217 5.008111   5.02657175
 5.00062633 4.96616173 4.9962182  4.99164534]";12.29$\pm$0.96;"[11.11951208 12.80449486 13.26402998 13.25772214 11.15102243 11.13109183
 11.14827633 12.82645321 13.21281099 13.0169673 ]";37.65$\pm$2.29;"[34.36314201 34.38131523 34.59028554 36.48347712 39.60700178 39.6265521
 39.61909509 38.63886023 39.63016629 39.60455823]";36.16$\pm$0.06;"[36.14942431 36.21516228 36.06967235 36.12367058 36.09174037 36.11034393
 36.17663574 36.21633244 36.20909071 36.2551682 ]";12.51$\pm$0.2;"[12.28385997 12.2864852  12.55262136 12.8199625  12.82155657 12.47540283
 12.51329637 12.29591107 12.31003332 12.69564199]";9.43$\pm$0.63;"[8.65235472 8.65239668 8.64675188 8.66680408 9.87888432 9.96191525
 9.94531035 9.95208836 9.95069385 9.95883632]";15.65$\pm$0.02;"[15.70211029 15.63639522 15.65925574 15.64543509 15.6464107  15.65214562
 15.63625503 15.63016415 15.66002631 15.63212562]";11.39$\pm$0.01;"[11.38337898 11.39681816 11.3788383  11.37816954 11.37553024 11.40077662
 11.38553286 11.38477206 11.38184547 11.38572741]";31.15$\pm$0.06;"[31.2212081  31.28259015 31.13218641 31.10242605 31.13275194 31.12513137
 31.11789966 31.08651543 31.13467002 31.12891173]";4.59$\pm$0.26;"[4.87130666 4.90724993 4.93920588 4.93361616 4.35111523 4.39194703
 4.38296795 4.3560288  4.39665103 4.3652513 ]";16.29$\pm$0.03;"[16.26129699 16.32864714 16.251436   16.28273392 16.28355241 16.27641368
 16.31001449 16.3375771  16.27169919 16.27285576]";23.11$\pm$0.03;"[23.16374731 23.10465884 23.12374735 23.07439828 23.09626031 23.0881021
 23.09625125 23.10342574 23.10957956 23.15060544]";45.0$\pm$2.42;"[46.46910357 42.30896521 47.30215907 47.40891433 47.25630307 47.25636005
 45.93498755 42.00017715 42.1071291  41.92201805]";34.69$\pm$2.06;"[35.26720619 37.55033207 37.53192449 37.72798347 34.49193883 32.95367885
 32.87462616 32.80959129 32.87610126 32.8056643 ]";33.37$\pm$0.04;"[33.36205912 33.4023962  33.35445786 33.31276274 33.43205619 33.38151598
 33.3401165  33.42469049 33.3419826  33.34935427]";1.88$\pm$0.01;"[1.89819455 1.88161373 1.88409996 1.8798368  1.88493323 1.87962556
 1.87718296 1.88205481 1.8961575  1.87776089]"
