metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;72.81$\pm$2.78;"[0.71916509 0.69829222 0.74193548 0.75901328 0.73055028 0.66982922
 0.72106262 0.73244782 0.73434535 0.77419355]";73.49$\pm$3.45;"[0.71157495 0.74003795 0.69449715 0.72865275 0.70967742 0.71157495
 0.80075901 0.73814042 0.71726755 0.79696395]";73.87$\pm$1.8;"[0.72106262 0.72296015 0.75711575 0.73244782 0.75901328 0.72675522
 0.77419355 0.71916509 0.73055028 0.74383302]";76.03$\pm$3.32;"[0.70777989 0.76091082 0.74383302 0.77988615 0.70208729 0.77039848
 0.78178368 0.77798861 0.76091082 0.81783681]";56.62$\pm$4.56;"[0.53320683 0.5426945  0.62049336 0.61669829 0.5540797  0.59392789
 0.59203036 0.4800759  0.51612903 0.61290323]";74.84$\pm$1.92;"[0.70967742 0.76470588 0.74193548 0.74193548 0.75711575 0.73814042
 0.76470588 0.73244782 0.75142315 0.78178368]";60.93$\pm$3.84;"[0.64136622 0.55787476 0.59772296 0.63187856 0.66413662 0.5483871
 0.61480076 0.64326376 0.56356736 0.62998102]";69.89$\pm$2.73;"[0.71347249 0.64705882 0.66223909 0.69829222 0.69259962 0.72296015
 0.70208729 0.71916509 0.68690702 0.74383302]";60.93$\pm$3.84;"[0.64136622 0.55787476 0.59772296 0.63187856 0.66413662 0.5483871
 0.61480076 0.64326376 0.56356736 0.62998102]";64.8$\pm$4.04;"[0.65464896 0.60341556 0.62618596 0.61480076 0.65654649 0.63946869
 0.74383302 0.67172676 0.59962049 0.66982922]";60.93$\pm$3.84;"[0.64136622 0.55787476 0.59772296 0.63187856 0.66413662 0.5483871
 0.61480076 0.64326376 0.56356736 0.62998102]";74.69$\pm$3.27;"[0.74003795 0.74762808 0.75521822 0.74383302 0.80265655 0.69259962
 0.76850095 0.68880455 0.76280835 0.76660342]";72.92$\pm$7.23;"[0.61480076 0.74003795 0.79127135 0.76280835 0.70588235 0.84440228
 0.77798861 0.73434535 0.72485769 0.59582543]";68.12$\pm$2.59;"[0.69449715 0.61859583 0.69449715 0.67741935 0.67172676 0.66223909
 0.69639469 0.71157495 0.70967742 0.67552182]";64.36$\pm$3.45;"[0.65464896 0.60531309 0.63377609 0.70967742 0.63567362 0.68500949
 0.64705882 0.61100569 0.59203036 0.66223909]";73.76$\pm$3.59;"[0.69070209 0.67931689 0.70018975 0.78178368 0.72865275 0.72865275
 0.75901328 0.75901328 0.76470588 0.78368121]";63.91$\pm$5.18;"[0.57495256 0.60341556 0.57874763 0.63567362 0.58444023 0.62998102
 0.73055028 0.67362429 0.68880455 0.69070209]";73.93$\pm$3.39;"[0.68311195 0.70208729 0.72106262 0.77798861 0.76660342 0.74003795
 0.75711575 0.70588235 0.74573055 0.79316888]";61.42$\pm$5.96;"[0.59962049 0.62808349 0.57685009 0.57305503 0.66603416 0.56166983
 0.70777989 0.70018975 0.61669829 0.51233397]";69.62$\pm$2.06;"[0.70777989 0.70398482 0.68121442 0.69639469 0.64895636 0.69449715
 0.71537002 0.68880455 0.69449715 0.73055028]";87.1$\pm$1.96;"[0.85578748 0.83491461 0.86907021 0.88425047 0.90891841 0.86527514
 0.88804554 0.88235294 0.85768501 0.86337761]";75.2$\pm$5.98;"[0.67362429 0.72865275 0.68311195 0.78557875 0.74573055 0.82163188
 0.88235294 0.73814042 0.72106262 0.74003795]"
Hits@50;81.97$\pm$2.31;"[0.80645161 0.80645161 0.83111954 0.86337761 0.81973435 0.77039848
 0.82732448 0.83491461 0.80834915 0.82922201]";86.81$\pm$1.54;"[0.88235294 0.86148008 0.85768501 0.87286528 0.86337761 0.84060721
 0.88994307 0.85578748 0.86527514 0.89184061]";85.67$\pm$2.09;"[0.86527514 0.82922201 0.85578748 0.89184061 0.86527514 0.82352941
 0.87096774 0.83681214 0.85009488 0.87855787]";87.55$\pm$1.19;"[0.86527514 0.86148008 0.86148008 0.89373814 0.86907021 0.86527514
 0.88045541 0.88994307 0.87855787 0.88994307]";76.87$\pm$3.55;"[0.76850095 0.77229602 0.76280835 0.79886148 0.73814042 0.74383302
 0.82163188 0.74003795 0.71347249 0.82732448]";83.11$\pm$1.49;"[0.81783681 0.81783681 0.83301708 0.84819734 0.84819734 0.80265655
 0.84060721 0.82163188 0.84819734 0.83301708]";66.03$\pm$2.16;"[0.68880455 0.66413662 0.65464896 0.65085389 0.68500949 0.60721063
 0.65275142 0.67362429 0.66034156 0.66603416]";83.83$\pm$1.77;"[0.85578748 0.80645161 0.83111954 0.81783681 0.85958254 0.83491461
 0.86337761 0.82732448 0.83681214 0.85009488]";66.03$\pm$2.16;"[0.68880455 0.66413662 0.65464896 0.65085389 0.68500949 0.60721063
 0.65275142 0.67362429 0.66034156 0.66603416]";81.35$\pm$2.35;"[0.79886148 0.79127135 0.82922201 0.80075901 0.81214421 0.78557875
 0.85768501 0.80645161 0.80075901 0.85199241]";66.03$\pm$2.16;"[0.68880455 0.66413662 0.65464896 0.65085389 0.68500949 0.60721063
 0.65275142 0.67362429 0.66034156 0.66603416]";90.74$\pm$0.71;"[0.91461101 0.90132827 0.90322581 0.91650854 0.91461101 0.90891841
 0.90512334 0.91461101 0.89563567 0.89943074]";88.75$\pm$1.66;"[0.85958254 0.88425047 0.87666034 0.89943074 0.88425047 0.91840607
 0.88614801 0.89563567 0.90322581 0.86717268]";83.49$\pm$2.36;"[0.82163188 0.81593928 0.82922201 0.87476281 0.85199241 0.80075901
 0.87096774 0.84440228 0.82732448 0.81214421]";81.94$\pm$3.06;"[0.82352941 0.79316888 0.82163188 0.87855787 0.81973435 0.81593928
 0.84629981 0.76280835 0.79127135 0.84060721]";85.28$\pm$1.75;"[0.85009488 0.81783681 0.86717268 0.87476281 0.85199241 0.84060721
 0.85768501 0.87286528 0.86337761 0.83111954]";80.15$\pm$2.15;"[0.78557875 0.76280835 0.80075901 0.79316888 0.80265655 0.79127135
 0.82732448 0.80455408 0.80075901 0.84629981]";86.2$\pm$2.32;"[0.85009488 0.88614801 0.85388994 0.89943074 0.86527514 0.84629981
 0.85578748 0.81404175 0.86337761 0.88614801]";78.22$\pm$3.35;"[0.82163188 0.78747628 0.77229602 0.79696395 0.80075901 0.71157495
 0.80075901 0.80834915 0.72865275 0.79316888]";83.8$\pm$1.8;"[0.83301708 0.84060721 0.81973435 0.84250474 0.81783681 0.81973435
 0.85768501 0.85388994 0.82163188 0.87286528]";92.05$\pm$0.86;"[0.92789374 0.90702087 0.91650854 0.92409867 0.93548387 0.92220114
 0.92409867 0.92220114 0.92030361 0.90512334]";90.63$\pm$2.01;"[0.86907021 0.89563567 0.89563567 0.92409867 0.88614801 0.9259962
 0.93927894 0.91461101 0.89753321 0.91461101]"
Hits@100;88.18$\pm$1.28;"[0.86717268 0.87666034 0.88614801 0.90322581 0.88425047 0.85578748
 0.89373814 0.88425047 0.88994307 0.87666034]";92.77$\pm$1.37;"[0.92030361 0.91650854 0.95066414 0.93927894 0.92220114 0.90132827
 0.92220114 0.92789374 0.93358634 0.943074  ]";92.31$\pm$0.99;"[0.92030361 0.91840607 0.9259962  0.92979127 0.92409867 0.90702087
 0.91840607 0.91650854 0.92409867 0.94686907]";93.43$\pm$1.14;"[0.93358634 0.91081594 0.9259962  0.94686907 0.92979127 0.9259962
 0.9373814  0.94686907 0.95066414 0.93548387]";88.43$\pm$1.92;"[0.87096774 0.88614801 0.90132827 0.90891841 0.86148008 0.85768501
 0.89943074 0.88994307 0.85958254 0.90702087]";88.43$\pm$2.03;"[0.86907021 0.86148008 0.89184061 0.9259962  0.88994307 0.85009488
 0.89563567 0.87476281 0.89563567 0.88804554]";69.89$\pm$1.73;"[0.71157495 0.70208729 0.68500949 0.68880455 0.71347249 0.66603416
 0.68121442 0.72296015 0.70018975 0.71726755]";91.69$\pm$1.44;"[0.90322581 0.89563567 0.93358634 0.92789374 0.92220114 0.89184061
 0.92220114 0.92789374 0.91271347 0.9316888 ]";69.89$\pm$1.73;"[0.71157495 0.70208729 0.68500949 0.68880455 0.71347249 0.66603416
 0.68121442 0.72296015 0.70018975 0.71726755]";90.36$\pm$1.62;"[0.90322581 0.88425047 0.91271347 0.90891841 0.91650854 0.86527514
 0.91650854 0.91650854 0.89753321 0.91461101]";69.89$\pm$1.73;"[0.71157495 0.70208729 0.68500949 0.68880455 0.71347249 0.66603416
 0.68121442 0.72296015 0.70018975 0.71726755]";94.02$\pm$0.66;"[0.94497154 0.92979127 0.943074   0.93927894 0.943074   0.95256167
 0.93548387 0.943074   0.92979127 0.94117647]";94.65$\pm$1.36;"[0.93927894 0.95066414 0.95066414 0.96394687 0.9487666  0.96204934
 0.92409867 0.93548387 0.96204934 0.92789374]";91.57$\pm$1.44;"[0.9316888  0.90512334 0.91271347 0.9316888  0.92409867 0.90512334
 0.92220114 0.9259962  0.91650854 0.88235294]";90.17$\pm$1.86;"[0.92030361 0.87476281 0.90322581 0.93358634 0.91461101 0.88045541
 0.91650854 0.88045541 0.89373814 0.89943074]";92.35$\pm$1.29;"[0.92220114 0.91081594 0.92979127 0.94117647 0.9316888  0.89943074
 0.90891841 0.93548387 0.93548387 0.92030361]";90.08$\pm$1.25;"[0.88614801 0.88994307 0.92030361 0.90132827 0.89184061 0.88425047
 0.90702087 0.91461101 0.89563567 0.91650854]";92.26$\pm$1.45;"[0.92789374 0.92979127 0.90702087 0.94686907 0.92409867 0.90322581
 0.9373814  0.89943074 0.92979127 0.92030361]";87.06$\pm$2.22;"[0.88235294 0.87286528 0.86907021 0.89943074 0.87666034 0.81593928
 0.88235294 0.88045541 0.84629981 0.88045541]";92.52$\pm$1.23;"[0.93927894 0.91650854 0.94117647 0.93358634 0.9259962  0.89753321
 0.92409867 0.93358634 0.91650854 0.92409867]";94.35$\pm$0.7;"[0.943074   0.93927894 0.94686907 0.94497154 0.95256167 0.94117647
 0.95066414 0.94686907 0.943074   0.9259962 ]";94.8$\pm$0.79;"[0.93548387 0.93927894 0.94497154 0.9487666  0.943074   0.95635674
 0.95825427 0.95066414 0.943074   0.9601518 ]"
ROCAUC;92.75$\pm$0.76;"[0.91999336 0.92096972 0.93933295 0.93296703 0.92789014 0.91139744
 0.93216769 0.93259789 0.93045739 0.92733564]";94.97$\pm$0.6;"[0.94786834 0.94927789 0.95452041 0.95372827 0.94185339 0.93625081
 0.95564021 0.95172834 0.95140947 0.9549921 ]";94.55$\pm$0.59;"[0.94445928 0.94081641 0.95172992 0.94832013 0.94682946 0.93023055
 0.94650181 0.94590227 0.94979638 0.95087657]";95.24$\pm$0.53;"[0.94998954 0.94452866 0.94861898 0.96020941 0.94465468 0.95138786
 0.95348343 0.95946999 0.95632073 0.95547098]";92.11$\pm$0.98;"[0.92030361 0.92071768 0.93033137 0.93308585 0.90991578 0.90103302
 0.93145116 0.91883897 0.91581362 0.92903514]";92.37$\pm$1.15;"[0.92479131 0.90419078 0.92735724 0.93876765 0.92721682 0.90062255
 0.93033497 0.92269176 0.93287341 0.92803056]";80.84$\pm$0.97;"[0.81839958 0.80643721 0.81279593 0.80119109 0.81715629 0.78492343
 0.80830234 0.81746163 0.80328306 0.81399494]";94.35$\pm$0.4;"[0.94796574 0.93556669 0.9436213  0.94523078 0.94330804 0.93803312
 0.94606253 0.94592752 0.94074439 0.94860818]";80.84$\pm$0.97;"[0.81839958 0.80643721 0.81279593 0.80119109 0.81715629 0.78492343
 0.80830234 0.81746163 0.80328306 0.81399494]";93.28$\pm$0.78;"[0.93501129 0.92206071 0.93796111 0.93370516 0.93074544 0.91566959
 0.94056796 0.93673927 0.93344231 0.94238268]";80.84$\pm$0.97;"[0.81839958 0.80643721 0.81279593 0.80119109 0.81715629 0.78492343
 0.80830234 0.81746163 0.80328306 0.81399494]";94.84$\pm$0.48;"[0.94935823 0.93829596 0.95296134 0.94744877 0.95145268 0.95515773
 0.94651621 0.95261939 0.94681506 0.94359249]";95.38$\pm$0.72;"[0.94713602 0.95306576 0.9549957  0.96490824 0.94954614 0.96795077
 0.95004123 0.94874496 0.95703726 0.94499134]";94.22$\pm$0.61;"[0.9458698  0.94093163 0.94378333 0.94958035 0.94332605 0.93010453
 0.94506155 0.9466418  0.94554404 0.93141876]";92.99$\pm$0.7;"[0.93638574 0.92222274 0.9328194  0.94241869 0.93125673 0.91929183
 0.93655686 0.92471916 0.92397985 0.92983088]";94.46$\pm$0.75;"[0.93855383 0.93589074 0.95153549 0.95307656 0.93969301 0.93213168
 0.94337286 0.95058477 0.9549993  0.9464622 ]";93.15$\pm$0.67;"[0.92250777 0.92192389 0.9350914  0.93035657 0.92391144 0.92785413
 0.94040233 0.93705673 0.93658566 0.93932034]";94.69$\pm$0.5;"[0.94282509 0.94995481 0.94480591 0.95486247 0.9481509  0.93977222
 0.95311977 0.93907331 0.94798167 0.94802487]";91.52$\pm$1.21;"[0.92825449 0.91555077 0.91616648 0.92217233 0.91948986 0.88504261
 0.92755528 0.92196665 0.9088572  0.90706408]";94.26$\pm$0.41;"[0.94568221 0.94276075 0.94232867 0.94493913 0.93720857 0.93299943
 0.944183   0.94630991 0.943038   0.94650541]";95.89$\pm$0.54;"[0.95396498 0.95349063 0.96345718 0.96188731 0.96491184 0.95547818
 0.966993   0.95893248 0.9606883  0.94907626]";95.29$\pm$0.62;"[0.94931133 0.94311001 0.9481797  0.95154989 0.94749918 0.95782939
 0.9663737  0.95427522 0.95434038 0.95653677]"
AP;93.89$\pm$0.8;"[0.93178817 0.93297253 0.94938722 0.94621097 0.9386806  0.92192237
 0.94558696 0.94330246 0.94436005 0.93482868]";95.19$\pm$0.65;"[0.94844284 0.95585526 0.95675838 0.95679744 0.94907953 0.93673104
 0.96149605 0.95237632 0.95346425 0.94835793]";94.86$\pm$0.55;"[0.94639553 0.94446571 0.95399639 0.95312669 0.95057019 0.93580133
 0.95370004 0.94653387 0.95404371 0.94758507]";95.61$\pm$0.5;"[0.95185193 0.95339956 0.95622626 0.96308768 0.94862163 0.95332826
 0.95996468 0.9635408  0.95960293 0.95102111]";91.7$\pm$0.91;"[0.9157897  0.91946822 0.92436168 0.93249357 0.9066091  0.90358625
 0.9288582  0.90868978 0.91148673 0.91832232]";93.99$\pm$0.72;"[0.9328176  0.93221577 0.9448331  0.94779869 0.94179276 0.92647652
 0.94687601 0.9383954  0.94884368 0.93889063]";86.07$\pm$0.78;"[0.86826335 0.85840619 0.860153   0.85598231 0.86541867 0.84113086
 0.86246064 0.86855447 0.85867698 0.86823645]";94.36$\pm$0.34;"[0.94488828 0.93877993 0.94462922 0.94573567 0.94476511 0.93858615
 0.95013423 0.94599045 0.94128639 0.94154836]";86.07$\pm$0.78;"[0.86826335 0.85840619 0.860153   0.85598231 0.86541867 0.84113086
 0.86246064 0.86855447 0.85867698 0.86823645]";93.46$\pm$0.69;"[0.93576223 0.92954078 0.94067159 0.93701667 0.93330358 0.92020119
 0.94722606 0.93403453 0.9298889  0.93803869]";86.07$\pm$0.78;"[0.86826335 0.85840619 0.860153   0.85598231 0.86541867 0.84113086
 0.86246064 0.86855447 0.85867698 0.86823645]";94.97$\pm$0.68;"[0.95185679 0.94284373 0.95349174 0.95259412 0.9571298  0.95416949
 0.94642853 0.95497298 0.95023214 0.9329526 ]";95.21$\pm$0.88;"[0.94611945 0.95434131 0.95495498 0.96450166 0.94232616 0.96361988
 0.95423099 0.94823861 0.95747336 0.93488838]";94.23$\pm$0.65;"[0.94280858 0.93863891 0.94370673 0.95097986 0.94156484 0.93175327
 0.94683841 0.9472525  0.94905685 0.93066409]";93.27$\pm$0.63;"[0.94070099 0.92710326 0.93624237 0.93996483 0.93393377 0.92209933
 0.94108699 0.92659306 0.92930199 0.93034189]";94.84$\pm$0.72;"[0.94428639 0.94558495 0.95651878 0.95827357 0.94421981 0.9346601
 0.949572   0.95006666 0.9579209  0.94266442]";93.21$\pm$0.82;"[0.91940179 0.92509471 0.93534777 0.93479471 0.92005914 0.92895146
 0.94659791 0.93676385 0.93930899 0.93418449]";94.86$\pm$0.58;"[0.93819495 0.95231007 0.94808962 0.95560226 0.95406829 0.94430191
 0.9542554  0.94064619 0.95261725 0.94572614]";91.85$\pm$1.5;"[0.92647426 0.92541897 0.91618447 0.92362084 0.92720534 0.88585638
 0.93378254 0.93194468 0.91930997 0.89526759]";94.24$\pm$0.5;"[0.94216612 0.94745397 0.94492232 0.9466164  0.93760131 0.93043576
 0.94732431 0.94213097 0.9452427  0.93983458]";96.69$\pm$0.55;"[0.964479   0.96160279 0.97120354 0.96883703 0.96976682 0.96554282
 0.97540234 0.9686382  0.96948224 0.95432814]";95.32$\pm$0.57;"[0.95073549 0.94777998 0.94933446 0.95666669 0.94800948 0.95859438
 0.96548232 0.95183478 0.9569976  0.9465795 ]"
pretrain_time;nan$\pm$nan;[];11.59$\pm$0.19;"[11.71674347 11.53863192 12.11465001 11.51019216 11.51789498 11.50406575
 11.49181056 11.4912641  11.5015626  11.52108526]";13.03$\pm$0.01;"[13.02106547 13.01543498 13.00989175 13.02211928 13.02814841 13.0267694
 13.02848029 13.02742934 13.04607058 13.05090332]";11.49$\pm$0.17;"[11.48997116 11.46121836 12.00696826 11.42700291 11.44419789 11.43292975
 11.42308426 11.39603877 11.41978478 11.39159584]";23.91$\pm$0.15;"[23.89420557 24.35058618 23.86434197 23.86864543 23.87949061 23.85785842
 23.86479902 23.83099866 23.81672621 23.85076904]";6.37$\pm$0.01;"[6.3606329  6.36506009 6.34872222 6.3564117  6.36116886 6.37614107
 6.37390709 6.3719635  6.36623049 6.37123823]";nan$\pm$nan;[];16.14$\pm$0.68;"[16.36647034 15.46517134 15.66897297 15.43170261 16.52805424 16.41477227
 17.79388666 15.87985682 16.2988236  15.59602714]";nan$\pm$nan;[];0.69$\pm$0.11;"[0.7521975  0.8017714  0.63326311 0.62879682 0.62342    0.62319565
 0.6254015  0.6289475  0.94923592 0.62520051]";nan$\pm$nan;[];14.76$\pm$1.46;"[15.03034449 14.77758694 15.35743523 13.86563349 14.39933538 13.16792727
 14.00195575 18.73950458 13.95022225 14.26713085]";21.39$\pm$1.11;"[21.83720589 19.56737781 21.8676424  21.80644393 20.62913609 20.64046645
 20.741184   20.55860353 23.37500739 22.8405025 ]";0.79$\pm$0.0;"[0.7856915  0.78611994 0.79551268 0.78559184 0.78606582 0.78607512
 0.78599167 0.78573513 0.78554273 0.78570724]";0.71$\pm$0.0;"[0.70749092 0.70758176 0.70834184 0.70784569 0.70824289 0.70836568
 0.7076633  0.71218371 0.7079308  0.70719385]";2.26$\pm$0.01;"[2.25824738 2.26064134 2.25557232 2.25967598 2.25417805 2.25660062
 2.26293993 2.25960255 2.27740049 2.25644612]";0.55$\pm$0.02;"[0.53818536 0.53871894 0.53889441 0.53934097 0.53823709 0.5387454
 0.57953191 0.57799983 0.53784156 0.58024192]";0.63$\pm$0.0;"[0.62952137 0.62977338 0.63026428 0.63947392 0.62965059 0.62968969
 0.62939692 0.62983441 0.63960505 0.6290102 ]";3.45$\pm$0.07;"[3.45955133 3.41621089 3.56482816 3.40527391 3.40387607 3.41579652
 3.41944885 3.59500241 3.40467072 3.40803742]";4.17$\pm$0.43;"[5.2753036  4.06704497 3.84717679 4.09975958 3.91920829 3.82660389
 3.98365808 4.57764196 4.23289728 3.82333279]";1.56$\pm$0.14;"[1.41556025 1.41433311 1.67521071 1.72244787 1.70014381 1.39316893
 1.54863238 1.47184205 1.47602248 1.76541519]";2.14$\pm$0.2;"[2.15607357 2.12897396 2.33866787 2.20490766 2.00027442 2.26139545
 1.98717451 2.3610673  1.67585421 2.28661418]"
