metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;85.44$\pm$0.95;"[0.85470668 0.83765348 0.84856753 0.8622101  0.85811733 0.85129604
 0.85061392 0.8478854  0.8574352  0.87517053]";83.81$\pm$1.91;"[0.8042292  0.84515689 0.83628922 0.84038199 0.84583902 0.85197817
 0.7994543  0.84515689 0.85675307 0.85538881]";35.76$\pm$1.17;"[0.36425648 0.34174625 0.35197817 0.3526603  0.34174625 0.35607094
 0.35879945 0.3622101  0.36152797 0.38472033]";79.73$\pm$2.04;"[0.78103683 0.76875853 0.79058663 0.81923602 0.82810368 0.79604366
 0.76534789 0.79672578 0.81787176 0.80968622]";35.83$\pm$1.35;"[0.37107776 0.34174625 0.35470668 0.3526603  0.3431105  0.35129604
 0.3622101  0.3622101  0.35402456 0.39017735]";76.04$\pm$2.38;"[0.74897681 0.76193724 0.77012278 0.78103683 0.78376535 0.77353342
 0.70327422 0.73465211 0.76875853 0.77762619]";81.05$\pm$2.29;"[0.78785812 0.77899045 0.7899045  0.80900409 0.85948158 0.80559345
 0.80013643 0.81514325 0.82537517 0.83356071]";64.07$\pm$3.79;"[0.64597544 0.66302865 0.62346521 0.61459754 0.65893588 0.58594816
 0.61050477 0.6425648  0.62892224 0.73260573]";78.87$\pm$1.53;"[0.80150068 0.78171896 0.78035471 0.7851296  0.78922237 0.79058663
 0.77148704 0.7946794  0.7680764  0.82469304]";35.83$\pm$1.35;"[0.37107776 0.34174625 0.35470668 0.3526603  0.3431105  0.35129604
 0.3622101  0.3622101  0.35402456 0.39017735]";76.09$\pm$0.72;"[0.75716235 0.76534789 0.76398363 0.75648022 0.77012278 0.74761255
 0.75716235 0.76534789 0.77148704 0.75443383]";78.52$\pm$2.09;"[0.78103683 0.75306958 0.78649386 0.80763984 0.79399727 0.79195089
 0.75511596 0.80013643 0.76398363 0.81855389]";80.42$\pm$1.76;"[0.7994543  0.80559345 0.7633015  0.81173261 0.80900409 0.81105048
 0.7851296  0.82264666 0.80627558 0.82810368]";85.01$\pm$1.63;"[0.87175989 0.83219645 0.83151432 0.84515689 0.85402456 0.84174625
 0.83151432 0.84856753 0.86562074 0.87858117]";82.46$\pm$1.61;"[0.81718963 0.80559345 0.80832196 0.82332879 0.8622101  0.83765348
 0.81241473 0.81787176 0.83628922 0.82537517]";76.64$\pm$1.6;"[0.76193724 0.74624829 0.76603001 0.76125512 0.77080491 0.75784447
 0.75306958 0.78103683 0.75989086 0.80627558]";73.01$\pm$2.19;"[0.7366985  0.69236016 0.72305593 0.70463847 0.70463847 0.74283765
 0.73465211 0.75920873 0.75511596 0.74761255]";73.51$\pm$2.34;"[0.71623465 0.72373806 0.77421555 0.7319236  0.70190996 0.75375171
 0.70259209 0.7366985  0.74624829 0.76398363]";79.37$\pm$2.05;"[0.7946794  0.75443383 0.7899045  0.8165075  0.80695771 0.78649386
 0.78171896 0.80013643 0.77557981 0.8308322 ]";79.9$\pm$2.13;"[0.80763984 0.75375171 0.76944065 0.81173261 0.8165075  0.81582538
 0.78649386 0.80559345 0.82332879 0.80013643]";80.98$\pm$1.14;"[0.80559345 0.78717599 0.80695771 0.80763984 0.82537517 0.82401091
 0.79672578 0.80968622 0.81377899 0.8212824 ]";81.88$\pm$2.52;"[0.82401091 0.78035471 0.78240109 0.83219645 0.84993179 0.80218281
 0.8165075  0.80695771 0.83356071 0.86016371]";81.34$\pm$1.65;"[0.80150068 0.79399727 0.8260573  0.80218281 0.81582538 0.80150068
 0.79604366 0.81923602 0.82946794 0.8478854 ]";84.69$\pm$1.64;"[0.84447476 0.80695771 0.8431105  0.84652115 0.85061392 0.84515689
 0.85197817 0.84242838 0.87244202 0.86562074]"
Hits@50;89.14$\pm$0.65;"[0.89154161 0.88813097 0.89085948 0.88949523 0.89699864 0.90177353
 0.88199181 0.88813097 0.88335607 0.90177353]";88.81$\pm$0.7;"[0.88062756 0.8888131  0.88949523 0.89222374 0.89085948 0.89154161
 0.87039563 0.8888131  0.89154161 0.89631651]";39.2$\pm$1.32;"[0.40109141 0.39631651 0.37517053 0.38335607 0.39154161 0.37380628
 0.38813097 0.40245566 0.38744884 0.420191  ]";85.01$\pm$1.18;"[0.83765348 0.8431105  0.84924966 0.85675307 0.87107776 0.83628922
 0.83492497 0.85470668 0.86630286 0.85129604]";39.07$\pm$1.27;"[0.39699864 0.39563438 0.37789905 0.37312415 0.39836289 0.37312415
 0.39085948 0.39154161 0.39154161 0.41746248]";83.27$\pm$1.41;"[0.81718963 0.82060027 0.84038199 0.8212824  0.85402456 0.83833561
 0.80900409 0.83424284 0.84379263 0.8478854 ]";86.92$\pm$1.42;"[0.85948158 0.86357435 0.85879945 0.85607094 0.89768076 0.86766712
 0.85197817 0.87107776 0.87585266 0.89017735]";75.44$\pm$2.51;"[0.74897681 0.7633015  0.75170532 0.70463847 0.77489768 0.7585266
 0.71964529 0.74965894 0.7851296  0.78717599]";85.78$\pm$0.89;"[0.85197817 0.85948158 0.87039563 0.85675307 0.85811733 0.86630286
 0.83833561 0.86152797 0.84924966 0.86562074]";39.07$\pm$1.27;"[0.39699864 0.39563438 0.37789905 0.37312415 0.39836289 0.37312415
 0.39085948 0.39154161 0.39154161 0.41746248]";82.23$\pm$0.93;"[0.81718963 0.83219645 0.82673943 0.82060027 0.83356071 0.80627558
 0.82264666 0.83219645 0.80695771 0.82469304]";84.17$\pm$1.51;"[0.83697135 0.82537517 0.8574352  0.85129604 0.85197817 0.83833561
 0.83015007 0.84720327 0.81309686 0.86493861]";88.97$\pm$0.82;"[0.89358799 0.89836289 0.88676671 0.88744884 0.89972715 0.89768076
 0.87312415 0.89495225 0.88130969 0.8840382 ]";91.32$\pm$0.87;"[0.92155525 0.90723056 0.92360164 0.89904502 0.91268759 0.91405184
 0.90109141 0.91132333 0.91473397 0.92701228]";87.35$\pm$1.19;"[0.86630286 0.87858117 0.86562074 0.86016371 0.89972715 0.87994543
 0.85538881 0.87585266 0.87380628 0.8792633 ]";82.51$\pm$1.35;"[0.80968622 0.83492497 0.8212824  0.81241473 0.83901774 0.82742156
 0.81309686 0.82264666 0.81582538 0.85470668]";82.37$\pm$0.69;"[0.83219645 0.81923602 0.83424284 0.81991814 0.83356071 0.81446112
 0.81582538 0.82401091 0.82060027 0.82264666]";80.76$\pm$1.66;"[0.82537517 0.77899045 0.82537517 0.79877217 0.78922237 0.81582538
 0.80013643 0.79536153 0.81582538 0.8308322 ]";87.16$\pm$1.59;"[0.84447476 0.85334243 0.88199181 0.88267394 0.8888131  0.8744884
 0.86152797 0.86016371 0.87039563 0.89768076]";85.46$\pm$1.02;"[0.84515689 0.84379263 0.85470668 0.84993179 0.86357435 0.87039563
 0.83628922 0.86152797 0.85607094 0.86493861]";87.07$\pm$1.28;"[0.8526603  0.88608458 0.8622101  0.85197817 0.88335607 0.8840382
 0.86357435 0.86766712 0.86834925 0.88676671]";88.19$\pm$0.92;"[0.87789905 0.87312415 0.86903138 0.88540246 0.90177353 0.8840382
 0.87994543 0.87721692 0.87721692 0.89290587]";87.16$\pm$0.96;"[0.8574352  0.87721692 0.87175989 0.86698499 0.88130969 0.86493861
 0.85538881 0.87585266 0.88130969 0.8840382 ]";89.79$\pm$0.77;"[0.89222374 0.89972715 0.89699864 0.88744884 0.90723056 0.90313779
 0.88335607 0.89904502 0.90109141 0.90859482]"
Hits@100;91.19$\pm$0.44;"[0.90723056 0.90723056 0.9154161  0.90995907 0.91746248 0.91609823
 0.90791269 0.9154161  0.9058663  0.91678035]";90.81$\pm$0.56;"[0.90313779 0.91405184 0.91405184 0.90995907 0.90859482 0.90518417
 0.89495225 0.90723056 0.9106412  0.91336971]";44.03$\pm$1.62;"[0.44952251 0.46111869 0.420191   0.42291951 0.45088677 0.41950887
 0.43656207 0.43656207 0.4372442  0.4686221 ]";88.53$\pm$1.03;"[0.88335607 0.88199181 0.8840382  0.8840382  0.9058663  0.86698499
 0.87312415 0.89154161 0.88813097 0.89427012]";43.91$\pm$1.54;"[0.44065484 0.45702592 0.42223738 0.420191   0.44952251 0.41814461
 0.43656207 0.43315143 0.446794   0.46657572]";86.73$\pm$0.79;"[0.8622101  0.86152797 0.87380628 0.85197817 0.88062756 0.86562074
 0.8622101  0.86766712 0.87312415 0.87380628]";89.52$\pm$1.39;"[0.88676671 0.88199181 0.89085948 0.88130969 0.92428377 0.89222374
 0.88472033 0.90040928 0.89290587 0.91678035]";81.53$\pm$2.22;"[0.81582538 0.83492497 0.81787176 0.78376535 0.82469304 0.81514325
 0.77012278 0.80763984 0.84174625 0.84106412]";88.65$\pm$0.66;"[0.88130969 0.89154161 0.89358799 0.88199181 0.89358799 0.88813097
 0.87312415 0.88676671 0.88130969 0.89358799]";43.91$\pm$1.54;"[0.44065484 0.45702592 0.42223738 0.420191   0.44952251 0.41814461
 0.43656207 0.43315143 0.446794   0.46657572]";86.19$\pm$0.65;"[0.8574352  0.86630286 0.85948158 0.86493861 0.87039563 0.85129604
 0.86425648 0.86971351 0.85129604 0.86357435]";87.69$\pm$1.3;"[0.86766712 0.86425648 0.89222374 0.88130969 0.88949523 0.87721692
 0.86834925 0.87789905 0.85334243 0.89699864]";92.66$\pm$0.61;"[0.92360164 0.93656207 0.92701228 0.93110505 0.9324693  0.93042292
 0.91473397 0.92564802 0.91950887 0.92496589]";94.15$\pm$0.83;"[0.94952251 0.94338336 0.95225102 0.92701228 0.93997271 0.93997271
 0.92905866 0.93860846 0.94270123 0.95293315]";90.22$\pm$0.73;"[0.89154161 0.90995907 0.90927694 0.89427012 0.91473397 0.90313779
 0.89495225 0.89972715 0.89836289 0.9058663 ]";86.27$\pm$1.43;"[0.85061392 0.87107776 0.86971351 0.85334243 0.86903138 0.86562074
 0.84106412 0.8478854  0.86493861 0.89358799]";86.11$\pm$0.93;"[0.85470668 0.8622101  0.87585266 0.86084584 0.88062756 0.85879945
 0.85879945 0.8526603  0.85607094 0.85061392]";84.77$\pm$0.84;"[0.85538881 0.84174625 0.85197817 0.84106412 0.83151432 0.8526603
 0.84038199 0.85538881 0.84652115 0.86016371]";90.57$\pm$1.17;"[0.88744884 0.89290587 0.90927694 0.91200546 0.91678035 0.90654843
 0.90040928 0.90177353 0.89904502 0.93042292]";88.53$\pm$0.77;"[0.88949523 0.87721692 0.87994543 0.88608458 0.88949523 0.88744884
 0.86834925 0.89563438 0.88608458 0.89358799]";90.12$\pm$0.8;"[0.90177353 0.91405184 0.90313779 0.88744884 0.90381992 0.90450205
 0.89290587 0.89699864 0.89495225 0.91268759]";91.41$\pm$0.65;"[0.91336971 0.92291951 0.90450205 0.91473397 0.91814461 0.90927694
 0.91473397 0.90927694 0.90791269 0.92633015]";90.3$\pm$0.42;"[0.89631651 0.9058663  0.89631651 0.90791269 0.9058663  0.90313779
 0.90109141 0.90040928 0.90381992 0.90927694]";92.86$\pm$0.82;"[0.91746248 0.93042292 0.93792633 0.92496589 0.9372442  0.92905866
 0.92223738 0.93042292 0.9154161  0.94065484]"
ROCAUC;96.85$\pm$0.21;"[0.96954246 0.97025222 0.97065918 0.96544427 0.96965344 0.96931517
 0.97058938 0.96435322 0.96648871 0.96886545]";95.45$\pm$0.32;"[0.95131717 0.95811104 0.95745958 0.95334383 0.95520187 0.94978489
 0.95401334 0.95032748 0.9599573  0.9559555 ]";78.69$\pm$0.96;"[0.79044937 0.79864925 0.7990332  0.78099167 0.76648678 0.77764482
 0.79052847 0.78256627 0.79369622 0.78852815]";94.81$\pm$0.48;"[0.94629194 0.95181241 0.94847931 0.94904758 0.95454651 0.9371406
 0.94605185 0.94392427 0.95153702 0.95231989]";78.69$\pm$0.94;"[0.78836995 0.79831959 0.7983869  0.7832825  0.76554531 0.78015729
 0.79137717 0.78183668 0.79395586 0.78794792]";94.32$\pm$0.32;"[0.93723955 0.94570725 0.94602858 0.94350395 0.94474808 0.94177931
 0.94304764 0.93861707 0.94843604 0.94327261]";95.57$\pm$0.62;"[0.94852026 0.95420801 0.95484274 0.94902314 0.96858089 0.9493039
 0.95777226 0.95376418 0.95724461 0.96398889]";93.2$\pm$0.83;"[0.93809337 0.93961838 0.93097104 0.92190493 0.93030326 0.93324409
 0.91384851 0.93055972 0.94083073 0.94090378]";95.26$\pm$0.26;"[0.95252857 0.95430928 0.95733581 0.95473509 0.9531329  0.95021931
 0.94797027 0.95098681 0.95071461 0.95385607]";78.69$\pm$0.94;"[0.78836995 0.79831959 0.7983869  0.7832825  0.76554531 0.78015729
 0.79137717 0.78183668 0.79395586 0.78794792]";94.64$\pm$0.38;"[0.94606278 0.94988825 0.947679   0.94598825 0.95199587 0.93840219
 0.94879199 0.94624308 0.94145795 0.94762502]";95.39$\pm$0.58;"[0.94913957 0.95013061 0.96070108 0.95530011 0.95863113 0.95358501
 0.9529627  0.95352082 0.94208494 0.96325116]";97.41$\pm$0.27;"[0.97577514 0.97712938 0.97318017 0.97922838 0.97401534 0.97068432
 0.97333884 0.97011571 0.97247431 0.97548573]";97.93$\pm$0.13;"[0.98122961 0.9787339  0.97809489 0.97777892 0.97861586 0.97859933
 0.97945449 0.9797125  0.97878632 0.98226839]";95.78$\pm$0.29;"[0.95607392 0.95948065 0.96255693 0.95427971 0.96176217 0.95745126
 0.95693751 0.9531893  0.95658528 0.95930077]";94.4$\pm$0.47;"[0.93981126 0.94950063 0.94977005 0.93975853 0.94365295 0.93957228
 0.94518732 0.93769391 0.94322004 0.95194951]";94.32$\pm$0.48;"[0.93814083 0.94372372 0.95038424 0.94618939 0.94465472 0.93939535
 0.94917633 0.94111782 0.94535529 0.934116  ]";92.97$\pm$0.3;"[0.92870806 0.92938785 0.93577874 0.92386355 0.92816072 0.93090064
 0.92799383 0.92891628 0.93053924 0.93298253]";96.71$\pm$0.35;"[0.96327721 0.96526407 0.96884544 0.96834227 0.9707949  0.96761241
 0.9687361  0.96243363 0.96245224 0.9735887 ]";95.34$\pm$0.23;"[0.95555534 0.95169601 0.95328166 0.95398638 0.95143899 0.95618222
 0.94830203 0.95507818 0.95343591 0.9553769 ]";95.69$\pm$0.31;"[0.95715388 0.95955329 0.96103819 0.9530435  0.95687972 0.95439891
 0.95652619 0.95102217 0.95794489 0.96114893]";96.8$\pm$0.29;"[0.96804792 0.97000964 0.96977418 0.96536232 0.96919853 0.96164717
 0.96811632 0.96663527 0.96836107 0.97306152]";96.44$\pm$0.19;"[0.96472755 0.96941598 0.96335259 0.96389027 0.96424787 0.96411214
 0.96435764 0.96123874 0.96434182 0.96389559]";97.45$\pm$0.25;"[0.97249804 0.97405957 0.9743041  0.97790766 0.97910266 0.97181041
 0.97079272 0.9740668  0.9748585  0.97586262]"
AP;97.58$\pm$0.14;"[0.97591979 0.97505569 0.97744206 0.97492528 0.97727095 0.97606406
 0.97578468 0.97265292 0.97508528 0.97753938]";96.58$\pm$0.35;"[0.95789319 0.96704422 0.96387783 0.96872336 0.96884618 0.96148629
 0.96780081 0.96509314 0.96793292 0.96887105]";82.0$\pm$0.6;"[0.82344521 0.82751684 0.82473256 0.81581705 0.80837155 0.8119499
 0.82197168 0.81779026 0.82161337 0.82675637]";96.41$\pm$0.32;"[0.96329584 0.9658653  0.96432034 0.96587758 0.96897355 0.95632755
 0.96164981 0.96259298 0.96580412 0.96580496]";82.0$\pm$0.6;"[0.82114305 0.82770428 0.82483377 0.81572653 0.80828002 0.812595
 0.82491057 0.81721775 0.82148118 0.82563914]";95.75$\pm$0.38;"[0.94935742 0.96071015 0.96041651 0.95946433 0.9596597  0.95720814
 0.95625601 0.95167257 0.96049298 0.95990915]";96.5$\pm$0.45;"[0.95799322 0.96439723 0.96535929 0.96169597 0.97517235 0.96316131
 0.967135   0.96598728 0.96073326 0.96816099]";94.2$\pm$0.66;"[0.94168815 0.94819287 0.94098163 0.93356681 0.9419279  0.94207248
 0.92933867 0.94164268 0.94801358 0.95305549]";96.42$\pm$0.22;"[0.9625038  0.96372856 0.96803875 0.96650683 0.96340021 0.96318325
 0.96102636 0.96483237 0.96186676 0.96696367]";82.0$\pm$0.6;"[0.82114305 0.82770428 0.82483377 0.81572653 0.80828002 0.812595
 0.82491057 0.81721775 0.82148118 0.82563914]";95.8$\pm$0.29;"[0.95391737 0.96158579 0.95904418 0.95699503 0.96138332 0.95253215
 0.95941224 0.96077065 0.95613018 0.95872076]";96.39$\pm$0.44;"[0.96152431 0.95814593 0.96573278 0.96721916 0.96428836 0.96483703
 0.96504324 0.96292057 0.95632094 0.97265088]";97.71$\pm$0.21;"[0.97899164 0.97798623 0.97570911 0.98212766 0.97664784 0.97542479
 0.97811144 0.97517431 0.97655809 0.97461823]";98.09$\pm$0.21;"[0.98191339 0.98005049 0.97748087 0.98217189 0.97859472 0.98171362
 0.9819001  0.97999697 0.97955066 0.98516842]";96.99$\pm$0.23;"[0.96864801 0.97090727 0.9725345  0.96901986 0.9739687  0.96951369
 0.9698387  0.96622614 0.96678147 0.97149136]";95.82$\pm$0.48;"[0.95663312 0.96197339 0.96316552 0.95075896 0.95958961 0.95034243
 0.95981742 0.95619789 0.9569831  0.96629716]";95.3$\pm$0.53;"[0.94809672 0.94727109 0.96039382 0.95348117 0.95000849 0.94843883
 0.96212509 0.94859656 0.95875135 0.95304498]";94.9$\pm$0.34;"[0.94727863 0.94264496 0.95266358 0.94686464 0.94476553 0.95214307
 0.9497032  0.94837432 0.95153599 0.95367134]";97.03$\pm$0.3;"[0.96599481 0.96838836 0.96993304 0.974494   0.9737302  0.9688762
 0.97223909 0.9662365  0.96954788 0.97405279]";96.55$\pm$0.25;"[0.96577165 0.95985074 0.96398339 0.96738369 0.96569404 0.9678965
 0.96292582 0.96718528 0.96566635 0.96894448]";96.84$\pm$0.22;"[0.96949635 0.97049676 0.97084519 0.96708667 0.96630526 0.96607206
 0.96717999 0.96627555 0.9670937  0.97270443]";97.47$\pm$0.3;"[0.97591104 0.97675181 0.97010715 0.97479298 0.97603725 0.96887306
 0.97610869 0.97496206 0.97373718 0.97972146]";97.17$\pm$0.17;"[0.97304227 0.97507316 0.97137865 0.97103143 0.9711788  0.9712893
 0.97301103 0.96819512 0.97033296 0.97215478]";97.85$\pm$0.3;"[0.97622346 0.97355451 0.97491463 0.98064913 0.98331325 0.97681815
 0.97831889 0.97927324 0.98010981 0.98223547]"
pretrain_time;nan$\pm$nan;[];72.23$\pm$3.37;"[74.69200039 76.04138684 73.09634876 73.99717808 77.50863218 67.68819404
 67.79875922 73.19720411 68.4394474  69.84768867]";nan$\pm$nan;[];2.36$\pm$0.29;"[2.40737724 2.82031035 2.32525802 2.25121689 2.96798921 2.24034238
 2.09581351 2.23960757 2.11319351 2.10631776]";nan$\pm$nan;[];68.35$\pm$2.79;"[72.48097682 68.1593473  70.71948767 71.17175674 63.84879065 69.89202571
 66.2338829  69.23428321 64.00740576 67.76863217]";5.27$\pm$0.35;"[5.17429972 4.71850085 4.80646491 5.24489355 5.27750015 5.28985262
 5.27481246 5.27111077 5.96172714 5.69845128]";32.88$\pm$1.16;"[31.49374604 33.80151343 33.6008122  34.36217284 34.0367918  33.22712612
 33.75633311 31.81760502 31.33302474 31.35809064]";12.9$\pm$1.06;"[11.96871305 12.45467591 11.92788959 11.95790052 14.18550301 15.30736971
 12.3285768  12.85219312 13.47666645 12.50505638]";nan$\pm$nan;[];48.1$\pm$1.34;"[46.26691365 47.47523475 49.77225566 49.32992291 49.37985158 45.5125277
 48.01748276 49.26726222 48.40441632 47.62198019]";37.99$\pm$0.83;"[37.6049571  36.89793944 38.73308802 36.3124249  39.11227703 37.72220683
 38.84367537 38.19849753 38.37327623 38.06989098]";44.11$\pm$1.87;"[46.08207941 45.47306204 42.47574401 47.61423755 45.1456337  41.72602344
 43.3745892  41.89624095 44.62306309 42.72921085]";9.95$\pm$0.65;"[ 8.78403711  9.12570977  9.44626212 10.35305691 10.30907202  9.47361135
 10.36109519 10.84554458 10.5131433  10.30339932]";35.13$\pm$2.65;"[36.99014688 36.86158085 35.82662821 37.00307941 38.10314751 37.67049623
 35.01486349 31.55613303 31.13761783 31.15589356]";51.4$\pm$1.11;"[50.36328769 52.75047874 53.18061972 53.25943494 51.18983603 50.49987459
 50.71684146 50.72681117 50.69985485 50.65896821]";45.02$\pm$1.71;"[42.57721448 45.735147   42.8604641  46.49106193 47.02804422 46.8728807
 46.6805985  45.21380806 43.77306724 42.95121956]";8.12$\pm$0.59;"[7.50677156 7.54852033 7.50720048 7.49980831 7.59682918 8.71466398
 8.71945333 8.71999454 8.70437717 8.7182796 ]";33.27$\pm$1.34;"[32.6726985  32.69587541 32.56954527 32.49092507 32.65611577 33.54987526
 33.71564198 37.10783815 32.55363178 32.69583225]";68.1$\pm$0.02;"[68.13039947 68.11909175 68.09032202 68.09850025 68.1493156  68.08188319
 68.07098389 68.09146738 68.08529043 68.10700822]";13.43$\pm$0.05;"[13.43073869 13.34980702 13.48735142 13.49150944 13.44778061 13.40908432
 13.37899566 13.49576449 13.38794923 13.41045666]";15.7$\pm$0.51;"[16.02111411 14.79188108 15.27390003 16.10021687 16.11067247 16.08768702
 15.9589653  15.97470856 15.9470017  14.78025627]";94.33$\pm$2.39;"[101.1686058   93.65590286  92.92014503  93.96117759  92.06157398
  94.61953759  93.9016006   93.0515871   93.59434628  94.34905028]";102.25$\pm$4.3;"[ 97.32129049 107.17787099 107.2071991  106.606668   103.43243861
 106.16399622  97.34718823  96.35039115 102.75840735  98.14207911]"
