metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;leiden_prob_pred_mean;leiden_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;75.9$\pm$1.98;"[0.73814042 0.74003795 0.75901328 0.78368121 0.75901328 0.73814042
 0.75332068 0.76660342 0.74952562 0.80265655]";73.17$\pm$3.34;"[0.64516129 0.72675522 0.74193548 0.75521822 0.74952562 0.70018975
 0.75711575 0.73244782 0.75142315 0.75711575]";71.88$\pm$3.03;"[0.69259962 0.71726755 0.74383302 0.71537002 0.78368121 0.69070209
 0.75332068 0.69829222 0.70777989 0.68500949]";74.4$\pm$3.18;"[0.71347249 0.71347249 0.74573055 0.80455408 0.76091082 0.71157495
 0.71157495 0.75332068 0.73624288 0.78937381]";69.13$\pm$2.96;"[0.70018975 0.66982922 0.66982922 0.73624288 0.70588235 0.64516129
 0.72106262 0.66982922 0.66603416 0.72865275]";60.93$\pm$3.84;"[0.64136622 0.55787476 0.59772296 0.63187856 0.66413662 0.5483871
 0.61480076 0.64326376 0.56356736 0.62998102]";75.75$\pm$2.08;"[0.74762808 0.77419355 0.76091082 0.80645161 0.72865275 0.75142315
 0.76280835 0.74003795 0.74003795 0.76280835]";63.93$\pm$3.15;"[0.62239089 0.60341556 0.63377609 0.68500949 0.60151803 0.63187856
 0.70588235 0.64326376 0.64326376 0.62239089]";76.11$\pm$3.95;"[0.72485769 0.76091082 0.75711575 0.74573055 0.81593928 0.81214421
 0.79127135 0.72675522 0.78937381 0.68690702]";73.81$\pm$4.91;"[0.75521822 0.72106262 0.69639469 0.74952562 0.70208729 0.78747628
 0.85578748 0.70777989 0.72106262 0.68500949]";70.02$\pm$3.58;"[0.65085389 0.62998102 0.72106262 0.71916509 0.70398482 0.70398482
 0.76091082 0.68121442 0.72296015 0.70777989]";63.95$\pm$5.34;"[0.65275142 0.55787476 0.5654649  0.68121442 0.58064516 0.62618596
 0.67552182 0.67172676 0.65275142 0.73055028]";68.77$\pm$3.42;"[0.73434535 0.67741935 0.65085389 0.67552182 0.74762808 0.63567362
 0.71157495 0.70588235 0.66982922 0.66793169]";68.56$\pm$2.07;"[0.66413662 0.66034156 0.66793169 0.71537002 0.66793169 0.67362429
 0.70588235 0.70398482 0.68311195 0.71347249]";65.98$\pm$3.51;"[0.68880455 0.66223909 0.66603416 0.68311195 0.60151803 0.59772296
 0.65654649 0.70398482 0.64136622 0.69639469]";60.93$\pm$3.84;"[0.64136622 0.55787476 0.59772296 0.63187856 0.66413662 0.5483871
 0.61480076 0.64326376 0.56356736 0.62998102]";71.1$\pm$3.13;"[0.70777989 0.73244782 0.69829222 0.75142315 0.64516129 0.69070209
 0.76280835 0.71347249 0.70588235 0.70208729]";68.46$\pm$3.39;"[0.62049336 0.69259962 0.69449715 0.72106262 0.71916509 0.68880455
 0.71726755 0.70018975 0.66034156 0.63187856]";60.93$\pm$3.84;"[0.64136622 0.55787476 0.59772296 0.63187856 0.66413662 0.5483871
 0.61480076 0.64326376 0.56356736 0.62998102]";72.54$\pm$3.07;"[0.69259962 0.73244782 0.65654649 0.75142315 0.73434535 0.70967742
 0.74193548 0.75142315 0.76470588 0.71916509]";66.66$\pm$5.39;"[0.66793169 0.59582543 0.66413662 0.72675522 0.68500949 0.70398482
 0.71916509 0.71916509 0.62428843 0.5597723 ]";73.28$\pm$2.45;"[0.69070209 0.73434535 0.72865275 0.73434535 0.75332068 0.68690702
 0.73814042 0.75901328 0.74003795 0.76280835]";69.15$\pm$3.89;"[0.68121442 0.66223909 0.65654649 0.64705882 0.66413662 0.67552182
 0.77229602 0.73814042 0.72675522 0.69070209]";65.28$\pm$4.38;"[0.67552182 0.61859583 0.57495256 0.63757116 0.68500949 0.61480076
 0.72675522 0.63757116 0.64895636 0.70777989]";72.5$\pm$3.1;"[0.72675522 0.70208729 0.74383302 0.75901328 0.64895636 0.70967742
 0.72675522 0.75711575 0.74762808 0.72865275]";74.06$\pm$3.13;"[0.72675522 0.74193548 0.71537002 0.80645161 0.71537002 0.69449715
 0.76470588 0.71916509 0.75711575 0.76470588]";73.19$\pm$2.7;"[0.71916509 0.74193548 0.70208729 0.74573055 0.73434535 0.67741935
 0.75142315 0.76280835 0.71537002 0.76850095]";63.43$\pm$2.74;"[0.64895636 0.62428843 0.62239089 0.65654649 0.5711575  0.62239089
 0.64136622 0.63757116 0.68311195 0.63567362]";82.43$\pm$3.25;"[0.75332068 0.79696395 0.81973435 0.85768501 0.83870968 0.84819734
 0.86717268 0.80645161 0.80834915 0.84629981]";71.08$\pm$5.71;"[0.62998102 0.63187856 0.66982922 0.78557875 0.79886148 0.76660342
 0.73624288 0.71347249 0.68311195 0.69259962]"
Hits@50;83.91$\pm$2.18;"[0.82922201 0.83111954 0.85199241 0.88235294 0.83681214 0.79506641
 0.83301708 0.83870968 0.83111954 0.86148008]";85.37$\pm$1.17;"[0.83301708 0.84250474 0.85958254 0.86148008 0.85958254 0.83491461
 0.86717268 0.86527514 0.85768501 0.85578748]";83.66$\pm$2.63;"[0.83491461 0.81214421 0.85009488 0.87286528 0.84629981 0.77988615
 0.87096774 0.84440228 0.81973435 0.83491461]";85.43$\pm$2.14;"[0.85578748 0.84250474 0.84060721 0.89563567 0.86148008 0.81404175
 0.87286528 0.85009488 0.83870968 0.87096774]";81.4$\pm$2.81;"[0.81973435 0.78368121 0.82922201 0.84440228 0.81404175 0.76280835
 0.86148008 0.82352941 0.78557875 0.81593928]";66.03$\pm$2.16;"[0.68880455 0.66413662 0.65464896 0.65085389 0.68500949 0.60721063
 0.65275142 0.67362429 0.66034156 0.66603416]";85.67$\pm$2.08;"[0.82542694 0.83870968 0.87476281 0.89563567 0.87855787 0.85009488
 0.85199241 0.86527514 0.83301708 0.85388994]";80.15$\pm$3.18;"[0.79127135 0.75521822 0.81024668 0.84060721 0.78178368 0.76091082
 0.86337761 0.80265655 0.79127135 0.81783681]";87.87$\pm$1.93;"[0.86907021 0.86527514 0.88235294 0.85388994 0.92220114 0.88804554
 0.88425047 0.85768501 0.89563567 0.86907021]";89.35$\pm$2.35;"[0.89373814 0.84060721 0.87286528 0.91650854 0.89373814 0.89563567
 0.93358634 0.90322581 0.88804554 0.89753321]";83.89$\pm$2.56;"[0.81404175 0.79696395 0.84440228 0.87096774 0.85199241 0.83681214
 0.88045541 0.80834915 0.83111954 0.85388994]";77.7$\pm$2.88;"[0.77609108 0.70777989 0.77229602 0.81593928 0.79316888 0.76470588
 0.77988615 0.77039848 0.77419355 0.81593928]";83.68$\pm$2.11;"[0.87096774 0.83111954 0.81973435 0.83491461 0.87286528 0.81214421
 0.84819734 0.83301708 0.80645161 0.83870968]";83.02$\pm$2.33;"[0.83681214 0.81593928 0.81214421 0.82732448 0.85009488 0.77988615
 0.85958254 0.81783681 0.84819734 0.85388994]";79.72$\pm$3.15;"[0.79696395 0.76091082 0.78937381 0.83111954 0.80834915 0.75521822
 0.78368121 0.81214421 0.77039848 0.86337761]";66.03$\pm$2.16;"[0.68880455 0.66413662 0.65464896 0.65085389 0.68500949 0.60721063
 0.65275142 0.67362429 0.66034156 0.66603416]";82.81$\pm$2.0;"[0.81783681 0.82922201 0.80265655 0.85768501 0.84060721 0.79316888
 0.85578748 0.82732448 0.81783681 0.83870968]";83.23$\pm$2.0;"[0.85388994 0.80834915 0.81024668 0.85768501 0.84250474 0.79696395
 0.84819734 0.84250474 0.82352941 0.83870968]";66.03$\pm$2.16;"[0.68880455 0.66413662 0.65464896 0.65085389 0.68500949 0.60721063
 0.65275142 0.67362429 0.66034156 0.66603416]";87.31$\pm$1.89;"[0.88425047 0.85009488 0.85578748 0.89753321 0.88614801 0.83681214
 0.86717268 0.88045541 0.87855787 0.89373814]";87.97$\pm$2.8;"[0.89943074 0.83491461 0.85388994 0.91840607 0.89184061 0.87096774
 0.90702087 0.88235294 0.83681214 0.90132827]";83.38$\pm$1.37;"[0.83491461 0.83491461 0.84250474 0.84440228 0.82732448 0.80075901
 0.82732448 0.85009488 0.84819734 0.82732448]";82.33$\pm$2.98;"[0.84629981 0.78368121 0.81404175 0.78368121 0.82542694 0.78557875
 0.87476281 0.85009488 0.84060721 0.82922201]";76.64$\pm$3.3;"[0.78178368 0.72485769 0.72296015 0.75711575 0.79506641 0.72296015
 0.78557875 0.76850095 0.77798861 0.82732448]";84.76$\pm$1.98;"[0.83681214 0.82352941 0.85009488 0.87666034 0.83301708 0.81404175
 0.87096774 0.85009488 0.85199241 0.86907021]";86.0$\pm$2.32;"[0.83301708 0.85199241 0.85388994 0.89943074 0.87096774 0.82732448
 0.88614801 0.85958254 0.83491461 0.88235294]";83.72$\pm$2.07;"[0.82163188 0.82352941 0.82352941 0.85958254 0.84060721 0.79696395
 0.85768501 0.85388994 0.82922201 0.86527514]";80.3$\pm$2.89;"[0.81593928 0.73624288 0.78747628 0.83111954 0.81214421 0.76850095
 0.82352941 0.82732448 0.82352941 0.80455408]";90.44$\pm$1.74;"[0.87476281 0.88614801 0.90322581 0.9316888  0.91461101 0.91271347
 0.91840607 0.92030361 0.88425047 0.89753321]";88.03$\pm$2.55;"[0.84060721 0.85578748 0.85768501 0.92409867 0.88804554 0.87096774
 0.91840607 0.89373814 0.87096774 0.88235294]"
Hits@100;88.52$\pm$1.27;"[0.89753321 0.87476281 0.88614801 0.91461101 0.87286528 0.87096774
 0.87476281 0.88425047 0.88804554 0.88804554]";91.86$\pm$0.91;"[0.93358634 0.90512334 0.91461101 0.92030361 0.92030361 0.90512334
 0.9259962  0.92979127 0.91840607 0.91271347]";90.97$\pm$2.01;"[0.90891841 0.89184061 0.91650854 0.92030361 0.90891841 0.86337761
 0.943074   0.9259962  0.90512334 0.91271347]";91.35$\pm$1.53;"[0.92979127 0.89753321 0.91271347 0.92979127 0.90891841 0.87855787
 0.92030361 0.92789374 0.92030361 0.90891841]";88.63$\pm$1.59;"[0.88045541 0.87666034 0.89563567 0.91271347 0.88235294 0.85388994
 0.90891841 0.88045541 0.88614801 0.88614801]";69.89$\pm$1.73;"[0.71157495 0.70208729 0.68500949 0.68880455 0.71347249 0.66603416
 0.68121442 0.72296015 0.70018975 0.71726755]";91.25$\pm$1.09;"[0.90891841 0.90512334 0.92220114 0.93548387 0.92030361 0.89943074
 0.91461101 0.91461101 0.89753321 0.90702087]";89.32$\pm$2.04;"[0.88235294 0.87096774 0.90322581 0.91650854 0.89563567 0.85199241
 0.89373814 0.91271347 0.88425047 0.92030361]";92.81$\pm$1.27;"[0.92220114 0.91271347 0.94117647 0.9259962  0.95635674 0.9259962
 0.92979127 0.91461101 0.93548387 0.91650854]";95.2$\pm$0.89;"[0.9487666  0.9316888  0.95635674 0.9658444  0.9601518  0.94686907
 0.9487666  0.95635674 0.9487666  0.95635674]";91.63$\pm$1.98;"[0.91650854 0.86717268 0.92030361 0.9373814  0.9316888  0.91650854
 0.93358634 0.89563567 0.9259962  0.91840607]";86.6$\pm$2.13;"[0.85009488 0.82542694 0.85958254 0.89184061 0.88994307 0.85578748
 0.89753321 0.86527514 0.85199241 0.87286528]";91.1$\pm$1.35;"[0.91650854 0.90132827 0.91650854 0.92409867 0.91840607 0.89943074
 0.9259962  0.91650854 0.87855787 0.91271347]";91.23$\pm$1.35;"[0.9259962  0.88804554 0.90512334 0.92979127 0.91081594 0.89943074
 0.90702087 0.90512334 0.92030361 0.9316888 ]";88.37$\pm$2.45;"[0.87096774 0.84060721 0.87855787 0.91271347 0.89184061 0.85009488
 0.89563567 0.90512334 0.87286528 0.91840607]";69.89$\pm$1.73;"[0.71157495 0.70208729 0.68500949 0.68880455 0.71347249 0.66603416
 0.68121442 0.72296015 0.70018975 0.71726755]";90.61$\pm$1.61;"[0.91271347 0.89753321 0.89563567 0.9373814  0.89563567 0.87855787
 0.91461101 0.89373814 0.91271347 0.92220114]";92.01$\pm$1.19;"[0.93927894 0.90891841 0.91461101 0.92220114 0.90891841 0.90512334
 0.91840607 0.92789374 0.91461101 0.94117647]";69.89$\pm$1.73;"[0.71157495 0.70208729 0.68500949 0.68880455 0.71347249 0.66603416
 0.68121442 0.72296015 0.70018975 0.71726755]";93.23$\pm$1.3;"[0.95066414 0.91461101 0.92979127 0.93927894 0.92789374 0.91461101
 0.91650854 0.9487666  0.93927894 0.94117647]";93.95$\pm$1.02;"[0.93927894 0.9259962  0.93927894 0.94686907 0.95825427 0.92979127
 0.9373814  0.9316888  0.9316888  0.9544592 ]";87.57$\pm$1.46;"[0.87286528 0.86907021 0.88425047 0.87666034 0.88045541 0.83681214
 0.88235294 0.89184061 0.88804554 0.87476281]";90.82$\pm$1.43;"[0.88804554 0.88804554 0.91461101 0.91650854 0.90132827 0.89563567
 0.93548387 0.91840607 0.90702087 0.91650854]";85.07$\pm$2.33;"[0.87286528 0.82732448 0.81973435 0.85388994 0.86148008 0.81024668
 0.86907021 0.84250474 0.86717268 0.88235294]";91.59$\pm$0.99;"[0.92789374 0.89943074 0.92409867 0.92030361 0.91271347 0.89943074
 0.9259962  0.92409867 0.91271347 0.91271347]";91.84$\pm$1.11;"[0.92030361 0.90702087 0.92789374 0.93927894 0.90702087 0.91650854
 0.92789374 0.91271347 0.90132827 0.92409867]";89.41$\pm$1.33;"[0.89373814 0.88994307 0.89373814 0.90891841 0.90512334 0.86337761
 0.89563567 0.90132827 0.88045541 0.90891841]";89.32$\pm$2.29;"[0.90132827 0.85388994 0.87476281 0.92409867 0.90322581 0.85388994
 0.90132827 0.90702087 0.89943074 0.91271347]";94.16$\pm$1.01;"[0.92030361 0.94117647 0.943074   0.95635674 0.9487666  0.94117647
 0.9487666  0.9487666  0.92789374 0.93927894]";94.55$\pm$1.35;"[0.9487666  0.9259962  0.94117647 0.95635674 0.943074   0.92789374
 0.97533207 0.95256167 0.93927894 0.94497154]"
ROCAUC;92.27$\pm$0.85;"[0.92947021 0.91599725 0.9293916  0.93322988 0.91484505 0.905451
 0.91926302 0.92010519 0.93160239 0.92738965]";94.26$\pm$0.59;"[0.94548741 0.93988384 0.94528119 0.93789629 0.94351328 0.9351058
 0.9527057  0.94692679 0.94699149 0.93253675]";93.79$\pm$0.93;"[0.93715413 0.93245214 0.94262032 0.94322163 0.94119807 0.91412852
 0.95053451 0.94313894 0.94037353 0.93447569]";94.2$\pm$0.9;"[0.94366563 0.93226851 0.94529919 0.95546018 0.94406418 0.92048724
 0.94412899 0.94836978 0.94470869 0.94160135]";92.37$\pm$0.93;"[0.92688364 0.91099957 0.93136475 0.93889367 0.92039002 0.91106798
 0.93175002 0.91453164 0.93181843 0.91896417]";80.84$\pm$0.97;"[0.81839958 0.80643721 0.81279593 0.80119109 0.81715629 0.78492343
 0.80830234 0.81746163 0.80328306 0.81399494]";94.29$\pm$0.66;"[0.93975152 0.93419124 0.94881701 0.95632793 0.94660982 0.93299583
 0.94129889 0.94649389 0.94281836 0.9401863 ]";92.77$\pm$1.04;"[0.9252206  0.9117485  0.93079225 0.93611038 0.92636707 0.90633315
 0.93947337 0.93501129 0.92898473 0.93728419]";94.74$\pm$0.66;"[0.94232004 0.94207663 0.95187755 0.94659182 0.96191611 0.94813649
 0.94795646 0.9397443  0.95362026 0.9402223 ]";95.7$\pm$0.61;"[0.95679324 0.943038   0.95516133 0.96303951 0.95795542 0.95645395
 0.9675259  0.96066046 0.95668079 0.95281191]";94.3$\pm$0.93;"[0.93917432 0.92518606 0.94717512 0.95091978 0.9441686  0.93553068
 0.96160646 0.93730565 0.94597611 0.94254831]";91.69$\pm$0.95;"[0.91476252 0.89361212 0.9180064  0.92851305 0.92112455 0.90883919
 0.92584498 0.92353591 0.91397009 0.92050884]";94.13$\pm$0.48;"[0.94761582 0.93729499 0.93536505 0.94390215 0.94654501 0.9350626
 0.94566286 0.94317141 0.9350698  0.94356729]";94.08$\pm$0.54;"[0.94681135 0.93155918 0.93858041 0.94925629 0.94273014 0.93400401
 0.94202262 0.93719742 0.939621   0.94575647]";92.05$\pm$0.91;"[0.91859366 0.90564183 0.92315531 0.92918276 0.91592524 0.90702447
 0.92453435 0.93049473 0.91592524 0.93424345]";80.84$\pm$0.97;"[0.81839958 0.80643721 0.81279593 0.80119109 0.81715629 0.78492343
 0.80830234 0.81746163 0.80328306 0.81399494]";93.89$\pm$0.56;"[0.9423489  0.93810873 0.93751463 0.94981799 0.93630842 0.92810077
 0.94242229 0.93500768 0.93637683 0.94321443]";93.96$\pm$0.4;"[0.94277819 0.93980463 0.93300304 0.94186779 0.93891887 0.93277259
 0.94114406 0.94605378 0.93749302 0.94213784]";80.84$\pm$0.97;"[0.81839958 0.80643721 0.81279593 0.80119109 0.81715629 0.78492343
 0.80830234 0.81746163 0.80328306 0.81399494]";94.42$\pm$0.57;"[0.9531569  0.93807633 0.94139611 0.94293358 0.93991265 0.941929
 0.93590875 0.94725507 0.95224841 0.94948313]";94.46$\pm$0.65;"[0.94539722 0.92968685 0.94377613 0.9538723  0.95121503 0.9442118
 0.95091618 0.94402999 0.93982263 0.94268153]";91.34$\pm$0.97;"[0.8991205  0.91359563 0.92331733 0.91214817 0.91468662 0.89268676
 0.91888856 0.92545508 0.9185609  0.91534553]";93.95$\pm$0.9;"[0.93358634 0.92324892 0.93699974 0.93503379 0.93752183 0.93270418
 0.95246265 0.95259774 0.94900785 0.94143932]";90.72$\pm$1.01;"[0.90762332 0.89390377 0.89564287 0.9077302  0.9163105  0.89016631
 0.91602965 0.90809951 0.91497107 0.92152962]";94.21$\pm$0.7;"[0.94116024 0.93615359 0.95067134 0.94600852 0.93496538 0.92724922
 0.94325764 0.94908045 0.94464028 0.94830572]";94.3$\pm$0.42;"[0.93958557 0.94223506 0.94595811 0.95219801 0.93788189 0.94004227
 0.94560525 0.94543329 0.93796111 0.94349888]";92.94$\pm$0.79;"[0.9228577  0.92058445 0.92747967 0.93639843 0.93673329 0.91297632
 0.93292382 0.93816783 0.93122072 0.93490057]";92.93$\pm$0.65;"[0.93351419 0.91776876 0.92583058 0.93800791 0.92435792 0.92164124
 0.92969405 0.93118737 0.93902329 0.93179322]";95.6$\pm$0.58;"[0.94177531 0.95437279 0.95544218 0.95906441 0.9555646  0.9572893
 0.96393967 0.96316405 0.95511812 0.9544592 ]";95.35$\pm$0.71;"[0.94819662 0.94180658 0.94982519 0.961304   0.95325659 0.95360225
 0.96673736 0.96035743 0.95311257 0.94718413]"
AP;94.01$\pm$0.71;"[0.9439327  0.93647786 0.94543026 0.94535365 0.93746215 0.92177335
 0.93991703 0.93842127 0.94567451 0.94630882]";94.64$\pm$0.67;"[0.94517096 0.94407541 0.9482453  0.94650398 0.9471438  0.93855348
 0.95703983 0.94880398 0.95511519 0.93315833]";94.23$\pm$0.89;"[0.94096192 0.93700205 0.94568898 0.94925604 0.94515846 0.92372089
 0.95657393 0.94728014 0.94545786 0.93190889]";94.84$\pm$0.82;"[0.94684756 0.94069315 0.95164119 0.96038591 0.95277148 0.92904484
 0.95357185 0.95303168 0.95080784 0.94518483]";93.41$\pm$0.78;"[0.93181602 0.92711735 0.94004237 0.94677561 0.93229689 0.919635
 0.94460492 0.92987079 0.93732371 0.93161503]";86.07$\pm$0.78;"[0.86826335 0.85840619 0.860153   0.85598231 0.86541867 0.84113086
 0.86246064 0.86855447 0.85867698 0.86823645]";94.88$\pm$0.53;"[0.9450311  0.94181908 0.95342918 0.95921567 0.95226709 0.94309729
 0.95058206 0.95032091 0.95008469 0.94249652]";93.1$\pm$0.88;"[0.93136543 0.92136136 0.93372001 0.94204834 0.92525464 0.91392089
 0.94503448 0.93541396 0.93291867 0.92849399]";95.35$\pm$0.66;"[0.94629366 0.94862403 0.95513113 0.95448308 0.96029923 0.95799293
 0.9608408  0.9470683  0.96164208 0.94221634]";95.28$\pm$0.78;"[0.9569307  0.94162006 0.9513359  0.95928995 0.95272345 0.94341561
 0.96696886 0.95745857 0.95499933 0.94279216]";94.38$\pm$1.01;"[0.9398547  0.92966791 0.95023102 0.95421553 0.94560138 0.93377874
 0.96414541 0.93827491 0.94757753 0.9342179 ]";92.45$\pm$0.93;"[0.92424592 0.90206365 0.92379675 0.93938284 0.92364599 0.9187207
 0.93355487 0.92888139 0.92387671 0.9267892 ]";94.22$\pm$0.53;"[0.94429591 0.94147629 0.93685951 0.94669686 0.94900986 0.93330708
 0.94772925 0.94573772 0.94164078 0.93475565]";94.19$\pm$0.52;"[0.94604107 0.93454388 0.94152218 0.94920396 0.93999903 0.93263831
 0.94920738 0.94344691 0.94284369 0.93973336]";93.08$\pm$0.84;"[0.92959056 0.92395278 0.93631619 0.93905733 0.9250846  0.91251303
 0.93414772 0.94325133 0.92910257 0.93513553]";86.07$\pm$0.78;"[0.86826335 0.85840619 0.860153   0.85598231 0.86541867 0.84113086
 0.86246064 0.86855447 0.85867698 0.86823645]";94.2$\pm$0.73;"[0.93625198 0.94670466 0.94267126 0.95685824 0.94226418 0.92840252
 0.94723683 0.93613812 0.94312587 0.94068427]";94.02$\pm$0.64;"[0.94400227 0.94035132 0.9354867  0.9486548  0.9421864  0.93376578
 0.94417283 0.94849334 0.93751383 0.92725653]";86.07$\pm$0.78;"[0.86826335 0.85840619 0.860153   0.85598231 0.86541867 0.84113086
 0.86246064 0.86855447 0.85867698 0.86823645]";94.64$\pm$0.5;"[0.95225566 0.94175024 0.94485095 0.94697424 0.94242054 0.9410918
 0.94507103 0.95196273 0.956068   0.9416265 ]";94.38$\pm$0.87;"[0.94596343 0.93111904 0.94286593 0.95766649 0.95000793 0.94415927
 0.95331375 0.94349661 0.94149648 0.92763764]";93.2$\pm$0.82;"[0.92366503 0.93415717 0.93884753 0.92895411 0.93392826 0.9138976
 0.93849449 0.94107592 0.94003856 0.92713753]";94.15$\pm$0.98;"[0.93437284 0.92524384 0.93807546 0.93497458 0.93986075 0.93745494
 0.95804392 0.95458644 0.95226163 0.93975633]";91.87$\pm$0.97;"[0.91767802 0.90927214 0.90629439 0.92235548 0.92236766 0.90077239
 0.93198765 0.92113415 0.92583427 0.92902906]";94.56$\pm$0.71;"[0.93999537 0.94207815 0.9544359  0.95184871 0.94021971 0.93251517
 0.95096671 0.95253493 0.95113921 0.93978668]";94.84$\pm$0.52;"[0.94361044 0.95211972 0.95030412 0.95898591 0.94561066 0.94277844
 0.95390877 0.94899455 0.94511814 0.94264634]";94.0$\pm$0.73;"[0.93466911 0.93545536 0.94055821 0.94498881 0.94625607 0.92217679
 0.94645026 0.9464539  0.94339019 0.93930212]";92.95$\pm$0.65;"[0.92914624 0.92107538 0.92643489 0.93741224 0.92107504 0.92664734
 0.93716781 0.92941765 0.94084271 0.92542607]";96.18$\pm$0.58;"[0.9504799  0.96102476 0.96305847 0.96630672 0.95423336 0.9614695
 0.97148921 0.96626351 0.96405013 0.95962362]";95.03$\pm$0.85;"[0.94562085 0.93746459 0.94839863 0.95720155 0.95429641 0.95011801
 0.96464387 0.95647435 0.95351962 0.93546277]"
