metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;48.19$\pm$4.11;"[0.47505878 0.45817938 0.49790057 0.58599261 0.46086664 0.47211958
 0.47161572 0.50453477 0.41913    0.47371515]";32.15$\pm$3.49;"[0.38201209 0.27955996 0.29988243 0.29568357 0.30567686 0.37982869
 0.32742694 0.34674169 0.28736984 0.31063151]";42.23$\pm$3.84;"[0.42542828 0.46624118 0.40871683 0.46422573 0.43130668 0.45456836
 0.42156533 0.41963386 0.32507558 0.40577763]";42.53$\pm$3.87;"[0.40460195 0.44398724 0.44785018 0.46607323 0.38117232 0.4845482
 0.43592543 0.42248908 0.34514612 0.42097749]";40.53$\pm$2.72;"[0.41081626 0.39620423 0.40191468 0.40997649 0.40762513 0.44877393
 0.35765872 0.43164259 0.36152167 0.42660396]";34.79$\pm$3.29;"[0.37285858 0.33901579 0.37991266 0.38167618 0.34489419 0.35262009
 0.33288546 0.31239503 0.27712462 0.38537118]";7.54$\pm$1.15;"[0.07658717 0.08901579 0.0856567  0.08280148 0.0838092  0.07751092
 0.05601276 0.05802822 0.06222707 0.0827175 ]";36.8$\pm$5.09;"[0.41585489 0.40510581 0.35303997 0.3327175  0.33263352 0.45423245
 0.38360766 0.34791737 0.26368828 0.39150151]";7.55$\pm$1.03;"[0.07306013 0.0875042  0.0893517  0.07885455 0.0867484  0.07415183
 0.05744038 0.0632348  0.06567014 0.07885455]";31.68$\pm$4.29;"[0.37269063 0.29870675 0.30802822 0.36110178 0.33112193 0.38763856
 0.27477326 0.27552906 0.25235136 0.30643265]";7.55$\pm$1.03;"[0.07306013 0.0875042  0.0893517  0.07885455 0.0867484  0.07415183
 0.05744038 0.0632348  0.06567014 0.07885455]";39.74$\pm$4.89;"[0.41224387 0.44281156 0.39091367 0.45557608 0.34405442 0.44843802
 0.40166275 0.33330534 0.31172321 0.43374202]";36.74$\pm$4.73;"[0.38259993 0.40099093 0.3668962  0.47111186 0.38108834 0.37932482
 0.31961706 0.32457172 0.29232449 0.3551394 ]";44.66$\pm$5.34;"[0.4698522  0.45817938 0.45448438 0.48866308 0.44583473 0.49832046
 0.4503695  0.41190796 0.30298959 0.48563991]";44.87$\pm$4.24;"[0.37369835 0.47992946 0.41610682 0.48874706 0.40309036 0.5088176
 0.4930299  0.44281156 0.41879409 0.46153846]";41.95$\pm$3.6;"[0.41333557 0.43239839 0.42727578 0.4874874  0.37277461 0.47060799
 0.4202217  0.39989923 0.36840779 0.40292241]";18.3$\pm$4.28;"[0.1992778  0.1856735  0.18500168 0.21598925 0.23253275 0.19818609
 0.23127309 0.08708431 0.13755459 0.15762513]";40.87$\pm$3.12;"[0.41157205 0.43810883 0.36496473 0.43827679 0.42257306 0.43298623
 0.38041653 0.44600269 0.35429963 0.39771582]";39.45$\pm$3.98;"[0.34648975 0.44541485 0.40443399 0.42400067 0.34136715 0.42878737
 0.39880752 0.38100437 0.33422909 0.44046019]";33.6$\pm$3.23;"[0.32465569 0.32826671 0.35026873 0.30702049 0.35136043 0.39654014
 0.35052066 0.33128989 0.26704736 0.35312395]";35.84$\pm$3.33;"[0.37285858 0.36336916 0.38201209 0.33960363 0.31877729 0.42643601
 0.32826671 0.38461538 0.31205912 0.35639906]";35.33$\pm$3.49;"[0.3628653  0.38033255 0.3610178  0.35740679 0.30853208 0.36563655
 0.37311051 0.37075915 0.26729929 0.38579106]"
Hits@50;67.23$\pm$4.1;"[0.71817266 0.69978166 0.68122271 0.72841787 0.68172657 0.68113873
 0.64259321 0.64326503 0.57851864 0.66854216]";48.83$\pm$2.55;"[0.52695667 0.47606651 0.4786698  0.49193819 0.4466745  0.50730601
 0.48841115 0.49848841 0.44885791 0.51956668]";59.18$\pm$2.81;"[0.62957676 0.61698018 0.61294928 0.59606987 0.57138058 0.61924756
 0.5757474  0.58666443 0.53048371 0.5786866 ]";59.57$\pm$3.42;"[0.62957676 0.62915687 0.6040477  0.60774269 0.59103124 0.63931811
 0.58464898 0.57373194 0.51519987 0.58238159]";57.43$\pm$3.14;"[0.58540477 0.60438361 0.56247901 0.61261337 0.56852536 0.60656701
 0.54585153 0.59119919 0.50445079 0.5613873 ]";52.05$\pm$4.06;"[0.51662748 0.53627813 0.55592879 0.54643937 0.51973463 0.55139402
 0.51671145 0.47119583 0.4261001  0.56466241]";14.07$\pm$1.75;"[0.12562983 0.15468593 0.15535774 0.14788378 0.1419214  0.13117232
 0.10681895 0.13595902 0.13469936 0.17332885]";54.34$\pm$4.41;"[0.57557944 0.60975815 0.54308028 0.57322808 0.49487739 0.56163923
 0.54551562 0.55760833 0.44297951 0.52997985]";14.12$\pm$1.18;"[0.12453813 0.15325831 0.15250252 0.1467081  0.14393685 0.13301982
 0.12680551 0.13486732 0.13394357 0.16232785]";48.25$\pm$3.79;"[0.52955996 0.48135707 0.43886463 0.53317098 0.49277796 0.51058112
 0.50151159 0.45834733 0.4066174  0.47262345]";14.12$\pm$1.18;"[0.12453813 0.15325831 0.15250252 0.1467081  0.14393685 0.13301982
 0.12680551 0.13486732 0.13394357 0.16232785]";57.17$\pm$2.8;"[0.59993282 0.58632852 0.5768391  0.5731441  0.5731441  0.60136043
 0.56970104 0.54400403 0.50243534 0.58993954]";53.76$\pm$4.03;"[0.5643265  0.57557944 0.53778972 0.61513268 0.53594222 0.536782
 0.50747397 0.52292576 0.45557608 0.52410144]";62.59$\pm$2.56;"[0.6419214  0.64225731 0.63461538 0.64376889 0.61546859 0.65678535
 0.62672153 0.62227074 0.55895197 0.61672825]";62.53$\pm$1.99;"[0.62487403 0.63301982 0.64460867 0.64460867 0.61916359 0.64318105
 0.6080786  0.61781995 0.5779308  0.63998992]";59.97$\pm$2.49;"[0.60984212 0.61991938 0.62101108 0.62898892 0.58036614 0.61773598
 0.57927444 0.59766544 0.54274437 0.59993282]";33.95$\pm$4.42;"[0.36597246 0.37596574 0.29811891 0.37680551 0.36261337 0.35354384
 0.34615385 0.264696   0.26343635 0.38730265]";56.45$\pm$3.13;"[0.57902251 0.60026873 0.55416527 0.57507558 0.56298287 0.56567014
 0.53611018 0.58422909 0.48883104 0.59867316]";56.31$\pm$3.84;"[0.54400403 0.61420894 0.57247229 0.58053409 0.56970104 0.60211622
 0.54392005 0.54786698 0.46993618 0.58607659]";49.37$\pm$3.18;"[0.47657037 0.51755123 0.5136043  0.47615049 0.5099093  0.53594222
 0.50319113 0.50688613 0.41560296 0.48186093]";53.02$\pm$2.14;"[0.53140746 0.54744709 0.53930131 0.52939201 0.52393349 0.56558616
 0.52200202 0.54056097 0.47841787 0.52443735]";52.69$\pm$2.81;"[0.5205744  0.56071549 0.50411488 0.53720188 0.50579442 0.54862277
 0.52762849 0.54761505 0.463218   0.55340947]"
Hits@100;80.54$\pm$1.71;"[0.81609002 0.82541149 0.80357743 0.82583137 0.82230433 0.80870003
 0.77468928 0.79954652 0.77939201 0.79862277]";63.82$\pm$2.2;"[0.66274773 0.60959019 0.6216829  0.66308364 0.62201881 0.64124958
 0.6584649  0.6430131  0.60094054 0.65913671]";73.17$\pm$1.88;"[0.74655694 0.7577259  0.73228082 0.74017467 0.73076923 0.74865637
 0.71682902 0.73857911 0.69037622 0.71456164]";73.22$\pm$1.94;"[0.75050386 0.74966409 0.72925764 0.74882432 0.72035606 0.76402419
 0.72379913 0.71934834 0.69566678 0.72085993]";70.91$\pm$2.52;"[0.70691972 0.72547867 0.71061471 0.72472288 0.70826335 0.73807524
 0.69591871 0.72640242 0.6419214  0.71221028]";66.13$\pm$2.57;"[0.67047363 0.66627477 0.68281827 0.68432986 0.66148808 0.6797951
 0.65686933 0.62546187 0.60303997 0.68231441]";22.49$\pm$1.18;"[0.22421901 0.23538797 0.23026537 0.23664763 0.22127981 0.21036278
 0.21111858 0.21447766 0.21741686 0.24798455]";67.95$\pm$2.53;"[0.68223043 0.71640914 0.68223043 0.70616392 0.65787706 0.69071213
 0.65594558 0.69037622 0.62487403 0.68844474]";22.25$\pm$1.01;"[0.2216997  0.23202889 0.23085321 0.22228754 0.21338596 0.21556937
 0.21615721 0.21388982 0.21330198 0.24563319]";63.16$\pm$1.89;"[0.66551898 0.64460867 0.61084985 0.66090024 0.617652   0.63444743
 0.63176016 0.60933826 0.6194995  0.62159893]";22.25$\pm$1.01;"[0.2216997  0.23202889 0.23085321 0.22228754 0.21338596 0.21556937
 0.21615721 0.21388982 0.21330198 0.24563319]";70.97$\pm$1.86;"[0.73992274 0.72371515 0.71808868 0.72875378 0.68642929 0.70607995
 0.7128821  0.69482701 0.67626806 0.70977494]";68.81$\pm$2.76;"[0.72069197 0.71750084 0.68701713 0.73110514 0.69289553 0.66946591
 0.67139738 0.68130668 0.63318777 0.67643601]";75.0$\pm$2.66;"[0.77124622 0.77015452 0.75738999 0.76326839 0.75243534 0.77216997
 0.71892845 0.75755794 0.68323816 0.75352704]";76.11$\pm$1.65;"[0.77947598 0.77704064 0.75906953 0.78325495 0.75503863 0.76528384
 0.74286194 0.76889486 0.72783003 0.75201545]";73.75$\pm$1.66;"[0.74731273 0.74294592 0.71918038 0.76234464 0.74126638 0.75864965
 0.71850857 0.73429627 0.70876722 0.74177024]";48.06$\pm$3.29;"[0.49806853 0.52124622 0.44390326 0.49286194 0.50067182 0.46741686
 0.49781659 0.42945919 0.43332214 0.52141418]";71.17$\pm$1.65;"[0.71346994 0.73513604 0.71624118 0.71666107 0.71498153 0.70759154
 0.68172657 0.73421229 0.68508566 0.71170642]";70.98$\pm$2.46;"[0.71943231 0.73664763 0.73950286 0.69810212 0.69499496 0.72556265
 0.68399395 0.72153174 0.65686933 0.72144777]";64.12$\pm$2.27;"[0.63579106 0.67374874 0.63663084 0.64805173 0.64166947 0.65502183
 0.63058448 0.67517635 0.59581794 0.61933154]";66.61$\pm$1.56;"[0.66971784 0.6907961  0.65451797 0.67307692 0.66493114 0.68357407
 0.65880081 0.67702385 0.6536782  0.63453141]";66.6$\pm$1.9;"[0.65569365 0.69029224 0.6496473  0.68550554 0.65199866 0.66577091
 0.65703729 0.68810883 0.63159221 0.68424589]"
ROCAUC;99.06$\pm$0.05;"[0.990868   0.99069604 0.9906714  0.99140989 0.99137251 0.99061399
 0.99013018 0.99029234 0.98947421 0.99042374]";98.46$\pm$0.06;"[0.985625   0.98443946 0.98393061 0.98520585 0.98434317 0.98521594
 0.98475039 0.98419544 0.98354442 0.98452886]";98.85$\pm$0.07;"[0.98791773 0.989016   0.98882956 0.98961473 0.98888321 0.98920727
 0.98791055 0.98818449 0.98755348 0.98796524]";98.82$\pm$0.07;"[0.9881587  0.98851468 0.98804642 0.98929358 0.98824968 0.98913164
 0.98792974 0.98765112 0.98683766 0.98786475]";98.75$\pm$0.05;"[0.98759354 0.98779241 0.98770456 0.9883097  0.98755829 0.98820354
 0.98745563 0.98752379 0.98658957 0.98661309]";98.5$\pm$0.07;"[0.9853895  0.98524457 0.9859937  0.9859076  0.98541193 0.98501813
 0.98509342 0.9840041  0.98349944 0.98467398]";93.74$\pm$0.17;"[0.93730024 0.93538959 0.94078116 0.93954553 0.9375479  0.93613766
 0.93558166 0.93779134 0.93581277 0.93839809]";98.67$\pm$0.08;"[0.98727313 0.98724183 0.98728793 0.98733069 0.98658124 0.98733043
 0.98650352 0.98672824 0.98452587 0.98645664]";93.74$\pm$0.15;"[0.93681338 0.93543073 0.94068155 0.93930631 0.93751334 0.93694252
 0.93578717 0.93732716 0.93588752 0.93785393]";98.38$\pm$0.08;"[0.98442313 0.98438255 0.98341354 0.9847734  0.98443081 0.98441184
 0.98371403 0.98310995 0.98326121 0.98202898]";93.74$\pm$0.15;"[0.93681338 0.93543073 0.94068155 0.93930631 0.93751334 0.93694252
 0.93578717 0.93732716 0.93588752 0.93785393]";98.62$\pm$0.07;"[0.98669156 0.98668993 0.98532195 0.98713698 0.98592922 0.9870421
 0.9860569  0.98550893 0.98525651 0.98604779]";98.73$\pm$0.07;"[0.98830774 0.98783769 0.98746419 0.98830291 0.98761883 0.98735037
 0.98648637 0.98667556 0.9861157  0.98701508]";98.91$\pm$0.06;"[0.98986143 0.9887322  0.98866448 0.99020434 0.98932217 0.98957489
 0.9884527  0.98882834 0.98819879 0.98867519]";98.97$\pm$0.05;"[0.98967465 0.99004279 0.98988893 0.99079172 0.9893895  0.98991775
 0.98963981 0.98935608 0.98907005 0.98950429]";98.88$\pm$0.05;"[0.98865512 0.98910753 0.98844516 0.98992895 0.98855608 0.9895194
 0.98865776 0.98835976 0.98804    0.9885916 ]";96.73$\pm$0.26;"[0.96817406 0.96923633 0.96794131 0.96798651 0.96803238 0.95996087
 0.96876256 0.96767719 0.96648642 0.96895244]";98.78$\pm$0.05;"[0.98786265 0.98846803 0.98771063 0.98828193 0.98816547 0.98822651
 0.98702418 0.98751591 0.9868427  0.9876107 ]";98.74$\pm$0.08;"[0.98759735 0.98778238 0.98737749 0.98821564 0.98773548 0.98812209
 0.98707735 0.98672298 0.98550626 0.9876715 ]";98.47$\pm$0.09;"[0.98440845 0.98542363 0.98450599 0.98519327 0.98584829 0.9856172
 0.98429719 0.98504829 0.98293269 0.98381006]";98.56$\pm$0.04;"[0.98520346 0.98591889 0.98570533 0.98628176 0.98571967 0.98535549
 0.98546019 0.98595824 0.98558908 0.98473077]";98.71$\pm$0.06;"[0.98674429 0.9878383  0.98715239 0.98782726 0.9864864  0.98766801
 0.98670689 0.98747208 0.98603028 0.98703408]"
AP;99.05$\pm$0.07;"[0.99069102 0.99066453 0.9909197  0.99187042 0.99116325 0.99005678
 0.98988088 0.99033218 0.98898561 0.99028704]";98.26$\pm$0.1;"[0.98436473 0.98185746 0.98169564 0.98353586 0.98180438 0.98404316
 0.98275355 0.98266469 0.9811655  0.98224213]";98.78$\pm$0.11;"[0.98736588 0.98875631 0.98836058 0.98911955 0.98811677 0.98890964
 0.98721786 0.98761114 0.98542677 0.98687438]";98.74$\pm$0.09;"[0.98740147 0.98786547 0.98745249 0.9887552  0.98718028 0.98880732
 0.98729232 0.9868547  0.98547994 0.98649061]";98.67$\pm$0.09;"[0.98658463 0.98706663 0.9870898  0.98755415 0.9868007  0.98807319
 0.98612902 0.98699721 0.98459079 0.98601803]";98.37$\pm$0.11;"[0.98406628 0.98370811 0.9853154  0.98476619 0.98378739 0.98426001
 0.98349363 0.98215215 0.98138123 0.98367792]";92.15$\pm$0.29;"[0.91986561 0.92155218 0.92685112 0.92447416 0.92184871 0.92137156
 0.91653625 0.91998186 0.91820029 0.92417291]";98.52$\pm$0.13;"[0.98604639 0.98629451 0.98557342 0.98582787 0.98426106 0.98647339
 0.98503007 0.985088   0.98182055 0.98511608]";92.13$\pm$0.25;"[0.91980449 0.92189825 0.9260586  0.92407287 0.92157271 0.92135322
 0.91769437 0.91924977 0.91818108 0.92343231]";98.16$\pm$0.14;"[0.9828278  0.98236533 0.98089189 0.98356183 0.98210942 0.98311521
 0.98150445 0.98053391 0.9804921  0.9787923 ]";92.13$\pm$0.25;"[0.91980449 0.92189825 0.9260586  0.92407287 0.92157271 0.92135322
 0.91769437 0.91924977 0.91818108 0.92343231]";98.56$\pm$0.09;"[0.98602763 0.98653359 0.98534091 0.9868515  0.98486427 0.98687165
 0.98560974 0.98437293 0.98406973 0.98592477]";98.58$\pm$0.12;"[0.98702984 0.98680807 0.98621918 0.98753001 0.9861773  0.98606994
 0.98470339 0.98493179 0.9835615  0.98503323]";98.84$\pm$0.1;"[0.9889352  0.98866137 0.98844819 0.98954304 0.98845143 0.98954145
 0.98785602 0.98821087 0.98585259 0.98816689]";98.92$\pm$0.06;"[0.98890283 0.98961391 0.98905875 0.99044597 0.98864028 0.98982052
 0.98919685 0.9888618  0.98816493 0.98895801]";98.79$\pm$0.08;"[0.9874479  0.98824001 0.98783091 0.98934055 0.98731121 0.98924529
 0.98788115 0.9875305  0.9866631  0.98737858]";96.51$\pm$0.24;"[0.96701228 0.96726758 0.96476496 0.96699559 0.96623284 0.96068634
 0.96733077 0.96184272 0.96225322 0.96624933]";98.67$\pm$0.08;"[0.98686496 0.98758925 0.9865245  0.98679884 0.98710846 0.98742751
 0.98600508 0.98692595 0.98465128 0.98672124]";98.63$\pm$0.11;"[0.98622549 0.98750136 0.98673153 0.98699642 0.98656056 0.98742646
 0.98594556 0.98560709 0.98366994 0.9867191 ]";98.29$\pm$0.11;"[0.98197842 0.98366559 0.98286688 0.98339283 0.98417041 0.98448351
 0.98276055 0.98265586 0.98032488 0.98258965]";98.43$\pm$0.07;"[0.98404122 0.98500654 0.98469786 0.984968   0.98410751 0.98474363
 0.98398516 0.98496093 0.98304969 0.98322248]";98.52$\pm$0.09;"[0.98488941 0.98636629 0.98559396 0.98591814 0.98429629 0.98602084
 0.98477374 0.9856279  0.98302657 0.98515985]"
pretrain_time;nan$\pm$nan;[];31.67$\pm$0.04;"[31.62842941 31.66839361 31.69509983 31.6648066  31.70188951 31.68241382
 31.71819878 31.65942073 31.70581222 31.56867671]";62.59$\pm$0.02;"[62.59365511 62.58841896 62.60151553 62.61100721 62.59624529 62.62253428
 62.58628225 62.55533123 62.56297016 62.61782336]";19.17$\pm$0.01;"[19.17098999 19.18097997 19.17118859 19.16312218 19.16387415 19.16470337
 19.17606497 19.16323996 19.17268968 19.1584239 ]";26.77$\pm$0.01;"[26.76357484 26.77157688 26.75102925 26.76467133 26.78477693 26.75514698
 26.75201583 26.76158929 26.7859931  26.77020979]";15.97$\pm$0.01;"[15.97307062 15.97925067 15.97242498 15.97006273 15.982409   15.96579909
 15.97774029 15.9793601  15.97338605 15.95554113]";nan$\pm$nan;[];54.44$\pm$0.17;"[54.49548173 54.423419   54.4149406  54.51643372 54.37378931 54.42679977
 54.24674201 54.8791039  54.19951296 54.44216681]";nan$\pm$nan;[];18.06$\pm$0.63;"[19.9205184  17.90354967 17.75521922 18.04798841 17.74629283 17.80132699
 17.88598061 17.91640091 17.67773962 17.92403674]";nan$\pm$nan;[];3.01$\pm$0.04;"[3.02404404 3.00351834 3.01881909 3.04474807 3.04031754 3.02532339
 3.04035473 2.90061951 3.0161984  3.01004267]";142.63$\pm$3.05;"[144.2217443  141.92689776 143.47580385 142.94987988 148.90100121
 138.64860988 141.1452961  145.73431349 138.19623065 141.05294752]";64.75$\pm$0.92;"[62.75228977 63.98367143 64.64907813 65.26112294 65.4196198  65.47491169
 65.35730767 63.66459012 65.62756586 65.26132727]";40.63$\pm$0.43;"[39.8475318  40.65454578 40.86386061 40.95570159 41.10930252 40.96886039
 39.86818743 40.39338255 40.89202118 40.75693846]";10.77$\pm$0.08;"[10.85225701 10.8946259  10.80746269 10.70956063 10.65286875 10.64610076
 10.71241069 10.77403402 10.8385663  10.85711384]";27.67$\pm$0.06;"[27.78937483 27.66636729 27.65624404 27.71706986 27.64621925 27.6333921
 27.60223556 27.59181929 27.60150218 27.75008631]";99.08$\pm$0.22;"[99.55218863 99.06418753 99.38358426 98.96745467 98.84124947 99.1580143
 98.92578745 99.04355645 98.84788823 98.98937654]";42.6$\pm$3.41;"[38.48877764 38.79295492 45.54656196 47.43095398 44.41766381 42.17313623
 46.62664461 44.74926066 39.44503617 38.28404188]";130.09$\pm$4.52;"[131.89587593 133.89779353 139.89995217 127.82320166 125.37898755
 129.99273252 132.49689746 128.07684946 128.38149309 123.02484298]";2.78$\pm$0.1;"[2.75540161 2.66099787 2.75644302 2.75095654 2.76119757 2.75934744
 2.97879982 2.92964554 2.65875721 2.77473283]";23.04$\pm$0.5;"[23.18273592 23.0366745  22.0726459  23.58014607 23.00936007 22.55938458
 23.95943737 22.64944077 23.17571998 23.19000006]"
