metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;27.39$\pm$4.58;[0.2576 0.2896 0.288  0.232  0.2384 0.384  0.216  0.2688 0.3104 0.2544];38.24$\pm$3.68;[0.432  0.3296 0.392  0.3712 0.3856 0.4384 0.3872 0.4064 0.3616 0.32  ];24.38$\pm$1.35;[0.264  0.2512 0.2432 0.2448 0.2592 0.2416 0.232  0.2128 0.2432 0.2464];52.62$\pm$4.58;[0.6048 0.4624 0.4848 0.4816 0.56   0.5904 0.552  0.5168 0.512  0.4976];24.38$\pm$1.35;[0.264  0.2512 0.2432 0.2448 0.2592 0.2416 0.232  0.2128 0.2432 0.2464];43.94$\pm$3.64;[0.4896 0.3872 0.4    0.408  0.4016 0.4864 0.4448 0.4448 0.48   0.4512];24.38$\pm$1.35;[0.264  0.2512 0.2432 0.2448 0.2592 0.2416 0.232  0.2128 0.2432 0.2464];95.38$\pm$2.61;[0.976  0.8896 0.9712 0.9488 0.9696 0.9824 0.9472 0.9696 0.9312 0.952 ];96.5$\pm$1.42;[0.9696 0.9376 0.9744 0.9424 0.9632 0.9856 0.9584 0.9744 0.9728 0.9712];41.41$\pm$3.93;[0.4192 0.3456 0.4784 0.4192 0.3648 0.4624 0.4032 0.4448 0.416  0.3872];30.37$\pm$6.54;[0.3808 0.3184 0.264  0.3808 0.344  0.3184 0.3376 0.256  0.2864 0.1504];20.1$\pm$3.69;[0.2144 0.1472 0.2672 0.176  0.184  0.232  0.1648 0.2288 0.1648 0.2304];96.16$\pm$1.14;[0.9728 0.9488 0.9584 0.9504 0.968  0.9824 0.9568 0.9728 0.9456 0.96  ];96.46$\pm$1.73;[0.9744 0.9552 0.9712 0.9216 0.9792 0.9856 0.976  0.9536 0.968  0.9616];36.7$\pm$3.66;[0.432  0.3888 0.3408 0.3552 0.3792 0.3856 0.32   0.4112 0.3408 0.3168];46.9$\pm$5.37;[0.576  0.4416 0.4144 0.44   0.4576 0.5488 0.4208 0.4848 0.4928 0.4128];44.7$\pm$3.32;[0.488  0.384  0.4144 0.4832 0.4144 0.48   0.4624 0.4512 0.464  0.4288];91.6$\pm$2.96;[0.9472 0.8736 0.9264 0.8752 0.9472 0.9504 0.8864 0.9232 0.8912 0.9392];93.41$\pm$2.33;[0.9472 0.8816 0.952  0.9296 0.9536 0.9568 0.9136 0.9504 0.912  0.944 ];42.32$\pm$7.72;[0.4704 0.3168 0.52   0.4784 0.4976 0.4064 0.3168 0.5104 0.368  0.3472];27.94$\pm$2.63;[0.2928 0.2416 0.2784 0.2656 0.3264 0.3168 0.288  0.264  0.2448 0.2752];33.79$\pm$1.83;[0.3632 0.3456 0.3488 0.3504 0.3216 0.3456 0.3056 0.3568 0.3152 0.3264];79.87$\pm$4.87;[0.7984 0.7504 0.8176 0.8128 0.856  0.8912 0.7856 0.7216 0.7456 0.808 ];89.62$\pm$1.28;[0.88   0.8944 0.9104 0.8864 0.9184 0.8928 0.8816 0.904  0.8848 0.9088]
Hits@50;32.66$\pm$6.66;[0.3344 0.3472 0.3424 0.2752 0.2608 0.488  0.24   0.2864 0.3648 0.3264];49.71$\pm$2.52;[0.5344 0.4528 0.5216 0.488  0.48   0.5248 0.4864 0.52   0.4736 0.4896];28.56$\pm$0.96;[0.3072 0.2896 0.2768 0.2784 0.2944 0.2784 0.2784 0.2752 0.288  0.2896];68.66$\pm$3.39;[0.7296 0.6432 0.6608 0.6368 0.7296 0.6912 0.6848 0.7152 0.656  0.7184];28.56$\pm$0.96;[0.3072 0.2896 0.2768 0.2784 0.2944 0.2784 0.2784 0.2752 0.288  0.2896];60.78$\pm$3.51;[0.6176 0.568  0.5456 0.5872 0.64   0.6432 0.64   0.5712 0.6176 0.648 ];28.56$\pm$0.96;[0.3072 0.2896 0.2768 0.2784 0.2944 0.2784 0.2784 0.2752 0.288  0.2896];98.43$\pm$0.32;[0.9872 0.984  0.9824 0.9904 0.9824 0.9872 0.984  0.9808 0.9792 0.9856];99.09$\pm$0.28;[0.9888 0.992  0.9888 0.9952 0.9856 0.9888 0.9904 0.9936 0.992  0.9936];57.95$\pm$2.05;[0.5776 0.5328 0.5984 0.5664 0.6096 0.6016 0.5792 0.5824 0.5696 0.5776];40.08$\pm$7.74;[0.4704 0.4224 0.32   0.5008 0.4752 0.4048 0.4256 0.3232 0.424  0.2416];28.77$\pm$3.65;[0.304  0.2624 0.3264 0.2736 0.2576 0.3472 0.2288 0.3104 0.2496 0.3168];98.38$\pm$0.26;[0.984  0.9808 0.9808 0.9872 0.9808 0.9856 0.984  0.984  0.9824 0.9888];99.06$\pm$0.22;[0.9888 0.992  0.9888 0.992  0.9952 0.9904 0.9904 0.992  0.9872 0.9888];47.57$\pm$3.42;[0.5248 0.4672 0.448  0.4656 0.4848 0.5152 0.44   0.5296 0.448  0.4336];64.75$\pm$3.16;[0.6992 0.608  0.6064 0.624  0.6592 0.6832 0.6128 0.6496 0.6752 0.6576];58.06$\pm$2.85;[0.6144 0.5264 0.5616 0.5888 0.616  0.5952 0.6032 0.552  0.5936 0.5552];97.14$\pm$0.5;[0.968  0.9712 0.9664 0.9648 0.9792 0.9744 0.9712 0.9776 0.9648 0.976 ];97.57$\pm$0.64;[0.9776 0.976  0.9744 0.9744 0.9808 0.9712 0.976  0.984  0.96   0.9824];53.28$\pm$10.56;[0.6336 0.3984 0.6336 0.6192 0.6544 0.4736 0.4112 0.6416 0.44   0.4224];34.75$\pm$3.86;[0.3888 0.3216 0.3712 0.3072 0.3904 0.4128 0.3392 0.3024 0.3024 0.3392];38.82$\pm$2.15;[0.424  0.3744 0.3904 0.4096 0.3472 0.3904 0.3792 0.4128 0.3712 0.3824];93.54$\pm$1.33;[0.9424 0.9232 0.944  0.9296 0.9504 0.9488 0.9344 0.904  0.9328 0.944 ];91.95$\pm$1.18;[0.9232 0.9232 0.9168 0.9216 0.9392 0.9024 0.9008 0.9344 0.9104 0.9232]
Hits@100;37.57$\pm$8.97;[0.456  0.3856 0.384  0.3072 0.2784 0.568  0.256  0.3104 0.44   0.3712];59.12$\pm$1.69;[0.6256 0.568  0.5856 0.5984 0.5776 0.5968 0.5728 0.608  0.5792 0.6   ];34.56$\pm$1.29;[0.3664 0.3568 0.3248 0.336  0.3632 0.3472 0.3328 0.3504 0.3376 0.3408];78.77$\pm$2.62;[0.8048 0.7808 0.7552 0.7424 0.816  0.7888 0.7936 0.8176 0.76   0.8176];34.56$\pm$1.29;[0.3664 0.3568 0.3248 0.336  0.3632 0.3472 0.3328 0.3504 0.3376 0.3408];70.46$\pm$2.17;[0.7136 0.6704 0.6672 0.696  0.7296 0.712  0.7296 0.6912 0.7104 0.7264];34.56$\pm$1.29;[0.3664 0.3568 0.3248 0.336  0.3632 0.3472 0.3328 0.3504 0.3376 0.3408];98.69$\pm$0.22;[0.9872 0.984  0.9856 0.9904 0.984  0.9888 0.9872 0.9888 0.984  0.9888];99.33$\pm$0.21;[0.992  0.9952 0.9904 0.9968 0.992  0.9904 0.992  0.9952 0.9936 0.9952];68.75$\pm$2.88;[0.6768 0.6384 0.6656 0.6592 0.736  0.7216 0.7104 0.704  0.6752 0.688 ];49.26$\pm$7.77;[0.5648 0.5296 0.3904 0.6112 0.5488 0.4992 0.4928 0.4016 0.5248 0.3632];37.06$\pm$3.82;[0.3968 0.3424 0.416  0.36   0.3584 0.4176 0.288  0.3744 0.3472 0.4048];98.75$\pm$0.32;[0.9888 0.9872 0.9824 0.9872 0.984  0.9872 0.9888 0.9872 0.9872 0.9952];99.34$\pm$0.17;[0.992  0.9936 0.992  0.9952 0.9952 0.9936 0.9952 0.9952 0.9904 0.992 ];55.71$\pm$4.51;[0.6096 0.5568 0.5168 0.5344 0.5744 0.6224 0.5248 0.6192 0.5264 0.4864];73.17$\pm$2.53;[0.7552 0.6976 0.6912 0.7088 0.768  0.7392 0.7232 0.7408 0.7296 0.7632];69.26$\pm$2.2;[0.7392 0.6768 0.6464 0.6896 0.7056 0.7024 0.6944 0.6912 0.6896 0.6912];98.14$\pm$0.41;[0.9744 0.9792 0.9792 0.9856 0.984  0.976  0.9808 0.9872 0.9824 0.9856];98.32$\pm$0.42;[0.9824 0.9824 0.9872 0.9808 0.9872 0.9808 0.9824 0.9904 0.9744 0.984 ];61.49$\pm$12.25;[0.76   0.4656 0.7248 0.6896 0.7568 0.5392 0.4768 0.7424 0.4992 0.4944];44.29$\pm$3.48;[0.4688 0.4368 0.5008 0.3824 0.4592 0.4848 0.4368 0.4032 0.416  0.44  ];43.54$\pm$2.9;[0.4848 0.4192 0.44   0.44   0.3744 0.432  0.4128 0.4704 0.432  0.448 ];95.57$\pm$0.77;[0.9584 0.9536 0.96   0.9552 0.9616 0.9568 0.9616 0.9344 0.9536 0.9616];93.26$\pm$0.94;[0.9456 0.9344 0.9328 0.9264 0.944  0.9232 0.9136 0.9424 0.9312 0.9328]
ROCAUC;53.64$\pm$9.62;"[0.66417152 0.54666496 0.49758077 0.49672064 0.42483712 0.69081984
 0.4164352  0.48568576 0.66415104 0.47702784]";74.23$\pm$1.42;"[0.76862976 0.72570112 0.73265256 0.7584384  0.73967104 0.74201856
 0.72626688 0.7590272  0.73078528 0.73954048]";60.9$\pm$1.16;"[0.62639872 0.61553664 0.61451795 0.59856896 0.62743296 0.60135936
 0.61474048 0.59964672 0.59455488 0.59727872]";90.09$\pm$0.77;"[0.909184   0.89195264 0.89273846 0.89006336 0.9118208  0.90212096
 0.90344704 0.9055744  0.89334528 0.90855168]";60.9$\pm$1.16;"[0.62639872 0.61553664 0.61451795 0.59856896 0.62743296 0.60135936
 0.61474048 0.59964672 0.59455488 0.59727872]";82.13$\pm$1.41;"[0.82974208 0.7928576  0.8086359  0.8133504  0.83855616 0.83234048
 0.8357504  0.80887808 0.82176256 0.8315392 ]";60.9$\pm$1.16;"[0.62639872 0.61553664 0.61451795 0.59856896 0.62743296 0.60135936
 0.61474048 0.59964672 0.59455488 0.59727872]";98.74$\pm$0.21;"[0.98754816 0.98522368 0.98730513 0.9892736  0.98620672 0.9910272
 0.98927872 0.987456   0.98312704 0.98718592]";99.08$\pm$0.16;"[0.99044608 0.990272   0.98712051 0.9924864  0.99116032 0.99111424
 0.989248   0.99178496 0.9911552  0.99281792]";79.82$\pm$1.76;"[0.8038912  0.7612032  0.79596923 0.79130112 0.8231296  0.8087808
 0.82032896 0.80524288 0.78062592 0.79125248]";67.89$\pm$7.48;"[0.72873984 0.71097728 0.56372308 0.790752   0.7274624  0.70634624
 0.6915456  0.56974848 0.72009728 0.57969152]";55.1$\pm$3.09;"[0.5703936  0.52474624 0.60815128 0.56668672 0.52198144 0.57082368
 0.4929792  0.55152896 0.53746688 0.56550912]";98.86$\pm$0.2;"[0.98625024 0.98609664 0.98674103 0.98972416 0.98957824 0.99112448
 0.98833152 0.98983936 0.98649088 0.99169152]";99.08$\pm$0.2;"[0.9893504  0.98880512 0.9894     0.99253248 0.9946624  0.99279616
 0.99097984 0.9920128  0.99013888 0.98763008]";71.55$\pm$3.56;"[0.76462592 0.71072256 0.69642821 0.72456192 0.72359168 0.734208
 0.69578496 0.76564992 0.70337536 0.63578112]";82.3$\pm$2.43;"[0.839744   0.78436352 0.80630256 0.79683584 0.86456064 0.82467328
 0.79957504 0.82898944 0.83643392 0.84865536]";83.32$\pm$1.48;"[0.85905152 0.81797504 0.81156667 0.817152   0.84425984 0.8413696
 0.83480064 0.84892672 0.83492864 0.8215552 ]";98.24$\pm$0.42;"[0.97524736 0.97626624 0.98428846 0.98187904 0.98479872 0.98488832
 0.98114688 0.98929664 0.97974784 0.98653696]";98.36$\pm$0.43;"[0.98295808 0.97797504 0.98572821 0.98583808 0.98713984 0.98683136
 0.97910016 0.99038464 0.976      0.98432256]";76.0$\pm$10.02;"[0.8702464  0.64791552 0.84358462 0.84759296 0.86840064 0.6834944
 0.64073472 0.86610944 0.6583424  0.67323136]";59.29$\pm$2.73;"[0.59224064 0.60173568 0.65160513 0.55460864 0.58083584 0.62511104
 0.59333888 0.56317952 0.57316608 0.59288576]";58.09$\pm$2.37;"[0.62494976 0.5605376  0.5819641  0.5948672  0.5350272  0.57090048
 0.57003776 0.60765184 0.57993216 0.58355968]";96.24$\pm$0.57;"[0.9591552  0.95727616 0.96344359 0.9614976  0.97011456 0.97186816
 0.96378112 0.95411968 0.955648   0.96684288]";95.38$\pm$0.84;"[0.9654528  0.95612672 0.95397179 0.94311936 0.96617216 0.94934016
 0.9409152  0.96018176 0.94614912 0.95702912]"
AP;65.9$\pm$6.27;"[0.72722428 0.66357352 0.64954936 0.6227497  0.59075156 0.77677431
 0.57202249 0.62176313 0.7310851  0.63420589]";79.82$\pm$1.27;"[0.81955927 0.77805902 0.79743245 0.80478784 0.79829356 0.80757112
 0.78721535 0.81439263 0.78833573 0.78612735]";67.76$\pm$0.92;"[0.69240559 0.68683389 0.67614843 0.67271357 0.69142547 0.67610302
 0.67546885 0.66781333 0.66359998 0.67309316]";90.56$\pm$0.85;"[0.91566824 0.89277207 0.89489986 0.89371382 0.91437075 0.91188535
 0.90763081 0.90991209 0.9017835  0.91297943]";67.76$\pm$0.92;"[0.69240559 0.68683389 0.67614843 0.67271357 0.69142547 0.67610302
 0.67546885 0.66781333 0.66359998 0.67309316]";85.36$\pm$1.09;"[0.8593678  0.83365976 0.83915478 0.84548148 0.86574278 0.86616536
 0.86306736 0.84713975 0.85687107 0.85918798]";67.76$\pm$0.92;"[0.69240559 0.68683389 0.67614843 0.67271357 0.69142547 0.67610302
 0.67546885 0.66781333 0.66359998 0.67309316]";98.94$\pm$0.21;"[0.9888425  0.98694582 0.98965285 0.9908526  0.9904773  0.99370265
 0.99108506 0.98869658 0.98738125 0.98646923]";99.21$\pm$0.11;"[0.99175955 0.99141684 0.99021388 0.9934943  0.99284977 0.99365735
 0.99157813 0.99239031 0.99299224 0.99095567]";83.75$\pm$1.52;"[0.83971207 0.80037258 0.83884179 0.82707679 0.85412559 0.85291761
 0.8492066  0.84671647 0.82946147 0.83628109]";74.36$\pm$5.52;"[0.78452416 0.76460123 0.66850933 0.81995448 0.78602774 0.76369965
 0.75851616 0.67862911 0.76628867 0.64506164]";64.62$\pm$2.99;"[0.66027804 0.61102452 0.69575203 0.64848664 0.62953882 0.67438311
 0.58967821 0.65398184 0.63091034 0.66749507]";99.0$\pm$0.18;"[0.98904025 0.98714857 0.98947441 0.99142544 0.9920218  0.9933326
 0.98901959 0.99071713 0.98965641 0.98836199]";99.13$\pm$0.27;"[0.99082615 0.98891378 0.99063278 0.99287264 0.99519572 0.99495054
 0.99027436 0.99125063 0.99244614 0.98572118]";78.21$\pm$2.55;"[0.82024307 0.78134012 0.76966244 0.7824356  0.78891468 0.79931709
 0.76002939 0.81750939 0.77164891 0.72993801]";86.16$\pm$1.6;"[0.8785201  0.8376809  0.84635852 0.8426336  0.88300686 0.8716335
 0.84485084 0.8657797  0.87309428 0.87223911]";85.73$\pm$1.07;"[0.87572149 0.84366881 0.83954686 0.85227961 0.86233429 0.86773699
 0.85708969 0.86136057 0.86468172 0.84857799]";98.5$\pm$0.3;"[0.98223692 0.98086264 0.9867988  0.98185493 0.98720667 0.98895255
 0.98298571 0.98964652 0.98318063 0.98665364]";98.66$\pm$0.34;"[0.98642115 0.98057118 0.98793337 0.98834371 0.9887996  0.99055725
 0.98251526 0.99114162 0.9827357  0.98708604]";81.5$\pm$6.6;"[0.88418399 0.73790745 0.87249218 0.87055696 0.88825744 0.77312219
 0.73521174 0.88487856 0.74801566 0.75511713]";69.97$\pm$1.91;"[0.71111474 0.69450912 0.73154705 0.67038793 0.70714832 0.72733356
 0.69940063 0.67869017 0.68134982 0.6955633 ]";70.51$\pm$1.69;"[0.73578016 0.69231293 0.70902088 0.71394788 0.6728351  0.70167614
 0.69542141 0.72667954 0.69973768 0.70368687]";96.96$\pm$0.52;"[0.96721706 0.9647016  0.97189111 0.96853738 0.97629341 0.97842291
 0.97096957 0.96157453 0.96367894 0.97232019]";96.99$\pm$0.49;"[0.97553328 0.97081703 0.97148909 0.96460841 0.97773191 0.967853
 0.96255738 0.97457669 0.96367429 0.97048503]"
pretrain_time;nan$\pm$nan;[];37.3$\pm$1.33;"[37.61221504 38.17933369 38.09362078 38.13274956 38.1277051  38.18914676
 38.10390186 37.17521167 34.75314665 34.66509032]";nan$\pm$nan;[];2.57$\pm$0.15;"[2.85677505 2.83857322 2.69158769 2.47580576 2.48411179 2.48537087
 2.47332764 2.47969317 2.46297574 2.46495199]";nan$\pm$nan;[];2.08$\pm$0.01;"[2.06778359 2.06555367 2.07697344 2.07285738 2.08680463 2.09295917
 2.09117723 2.08071566 2.06238103 2.0636189 ]";nan$\pm$nan;[];40.13$\pm$0.55;"[41.77163291 39.8989222  39.98061442 39.87363386 39.97274637 39.93479919
 39.98476338 39.85533929 39.96148586 40.10490465]";16.24$\pm$0.02;"[16.2752347  16.26237154 16.22035527 16.23382854 16.21949673 16.23030853
 16.21748996 16.27389455 16.25116301 16.24139428]";87.11$\pm$1.39;"[88.0470283  89.07213044 85.88093281 89.57469845 88.31540251 86.08411121
 85.93141055 86.08686543 86.10466981 86.05049372]";1.84$\pm$0.06;"[1.88168907 1.72330523 1.72360682 1.80718398 1.89938331 1.87475491
 1.87159348 1.88744664 1.88198686 1.88015532]";51.54$\pm$0.35;"[50.94695878 52.04908156 51.32572579 51.86330748 51.90775728 51.31232285
 51.10343242 51.50958586 51.52420616 51.82736278]";22.05$\pm$0.01;"[22.04617214 22.0512805  22.04962921 22.03993487 22.04716372 22.05067897
 22.0503912  22.05644822 22.07545662 22.04019046]";94.89$\pm$0.09;"[94.95470643 95.02692461 94.80441284 94.76661301 94.90271735 94.9162972
 94.75508595 94.88745666 94.8334887  95.01756954]";34.56$\pm$0.15;"[34.45368719 34.83698463 34.41935802 34.42030883 34.43585038 34.67042375
 34.67173958 34.37367272 34.68709779 34.66231918]";3.31$\pm$0.12;"[3.39262795 3.36645746 3.36415267 3.36652899 3.36791945 3.37565732
 3.37390757 3.35707879 3.06818986 3.06812835]";2.27$\pm$0.08;"[2.23699379 2.23005223 2.23555446 2.23122907 2.23489094 2.24196768
 2.22058058 2.2489357  2.41482449 2.43395257]";42.31$\pm$0.59;"[41.87489986 41.91416979 41.86192155 41.85743999 41.84507179 41.92228937
 42.36778307 43.05744028 42.89384246 43.52888203]";52.87$\pm$0.19;"[52.67447782 52.46271825 52.66678572 53.09861135 53.0046978  52.96331239
 52.97151113 52.93357372 52.99211717 52.93649197]";13.02$\pm$1.4;"[13.14754319 13.90005994 11.41873956 11.42024279 11.40465069 13.83235836
 13.84019685 11.40268421 14.82368159 14.98990583]";31.79$\pm$0.15;"[31.94185972 31.9289856  31.56365585 31.90372658 31.51215601 31.65469933
 31.80466413 31.89735484 31.76144075 31.93321848]";90.93$\pm$2.21;"[93.42647862 91.71992946 92.48594093 87.18526506 92.72965789 91.80442643
 88.58056116 87.30399871 91.56217766 92.4583714 ]";85.77$\pm$1.9;"[81.71964765 86.11839271 86.60691643 86.30239725 87.14773726 86.45890045
 87.34481215 86.30546474 87.31112242 82.42782044]";39.65$\pm$0.92;"[39.44281459 39.03547263 40.1827023  42.08455181 39.01461816 40.2127912
 39.19836068 38.96260571 39.26426387 39.12750626]"
