metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;62.16$\pm$4.95;"[0.64169675 0.65117329 0.63583032 0.63831227 0.63222022 0.60040614
 0.68118231 0.66809567 0.51060469 0.55685921]";55.19$\pm$4.91;"[0.56407942 0.57017148 0.62184116 0.60604693 0.47044224 0.50248195
 0.59476534 0.56453069 0.48420578 0.53993682]";8.97$\pm$1.52;"[0.08506318 0.08393502 0.07648917 0.06159747 0.09769856 0.09566787
 0.08303249 0.09837545 0.12251805 0.09228339]";47.18$\pm$5.94;"[0.45938628 0.52775271 0.48894404 0.55798736 0.47833935 0.41719314
 0.49187726 0.53068592 0.41042419 0.35491877]";49.27$\pm$7.17;"[0.54963899 0.56114621 0.52301444 0.54783394 0.44494585 0.42215704
 0.58935018 0.51286101 0.3700361  0.40613718]";9.36$\pm$2.33;"[0.0859657  0.08032491 0.07761733 0.05934116 0.09273466 0.09611913
 0.09228339 0.10401625 0.1541065  0.09386282]";58.06$\pm$4.0;"[0.58867329 0.57716606 0.65117329 0.61642599 0.55888989 0.50361011
 0.60311372 0.60830325 0.54986462 0.54851083]";9.36$\pm$2.33;"[0.0859657  0.08032491 0.07761733 0.05934116 0.09273466 0.09611913
 0.09228339 0.10401625 0.1541065  0.09386282]";47.52$\pm$5.37;"[0.48781588 0.55482852 0.44268953 0.54174188 0.45622744 0.44065884
 0.50361011 0.5        0.46615523 0.35785199]";43.47$\pm$4.01;"[0.50654332 0.44855596 0.43163357 0.47382671 0.44043321 0.38244585
 0.43795126 0.45712996 0.40365523 0.36439531]";50.24$\pm$5.62;"[0.48037004 0.51962996 0.54783394 0.57490975 0.44314079 0.45464801
 0.56227437 0.53632671 0.38944043 0.51511733]";46.35$\pm$4.27;"[0.4517148  0.43840253 0.52978339 0.55415162 0.45509928 0.42351083
 0.4523917  0.4708935  0.44855596 0.41064982]";64.35$\pm$4.91;"[0.61462094 0.67666968 0.67373646 0.72292419 0.6107852  0.56656137
 0.71457581 0.60762635 0.64508123 0.60266245]";59.06$\pm$4.77;"[0.60965704 0.61281588 0.59724729 0.66809567 0.5958935  0.5575361
 0.6491426  0.5767148  0.54061372 0.49796931]";58.75$\pm$4.96;"[0.63447653 0.62342058 0.62522563 0.62342058 0.53542419 0.5433213
 0.62048736 0.63695848 0.51601986 0.51624549]";44.85$\pm$5.91;"[0.42373646 0.56340253 0.35649819 0.49751805 0.41087545 0.44426895
 0.50045126 0.47766245 0.43298736 0.37793321]";41.44$\pm$7.58;"[0.379287   0.47946751 0.3700361  0.49187726 0.32129964 0.36732852
 0.41967509 0.57987365 0.39440433 0.34115523]";52.18$\pm$4.51;"[0.55843863 0.53136282 0.5284296  0.56520758 0.46457581 0.45961191
 0.5426444  0.59950361 0.50112816 0.46728339]";40.39$\pm$5.52;"[0.4424639  0.39305054 0.40455776 0.50135379 0.37590253 0.36349278
 0.47179603 0.43027978 0.33393502 0.32197653]";64.24$\pm$4.36;"[0.6726083  0.70103791 0.63876354 0.64101986 0.59296029 0.64395307
 0.70058664 0.63357401 0.54941336 0.64959386]";54.85$\pm$5.75;"[0.5859657  0.53046029 0.49526173 0.61935921 0.57310469 0.50970217
 0.65365523 0.56272563 0.47969314 0.47495487]";53.22$\pm$5.4;"[0.48104693 0.52436823 0.55031588 0.61349278 0.55776173 0.45148917
 0.62951264 0.52572202 0.49638989 0.49210289]";58.45$\pm$5.33;"[0.566787   0.54016245 0.59860108 0.65546029 0.64508123 0.53880866
 0.64711191 0.62184116 0.50270758 0.52888087]";56.18$\pm$5.62;"[0.52933213 0.57490975 0.58935018 0.64711191 0.50879964 0.54422383
 0.66425993 0.56520758 0.48443141 0.5099278 ]"
Hits@50;78.38$\pm$2.34;"[0.80076715 0.77707581 0.78181408 0.79851083 0.78181408 0.76444043
 0.83574007 0.79016245 0.75586643 0.75157942]";73.89$\pm$3.47;"[0.75676895 0.75045126 0.7648917  0.76534296 0.73826715 0.69291516
 0.79399819 0.74774368 0.69584838 0.68276173]";18.5$\pm$2.81;"[0.1825361  0.17666968 0.17666968 0.16087545 0.17892599 0.21773466
 0.15049639 0.17576715 0.25361011 0.17621841]";67.49$\pm$4.25;"[0.68975632 0.7159296  0.69765343 0.68569495 0.64620939 0.65861913
 0.74774368 0.69020758 0.60333935 0.61371841]";67.74$\pm$3.83;"[0.72563177 0.71389892 0.6398917  0.69381769 0.6534296  0.66380866
 0.69765343 0.72766245 0.65207581 0.60649819]";18.11$\pm$3.22;"[0.15636282 0.17012635 0.18208484 0.1640343  0.18840253 0.21908845
 0.1448556  0.15997292 0.25812274 0.16809567]";76.56$\pm$2.87;"[0.80640794 0.76556859 0.78249097 0.78677798 0.73262635 0.72833935
 0.78474729 0.79738267 0.74706679 0.72495487]";18.11$\pm$3.22;"[0.15636282 0.17012635 0.18208484 0.1640343  0.18840253 0.21908845
 0.1448556  0.15997292 0.25812274 0.16809567]";67.41$\pm$2.99;"[0.66064982 0.71322202 0.68546931 0.67599278 0.66245487 0.65365523
 0.71389892 0.69765343 0.67012635 0.60785199]";63.6$\pm$2.08;"[0.65884477 0.62590253 0.63402527 0.67486462 0.60333935 0.64011733
 0.65546029 0.61213899 0.625      0.63064079]";71.16$\pm$2.14;"[0.72788809 0.70600181 0.70532491 0.71818592 0.69855596 0.69945848
 0.72337545 0.76083032 0.69878159 0.6775722 ]";64.61$\pm$4.03;"[0.62184116 0.64101986 0.65568592 0.71277076 0.65771661 0.57874549
 0.71457581 0.64440433 0.61146209 0.62251805]";81.0$\pm$2.46;"[0.80956679 0.82694043 0.80189531 0.82761733 0.8075361  0.76872744
 0.85379061 0.83303249 0.78880866 0.78226534]";76.8$\pm$2.74;"[0.80144404 0.78610108 0.7784296  0.79399819 0.75451264 0.77030686
 0.78181408 0.77572202 0.71773466 0.71999097]";74.61$\pm$2.31;"[0.76737365 0.77865523 0.7351083  0.75812274 0.7017148  0.73623646
 0.75157942 0.76240975 0.75631769 0.71322202]";62.44$\pm$3.17;"[0.61890794 0.64801444 0.57716606 0.65974729 0.60356498 0.62184116
 0.65861913 0.65365523 0.63605596 0.56633574]";61.13$\pm$4.51;"[0.61236462 0.67373646 0.58935018 0.63154332 0.6008574  0.60040614
 0.63695848 0.67960289 0.56565884 0.52211191]";71.96$\pm$3.14;"[0.75383574 0.7407491  0.72337545 0.73781588 0.683213   0.68027978
 0.76940433 0.73555957 0.68185921 0.68998195]";62.08$\pm$3.29;"[0.65500903 0.60604693 0.63966606 0.63176895 0.60040614 0.57874549
 0.66651625 0.6541065  0.61462094 0.56114621]";79.44$\pm$2.0;"[0.80076715 0.83280686 0.77955776 0.78948556 0.77933213 0.76962996
 0.82220217 0.80911552 0.78181408 0.7791065 ]";75.05$\pm$3.14;"[0.74142599 0.76105596 0.71525271 0.76647112 0.76195848 0.69426895
 0.81204874 0.77662455 0.74300542 0.73240072]";71.41$\pm$2.58;"[0.71412455 0.71028881 0.73962094 0.75022563 0.70848375 0.67193141
 0.74751805 0.72721119 0.68975632 0.68231047]";76.84$\pm$2.03;"[0.77098375 0.75248195 0.754287   0.77888087 0.76511733 0.78677798
 0.80505415 0.78452166 0.7549639  0.7308213 ]";77.68$\pm$3.39;"[0.78925993 0.79670578 0.79580325 0.80121841 0.7308213  0.7642148
 0.84544224 0.76782491 0.74120036 0.7357852 ]"
Hits@100;86.91$\pm$1.37;"[0.86777978 0.88537906 0.85852888 0.86462094 0.86777978 0.86800542
 0.89508123 0.88109206 0.84882671 0.85379061]";83.62$\pm$1.26;"[0.84183213 0.83438628 0.83619134 0.83055054 0.82897112 0.82423285
 0.86913357 0.84341155 0.82806859 0.82536101]";30.99$\pm$4.21;"[0.27166065 0.30099278 0.34363718 0.25699458 0.32220217 0.35830325
 0.26308664 0.27888087 0.39124549 0.3118231 ]";81.09$\pm$2.07;"[0.81994585 0.82423285 0.808213   0.80640794 0.79557762 0.81588448
 0.83506318 0.8416065  0.79490072 0.76669675]";81.35$\pm$2.16;"[0.82784296 0.83483755 0.79377256 0.82220217 0.80527978 0.81272563
 0.83912455 0.83799639 0.77549639 0.78587545]";31.32$\pm$3.61;"[0.27594765 0.30460289 0.33348375 0.26872744 0.31949458 0.34228339
 0.25970217 0.31972022 0.38605596 0.3224278 ]";87.48$\pm$1.38;"[0.88018953 0.87454874 0.88876354 0.8756769  0.87409747 0.86913357
 0.89237365 0.87793321 0.87703069 0.83844765]";31.32$\pm$3.61;"[0.27594765 0.30460289 0.33348375 0.26872744 0.31949458 0.34228339
 0.25970217 0.31972022 0.38605596 0.3224278 ]";81.68$\pm$1.85;"[0.81859206 0.83574007 0.79918773 0.83348375 0.81926895 0.79399819
 0.8416065  0.83483755 0.80347473 0.78813177]";78.37$\pm$1.54;"[0.7791065  0.81024368 0.78587545 0.79038809 0.7833935  0.77233755
 0.80437726 0.78610108 0.77098375 0.754287  ]";82.65$\pm$1.71;"[0.83754513 0.84318592 0.81069495 0.82084838 0.80843863 0.81656137
 0.85311372 0.84408845 0.83145307 0.79873646]";79.36$\pm$2.05;"[0.78971119 0.81385379 0.78181408 0.8118231  0.7883574  0.75902527
 0.83122744 0.80212094 0.78880866 0.76962996]";89.97$\pm$1.21;"[0.90726534 0.90681408 0.87770758 0.90523466 0.90072202 0.89079422
 0.92148014 0.90726534 0.8941787  0.88583032]";86.14$\pm$1.49;"[0.86935921 0.87703069 0.85559567 0.87138989 0.84250903 0.87364621
 0.86981047 0.87545126 0.84566787 0.83370939]";84.35$\pm$1.5;"[0.85672383 0.84792419 0.82558664 0.85649819 0.82851986 0.8551444
 0.85920578 0.85266245 0.83844765 0.81453069]";74.75$\pm$1.95;"[0.73781588 0.75722022 0.70712996 0.75       0.73916968 0.74120036
 0.77978339 0.77256318 0.75406137 0.73555957]";75.26$\pm$2.32;"[0.76376354 0.78542419 0.72066787 0.74300542 0.76308664 0.74052347
 0.7592509  0.79061372 0.74142599 0.71796029]";82.13$\pm$1.93;"[0.85018051 0.83122744 0.81859206 0.83303249 0.81520758 0.79106498
 0.8416065  0.83483755 0.80505415 0.7926444 ]";77.28$\pm$2.23;"[0.78068592 0.78655235 0.78722924 0.79241877 0.75947653 0.73691336
 0.79715704 0.79648014 0.7493231  0.74210289]";87.17$\pm$1.38;"[0.88244585 0.8984657  0.86620036 0.8657491  0.84905235 0.87093863
 0.88267148 0.88154332 0.86213899 0.85762635]";85.96$\pm$1.73;"[0.86642599 0.87319495 0.85221119 0.86890794 0.84747292 0.85672383
 0.89169675 0.86913357 0.84318592 0.82694043]";83.59$\pm$1.6;"[0.85040614 0.85221119 0.83799639 0.84544224 0.80685921 0.81385379
 0.85063177 0.85063177 0.82265343 0.82806859]";86.79$\pm$1.19;"[0.86958484 0.86552347 0.86597473 0.88334838 0.85965704 0.879287
 0.88470217 0.86890794 0.85807762 0.84363718]";88.27$\pm$1.33;"[0.8892148  0.88695848 0.87387184 0.89192238 0.87680505 0.88199458
 0.91110108 0.88673285 0.86665162 0.86191336]"
ROCAUC;98.05$\pm$0.13;"[0.98119029 0.98056568 0.98219439 0.98166584 0.97827215 0.97993975
 0.9806266  0.98212637 0.97942296 0.97885473]";97.79$\pm$0.15;"[0.97835704 0.97774177 0.97863613 0.98018177 0.97577177 0.97580919
 0.97941166 0.97918094 0.97612366 0.97744428]";74.49$\pm$0.55;"[0.74572308 0.75323786 0.75225143 0.73839345 0.7356147  0.74701547
 0.74413805 0.74970315 0.74262288 0.74061363]";97.82$\pm$0.16;"[0.97769982 0.97985063 0.97943791 0.97925063 0.97613089 0.97749506
 0.98031798 0.97964513 0.97682201 0.9756361 ]";97.74$\pm$0.17;"[0.97790364 0.97810891 0.97577259 0.97930824 0.97716911 0.97711604
 0.98017439 0.97813508 0.97584126 0.97427042]";74.64$\pm$0.6;"[0.74666541 0.7545776  0.75265856 0.74879873 0.73692812 0.75307047
 0.74333607 0.7463569  0.74482854 0.73629358]";98.15$\pm$0.15;"[0.98297089 0.98027807 0.98231094 0.98319573 0.98007041 0.9806857
 0.98297987 0.98323595 0.98094656 0.97864058]";74.64$\pm$0.6;"[0.74666541 0.7545776  0.75265856 0.74879873 0.73692812 0.75307047
 0.74333607 0.7463569  0.74482854 0.73629358]";97.92$\pm$0.18;"[0.9794559  0.97927739 0.97594812 0.97996826 0.98056932 0.9799033
 0.9811808  0.98101585 0.97905664 0.97588637]";97.82$\pm$0.13;"[0.97928581 0.98002489 0.9782654  0.97981537 0.97795228 0.97704059
 0.9788638  0.97678174 0.97802432 0.97554034]";97.83$\pm$0.12;"[0.97829284 0.9800254  0.97879206 0.97785846 0.97847528 0.97651182
 0.97813301 0.97997691 0.97862643 0.97614517]";97.76$\pm$0.16;"[0.97685447 0.97663507 0.97876595 0.98036879 0.97701751 0.97655425
 0.98071559 0.97708674 0.9766953  0.97558766]";98.84$\pm$0.11;"[0.98926427 0.98920154 0.98725132 0.98880959 0.98784002 0.98739135
 0.99088813 0.98855723 0.98807527 0.98711376]";98.42$\pm$0.15;"[0.98478541 0.98393425 0.98400947 0.98552571 0.98321935 0.98516092
 0.98683531 0.98425177 0.98342767 0.98086124]";98.26$\pm$0.15;"[0.98447254 0.98304666 0.98253965 0.98391661 0.98020959 0.98333186
 0.98361359 0.9826263  0.98311053 0.97951249]";96.41$\pm$0.15;"[0.9628055  0.96622786 0.96111237 0.96423922 0.96369355 0.96549853
 0.96571194 0.96379234 0.96521165 0.96246861]";97.22$\pm$0.13;"[0.97229021 0.97305958 0.97143958 0.97289107 0.97151063 0.97070063
 0.97451122 0.9728816  0.97273793 0.96989862]";97.78$\pm$0.19;"[0.97934408 0.97792915 0.97889887 0.97950691 0.97557358 0.97549225
 0.98051587 0.9777308  0.97819181 0.97444672]";97.67$\pm$0.18;"[0.97735672 0.97743807 0.97770092 0.97670576 0.97540812 0.97399375
 0.98009525 0.97785963 0.97650724 0.97352513]";98.05$\pm$0.13;"[0.98150665 0.98308217 0.98122382 0.97973939 0.97842147 0.97958267
 0.98024739 0.98041563 0.97922019 0.98116899]";98.23$\pm$0.1;"[0.98255668 0.9816999  0.98348698 0.98337776 0.98133643 0.98165647
 0.98371076 0.9828484  0.98212072 0.98035087]";97.99$\pm$0.14;"[0.9811683  0.98120353 0.98078403 0.98127623 0.97744477 0.97941614
 0.98064049 0.98023233 0.97973275 0.9775615 ]";97.96$\pm$0.15;"[0.9794211  0.97994166 0.97841207 0.98096797 0.97907942 0.97833446
 0.98218219 0.98175582 0.97885326 0.97725238]";98.47$\pm$0.13;"[0.98499959 0.98486549 0.98546457 0.98618963 0.98298214 0.98474486
 0.98676826 0.98494096 0.98414031 0.98207215]"
AP;98.21$\pm$0.16;"[0.98263466 0.98251055 0.98353709 0.98310493 0.98113549 0.9807483
 0.98408987 0.98396781 0.97968015 0.9795912 ]";97.88$\pm$0.2;"[0.97975014 0.97984796 0.97991638 0.98142616 0.97664505 0.97582569
 0.98134241 0.97927552 0.97624384 0.97737924]";79.23$\pm$0.53;"[0.79346127 0.79798474 0.79706165 0.78343475 0.78440041 0.79833776
 0.78960734 0.79557003 0.79571062 0.78788594]";97.68$\pm$0.25;"[0.9774477  0.97958966 0.9782945  0.97880045 0.97462699 0.97484226
 0.97978472 0.97836849 0.97351648 0.97268895]";97.66$\pm$0.25;"[0.97803205 0.97885675 0.9749494  0.97926752 0.97658909 0.97477257
 0.97983481 0.97757941 0.97335836 0.9723277 ]";79.29$\pm$0.53;"[0.79318149 0.79897803 0.79668594 0.78915503 0.78427204 0.79957164
 0.78944966 0.79469867 0.79735826 0.78520278]";98.21$\pm$0.16;"[0.98297447 0.98200627 0.98357152 0.98404491 0.98133309 0.98005251
 0.98410275 0.98299007 0.98103649 0.97921869]";79.29$\pm$0.53;"[0.79318149 0.79897803 0.79668594 0.78915503 0.78427204 0.79957164
 0.78944966 0.79469867 0.79735826 0.78520278]";97.79$\pm$0.23;"[0.97878318 0.97985895 0.97506029 0.9797655  0.97741965 0.97817565
 0.98030783 0.9795843  0.97757504 0.9727244 ]";97.55$\pm$0.2;"[0.97705056 0.97813266 0.97591279 0.97844539 0.97583817 0.97362442
 0.97623033 0.97400711 0.97415688 0.97198651]";97.78$\pm$0.15;"[0.97822958 0.97985777 0.97803781 0.97875319 0.97771525 0.97564235
 0.97904021 0.97903352 0.97643513 0.97500641]";97.65$\pm$0.21;"[0.97544489 0.97639904 0.9783418  0.98058589 0.97602102 0.97420102
 0.97930241 0.97585631 0.97466204 0.97408389]";98.79$\pm$0.15;"[0.98887035 0.98959729 0.98745409 0.98872919 0.98705015 0.98648237
 0.990767   0.98693799 0.98731949 0.98571954]";98.36$\pm$0.19;"[0.9840838  0.98465843 0.98426942 0.98571172 0.98316435 0.98353027
 0.98639476 0.98347715 0.98137333 0.9796929 ]";98.21$\pm$0.17;"[0.98415404 0.98372009 0.98221866 0.98333698 0.979495   0.98205223
 0.98378793 0.98215309 0.98160249 0.97887326]";96.6$\pm$0.21;"[0.96469002 0.96933702 0.96272864 0.96706959 0.96523041 0.96607026
 0.96882687 0.96671094 0.96635054 0.96277724]";97.05$\pm$0.22;"[0.97096934 0.9736246  0.9695099  0.97218031 0.96955783 0.96795589
 0.9729431  0.97251543 0.96955998 0.9665556 ]";97.76$\pm$0.21;"[0.97904045 0.97837096 0.97871285 0.9798321  0.97562367 0.97410279
 0.9804704  0.97880721 0.97680635 0.97453741]";97.4$\pm$0.28;"[0.97617551 0.97501717 0.97582434 0.97586307 0.9732374  0.96952058
 0.97756793 0.97489356 0.97312117 0.96859217]";98.24$\pm$0.13;"[0.98349034 0.98461885 0.98308676 0.98219013 0.98094691 0.98168443
 0.98368071 0.9826835  0.9799334  0.98200969]";98.2$\pm$0.16;"[0.98276971 0.98226191 0.98294181 0.98396564 0.98119077 0.98055143
 0.9849513  0.9820995  0.98014814 0.97942319]";97.97$\pm$0.18;"[0.98039942 0.98155261 0.98069751 0.98276406 0.97753461 0.97750607
 0.9810419  0.97926566 0.97882864 0.97725985]";98.1$\pm$0.15;"[0.97993786 0.98200701 0.98097841 0.98300631 0.98076184 0.97970842
 0.98322919 0.98238557 0.97920548 0.97875191]";98.4$\pm$0.18;"[0.98453151 0.98523198 0.98546344 0.98648144 0.98222468 0.98292135
 0.98645882 0.98354382 0.98175475 0.9811486 ]"
pretrain_time;nan$\pm$nan;[];34.24$\pm$0.03;"[34.24188352 34.25245547 34.27969408 34.28189635 34.23324728 34.22055578
 34.21897554 34.20487618 34.21306157 34.21153402]";nan$\pm$nan;[];23.91$\pm$5.47;"[19.68653584 28.54767752 22.69446778 19.55303049 35.8081646  22.68487144
 19.58394313 19.78666306 20.07571697 30.67975616]";71.69$\pm$7.66;"[68.53255105 73.9005456  70.24921584 65.99118447 64.59446907 65.47469378
 78.93882942 65.81280398 90.69021916 72.67041945]";nan$\pm$nan;[];84.62$\pm$7.05;"[ 82.83164835  78.49477363  78.82174873  82.58022857  78.35033655
  87.75801206  79.94334054  91.96669984 101.72853065  83.71650243]";nan$\pm$nan;[];103.12$\pm$4.43;"[102.25801969 100.78927779 101.90183973  99.82684207  99.38369751
 110.42538142 112.93257666 102.73063207 100.43034053 100.49177361]";81.96$\pm$0.05;"[81.87013197 81.9414773  81.9499259  82.02818727 81.9298954  81.90381241
 81.9778564  81.93943381 81.97126794 82.05762029]";9.7$\pm$0.02;"[9.68651342 9.71374655 9.69330215 9.69883966 9.65300131 9.65964723
 9.70478821 9.72543836 9.69790053 9.7251761 ]";11.65$\pm$0.34;"[11.94225073 12.00328445 11.97838807 11.18217301 11.25892067 11.78596711
 12.12179685 11.6882782  11.2988317  11.28553605]";324.91$\pm$0.26;"[325.25447464 325.28306532 324.94314456 324.86804414 325.16613698
 324.67477059 324.43693805 325.03014565 324.7017417  324.7160449 ]";338.46$\pm$3.55;"[336.08156967 335.85616088 339.43319225 336.52388811 342.69463301
 335.5907855  335.59345317 341.72861457 335.32233477 345.80677462]";6.21$\pm$0.03;"[6.18238235 6.18364954 6.18363953 6.18123794 6.18803978 6.24809027
 6.24637866 6.24752235 6.24902773 6.19017196]";34.08$\pm$6.88;"[33.38529634 27.50551343 27.92041802 42.8902657  42.92769313 46.10397792
 34.15628767 29.88421106 27.9945333  28.05963445]";119.12$\pm$11.49;"[147.64961743 114.46692419 105.45829177 118.87107658 116.04494357
 120.93392015 112.65262961 128.75206757 106.83692265 119.5834012 ]";13.28$\pm$1.59;"[15.30124903 10.25889039 13.83054495 11.68182182 14.57915902 12.89021778
 13.79561806 14.16170597 11.34669471 14.92849731]";75.71$\pm$6.43;"[69.60746288 67.70545602 91.41077089 73.83363461 76.40015841 75.80420852
 79.36911678 73.79735136 69.95984077 79.19338822]";263.04$\pm$4.76;"[259.66453934 259.38708425 259.54948425 258.29118919 263.386235
 274.44789672 259.39977098 267.18827367 265.60999799 263.44699478]";23.32$\pm$1.76;"[26.15252233 24.58665752 21.37616253 22.0150528  23.74363136 23.69718194
 22.33847785 24.77075696 19.99704528 24.47695661]";33.87$\pm$2.26;"[33.62765789 34.45468283 37.45480084 37.37277675 33.57248425 30.2168386
 31.66545558 34.96736789 31.36897206 34.01297927]";72.34$\pm$5.03;"[70.37310481 70.03459263 79.82207799 69.02964664 68.04984474 68.98322344
 74.78372741 68.58502316 70.29625821 83.41603446]";28.74$\pm$3.25;"[26.89376545 27.02255011 26.98132777 27.078336   28.9723568  27.56306028
 26.77906394 37.03309774 32.53875995 26.4976213 ]"
