metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;49.18$\pm$3.6;"[0.49132256 0.44464393 0.54697786 0.48174746 0.42549372 0.497307
 0.48354279 0.49910233 0.50209455 0.54578097]";43.05$\pm$4.09;"[0.42848594 0.47097546 0.47157391 0.37821664 0.39437463 0.44643926
 0.41950928 0.35487732 0.4769599  0.46319569]";2.8$\pm$0.51;"[0.0299222  0.03411131 0.02812687 0.0353082  0.02333932 0.03171753
 0.02154399 0.01974865 0.02513465 0.03111909]";39.65$\pm$3.95;"[0.43566727 0.35667265 0.37941352 0.46140036 0.40454817 0.43626571
 0.36864153 0.3219629  0.40095751 0.39916218]";2.66$\pm$0.77;"[0.0299222  0.02633154 0.03171753 0.02812687 0.02154399 0.01675643
 0.02333932 0.0149611  0.0299222  0.04308797]";37.6$\pm$3.31;"[0.37163375 0.40694195 0.35607421 0.37761819 0.29503291 0.42130461
 0.35966487 0.39497307 0.39138241 0.38539797]";39.82$\pm$3.08;"[0.39257929 0.36804309 0.36026332 0.40993417 0.38779174 0.37701975
 0.43865949 0.37522442 0.41053262 0.4619988 ]";2.66$\pm$0.77;"[0.0299222  0.02633154 0.03171753 0.02812687 0.02154399 0.01675643
 0.02333932 0.0149611  0.0299222  0.04308797]";36.4$\pm$3.03;"[0.36744464 0.38240575 0.37522442 0.41352484 0.31178935 0.3722322
 0.35248354 0.34111311 0.39916218 0.32435667]";30.99$\pm$2.59;"[0.30520646 0.29144225 0.30101735 0.29563136 0.26750449 0.30281269
 0.35487732 0.35487732 0.32136445 0.30400958]";37.53$\pm$4.83;"[0.35667265 0.37522442 0.37881508 0.38300419 0.2758827  0.40095751
 0.32315978 0.37103531 0.4374626  0.45122681]";40.46$\pm$3.83;"[0.4470377  0.39078396 0.3572711  0.39916218 0.3722322  0.4021544
 0.4171155  0.3464991  0.44404548 0.46977858]";41.71$\pm$2.31;"[0.42010772 0.42130461 0.46439258 0.42489527 0.38120886 0.41591861
 0.39557151 0.39078396 0.41591861 0.44105326]";41.27$\pm$4.7;"[0.40335129 0.39257929 0.46439258 0.47995212 0.32794734 0.41472172
 0.41053262 0.3464991  0.46499102 0.42190305]";40.7$\pm$3.04;"[0.42609216 0.38479952 0.40813884 0.35427887 0.37522442 0.4266906
 0.41113106 0.4021544  0.40993417 0.47157391]";39.32$\pm$3.61;"[0.38659485 0.38360263 0.3818073  0.3818073  0.34709755 0.38599641
 0.36564931 0.3764213  0.45481747 0.46798324]";39.61$\pm$4.91;"[0.3764213  0.36205865 0.38479952 0.37163375 0.29084381 0.40694195
 0.44943148 0.40155595 0.45601436 0.46080192]";38.11$\pm$2.85;"[0.38898863 0.39138241 0.39078396 0.31059246 0.35906643 0.40335129
 0.39257929 0.36205865 0.39856373 0.41412328]";41.83$\pm$1.88;"[0.4320766  0.39198085 0.41771394 0.43686415 0.42549372 0.42908438
 0.39078396 0.44284859 0.42429683 0.39138241]";45.88$\pm$2.45;"[0.45541592 0.4266906  0.45541592 0.42130461 0.45362059 0.49910233
 0.44883303 0.4619988  0.46499102 0.50029922]";44.22$\pm$4.76;"[0.45900658 0.4117295  0.43566727 0.40275284 0.34410533 0.49311789
 0.44045482 0.43028127 0.49251945 0.5122681 ]";39.56$\pm$4.19;"[0.3967684  0.3764213  0.34470377 0.39616996 0.34051466 0.44883303
 0.40813884 0.34590066 0.46319569 0.43506882]";46.65$\pm$4.44;"[0.47516457 0.45661281 0.49970078 0.43028127 0.3764213  0.50089767
 0.49790545 0.41053262 0.51526032 0.502693  ]";37.98$\pm$3.14;"[0.42489527 0.35487732 0.38001197 0.35487732 0.336924   0.40634351
 0.33871933 0.37462597 0.40754039 0.41891083]"
Hits@50;67.43$\pm$2.61;"[0.65948534 0.61938959 0.68102932 0.67983244 0.66965889 0.69000598
 0.64153202 0.70137642 0.69539198 0.70556553]";61.78$\pm$2.21;"[0.61340515 0.6032316  0.62597247 0.61460203 0.59245961 0.60622382
 0.58886894 0.66546978 0.6427289  0.62537403]";7.16$\pm$0.97;"[0.07540395 0.08438061 0.0652304  0.09216038 0.06163974 0.06582885
 0.06104129 0.06463196 0.07301017 0.07301017]";60.16$\pm$2.49;"[0.58408139 0.60682226 0.56074207 0.61101137 0.59126272 0.64332735
 0.56612807 0.62597247 0.62118492 0.60502693]";7.48$\pm$1.22;"[0.08378217 0.07181329 0.08856972 0.07420706 0.07480551 0.06762418
 0.06223818 0.04967086 0.08378217 0.09156194]";55.86$\pm$2.61;"[0.5625374  0.59006583 0.54099342 0.58348294 0.50748055 0.57929384
 0.51944943 0.5733094  0.56074207 0.56852184]";60.23$\pm$2.25;"[0.5828845  0.60383004 0.57989228 0.61520048 0.56493118 0.59305805
 0.59365649 0.63794135 0.62058648 0.63135847]";7.48$\pm$1.22;"[0.08378217 0.07181329 0.08856972 0.07420706 0.07480551 0.06762418
 0.06223818 0.04967086 0.08378217 0.09156194]";55.04$\pm$2.63;"[0.56672651 0.5529623  0.58049072 0.59365649 0.51047277 0.55236385
 0.50748055 0.54697786 0.56014363 0.53321364]";44.62$\pm$3.32;"[0.45721125 0.41472172 0.41950928 0.42848594 0.42010772 0.43566727
 0.47755835 0.52124476 0.47097546 0.41651706]";56.95$\pm$3.76;"[0.56134051 0.57869539 0.54458408 0.57450628 0.47995212 0.60981448
 0.54697786 0.61460203 0.59964093 0.58527828]";60.41$\pm$2.85;"[0.59605027 0.59006583 0.59545183 0.62657092 0.55475763 0.62896469
 0.56074207 0.61220826 0.63913824 0.63674446]";60.16$\pm$2.38;"[0.60203471 0.61101137 0.59545183 0.59485338 0.54159186 0.61340515
 0.59605027 0.62417714 0.63614602 0.60143627]";60.08$\pm$3.08;"[0.5828845  0.56433273 0.62477558 0.63794135 0.53859964 0.62597247
 0.58527828 0.60023938 0.62836625 0.61998803]";61.01$\pm$2.32;"[0.56971873 0.62956314 0.59305805 0.61879114 0.58228606 0.63435069
 0.59305805 0.64033513 0.60921604 0.63076002]";57.72$\pm$1.75;"[0.56852184 0.57211251 0.56313585 0.59545183 0.56852184 0.55894674
 0.55236385 0.5882705  0.59844405 0.60622382]";59.81$\pm$3.5;"[0.56732496 0.60442849 0.58049072 0.59186116 0.52124476 0.61520048
 0.59006583 0.62716936 0.63614602 0.64691801]";59.51$\pm$2.78;"[0.58767205 0.57570317 0.56852184 0.62896469 0.55655296 0.63076002
 0.56074207 0.62477558 0.5978456  0.61938959]";61.5$\pm$2.09;"[0.59425494 0.59365649 0.60383004 0.63255536 0.60143627 0.63375224
 0.59844405 0.65290245 0.63913824 0.60023938]";66.29$\pm$2.7;"[0.63913824 0.6385398  0.66786355 0.68641532 0.61340515 0.67564333
 0.64452424 0.69359665 0.66666667 0.70317175]";64.11$\pm$2.75;"[0.63614602 0.61699581 0.64153202 0.62956314 0.58707361 0.6780371
 0.62118492 0.67145422 0.67265111 0.65649312]";58.74$\pm$2.98;"[0.55475763 0.59904249 0.58108917 0.61160981 0.53381209 0.6235787
 0.55535607 0.58049072 0.61998803 0.61400359]";66.64$\pm$3.02;"[0.62896469 0.65649312 0.67205266 0.66187911 0.61041293 0.68940754
 0.65409934 0.71394375 0.67205266 0.70496709]";58.0$\pm$3.46;"[0.58228606 0.56852184 0.55834829 0.59006583 0.49311789 0.61639737
 0.57690006 0.61879114 0.58647516 0.60921604]"
Hits@100;79.83$\pm$1.7;"[0.79174147 0.76122083 0.81149013 0.7989228  0.79473369 0.81747457
 0.77737882 0.80670257 0.80670257 0.81627768]";74.9$\pm$1.71;"[0.71813285 0.74207062 0.75164572 0.75882705 0.73668462 0.75463794
 0.72770796 0.77737882 0.75643327 0.76660682]";14.12$\pm$1.54;"[0.14602035 0.16337522 0.13345302 0.15439856 0.1358468  0.12268103
 0.12208259 0.12208259 0.16217834 0.14961101]";74.52$\pm$1.67;"[0.73129862 0.74745661 0.73429084 0.74147217 0.71633752 0.77618193
 0.73429084 0.74985039 0.76540993 0.75523639]";14.7$\pm$1.37;"[0.15858767 0.14841412 0.160383   0.14422501 0.1304608  0.14063435
 0.12687014 0.13225613 0.16636744 0.16217834]";71.23$\pm$1.7;"[0.69599042 0.70077798 0.70616397 0.71633752 0.7187313  0.75284261
 0.68701376 0.72292041 0.71154997 0.71095153]";73.72$\pm$2.21;"[0.69778576 0.73967684 0.74027528 0.74147217 0.73070018 0.76540993
 0.70616397 0.77378815 0.74685817 0.73010174]";14.7$\pm$1.37;"[0.15858767 0.14841412 0.160383   0.14422501 0.1304608  0.14063435
 0.12687014 0.13225613 0.16636744 0.16217834]";69.19$\pm$2.26;"[0.68701376 0.70855775 0.71214841 0.70915619 0.66546978 0.69120287
 0.64452424 0.72112507 0.70137642 0.6780371 ]";55.52$\pm$4.16;"[0.53560742 0.50149611 0.51705566 0.57151406 0.51047277 0.5380012
 0.60981448 0.63734291 0.56134051 0.56971873]";72.38$\pm$2.13;"[0.70137642 0.72232196 0.71573908 0.73070018 0.70496709 0.77318971
 0.69539198 0.73608618 0.72232196 0.73608618]";74.71$\pm$1.59;"[0.74027528 0.73668462 0.74625972 0.76122083 0.72890485 0.77259126
 0.71693597 0.75284261 0.76181927 0.75344105]";74.61$\pm$1.5;"[0.7241173  0.74566128 0.74087373 0.74745661 0.74087373 0.76002394
 0.7187313  0.76481149 0.76481149 0.75344105]";74.58$\pm$1.85;"[0.75284261 0.71693597 0.74446439 0.77259126 0.74506284 0.76122083
 0.70855775 0.75763016 0.74506284 0.75344105]";75.09$\pm$1.76;"[0.7283064  0.75284261 0.75164572 0.75523639 0.7187313  0.76002394
 0.73608618 0.78216637 0.76002394 0.7636146 ]";73.6$\pm$1.12;"[0.71932974 0.73488929 0.75583483 0.74386595 0.74027528 0.73847995
 0.71693597 0.74386595 0.73847995 0.7283064 ]";74.25$\pm$2.39;"[0.71573908 0.72770796 0.73129862 0.74207062 0.73728306 0.78994614
 0.70556553 0.76720527 0.76241771 0.74625972]";74.03$\pm$1.82;"[0.71035308 0.73847995 0.72471574 0.75942549 0.73488929 0.77199282
 0.7187313  0.74985039 0.75523639 0.7390784 ]";75.89$\pm$1.87;"[0.7390784  0.76720527 0.76002394 0.76540993 0.75583483 0.78755236
 0.72351885 0.76481149 0.78336326 0.74266906]";79.23$\pm$1.69;"[0.77378815 0.77977259 0.78635548 0.78456014 0.78336326 0.81268701
 0.77498504 0.82525434 0.79054458 0.81208857]";77.01$\pm$2.02;"[0.74745661 0.76840215 0.77019749 0.79174147 0.75224417 0.80730102
 0.73548773 0.76840215 0.78037104 0.77917415]";73.09$\pm$2.37;"[0.71633752 0.74027528 0.71813285 0.76301616 0.70257331 0.76241771
 0.6888091  0.72770796 0.75284261 0.73728306]";80.05$\pm$0.95;"[0.78635548 0.80131658 0.80371035 0.80011969 0.80670257 0.80550569
 0.77917415 0.81089168 0.80610413 0.80550569]";73.54$\pm$1.42;"[0.74446439 0.71753441 0.73189707 0.74566128 0.73189707 0.73548773
 0.71095153 0.76241771 0.74566128 0.72770796]"
ROCAUC;94.53$\pm$0.39;"[0.94177175 0.93721283 0.94656522 0.94574818 0.94850299 0.94919425
 0.94116041 0.95007364 0.9472678  0.94559871]";92.19$\pm$0.32;"[0.91851127 0.91760787 0.92441168 0.92572879 0.92168338 0.92133543
 0.91707823 0.92261402 0.92713004 0.92254322]";74.59$\pm$0.61;"[0.74551221 0.74462673 0.7504474  0.75203095 0.74731076 0.74213727
 0.73750058 0.73436681 0.7533927  0.75172594]";92.88$\pm$0.33;"[0.92890736 0.92683341 0.92869432 0.9277807  0.93209308 0.93354798
 0.92806505 0.92513662 0.93367012 0.92281504]";74.58$\pm$0.75;"[0.74610599 0.7422867  0.74832346 0.74834998 0.7460913  0.75120674
 0.73323873 0.73260445 0.7582526  0.75104083]";92.63$\pm$0.38;"[0.92261921 0.92422946 0.92536614 0.92894785 0.93164658 0.93214236
 0.92361847 0.92673146 0.92790952 0.91942708]";92.75$\pm$0.48;"[0.92450718 0.91783041 0.92513142 0.9282806  0.93544115 0.92712242
 0.9290231  0.93411579 0.92837438 0.92478909]";74.58$\pm$0.75;"[0.74610599 0.7422867  0.74832346 0.74834998 0.7460913  0.75120674
 0.73323873 0.73260445 0.7582526  0.75104083]";92.19$\pm$0.43;"[0.92366542 0.91931505 0.92658668 0.92650785 0.9250619  0.92096346
 0.91531945 0.92504757 0.92279606 0.91356907]";88.19$\pm$1.07;"[0.88321293 0.8668849  0.86580322 0.88193004 0.8803094  0.88210007
 0.88938353 0.90617437 0.88027054 0.8834087 ]";92.08$\pm$0.24;"[0.91646223 0.91937203 0.91851593 0.92532511 0.92217773 0.92011668
 0.91941933 0.92203958 0.92323729 0.92160258]";93.57$\pm$0.3;"[0.93355157 0.93277359 0.93570023 0.93711213 0.94049388 0.93848891
 0.93039952 0.93650186 0.93869154 0.93311627]";93.96$\pm$0.21;"[0.93968257 0.93621518 0.93774964 0.94040805 0.94377421 0.94062468
 0.93759089 0.94128261 0.94046556 0.93849904]";92.35$\pm$0.47;"[0.91989701 0.91598544 0.92589776 0.93074927 0.92322984 0.92904514
 0.91890062 0.92309869 0.92861648 0.91946469]";93.32$\pm$0.37;"[0.93126745 0.92717223 0.93230594 0.93462196 0.93934286 0.93144268
 0.9309263  0.93761776 0.93698001 0.92990003]";92.67$\pm$0.35;"[0.92603841 0.92355934 0.9289887  0.92882601 0.93113342 0.92935135
 0.92022347 0.92828311 0.92914079 0.92168728]";93.81$\pm$0.39;"[0.93623417 0.93234895 0.93813307 0.94163701 0.93986659 0.94275614
 0.93455441 0.94168432 0.94159781 0.9319192 ]";92.4$\pm$0.34;"[0.918419   0.92102671 0.92127988 0.92504847 0.92644478 0.92884285
 0.9194781  0.92786742 0.92601068 0.92509887]";93.32$\pm$0.4;"[0.93033502 0.93058784 0.93013721 0.93665631 0.93776899 0.93616609
 0.92898082 0.93557374 0.93890946 0.92690029]";94.39$\pm$0.38;"[0.94263215 0.93795354 0.94315821 0.94389067 0.94564336 0.94856284
 0.93938514 0.95139738 0.94461939 0.94149574]";94.08$\pm$0.26;"[0.93899347 0.93881071 0.939235   0.94306253 0.94130984 0.94614254
 0.93693009 0.94081639 0.94314674 0.93942285]";92.68$\pm$0.42;"[0.92103441 0.92444178 0.92236676 0.93171252 0.93100872 0.93271375
 0.92400119 0.92542527 0.93165096 0.92388121]";94.14$\pm$0.37;"[0.93881429 0.93309969 0.94200289 0.94238059 0.9419434  0.94688469
 0.93890926 0.94486718 0.94492023 0.94036672]";93.17$\pm$0.29;"[0.93181465 0.92815124 0.92977134 0.93262308 0.93549992 0.9360765
 0.92790254 0.93368595 0.93285931 0.92836292]"
AP;94.78$\pm$0.35;"[0.94519088 0.94009555 0.94961676 0.94793951 0.94771821 0.953102
 0.94464764 0.95167459 0.94860183 0.94925554]";92.97$\pm$0.31;"[0.92921959 0.93019962 0.93405373 0.92951534 0.92611543 0.92998688
 0.92488829 0.92705265 0.93526297 0.93069466]";68.43$\pm$0.9;"[0.68575582 0.68997325 0.6845803  0.69720776 0.68009449 0.68120498
 0.67145797 0.66760794 0.692935   0.69229932]";93.17$\pm$0.42;"[0.92979498 0.93208609 0.93121783 0.93206468 0.93340087 0.93821995
 0.93107949 0.92353692 0.93840957 0.92767387]";68.48$\pm$1.29;"[0.691244   0.67940819 0.69245668 0.68482885 0.6789698  0.68478256
 0.66788194 0.66205071 0.705739   0.70052643]";92.68$\pm$0.33;"[0.92185311 0.92718597 0.92184561 0.93143444 0.92536242 0.93164904
 0.92448058 0.9283824  0.92929759 0.9261326 ]";93.09$\pm$0.34;"[0.9252161  0.92631041 0.92704824 0.93335442 0.93423857 0.92907865
 0.93209579 0.9349058  0.93362398 0.93300664]";68.48$\pm$1.29;"[0.691244   0.67940819 0.69245668 0.68482885 0.6789698  0.68478256
 0.66788194 0.66205071 0.705739   0.70052643]";92.23$\pm$0.42;"[0.92212745 0.9237421  0.92834886 0.92813834 0.91677876 0.91969411
 0.91830885 0.92398412 0.92527679 0.91615451]";88.41$\pm$1.17;"[0.88473599 0.87034668 0.86708248 0.88619732 0.87498711 0.88017111
 0.89671858 0.90916523 0.88681917 0.8847322 ]";92.46$\pm$0.5;"[0.91870721 0.92579154 0.92325394 0.92948025 0.91437814 0.92820014
 0.92382151 0.92167746 0.92985008 0.93070011]";93.62$\pm$0.35;"[0.9328786  0.93522036 0.93250091 0.93705153 0.93714853 0.93927394
 0.93488289 0.93120123 0.94344989 0.93859783]";93.72$\pm$0.13;"[0.93721807 0.9384519  0.93563158 0.93645323 0.93606633 0.93725375
 0.93704242 0.93892285 0.93939946 0.93580297]";92.98$\pm$0.5;"[0.92713939 0.92370941 0.93410129 0.93785285 0.92523644 0.93714389
 0.92652163 0.92560356 0.93350573 0.92760279]";93.4$\pm$0.19;"[0.93200951 0.93193319 0.93522521 0.93255289 0.93258022 0.93334671
 0.93317645 0.93754412 0.93625427 0.93579406]";92.95$\pm$0.31;"[0.9273461  0.92696518 0.93114068 0.93184638 0.92839166 0.93060159
 0.9230471  0.93160725 0.93462051 0.92962547]";93.7$\pm$0.42;"[0.93386257 0.93257615 0.93426464 0.93846351 0.93100748 0.94218226
 0.93493637 0.94074252 0.94436055 0.93733339]";92.83$\pm$0.27;"[0.92353015 0.92915274 0.92639258 0.93038141 0.92712368 0.93225002
 0.92552755 0.92758681 0.93187592 0.92945277]";93.59$\pm$0.32;"[0.93268245 0.93585621 0.93459429 0.93893313 0.93609189 0.93889068
 0.93364    0.93542794 0.94227248 0.93088427]";94.7$\pm$0.33;"[0.94497426 0.94190028 0.94772426 0.94535356 0.9459564  0.95200776
 0.94237959 0.9518307  0.94841696 0.94903558]";94.17$\pm$0.29;"[0.93907538 0.94166795 0.94182545 0.94387633 0.93627569 0.94756393
 0.93893275 0.94211336 0.94258707 0.94317216]";92.88$\pm$0.53;"[0.92340197 0.93074202 0.92165789 0.93489336 0.92580807 0.93764038
 0.92672444 0.92514051 0.93558726 0.92678049]";94.48$\pm$0.33;"[0.94071566 0.94040516 0.94738894 0.94500995 0.94120087 0.95027547
 0.94449796 0.94357764 0.94952971 0.94530382]";93.02$\pm$0.3;"[0.93043875 0.92856534 0.92745068 0.92810632 0.92761805 0.935487
 0.92756301 0.929667   0.93572954 0.93129681]"
pretrain_time;nan$\pm$nan;[];9.09$\pm$0.61;"[8.56654191 8.69368958 8.57149243 8.59486675 8.62378049 8.53304315
 9.78491092 9.78490901 9.83288479 9.91044211]";nan$\pm$nan;[];37.9$\pm$0.64;"[38.6938026  38.04166508 37.91328526 38.2273581  38.02442241 37.96513057
 37.77696753 38.18402195 38.09264278 36.12425113]";nan$\pm$nan;[];54.68$\pm$1.42;"[53.89185333 53.8408432  53.39911652 53.43266821 53.38598013 55.3392694
 57.48369479 56.99413967 54.09285212 54.96602654]";7.51$\pm$0.14;"[7.40183425 7.6246357  7.85194349 7.50724053 7.42405462 7.4897306
 7.57376075 7.40228534 7.37538624 7.48815823]";nan$\pm$nan;[];1.42$\pm$0.05;"[1.40293074 1.48078489 1.44856834 1.37259507 1.4229033  1.48268795
 1.45720553 1.4046309  1.31011701 1.44656205]";16.16$\pm$0.97;"[15.57855582 15.77511811 17.57167935 17.67646551 17.63011599 15.52248716
 15.46435285 15.36575031 15.50809121 15.47813058]";1.92$\pm$0.09;"[1.9170351  2.0484066  2.12652612 1.89558339 1.8436954  1.94885969
 1.85950518 1.8013494  1.88397074 1.8771286 ]";2.33$\pm$0.13;"[2.17122436 2.21513009 2.08009768 2.2846601  2.41939783 2.37197566
 2.44170833 2.4334023  2.33870482 2.52902508]";48.69$\pm$2.4;"[46.56420469 46.0913229  47.17196941 52.79227161 50.88510346 51.87575316
 46.41424131 48.24702621 50.25697112 46.58151054]";2.21$\pm$0.05;"[2.22308159 2.17978048 2.20816922 2.21126533 2.32255054 2.2217834
 2.13870144 2.29598165 2.18546557 2.16019368]";12.86$\pm$0.42;"[12.87770438 12.60410666 12.76287436 12.98035121 12.61502337 12.67448378
 12.6746757  12.55091715 12.76627064 14.06128097]";1.21$\pm$0.05;"[1.15275764 1.18214941 1.22317171 1.29302359 1.19806051 1.22005248
 1.17555404 1.29740953 1.24814701 1.13948417]";81.08$\pm$0.98;"[80.86255598 80.93778419 80.52476263 80.07571864 83.80514765 80.79108477
 80.72042084 80.44793725 81.08547211 81.585675  ]";2.08$\pm$0.04;"[2.10137081 2.1068542  2.09108067 2.1017611  2.02870965 2.03550911
 2.00779963 2.06648111 2.0767386  2.15969253]";43.72$\pm$0.46;"[43.12470937 43.12572646 43.9070909  43.90368009 43.13065386 44.37625027
 43.44854283 43.92169428 43.8926518  44.33720016]";66.63$\pm$4.15;"[63.85829806 63.94192529 63.89114356 72.9180758  72.98267388 63.80349851
 72.98273468 63.95840406 63.93990946 63.98103452]";16.7$\pm$0.57;"[17.14729786 16.80766821 15.8664701  15.73877716 15.94227672 17.15138459
 17.08211923 17.12559104 17.0479238  17.14046073]";52.04$\pm$0.14;"[51.98973942 51.76776648 52.15799904 51.95031142 52.25142837 51.94378138
 52.16496658 52.04447222 51.96137714 52.16419458]";48.34$\pm$0.48;"[47.47933626 48.29046702 48.7165854  48.53834486 48.49540615 48.58998537
 48.7571094  48.3133266  48.83972907 47.38804126]";100.42$\pm$3.01;"[106.05875659 101.80311298 101.33976269  96.59231687  97.24634743
 100.04729104 103.44650245  97.56399846  97.45620537 102.61512566]"
