metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;35.71$\pm$3.29;"[0.35971691 0.35808997 0.34568454 0.42182543 0.34255267 0.36821768
 0.35369723 0.3944928  0.29171073 0.3354348 ]";25.01$\pm$3.54;"[0.30732937 0.26921825 0.26157163 0.26116489 0.21036362 0.19551777
 0.26340194 0.21060766 0.22834133 0.29362239]";27.15$\pm$3.57;"[0.32762548 0.25534857 0.30635321 0.30248922 0.27169934 0.20109005
 0.28024079 0.28085089 0.22691776 0.26230375]";26.69$\pm$2.01;"[0.25441308 0.28861954 0.28227447 0.28475555 0.25538925 0.21898642
 0.26519157 0.27796307 0.25925323 0.28194908]";27.81$\pm$3.68;"[0.32441227 0.23106646 0.30854958 0.25506386 0.33348247 0.2143903
 0.28194908 0.28894493 0.25799235 0.28552835]";27.4$\pm$2.26;"[0.30826487 0.26149028 0.29415114 0.27548198 0.24827137 0.2439193
 0.24603433 0.27629545 0.28093224 0.30505166]";4.07$\pm$0.45;"[0.03815179 0.039372   0.04425283 0.04437485 0.03375905 0.04380542
 0.03221345 0.04132433 0.04657122 0.04274791]";22.97$\pm$2.88;"[0.2566908  0.20759782 0.25201334 0.19023021 0.24615635 0.18311234
 0.23834703 0.2708452  0.20625559 0.24603433]";24.1$\pm$2.57;"[0.24001464 0.25136256 0.23566257 0.20279834 0.24180428 0.22378589
 0.28739933 0.24851542 0.20397787 0.2743838 ]";4.07$\pm$0.45;"[0.03815179 0.039372   0.04425283 0.04437485 0.03375905 0.04380542
 0.03221345 0.04132433 0.04657122 0.04274791]";24.44$\pm$3.77;"[0.2694623  0.2468478  0.29895062 0.21951517 0.22028797 0.19881233
 0.26393069 0.26132758 0.17611649 0.28918897]";4.07$\pm$0.45;"[0.03815179 0.039372   0.04425283 0.04437485 0.03375905 0.04380542
 0.03221345 0.04132433 0.04657122 0.04274791]";18.29$\pm$2.15;"[0.14963801 0.19401285 0.19515171 0.16826649 0.19677865 0.14731961
 0.21463434 0.17514032 0.20511673 0.1828683 ]";27.24$\pm$3.06;"[0.31599284 0.28731799 0.23920117 0.29476125 0.27174001 0.24412267
 0.26092085 0.29561539 0.21390222 0.30025218]";32.18$\pm$1.9;"[0.32969983 0.34519645 0.31050191 0.32815423 0.3360449  0.29524933
 0.28512161 0.33901407 0.33576019 0.31306435]";26.35$\pm$3.4;"[0.30350606 0.26689986 0.24957293 0.31818921 0.30057756 0.22602294
 0.22785325 0.21914911 0.24261775 0.28081022]";30.38$\pm$3.3;"[0.34548117 0.29508663 0.27885789 0.33136744 0.35772391 0.29219881
 0.28642317 0.31098999 0.23810299 0.30155373]";21.95$\pm$3.33;"[0.21650533 0.2574636  0.26657447 0.19580249 0.24509884 0.14540796
 0.19803953 0.21703408 0.23432034 0.21857968]";22.06$\pm$3.36;"[0.26474416 0.22057268 0.26010738 0.234239   0.23094444 0.14646547
 0.22504677 0.22427398 0.17664525 0.22276906]";25.54$\pm$2.22;"[0.28918897 0.26547629 0.27385504 0.24424469 0.25042707 0.22476206
 0.25734158 0.27454649 0.21235663 0.26185634]";24.98$\pm$3.58;"[0.2954527  0.31672497 0.22748719 0.24448873 0.21764419 0.19319938
 0.24798666 0.24310583 0.22976491 0.28166436]";19.21$\pm$3.66;"[0.25559261 0.19767347 0.20727243 0.15618645 0.12307817 0.15834215
 0.18355975 0.21028227 0.19864964 0.23037501]"
Hits@50;51.81$\pm$3.74;"[0.51212072 0.54799479 0.55494997 0.5765883  0.48096478 0.4993899
 0.51696087 0.52025543 0.43862361 0.53331164]";40.24$\pm$2.77;"[0.43284796 0.44167412 0.40604409 0.37244773 0.36504515 0.37513219
 0.38009436 0.42723501 0.39054747 0.43272594]";41.8$\pm$2.55;"[0.45424225 0.41450419 0.42117465 0.42300496 0.41466688 0.37313918
 0.41747336 0.42300496 0.38017571 0.45904173]";40.48$\pm$2.34;"[0.42760107 0.41271455 0.42662491 0.43886765 0.37370861 0.37326121
 0.39884487 0.3748068  0.39917026 0.42280159]";43.6$\pm$2.4;"[0.45261531 0.43028553 0.45741479 0.43699666 0.44789718 0.39164565
 0.4000244  0.45322541 0.42121533 0.46904743]";41.51$\pm$2.03;"[0.43870495 0.4340275  0.40734564 0.39376068 0.37220369 0.433092
 0.40933865 0.42032051 0.40718295 0.43467827]";5.85$\pm$0.32;"[0.0625966  0.0549093  0.05608883 0.05869194 0.05417717 0.06292199
 0.05901733 0.0549093  0.06210852 0.05942406]";36.44$\pm$2.2;"[0.41072155 0.35117547 0.39107622 0.35105345 0.35430733 0.35003661
 0.36585862 0.38416172 0.34523713 0.34055967]";38.33$\pm$2.71;"[0.40340031 0.39790938 0.40169202 0.3403563  0.37167494 0.36602131
 0.38737493 0.37720654 0.34979256 0.43764744]";5.85$\pm$0.32;"[0.0625966  0.0549093  0.05608883 0.05869194 0.05417717 0.06292199
 0.05901733 0.0549093  0.06210852 0.05942406]";38.43$\pm$3.15;"[0.4169446  0.40413243 0.42528268 0.39611974 0.34169853 0.38184333
 0.39115757 0.37078012 0.31761978 0.39717726]";5.85$\pm$0.32;"[0.0625966  0.0549093  0.05608883 0.05869194 0.05417717 0.06292199
 0.05901733 0.0549093  0.06210852 0.05942406]";30.51$\pm$2.72;"[0.24631904 0.35532417 0.30501098 0.32664931 0.30041487 0.28626047
 0.32705605 0.30521435 0.30130969 0.29728301]";46.5$\pm$2.82;"[0.478321   0.5239974  0.45753681 0.47429431 0.46965753 0.45680469
 0.43695599 0.44419588 0.41804279 0.49060441]";47.86$\pm$2.26;"[0.50736191 0.50642642 0.45326609 0.50272513 0.47079639 0.46599691
 0.45025624 0.46079069 0.46298707 0.50508419]";40.9$\pm$3.5;"[0.42345237 0.40600342 0.40026845 0.46599691 0.41674123 0.383877
 0.39502156 0.35556821 0.37334255 0.46965753]";45.53$\pm$2.76;"[0.47583991 0.49690881 0.44769381 0.47571789 0.46571219 0.458635
 0.4086472  0.43528838 0.41247051 0.47632799]";36.87$\pm$1.95;"[0.37562027 0.39282519 0.37818271 0.39636378 0.37740991 0.34910111
 0.33498739 0.37053608 0.34198324 0.36968193]";36.16$\pm$2.61;"[0.39213373 0.36919385 0.403563   0.37806068 0.33856666 0.32351745
 0.35715448 0.35922883 0.32107704 0.37317986]";39.55$\pm$2.63;"[0.44183682 0.36642805 0.4191003  0.41137233 0.37806068 0.36248271
 0.42109331 0.40559668 0.36817701 0.38082649]";39.84$\pm$2.59;"[0.39998373 0.43947775 0.42499797 0.37871146 0.36602131 0.36020499
 0.41112828 0.38086716 0.39347596 0.42918734]";34.02$\pm$3.1;"[0.37537623 0.30716668 0.39282519 0.2974457  0.33376718 0.30773611
 0.35345318 0.34019361 0.32087367 0.3728138 ]"
Hits@100;65.34$\pm$2.72;"[0.66529732 0.67322867 0.68355975 0.69551777 0.59969088 0.64186936
 0.62071911 0.64589604 0.65037013 0.65781339]";54.07$\pm$2.27;"[0.57203286 0.55946474 0.5718295  0.54140568 0.51370699 0.5301391
 0.50105751 0.55043521 0.52216709 0.5449036 ]";55.35$\pm$1.13;"[0.56666396 0.53115594 0.55995282 0.55795981 0.55710567 0.53318962
 0.55080127 0.5598308  0.56178313 0.55645489]";53.42$\pm$2.79;"[0.55755308 0.55576344 0.57972017 0.56088831 0.48759457 0.50073212
 0.53050517 0.51317823 0.519686   0.53676889]";57.28$\pm$2.04;"[0.59281705 0.5704466  0.60660539 0.57569348 0.57439193 0.55393313
 0.5316847  0.56646059 0.56288131 0.59306109]";56.37$\pm$1.33;"[0.56556577 0.58834296 0.54893029 0.58126576 0.54510697 0.56991784
 0.55942406 0.55820386 0.56906369 0.55071992]";8.32$\pm$0.7;"[0.09220695 0.08346213 0.07467665 0.0779712  0.07679167 0.09493208
 0.09200358 0.07805255 0.08451965 0.07776784]";49.84$\pm$1.81;"[0.5287562  0.48055804 0.52920361 0.50370129 0.48002928 0.49036037
 0.49385829 0.5113886  0.48177825 0.48405597]";51.97$\pm$1.87;"[0.53709428 0.53257952 0.52594973 0.51846579 0.5013829  0.51187668
 0.49324819 0.53042382 0.49365493 0.55271293]";8.32$\pm$0.7;"[0.09220695 0.08346213 0.07467665 0.0779712  0.07679167 0.09493208
 0.09200358 0.07805255 0.08451965 0.07776784]";51.39$\pm$2.26;"[0.52326527 0.52855283 0.55027251 0.53270154 0.48751322 0.52716993
 0.50158627 0.49947124 0.47055235 0.51809973]";8.32$\pm$0.7;"[0.09220695 0.08346213 0.07467665 0.0779712  0.07679167 0.09493208
 0.09200358 0.07805255 0.08451965 0.07776784]";41.58$\pm$2.5;"[0.36858375 0.4494021  0.41706662 0.43020418 0.38570731 0.38973399
 0.43410884 0.42027983 0.44297568 0.41958838]";61.14$\pm$1.86;"[0.61844139 0.64520459 0.62897584 0.6222647  0.59383389 0.61384528
 0.60339217 0.57756447 0.59456601 0.61616367]";62.73$\pm$2.06;"[0.63763931 0.64622143 0.62706418 0.6624095  0.61002196 0.61461808
 0.58378752 0.6336533  0.62006833 0.63792402]";55.83$\pm$2.82;"[0.57601887 0.56218986 0.57174815 0.59078337 0.54604246 0.52798341
 0.52997641 0.52769869 0.5366062  0.61412999]";60.02$\pm$1.67;"[0.61583828 0.59749451 0.61030668 0.61587896 0.59049866 0.60977792
 0.56296266 0.59517612 0.58460099 0.61909217]";50.2$\pm$2.57;"[0.53066786 0.5069145  0.52066217 0.52757667 0.4943057  0.48966892
 0.44834459 0.53123729 0.4972342  0.4738469 ]";49.57$\pm$2.09;"[0.50150492 0.50988367 0.50943626 0.50451476 0.49300415 0.47209794
 0.4578622  0.48771659 0.48450338 0.53676889]";52.28$\pm$2.2;"[0.56194582 0.51895388 0.54872692 0.50813471 0.49158057 0.51057512
 0.51606605 0.54901163 0.49943057 0.52354999]";52.9$\pm$2.36;"[0.54038884 0.54079557 0.54034817 0.53782641 0.49422436 0.48430001
 0.53026112 0.51407305 0.54018547 0.56796551]";49.56$\pm$2.64;"[0.51671683 0.50036606 0.5372163  0.49174327 0.48291711 0.44159278
 0.48373058 0.49402099 0.47730416 0.52997641]"
ROCAUC;98.83$\pm$0.06;"[0.98785705 0.98889604 0.988869   0.98872171 0.98756365 0.98829654
 0.98722395 0.98908175 0.98817686 0.98816351]";98.6$\pm$0.06;"[0.98635674 0.98662285 0.98661058 0.98622969 0.98573853 0.98627508
 0.98491578 0.98664207 0.98540222 0.98560434]";98.57$\pm$0.04;"[0.98558338 0.98573621 0.98556993 0.98608495 0.98566044 0.98550104
 0.98485288 0.98640318 0.98576821 0.98560272]";98.68$\pm$0.04;"[0.98653389 0.98718761 0.98760452 0.98703418 0.98609454 0.98620892
 0.98661617 0.98690553 0.98656213 0.98679833]";98.65$\pm$0.06;"[0.98636283 0.98645827 0.98697524 0.98682594 0.98690081 0.98601031
 0.98528827 0.98751778 0.98598476 0.98682506]";98.58$\pm$0.05;"[0.98621507 0.98619944 0.98594784 0.98587547 0.98559389 0.98629536
 0.98465869 0.98608444 0.98606963 0.98555443]";91.31$\pm$0.29;"[0.91599239 0.91007794 0.91038719 0.90857038 0.9155953  0.9167773
 0.9134849  0.91570744 0.90981971 0.91456751]";98.42$\pm$0.05;"[0.9843187  0.9842354  0.98495302 0.9846655  0.98380712 0.98434868
 0.98363597 0.98485488 0.98391576 0.98354237]";98.38$\pm$0.04;"[0.98376516 0.98400884 0.98401614 0.98355901 0.98382459 0.98429703
 0.98294351 0.98419665 0.98370344 0.98399518]";91.31$\pm$0.29;"[0.91599239 0.91007794 0.91038719 0.90857038 0.9155953  0.9167773
 0.9134849  0.91570744 0.90981971 0.91456751]";98.65$\pm$0.04;"[0.98695769 0.98703563 0.98697989 0.98651717 0.98599931 0.98641862
 0.98610476 0.98658394 0.98572612 0.98634118]";91.31$\pm$0.29;"[0.91599239 0.91007794 0.91038719 0.90857038 0.9155953  0.9167773
 0.9134849  0.91570744 0.90981971 0.91456751]";97.94$\pm$0.05;"[0.97830118 0.97928217 0.98015808 0.97966029 0.97950409 0.97940226
 0.97930123 0.97912275 0.97978775 0.97908672]";98.67$\pm$0.04;"[0.98588817 0.98746034 0.98704219 0.98689535 0.98632734 0.98639272
 0.98628225 0.98674974 0.98689365 0.98662705]";98.81$\pm$0.05;"[0.98776558 0.98922625 0.98812624 0.98825093 0.9879631  0.98816466
 0.98753779 0.98863159 0.9879731  0.98775764]";98.66$\pm$0.04;"[0.98663604 0.98741538 0.98638388 0.98663742 0.98675335 0.98665609
 0.98592107 0.98682337 0.986305   0.98671773]";98.76$\pm$0.05;"[0.98744049 0.98825746 0.98744088 0.9876065  0.98783329 0.98797357
 0.98635978 0.98764274 0.98752427 0.98796027]";98.34$\pm$0.08;"[0.98370724 0.98391613 0.98339324 0.98370156 0.98307651 0.98265863
 0.98194735 0.98482077 0.98416038 0.98298745]";98.15$\pm$0.05;"[0.98247445 0.98136013 0.9817259  0.98102878 0.98140022 0.9816374
 0.98060199 0.98150439 0.98137592 0.98183484]";98.5$\pm$0.04;"[0.98570307 0.98496532 0.98571652 0.98493967 0.98456824 0.98457316
 0.98456609 0.98509959 0.9845457  0.98496981]";98.65$\pm$0.05;"[0.98674352 0.9858139  0.9874857  0.98629533 0.98634141 0.9860987
 0.98617535 0.98684093 0.98650076 0.98685552]";98.5$\pm$0.07;"[0.98587797 0.9854568  0.98626907 0.98443515 0.98483291 0.98509282
 0.98486456 0.98385238 0.98471188 0.98509974]"
AP;98.85$\pm$0.07;"[0.98831952 0.98890502 0.98940484 0.98932611 0.98762858 0.98815756
 0.98726741 0.98940816 0.98802795 0.98868639]";98.5$\pm$0.07;"[0.98568008 0.98563782 0.98596865 0.9851198  0.98427762 0.98463715
 0.98377155 0.98530634 0.98428572 0.98521765]";98.52$\pm$0.05;"[0.98546676 0.98493754 0.98552597 0.98582841 0.98502983 0.98436246
 0.98433485 0.98543999 0.9851529  0.9855895 ]";98.53$\pm$0.06;"[0.98523437 0.98563263 0.98652328 0.98589549 0.98434729 0.98429255
 0.98518122 0.98511269 0.98511418 0.98557616]";98.58$\pm$0.08;"[0.9861132  0.98543167 0.98696544 0.98602574 0.98616855 0.98457533
 0.98437626 0.98677806 0.98532575 0.98645468]";98.56$\pm$0.06;"[0.9862681  0.98564454 0.98613504 0.98572213 0.98502078 0.98558035
 0.98416181 0.98576502 0.98593144 0.98577809]";89.86$\pm$0.45;"[0.90518119 0.89228603 0.89421812 0.89393081 0.90086985 0.9048012
 0.90081968 0.90016814 0.89368517 0.90021135]";98.26$\pm$0.06;"[0.98316963 0.98227753 0.98364662 0.98263572 0.98213604 0.98215552
 0.98191854 0.98335579 0.98209135 0.98218419]";98.3$\pm$0.04;"[0.98306392 0.98314286 0.98350021 0.98271669 0.98280268 0.98303401
 0.98204708 0.9831956  0.98262363 0.98362969]";89.86$\pm$0.45;"[0.90518119 0.89228603 0.89421812 0.89393081 0.90086985 0.9048012
 0.90081968 0.90016814 0.89368517 0.90021135]";98.48$\pm$0.08;"[0.98536058 0.98531056 0.98603093 0.98511047 0.98382414 0.98444876
 0.98426598 0.9848595  0.9833324  0.9850349 ]";89.86$\pm$0.45;"[0.90518119 0.89228603 0.89421812 0.89393081 0.90086985 0.9048012
 0.90081968 0.90016814 0.89368517 0.90021135]";97.66$\pm$0.08;"[0.97488149 0.97719793 0.97762669 0.97707411 0.97652793 0.9759211
 0.97696912 0.97621408 0.97757479 0.97648808]";98.69$\pm$0.05;"[0.98652756 0.98785994 0.9871607  0.98736168 0.98646887 0.98648252
 0.98594793 0.98692543 0.98673484 0.9871503 ]";98.81$\pm$0.05;"[0.98813675 0.98888654 0.9881064  0.98838479 0.98789167 0.98793408
 0.98678299 0.98838287 0.98804634 0.9880595 ]";98.58$\pm$0.06;"[0.9864239  0.98658968 0.98562686 0.98641285 0.98601287 0.98534607
 0.9844957  0.9856667  0.98539108 0.98652166]";98.72$\pm$0.05;"[0.98741049 0.98744663 0.98717344 0.98748111 0.98748819 0.98738342
 0.9857652  0.98718614 0.98690785 0.98772524]";98.21$\pm$0.1;"[0.98259473 0.98249485 0.98284249 0.9826332  0.9819388  0.9807079
 0.98026708 0.9834955  0.98279171 0.98161398]";98.09$\pm$0.07;"[0.98207079 0.98054796 0.98191244 0.9808373  0.98087813 0.98012857
 0.97958281 0.98060104 0.98072129 0.98136974]";98.37$\pm$0.06;"[0.98474893 0.98349436 0.98487492 0.98378481 0.98333173 0.98285901
 0.98324546 0.98395273 0.9831609  0.98384689]";98.52$\pm$0.06;"[0.98554396 0.98491091 0.98639522 0.98501944 0.98456854 0.98421716
 0.98457828 0.98533566 0.98527013 0.98587332]";98.33$\pm$0.09;"[0.98478363 0.98346364 0.98468776 0.98271183 0.9822467  0.98258041
 0.98303926 0.9823505  0.98303218 0.98416212]"
pretrain_time;nan$\pm$nan;[];114.0$\pm$0.07;"[113.92068863 113.94007039 113.91015601 114.0652833  114.05360031
 113.93277454 113.96679282 114.02069497 114.08053327 114.10542178]";5.85$\pm$0.01;"[5.81578755 5.85340285 5.85262251 5.86010671 5.84763813 5.85281324
 5.85233998 5.84417486 5.85170317 5.85451317]";8.59$\pm$0.01;"[8.58836079 8.59516239 8.59945846 8.58888507 8.60050893 8.5865221
 8.59829974 8.57413888 8.59016919 8.58501601]";61.54$\pm$0.04;"[61.54846025 61.50471163 61.57204914 61.55946684 61.61303663 61.52241945
 61.49082756 61.48716974 61.54551888 61.52053809]";141.13$\pm$0.42;"[141.57278609 141.04009843 140.76178861 141.34809494 140.69728136
 140.69704938 141.7866919  141.69334793 141.04058719 140.62943053]";nan$\pm$nan;[];20.96$\pm$0.18;"[20.59815454 20.968225   21.00870061 20.9233191  21.03334808 21.28380156
 21.10680151 20.78132463 20.8642652  20.99354863]";35.8$\pm$0.28;"[35.84239149 36.41772461 35.8505187  35.30612206 35.7958405  36.03897929
 35.83866096 35.80583858 35.52423787 35.62035322]";nan$\pm$nan;[];5.64$\pm$0.05;"[5.63221407 5.65008092 5.68340683 5.60882258 5.63949275 5.66939378
 5.72883487 5.61543393 5.59607244 5.55288887]";nan$\pm$nan;[];83.46$\pm$0.65;"[84.42767358 82.6552155  83.41040683 82.91794276 82.99076128 82.75085402
 83.49980068 83.84290171 83.45363712 84.66066098]";7.97$\pm$0.02;"[7.96777534 7.96545839 7.95892024 7.94688725 7.95273829 7.99266744
 7.95960212 7.97638106 7.99551201 7.98053432]";240.57$\pm$1.25;"[239.10410643 241.07486653 239.83992124 239.08985662 240.26014972
 242.4914782  241.55144334 242.69653368 240.12128782 239.50869823]";186.13$\pm$0.56;"[186.01652408 186.14174914 185.89006019 186.76596832 185.94915533
 187.22332573 185.84993696 185.48204637 185.30569148 186.62761521]";132.03$\pm$0.26;"[131.54991055 131.89577436 131.71625018 131.75828886 132.22333932
 132.24594569 132.19310045 132.28748083 132.25802279 132.2015264 ]";157.27$\pm$0.39;"[156.66341352 156.94719148 157.27143025 157.22318339 157.53813004
 158.11446309 157.10021114 157.34519958 157.59871626 156.90031075]";166.45$\pm$1.04;"[167.5622468  165.90995073 165.66142941 167.47696567 167.83006263
 166.64414644 167.43901753 166.02121663 165.07092524 164.85179543]";7.81$\pm$0.14;"[7.75301433 7.75339293 7.76616096 7.74158382 7.73610735 7.77713251
 7.78075361 7.76282787 7.77966404 8.22561264]";185.64$\pm$1.37;"[184.83382201 185.35299373 184.90167475 185.48966455 185.29583478
 185.77261472 185.01285362 189.66194558 185.09295678 185.02427769]";288.09$\pm$1.79;"[289.86789203 285.60475326 290.63613963 288.35444379 286.64190817
 289.50497985 285.52641392 290.15206861 287.34619904 287.27051687]"
