metrics;baseline,enc:gcn_bgrl,pred:inner_mean;baseline,enc:gcn_bgrl,pred:inner;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;baseline,enc:gcn_bgrl,pred:ncn_mean;baseline,enc:gcn_bgrl,pred:ncn;grace,enc:gcn_bgrl,pred:inner,random_mean;grace,enc:gcn_bgrl,pred:inner,random;grace,enc:gcn_bgrl,pred:inner,deg_mean;grace,enc:gcn_bgrl,pred:inner,deg;grace,enc:gcn_bgrl,pred:inner,evc_mean;grace,enc:gcn_bgrl,pred:inner,evc;grace,enc:gcn_bgrl,pred:inner,pr_mean;grace,enc:gcn_bgrl,pred:inner,pr;grace,enc:gcn_bgrl,pred:inner,scom_mean;grace,enc:gcn_bgrl,pred:inner,scom;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random;grace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:inner,kmeans+random_mean;grace,enc:gcn_bgrl,pred:inner,kmeans+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:mlp,kmeans+random_mean;grace,enc:gcn_bgrl,pred:mlp,kmeans+random;grace,enc:gcn_bgrl,pred:ncn,random_mean;grace,enc:gcn_bgrl,pred:ncn,random;grace,enc:gcn_bgrl,pred:ncn,deg_mean;grace,enc:gcn_bgrl,pred:ncn,deg;grace,enc:gcn_bgrl,pred:ncn,evc_mean;grace,enc:gcn_bgrl,pred:ncn,evc;grace,enc:gcn_bgrl,pred:ncn,pr_mean;grace,enc:gcn_bgrl,pred:ncn,pr;grace,enc:gcn_bgrl,pred:ncn,scom_mean;grace,enc:gcn_bgrl,pred:ncn,scom;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:ncn,kmeans+random_mean;grace,enc:gcn_bgrl,pred:ncn,kmeans+random;bgrl,enc:gcn_bgrl,pred:inner,random_mean;bgrl,enc:gcn_bgrl,pred:inner,random;bgrl,enc:gcn_bgrl,pred:inner,deg_mean;bgrl,enc:gcn_bgrl,pred:inner,deg;bgrl,enc:gcn_bgrl,pred:inner,evc_mean;bgrl,enc:gcn_bgrl,pred:inner,evc;bgrl,enc:gcn_bgrl,pred:inner,pr_mean;bgrl,enc:gcn_bgrl,pred:inner,pr;bgrl,enc:gcn_bgrl,pred:inner,scom_mean;bgrl,enc:gcn_bgrl,pred:inner,scom;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random;bgrl,enc:gcn_bgrl,pred:inner,kmeans+random_mean;bgrl,enc:gcn_bgrl,pred:inner,kmeans+random;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;bgrl,enc:gcn_bgrl,pred:mlp,kmeans+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,kmeans+random;bgrl,enc:gcn_bgrl,pred:ncn,random_mean;bgrl,enc:gcn_bgrl,pred:ncn,random;bgrl,enc:gcn_bgrl,pred:ncn,deg_mean;bgrl,enc:gcn_bgrl,pred:ncn,deg;bgrl,enc:gcn_bgrl,pred:ncn,evc_mean;bgrl,enc:gcn_bgrl,pred:ncn,evc;bgrl,enc:gcn_bgrl,pred:ncn,pr_mean;bgrl,enc:gcn_bgrl,pred:ncn,pr;bgrl,enc:gcn_bgrl,pred:ncn,scom_mean;bgrl,enc:gcn_bgrl,pred:ncn,scom;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random;bgrl,enc:gcn_bgrl,pred:ncn,kmeans+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,kmeans+random;lgrace,enc:gcn_bgrl,pred:inner,random_mean;lgrace,enc:gcn_bgrl,pred:inner,random;lgrace,enc:gcn_bgrl,pred:inner,deg_mean;lgrace,enc:gcn_bgrl,pred:inner,deg;lgrace,enc:gcn_bgrl,pred:inner,evc_mean;lgrace,enc:gcn_bgrl,pred:inner,evc;lgrace,enc:gcn_bgrl,pred:inner,pr_mean;lgrace,enc:gcn_bgrl,pred:inner,pr;lgrace,enc:gcn_bgrl,pred:inner,scom_mean;lgrace,enc:gcn_bgrl,pred:inner,scom;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random_mean;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random;lgrace,enc:gcn_bgrl,pred:inner,kmeans+random_mean;lgrace,enc:gcn_bgrl,pred:inner,kmeans+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random
Hits@10;41.27$\pm$6.16;"[0.48763251 0.3639576  0.44169611 0.32508834 0.38869258 0.41342756
 0.36749117 0.54770318 0.39575972 0.39575972]";11.45$\pm$2.03;"[0.13427562 0.11660777 0.12720848 0.1130742  0.12720848 0.12014134
 0.13074205 0.1024735  0.1130742  0.06007067]";12.61$\pm$3.57;"[0.13427562 0.08127208 0.15547703 0.12720848 0.12014134 0.09893993
 0.204947   0.09893993 0.15194346 0.08833922]";19.05$\pm$2.98;"[0.21201413 0.14487633 0.20141343 0.18374558 0.19434629 0.1590106
 0.19787986 0.23321555 0.22968198 0.14840989]";17.28$\pm$5.06;"[0.20141343 0.11660777 0.07773852 0.12367491 0.204947   0.1590106
 0.19081272 0.25441696 0.2155477  0.18374558]";16.33$\pm$2.26;"[0.11660777 0.17667845 0.18727915 0.13427562 0.15547703 0.17667845
 0.15194346 0.19081272 0.17667845 0.16607774]";12.08$\pm$3.21;"[0.08833922 0.14840989 0.10954064 0.09540636 0.08480565 0.12014134
 0.19434629 0.14840989 0.10600707 0.1130742 ]";16.04$\pm$2.77;"[0.16254417 0.15194346 0.16961131 0.14134276 0.17314488 0.12720848
 0.18374558 0.20141343 0.18727915 0.10600707]";25.02$\pm$3.21;"[0.28621908 0.204947   0.22261484 0.22261484 0.28621908 0.2155477
 0.26855124 0.27561837 0.28975265 0.22968198]";17.39$\pm$2.9;"[0.13780919 0.14134276 0.19081272 0.1590106  0.18727915 0.13780919
 0.18374558 0.22614841 0.20848057 0.16607774]";36.11$\pm$7.08;"[0.39575972 0.39575972 0.3180212  0.25088339 0.28975265 0.46996466
 0.32155477 0.31448763 0.47349823 0.38162544]";77.74$\pm$4.25;"[0.78091873 0.73498233 0.78091873 0.83745583 0.72438163 0.74558304
 0.83745583 0.81978799 0.79151943 0.72084806]";18.73$\pm$2.04;"[0.18374558 0.19434629 0.22614841 0.1590106  0.19081272 0.16961131
 0.19081272 0.204947   0.19787986 0.15547703]";17.6$\pm$2.79;"[0.20141343 0.16607774 0.17314488 0.16254417 0.16254417 0.13074205
 0.17667845 0.24381625 0.16961131 0.17314488]";17.42$\pm$2.63;"[0.16961131 0.1590106  0.20141343 0.14840989 0.19081272 0.13427562
 0.18727915 0.22614841 0.17314488 0.15194346]";15.02$\pm$2.78;"[0.1590106  0.16607774 0.10954064 0.13074205 0.09893993 0.15547703
 0.14840989 0.16607774 0.17314488 0.19434629]";17.49$\pm$3.24;"[0.14840989 0.14840989 0.18727915 0.1590106  0.17314488 0.16961131
 0.24028269 0.2155477  0.18374558 0.12367491]";2.23$\pm$4.65;"[0.         0.         0.         0.         0.         0.08127208
 0.14134276 0.         0.         0.        ]";39.08$\pm$8.99;"[0.42756184 0.54063604 0.31095406 0.27208481 0.35335689 0.43109541
 0.39222615 0.34275618 0.54063604 0.29681979]";78.48$\pm$3.45;"[0.77385159 0.80918728 0.78091873 0.81272085 0.74911661 0.74558304
 0.85159011 0.79858657 0.795053   0.73144876]";16.75$\pm$1.73;"[0.18374558 0.15547703 0.17667845 0.16607774 0.17667845 0.14840989
 0.204947   0.1590106  0.1590106  0.14487633]";15.05$\pm$2.29;"[0.14487633 0.13427562 0.13074205 0.14840989 0.14487633 0.13427562
 0.15194346 0.204947   0.18021201 0.13074205]";18.16$\pm$2.79;"[0.20141343 0.13780919 0.16961131 0.14487633 0.16254417 0.18374558
 0.22614841 0.2155477  0.20141343 0.17314488]";19.01$\pm$2.35;"[0.21908127 0.14840989 0.19434629 0.18021201 0.19434629 0.1590106
 0.21908127 0.2155477  0.19787986 0.17314488]";13.43$\pm$2.93;"[0.09893993 0.13074205 0.16607774 0.14134276 0.15194346 0.08127208
 0.15194346 0.16961131 0.15194346 0.09893993]";15.41$\pm$4.06;"[0.15547703 0.10954064 0.14134276 0.12720848 0.15194346 0.15547703
 0.09540636 0.23674912 0.21201413 0.15547703]";43.0$\pm$6.88;"[0.44876325 0.40989399 0.47349823 0.42756184 0.28975265 0.50883392
 0.41696113 0.37809187 0.55123675 0.39575972]";79.79$\pm$3.08;"[0.7844523  0.81272085 0.80565371 0.83038869 0.78091873 0.77738516
 0.81272085 0.83392226 0.81625442 0.72438163]";12.97$\pm$1.77;"[0.12014134 0.13780919 0.13780919 0.13780919 0.12720848 0.12014134
 0.12367491 0.15194346 0.15194346 0.08833922]";8.48$\pm$1.8;"[0.08833922 0.06360424 0.08127208 0.07067138 0.08127208 0.07067138
 0.07067138 0.12720848 0.1024735  0.09187279]";9.96$\pm$4.2;"[0.11660777 0.16254417 0.05300353 0.07773852 0.06007067 0.08127208
 0.14487633 0.16607774 0.07773852 0.0565371 ]";12.51$\pm$3.28;"[0.07067138 0.07420495 0.15194346 0.10954064 0.10600707 0.12720848
 0.17314488 0.14134276 0.13780919 0.1590106 ]";6.33$\pm$3.74;"[0.0459364  0.1024735  0.1024735  0.03180212 0.06713781 0.03180212
 0.14134276 0.04946996 0.03886926 0.02120141]";9.54$\pm$2.39;"[0.1024735  0.07773852 0.08127208 0.08127208 0.05300353 0.09893993
 0.14134276 0.09187279 0.09893993 0.12720848]";53.25$\pm$5.6;"[0.57243816 0.54063604 0.4664311  0.48056537 0.45583039 0.58657244
 0.4664311  0.56537102 0.61130742 0.5795053 ]";70.85$\pm$6.04;"[0.71731449 0.60424028 0.72084806 0.77385159 0.68904594 0.72438163
 0.83038869 0.69257951 0.69611307 0.6360424 ]";13.39$\pm$3.08;"[0.15194346 0.14487633 0.15194346 0.13074205 0.13427562 0.08480565
 0.17667845 0.13780919 0.15547703 0.07067138]";15.02$\pm$3.79;"[0.17314488 0.10600707 0.13074205 0.1024735  0.09540636 0.17314488
 0.18374558 0.20848057 0.18374558 0.14487633]";8.62$\pm$2.94;"[0.12367491 0.07773852 0.09540636 0.06360424 0.09187279 0.07773852
 0.15194346 0.06713781 0.05300353 0.06007067]";15.55$\pm$2.16;"[0.14840989 0.1590106  0.14487633 0.14134276 0.18727915 0.12367491
 0.18021201 0.17314488 0.17314488 0.12367491]";14.03$\pm$2.88;"[0.12720848 0.10954064 0.19434629 0.13074205 0.18374558 0.11660777
 0.12720848 0.15194346 0.15547703 0.10600707]";16.96$\pm$2.74;"[0.13427562 0.12720848 0.18727915 0.16607774 0.18374558 0.14134276
 0.19081272 0.18374558 0.21908127 0.16254417]";7.56$\pm$2.52;"[0.05300353 0.06713781 0.08480565 0.07067138 0.03886926 0.05300353
 0.08480565 0.07773852 0.09187279 0.13427562]";4.95$\pm$3.7;"[0.02120141 0.03886926 0.02473498 0.11660777 0.0565371  0.04240283
 0.1130742  0.00706714 0.01060071 0.06360424]";9.05$\pm$2.21;"[0.08127208 0.06007067 0.06360424 0.08127208 0.12367491 0.07773852
 0.11660777 0.09187279 0.12367491 0.08480565]";16.18$\pm$1.86;"[0.13074205 0.16607774 0.19081272 0.15194346 0.18021201 0.1590106
 0.13780919 0.18374558 0.16607774 0.15194346]";12.65$\pm$2.05;"[0.1130742  0.15547703 0.15194346 0.13780919 0.12367491 0.1024735
 0.12720848 0.14487633 0.12014134 0.08833922]";13.5$\pm$2.87;"[0.12367491 0.13427562 0.06713781 0.1130742  0.13427562 0.14134276
 0.15547703 0.18021201 0.14487633 0.15547703]";8.41$\pm$2.97;"[0.10600707 0.08833922 0.08833922 0.08127208 0.06713781 0.04240283
 0.14487633 0.09540636 0.09187279 0.03533569]";17.28$\pm$3.02;"[0.12720848 0.12720848 0.16254417 0.17314488 0.20141343 0.14840989
 0.19081272 0.2155477  0.20848057 0.17314488]";8.87$\pm$2.0;"[0.1130742  0.07067138 0.07067138 0.06007067 0.07420495 0.08833922
 0.07773852 0.10954064 0.12014134 0.1024735 ]";76.4$\pm$3.85;"[0.74204947 0.77738516 0.74911661 0.80565371 0.7385159  0.75618375
 0.82332155 0.74204947 0.81272085 0.69257951]";18.3$\pm$2.72;"[0.16961131 0.13780919 0.15194346 0.19081272 0.19434629 0.16607774
 0.18021201 0.22614841 0.22614841 0.18727915]";16.89$\pm$2.79;"[0.15547703 0.1590106  0.17314488 0.15547703 0.18021201 0.13427562
 0.15194346 0.24028269 0.18727915 0.15194346]";16.86$\pm$3.97;"[0.14134276 0.14840989 0.11660777 0.1590106  0.204947   0.15194346
 0.13780919 0.22261484 0.24734982 0.15547703]";14.81$\pm$2.53;"[0.18374558 0.14134276 0.13780919 0.13427562 0.15194346 0.13427562
 0.1590106  0.19787986 0.13427562 0.10600707]";12.3$\pm$4.0;"[0.09540636 0.1024735  0.06713781 0.08127208 0.13427562 0.10600707
 0.12014134 0.14487633 0.20141343 0.17667845]";7.74$\pm$1.72;"[0.05300353 0.09187279 0.10954064 0.08833922 0.06007067 0.09187279
 0.0565371  0.07067138 0.07773852 0.07420495]";13.39$\pm$2.48;"[0.1130742  0.10954064 0.1590106  0.12720848 0.16961131 0.13780919
 0.08833922 0.16607774 0.13074205 0.13780919]";41.13$\pm$5.92;"[0.41342756 0.39222615 0.34275618 0.42402827 0.41342756 0.36749117
 0.54416961 0.39575972 0.48056537 0.33922261]";13.32$\pm$6.29;"[0.07773852 0.12014134 0.08127208 0.10600707 0.16607774 0.07067138
 0.22968198 0.25441696 0.15194346 0.07420495]";16.29$\pm$3.74;"[0.14134276 0.1024735  0.204947   0.12367491 0.18021201 0.13780919
 0.18727915 0.20141343 0.2155477  0.13427562]";16.01$\pm$2.69;"[0.18021201 0.1590106  0.16607774 0.16961131 0.19787986 0.12720848
 0.15547703 0.16607774 0.18021201 0.09893993]";17.77$\pm$2.26;"[0.14487633 0.16254417 0.19081272 0.16254417 0.18727915 0.15547703
 0.20848057 0.21908127 0.18021201 0.16607774]";14.31$\pm$2.77;"[0.14134276 0.13780919 0.12720848 0.12014134 0.17667845 0.12014134
 0.14840989 0.20141343 0.15547703 0.1024735 ]";7.46$\pm$2.29;"[0.03886926 0.07420495 0.10600707 0.07773852 0.08480565 0.0565371
 0.07773852 0.1130742  0.07420495 0.04240283]"
Hits@20;52.19$\pm$5.06;"[0.55830389 0.4664311  0.55477032 0.49116608 0.48056537 0.52650177
 0.50176678 0.63957597 0.5335689  0.4664311 ]";16.18$\pm$3.14;"[0.18727915 0.16607774 0.16254417 0.15194346 0.17667845 0.18374558
 0.17667845 0.14487633 0.19081272 0.07773852]";19.12$\pm$2.92;"[0.18727915 0.16961131 0.20848057 0.16607774 0.19434629 0.12720848
 0.22968198 0.21908127 0.21908127 0.19081272]";23.71$\pm$3.12;"[0.24381625 0.20848057 0.22968198 0.22614841 0.2155477  0.19787986
 0.27208481 0.29328622 0.27561837 0.20848057]";25.23$\pm$4.77;"[0.28268551 0.18727915 0.23321555 0.18021201 0.25088339 0.19787986
 0.28975265 0.32155477 0.29681979 0.28268551]";21.24$\pm$2.45;"[0.17667845 0.20141343 0.24028269 0.16607774 0.24734982 0.20848057
 0.22261484 0.22968198 0.21908127 0.21201413]";17.46$\pm$2.64;"[0.19081272 0.18021201 0.14840989 0.13780919 0.15547703 0.1590106
 0.22968198 0.204947   0.16607774 0.17314488]";19.89$\pm$2.67;"[0.19787986 0.20848057 0.19787986 0.15547703 0.19081272 0.17667845
 0.25441696 0.22614841 0.20848057 0.17314488]";33.43$\pm$4.01;"[0.38515901 0.29681979 0.28975265 0.32508834 0.34982332 0.25795053
 0.36749117 0.38515901 0.34982332 0.33568905]";22.79$\pm$4.1;"[0.19434629 0.16961131 0.22261484 0.24028269 0.22261484 0.19081272
 0.30742049 0.24381625 0.28621908 0.20141343]";52.54$\pm$5.78;"[0.60777385 0.51236749 0.5229682  0.42402827 0.49116608 0.59363958
 0.50530035 0.45229682 0.58303887 0.56183746]";83.64$\pm$3.7;"[0.84805654 0.86572438 0.83745583 0.87279152 0.78798587 0.80212014
 0.88339223 0.87632509 0.81272085 0.77738516]";23.39$\pm$1.81;"[0.24734982 0.25088339 0.26501767 0.2155477  0.21908127 0.21201413
 0.23674912 0.25088339 0.22968198 0.21201413]";23.18$\pm$4.12;"[0.27561837 0.21908127 0.22968198 0.21908127 0.21201413 0.18374558
 0.2155477  0.33568905 0.20141343 0.22614841]";23.11$\pm$3.37;"[0.24028269 0.19081272 0.24028269 0.22261484 0.23674912 0.18727915
 0.31448763 0.24028269 0.20848057 0.22968198]";19.58$\pm$1.66;"[0.19787986 0.18021201 0.18374558 0.18374558 0.18374558 0.20141343
 0.18021201 0.19787986 0.2155477  0.23321555]";23.85$\pm$3.3;"[0.20848057 0.204947   0.27915194 0.204947   0.26501767 0.22614841
 0.30035336 0.25441696 0.23674912 0.204947  ]";7.95$\pm$8.18;"[0.         0.         0.14487633 0.         0.         0.13427562
 0.21201413 0.         0.14840989 0.15547703]";54.63$\pm$4.34;"[0.55830389 0.61484099 0.51236749 0.45936396 0.55830389 0.54416961
 0.59717314 0.51590106 0.5795053  0.5229682 ]";82.4$\pm$3.5;"[0.79858657 0.86572438 0.83392226 0.86572438 0.78798587 0.80212014
 0.86925795 0.83392226 0.82332155 0.75971731]";23.22$\pm$3.0;"[0.26855124 0.19434629 0.2155477  0.22968198 0.23321555 0.204947
 0.30035336 0.22261484 0.21201413 0.24028269]";19.72$\pm$2.62;"[0.19787986 0.17314488 0.19081272 0.19081272 0.19787986 0.17667845
 0.18374558 0.25441696 0.23674912 0.16961131]";24.95$\pm$4.87;"[0.28975265 0.19434629 0.19787986 0.23321555 0.204947   0.21908127
 0.36042403 0.27208481 0.26855124 0.25441696]";22.3$\pm$2.76;"[0.26855124 0.20141343 0.2155477  0.19787986 0.24028269 0.17667845
 0.2614841  0.23321555 0.22968198 0.204947  ]";18.55$\pm$3.32;"[0.18374558 0.16254417 0.19787986 0.19081272 0.22261484 0.1024735
 0.19081272 0.21201413 0.21908127 0.17314488]";22.19$\pm$3.41;"[0.21201413 0.1590106  0.2155477  0.23321555 0.25795053 0.19787986
 0.20141343 0.27208481 0.26855124 0.20141343]";59.65$\pm$2.96;"[0.61130742 0.59717314 0.56183746 0.5795053  0.59717314 0.60424028
 0.58303887 0.56183746 0.67137809 0.59717314]";83.11$\pm$2.05;"[0.80565371 0.85159011 0.8409894  0.86572438 0.81272085 0.81272085
 0.83392226 0.84805654 0.83745583 0.80212014]";17.84$\pm$1.42;"[0.14487633 0.18021201 0.18021201 0.16961131 0.16961131 0.18374558
 0.18021201 0.18374558 0.19081272 0.20141343]";13.99$\pm$2.1;"[0.1130742  0.1024735  0.14487633 0.11660777 0.16961131 0.1590106
 0.14487633 0.1590106  0.14840989 0.14134276]";15.23$\pm$4.79;"[0.21201413 0.22261484 0.12014134 0.12720848 0.1130742  0.13780919
 0.19434629 0.20141343 0.11660777 0.07773852]";19.51$\pm$3.38;"[0.14840989 0.14840989 0.22968198 0.1590106  0.204947   0.18727915
 0.21201413 0.25441696 0.21908127 0.18727915]";11.66$\pm$5.52;"[0.09893993 0.1590106  0.16607774 0.06007067 0.10600707 0.08833922
 0.24381625 0.11660777 0.06360424 0.06360424]";16.75$\pm$2.39;"[0.18727915 0.12367491 0.21201413 0.13780919 0.16607774 0.16254417
 0.18021201 0.1590106  0.16254417 0.18374558]";62.76$\pm$3.18;"[0.63957597 0.61484099 0.54416961 0.64310954 0.61837456 0.63957597
 0.65724382 0.61484099 0.64310954 0.66077739]";76.93$\pm$4.1;"[0.77031802 0.77738516 0.78798587 0.81978799 0.74911661 0.7385159
 0.84805654 0.77385159 0.72084806 0.70671378]";18.73$\pm$2.64;"[0.18374558 0.18727915 0.19434629 0.15194346 0.2155477  0.14134276
 0.22614841 0.20848057 0.20141343 0.16254417]";22.79$\pm$4.33;"[0.24734982 0.16607774 0.2614841  0.14134276 0.25441696 0.21201413
 0.23321555 0.24028269 0.29681979 0.22614841]";14.91$\pm$5.15;"[0.1590106  0.16607774 0.18021201 0.1024735  0.13074205 0.14134276
 0.27208481 0.15547703 0.1130742  0.07067138]";19.43$\pm$3.04;"[0.17314488 0.20141343 0.18021201 0.18374558 0.21908127 0.14487633
 0.25088339 0.2155477  0.2155477  0.1590106 ]";19.58$\pm$2.46;"[0.18727915 0.16607774 0.22261484 0.20141343 0.24028269 0.16961131
 0.17667845 0.19081272 0.22614841 0.17667845]";24.31$\pm$3.51;"[0.24028269 0.19081272 0.22614841 0.20848057 0.22968198 0.25088339
 0.31095406 0.29681979 0.25088339 0.22614841]";14.49$\pm$3.82;"[0.13427562 0.1590106  0.16961131 0.16254417 0.06713781 0.12014134
 0.14487633 0.1130742  0.1590106  0.21908127]";9.51$\pm$3.52;"[0.04946996 0.13074205 0.09540636 0.14134276 0.09187279 0.06360424
 0.15547703 0.06713781 0.0565371  0.09893993]";13.99$\pm$3.06;"[0.10600707 0.1024735  0.09893993 0.10954064 0.16607774 0.14134276
 0.17314488 0.16607774 0.17667845 0.1590106 ]";22.51$\pm$2.78;"[0.19787986 0.21201413 0.26501767 0.22614841 0.27561837 0.18374558
 0.20141343 0.24381625 0.21908127 0.22614841]";16.78$\pm$2.09;"[0.14487633 0.19787986 0.19434629 0.19081272 0.14487633 0.15547703
 0.16254417 0.17314488 0.13780919 0.17667845]";19.43$\pm$3.19;"[0.16607774 0.18374558 0.13780919 0.16961131 0.18374558 0.23674912
 0.20848057 0.23674912 0.18727915 0.23321555]";12.76$\pm$3.43;"[0.15547703 0.14487633 0.11660777 0.10954064 0.14134276 0.09540636
 0.18727915 0.1590106  0.09893993 0.06713781]";21.63$\pm$3.82;"[0.20848057 0.13780919 0.21201413 0.204947   0.27208481 0.19434629
 0.2155477  0.27561837 0.24381625 0.19787986]";14.73$\pm$1.91;"[0.15194346 0.14487633 0.11660777 0.13427562 0.13427562 0.14134276
 0.13074205 0.16961131 0.17314488 0.17667845]";79.82$\pm$2.69;"[0.77738516 0.81978799 0.79858657 0.83745583 0.77031802 0.77385159
 0.83745583 0.7844523  0.81978799 0.76325088]";26.43$\pm$4.15;"[0.29681979 0.19787986 0.22261484 0.24734982 0.28268551 0.24028269
 0.22261484 0.29328622 0.32508834 0.31448763]";22.12$\pm$2.45;"[0.24381625 0.18021201 0.21908127 0.19081272 0.23674912 0.22614841
 0.21201413 0.26501767 0.23674912 0.20141343]";23.75$\pm$4.23;"[0.18374558 0.22614841 0.2155477  0.2155477  0.29681979 0.22261484
 0.17667845 0.28621908 0.30035336 0.25088339]";20.88$\pm$3.74;"[0.28621908 0.22261484 0.18021201 0.15547703 0.25088339 0.18374558
 0.204947   0.23321555 0.18021201 0.19081272]";17.81$\pm$4.1;"[0.16607774 0.15194346 0.13780919 0.12014134 0.19081272 0.17667845
 0.16607774 0.16961131 0.25441696 0.24734982]";13.14$\pm$2.46;"[0.14840989 0.13074205 0.16254417 0.13427562 0.09893993 0.16607774
 0.08127208 0.13427562 0.12720848 0.13074205]";18.8$\pm$2.63;"[0.17314488 0.18021201 0.22261484 0.18374558 0.23321555 0.18021201
 0.13780919 0.21201413 0.18374558 0.17314488]";53.78$\pm$4.3;"[0.5795053  0.56537102 0.52650177 0.5229682  0.48056537 0.50530035
 0.60424028 0.53003534 0.59010601 0.47349823]";21.31$\pm$6.05;"[0.12014134 0.19787986 0.13074205 0.22261484 0.24028269 0.14840989
 0.3180212  0.26855124 0.25088339 0.23321555]";23.11$\pm$3.09;"[0.25795053 0.20848057 0.25795053 0.17314488 0.22261484 0.22614841
 0.22614841 0.28268551 0.25441696 0.20141343]";21.7$\pm$3.6;"[0.26501767 0.19081272 0.204947   0.22614841 0.26855124 0.18021201
 0.21201413 0.22614841 0.24734982 0.14840989]";23.43$\pm$2.23;"[0.2155477  0.23674912 0.24028269 0.19787986 0.24381625 0.22261484
 0.24381625 0.28621908 0.21908127 0.23674912]";18.41$\pm$2.44;"[0.19434629 0.17667845 0.16607774 0.1590106  0.22614841 0.18021201
 0.18374558 0.22261484 0.18727915 0.14487633]";11.13$\pm$2.17;"[0.07420495 0.11660777 0.13074205 0.13427562 0.13074205 0.08833922
 0.09540636 0.13780919 0.11660777 0.08833922]"
