metrics;baseline,enc:gcn_bgrl,pred:inner_mean;baseline,enc:gcn_bgrl,pred:inner;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;baseline,enc:gcn_bgrl,pred:ncn_mean;baseline,enc:gcn_bgrl,pred:ncn;grace,enc:gcn_bgrl,pred:inner,random_mean;grace,enc:gcn_bgrl,pred:inner,random;grace,enc:gcn_bgrl,pred:inner,deg_mean;grace,enc:gcn_bgrl,pred:inner,deg;grace,enc:gcn_bgrl,pred:inner,evc_mean;grace,enc:gcn_bgrl,pred:inner,evc;grace,enc:gcn_bgrl,pred:inner,pr_mean;grace,enc:gcn_bgrl,pred:inner,pr;grace,enc:gcn_bgrl,pred:inner,scom_mean;grace,enc:gcn_bgrl,pred:inner,scom;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random;grace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:inner,kmeans+random_mean;grace,enc:gcn_bgrl,pred:inner,kmeans+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:mlp,kmeans+random_mean;grace,enc:gcn_bgrl,pred:mlp,kmeans+random;grace,enc:gcn_bgrl,pred:ncn,random_mean;grace,enc:gcn_bgrl,pred:ncn,random;grace,enc:gcn_bgrl,pred:ncn,deg_mean;grace,enc:gcn_bgrl,pred:ncn,deg;grace,enc:gcn_bgrl,pred:ncn,evc_mean;grace,enc:gcn_bgrl,pred:ncn,evc;grace,enc:gcn_bgrl,pred:ncn,pr_mean;grace,enc:gcn_bgrl,pred:ncn,pr;grace,enc:gcn_bgrl,pred:ncn,scom_mean;grace,enc:gcn_bgrl,pred:ncn,scom;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:ncn,kmeans+random_mean;grace,enc:gcn_bgrl,pred:ncn,kmeans+random;bgrl,enc:gcn_bgrl,pred:inner,random_mean;bgrl,enc:gcn_bgrl,pred:inner,random
Hits@10;83.59$\pm$2.26;"[0.83627343 0.86163175 0.78776185 0.86218302 0.8384785  0.80981257
 0.83902977 0.8401323  0.85997795 0.82359427]";89.0$\pm$2.58;"[0.90848953 0.91289967 0.82745314 0.9123484  0.88533627 0.89966924
 0.90132304 0.87816979 0.90959206 0.86493936]";88.52$\pm$1.65;"[0.89966924 0.88643881 0.85722161 0.89966924 0.88202867 0.90959206
 0.86493936 0.87155458 0.90187431 0.87872106]";78.61$\pm$4.26;"[0.75964719 0.84343991 0.72546858 0.79658214 0.69845645 0.79437707
 0.80319735 0.80485116 0.82083793 0.81367144]";44.36$\pm$5.0;"[0.41124587 0.43439912 0.36824697 0.53472988 0.49228225 0.44211687
 0.49062845 0.39636163 0.3952591  0.47023153]";46.86$\pm$8.26;"[0.40352811 0.55016538 0.37927233 0.66097023 0.52039691 0.39581036
 0.4415656  0.48125689 0.42557883 0.4277839 ]";35.14$\pm$21.62;"[0.13781698 0.29933848 0.68522602 0.13120176 0.33627343 0.24972437
 0.46527012 0.11190739 0.77287762 0.3246968 ]";69.06$\pm$3.3;"[0.72491731 0.71499449 0.63781698 0.65380375 0.72932745 0.72712238
 0.64994487 0.70396913 0.67254686 0.69128997]";73.12$\pm$8.23;"[0.65711136 0.73814774 0.75137817 0.81918412 0.79933848 0.65270121
 0.55347299 0.8246968  0.78445424 0.73153252]";33.52$\pm$10.69;"[0.19625138 0.353914   0.40628445 0.5463065  0.25523705 0.33186329
 0.46802646 0.3213892  0.25964719 0.21278942]";17.05$\pm$4.27;"[0.16868798 0.17640573 0.22050717 0.16979052 0.13009923 0.1615215
 0.23042999 0.18081588 0.19459757 0.0722161 ]";61.42$\pm$3.7;"[0.60253583 0.55567806 0.60804851 0.68081588 0.56174201 0.64167585
 0.62789416 0.65600882 0.60418964 0.6030871 ]";88.61$\pm$2.46;"[0.88919515 0.92557883 0.84123484 0.88533627 0.85281147 0.90738699
 0.90352811 0.90463065 0.87045204 0.88092613]";82.9$\pm$4.97;"[0.81918412 0.85997795 0.7061742  0.853914   0.81367144 0.81146637
 0.84509372 0.88754135 0.88588754 0.80705623]";84.16$\pm$3.08;"[0.85446527 0.80264609 0.77949283 0.89801544 0.83186329 0.85005513
 0.84564498 0.86383682 0.85170893 0.8384785 ]";86.26$\pm$4.72;"[0.89636163 0.90959206 0.75578831 0.89195149 0.84178611 0.90407938
 0.86990077 0.80264609 0.89140022 0.86218302]";88.5$\pm$1.72;"[0.90407938 0.90132304 0.85777288 0.89966924 0.87982359 0.90407938
 0.86549063 0.86824697 0.8969129  0.87210584]";76.56$\pm$5.26;"[0.78500551 0.80154355 0.65490628 0.78886439 0.70176406 0.7337376
 0.74862183 0.8246968  0.78996692 0.82690187]";86.22$\pm$1.65;"[0.88864388 0.85170893 0.82965821 0.88202867 0.85611907 0.86218302
 0.86383682 0.85777288 0.87872106 0.85115766]";85.54$\pm$3.48;"[0.88809261 0.87320838 0.78335171 0.90738699 0.86549063 0.853914
 0.80650496 0.87045204 0.84564498 0.85997795]";85.49$\pm$3.38;"[0.88699008 0.8831312  0.78335171 0.86383682 0.84564498 0.85556781
 0.84233738 0.89305402 0.8831312  0.81146637]";74.88$\pm$8.57;"[0.73098126 0.88643881 0.6890849  0.76185226 0.73484013 0.707828
 0.61245865 0.8076075  0.88974642 0.66703418]";88.22$\pm$2.23;"[0.88423374 0.90738699 0.83958104 0.89084895 0.84233738 0.89140022
 0.88809261 0.90187431 0.89966924 0.87706725]";84.84$\pm$4.73;"[0.8831312  0.85281147 0.72216097 0.90297685 0.87541345 0.84399118
 0.8213892  0.84729879 0.87210584 0.86273429]";87.81$\pm$2.56;"[0.89415656 0.9106946  0.81918412 0.87045204 0.88919515 0.89470783
 0.84895259 0.88092613 0.89911797 0.87320838]";65.95$\pm$13.33;"[0.88202867 0.81863286 0.55292172 0.70341786 0.70948181 0.55953693
 0.53528115 0.80209482 0.51433297 0.51708931]";83.62$\pm$2.17;"[0.85281147 0.85887541 0.80705623 0.82083793 0.81808159 0.85060639
 0.85832415 0.86493936 0.823043   0.8076075 ]";86.93$\pm$3.23;"[0.89746417 0.9106946  0.78445424 0.87265711 0.86714443 0.87320838
 0.85667034 0.88423374 0.88533627 0.86108049]";70.79$\pm$5.4;"[0.79988975 0.67640573 0.69294377 0.7337376  0.60418964 0.65104741
 0.7370452  0.77067255 0.70286659 0.71058434]"
Hits@20;89.36$\pm$1.74;"[0.90463065 0.91841235 0.85556781 0.89966924 0.88368247 0.88037486
 0.88974642 0.91400221 0.90187431 0.88809261]";91.69$\pm$1.08;"[0.91675854 0.9261301  0.88699008 0.92227122 0.91675854 0.91841235
 0.91455347 0.92833517 0.92006615 0.91841235]";92.12$\pm$1.23;"[0.92116869 0.93660419 0.89029768 0.92557883 0.91565601 0.92557883
 0.92282249 0.93660419 0.91951488 0.91786108]";85.89$\pm$1.59;"[0.85667034 0.87320838 0.82414553 0.87651599 0.84509372 0.8522602
 0.85336273 0.87541345 0.85777288 0.87486218]";49.87$\pm$5.68;"[0.44873208 0.51488423 0.3969129  0.5584344  0.5722161  0.51267916
 0.54410143 0.48346196 0.41951488 0.53638368]";55.41$\pm$8.97;"[0.47353914 0.62458655 0.49173098 0.74751929 0.58434399 0.45920617
 0.55402426 0.63836825 0.46471885 0.50275634]";53.09$\pm$18.61;"[0.34509372 0.55788313 0.79603087 0.30099228 0.51929438 0.53417861
 0.67364939 0.2491731  0.82635061 0.50606395]";76.09$\pm$2.71;"[0.77563396 0.74476295 0.70837927 0.77894157 0.78610805 0.77177508
 0.74366042 0.78721058 0.72436604 0.78776185]";89.99$\pm$1.05;"[0.90022051 0.90297685 0.90683572 0.91675854 0.89084895 0.89029768
 0.87761852 0.90463065 0.90132304 0.90738699]";51.66$\pm$9.73;"[0.42171996 0.59647189 0.52039691 0.69680265 0.33461963 0.57276736
 0.58710033 0.46968026 0.50661521 0.45975744]";23.58$\pm$4.05;"[0.22491731 0.23428886 0.24145535 0.23649394 0.17089305 0.27012128
 0.30374862 0.24696803 0.26571114 0.16372657]";71.38$\pm$3.45;"[0.71278942 0.64443219 0.69735391 0.76019846 0.66813671 0.7045204
 0.73869901 0.74862183 0.7353914  0.72767365]";92.15$\pm$1.01;"[0.92723264 0.93439912 0.89966924 0.92502756 0.91620728 0.92171996
 0.92006615 0.93660419 0.92116869 0.91289967]";90.07$\pm$2.22;"[0.89966924 0.92171996 0.85005513 0.92006615 0.89470783 0.90187431
 0.88257993 0.92392503 0.92337376 0.88864388]";90.36$\pm$2.17;"[0.9106946  0.92061742 0.84509372 0.91786108 0.89084895 0.91730981
 0.89581036 0.92006615 0.91124587 0.90683572]";91.48$\pm$1.81;"[0.91565601 0.92668137 0.86659316 0.92227122 0.91896362 0.91951488
 0.90187431 0.93660419 0.92006615 0.92006615]";91.82$\pm$1.09;"[0.92227122 0.93274531 0.89581036 0.92502756 0.90793826 0.92337376
 0.91565601 0.93109151 0.92061742 0.90793826]";86.64$\pm$1.96;"[0.87155458 0.86163175 0.83572216 0.88699008 0.84068357 0.85060639
 0.85942668 0.89966924 0.87320838 0.88423374]";89.93$\pm$1.22;"[0.90518192 0.91786108 0.87486218 0.89415656 0.88864388 0.89911797
 0.89250276 0.91620728 0.90628445 0.8985667 ]";91.96$\pm$2.34;"[0.92888644 0.93770673 0.8660419  0.94432194 0.91400221 0.93384785
 0.8952591  0.94597574 0.9123484  0.91730981]";91.13$\pm$1.37;"[0.91620728 0.92833517 0.88368247 0.91841235 0.91510474 0.91455347
 0.90187431 0.92888644 0.91289967 0.89305402]";89.93$\pm$2.09;"[0.90904079 0.92557883 0.87872106 0.91841235 0.89305402 0.86714443
 0.86659316 0.92006615 0.91455347 0.90022051]";91.79$\pm$1.04;"[0.91675854 0.92943771 0.89966924 0.92557883 0.90628445 0.91455347
 0.91014333 0.93495039 0.91675854 0.92502756]";91.61$\pm$1.49;"[0.91510474 0.93164278 0.90022051 0.92888644 0.91510474 0.91620728
 0.88368247 0.93825799 0.91786108 0.91400221]";92.02$\pm$1.16;"[0.92061742 0.93715546 0.89801544 0.92227122 0.91345094 0.92668137
 0.9123484  0.93825799 0.92227122 0.9106946 ]";89.2$\pm$3.21;"[0.9123484  0.92006615 0.87982359 0.91565601 0.90904079 0.91014333
 0.83627343 0.92668137 0.83627343 0.87375965]";90.23$\pm$1.56;"[0.91345094 0.91620728 0.88643881 0.90463065 0.87872106 0.91289967
 0.89636163 0.92833517 0.90518192 0.88037486]";92.35$\pm$1.66;"[0.9277839  0.95093716 0.89084895 0.92998897 0.91786108 0.91730981
 0.9106946  0.94762955 0.92668137 0.91565601]";80.23$\pm$3.22;"[0.8368247  0.82800441 0.78335171 0.82635061 0.76130099 0.73649394
 0.80154355 0.84178611 0.80595369 0.80099228]"
Hits@50;92.92$\pm$0.75;"[0.9277839  0.93936053 0.91400221 0.93054024 0.9261301  0.92668137
 0.92337376 0.94211687 0.93109151 0.93109151]";93.45$\pm$0.43;"[0.93329658 0.93770673 0.92888644 0.93605292 0.93880926 0.93605292
 0.93109151 0.94266814 0.92833517 0.93219405]";93.65$\pm$0.35;"[0.93384785 0.94046307 0.93329658 0.93605292 0.93715546 0.93715546
 0.93054024 0.9432194  0.93495039 0.93880926]";90.4$\pm$1.03;"[0.89029768 0.92282249 0.89140022 0.90573319 0.89415656 0.91289967
 0.89746417 0.90683572 0.90297685 0.91510474]";58.09$\pm$6.75;"[0.5292172  0.6030871  0.45644983 0.64884234 0.66868798 0.60198456
 0.63947078 0.57993385 0.47960309 0.6014333 ]";71.52$\pm$7.21;"[0.64332966 0.78390298 0.57938258 0.82028666 0.75578831 0.65490628
 0.75303197 0.75909592 0.65931643 0.74310915]";76.96$\pm$6.26;"[0.74751929 0.76736494 0.87155458 0.6615215  0.72601985 0.75633958
 0.77398015 0.75303197 0.88754135 0.75137817]";81.53$\pm$2.07;"[0.823043   0.80650496 0.77232635 0.83241455 0.8213892  0.81256891
 0.80485116 0.83792723 0.79603087 0.84619625]";93.01$\pm$0.49;"[0.9261301  0.93605292 0.93219405 0.92998897 0.92668137 0.92998897
 0.92392503 0.93825799 0.92337376 0.93439912]";70.3$\pm$6.8;"[0.65159868 0.73484013 0.68963616 0.83131202 0.58158765 0.73594267
 0.78445424 0.69680265 0.66482911 0.65876516]";32.72$\pm$5.23;"[0.32855568 0.3092613  0.28776185 0.32194046 0.26350606 0.41565601
 0.4123484  0.35336273 0.32745314 0.25192944]";81.6$\pm$2.76;"[0.83020948 0.77232635 0.81146637 0.87045204 0.78114664 0.79603087
 0.80815877 0.8213892  0.84178611 0.82745314]";93.83$\pm$0.44;"[0.93384785 0.9415656  0.93825799 0.93936053 0.93825799 0.93770673
 0.93329658 0.94762955 0.93164278 0.94101433]";93.55$\pm$0.52;"[0.92943771 0.9399118  0.93329658 0.93384785 0.93770673 0.93605292
 0.92668137 0.94487321 0.93274531 0.94046307]";93.48$\pm$0.46;"[0.93164278 0.93605292 0.9277839  0.93495039 0.93660419 0.93605292
 0.92888644 0.94377067 0.93219405 0.9399118 ]";93.59$\pm$0.47;"[0.93109151 0.93880926 0.92943771 0.93770673 0.93880926 0.93605292
 0.93054024 0.94542448 0.93274531 0.93880926]";93.72$\pm$0.33;"[0.93495039 0.93825799 0.93495039 0.93605292 0.93825799 0.93825799
 0.93219405 0.94487321 0.93439912 0.93936053]";93.25$\pm$0.53;"[0.92557883 0.93715546 0.92668137 0.93550165 0.93384785 0.92998897
 0.92833517 0.94377067 0.92888644 0.93495039]";92.37$\pm$0.6;"[0.92557883 0.93329658 0.9106946  0.92116869 0.93054024 0.92557883
 0.92006615 0.9277839  0.92061742 0.92171996]";96.1$\pm$0.49;"[0.96251378 0.96802646 0.96306505 0.96416759 0.96361632 0.95865491
 0.96196251 0.96306505 0.95314223 0.95148842]";93.52$\pm$0.43;"[0.92998897 0.9415656  0.93219405 0.93329658 0.93715546 0.93495039
 0.93054024 0.94377067 0.93274531 0.93605292]";93.27$\pm$0.54;"[0.92833517 0.93770673 0.92061742 0.93439912 0.93384785 0.93384785
 0.9277839  0.94046307 0.93439912 0.93550165]";93.32$\pm$0.48;"[0.9277839  0.93880926 0.92888644 0.93550165 0.93384785 0.93550165
 0.9277839  0.94101433 0.92668137 0.93660419]";93.8$\pm$0.36;"[0.93439912 0.9415656  0.93550165 0.9399118  0.93825799 0.93770673
 0.93384785 0.94597574 0.93439912 0.93880926]";93.73$\pm$0.44;"[0.93495039 0.9432194  0.93329658 0.93770673 0.93936053 0.93770673
 0.93219405 0.94597574 0.93219405 0.93605292]";92.91$\pm$0.56;"[0.92392503 0.93936053 0.9277839  0.93495039 0.92668137 0.92888644
 0.92116869 0.93550165 0.92282249 0.92998897]";93.93$\pm$0.5;"[0.93936053 0.94487321 0.93274531 0.94432194 0.93274531 0.9432194
 0.93384785 0.94432194 0.9432194  0.93439912]";96.37$\pm$0.73;"[0.96251378 0.97133407 0.95038589 0.97188534 0.9707828  0.96582139
 0.95148842 0.96692393 0.96582139 0.95975744]";87.12$\pm$1.11;"[0.87100331 0.88809261 0.85942668 0.87706725 0.87155458 0.86052922
 0.85501654 0.87596472 0.86383682 0.88919515]"
Hits@100;94.44$\pm$0.59;"[0.93936053 0.94983462 0.9399118  0.94542448 0.94101433 0.9415656
 0.93880926 0.95920617 0.94432194 0.94432194]";93.81$\pm$0.42;"[0.93605292 0.9399118  0.93219405 0.93825799 0.94101433 0.93880926
 0.93495039 0.94707828 0.93274531 0.94046307]";93.99$\pm$0.26;"[0.93770673 0.9432194  0.93715546 0.93770673 0.9415656  0.93880926
 0.93825799 0.94487321 0.93770673 0.9415656 ]";92.75$\pm$0.66;"[0.92227122 0.94377067 0.91896362 0.92668137 0.92557883 0.92998897
 0.92061742 0.92833517 0.92668137 0.93164278]";65.37$\pm$7.57;"[0.60915105 0.6753032  0.50551268 0.74090408 0.72657111 0.68302095
 0.70121279 0.68743109 0.53031974 0.67750827]";81.37$\pm$4.52;"[0.76846748 0.84729879 0.71664829 0.87982359 0.83131202 0.81367144
 0.82194046 0.85556781 0.77894157 0.823043  ]";85.34$\pm$3.06;"[0.83186329 0.85556781 0.89746417 0.81146637 0.85446527 0.83186329
 0.85887541 0.85005513 0.91620728 0.82635061]";84.55$\pm$1.4;"[0.84619625 0.83572216 0.82194046 0.85115766 0.84564498 0.84564498
 0.82690187 0.86659316 0.84785006 0.8676957 ]";96.04$\pm$0.34;"[0.95833612 0.96085025 0.96229285 0.96095905 0.96272906 0.95656842
 0.95381353 0.96592112 0.95916054 0.96333461]";80.45$\pm$3.93;"[0.75413451 0.83076075 0.80871003 0.87872106 0.74641676 0.80871003
 0.853914   0.79327453 0.78776185 0.78280044]";40.41$\pm$4.85;"[0.41345094 0.38423374 0.3522602  0.39084895 0.3368247  0.48180816
 0.47023153 0.45920617 0.39415656 0.35777288]";87.22$\pm$1.92;"[0.88754135 0.85336273 0.86108049 0.90518192 0.84564498 0.85115766
 0.86328556 0.88202867 0.8952591  0.87706725]";94.15$\pm$0.36;"[0.93880926 0.94432194 0.9399118  0.9415656  0.94211687 0.94046307
 0.93715546 0.94928335 0.93660419 0.94432194]";93.94$\pm$0.39;"[0.93495039 0.94487321 0.93880926 0.93770673 0.9399118  0.93770673
 0.93605292 0.94652701 0.93495039 0.94266814]";94.02$\pm$0.35;"[0.93550165 0.9432194  0.93825799 0.93936053 0.94266814 0.93936053
 0.93715546 0.94597574 0.93605292 0.94487321]";93.94$\pm$0.39;"[0.93439912 0.94377067 0.93715546 0.93825799 0.9415656  0.93825799
 0.93439912 0.94597574 0.93605292 0.94377067]";94.02$\pm$0.34;"[0.93660419 0.9415656  0.93825799 0.93936053 0.94211687 0.93936053
 0.93715546 0.94762955 0.93660419 0.94377067]";94.05$\pm$0.39;"[0.93495039 0.94432194 0.93770673 0.9399118  0.94211687 0.9399118
 0.93715546 0.94762955 0.93660419 0.94487321]";92.93$\pm$0.4;"[0.92943771 0.93495039 0.92227122 0.92557883 0.93329658 0.92998897
 0.92668137 0.93384785 0.92502756 0.93164278]";97.28$\pm$0.31;"[0.97519294 0.97794928 0.97298787 0.97133407 0.97464168 0.97188534
 0.97574421 0.97188534 0.97023153 0.96637266]";93.93$\pm$0.34;"[0.93605292 0.94377067 0.93605292 0.93825799 0.94046307 0.93825799
 0.93715546 0.94707828 0.93660419 0.93936053]";93.91$\pm$0.42;"[0.93384785 0.94542448 0.93439912 0.93936053 0.93770673 0.93770673
 0.93550165 0.94487321 0.93715546 0.94487321]";93.69$\pm$0.44;"[0.93164278 0.94046307 0.93274531 0.93880926 0.93825799 0.93880926
 0.93329658 0.94542448 0.93054024 0.93880926]";94.08$\pm$0.35;"[0.93660419 0.94432194 0.93936053 0.9399118  0.94211687 0.93880926
 0.93770673 0.94818082 0.93770673 0.94377067]";94.16$\pm$0.43;"[0.93825799 0.94873208 0.93936053 0.9415656  0.9415656  0.94046307
 0.93550165 0.94818082 0.93660419 0.94542448]";93.69$\pm$0.46;"[0.93274531 0.94266814 0.93715546 0.94046307 0.93054024 0.93825799
 0.93439912 0.94432194 0.93054024 0.93770673]";94.84$\pm$0.32;"[0.94487321 0.94818082 0.94928335 0.95093716 0.94762955 0.95148842
 0.9415656  0.94983462 0.95314223 0.94707828]";97.71$\pm$0.31;"[0.97629548 0.98125689 0.97684675 0.97739802 0.97739802 0.97960309
 0.9707828  0.97960309 0.97960309 0.9724366 ]";89.65$\pm$1.0;"[0.89250276 0.91345094 0.88478501 0.89801544 0.89966924 0.8969129
 0.87872106 0.89801544 0.89195149 0.9106946 ]"
ROCAUC;97.05$\pm$0.29;"[0.96973466 0.97455294 0.96509447 0.9712353  0.96616802 0.97022059
 0.97153798 0.97425582 0.97187956 0.97041357]";95.38$\pm$0.34;"[0.95301003 0.95917062 0.95049043 0.95198225 0.95542468 0.95130659
 0.95343397 0.95914004 0.94817838 0.95558221]";97.6$\pm$0.13;"[0.97705279 0.97754419 0.97408463 0.97734058 0.97648674 0.9758856
 0.97347897 0.97686499 0.97577311 0.97523731]";97.57$\pm$0.27;"[0.97155804 0.97789063 0.97543636 0.97594721 0.97219427 0.98095952
 0.97387039 0.97683094 0.97482604 0.97769158]";89.43$\pm$3.74;"[0.88399001 0.91430337 0.83456872 0.93656438 0.91804413 0.91743448
 0.90730129 0.91190082 0.8138552  0.90483001]";94.64$\pm$0.88;"[0.9326584  0.95694306 0.93114773 0.95876735 0.95080945 0.94395129
 0.94595447 0.95304097 0.94325257 0.94724755]";95.58$\pm$0.79;"[0.94684367 0.95223145 0.96765814 0.94696797 0.95518158 0.95368072
 0.95668687 0.95332223 0.97300339 0.95280308]";95.07$\pm$0.36;"[0.94819115 0.95130791 0.95213907 0.95160512 0.94873877 0.9455905
 0.94562474 0.95609834 0.9568067  0.95064572]";96.86$\pm$0.32;"[0.96539407 0.96687472 0.96824117 0.97031376 0.97006024 0.96536777
 0.96317218 0.9736619  0.97112479 0.97203114]";94.66$\pm$0.68;"[0.93389556 0.95077123 0.94531599 0.95912534 0.94124785 0.9502749
 0.95391139 0.94601862 0.94376002 0.94148203]";75.4$\pm$3.82;"[0.7797946  0.72321731 0.71245361 0.72921957 0.6942552  0.81400683
 0.80648885 0.77835868 0.75945735 0.74272244]";95.89$\pm$0.35;"[0.95613074 0.95733417 0.95939398 0.96411288 0.95125673 0.95698103
 0.95982521 0.96298447 0.96003764 0.96048801]";96.73$\pm$0.32;"[0.96470001 0.96959882 0.9676627  0.96821275 0.96451452 0.96756672
 0.96198318 0.97240954 0.96424182 0.97169814]";96.23$\pm$0.27;"[0.95946418 0.96546203 0.96218861 0.96211902 0.96519137 0.96424056
 0.96387493 0.96450905 0.95706925 0.95934764]";95.44$\pm$0.28;"[0.95385942 0.95804119 0.951245   0.95554726 0.9547562  0.95277066
 0.95372237 0.95812705 0.9490135  0.95656653]";95.67$\pm$0.33;"[0.95523395 0.961954   0.95640121 0.9516893  0.95936429 0.95515817
 0.95471611 0.95981947 0.95253194 0.96002913]";95.48$\pm$0.34;"[0.95238157 0.9569695  0.95566487 0.95634621 0.95644983 0.95291327
 0.95036051 0.95898542 0.94878806 0.95921134]";95.51$\pm$0.31;"[0.95225546 0.95731655 0.95259521 0.95458877 0.96091471 0.95305983
 0.95428503 0.95854605 0.95046468 0.95678959]";95.05$\pm$0.33;"[0.9488272  0.95324099 0.94577943 0.94755813 0.95358951 0.94919502
 0.95079372 0.95329973 0.94667396 0.95644528]";98.73$\pm$0.15;"[0.98820077 0.98829513 0.98579604 0.98647996 0.98738864 0.98818164
 0.98928522 0.98875024 0.98612156 0.98406793]";96.4$\pm$0.25;"[0.96308389 0.9644107  0.96257335 0.96420193 0.96411377 0.96592599
 0.96018594 0.96674027 0.96047786 0.96878134]";97.4$\pm$0.42;"[0.97198866 0.98089981 0.96972889 0.97677138 0.97426312 0.97397213
 0.9706582  0.97689418 0.96630664 0.97858807]";95.91$\pm$0.3;"[0.95666834 0.95914023 0.95701615 0.95614077 0.96194974 0.96149152
 0.95691571 0.96354973 0.95534912 0.96313373]";96.09$\pm$0.23;"[0.96312826 0.96090693 0.96279337 0.95785505 0.95701266 0.96296167
 0.95804803 0.96134162 0.96246495 0.96261802]";96.51$\pm$0.3;"[0.96358562 0.96775295 0.9586897  0.96649877 0.96612044 0.96533656
 0.96661243 0.96850095 0.96071364 0.96721673]";96.61$\pm$0.35;"[0.9658144  0.96989801 0.96549075 0.97164617 0.96438712 0.96513694
 0.95998901 0.97071697 0.96202701 0.96578188]";96.9$\pm$0.18;"[0.96658022 0.96944535 0.96935175 0.97010845 0.97060644 0.96962614
 0.96656837 0.97069401 0.97085004 0.9661578 ]";99.13$\pm$0.15;"[0.98969822 0.99068922 0.98982525 0.99169907 0.99099697 0.99238837
 0.99138515 0.99347296 0.99380736 0.98939402]";96.08$\pm$0.29;"[0.96072049 0.96563844 0.95802371 0.95946084 0.95906813 0.96121148
 0.95671818 0.96317086 0.95888247 0.96547951]"
