metrics;baseline,enc:gcn_bgrl,pred:inner_mean;baseline,enc:gcn_bgrl,pred:inner;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;baseline,enc:gcn_bgrl,pred:ncn_mean;baseline,enc:gcn_bgrl,pred:ncn;grace,enc:gcn_bgrl,pred:inner,random_mean;grace,enc:gcn_bgrl,pred:inner,random;grace,enc:gcn_bgrl,pred:inner,deg_mean;grace,enc:gcn_bgrl,pred:inner,deg;grace,enc:gcn_bgrl,pred:inner,evc_mean;grace,enc:gcn_bgrl,pred:inner,evc;grace,enc:gcn_bgrl,pred:inner,pr_mean;grace,enc:gcn_bgrl,pred:inner,pr;grace,enc:gcn_bgrl,pred:inner,scom_mean;grace,enc:gcn_bgrl,pred:inner,scom;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random;grace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:inner,kmeans+random_mean;grace,enc:gcn_bgrl,pred:inner,kmeans+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:mlp,kmeans+random_mean;grace,enc:gcn_bgrl,pred:mlp,kmeans+random;grace,enc:gcn_bgrl,pred:ncn,random_mean;grace,enc:gcn_bgrl,pred:ncn,random;grace,enc:gcn_bgrl,pred:ncn,deg_mean;grace,enc:gcn_bgrl,pred:ncn,deg;grace,enc:gcn_bgrl,pred:ncn,evc_mean;grace,enc:gcn_bgrl,pred:ncn,evc;grace,enc:gcn_bgrl,pred:ncn,pr_mean;grace,enc:gcn_bgrl,pred:ncn,pr;grace,enc:gcn_bgrl,pred:ncn,scom_mean;grace,enc:gcn_bgrl,pred:ncn,scom;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:ncn,kmeans+random_mean;grace,enc:gcn_bgrl,pred:ncn,kmeans+random;bgrl,enc:gcn_bgrl,pred:inner,random_mean;bgrl,enc:gcn_bgrl,pred:inner,random;bgrl,enc:gcn_bgrl,pred:inner,deg_mean;bgrl,enc:gcn_bgrl,pred:inner,deg;bgrl,enc:gcn_bgrl,pred:inner,evc_mean;bgrl,enc:gcn_bgrl,pred:inner,evc;bgrl,enc:gcn_bgrl,pred:inner,pr_mean;bgrl,enc:gcn_bgrl,pred:inner,pr;bgrl,enc:gcn_bgrl,pred:inner,scom_mean;bgrl,enc:gcn_bgrl,pred:inner,scom;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random;bgrl,enc:gcn_bgrl,pred:inner,kmeans+random_mean;bgrl,enc:gcn_bgrl,pred:inner,kmeans+random;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;bgrl,enc:gcn_bgrl,pred:mlp,kmeans+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,kmeans+random;bgrl,enc:gcn_bgrl,pred:ncn,random_mean;bgrl,enc:gcn_bgrl,pred:ncn,random;bgrl,enc:gcn_bgrl,pred:ncn,deg_mean;bgrl,enc:gcn_bgrl,pred:ncn,deg;bgrl,enc:gcn_bgrl,pred:ncn,evc_mean;bgrl,enc:gcn_bgrl,pred:ncn,evc;bgrl,enc:gcn_bgrl,pred:ncn,pr_mean;bgrl,enc:gcn_bgrl,pred:ncn,pr;bgrl,enc:gcn_bgrl,pred:ncn,scom_mean;bgrl,enc:gcn_bgrl,pred:ncn,scom;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random
Hits@10;6.75$\pm$3.21;"[0.08813559 0.05423729 0.03728814 0.02372881 0.06779661 0.06779661
 0.05423729 0.06779661 0.06440678 0.14915254]";15.49$\pm$3.08;"[0.15254237 0.14576271 0.17288136 0.20338983 0.12881356 0.21016949
 0.13220339 0.11864407 0.16271186 0.1220339 ]";8.95$\pm$2.4;"[0.08813559 0.11864407 0.07457627 0.13559322 0.08813559 0.08474576
 0.10508475 0.06101695 0.05084746 0.08813559]";22.41$\pm$4.5;"[0.3220339  0.24067797 0.17288136 0.22711864 0.23389831 0.19322034
 0.23728814 0.22372881 0.2440678  0.14576271]";13.46$\pm$2.59;"[0.16949153 0.10508475 0.13220339 0.10169492 0.16610169 0.1559322
 0.10169492 0.13898305 0.15932203 0.11525424]";13.42$\pm$1.38;"[0.12881356 0.14576271 0.12542373 0.15932203 0.11864407 0.12542373
 0.11525424 0.13898305 0.15254237 0.13220339]";14.98$\pm$4.02;"[0.17966102 0.14576271 0.22372881 0.13559322 0.10169492 0.10169492
 0.11525424 0.15932203 0.20677966 0.12881356]";6.71$\pm$3.08;"[0.09830508 0.03389831 0.06101695 0.02372881 0.06779661 0.06101695
 0.03728814 0.07118644 0.08474576 0.13220339]";14.47$\pm$2.09;"[0.15254237 0.16610169 0.11525424 0.15254237 0.11186441 0.17627119
 0.1559322  0.14915254 0.11864407 0.14915254]";8.58$\pm$2.37;"[0.10508475 0.08474576 0.07457627 0.06440678 0.10169492 0.08135593
 0.06779661 0.05762712 0.14237288 0.0779661 ]";7.02$\pm$2.74;"[0.1220339  0.03389831 0.05084746 0.03389831 0.07118644 0.11186441
 0.07118644 0.06440678 0.06779661 0.07457627]";80.41$\pm$6.77;"[0.77288136 0.73898305 0.88813559 0.85762712 0.81694915 0.78305085
 0.86440678 0.81016949 0.85762712 0.65084746]";12.34$\pm$1.6;"[0.14576271 0.1220339  0.13220339 0.13220339 0.10169492 0.11525424
 0.14915254 0.10847458 0.10169492 0.12542373]";11.93$\pm$1.35;"[0.12542373 0.14915254 0.11525424 0.1220339  0.11525424 0.10508475
 0.09830508 0.11186441 0.11864407 0.13220339]";12.41$\pm$2.18;"[0.16271186 0.10169492 0.09830508 0.10169492 0.14237288 0.12881356
 0.10508475 0.15254237 0.12881356 0.11864407]";10.2$\pm$0.94;"[0.11864407 0.09152542 0.09830508 0.08813559 0.10508475 0.10169492
 0.11525424 0.09491525 0.09830508 0.10847458]";12.54$\pm$1.86;"[0.11525424 0.11864407 0.09491525 0.12881356 0.14576271 0.14576271
 0.15932203 0.1220339  0.10847458 0.11525424]";6.34$\pm$2.75;"[0.13898305 0.03389831 0.04745763 0.06779661 0.05762712 0.06440678
 0.06101695 0.06101695 0.06440678 0.03728814]";16.98$\pm$2.59;"[0.12542373 0.18644068 0.17288136 0.16610169 0.22372881 0.14576271
 0.17288136 0.15254237 0.19322034 0.15932203]";74.81$\pm$3.15;"[0.71186441 0.77966102 0.8        0.76610169 0.73559322 0.7220339
 0.78983051 0.73898305 0.72881356 0.70847458]";11.02$\pm$1.2;"[0.11864407 0.10169492 0.10508475 0.11186441 0.10847458 0.13559322
 0.11525424 0.10169492 0.08813559 0.11525424]";11.66$\pm$0.91;"[0.11525424 0.10847458 0.10847458 0.1220339  0.1220339  0.13220339
 0.1220339  0.09830508 0.1220339  0.11525424]";7.12$\pm$2.01;"[0.07457627 0.11525424 0.09152542 0.07457627 0.05762712 0.0779661
 0.07118644 0.05423729 0.05084746 0.0440678 ]";12.61$\pm$1.28;"[0.1220339  0.1220339  0.11186441 0.13559322 0.1559322  0.11525424
 0.12542373 0.11186441 0.13559322 0.12542373]";14.37$\pm$2.77;"[0.14237288 0.14915254 0.09152542 0.20677966 0.15254237 0.15254237
 0.15254237 0.12542373 0.13898305 0.12542373]";16.1$\pm$5.64;"[0.29152542 0.19661017 0.1220339  0.16610169 0.17288136 0.15932203
 0.19322034 0.08813559 0.1220339  0.09830508]";7.46$\pm$2.86;"[0.08135593 0.0440678  0.05084746 0.03728814 0.07457627 0.14237288
 0.0779661  0.07457627 0.09830508 0.06440678]";70.03$\pm$4.81;"[0.63389831 0.67457627 0.76949153 0.75254237 0.71525424 0.65423729
 0.72881356 0.70169492 0.74576271 0.62711864]";6.44$\pm$4.08;"[0.11525424 0.01694915 0.03728814 0.04067797 0.04745763 0.03728814
 0.04067797 0.05762712 0.09830508 0.15254237]";7.32$\pm$3.28;"[0.11864407 0.04745763 0.09152542 0.03389831 0.03050847 0.07118644
 0.08135593 0.05423729 0.06779661 0.13559322]";18.1$\pm$4.46;"[0.27118644 0.11525424 0.16949153 0.13898305 0.14915254 0.17627119
 0.16610169 0.24067797 0.20677966 0.17627119]";16.75$\pm$4.29;"[0.19661017 0.11525424 0.1220339  0.25084746 0.16610169 0.1559322
 0.18983051 0.18983051 0.18644068 0.10169492]";4.88$\pm$3.21;"[0.05423729 0.01016949 0.06101695 0.05084746 0.02372881 0.04067797
 0.03728814 0.04067797 0.03389831 0.13559322]";9.19$\pm$4.72;"[0.20338983 0.02711864 0.1220339  0.08135593 0.09152542 0.05762712
 0.10847458 0.03728814 0.10508475 0.08474576]";6.58$\pm$2.18;"[0.05762712 0.07457627 0.04067797 0.08135593 0.06779661 0.08474576
 0.05084746 0.03728814 0.05084746 0.11186441]";13.49$\pm$5.04;"[0.27118644 0.0779661  0.11864407 0.13220339 0.14915254 0.1559322
 0.12542373 0.10169492 0.10169492 0.11525424]";12.37$\pm$2.58;"[0.09152542 0.14237288 0.1220339  0.14237288 0.15254237 0.09830508
 0.09830508 0.1559322  0.14576271 0.08813559]";7.73$\pm$0.91;"[0.06779661 0.09491525 0.07457627 0.07457627 0.08135593 0.06779661
 0.08813559 0.08135593 0.06440678 0.0779661 ]";12.68$\pm$5.91;"[0.25762712 0.07118644 0.11186441 0.06440678 0.2        0.13898305
 0.10847458 0.12881356 0.05762712 0.12881356]";8.51$\pm$2.16;"[0.11186441 0.08135593 0.08135593 0.06779661 0.08813559 0.04067797
 0.06440678 0.10169492 0.10847458 0.10508475]";16.71$\pm$7.54;"[0.3220339  0.18644068 0.1559322  0.24067797 0.08474576 0.10169492
 0.0779661  0.19661017 0.21016949 0.09491525]";13.59$\pm$3.58;"[0.22711864 0.11525424 0.14237288 0.13220339 0.14915254 0.11864407
 0.09152542 0.14915254 0.13559322 0.09830508]";6.81$\pm$2.2;"[0.09491525 0.05762712 0.05084746 0.1220339  0.06440678 0.05423729
 0.07118644 0.04745763 0.06101695 0.05762712]";81.22$\pm$2.57;"[0.77966102 0.82372881 0.83728814 0.81694915 0.80677966 0.78983051
 0.83728814 0.77627119 0.85762712 0.79661017]";12.51$\pm$4.02;"[0.20677966 0.10847458 0.08474576 0.18644068 0.08813559 0.13898305
 0.11864407 0.08474576 0.13220339 0.10169492]";19.56$\pm$5.87;"[0.29830508 0.23728814 0.17288136 0.19661017 0.23050847 0.18644068
 0.16271186 0.25084746 0.13898305 0.08135593]";17.69$\pm$5.68;"[0.30508475 0.18983051 0.18983051 0.20338983 0.21016949 0.14576271
 0.16271186 0.16610169 0.10169492 0.09491525]";6.64$\pm$1.45;"[0.06440678 0.05084746 0.07457627 0.06440678 0.09830508 0.05423729
 0.06101695 0.04745763 0.06779661 0.08135593]";9.29$\pm$1.71;"[0.07457627 0.08813559 0.07118644 0.11186441 0.11186441 0.1220339
 0.08813559 0.09830508 0.09152542 0.07118644]";4.95$\pm$3.2;"[0.01694915 0.06440678 0.05084746 0.02033898 0.06440678 0.11864407
 0.08474576 0.02372881 0.02711864 0.02372881]"
Hits@20;12.88$\pm$4.46;"[0.1559322  0.1220339  0.11186441 0.05423729 0.11186441 0.11864407
 0.15254237 0.11186441 0.11186441 0.23728814]";22.85$\pm$3.65;"[0.26101695 0.22372881 0.23389831 0.26101695 0.23728814 0.28474576
 0.15254237 0.2        0.19322034 0.23728814]";15.25$\pm$2.63;"[0.1220339  0.14576271 0.13898305 0.18983051 0.18305085 0.19322034
 0.14237288 0.14576271 0.11186441 0.15254237]";33.76$\pm$4.21;"[0.40677966 0.27457627 0.36271186 0.4        0.31864407 0.28474576
 0.33898305 0.33220339 0.35254237 0.30508475]";23.15$\pm$3.5;"[0.24745763 0.15932203 0.21355932 0.28474576 0.24067797 0.26440678
 0.24067797 0.21016949 0.19661017 0.25762712]";21.93$\pm$3.59;"[0.26101695 0.21355932 0.25084746 0.2440678  0.1559322  0.17627119
 0.18983051 0.21016949 0.22033898 0.27118644]";21.36$\pm$6.72;"[0.31186441 0.17627119 0.29830508 0.18644068 0.13559322 0.1559322
 0.14915254 0.25423729 0.30508475 0.16271186]";14.37$\pm$4.49;"[0.22033898 0.13220339 0.12542373 0.13220339 0.10847458 0.17966102
 0.06101695 0.11186441 0.17288136 0.19322034]";23.36$\pm$2.73;"[0.23050847 0.26101695 0.18305085 0.23050847 0.21016949 0.28474576
 0.25423729 0.23389831 0.21016949 0.23728814]";19.05$\pm$2.66;"[0.22033898 0.19661017 0.15254237 0.21355932 0.19661017 0.17288136
 0.17966102 0.16271186 0.24067797 0.16949153]";17.32$\pm$4.48;"[0.22711864 0.15932203 0.18983051 0.09152542 0.10847458 0.23050847
 0.15254237 0.16271186 0.20338983 0.20677966]";86.51$\pm$2.38;"[0.8440678  0.87457627 0.90508475 0.88135593 0.86101695 0.83728814
 0.88474576 0.84067797 0.88813559 0.83389831]";16.0$\pm$3.06;"[0.17627119 0.13559322 0.17627119 0.15254237 0.13898305 0.13220339
 0.20677966 0.13220339 0.13220339 0.21694915]";15.02$\pm$1.73;"[0.14576271 0.17288136 0.13220339 0.14237288 0.16271186 0.14237288
 0.13898305 0.1220339  0.16610169 0.17627119]";18.64$\pm$3.62;"[0.25423729 0.13898305 0.16271186 0.15932203 0.20338983 0.19322034
 0.13898305 0.23389831 0.19661017 0.18305085]";13.66$\pm$2.63;"[0.14915254 0.14915254 0.11186441 0.11525424 0.10847458 0.14576271
 0.12542373 0.10508475 0.16949153 0.18644068]";15.83$\pm$3.11;"[0.12542373 0.15254237 0.13559322 0.18983051 0.19322034 0.21355932
 0.17288136 0.13220339 0.11525424 0.15254237]";12.64$\pm$4.57;"[0.16610169 0.06440678 0.05762712 0.18305085 0.09152542 0.17966102
 0.13559322 0.15254237 0.15254237 0.08135593]";23.86$\pm$2.74;"[0.23389831 0.23389831 0.22372881 0.2440678  0.26101695 0.21016949
 0.26779661 0.20338983 0.29491525 0.21355932]";78.61$\pm$3.5;"[0.76610169 0.82033898 0.82372881 0.81016949 0.76949153 0.74576271
 0.84067797 0.77627119 0.78305085 0.72542373]";14.31$\pm$1.31;"[0.16271186 0.13220339 0.1220339  0.13559322 0.16610169 0.13898305
 0.13559322 0.15254237 0.13898305 0.14576271]";14.88$\pm$1.75;"[0.15932203 0.13898305 0.15932203 0.12542373 0.14915254 0.14237288
 0.16610169 0.11864407 0.17966102 0.14915254]";11.05$\pm$2.1;"[0.1559322  0.13559322 0.10847458 0.10169492 0.09491525 0.10508475
 0.10169492 0.10169492 0.1220339  0.0779661 ]";16.37$\pm$1.92;"[0.15932203 0.13898305 0.13559322 0.18305085 0.19661017 0.17288136
 0.15932203 0.14237288 0.17288136 0.17627119]";19.22$\pm$3.92;"[0.16949153 0.20677966 0.14237288 0.27118644 0.21694915 0.2440678
 0.17966102 0.16271186 0.16610169 0.16271186]";24.81$\pm$4.4;"[0.36610169 0.23389831 0.22372881 0.23728814 0.25423729 0.25762712
 0.27118644 0.21355932 0.21694915 0.20677966]";12.95$\pm$3.8;"[0.14237288 0.08474576 0.10169492 0.07118644 0.1559322  0.21355932
 0.1220339  0.12542373 0.14576271 0.13220339]";77.73$\pm$3.31;"[0.74576271 0.75254237 0.82711864 0.79322034 0.78644068 0.71864407
 0.80677966 0.8        0.8        0.74237288]";18.41$\pm$8.02;"[0.29491525 0.0779661  0.14576271 0.13898305 0.1220339  0.13220339
 0.27118644 0.11525424 0.23050847 0.31186441]";13.19$\pm$4.72;"[0.21694915 0.11864407 0.1559322  0.07457627 0.04745763 0.14237288
 0.14576271 0.09491525 0.14576271 0.17627119]";27.49$\pm$7.29;"[0.41694915 0.14576271 0.23050847 0.2        0.26440678 0.26440678
 0.32881356 0.34915254 0.27118644 0.2779661 ]";29.29$\pm$5.47;"[0.40338983 0.27457627 0.33898305 0.32881356 0.30508475 0.25762712
 0.29830508 0.25084746 0.28135593 0.18983051]";9.83$\pm$3.79;"[0.12542373 0.03050847 0.10508475 0.06440678 0.06779661 0.10508475
 0.09152542 0.11186441 0.10169492 0.17966102]";19.63$\pm$5.34;"[0.32542373 0.11864407 0.2        0.20677966 0.15254237 0.16271186
 0.16271186 0.19322034 0.23389831 0.20677966]";14.51$\pm$3.96;"[0.23389831 0.14237288 0.08474576 0.11525424 0.13559322 0.15254237
 0.15254237 0.1220339  0.1220339  0.18983051]";25.59$\pm$7.03;"[0.40677966 0.1220339  0.19661017 0.28813559 0.23389831 0.28813559
 0.21355932 0.26101695 0.28474576 0.26440678]";18.68$\pm$2.41;"[0.19322034 0.19661017 0.2        0.16271186 0.2        0.21355932
 0.17627119 0.21016949 0.18644068 0.12881356]";9.15$\pm$0.98;"[0.0779661  0.10508475 0.09491525 0.10169492 0.09830508 0.0779661
 0.10169492 0.08474576 0.08135593 0.09152542]";19.19$\pm$9.07;"[0.36610169 0.08813559 0.14915254 0.08135593 0.28813559 0.21016949
 0.23389831 0.21016949 0.07118644 0.22033898]";15.12$\pm$3.11;"[0.18644068 0.14237288 0.14915254 0.16610169 0.21355932 0.10847458
 0.10847458 0.14237288 0.16271186 0.13220339]";24.07$\pm$9.4;"[0.44067797 0.2440678  0.26440678 0.3220339  0.14237288 0.14915254
 0.11864407 0.26440678 0.29152542 0.16949153]";19.53$\pm$4.26;"[0.29830508 0.22033898 0.19322034 0.19661017 0.21016949 0.16610169
 0.1559322  0.2        0.17966102 0.13220339]";12.92$\pm$3.49;"[0.19661017 0.09491525 0.1220339  0.18644068 0.12881356 0.09830508
 0.14237288 0.09152542 0.10508475 0.12542373]";83.12$\pm$2.5;"[0.79322034 0.84745763 0.84745763 0.84067797 0.82711864 0.8
 0.86440678 0.82711864 0.86440678 0.8       ]";19.56$\pm$4.06;"[0.28474576 0.1559322  0.17288136 0.25084746 0.13898305 0.18644068
 0.18644068 0.19322034 0.19322034 0.19322034]";30.81$\pm$6.35;"[0.42033898 0.3220339  0.33559322 0.28813559 0.32881356 0.32542373
 0.32542373 0.33898305 0.21016949 0.18644068]";26.24$\pm$8.15;"[0.37627119 0.30508475 0.29152542 0.29152542 0.28813559 0.30508475
 0.30169492 0.24067797 0.11864407 0.10508475]";13.49$\pm$1.98;"[0.12542373 0.13559322 0.11525424 0.10508475 0.12542373 0.15254237
 0.16271186 0.1220339  0.13559322 0.16949153]";15.12$\pm$2.47;"[0.09830508 0.14576271 0.13559322 0.17288136 0.1559322  0.2
 0.14915254 0.15932203 0.14237288 0.15254237]";11.05$\pm$4.52;"[0.06779661 0.10847458 0.11525424 0.06440678 0.10847458 0.20677966
 0.15932203 0.12881356 0.0440678  0.10169492]"
