metrics;baseline,enc:gcn_bgrl,pred:inner_mean;baseline,enc:gcn_bgrl,pred:inner;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;baseline,enc:gcn_bgrl,pred:ncn_mean;baseline,enc:gcn_bgrl,pred:ncn;grace,enc:gcn_bgrl,pred:inner,random_mean;grace,enc:gcn_bgrl,pred:inner,random;grace,enc:gcn_bgrl,pred:inner,deg_mean;grace,enc:gcn_bgrl,pred:inner,deg;grace,enc:gcn_bgrl,pred:inner,evc_mean;grace,enc:gcn_bgrl,pred:inner,evc;grace,enc:gcn_bgrl,pred:inner,pr_mean;grace,enc:gcn_bgrl,pred:inner,pr;grace,enc:gcn_bgrl,pred:inner,scom_mean;grace,enc:gcn_bgrl,pred:inner,scom;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random;grace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:inner,kmeans+random_mean;grace,enc:gcn_bgrl,pred:inner,kmeans+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_bug+random;grace,enc:gcn_bgrl,pred:mlp,kmeans+random_mean;grace,enc:gcn_bgrl,pred:mlp,kmeans+random;grace,enc:gcn_bgrl,pred:ncn,random_mean;grace,enc:gcn_bgrl,pred:ncn,random;grace,enc:gcn_bgrl,pred:ncn,deg_mean;grace,enc:gcn_bgrl,pred:ncn,deg;grace,enc:gcn_bgrl,pred:ncn,evc_mean;grace,enc:gcn_bgrl,pred:ncn,evc;grace,enc:gcn_bgrl,pred:ncn,pr_mean;grace,enc:gcn_bgrl,pred:ncn,pr;grace,enc:gcn_bgrl,pred:ncn,scom_mean;grace,enc:gcn_bgrl,pred:ncn,scom;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_bug+random
Hits@10;51.37$\pm$9.89;"[0.42335766 0.6149635  0.56021898 0.54927007 0.64233577 0.58941606
 0.39963504 0.57116788 0.4580292  0.32846715]";71.81$\pm$1.77;"[0.71350365 0.71350365 0.72810219 0.68978102 0.7189781  0.69343066
 0.71715328 0.73175182 0.75547445 0.7189781 ]";77.83$\pm$2.07;"[0.77554745 0.79744526 0.7919708  0.73722628 0.77554745 0.74817518
 0.76824818 0.80291971 0.79379562 0.7919708 ]";77.77$\pm$1.73;"[0.77737226 0.78284672 0.80291971 0.73540146 0.77372263 0.76277372
 0.7810219  0.78649635 0.78467153 0.79014599]";67.54$\pm$4.27;"[0.66058394 0.70437956 0.64233577 0.65328467 0.66605839 0.66970803
 0.77737226 0.71350365 0.62773723 0.63868613]";48.65$\pm$7.81;"[0.49087591 0.65693431 0.39233577 0.46167883 0.54744526 0.50729927
 0.49635036 0.52189781 0.40693431 0.38321168]";70.44$\pm$3.58;"[0.73722628 0.75912409 0.69890511 0.7080292  0.68978102 0.68430657
 0.75364964 0.7080292  0.64233577 0.66240876]";75.2$\pm$2.56;"[0.78284672 0.76824818 0.77007299 0.69343066 0.74452555 0.73175182
 0.76824818 0.76277372 0.72992701 0.76824818]";79.23$\pm$1.53;"[0.77919708 0.79927007 0.80656934 0.75547445 0.78284672 0.79744526
 0.7919708  0.81021898 0.79927007 0.80109489]";59.07$\pm$3.72;"[0.61313869 0.65328467 0.59854015 0.6040146  0.55291971 0.63686131
 0.55291971 0.59489051 0.52919708 0.57116788]";60.33$\pm$4.21;"[0.6879562  0.54014599 0.62956204 0.62408759 0.60583942 0.57664234
 0.59854015 0.55839416 0.56934307 0.64233577]";34.62$\pm$2.94;"[0.35766423 0.35218978 0.39051095 0.36861314 0.33211679 0.36131387
 0.2919708  0.30474453 0.37226277 0.33029197]";50.77$\pm$7.19;"[0.55474453 0.4270073  0.53467153 0.51277372 0.56021898 0.49635036
 0.38868613 0.41058394 0.60583942 0.58576642]";77.41$\pm$2.1;"[0.75729927 0.76459854 0.78832117 0.72627737 0.77007299 0.7919708
 0.77189781 0.80474453 0.79014599 0.77554745]";78.59$\pm$1.98;"[0.78467153 0.79379562 0.80839416 0.74087591 0.77189781 0.79562044
 0.77189781 0.81386861 0.7919708  0.78649635]";75.22$\pm$1.1;"[0.75912409 0.75364964 0.75729927 0.72810219 0.74087591 0.75364964
 0.75       0.77189781 0.75       0.75729927]";78.03$\pm$1.9;"[0.77189781 0.79562044 0.80109489 0.72992701 0.77189781 0.78284672
 0.78284672 0.7919708  0.78467153 0.79014599]";78.08$\pm$1.56;"[0.76642336 0.79562044 0.80656934 0.75364964 0.77372263 0.77919708
 0.77737226 0.80291971 0.77919708 0.77372263]";68.81$\pm$2.67;"[0.72080292 0.62956204 0.69890511 0.71532847 0.69160584 0.69343066
 0.70072993 0.69708029 0.68430657 0.64963504]";92.54$\pm$3.33;"[0.95437956 0.87591241 0.95985401 0.91240876 0.96715328 0.91605839
 0.9379562  0.95985401 0.88138686 0.88868613]";79.14$\pm$1.88;"[0.77919708 0.79562044 0.82481752 0.75182482 0.78284672 0.79379562
 0.7810219  0.8120438  0.79379562 0.79927007]";77.1$\pm$1.75;"[0.75729927 0.77372263 0.80109489 0.73175182 0.75912409 0.77372263
 0.77372263 0.77737226 0.77737226 0.78467153]";79.0$\pm$1.91;"[0.78284672 0.80839416 0.81021898 0.74452555 0.77737226 0.79379562
 0.77919708 0.81021898 0.79562044 0.79744526]";77.86$\pm$2.88;"[0.7810219  0.80109489 0.79927007 0.71167883 0.77189781 0.78467153
 0.74270073 0.81021898 0.78284672 0.80109489]";78.74$\pm$1.73;"[0.77554745 0.79562044 0.80656934 0.75       0.78284672 0.79014599
 0.77007299 0.81021898 0.79562044 0.79744526]";78.92$\pm$1.94;"[0.77189781 0.80291971 0.81569343 0.74635036 0.77737226 0.79379562
 0.78467153 0.80656934 0.78832117 0.80474453]";74.76$\pm$1.45;"[0.73722628 0.75912409 0.76824818 0.71715328 0.74452555 0.76642336
 0.73722628 0.74452555 0.75       0.75182482]"
Hits@20;72.66$\pm$4.93;"[0.73905109 0.77007299 0.74452555 0.74452555 0.73540146 0.78832117
 0.77554745 0.66970803 0.66058394 0.63868613]";73.7$\pm$1.54;"[0.72992701 0.72810219 0.74452555 0.70620438 0.74452555 0.72262774
 0.73357664 0.75182482 0.76277372 0.74635036]";78.5$\pm$1.9;"[0.78832117 0.79927007 0.80109489 0.73905109 0.77554745 0.77007299
 0.77919708 0.80656934 0.79562044 0.79562044]";78.43$\pm$1.66;"[0.77919708 0.78649635 0.80656934 0.74087591 0.78649635 0.77737226
 0.78467153 0.79379562 0.7919708  0.79562044]";74.71$\pm$3.04;"[0.75547445 0.73905109 0.75       0.73357664 0.76094891 0.73540146
 0.81386861 0.76277372 0.73357664 0.68613139]";62.54$\pm$4.44;"[0.67335766 0.69160584 0.6149635  0.53832117 0.6040146  0.6149635
 0.68248175 0.63321168 0.60948905 0.59124088]";77.32$\pm$2.81;"[0.77372263 0.79379562 0.77554745 0.77189781 0.74270073 0.78284672
 0.83211679 0.76824818 0.77189781 0.7189781 ]";79.12$\pm$1.4;"[0.80656934 0.79744526 0.81021898 0.76094891 0.7810219  0.77919708
 0.79744526 0.7919708  0.78649635 0.80109489]";80.62$\pm$1.44;"[0.7919708  0.81934307 0.81934307 0.77554745 0.79744526 0.80656934
 0.79927007 0.82116788 0.81021898 0.82116788]";66.73$\pm$3.91;"[0.65145985 0.72810219 0.6459854  0.65875912 0.60766423 0.71715328
 0.69160584 0.67335766 0.60766423 0.69160584]";68.34$\pm$2.62;"[0.71715328 0.65145985 0.70072993 0.69890511 0.67883212 0.68978102
 0.68613139 0.63138686 0.66423358 0.71532847]";45.8$\pm$4.37;"[0.44525547 0.49635036 0.53832117 0.45255474 0.40510949 0.4580292
 0.40328467 0.40510949 0.47080292 0.50547445]";64.82$\pm$6.44;"[0.72262774 0.57481752 0.61131387 0.67883212 0.66605839 0.6149635
 0.51459854 0.6770073  0.72445255 0.69708029]";78.8$\pm$1.46;"[0.77554745 0.79562044 0.80291971 0.75729927 0.77554745 0.79562044
 0.7810219  0.80839416 0.79562044 0.7919708 ]";78.96$\pm$1.82;"[0.78467153 0.79379562 0.8120438  0.74635036 0.77554745 0.79562044
 0.78467153 0.81386861 0.79379562 0.79562044]";77.41$\pm$1.44;"[0.77189781 0.77372263 0.78832117 0.73905109 0.76824818 0.77372263
 0.77554745 0.79014599 0.76824818 0.7919708 ]";78.58$\pm$1.91;"[0.77919708 0.80109489 0.80839416 0.73540146 0.77919708 0.78467153
 0.78649635 0.80109489 0.79014599 0.7919708 ]";79.31$\pm$1.4;"[0.77554745 0.80474453 0.81021898 0.76824818 0.77737226 0.80109489
 0.79379562 0.80839416 0.79014599 0.80109489]";73.94$\pm$2.18;"[0.75729927 0.72445255 0.76642336 0.75       0.73357664 0.74087591
 0.77189781 0.72992701 0.72445255 0.69525547]";96.02$\pm$0.93;"[0.9689781  0.96715328 0.95985401 0.95620438 0.96715328 0.94343066
 0.94343066 0.96167883 0.9689781  0.96532847]";80.13$\pm$1.89;"[0.80109489 0.80474453 0.82846715 0.75547445 0.7919708  0.79744526
 0.79562044 0.82116788 0.80109489 0.81569343]";78.36$\pm$1.8;"[0.77007299 0.79562044 0.80839416 0.74452555 0.76824818 0.78649635
 0.77554745 0.79927007 0.7919708  0.79562044]";79.89$\pm$1.9;"[0.78649635 0.81934307 0.81751825 0.75364964 0.78649635 0.80291971
 0.79379562 0.81751825 0.80656934 0.80474453]";78.25$\pm$2.67;"[0.78284672 0.80291971 0.80839416 0.72262774 0.77372263 0.78467153
 0.74817518 0.81021898 0.79014599 0.80109489]";79.51$\pm$1.69;"[0.79379562 0.80109489 0.81386861 0.75547445 0.79014599 0.79379562
 0.78284672 0.82116788 0.79927007 0.79927007]";79.71$\pm$1.78;"[0.78649635 0.80839416 0.81934307 0.75547445 0.78467153 0.80291971
 0.79014599 0.8120438  0.79927007 0.8120438 ]";75.55$\pm$1.5;"[0.74270073 0.76642336 0.77554745 0.72445255 0.75182482 0.77554745
 0.74452555 0.75182482 0.75912409 0.76277372]"
Hits@50;83.1$\pm$1.35;"[0.81569343 0.8229927  0.85036496 0.81934307 0.82481752 0.84671533
 0.85036496 0.83759124 0.82846715 0.81386861]";75.89$\pm$1.8;"[0.74270073 0.74635036 0.77554745 0.72262774 0.75912409 0.75182482
 0.75729927 0.7810219  0.78284672 0.77007299]";79.51$\pm$1.83;"[0.79562044 0.80839416 0.80839416 0.75182482 0.7810219  0.78649635
 0.78649635 0.80839416 0.80839416 0.81569343]";79.2$\pm$1.6;"[0.78467153 0.79744526 0.81021898 0.75       0.7919708  0.7919708
 0.78649635 0.80474453 0.79927007 0.80291971]";83.96$\pm$1.86;"[0.84854015 0.84671533 0.84671533 0.81569343 0.8120438  0.83576642
 0.87043796 0.83759124 0.81934307 0.86313869]";76.62$\pm$3.45;"[0.82846715 0.7810219  0.76824818 0.7189781  0.74817518 0.72627737
 0.81934307 0.74452555 0.75       0.77737226]";83.28$\pm$1.63;"[0.83029197 0.83394161 0.84124088 0.80291971 0.8229927  0.83211679
 0.86678832 0.81569343 0.84306569 0.83941606]";83.36$\pm$1.59;"[0.84306569 0.83759124 0.84671533 0.79927007 0.83941606 0.81751825
 0.84671533 0.81569343 0.84124088 0.84854015]";82.68$\pm$1.43;"[0.82116788 0.83394161 0.83759124 0.79562044 0.81386861 0.82664234
 0.82116788 0.84854015 0.82846715 0.84124088]";77.19$\pm$3.02;"[0.73905109 0.81386861 0.75364964 0.75729927 0.76824818 0.81386861
 0.77189781 0.78284672 0.71715328 0.80109489]";77.5$\pm$2.47;"[0.79014599 0.76277372 0.78832117 0.74817518 0.7810219  0.81569343
 0.78649635 0.73540146 0.74452555 0.79744526]";68.81$\pm$4.25;"[0.68978102 0.74635036 0.70072993 0.69890511 0.58029197 0.69525547
 0.66058394 0.69343066 0.73175182 0.68430657]";79.01$\pm$4.05;"[0.83759124 0.72992701 0.81934307 0.77189781 0.80839416 0.71715328
 0.76277372 0.80291971 0.83576642 0.81569343]";80.33$\pm$1.66;"[0.78832117 0.81569343 0.82846715 0.7810219  0.79014599 0.81569343
 0.78467153 0.82664234 0.80474453 0.79744526]";79.95$\pm$1.97;"[0.79379562 0.79744526 0.81569343 0.75547445 0.77737226 0.81934307
 0.7919708  0.81934307 0.8120438  0.8120438 ]";79.45$\pm$1.74;"[0.79014599 0.79014599 0.80656934 0.74817518 0.79014599 0.79927007
 0.79927007 0.81569343 0.79927007 0.80656934]";80.05$\pm$1.87;"[0.7919708  0.8120438  0.81751825 0.75       0.79744526 0.81934307
 0.79927007 0.80839416 0.80474453 0.80474453]";81.37$\pm$1.25;"[0.80474453 0.81569343 0.82846715 0.79014599 0.79379562 0.8229927
 0.81751825 0.81934307 0.81751825 0.82664234]";81.37$\pm$1.92;"[0.81934307 0.81386861 0.82846715 0.85036496 0.80656934 0.82116788
 0.82664234 0.79927007 0.79014599 0.7810219 ]";96.97$\pm$1.03;"[0.97080292 0.98175182 0.95985401 0.9689781  0.97445255 0.96532847
 0.94708029 0.9689781  0.98540146 0.97445255]";82.28$\pm$1.79;"[0.8229927  0.83576642 0.83211679 0.77554745 0.81569343 0.83029197
 0.81386861 0.83394161 0.82481752 0.84306569]";80.84$\pm$1.64;"[0.79562044 0.81751825 0.83211679 0.77737226 0.78467153 0.8120438
 0.82116788 0.82116788 0.80839416 0.81386861]";82.17$\pm$2.33;"[0.80291971 0.85218978 0.84671533 0.77189781 0.80656934 0.83394161
 0.80656934 0.82664234 0.84124088 0.82846715]";79.18$\pm$2.04;"[0.79014599 0.80291971 0.81021898 0.74817518 0.7810219  0.79379562
 0.76459854 0.8120438  0.80291971 0.8120438 ]";81.02$\pm$1.74;"[0.81934307 0.81386861 0.83029197 0.77737226 0.80291971 0.80474453
 0.79379562 0.84306569 0.80656934 0.81021898]";81.68$\pm$1.69;"[0.81386861 0.8229927  0.83211679 0.78467153 0.80474453 0.82481752
 0.80291971 0.82846715 0.80656934 0.84671533]";77.55$\pm$1.62;"[0.76642336 0.80109489 0.7919708  0.74087591 0.77554745 0.78467153
 0.78649635 0.76277372 0.76824818 0.77737226]"
Hits@100;85.38$\pm$1.29;"[0.84124088 0.84489051 0.87408759 0.83759124 0.84489051 0.86131387
 0.85583942 0.86678832 0.87043796 0.84124088]";77.86$\pm$1.88;"[0.76459854 0.76277372 0.79014599 0.74270073 0.77554745 0.78467153
 0.76824818 0.81021898 0.79927007 0.78832117]";81.82$\pm$1.96;"[0.82116788 0.83029197 0.84124088 0.77554745 0.80656934 0.80109489
 0.81934307 0.81021898 0.83759124 0.83941606]";79.91$\pm$1.55;"[0.78832117 0.80656934 0.81021898 0.75912409 0.79562044 0.80291971
 0.80109489 0.81751825 0.79927007 0.81021898]";89.27$\pm$1.35;"[0.88321168 0.90693431 0.87956204 0.8850365  0.87773723 0.90145985
 0.89416058 0.91058394 0.87591241 0.91240876]";87.55$\pm$2.28;"[0.89963504 0.8649635  0.89233577 0.83394161 0.88686131 0.8649635
 0.90510949 0.85218978 0.85766423 0.89781022]";87.26$\pm$1.62;"[0.86861314 0.8649635  0.87591241 0.84671533 0.84671533 0.87773723
 0.90145985 0.88138686 0.87408759 0.88868613]";86.2$\pm$1.6;"[0.87043796 0.87591241 0.87408759 0.82116788 0.85948905 0.8540146
 0.87773723 0.85218978 0.8649635  0.87043796]";89.34$\pm$0.89;"[0.89321155 0.90044422 0.89526613 0.87504995 0.88133691 0.89239238
 0.89073406 0.90533926 0.89786683 0.90265531]";84.27$\pm$1.73;"[0.83211679 0.84489051 0.84306569 0.82664234 0.81569343 0.87591241
 0.85036496 0.8540146  0.82481752 0.85948905]";84.01$\pm$2.16;"[0.82846715 0.81569343 0.84489051 0.83759124 0.8649635  0.86678832
 0.86678832 0.8120438  0.81021898 0.8540146 ]";80.86$\pm$2.4;"[0.80291971 0.83576642 0.79927007 0.80656934 0.76094891 0.8229927
 0.7810219  0.81751825 0.84854015 0.81021898]";87.04$\pm$1.92;"[0.88868613 0.84854015 0.86861314 0.85948905 0.85766423 0.84306569
 0.88686131 0.89781022 0.8959854  0.85766423]";83.85$\pm$2.33;"[0.81569343 0.85218978 0.86313869 0.81934307 0.83576642 0.8649635
 0.78832117 0.85948905 0.84671533 0.83941606]";81.95$\pm$2.22;"[0.81021898 0.82664234 0.8229927  0.77189781 0.79562044 0.84854015
 0.80839416 0.84124088 0.83759124 0.83211679]";80.78$\pm$1.59;"[0.81021898 0.80656934 0.81569343 0.76824818 0.7919708  0.81751825
 0.81751825 0.82846715 0.8120438  0.81021898]";82.14$\pm$1.76;"[0.8120438  0.83029197 0.84124088 0.77554745 0.82846715 0.83759124
 0.8229927  0.8229927  0.82846715 0.81386861]";84.07$\pm$1.9;"[0.84306569 0.84489051 0.87043796 0.81386861 0.80839416 0.84306569
 0.8540146  0.82846715 0.83576642 0.8649635 ]";86.37$\pm$1.17;"[0.85583942 0.87408759 0.87408759 0.87043796 0.84124088 0.87591241
 0.8649635  0.86861314 0.86678832 0.84489051]";97.79$\pm$0.92;"[0.98357664 0.99087591 0.96715328 0.97992701 0.97445255 0.97810219
 0.95985401 0.97262774 0.98905109 0.98357664]";84.84$\pm$1.47;"[0.85583942 0.8649635  0.84489051 0.8229927  0.84306569 0.86861314
 0.83576642 0.83759124 0.84124088 0.86861314]";84.91$\pm$1.64;"[0.84854015 0.84671533 0.87591241 0.83211679 0.82481752 0.85583942
 0.8540146  0.85583942 0.82664234 0.87043796]";86.09$\pm$2.16;"[0.87043796 0.8850365  0.87408759 0.80291971 0.85583942 0.8649635
 0.85036496 0.86131387 0.87773723 0.86678832]";80.44$\pm$1.91;"[0.80109489 0.80839416 0.82481752 0.76824818 0.80109489 0.80109489
 0.77737226 0.8120438  0.81386861 0.83576642]";82.94$\pm$1.7;"[0.83759124 0.83029197 0.84854015 0.80474453 0.81934307 0.81569343
 0.81386861 0.86313869 0.83941606 0.82116788]";84.98$\pm$2.03;"[0.85036496 0.84306569 0.86861314 0.81021898 0.83759124 0.85948905
 0.83394161 0.86861314 0.84124088 0.8850365 ]";79.76$\pm$1.33;"[0.78832117 0.82664234 0.80291971 0.77737226 0.79379562 0.8120438
 0.80109489 0.78832117 0.78832117 0.79744526]"
ROCAUC;87.92$\pm$0.77;"[0.87196641 0.88124367 0.89474999 0.86856319 0.87406095 0.88425562
 0.87896598 0.8814801  0.88592227 0.87062443]";85.59$\pm$1.11;"[0.8507246  0.85088111 0.86364151 0.83080811 0.86114404 0.85493866
 0.84648223 0.86882626 0.8669748  0.86487359]";89.77$\pm$1.87;"[0.89481659 0.89934866 0.92054052 0.86303546 0.88716101 0.89917717
 0.90999787 0.87048791 0.92191246 0.91096689]";86.71$\pm$1.33;"[0.86063123 0.87154017 0.88040119 0.83809073 0.84846689 0.87128876
 0.87634863 0.87991502 0.86870971 0.87551614]";93.62$\pm$0.7;"[0.93435985 0.94372036 0.93744672 0.92974453 0.93217873 0.9398393
 0.93382373 0.94877524 0.92261841 0.93974439]";91.73$\pm$1.03;"[0.93069356 0.92364737 0.91951156 0.89631507 0.91744366 0.91685592
 0.93133292 0.91294488 0.90402392 0.92017755]";92.33$\pm$1.14;"[0.91600844 0.92538228 0.92632466 0.90060072 0.90772018 0.93328927
 0.93739344 0.93179245 0.92126312 0.93365723]";92.12$\pm$0.86;"[0.92838923 0.93081011 0.92188582 0.90075723 0.91833942 0.91481798
 0.93142615 0.91846928 0.9238838  0.92328441]";92.92$\pm$0.58;"[0.92762681 0.93346305 0.93318993 0.91687334 0.92155251 0.92939414
 0.92782312 0.93645282 0.93053906 0.93489035]";90.67$\pm$0.98;"[0.90918203 0.91935172 0.90603522 0.8961186  0.89204606 0.9213447
 0.90853602 0.91430351 0.89303839 0.90661463]";90.64$\pm$0.93;"[0.91389725 0.89724746 0.9185825  0.90748042 0.90793662 0.91540073
 0.91119665 0.88726424 0.89659811 0.90884903]";89.67$\pm$1.21;"[0.89948852 0.90908546 0.91178273 0.88966847 0.86972534 0.90053579
 0.89584887 0.88845969 0.91080372 0.89140338]";91.06$\pm$0.88;"[0.92137967 0.89749387 0.90588204 0.90656135 0.90765025 0.8977919
 0.91291491 0.92172598 0.92265504 0.91219564]";91.05$\pm$2.32;"[0.90316146 0.92471296 0.91544901 0.9040439  0.91623155 0.93283639
 0.84630241 0.92822273 0.91887554 0.91562883]";89.18$\pm$1.34;"[0.87975851 0.88306183 0.89004475 0.86347834 0.88715435 0.90858763
 0.89362446 0.90516277 0.90556569 0.90205592]";85.4$\pm$1.19;"[0.85095104 0.85124074 0.86497016 0.83010549 0.83854694 0.85635389
 0.8599386  0.85779077 0.87446721 0.85537988]";89.82$\pm$1.25;"[0.89359782 0.90625832 0.91988785 0.87732431 0.91244872 0.90827462
 0.88655496 0.88957856 0.89693777 0.89114697]";90.36$\pm$1.49;"[0.90571554 0.90363432 0.92366735 0.88619532 0.87185985 0.90625333
 0.91275507 0.90346449 0.89893242 0.92315121]";90.95$\pm$0.79;"[0.91020766 0.91304145 0.90848607 0.91776    0.89811658 0.91366915
 0.91214902 0.91558221 0.91410371 0.8915166 ]";98.47$\pm$0.39;"[0.99081264 0.98623062 0.98362659 0.98739944 0.98561125 0.98124734
 0.98234789 0.98056636 0.99054292 0.97893135]";90.9$\pm$1.29;"[0.91752857 0.91859582 0.89793176 0.89614024 0.91509271 0.92117321
 0.89055424 0.89979487 0.90091874 0.93221869]";91.72$\pm$0.74;"[0.90995791 0.92252517 0.92903857 0.90650141 0.91078707 0.91994279
 0.91310139 0.91973467 0.91233051 0.92770659]";91.82$\pm$1.06;"[0.92283819 0.93321767 0.92861567 0.89262547 0.91875233 0.92443491
 0.91553892 0.9208602  0.91313469 0.91188929]";87.39$\pm$1.91;"[0.85159372 0.86438076 0.89554918 0.84844691 0.86802374 0.86197487
 0.89861274 0.87440394 0.86867974 0.90744712]";90.77$\pm$1.24;"[0.91553559 0.89357784 0.92234203 0.89345463 0.8998315  0.90012621
 0.89934533 0.92482618 0.9262181  0.90176288]";91.37$\pm$1.16;"[0.91033752 0.91978295 0.91923684 0.88959355 0.91577368 0.91524588
 0.89711259 0.92387547 0.91470976 0.93100991]";86.45$\pm$0.92;"[0.85103429 0.87958535 0.86463717 0.85949904 0.87136701 0.8757942
 0.85257939 0.85576949 0.86627551 0.8682202 ]"
AP;90.03$\pm$1.22;"[0.88709656 0.91922898 0.91956059 0.89094184 0.8948689  0.91338663
 0.89699869 0.90190614 0.8940321  0.88460592]";90.61$\pm$0.74;"[0.90190638 0.90229164 0.91217201 0.88982845 0.90839512 0.90474584
 0.90117698 0.91515889 0.91470763 0.9107476 ]";93.03$\pm$1.07;"[0.93058693 0.93362389 0.94357958 0.90856574 0.92457252 0.92911696
 0.93522072 0.91636813 0.94339814 0.93827971]";91.48$\pm$0.77;"[0.91061138 0.91905542 0.92453225 0.8969933  0.90727427 0.9158427
 0.91862806 0.92240826 0.91413443 0.91847547]";94.74$\pm$0.53;"[0.94424423 0.95415742 0.94810264 0.94426952 0.94034583 0.94604089
 0.95440058 0.95518401 0.94031245 0.94739156]";92.28$\pm$0.97;"[0.93507872 0.93627534 0.91968223 0.90863147 0.92559018 0.92297867
 0.93441264 0.9218892  0.90934806 0.91439848]";94.38$\pm$0.68;"[0.94093368 0.94715853 0.94722353 0.93057523 0.93406533 0.94762003
 0.95522973 0.94509036 0.94266575 0.94716156]";94.33$\pm$0.62;"[0.94897615 0.94835839 0.94645869 0.92850164 0.94227439 0.93715986
 0.95001558 0.94133477 0.94343698 0.94635802]";nan$\pm$nan;[];92.18$\pm$0.73;"[0.91928147 0.93386753 0.92473912 0.9183412  0.91366403 0.93400111
 0.92287243 0.92390996 0.91099431 0.91643756]";92.5$\pm$0.88;"[0.93369935 0.91617194 0.93404725 0.92456863 0.9292665  0.93274707
 0.92816685 0.9049592  0.91850052 0.92754663]";89.4$\pm$1.05;"[0.89777115 0.90536864 0.90942687 0.8930196  0.87470736 0.8912007
 0.88916236 0.88217847 0.90658571 0.89054822]";92.19$\pm$0.96;"[0.93035678 0.90048345 0.91987897 0.91932322 0.92854384 0.91585778
 0.91641434 0.92280959 0.93714681 0.92811812]";93.67$\pm$1.15;"[0.93102395 0.9442932  0.94178238 0.92984147 0.93700727 0.94918257
 0.9076755  0.94810683 0.94195871 0.93571025]";92.82$\pm$0.81;"[0.92220151 0.92551213 0.9305628  0.90976817 0.92389668 0.93852562
 0.92740467 0.93634986 0.93575002 0.93237615]";91.11$\pm$0.7;"[0.91011208 0.90997578 0.91681679 0.89535741 0.90276755 0.9126547
 0.9159213  0.91548189 0.92072019 0.91070571]";93.07$\pm$0.79;"[0.92828185 0.93635639 0.94418827 0.91444744 0.93752855 0.93690013
 0.92609349 0.92576495 0.93055469 0.92662858]";93.21$\pm$0.87;"[0.92870108 0.93423033 0.9458834  0.92217199 0.91455159 0.93314653
 0.93590347 0.93267402 0.93042033 0.94314992]";93.36$\pm$0.58;"[0.93274408 0.93153224 0.93547135 0.94229795 0.92944116 0.93789071
 0.93082976 0.9384183  0.93713091 0.92023672]";98.57$\pm$0.5;"[0.99243791 0.98346661 0.98868507 0.98779737 0.98986416 0.98346042
 0.98599331 0.97614304 0.99070186 0.97846741]";93.92$\pm$0.71;"[0.94382523 0.94518769 0.93589755 0.92865298 0.9406581  0.94618135
 0.92933625 0.93536349 0.93608399 0.95126374]";94.02$\pm$0.54;"[0.93549553 0.94253399 0.9491723  0.93135788 0.93597188 0.94275055
 0.94013613 0.94376257 0.93454398 0.94633372]";94.37$\pm$0.76;"[0.94563849 0.95433791 0.95196013 0.92520875 0.94325458 0.94719726
 0.9406917  0.94611814 0.94358933 0.93944415]";91.9$\pm$0.98;"[0.91080095 0.91865835 0.9326367  0.90171438 0.91569995 0.91425968
 0.92515173 0.91862438 0.91574095 0.93685998]";93.63$\pm$0.71;"[0.94055112 0.93052505 0.94633656 0.9261083  0.93146629 0.93236828
 0.93103047 0.94722207 0.94409133 0.93349527]";94.06$\pm$0.74;"[0.93881332 0.94432095 0.94667489 0.92503472 0.94047065 0.94172892
 0.93155777 0.94684776 0.93882911 0.95165857]";91.34$\pm$0.61;"[0.90514212 0.92434951 0.91618609 0.90733511 0.91690834 0.92059075
 0.90823436 0.90692396 0.91306811 0.91526037]"
