metrics;louvain_prob_pred;grace_random;grace_ctri;grace_sbm;bgrl_random;bgrl_ctri;bgrl_sbm;lgrace_random;lgrace_ctri;lgrace_sbm;lbgrl_random;lbgrl_ctri;lbgrl_sbm
Hits@10;17.25$\pm$0.0;26.15$\pm$0.0;26.53$\pm$0.0;20.94$\pm$0.0;34.2$\pm$0.0;22.32$\pm$0.0;26.0$\pm$0.0;16.1$\pm$0.0;20.71$\pm$0.0;0.69$\pm$0.0;21.47$\pm$0.0;21.55$\pm$0.0;8.9$\pm$0.0
Hits@20;23.77$\pm$0.0;39.26$\pm$0.0;41.56$\pm$0.0;27.76$\pm$0.0;50.08$\pm$0.0;51.61$\pm$0.0;41.87$\pm$0.0;27.22$\pm$0.0;33.59$\pm$0.0;6.37$\pm$0.0;29.52$\pm$0.0;28.76$\pm$0.0;14.95$\pm$0.0
Hits@50;40.8$\pm$0.0;63.34$\pm$0.0;65.11$\pm$0.0;38.65$\pm$0.0;68.79$\pm$0.0;70.09$\pm$0.0;55.98$\pm$0.0;49.46$\pm$0.0;51.46$\pm$0.0;11.27$\pm$0.0;42.64$\pm$0.0;41.87$\pm$0.0;23.16$\pm$0.0
Hits@100;67.71$\pm$0.0;75.15$\pm$0.0;76.46$\pm$0.0;53.6$\pm$0.0;79.37$\pm$0.0;78.99$\pm$0.0;68.94$\pm$0.0;61.2$\pm$0.0;64.88$\pm$0.0;20.86$\pm$0.0;53.37$\pm$0.0;52.22$\pm$0.0;31.67$\pm$0.0
ROCAUC;88.97$\pm$0.0;92.75$\pm$0.0;93.02$\pm$0.0;88.14$\pm$0.0;93.96$\pm$0.0;93.93$\pm$0.0;92.0$\pm$0.0;87.89$\pm$0.0;88.42$\pm$0.0;70.12$\pm$0.0;80.62$\pm$0.0;80.74$\pm$0.0;68.67$\pm$0.0
AP;89.22$\pm$0.0;92.52$\pm$0.0;92.86$\pm$0.0;87.31$\pm$0.0;93.93$\pm$0.0;93.81$\pm$0.0;91.74$\pm$0.0;87.7$\pm$0.0;88.67$\pm$0.0;66.98$\pm$0.0;83.7$\pm$0.0;83.67$\pm$0.0;71.11$\pm$0.0
pretrain_time;nan$\pm$nan;0.1$\pm$0.0;12.16$\pm$0.0;1.04$\pm$0.0;0.15$\pm$0.0;12.38$\pm$0.0;1.38$\pm$0.0;0.29$\pm$0.0;12.47$\pm$0.0;1.43$\pm$0.0;0.15$\pm$0.0;12.31$\pm$0.0;1.24$\pm$0.0
