metrics;baseline;grace_sbm;csgcl_sbm;bgrl_sbm
Hits@10;46.82$\pm$0.0;27.68$\pm$0.0;36.02$\pm$0.0;29.29$\pm$0.0
Hits@20;55.26$\pm$0.0;42.18$\pm$0.0;48.82$\pm$0.0;39.05$\pm$0.0
Hits@50;68.25$\pm$0.0;58.2$\pm$0.0;58.86$\pm$0.0;51.56$\pm$0.0
Hits@100;77.16$\pm$0.0;65.88$\pm$0.0;68.44$\pm$0.0;65.97$\pm$0.0
ROCAUC;90.45$\pm$0.0;83.88$\pm$0.0;85.37$\pm$0.0;89.29$\pm$0.0
AP;91.84$\pm$0.0;86.77$\pm$0.0;88.41$\pm$0.0;89.24$\pm$0.0
pretrain_time;nan$\pm$nan;135.02$\pm$0.0;135.5$\pm$0.0;135.32$\pm$0.0
