metrics;louvain_prob_pred;grace_random;grace_ctri;grace_sbm;bgrl_random;bgrl_ctri;bgrl_sbm;lgrace_random;lgrace_ctri;lgrace_sbm;lbgrl_random;lbgrl_ctri;lbgrl_sbm
Hits@10;12.37$\pm$0.0;7.07$\pm$0.0;7.42$\pm$0.0;14.49$\pm$0.0;9.54$\pm$0.0;9.54$\pm$0.0;12.72$\pm$0.0;4.59$\pm$0.0;6.01$\pm$0.0;4.24$\pm$0.0;5.3$\pm$0.0;5.3$\pm$0.0;5.3$\pm$0.0
Hits@20;12.37$\pm$0.0;10.95$\pm$0.0;11.66$\pm$0.0;24.03$\pm$0.0;19.43$\pm$0.0;20.14$\pm$0.0;23.32$\pm$0.0;6.01$\pm$0.0;9.89$\pm$0.0;9.54$\pm$0.0;10.6$\pm$0.0;10.95$\pm$0.0;6.36$\pm$0.0
Hits@50;12.37$\pm$0.0;25.44$\pm$0.0;25.44$\pm$0.0;31.1$\pm$0.0;30.74$\pm$0.0;31.8$\pm$0.0;37.81$\pm$0.0;18.02$\pm$0.0;19.79$\pm$0.0;17.67$\pm$0.0;18.02$\pm$0.0;18.02$\pm$0.0;16.61$\pm$0.0
Hits@100;16.61$\pm$0.0;42.76$\pm$0.0;43.11$\pm$0.0;49.12$\pm$0.0;49.12$\pm$0.0;50.53$\pm$0.0;51.24$\pm$0.0;34.63$\pm$0.0;35.34$\pm$0.0;37.1$\pm$0.0;33.57$\pm$0.0;34.63$\pm$0.0;36.04$\pm$0.0
ROCAUC;53.67$\pm$0.0;53.14$\pm$0.0;53.37$\pm$0.0;60.86$\pm$0.0;58.14$\pm$0.0;58.45$\pm$0.0;62.88$\pm$0.0;49.2$\pm$0.0;49.35$\pm$0.0;52.05$\pm$0.0;51.83$\pm$0.0;51.7$\pm$0.0;49.75$\pm$0.0
AP;62.61$\pm$0.0;55.46$\pm$0.0;55.76$\pm$0.0;63.03$\pm$0.0;60.96$\pm$0.0;61.29$\pm$0.0;65.16$\pm$0.0;50.87$\pm$0.0;52.42$\pm$0.0;53.49$\pm$0.0;52.97$\pm$0.0;53.08$\pm$0.0;51.18$\pm$0.0
pretrain_time;nan$\pm$nan;0.08$\pm$0.0;2.02$\pm$0.0;1.1$\pm$0.0;0.09$\pm$0.0;2.02$\pm$0.0;1.32$\pm$0.0;0.15$\pm$0.0;2.06$\pm$0.0;1.13$\pm$0.0;0.11$\pm$0.0;2.03$\pm$0.0;1.11$\pm$0.0
