metrics;lbgrl_sbm2_mean;lbgrl_sbm2
Hits@10;17.25$\pm$4.56;"[0.22033898 0.14576271 0.1559322  0.18983051 0.24745763 0.18644068
 0.14915254 0.20677966 0.14576271 0.0779661 ]"
Hits@20;27.76$\pm$5.18;"[0.36949153 0.29152542 0.28813559 0.29152542 0.30847458 0.26101695
 0.25423729 0.29491525 0.26440678 0.15254237]"
Hits@50;48.71$\pm$5.84;"[0.60338983 0.48813559 0.48474576 0.53898305 0.44745763 0.48474576
 0.50847458 0.51186441 0.42033898 0.38305085]"
Hits@100;68.64$\pm$3.66;"[0.7559322  0.70169492 0.68135593 0.7220339  0.65762712 0.67118644
 0.69491525 0.69152542 0.61016949 0.6779661 ]"
ROCAUC;73.23$\pm$2.19;"[0.77575409 0.7487044  0.72409078 0.75178397 0.71839127 0.7238782
 0.73108877 0.73997127 0.69220339 0.71671359]"
AP;72.82$\pm$2.86;"[0.78085012 0.73890198 0.72079663 0.74992547 0.73386733 0.72030719
 0.72331296 0.74785898 0.6921666  0.67399173]"
pretrain_time;4.17$\pm$0.19;"[4.41981077 4.00113845 4.40659189 4.13005185 4.45488882 3.96605825
 3.95627284 4.28752255 4.09332013 3.96497774]"
