metrics;grace_random_mean;grace_random;grace_deg_mean;grace_deg;grace_raa_mean;grace_raa;grace_sbm+random_mean;grace_sbm+random;grace_sbm+deg_mean;grace_sbm+deg;grace_sbm+raa_mean;grace_sbm+raa;bgrl_random_mean;bgrl_random;bgrl_deg_mean;bgrl_deg;bgrl_raa_mean;bgrl_raa;bgrl_sbm+random_mean;bgrl_sbm+random;bgrl_sbm+deg_mean;bgrl_sbm+deg;bgrl_sbm+raa_mean;bgrl_sbm+raa;lgrace_random_mean;lgrace_random;lgrace_deg_mean;lgrace_deg;lgrace_raa_mean;lgrace_raa;lgrace_sbm+random_mean;lgrace_sbm+random;lgrace_sbm+deg_mean;lgrace_sbm+deg;lgrace_sbm+raa_mean;lgrace_sbm+raa;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_raa_mean;lbgrl_raa;lbgrl_sbm+random_mean;lbgrl_sbm+random;lbgrl_sbm+deg_mean;lbgrl_sbm+deg;lbgrl_sbm+raa_mean;lbgrl_sbm+raa
Hits@10;80.51$\pm$3.94;[0.80705623 0.82965821 0.72987872 0.84178611 0.81697905];77.1$\pm$4.0;[0.80319735 0.78169791 0.69459757 0.77287762 0.80264609];73.4$\pm$8.42;[0.7216097  0.79658214 0.70011025 0.84840132 0.6030871 ];75.93$\pm$4.04;[0.75854465 0.80429989 0.68412348 0.77177508 0.77783903];52.58$\pm$13.23;[0.37982359 0.68743109 0.59812569 0.60639471 0.35722161];16.77$\pm$21.23;[0.         0.50551268 0.00055127 0.         0.33241455];86.8$\pm$1.38;[0.87816979 0.84343991 0.86438809 0.87100331 0.8831312 ];82.54$\pm$3.21;[0.8522602  0.81477398 0.85722161 0.83406836 0.76846748];85.37$\pm$4.06;[0.88423374 0.83958104 0.79051819 0.90904079 0.84509372];67.77$\pm$34.0;[0.88533627 0.8676957  0.80871003 0.         0.82690187];62.34$\pm$10.45;[0.61356119 0.68522602 0.52590959 0.78776185 0.50441014];80.21$\pm$4.78;[0.84674752 0.73484013 0.75358324 0.84233738 0.83296582];78.53$\pm$10.74;[0.86052922 0.86052922 0.84288864 0.57772878 0.78500551];79.99$\pm$8.3;[0.85336273 0.85667034 0.81422271 0.8384785  0.63671444];72.56$\pm$18.23;[0.37541345 0.85170893 0.82635061 0.85722161 0.71719956];43.24$\pm$22.64;[0.43384785 0.64388093 0.5275634  0.5567806  0.        ];62.99$\pm$5.98;[0.67309813 0.66538037 0.63120176 0.66593164 0.5137817 ];86.5$\pm$3.91;[0.89636163 0.85060639 0.79437707 0.8952591  0.88864388];86.53$\pm$2.51;[0.89140022 0.89195149 0.83792723 0.87100331 0.83406836];63.07$\pm$12.57;[0.69845645 0.38809261 0.68522602 0.63891951 0.74255788];79.15$\pm$8.89;[0.86052922 0.80650496 0.62348401 0.87045204 0.79658214];57.16$\pm$28.81;[0.76957001 0.02425579 0.78335171 0.74531422 0.53528115];82.54$\pm$4.34;[0.87375965 0.8676957  0.75468578 0.8092613  0.8213892 ];71.65$\pm$9.37;[0.792172   0.76957001 0.70562293 0.77673649 0.53858875]
Hits@20;87.21$\pm$3.48;[0.87596472 0.88974642 0.80705623 0.9106946  0.87706725];85.71$\pm$2.95;[0.86714443 0.87706725 0.79933848 0.87872106 0.86328556];84.66$\pm$4.23;[0.85556781 0.8814774  0.83406836 0.89029768 0.77177508];81.39$\pm$1.42;[0.79933848 0.83296582 0.79658214 0.82524807 0.81532525];59.56$\pm$12.33;[0.43274531 0.71830209 0.68522602 0.68302095 0.45865491];21.4$\pm$26.52;"[0.00000000e+00 6.00882029e-01 5.51267916e-04 0.00000000e+00
 4.68577729e-01]";91.91$\pm$1.42;[0.92998897 0.93274531 0.89470783 0.91179713 0.9261301 ];88.1$\pm$2.07;[0.89746417 0.88699008 0.8969129  0.88257993 0.84123484];91.36$\pm$2.26;[0.91510474 0.93825799 0.87265711 0.92998897 0.91179713];71.71$\pm$35.88;[0.91124587 0.90407938 0.87486218 0.         0.8952591 ];72.98$\pm$5.65;[0.75027563 0.73759647 0.68081588 0.82028666 0.6598677 ];87.21$\pm$2.12;[0.89029768 0.85115766 0.84178611 0.88588754 0.89140022];90.03$\pm$1.5;[0.89360529 0.92282249 0.90628445 0.90187431 0.87706725];89.53$\pm$2.43;[0.91455347 0.91510474 0.89029768 0.90628445 0.85005513];77.66$\pm$20.15;[0.39636163 0.93274531 0.88754135 0.92061742 0.74586549];52.34$\pm$26.99;[0.54189636 0.73208379 0.63616318 0.70672547 0.        ];73.43$\pm$2.98;[0.77783903 0.76130099 0.70562293 0.72105843 0.70562293];91.23$\pm$1.36;[0.91289967 0.92668137 0.88699008 0.92116869 0.91400221];91.74$\pm$1.29;[0.91896362 0.93936053 0.90022051 0.91014333 0.91841235];78.99$\pm$12.93;[0.89250276 0.53528115 0.85887541 0.83296582 0.82965821];88.64$\pm$3.72;[0.90793826 0.8814774  0.81642778 0.92006615 0.90628445];61.09$\pm$30.17;[0.7954796  0.02425579 0.82635061 0.78500551 0.62348401];88.36$\pm$1.98;[0.89746417 0.8985667  0.84564498 0.89360529 0.88257993];83.38$\pm$4.99;[0.86052922 0.87320838 0.82965821 0.86714443 0.73869901]
Hits@50;93.54$\pm$0.36;[0.93109151 0.93660419 0.93109151 0.93880926 0.93936053];92.36$\pm$0.58;[0.91841235 0.92943771 0.91786108 0.93164278 0.92061742];92.4$\pm$1.11;[0.92668137 0.93495039 0.92502756 0.93054024 0.90297685];87.61$\pm$1.07;[0.8676957  0.8814774  0.86052922 0.87982359 0.89084895];71.49$\pm$6.9;[0.65490628 0.76736494 0.78169791 0.76019846 0.61025358];27.55$\pm$33.77;"[0.00000000e+00 7.15545755e-01 5.51267916e-04 0.00000000e+00
 6.61521499e-01]";94.29$\pm$0.42;[0.93715546 0.94542448 0.94211687 0.94046307 0.94928335];92.68$\pm$0.91;[0.92227122 0.93164278 0.9415656  0.92337376 0.91510474];94.27$\pm$0.36;[0.93660419 0.94597574 0.94211687 0.94652701 0.94211687];74.61$\pm$37.31;[0.93164278 0.93550165 0.92557883 0.         0.93770673];80.1$\pm$3.79;[0.81918412 0.80429989 0.77177508 0.85942668 0.75027563];90.9$\pm$0.76;[0.90793826 0.90628445 0.89966924 0.90848953 0.92282249];93.59$\pm$0.57;[0.92668137 0.93219405 0.93880926 0.93936053 0.94266814];93.86$\pm$0.31;[0.93550165 0.94046307 0.94046307 0.93439912 0.94211687];83.3$\pm$21.83;[0.39636163 0.9432194  0.93825799 0.9399118  0.94707828];62.0$\pm$31.35;[0.69018743 0.8246968  0.77177508 0.81312018 0.        ];83.74$\pm$0.91;[0.84840132 0.8384785  0.8213892  0.83572216 0.84288864];93.68$\pm$0.42;[0.92943771 0.94211687 0.93770673 0.93605292 0.93880926];94.2$\pm$0.53;[0.93550165 0.95148842 0.94046307 0.9399118  0.94266814];87.61$\pm$8.61;[0.94046307 0.707828   0.92888644 0.88588754 0.91730981];93.87$\pm$0.71;[0.92557883 0.94597574 0.93770673 0.9415656  0.94266814];82.79$\pm$4.26;[0.8401323  0.82249173 0.88699008 0.83517089 0.75468578];91.89$\pm$0.95;[0.92227122 0.92502756 0.90297685 0.91400221 0.92998897];90.04$\pm$0.69;[0.89084895 0.90904079 0.90077178 0.90683572 0.89470783]
Hits@100;94.47$\pm$0.47;[0.93660419 0.94928335 0.94597574 0.94266814 0.94873208];94.08$\pm$0.41;[0.93329658 0.9399118  0.9432194  0.94487321 0.94266814];94.06$\pm$0.41;[0.93660419 0.94542448 0.94542448 0.93936053 0.93605292];90.0$\pm$0.77;[0.89140022 0.90738699 0.89140022 0.90022051 0.90959206];77.49$\pm$4.57;[0.72216097 0.80650496 0.82690187 0.80099228 0.71775083];30.96$\pm$37.9;"[0.00000000e+00 7.78390298e-01 5.51267916e-04 0.00000000e+00
 7.69018743e-01]";94.93$\pm$0.42;[0.94707828 0.9553473  0.94652701 0.94432194 0.95314223];93.91$\pm$0.4;[0.93550165 0.9415656  0.94487321 0.93384785 0.9399118 ];94.95$\pm$0.18;[0.94652701 0.95203969 0.94983462 0.94928335 0.94983462];75.39$\pm$37.7;[0.94266814 0.94542448 0.93770673 0.         0.94377067];84.54$\pm$2.54;[0.86714443 0.84288864 0.82414553 0.88037486 0.81256891];92.26$\pm$0.7;[0.92337376 0.91841235 0.91400221 0.92227122 0.93495039];94.61$\pm$0.33;[0.9399118  0.94652701 0.94707828 0.94707828 0.94983462];94.4$\pm$0.38;[0.93825799 0.94652701 0.94377067 0.94211687 0.94928335];83.88$\pm$22.12;[0.39636163 0.94983462 0.94873208 0.94597574 0.95314223];66.47$\pm$33.34;[0.79051819 0.86052922 0.81697905 0.85556781 0.        ];89.21$\pm$0.88;[0.89140022 0.89415656 0.87816979 0.89084895 0.90573319];94.45$\pm$0.24;[0.9399118  0.94597574 0.94597574 0.94432194 0.94652701];95.21$\pm$0.49;[0.94818082 0.95865491 0.94707828 0.94928335 0.95755237];91.49$\pm$4.68;[0.95810364 0.82635061 0.9415656  0.9106946  0.93770673];95.01$\pm$0.48;[0.9415656  0.95479603 0.94818082 0.95314223 0.95259096];86.53$\pm$2.42;[0.86659316 0.85281147 0.91014333 0.85832415 0.8384785 ];92.98$\pm$0.82;[0.93384785 0.93384785 0.91675854 0.9244763  0.9399118 ];91.61$\pm$0.53;[0.90848953 0.92502756 0.91455347 0.91565601 0.91675854]
ROCAUC;97.75$\pm$0.18;[0.97573965 0.9785121  0.97537559 0.97768474 0.98028754];97.95$\pm$0.22;[0.98045992 0.97987112 0.97584678 0.97879412 0.9825142 ];97.76$\pm$0.07;[0.97651702 0.97750863 0.97728618 0.97870963 0.97808398];95.26$\pm$0.21;[0.9489202  0.95316107 0.95213815 0.95349839 0.95523601];90.54$\pm$2.29;[0.8928024  0.9219731  0.92977473 0.9156317  0.86687153];74.36$\pm$19.98;[0.5        0.9212085  0.50027563 0.86877848 0.92777372];97.79$\pm$0.25;[0.97534398 0.97757731 0.97635428 0.97755224 0.98269146];97.97$\pm$0.12;[0.97915682 0.98202864 0.97893816 0.97876342 0.97949712];98.27$\pm$0.19;[0.98104416 0.98495622 0.97989635 0.98379503 0.98378275];87.47$\pm$18.74;[0.96883847 0.97055062 0.9656737  0.5        0.96860479];94.01$\pm$0.42;[0.94476836 0.93919673 0.93293829 0.94397398 0.93958219];95.59$\pm$0.44;[0.95279609 0.94873573 0.96017408 0.95897962 0.95903666];97.17$\pm$0.38;[0.96814878 0.97552146 0.97340102 0.96630018 0.97536778];97.79$\pm$0.08;[0.97815153 0.97826534 0.97692272 0.97717997 0.97920978];91.72$\pm$11.07;[0.69584218 0.97320136 0.97457482 0.96924782 0.97327734];84.2$\pm$17.12;[0.91521414 0.93762042 0.92060374 0.93650193 0.5       ];94.86$\pm$0.27;[0.94700291 0.95272984 0.94480422 0.9483197  0.95009155];97.08$\pm$0.18;[0.96906244 0.97172944 0.97254342 0.96829328 0.97255397];98.21$\pm$0.36;[0.98364035 0.98342489 0.97482584 0.98356377 0.98481961];96.84$\pm$1.56;[0.98342549 0.94365808 0.95657929 0.97666228 0.9815795 ];98.0$\pm$0.25;[0.97663037 0.9816784  0.97742901 0.9829815  0.981377  ];94.19$\pm$0.82;[0.93932467 0.93738733 0.95818721 0.9385005  0.93594452];96.58$\pm$0.47;[0.97017562 0.96990621 0.9578432  0.9633577  0.96755881];95.47$\pm$0.54;[0.95337136 0.96500087 0.94895697 0.95332153 0.95277446]
AP;98.3$\pm$0.13;[0.98194586 0.98428023 0.98119344 0.98350573 0.98424709];98.24$\pm$0.2;[0.98294824 0.98205636 0.98081106 0.98021212 0.98592156];98.17$\pm$0.15;[0.98100141 0.98284932 0.9802598  0.98401856 0.98057521];96.81$\pm$0.19;[0.9656485  0.96910214 0.96612773 0.96909898 0.97064593];92.93$\pm$2.11;[0.91687872 0.94583929 0.94974129 0.94029414 0.89378818];74.69$\pm$20.33;[0.5        0.93914901 0.50027563 0.86112018 0.93388777];98.15$\pm$0.19;[0.98210959 0.97910802 0.98370402 0.97958609 0.9832063 ];98.37$\pm$0.12;[0.98363228 0.98513298 0.98492916 0.98282281 0.98218656];98.67$\pm$0.14;[0.98591073 0.98773009 0.98442717 0.98819194 0.98740999];87.75$\pm$18.88;[0.97209752 0.97574367 0.96859001 0.5        0.97116273];95.62$\pm$0.47;[0.95988214 0.956745   0.94989727 0.96255827 0.95208672];97.17$\pm$0.28;[0.97143981 0.96643955 0.97280201 0.97293982 0.97468995];97.63$\pm$0.44;[0.97470647 0.98160051 0.97868485 0.96868578 0.97772515];98.25$\pm$0.16;[0.98333859 0.98417065 0.98291027 0.98251272 0.97958821];92.16$\pm$11.23;[0.69720911 0.97726206 0.98170249 0.96994383 0.98195761];85.8$\pm$17.91;[0.93430134 0.95758531 0.94330195 0.95448462 0.50013785];96.3$\pm$0.28;[0.96371891 0.96622876 0.95796973 0.96443477 0.96242935];97.97$\pm$0.1;[0.98014014 0.97796193 0.98008495 0.97954461 0.98086478];98.54$\pm$0.21;[0.98762132 0.98611668 0.98239082 0.98733707 0.9837021 ];97.36$\pm$1.22;[0.98381935 0.95093245 0.9717638  0.97789107 0.98355561];98.41$\pm$0.21;[0.98366544 0.9853543  0.98067154 0.98696047 0.98381056];95.73$\pm$0.9;[0.95953582 0.9443783  0.97171782 0.95870554 0.95218827];97.6$\pm$0.41;[0.98008006 0.97893053 0.96984966 0.97223853 0.97879933];96.91$\pm$0.32;[0.96880087 0.97465196 0.96671081 0.96974136 0.96552413]
pretrain_time;21.2$\pm$3.45;[19.76710224 17.92635798 20.99479795 27.82368827 19.48606873];27.52$\pm$9.94;[35.60579419 15.08804965 15.59889007 35.62516928 35.68683124];23.06$\pm$9.62;[28.23761129 15.0351913  14.26332927 18.24023414 39.50979209];282.02$\pm$6.02;[286.75325942 272.19189239 289.58812428 281.80698538 279.765975  ];269.13$\pm$6.28;[272.51669812 258.73147154 277.72701335 269.44560242 267.21289873];276.25$\pm$34.31;[247.09211993 318.57792234 255.5033443  317.34431052 242.72435379];14.92$\pm$0.39;[14.23645687 15.10507584 15.06232452 14.82752013 15.38208866];15.04$\pm$5.75;[12.1566112  12.16369057 26.53818059 12.18381691 12.17223501];44.21$\pm$4.25;[46.64559603 46.35884523 45.99655366 46.3155303  35.72414184];281.88$\pm$6.37;[286.67409635 271.9487679  290.08186293 282.52628398 278.18930078];288.06$\pm$56.14;[251.86395311 279.98932552 259.51355362 398.35903859 250.57798386];255.92$\pm$8.19;[253.11604452 244.7106657  265.28724909 251.04794407 265.44101548];100.65$\pm$12.41;[ 94.16815114  94.3226335  125.45633388  94.094805    95.19920087];167.36$\pm$47.32;[235.97458673 212.09274077 136.45078111 117.99408388 134.29476404];523.01$\pm$114.53;[639.99628949 356.85103536 426.17631841 642.16274929 549.85160017];263.43$\pm$7.49;[267.02157545 257.86264133 275.61138082 262.57777286 254.08289838];265.0$\pm$16.68;[290.19565797 246.09861803 261.99408197 277.22903967 249.49420166];589.88$\pm$134.26;[446.18534875 804.53354192 537.59025121 681.78416085 479.31788898];18.86$\pm$2.84;[16.77685499 17.39724898 24.3651042  18.76699519 16.99383473];17.29$\pm$1.8;[16.29044724 16.85847378 20.86412024 16.31024432 16.13167834];36.76$\pm$7.08;[31.41059875 31.69703197 47.64557338 42.77108574 30.27140164];252.95$\pm$6.65;[259.33194804 242.22955751 260.52408767 250.1719923  252.49503255];252.82$\pm$6.14;[256.10379934 248.91916513 263.42179489 248.35636783 247.32054543];246.7$\pm$6.34;[252.096174   237.71979356 254.36844802 241.20610738 248.10632849]
