metrics;baseline_mean;baseline
Hits@10;3.64$\pm$1.07;"[0.0437521  0.0437521  0.03304501 0.02960195 0.03044172 0.03770574
 0.05945583 0.03611018 0.01624958 0.03413671]"
Hits@20;5.74$\pm$1.4;"[0.05143601 0.06646792 0.04400403 0.04702721 0.05693651 0.05849009
 0.08259154 0.06860934 0.03111354 0.06739167]"
Hits@50;10.51$\pm$2.16;"[0.08649647 0.125      0.07755291 0.09716157 0.12180887 0.12269063
 0.13629493 0.10354384 0.06680383 0.11374706]"
Hits@100;15.99$\pm$2.42;"[0.14528048 0.17299295 0.13306181 0.15409809 0.18693315 0.1779476
 0.19029224 0.17005375 0.10841451 0.1595566 ]"
ROCAUC;91.47$\pm$0.95;"[0.92506838 0.89839874 0.92129131 0.91694494 0.93029143 0.90445289
 0.91182891 0.92177558 0.90953035 0.90715639]"
AP;90.58$\pm$0.91;"[0.91449181 0.89371628 0.90693467 0.90772658 0.92168446 0.89860898
 0.9076119  0.91512841 0.89359981 0.89836473]"
pretrain_time;nan$\pm$nan;[]
