metrics;a2grace_random_mean;a2grace_random;a2bgrl_random_mean;a2bgrl_random
Hits@10;90.68$\pm$0.0;[0.90683572];88.86$\pm$0.0;[0.88864388]
Hits@20;93.27$\pm$0.0;[0.93274531];92.06$\pm$0.0;[0.92061742]
Hits@50;94.05$\pm$0.0;[0.94046307];94.05$\pm$0.0;[0.94046307]
Hits@100;94.21$\pm$0.0;[0.94211687];94.71$\pm$0.0;[0.94707828]
ROCAUC;96.41$\pm$0.0;[0.96409799];97.18$\pm$0.0;[0.97179417]
AP;97.8$\pm$0.0;[0.97804613];98.13$\pm$0.0;[0.98129299]
pretrain_time;11.86$\pm$0.0;[11.85581446];16.54$\pm$0.0;[16.53718734]
