metrics;baseline;grace_random;grace_scom;grace_sbm;agrace_random;agrace_scom;agrace_sbm;âorgrace_random;âorgrace_scom;âorgrace_sbm;csgcl_random;csgcl_scom;csgcl_sbm;bgrl_random;bgrl_scom;bgrl_sbm;abgrl_random;abgrl_scom;abgrl_sbm;âorbgrl_random;âorbgrl_scom;âorbgrl_sbm
Hits@10;64.57$\pm$3.12;68.23$\pm$7.03;66.63$\pm$5.93;58.44$\pm$5.21;67.24$\pm$5.38;65.58$\pm$4.25;56.19$\pm$6.33;67.51$\pm$6.54;65.97$\pm$4.92;64.79$\pm$5.91;68.52$\pm$6.96;67.05$\pm$4.94;63.85$\pm$6.83;69.06$\pm$4.76;69.72$\pm$6.2;56.62$\pm$10.36;65.21$\pm$6.75;62.77$\pm$5.3;44.96$\pm$13.4;65.0$\pm$7.9;62.25$\pm$6.93;56.58$\pm$7.44
Hits@20;78.55$\pm$3.55;79.9$\pm$2.55;78.85$\pm$2.74;70.17$\pm$4.16;78.77$\pm$3.43;77.49$\pm$3.96;66.2$\pm$4.76;78.15$\pm$4.7;76.6$\pm$3.58;77.12$\pm$3.56;80.81$\pm$2.86;80.34$\pm$2.66;75.31$\pm$4.11;79.55$\pm$3.26;78.57$\pm$3.53;70.05$\pm$9.72;77.58$\pm$4.73;75.04$\pm$3.02;58.3$\pm$13.97;77.52$\pm$5.03;75.48$\pm$3.53;68.12$\pm$5.99
Hits@50;90.93$\pm$1.6;91.45$\pm$0.79;90.05$\pm$1.4;83.35$\pm$2.15;91.05$\pm$0.81;88.97$\pm$2.03;79.51$\pm$2.22;90.91$\pm$1.37;89.28$\pm$0.96;88.57$\pm$1.23;91.3$\pm$0.82;90.77$\pm$0.89;87.42$\pm$1.1;90.84$\pm$1.67;89.72$\pm$1.41;83.74$\pm$5.95;89.89$\pm$2.54;88.14$\pm$2.56;74.18$\pm$10.2;89.03$\pm$3.37;88.15$\pm$2.25;82.81$\pm$4.08
Hits@100;95.54$\pm$0.6;95.48$\pm$0.41;94.88$\pm$0.68;90.77$\pm$1.08;95.65$\pm$0.73;94.75$\pm$1.0;88.11$\pm$1.45;95.81$\pm$0.74;94.59$\pm$0.49;94.28$\pm$0.79;95.74$\pm$0.62;94.93$\pm$0.77;92.31$\pm$0.82;95.12$\pm$0.84;94.95$\pm$0.75;91.03$\pm$3.71;95.21$\pm$0.81;94.65$\pm$1.01;84.77$\pm$6.95;95.11$\pm$1.18;94.34$\pm$0.81;91.19$\pm$2.86
ROCAUC;97.79$\pm$0.28;97.81$\pm$0.3;97.59$\pm$0.32;96.57$\pm$0.32;97.69$\pm$0.29;97.45$\pm$0.42;95.88$\pm$0.42;97.72$\pm$0.31;97.41$\pm$0.35;97.46$\pm$0.31;97.84$\pm$0.3;97.68$\pm$0.31;96.99$\pm$0.33;97.62$\pm$0.3;97.52$\pm$0.35;96.72$\pm$0.72;97.74$\pm$0.3;97.52$\pm$0.3;95.22$\pm$1.47;97.71$\pm$0.31;97.49$\pm$0.26;97.06$\pm$0.62
AP;98.0$\pm$0.28;98.1$\pm$0.21;97.9$\pm$0.24;96.9$\pm$0.29;98.02$\pm$0.22;97.67$\pm$0.34;96.23$\pm$0.33;98.02$\pm$0.26;97.66$\pm$0.26;97.81$\pm$0.25;98.1$\pm$0.21;97.99$\pm$0.27;97.39$\pm$0.25;98.02$\pm$0.21;97.88$\pm$0.3;96.94$\pm$0.86;98.0$\pm$0.3;97.8$\pm$0.28;95.23$\pm$1.96;97.97$\pm$0.37;97.79$\pm$0.22;97.14$\pm$0.68
pretrain_time;nan$\pm$nan;4.27$\pm$0.16;4.88$\pm$0.17;36.12$\pm$0.29;5.96$\pm$0.34;6.53$\pm$0.47;37.78$\pm$1.23;6.37$\pm$0.14;6.89$\pm$0.19;38.24$\pm$0.17;4.44$\pm$0.12;5.11$\pm$0.14;36.46$\pm$0.39;4.2$\pm$0.12;4.85$\pm$0.11;36.19$\pm$0.44;5.09$\pm$0.14;5.59$\pm$0.16;37.0$\pm$0.29;5.21$\pm$0.13;5.85$\pm$0.21;37.1$\pm$0.35
