metrics;lbgrl_random_mean;lbgrl_random;lbgrl_deg_mean;lbgrl_deg;lbgrl_raa_mean;lbgrl_raa;lbgrl_sbm+random_mean;lbgrl_sbm+random;lbgrl_sbm+deg_mean;lbgrl_sbm+deg;lbgrl_sbm+raa_mean;lbgrl_sbm+raa
Hits@10;46.76$\pm$1.94;"[0.5032967  0.44725275 0.47472527 0.48021978 0.46813187 0.46483516
 0.42857143 0.47912088 0.47472527 0.45494505]";45.76$\pm$2.76;"[0.47472527 0.39450549 0.45714286 0.48131868 0.46703297 0.43406593
 0.45714286 0.5021978  0.46153846 0.44615385]";47.34$\pm$2.32;"[0.4978022  0.43186813 0.47142857 0.5        0.48241758 0.48241758
 0.44835165 0.5021978  0.47142857 0.44615385]";25.45$\pm$5.15;"[0.25054945 0.13626374 0.27032967 0.27142857 0.28571429 0.27472527
 0.22637363 0.2967033  0.32857143 0.2043956 ]";20.14$\pm$4.49;"[0.17032967 0.13296703 0.25274725 0.28241758 0.2010989  0.19010989
 0.21098901 0.24175824 0.14395604 0.18791209]";31.0$\pm$3.89;"[0.34725275 0.31538462 0.28021978 0.35054945 0.27362637 0.34175824
 0.3        0.36263736 0.29450549 0.23406593]"
Hits@20;48.82$\pm$1.84;"[0.52197802 0.45714286 0.48461538 0.4978022  0.49340659 0.48461538
 0.46593407 0.50989011 0.49120879 0.47582418]";49.31$\pm$1.84;"[0.50879121 0.45714286 0.47362637 0.50549451 0.4978022  0.48351648
 0.49450549 0.52527473 0.5010989  0.48351648]";49.45$\pm$1.55;"[0.50879121 0.47472527 0.48571429 0.51208791 0.49120879 0.5032967
 0.4967033  0.51758242 0.48791209 0.46703297]";31.49$\pm$4.71;"[0.31098901 0.19450549 0.31978022 0.33296703 0.32197802 0.31428571
 0.32527473 0.36263736 0.37912088 0.28791209]";25.29$\pm$4.27;"[0.24615385 0.17142857 0.27252747 0.32197802 0.29230769 0.25274725
 0.27582418 0.27362637 0.1967033  0.22527473]";37.12$\pm$3.52;"[0.4032967  0.34945055 0.35934066 0.4        0.36373626 0.38791209
 0.36703297 0.43516484 0.34395604 0.3021978 ]"
Hits@50;51.68$\pm$2.09;"[0.54835165 0.47362637 0.50879121 0.51538462 0.52637363 0.51868132
 0.51978022 0.53846154 0.52857143 0.49010989]";52.47$\pm$1.52;"[0.54175824 0.4967033  0.50659341 0.53846154 0.52637363 0.52307692
 0.51978022 0.54725275 0.53296703 0.51428571]";52.66$\pm$1.85;"[0.54835165 0.49340659 0.52087912 0.55494505 0.52417582 0.52417582
 0.53626374 0.54285714 0.51868132 0.5021978 ]";39.99$\pm$3.22;"[0.39340659 0.35164835 0.4010989  0.4        0.4010989  0.39120879
 0.3978022  0.44065934 0.46593407 0.35604396]";34.73$\pm$3.94;"[0.35494505 0.27472527 0.37472527 0.39120879 0.38461538 0.32307692
 0.36593407 0.38791209 0.29340659 0.32197802]";45.09$\pm$1.91;"[0.46483516 0.44065934 0.43626374 0.47582418 0.44835165 0.44175824
 0.43076923 0.49230769 0.43736264 0.44065934]"
Hits@100;54.8$\pm$2.02;"[0.56813187 0.51098901 0.56703297 0.54835165 0.55934066 0.53626374
 0.55714286 0.56703297 0.55274725 0.51318681]";59.62$\pm$3.95;"[0.63076923 0.53736264 0.52747253 0.63956044 0.56263736 0.59340659
 0.62087912 0.63406593 0.62857143 0.58681319]";57.44$\pm$2.36;"[0.58571429 0.53516484 0.58131868 0.61098901 0.54285714 0.57912088
 0.58901099 0.58791209 0.58791209 0.54395604]";47.01$\pm$3.07;"[0.45824176 0.45164835 0.48131868 0.47802198 0.46483516 0.45934066
 0.44615385 0.50769231 0.53406593 0.41978022]";43.56$\pm$4.51;"[0.44725275 0.35824176 0.45494505 0.51098901 0.46703297 0.41978022
 0.47802198 0.44835165 0.38571429 0.38571429]";53.41$\pm$1.33;"[0.52967033 0.52747253 0.53626374 0.53846154 0.54395604 0.53186813
 0.51648352 0.56593407 0.53186813 0.51868132]"
ROCAUC;80.56$\pm$2.17;"[0.80064002 0.79699795 0.83105091 0.83160246 0.75235479 0.80258423
 0.81046673 0.82533993 0.80069875 0.80410458]";82.62$\pm$2.12;"[0.83317594 0.81696715 0.82662689 0.85188021 0.76956165 0.83180896
 0.82048001 0.84214467 0.8320809  0.8376108 ]";81.59$\pm$2.76;"[0.82378457 0.81369339 0.82844933 0.85743872 0.74199131 0.81332931
 0.81767782 0.82874894 0.81887777 0.81501449]";73.99$\pm$1.8;"[0.73037375 0.72456346 0.74477931 0.75448255 0.74523367 0.75113392
 0.73339573 0.74679387 0.76870731 0.7000314 ]";72.45$\pm$2.13;"[0.71799541 0.68242121 0.73798341 0.76153122 0.73983818 0.72028499
 0.74082116 0.72908224 0.71250136 0.70283541]";75.93$\pm$0.79;"[0.75373506 0.75737471 0.75095988 0.75764521 0.77661394 0.75501509
 0.76044077 0.77176126 0.75312746 0.75594312]"
AP;84.4$\pm$1.24;"[0.84490732 0.83157348 0.85956385 0.86022887 0.82029968 0.84116343
 0.84489601 0.85901299 0.84289848 0.8349747 ]";85.82$\pm$1.31;"[0.86452135 0.84613395 0.85492938 0.87635231 0.82778361 0.85736441
 0.85660484 0.87260659 0.86480301 0.86107402]";85.27$\pm$1.68;"[0.86084641 0.84306108 0.85834754 0.88245935 0.81313296 0.85109037
 0.85525798 0.86318325 0.85431622 0.8453913 ]";78.29$\pm$1.87;"[0.77551164 0.7551878  0.79212652 0.79409309 0.78726823 0.78766984
 0.7775025  0.79621595 0.81505553 0.74861891]";76.18$\pm$2.38;"[0.75653855 0.71741296 0.77782001 0.80152695 0.78002598 0.75544151
 0.77843529 0.77257428 0.73927531 0.73863312]";80.78$\pm$0.77;"[0.80948562 0.80697348 0.79892876 0.81140147 0.81606788 0.80988707
 0.80329183 0.82373033 0.79947375 0.79906188]"
pretrain_time;9.63$\pm$1.99;"[ 8.69239378  8.87969446  8.66496611 11.69873548 14.82610703  9.74548268
  8.18704915  8.08206105  8.77021837  8.72733808]";18.05$\pm$3.72;"[21.09775496 17.78566813 18.09764528 21.04833174  9.67093396 21.0564208
 21.06674361 13.92424178 21.07044363 15.65236139]";10.5$\pm$2.39;"[ 9.21744227  9.53627014  9.45673943 16.11986804 14.2542491   9.3691268
  9.3699522   9.08644295  9.39547706  9.1463232 ]";1054.3$\pm$415.3;"[ 751.61137629 1789.14043713 1291.82788801 1786.65081024  768.73117423
  638.42952275  696.78660131 1167.55241203  802.12665606  850.17473221]";1373.14$\pm$502.31;"[1823.70833302 1818.3674283  1838.12048841 1788.66194677 1609.21439886
  985.82688284  596.82817554  901.75457764  622.65162063 1746.2875483 ]";1053.51$\pm$324.56;"[1700.73651767  973.93933225 1548.61634517  858.8138082  1024.72592616
  766.3882072   756.61405134  866.46825743  758.28576994 1280.55931497]"
