metrics;baseline_enc:gcn_grace_pred:mlp_mean;baseline_enc:gcn_grace_pred:mlp
Hits@10;19.95$\pm$4.97;[0.18414918 0.2960373  0.17016317 0.15617716 0.19114219]
Hits@20;32.4$\pm$6.06;[0.33333333 0.42890443 0.3006993  0.24242424 0.31468531]
Hits@50;61.26$\pm$3.63;[0.65734266 0.6037296  0.65268065 0.57342657 0.57575758]
Hits@100;83.96$\pm$4.19;[0.87878788 0.86713287 0.81818182 0.86713287 0.76689977]
ROCAUC;87.1$\pm$1.35;[0.87939644 0.88440843 0.87511709 0.87023    0.84571167]
AP;84.41$\pm$1.36;[0.85163787 0.86594124 0.84119597 0.83450478 0.82710037]
pretrain_time;nan$\pm$nan;[]
