metrics;louvain_prob_pred;grace_random;grace_ctri;grace_sbm;bgrl_random;bgrl_ctri;bgrl_sbm;lgrace_random;lgrace_ctri;lgrace_sbm;lbgrl_random;lbgrl_ctri;lbgrl_sbm
Hits@10;12.75$\pm$0.0;25.1$\pm$0.0;21.91$\pm$0.0;23.9$\pm$0.0;34.26$\pm$0.0;33.07$\pm$0.0;34.26$\pm$0.0;25.9$\pm$0.0;25.5$\pm$0.0;47.41$\pm$0.0;47.81$\pm$0.0;46.61$\pm$0.0;27.09$\pm$0.0
Hits@20;13.94$\pm$0.0;34.26$\pm$0.0;33.47$\pm$0.0;34.26$\pm$0.0;51.79$\pm$0.0;49.8$\pm$0.0;51.39$\pm$0.0;34.66$\pm$0.0;33.86$\pm$0.0;55.78$\pm$0.0;63.75$\pm$0.0;63.75$\pm$0.0;38.25$\pm$0.0
Hits@50;15.94$\pm$0.0;46.22$\pm$0.0;45.82$\pm$0.0;50.6$\pm$0.0;69.72$\pm$0.0;67.33$\pm$0.0;68.53$\pm$0.0;49.0$\pm$0.0;45.82$\pm$0.0;82.47$\pm$0.0;78.88$\pm$0.0;77.69$\pm$0.0;60.56$\pm$0.0
Hits@100;20.32$\pm$0.0;59.36$\pm$0.0;58.17$\pm$0.0;64.54$\pm$0.0;79.28$\pm$0.0;78.88$\pm$0.0;82.47$\pm$0.0;62.55$\pm$0.0;58.96$\pm$0.0;91.63$\pm$0.0;90.04$\pm$0.0;89.24$\pm$0.0;74.9$\pm$0.0
ROCAUC;53.08$\pm$0.0;64.5$\pm$0.0;63.7$\pm$0.0;65.43$\pm$0.0;80.45$\pm$0.0;78.94$\pm$0.0;80.41$\pm$0.0;63.78$\pm$0.0;61.6$\pm$0.0;87.72$\pm$0.0;86.7$\pm$0.0;86.71$\pm$0.0;71.83$\pm$0.0
AP;59.87$\pm$0.0;69.99$\pm$0.0;69.15$\pm$0.0;70.54$\pm$0.0;82.2$\pm$0.0;81.26$\pm$0.0;81.53$\pm$0.0;70.93$\pm$0.0;69.45$\pm$0.0;87.38$\pm$0.0;87.88$\pm$0.0;87.81$\pm$0.0;76.35$\pm$0.0
pretrain_time;nan$\pm$nan;0.11$\pm$0.0;1.95$\pm$0.0;1.22$\pm$0.0;0.11$\pm$0.0;1.88$\pm$0.0;0.98$\pm$0.0;0.17$\pm$0.0;1.92$\pm$0.0;0.74$\pm$0.0;0.15$\pm$0.0;1.89$\pm$0.0;0.48$\pm$0.0
