metrics;grace_enc:gcn_grace_pred:mlp_random_mean;grace_enc:gcn_grace_pred:mlp_random
Hits@10;74.85$\pm$1.46;[0.76094891 0.76459854 0.75364964 0.73722628 0.72627737]
Hits@20;79.6$\pm$0.92;[0.78832117 0.80474453 0.80656934 0.79744526 0.78284672]
Hits@50;84.71$\pm$1.26;[0.82846715 0.85218978 0.86678832 0.84671533 0.84124088]
Hits@100;88.87$\pm$1.82;[0.85948905 0.90875912 0.90510949 0.87773723 0.89233577]
ROCAUC;93.87$\pm$0.77;[0.92670427 0.94398343 0.94738332 0.93266823 0.94257486]
AP;95.31$\pm$0.47;[0.94571143 0.95591506 0.95896092 0.95004266 0.95499092]
pretrain_time;2.82$\pm$0.08;[2.88235235 2.89390111 2.72271824 2.72348118 2.90032387]
