metrics;louvain_prob_pred;grace_random;grace_ctri;grace_sbm;bgrl_random;bgrl_ctri;bgrl_sbm;lgrace_random;lgrace_ctri;lgrace_sbm;lbgrl_random;lbgrl_ctri;lbgrl_sbm
Hits@10;59.7$\pm$0.0;58.69$\pm$0.0;60.71$\pm$0.0;52.64$\pm$0.0;74.31$\pm$0.0;76.32$\pm$0.0;42.32$\pm$0.0;44.58$\pm$0.0;56.42$\pm$0.0;13.6$\pm$0.0;66.25$\pm$0.0;65.99$\pm$0.0;10.08$\pm$0.0
Hits@20;59.7$\pm$0.0;80.1$\pm$0.0;81.36$\pm$0.0;65.24$\pm$0.0;81.11$\pm$0.0;87.15$\pm$0.0;52.14$\pm$0.0;62.72$\pm$0.0;63.48$\pm$0.0;23.43$\pm$0.0;70.53$\pm$0.0;71.54$\pm$0.0;22.17$\pm$0.0
Hits@50;88.92$\pm$0.0;91.18$\pm$0.0;91.18$\pm$0.0;86.9$\pm$0.0;89.92$\pm$0.0;91.69$\pm$0.0;68.26$\pm$0.0;77.83$\pm$0.0;79.85$\pm$0.0;39.29$\pm$0.0;75.06$\pm$0.0;76.07$\pm$0.0;39.04$\pm$0.0
Hits@100;92.7$\pm$0.0;95.72$\pm$0.0;94.96$\pm$0.0;93.95$\pm$0.0;94.71$\pm$0.0;95.72$\pm$0.0;83.38$\pm$0.0;89.42$\pm$0.0;91.18$\pm$0.0;57.43$\pm$0.0;83.88$\pm$0.0;85.64$\pm$0.0;54.66$\pm$0.0
ROCAUC;92.94$\pm$0.0;94.83$\pm$0.0;94.89$\pm$0.0;93.46$\pm$0.0;95.01$\pm$0.0;95.59$\pm$0.0;86.94$\pm$0.0;90.49$\pm$0.0;91.53$\pm$0.0;71.65$\pm$0.0;89.58$\pm$0.0;90.66$\pm$0.0;71.73$\pm$0.0
AP;93.6$\pm$0.0;95.36$\pm$0.0;95.39$\pm$0.0;93.07$\pm$0.0;95.67$\pm$0.0;96.21$\pm$0.0;87.08$\pm$0.0;91.18$\pm$0.0;92.63$\pm$0.0;71.58$\pm$0.0;91.7$\pm$0.0;92.24$\pm$0.0;70.81$\pm$0.0
pretrain_time;nan$\pm$nan;0.3$\pm$0.0;3.56$\pm$0.0;0.38$\pm$0.0;0.11$\pm$0.0;3.61$\pm$0.0;0.63$\pm$0.0;0.21$\pm$0.0;3.63$\pm$0.0;0.63$\pm$0.0;0.17$\pm$0.0;3.6$\pm$0.0;0.82$\pm$0.0
