metrics;grace_sbm2;lgrace_sbm2;lbgrl_sbm2
Hits@10;17.29$\pm$0.0;12.54$\pm$0.0;20.0$\pm$0.0
Hits@20;21.69$\pm$0.0;22.71$\pm$0.0;27.8$\pm$0.0
Hits@50;39.66$\pm$0.0;41.36$\pm$0.0;47.12$\pm$0.0
Hits@100;52.54$\pm$0.0;56.95$\pm$0.0;64.07$\pm$0.0
ROCAUC;60.6$\pm$0.0;66.85$\pm$0.0;69.87$\pm$0.0
AP;66.56$\pm$0.0;67.59$\pm$0.0;70.87$\pm$0.0
pretrain_time;215.73$\pm$0.0;216.22$\pm$0.0;213.99$\pm$0.0
