metrics;baseline'_'log_sig;baseline'_'bce;baseline'_'auc;baseline'_'hinge_auc
Hits@10;51.91$\pm$14.74;49.46$\pm$17.1;51.93$\pm$14.51;45.41$\pm$20.17
Hits@20;60.67$\pm$12.12;57.59$\pm$16.86;59.62$\pm$14.12;54.0$\pm$20.07
Hits@50;69.63$\pm$10.11;66.79$\pm$17.3;67.64$\pm$14.21;62.18$\pm$21.64
Hits@100;76.35$\pm$8.5;72.71$\pm$18.41;72.74$\pm$15.08;67.45$\pm$23.22
ROCAUC;89.31$\pm$5.75;89.05$\pm$6.46;87.41$\pm$5.9;84.72$\pm$11.08
AP;90.49$\pm$6.59;89.74$\pm$8.26;89.49$\pm$6.79;86.57$\pm$11.92
pretrain_time;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan
