metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;77.14$\pm$5.62;"[0.73015873 0.6984127  0.73015873 0.85714286 0.84126984 0.76190476
 0.87301587 0.74603175 0.80952381 0.76190476 0.80952381 0.79365079
 0.71428571 0.71428571 0.80952381 0.73015873 0.82539683 0.65079365
 0.77777778 0.79365079]";93.02$\pm$3.11;"[0.96825397 0.92063492 0.93650794 0.88888889 0.95238095 0.9047619
 0.92063492 1.         0.92063492 0.9047619  0.92063492 0.92063492
 0.98412698 0.93650794 0.96825397 0.88888889 0.88888889 0.92063492
 0.95238095 0.9047619 ]";68.97$\pm$5.86;"[0.73015873 0.6984127  0.68253968 0.68253968 0.6984127  0.65079365
 0.68253968 0.71428571 0.65079365 0.65079365 0.63492063 0.84126984
 0.73015873 0.74603175 0.66666667 0.63492063 0.6031746  0.61904762
 0.80952381 0.66666667]";76.11$\pm$5.67;"[0.66666667 0.71428571 0.71428571 0.76190476 0.85714286 0.65079365
 0.80952381 0.74603175 0.82539683 0.79365079 0.82539683 0.80952381
 0.76190476 0.6984127  0.76190476 0.73015873 0.80952381 0.76190476
 0.82539683 0.6984127 ]";68.97$\pm$5.86;"[0.73015873 0.6984127  0.68253968 0.68253968 0.6984127  0.65079365
 0.68253968 0.71428571 0.65079365 0.65079365 0.63492063 0.84126984
 0.73015873 0.74603175 0.66666667 0.63492063 0.6031746  0.61904762
 0.80952381 0.66666667]";45.87$\pm$18.56;"[0.20634921 0.71428571 0.85714286 0.50793651 0.46031746 0.65079365
 0.49206349 0.3015873  0.63492063 0.33333333 0.33333333 0.31746032
 0.3968254  0.22222222 0.55555556 0.42857143 0.42857143 0.19047619
 0.77777778 0.36507937]";68.97$\pm$5.86;"[0.73015873 0.6984127  0.68253968 0.68253968 0.6984127  0.65079365
 0.68253968 0.71428571 0.65079365 0.65079365 0.63492063 0.84126984
 0.73015873 0.74603175 0.66666667 0.63492063 0.6031746  0.61904762
 0.80952381 0.66666667]";88.73$\pm$4.49;"[0.92063492 0.85714286 0.85714286 0.92063492 0.84126984 0.98412698
 0.93650794 0.79365079 0.80952381 0.9047619  0.93650794 0.88888889
 0.87301587 0.85714286 0.92063492 0.92063492 0.88888889 0.9047619
 0.85714286 0.87301587]";65.71$\pm$26.58;"[0.41269841 0.25396825 0.3015873  0.19047619 0.73015873 0.73015873
 0.87301587 0.88888889 0.80952381 0.85714286 0.85714286 0.68253968
 0.84126984 0.88888889 0.17460317 0.74603175 0.82539683 0.87301587
 0.26984127 0.93650794]";94.21$\pm$3.06;"[1.         0.95238095 0.96825397 0.93650794 1.         0.95238095
 0.95238095 0.96825397 0.93650794 0.9047619  0.88888889 0.95238095
 0.9047619  0.96825397 0.9047619  0.92063492 0.9047619  0.95238095
 0.92063492 0.95238095]";94.76$\pm$2.46;"[0.96825397 0.98412698 0.93650794 0.92063492 0.96825397 0.88888889
 0.95238095 0.96825397 0.96825397 0.96825397 0.95238095 0.93650794
 0.93650794 0.96825397 0.93650794 0.93650794 0.92063492 0.9047619
 0.96825397 0.96825397]";53.73$\pm$29.3;"[0.77777778 0.84126984 0.20634921 0.3015873  0.85714286 0.3968254
 0.25396825 0.15873016 0.57142857 0.82539683 0.26984127 0.9047619
 0.92063492 0.06349206 0.74603175 0.80952381 0.87301587 0.44444444
 0.22222222 0.3015873 ]";69.92$\pm$13.95;"[0.79365079 0.79365079 0.9047619  0.49206349 0.6031746  0.85714286
 0.52380952 0.98412698 0.74603175 0.49206349 0.74603175 0.65079365
 0.66666667 0.6031746  0.47619048 0.79365079 0.6031746  0.6984127
 0.77777778 0.77777778]";93.33$\pm$3.43;"[0.9047619  0.92063492 0.87301587 0.88888889 0.92063492 0.92063492
 0.98412698 0.98412698 0.95238095 0.93650794 0.96825397 1.
 0.93650794 0.9047619  0.92063492 0.93650794 0.95238095 0.87301587
 0.93650794 0.95238095]";75.56$\pm$6.36;"[0.77777778 0.85714286 0.82539683 0.77777778 0.76190476 0.76190476
 0.71428571 0.68253968 0.63492063 0.76190476 0.79365079 0.84126984
 0.63492063 0.82539683 0.74603175 0.66666667 0.71428571 0.79365079
 0.80952381 0.73015873]";94.29$\pm$3.15;"[1.         0.93650794 0.93650794 0.96825397 0.96825397 0.9047619
 0.95238095 0.96825397 0.95238095 0.87301587 0.88888889 0.95238095
 0.92063492 1.         0.95238095 0.92063492 0.93650794 0.92063492
 0.95238095 0.95238095]";92.62$\pm$3.3;"[0.93650794 0.88888889 0.9047619  0.95238095 0.92063492 0.84126984
 0.95238095 0.93650794 0.95238095 0.85714286 0.92063492 0.93650794
 0.93650794 0.98412698 0.95238095 0.93650794 0.95238095 0.92063492
 0.9047619  0.93650794]";71.43$\pm$16.61;"[0.87301587 0.74603175 0.71428571 0.55555556 0.9047619  0.73015873
 0.34920635 0.65079365 0.73015873 0.47619048 0.88888889 0.84126984
 0.46031746 0.73015873 0.93650794 0.80952381 0.85714286 0.88888889
 0.63492063 0.50793651]";96.35$\pm$2.36;"[0.98412698 1.         0.96825397 0.95238095 0.98412698 0.9047619
 0.96825397 0.96825397 0.95238095 0.98412698 0.93650794 0.96825397
 0.96825397 1.         0.96825397 0.93650794 0.96825397 0.92063492
 0.96825397 0.96825397]";95.63$\pm$2.35;"[1.         0.93650794 0.95238095 0.96825397 0.96825397 0.92063492
 0.96825397 0.98412698 0.95238095 0.93650794 0.93650794 1.
 0.95238095 0.98412698 0.96825397 0.92063492 0.93650794 0.93650794
 0.96825397 0.93650794]";88.33$\pm$4.5;"[0.96825397 0.82539683 0.84126984 0.88888889 0.84126984 0.88888889
 0.95238095 0.85714286 0.87301587 0.88888889 0.88888889 0.88888889
 0.82539683 0.98412698 0.87301587 0.92063492 0.82539683 0.84126984
 0.9047619  0.88888889]";93.73$\pm$3.27;"[0.96825397 0.92063492 0.9047619  0.92063492 0.96825397 0.9047619
 0.95238095 0.95238095 0.93650794 0.87301587 0.92063492 0.96825397
 0.95238095 0.98412698 0.93650794 0.95238095 0.93650794 0.85714286
 0.96825397 0.96825397]";69.44$\pm$15.49;"[0.58730159 0.71428571 0.50793651 0.57142857 0.65079365 0.87301587
 0.74603175 0.77777778 0.53968254 0.61904762 0.71428571 0.26984127
 0.85714286 0.9047619  0.77777778 0.63492063 0.80952381 0.9047619
 0.82539683 0.6031746 ]";97.78$\pm$1.84;"[1.         1.         0.96825397 0.96825397 0.96825397 0.95238095
 0.96825397 0.98412698 0.96825397 0.98412698 0.95238095 1.
 1.         1.         0.96825397 0.95238095 0.96825397 0.95238095
 1.         1.        ]";89.44$\pm$5.34;"[0.88888889 0.95238095 0.85714286 0.95238095 0.87301587 0.80952381
 0.95238095 0.95238095 0.85714286 0.88888889 0.82539683 0.9047619
 0.92063492 0.9047619  0.88888889 0.92063492 0.95238095 0.92063492
 0.92063492 0.74603175]";59.68$\pm$18.15;"[0.49206349 0.6984127  0.49206349 0.80952381 0.65079365 0.41269841
 0.55555556 0.41269841 0.41269841 0.74603175 0.73015873 0.42857143
 0.6031746  0.79365079 0.6984127  0.73015873 0.28571429 0.87301587
 0.84126984 0.26984127]";91.59$\pm$3.22;"[0.95238095 0.93650794 0.88888889 0.9047619  0.92063492 0.9047619
 0.9047619  0.96825397 0.9047619  0.87301587 0.87301587 0.92063492
 0.96825397 0.96825397 0.95238095 0.88888889 0.92063492 0.87301587
 0.92063492 0.87301587]";35.48$\pm$34.95;"[0.74603175 0.06349206 0.84126984 0.04761905 0.03174603 0.19047619
 0.80952381 0.03174603 0.12698413 0.07936508 0.22222222 0.06349206
 0.07936508 0.79365079 0.87301587 0.82539683 0.85714286 0.04761905
 0.04761905 0.31746032]";93.81$\pm$2.88;"[0.93650794 0.93650794 0.95238095 0.96825397 0.96825397 0.93650794
 0.96825397 0.96825397 0.88888889 0.9047619  0.9047619  0.9047619
 1.         0.96825397 0.92063492 0.9047619  0.92063492 0.95238095
 0.92063492 0.93650794]"
Hits@50;88.41$\pm$5.45;"[0.93650794 0.85714286 0.85714286 0.87301587 0.9047619  0.92063492
 0.9047619  0.93650794 0.92063492 0.85714286 0.92063492 0.96825397
 0.77777778 0.79365079 0.92063492 0.79365079 0.95238095 0.80952381
 0.9047619  0.87301587]";98.57$\pm$1.5;"[1.         1.         1.         0.96825397 1.         1.
 0.98412698 1.         0.96825397 0.95238095 0.96825397 0.98412698
 0.98412698 1.         0.98412698 1.         0.96825397 0.96825397
 0.98412698 1.        ]";96.9$\pm$1.91;"[1.         0.96825397 0.93650794 0.96825397 0.98412698 0.93650794
 0.96825397 0.98412698 0.98412698 0.95238095 0.96825397 0.98412698
 0.96825397 1.         0.98412698 0.95238095 0.96825397 0.95238095
 0.98412698 0.93650794]";93.02$\pm$3.27;"[0.92063492 0.95238095 0.93650794 0.92063492 0.88888889 0.96825397
 0.98412698 0.93650794 0.93650794 0.95238095 0.92063492 0.92063492
 0.95238095 0.9047619  0.92063492 0.85714286 1.         0.93650794
 0.88888889 0.9047619 ]";96.9$\pm$1.91;"[1.         0.96825397 0.93650794 0.96825397 0.98412698 0.93650794
 0.96825397 0.98412698 0.98412698 0.95238095 0.96825397 0.98412698
 0.96825397 1.         0.98412698 0.95238095 0.96825397 0.95238095
 0.98412698 0.93650794]";92.38$\pm$6.71;"[0.66666667 0.95238095 0.93650794 0.95238095 0.92063492 0.96825397
 0.95238095 0.85714286 0.95238095 0.96825397 0.96825397 0.92063492
 0.95238095 0.96825397 0.96825397 0.9047619  0.92063492 0.87301587
 0.96825397 0.9047619 ]";96.9$\pm$1.91;"[1.         0.96825397 0.93650794 0.96825397 0.98412698 0.93650794
 0.96825397 0.98412698 0.98412698 0.95238095 0.96825397 0.98412698
 0.96825397 1.         0.98412698 0.95238095 0.96825397 0.95238095
 0.98412698 0.93650794]";97.06$\pm$2.32;"[0.98412698 0.98412698 0.98412698 0.92063492 0.95238095 1.
 0.96825397 0.98412698 0.95238095 0.98412698 0.96825397 0.96825397
 0.96825397 0.98412698 1.         0.98412698 0.98412698 0.96825397
 0.96825397 0.9047619 ]";95.95$\pm$10.14;"[0.98412698 0.52380952 0.95238095 0.98412698 0.95238095 1.
 1.         0.98412698 1.         0.98412698 0.95238095 0.98412698
 0.95238095 1.         0.98412698 1.         1.         1.
 0.98412698 0.96825397]";98.25$\pm$1.5;"[1.         0.98412698 0.98412698 0.98412698 1.         0.96825397
 0.96825397 1.         0.98412698 0.98412698 0.95238095 0.96825397
 0.98412698 1.         1.         0.95238095 0.98412698 0.98412698
 0.96825397 1.        ]";99.21$\pm$1.37;"[1.         1.         0.98412698 0.95238095 1.         1.
 0.98412698 1.         1.         0.98412698 1.         0.96825397
 1.         1.         1.         1.         1.         1.
 0.96825397 1.        ]";80.63$\pm$19.91;"[0.96825397 0.96825397 0.66666667 0.71428571 0.95238095 0.6031746
 0.84126984 0.73015873 0.92063492 0.95238095 0.85714286 0.98412698
 0.96825397 0.20634921 0.92063492 0.93650794 0.96825397 0.80952381
 0.6984127  0.46031746]";88.33$\pm$7.6;"[0.88888889 0.96825397 0.93650794 0.85714286 0.98412698 0.95238095
 0.92063492 1.         0.9047619  0.82539683 0.82539683 0.84126984
 0.95238095 0.71428571 0.74603175 0.85714286 0.77777778 0.88888889
 0.9047619  0.92063492]";99.05$\pm$1.17;"[1.         1.         1.         0.98412698 0.98412698 1.
 1.         1.         0.98412698 0.98412698 0.96825397 1.
 0.96825397 1.         0.98412698 1.         1.         1.
 0.96825397 0.98412698]";95.87$\pm$2.43;"[1.         0.96825397 0.95238095 0.95238095 0.96825397 0.95238095
 0.96825397 0.96825397 0.93650794 0.93650794 0.92063492 0.96825397
 0.96825397 1.         0.96825397 0.95238095 0.96825397 0.96825397
 0.96825397 0.88888889]";98.1$\pm$1.78;"[1.         0.98412698 0.98412698 1.         1.         0.95238095
 0.95238095 0.98412698 1.         0.96825397 0.95238095 0.98412698
 0.96825397 1.         1.         0.96825397 1.         0.95238095
 0.98412698 0.98412698]";97.14$\pm$1.63;"[1.         0.96825397 0.93650794 0.98412698 0.98412698 0.95238095
 0.96825397 0.98412698 0.98412698 0.96825397 0.96825397 0.96825397
 0.96825397 1.         0.98412698 0.95238095 0.96825397 0.98412698
 0.95238095 0.95238095]";90.71$\pm$9.14;"[0.98412698 0.92063492 0.95238095 0.9047619  0.95238095 0.96825397
 0.63492063 0.88888889 0.93650794 0.82539683 0.93650794 0.96825397
 0.74603175 0.88888889 1.         0.96825397 0.98412698 1.
 0.88888889 0.79365079]";99.21$\pm$1.06;"[1.         1.         1.         1.         0.98412698 0.98412698
 0.96825397 1.         1.         1.         0.98412698 1.
 1.         1.         1.         1.         0.98412698 0.98412698
 0.98412698 0.96825397]";98.65$\pm$1.53;"[1.         0.98412698 0.96825397 1.         0.98412698 0.95238095
 0.96825397 1.         0.98412698 1.         1.         1.
 0.98412698 1.         0.98412698 0.95238095 1.         0.98412698
 0.98412698 1.        ]";96.19$\pm$2.53;"[0.98412698 0.96825397 0.92063492 0.95238095 0.93650794 0.95238095
 0.96825397 0.98412698 0.96825397 0.92063492 0.95238095 0.96825397
 0.96825397 1.         1.         0.98412698 0.95238095 0.9047619
 0.98412698 0.96825397]";97.38$\pm$1.9;"[0.96825397 0.98412698 0.93650794 0.98412698 1.         0.96825397
 0.96825397 1.         0.96825397 0.95238095 0.98412698 0.98412698
 0.95238095 0.98412698 1.         0.95238095 0.98412698 0.93650794
 0.98412698 0.98412698]";91.03$\pm$10.7;"[0.84126984 0.93650794 0.82539683 0.96825397 0.9047619  1.
 0.95238095 1.         0.93650794 0.82539683 0.82539683 0.52380952
 0.98412698 0.96825397 0.98412698 0.87301587 1.         0.96825397
 0.96825397 0.92063492]";99.68$\pm$0.63;"[1.         1.         0.98412698 1.         0.98412698 1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.98412698 0.98412698 1.
 1.         1.        ]";96.19$\pm$2.53;"[1.         0.98412698 0.92063492 0.96825397 0.92063492 0.93650794
 0.96825397 0.98412698 0.96825397 0.93650794 0.92063492 0.95238095
 0.98412698 0.98412698 0.95238095 0.96825397 1.         0.96825397
 0.98412698 0.93650794]";86.83$\pm$8.11;"[0.6984127  0.87301587 0.76190476 0.95238095 0.93650794 0.73015873
 0.84126984 0.93650794 0.9047619  0.92063492 0.9047619  0.84126984
 0.82539683 0.95238095 0.87301587 0.93650794 0.87301587 0.95238095
 0.93650794 0.71428571]";95.87$\pm$2.38;"[0.98412698 0.95238095 0.92063492 0.96825397 0.96825397 0.92063492
 0.95238095 0.98412698 0.96825397 0.9047619  0.95238095 0.98412698
 0.96825397 1.         0.98412698 0.95238095 0.96825397 0.93650794
 0.95238095 0.95238095]";56.19$\pm$31.05;"[0.88888889 0.25396825 0.98412698 0.14285714 0.11111111 0.49206349
 0.93650794 0.31746032 0.46031746 0.26984127 0.65079365 0.53968254
 0.34920635 0.88888889 0.98412698 0.92063492 0.96825397 0.22222222
 0.22222222 0.63492063]";98.97$\pm$1.15;"[1.         1.         0.98412698 0.98412698 1.         0.96825397
 0.98412698 0.98412698 0.96825397 0.98412698 1.         1.
 1.         1.         1.         1.         0.96825397 1.
 0.98412698 0.98412698]"
Hits@100;100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
