metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;leiden_prob_pred_mean;leiden_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;91.7$\pm$1.64;"[0.87927107 0.92255125 0.92482916 0.92255125 0.92482916 0.92027335
 0.93849658 0.92027335 0.88382688 0.91116173 0.91116173 0.88610478
 0.91116173 0.92255125 0.93621868 0.91799544 0.91116173 0.92482916
 0.93394077 0.93621868]";88.49$\pm$1.93;"[0.85876993 0.88838269 0.90205011 0.88610478 0.88154897 0.88610478
 0.89977221 0.8929385  0.84510251 0.87927107 0.86104784 0.85421412
 0.87699317 0.90888383 0.87699317 0.87471526 0.89749431 0.90205011
 0.92482916 0.89977221]";41.16$\pm$2.67;"[0.37585421 0.44646925 0.41457859 0.42596811 0.40774487 0.42369021
 0.39635535 0.38496583 0.42369021 0.43052392 0.37585421 0.38496583
 0.46241458 0.39179954 0.40546697 0.39863326 0.40774487 0.47835991
 0.39635535 0.40091116]";84.74$\pm$1.96;"[0.83371298 0.86332574 0.87927107 0.82915718 0.8428246  0.86560364
 0.85876993 0.83143508 0.82232346 0.84738041 0.81548975 0.8405467
 0.83371298 0.82687927 0.85876993 0.85876993 0.82687927 0.88838269
 0.85649203 0.86788155]";40.91$\pm$2.57;"[0.37129841 0.44874715 0.41230068 0.41457859 0.41230068 0.43507973
 0.39635535 0.39407745 0.38724374 0.42824601 0.39179954 0.38496583
 0.45558087 0.39635535 0.41002278 0.40318907 0.37813212 0.46924829
 0.38952164 0.40318907]";88.51$\pm$1.78;"[0.85421412 0.87243736 0.8952164  0.87471526 0.88154897 0.87471526
 0.89977221 0.8929385  0.86104784 0.88382688 0.86560364 0.87015945
 0.87471526 0.90432802 0.87699317 0.90432802 0.88382688 0.92710706
 0.91116173 0.8929385 ]";86.96$\pm$2.27;"[0.84965831 0.87243736 0.89066059 0.90432802 0.86104784 0.84510251
 0.8952164  0.88382688 0.82915718 0.86560364 0.87243736 0.83371298
 0.86332574 0.87471526 0.86104784 0.85649203 0.8952164  0.91343964
 0.88154897 0.8428246 ]";84.33$\pm$1.88;"[0.82232346 0.84738041 0.84510251 0.86104784 0.83371298 0.84738041
 0.84738041 0.85421412 0.81548975 0.86104784 0.82687927 0.83599089
 0.81321185 0.82460137 0.84510251 0.83599089 0.8405467  0.88610478
 0.88154897 0.8405467 ]";90.98$\pm$1.65;"[0.8929385  0.90888383 0.91799544 0.91343964 0.90205011 0.90660592
 0.92255125 0.90888383 0.87699317 0.91116173 0.87015945 0.89977221
 0.90205011 0.93166287 0.91571754 0.90660592 0.93849658 0.93166287
 0.92482916 0.91343964]";86.13$\pm$1.92;"[0.8405467  0.87699317 0.86788155 0.86332574 0.84738041 0.86560364
 0.87471526 0.84965831 0.83143508 0.85193622 0.8428246  0.85876993
 0.86788155 0.83143508 0.87927107 0.85876993 0.8405467  0.87927107
 0.8952164  0.90205011]";75.99$\pm$3.41;"[0.79498861 0.75170843 0.82232346 0.7357631  0.75170843 0.74943052
 0.74943052 0.71981777 0.71526196 0.7357631  0.76537585 0.7357631
 0.76082005 0.72665148 0.76537585 0.75626424 0.7357631  0.7904328
 0.77904328 0.85649203]";87.62$\pm$2.0;"[0.84738041 0.88838269 0.8952164  0.88154897 0.87927107 0.86560364
 0.91343964 0.88382688 0.86560364 0.86560364 0.85649203 0.85193622
 0.84738041 0.85649203 0.87699317 0.87243736 0.86788155 0.92027335
 0.8952164  0.8929385 ]";91.29$\pm$1.9;"[0.87243736 0.92255125 0.91343964 0.92482916 0.94077449 0.90205011
 0.93621868 0.93166287 0.86788155 0.90432802 0.92027335 0.8952164
 0.90888383 0.91343964 0.90660592 0.90888383 0.91343964 0.94077449
 0.90660592 0.92710706]";85.67$\pm$1.74;"[0.83599089 0.86104784 0.87243736 0.87015945 0.85421412 0.88838269
 0.86332574 0.85876993 0.81776765 0.86788155 0.85649203 0.8405467
 0.83371298 0.85421412 0.87243736 0.86104784 0.82460137 0.86788155
 0.87243736 0.86104784]";87.03$\pm$1.72;"[0.85876993 0.87243736 0.87699317 0.87927107 0.86332574 0.87927107
 0.89066059 0.86788155 0.83599089 0.86560364 0.85193622 0.84965831
 0.85193622 0.84510251 0.87927107 0.87471526 0.87927107 0.88382688
 0.90432802 0.8952164 ]";85.74$\pm$1.84;"[0.83599089 0.85421412 0.85649203 0.85649203 0.86332574 0.86560364
 0.86332574 0.86788155 0.82004556 0.86104784 0.84510251 0.86332574
 0.81776765 0.84965831 0.85193622 0.87699317 0.84738041 0.8929385
 0.87243736 0.88610478]";85.52$\pm$2.23;"[0.84965831 0.84510251 0.85649203 0.85649203 0.87243736 0.85876993
 0.86332574 0.85193622 0.82460137 0.84965831 0.85876993 0.84965831
 0.81776765 0.83371298 0.85649203 0.83143508 0.83826879 0.8952164
 0.91343964 0.88154897]";82.19$\pm$1.91;"[0.79271071 0.79271071 0.81548975 0.82460137 0.79954442 0.83599089
 0.81321185 0.82915718 0.82232346 0.84510251 0.81321185 0.80865604
 0.80865604 0.80865604 0.8405467  0.81548975 0.82687927 0.83143508
 0.87471526 0.83826879]";92.92$\pm$1.71;"[0.91343964 0.93166287 0.91343964 0.93849658 0.93166287 0.9498861
 0.93849658 0.92938497 0.88838269 0.90205011 0.91571754 0.91116173
 0.92255125 0.95444191 0.93849658 0.94077449 0.93166287 0.95671982
 0.94077449 0.93394077]";87.78$\pm$1.9;"[0.87471526 0.89977221 0.87927107 0.87927107 0.8929385  0.87243736
 0.88610478 0.86332574 0.82004556 0.87243736 0.87699317 0.87243736
 0.87243736 0.86788155 0.88610478 0.87243736 0.85649203 0.90660592
 0.8952164  0.90888383]";86.59$\pm$1.96;"[0.84965831 0.89066059 0.87471526 0.85649203 0.87243736 0.85421412
 0.88382688 0.85876993 0.8428246  0.86788155 0.86104784 0.82915718
 0.83599089 0.88382688 0.84965831 0.86332574 0.86332574 0.8952164
 0.90660592 0.87927107]";90.33$\pm$1.76;"[0.88154897 0.92482916 0.89749431 0.88838269 0.92027335 0.8952164
 0.92027335 0.91799544 0.87243736 0.90205011 0.8929385  0.87015945
 0.89977221 0.91799544 0.90888383 0.91343964 0.88838269 0.94077449
 0.90660592 0.90660592]";92.27$\pm$1.63;"[0.91799544 0.90660592 0.92482916 0.92482916 0.93166287 0.91116173
 0.93849658 0.95671982 0.8929385  0.92027335 0.93394077 0.92710706
 0.88838269 0.91116173 0.92938497 0.91799544 0.92255125 0.95444191
 0.92027335 0.92255125]";90.07$\pm$1.69;"[0.88838269 0.92255125 0.88838269 0.91571754 0.91116173 0.92027335
 0.87471526 0.90660592 0.87243736 0.89977221 0.8929385  0.86560364
 0.90205011 0.90432802 0.89977221 0.89749431 0.89749431 0.90205011
 0.93394077 0.91799544]";40.91$\pm$2.57;"[0.37129841 0.44874715 0.41230068 0.41457859 0.41230068 0.43507973
 0.39635535 0.39407745 0.38724374 0.42824601 0.39179954 0.38496583
 0.45558087 0.39635535 0.41002278 0.40318907 0.37813212 0.46924829
 0.38952164 0.40318907]";85.02$\pm$1.83;"[0.82915718 0.88610478 0.85421412 0.83599089 0.87699317 0.83599089
 0.86104784 0.85649203 0.82915718 0.85649203 0.8405467  0.81321185
 0.85193622 0.82915718 0.8405467  0.85649203 0.84738041 0.85876993
 0.87927107 0.86560364]";85.79$\pm$1.82;"[0.8428246  0.85421412 0.88610478 0.85421412 0.85193622 0.84510251
 0.88154897 0.87927107 0.83143508 0.84738041 0.83826879 0.82460137
 0.85649203 0.84510251 0.86104784 0.85193622 0.85876993 0.87927107
 0.88838269 0.87927107]";86.8$\pm$1.74;"[0.8405467  0.88838269 0.87699317 0.86104784 0.85876993 0.87015945
 0.88610478 0.87699317 0.85421412 0.87015945 0.86104784 0.84965831
 0.87927107 0.87015945 0.8428246  0.86104784 0.83599089 0.88382688
 0.89749431 0.8952164 ]";82.31$\pm$2.38;"[0.80182232 0.80410023 0.82004556 0.8428246  0.81548975 0.80182232
 0.83371298 0.81321185 0.81776765 0.8405467  0.81321185 0.83371298
 0.76765376 0.81548975 0.84510251 0.80410023 0.81548975 0.8428246
 0.88382688 0.84965831]"
Hits@50;95.21$\pm$1.09;"[0.94305239 0.95671982 0.94077449 0.95216401 0.9453303  0.96810934
 0.95671982 0.9498861  0.92938497 0.9453303  0.9476082  0.93166287
 0.95899772 0.95671982 0.9476082  0.96355353 0.96127563 0.96583144
 0.97038724 0.9498861 ]";91.33$\pm$1.49;"[0.8952164  0.92027335 0.92027335 0.89749431 0.92255125 0.91571754
 0.92710706 0.91799544 0.87699317 0.90205011 0.89749431 0.89977221
 0.90660592 0.92710706 0.90660592 0.91343964 0.93394077 0.93166287
 0.93621868 0.91799544]";50.32$\pm$3.13;"[0.46241458 0.56264237 0.51252847 0.51025057 0.5261959  0.48291572
 0.50341686 0.4738041  0.51252847 0.50113895 0.45330296 0.46924829
 0.55580866 0.51025057 0.476082   0.51025057 0.50113895 0.56264237
 0.46469248 0.51252847]";89.48$\pm$1.48;"[0.88154897 0.90432802 0.90888383 0.86560364 0.89977221 0.92027335
 0.91116173 0.88154897 0.87015945 0.88382688 0.88838269 0.88154897
 0.89066059 0.89066059 0.89749431 0.89749431 0.89066059 0.92255125
 0.90432802 0.90432802]";49.81$\pm$3.11;"[0.44874715 0.56492027 0.48519362 0.51025057 0.51708428 0.50569476
 0.48747153 0.46924829 0.51480638 0.48291572 0.45102506 0.47835991
 0.54214123 0.50341686 0.48747153 0.50797267 0.50113895 0.56036446
 0.46241458 0.48063781]";91.97$\pm$1.26;"[0.89749431 0.92710706 0.92938497 0.89749431 0.91343964 0.92710706
 0.92710706 0.92255125 0.91571754 0.92938497 0.90205011 0.91571754
 0.90660592 0.92482916 0.91343964 0.92482916 0.94077449 0.93849658
 0.93394077 0.90660592]";91.91$\pm$1.43;"[0.90888383 0.93166287 0.93394077 0.93394077 0.90432802 0.90888383
 0.92938497 0.92255125 0.89749431 0.91343964 0.91343964 0.89066059
 0.92255125 0.92027335 0.93166287 0.90432802 0.93621868 0.94077449
 0.93394077 0.90432802]";88.93$\pm$1.67;"[0.86560364 0.8929385  0.8952164  0.89749431 0.87927107 0.87471526
 0.89066059 0.90432802 0.86788155 0.8952164  0.85649203 0.8929385
 0.88154897 0.87699317 0.90432802 0.88610478 0.91571754 0.90888383
 0.92255125 0.87699317]";93.52$\pm$1.14;"[0.92710706 0.93849658 0.93394077 0.92482916 0.92710706 0.94077449
 0.94305239 0.93849658 0.91799544 0.93849658 0.91116173 0.92255125
 0.92482916 0.9453303  0.9476082  0.94077449 0.95671982 0.9476082
 0.9476082  0.92938497]";90.49$\pm$1.43;"[0.88838269 0.90660592 0.92482916 0.90432802 0.90432802 0.91343964
 0.91343964 0.88838269 0.87699317 0.8929385  0.88154897 0.8952164
 0.90205011 0.90205011 0.91799544 0.89977221 0.92027335 0.92255125
 0.92938497 0.91343964]";84.51$\pm$2.45;"[0.8428246  0.84510251 0.88154897 0.79498861 0.8428246  0.82232346
 0.83371298 0.80637813 0.83143508 0.85649203 0.82687927 0.82915718
 0.84738041 0.86560364 0.83826879 0.8405467  0.85876993 0.87015945
 0.86332574 0.90432802]";92.54$\pm$1.56;"[0.89749431 0.93166287 0.93394077 0.92938497 0.92482916 0.91343964
 0.95444191 0.93394077 0.90432802 0.92027335 0.89977221 0.91799544
 0.90888383 0.92027335 0.93394077 0.92710706 0.93849658 0.95899772
 0.93166287 0.92710706]";95.11$\pm$1.3;"[0.93621868 0.97038724 0.95216401 0.95671982 0.95671982 0.9476082
 0.95444191 0.97722096 0.92710706 0.95216401 0.95444191 0.93394077
 0.94305239 0.93166287 0.9453303  0.95216401 0.96355353 0.97266515
 0.9498861  0.9453303 ]";90.84$\pm$1.34;"[0.88838269 0.91343964 0.91116173 0.8929385  0.91799544 0.92938497
 0.89749431 0.89977221 0.88838269 0.93621868 0.90432802 0.90432802
 0.8952164  0.92255125 0.92710706 0.90432802 0.91571754 0.91116173
 0.91343964 0.8952164 ]";90.4$\pm$1.46;"[0.88838269 0.91799544 0.91343964 0.90205011 0.90660592 0.91571754
 0.90888383 0.88382688 0.89066059 0.90660592 0.87471526 0.88154897
 0.90205011 0.89749431 0.89749431 0.90660592 0.91571754 0.92482916
 0.93394077 0.91116173]";90.4$\pm$1.31;"[0.89066059 0.91571754 0.91799544 0.90660592 0.92482916 0.90205011
 0.90888383 0.90205011 0.87699317 0.8952164  0.88154897 0.90205011
 0.88154897 0.90205011 0.90205011 0.91799544 0.90432802 0.91799544
 0.91571754 0.91343964]";90.17$\pm$1.31;"[0.8952164  0.90205011 0.91343964 0.88838269 0.90432802 0.90660592
 0.91116173 0.89066059 0.87699317 0.89066059 0.89066059 0.89977221
 0.89066059 0.89066059 0.90205011 0.89749431 0.90888383 0.92482916
 0.92938497 0.92027335]";87.89$\pm$1.51;"[0.87015945 0.87471526 0.88154897 0.87927107 0.86560364 0.88838269
 0.89066059 0.87243736 0.84965831 0.89066059 0.86560364 0.85193622
 0.8952164  0.87015945 0.8952164  0.87471526 0.87471526 0.87699317
 0.91116173 0.89977221]";95.67$\pm$0.82;"[0.95216401 0.95899772 0.9476082  0.95444191 0.9498861  0.96355353
 0.96355353 0.95216401 0.93849658 0.9476082  0.95216401 0.9476082
 0.96127563 0.97038724 0.95444191 0.95899772 0.96355353 0.96810934
 0.96810934 0.96127563]";92.27$\pm$1.22;"[0.90888383 0.93166287 0.91571754 0.92027335 0.92710706 0.93849658
 0.92027335 0.90432802 0.89066059 0.93394077 0.92255125 0.91571754
 0.92255125 0.93166287 0.92710706 0.92255125 0.91343964 0.9453303
 0.92938497 0.93166287]";90.88$\pm$1.43;"[0.88382688 0.92482916 0.92255125 0.8929385  0.90432802 0.90432802
 0.90205011 0.92027335 0.8929385  0.8952164  0.91343964 0.8952164
 0.8929385  0.90888383 0.90660592 0.90660592 0.92027335 0.93166287
 0.93849658 0.91799544]";94.02$\pm$1.21;"[0.92710706 0.9453303  0.93621868 0.94305239 0.9453303  0.93621868
 0.9476082  0.9453303  0.91343964 0.95671982 0.91799544 0.92255125
 0.93621868 0.9476082  0.9498861  0.94077449 0.9453303  0.96355353
 0.9476082  0.93621868]";96.53$\pm$0.97;"[0.96127563 0.95899772 0.96810934 0.95899772 0.97722096 0.97038724
 0.97266515 0.98633257 0.9453303  0.96355353 0.97494305 0.96583144
 0.96583144 0.95671982 0.96355353 0.95444191 0.96355353 0.98177677
 0.96127563 0.95444191]";93.38$\pm$1.28;"[0.91343964 0.9453303  0.92938497 0.93849658 0.92938497 0.9476082
 0.92482916 0.92938497 0.90432802 0.93621868 0.92027335 0.91571754
 0.9476082  0.9476082  0.93394077 0.93621868 0.9498861  0.94305239
 0.9498861  0.93394077]";49.81$\pm$3.11;"[0.44874715 0.56492027 0.48519362 0.51025057 0.51708428 0.50569476
 0.48747153 0.46924829 0.51480638 0.48291572 0.45102506 0.47835991
 0.54214123 0.50341686 0.48747153 0.50797267 0.50113895 0.56036446
 0.46241458 0.48063781]";89.44$\pm$1.55;"[0.87243736 0.91116173 0.89977221 0.8929385  0.91571754 0.88838269
 0.88610478 0.90205011 0.86788155 0.88610478 0.89066059 0.86788155
 0.89749431 0.87471526 0.88610478 0.90660592 0.91116173 0.91116173
 0.92027335 0.89977221]";89.93$\pm$1.59;"[0.87927107 0.91571754 0.91571754 0.8952164  0.8952164  0.90660592
 0.90660592 0.8952164  0.86788155 0.88838269 0.87015945 0.88154897
 0.88610478 0.92027335 0.90205011 0.90432802 0.91116173 0.91116173
 0.92482916 0.90888383]";90.51$\pm$1.29;"[0.89066059 0.90888383 0.90888383 0.88838269 0.90888383 0.89749431
 0.90660592 0.90660592 0.8929385  0.91571754 0.89749431 0.88154897
 0.89977221 0.89977221 0.8929385  0.90660592 0.92255125 0.92710706
 0.93166287 0.91799544]";88.68$\pm$1.71;"[0.86332574 0.88154897 0.90205011 0.88838269 0.88610478 0.88610478
 0.89066059 0.87699317 0.87243736 0.90432802 0.86104784 0.88838269
 0.87243736 0.86332574 0.91799544 0.88154897 0.89977221 0.88610478
 0.92938497 0.88382688]"
Hits@100;96.62$\pm$0.8;"[0.96127563 0.96810934 0.96127563 0.96810934 0.96127563 0.98633257
 0.96355353 0.95671982 0.95671982 0.96810934 0.96355353 0.95216401
 0.97722096 0.96583144 0.96127563 0.96583144 0.97722096 0.97266515
 0.97494305 0.96127563]";94.04$\pm$1.04;"[0.93166287 0.9453303  0.9498861  0.93621868 0.92938497 0.95216401
 0.9453303  0.93166287 0.92027335 0.93166287 0.92710706 0.92710706
 0.93849658 0.9476082  0.95216401 0.9498861  0.9453303  0.9498861
 0.95899772 0.93849658]";64.17$\pm$4.19;"[0.63781321 0.69248292 0.64009112 0.63781321 0.64236902 0.61503417
 0.69931663 0.65831435 0.60136674 0.60820046 0.57630979 0.55353075
 0.67425968 0.70159453 0.67881549 0.62642369 0.62642369 0.70387244
 0.59225513 0.66742597]";93.27$\pm$1.46;"[0.92938497 0.93849658 0.9476082  0.8929385  0.94305239 0.95671982
 0.93621868 0.92027335 0.91116173 0.92482916 0.92482916 0.92255125
 0.92710706 0.93849658 0.92938497 0.93621868 0.94077449 0.95671982
 0.9453303  0.93166287]";63.9$\pm$4.16;"[0.62414579 0.69476082 0.63553531 0.63781321 0.64009112 0.61275626
 0.68792711 0.65375854 0.60592255 0.61275626 0.5808656  0.54897494
 0.66742597 0.70387244 0.66059226 0.62414579 0.62642369 0.71298405
 0.58542141 0.66287016]";94.23$\pm$1.01;"[0.92938497 0.95216401 0.95444191 0.92255125 0.92938497 0.9498861
 0.94305239 0.93849658 0.9453303  0.9476082  0.93166287 0.92938497
 0.92938497 0.9498861  0.94305239 0.95444191 0.95671982 0.9498861
 0.9476082  0.94077449]";95.09$\pm$0.85;"[0.94305239 0.96583144 0.95671982 0.95444191 0.94305239 0.95899772
 0.95444191 0.95671982 0.93394077 0.94305239 0.93394077 0.94077449
 0.9498861  0.95671982 0.9476082  0.96127563 0.95671982 0.95444191
 0.95216401 0.95444191]";92.94$\pm$1.13;"[0.90888383 0.93621868 0.92710706 0.93849658 0.92938497 0.91343964
 0.93621868 0.93621868 0.90888383 0.93394077 0.91571754 0.92255125
 0.93621868 0.93166287 0.93394077 0.92255125 0.94305239 0.93394077
 0.95444191 0.92482916]";95.22$\pm$1.08;"[0.94305239 0.95444191 0.96355353 0.94305239 0.93394077 0.96355353
 0.96127563 0.9453303  0.9453303  0.96355353 0.93849658 0.93849658
 0.93849658 0.96810934 0.95671982 0.95216401 0.96127563 0.95444191
 0.97038724 0.9476082 ]";93.29$\pm$1.23;"[0.91343964 0.9476082  0.94077449 0.93394077 0.93394077 0.93849658
 0.94077449 0.92938497 0.90432802 0.92255125 0.90888383 0.92710706
 0.93621868 0.94077449 0.93394077 0.93621868 0.93849658 0.9476082
 0.95216401 0.93166287]";90.35$\pm$1.47;"[0.8952164  0.91571754 0.91799544 0.8952164  0.90888383 0.87471526
 0.8952164  0.88610478 0.88382688 0.88838269 0.88382688 0.90888383
 0.90205011 0.91343964 0.91571754 0.90205011 0.92027335 0.91343964
 0.92255125 0.92710706]";96.25$\pm$0.97;"[0.95216401 0.96355353 0.97038724 0.95444191 0.9498861  0.95671982
 0.97266515 0.98633257 0.95444191 0.96355353 0.9453303  0.95671982
 0.95216401 0.96127563 0.96583144 0.96583144 0.96810934 0.97494305
 0.96810934 0.96810934]";97.45$\pm$0.61;"[0.96355353 0.97949886 0.97722096 0.97949886 0.96810934 0.97949886
 0.97038724 0.98633257 0.96810934 0.97949886 0.97949886 0.97494305
 0.96810934 0.97038724 0.96355353 0.97722096 0.97949886 0.97722096
 0.97038724 0.97722096]";93.88$\pm$1.05;"[0.93166287 0.92938497 0.93849658 0.92938497 0.94305239 0.95899772
 0.93394077 0.93394077 0.92938497 0.96810934 0.93849658 0.92938497
 0.92938497 0.9498861  0.9453303  0.93621868 0.93621868 0.93621868
 0.9498861  0.92938497]";92.95$\pm$1.3;"[0.92255125 0.9498861  0.93166287 0.92027335 0.92255125 0.9453303
 0.92482916 0.92938497 0.91343964 0.92710706 0.89977221 0.90888383
 0.93849658 0.93621868 0.92255125 0.93621868 0.93621868 0.93621868
 0.95444191 0.93394077]";93.76$\pm$0.99;"[0.92255125 0.9498861  0.94305239 0.93849658 0.95216401 0.94305239
 0.93621868 0.93621868 0.93621868 0.92938497 0.92027335 0.92710706
 0.93394077 0.9453303  0.92027335 0.94077449 0.94077449 0.95671982
 0.9453303  0.93394077]";94.28$\pm$0.96;"[0.93394077 0.9453303  0.95444191 0.9453303  0.94077449 0.94077449
 0.9453303  0.9498861  0.92027335 0.9476082  0.92710706 0.93621868
 0.92710706 0.9476082  0.94305239 0.93849658 0.95671982 0.95216401
 0.95216401 0.95216401]";91.73$\pm$1.39;"[0.91343964 0.92255125 0.91343964 0.91116173 0.92710706 0.93166287
 0.94077449 0.92255125 0.88154897 0.91799544 0.89977221 0.90205011
 0.91799544 0.91799544 0.91571754 0.90205011 0.92710706 0.91343964
 0.94305239 0.92482916]";97.76$\pm$0.72;"[0.98177677 0.98633257 0.96583144 0.97949886 0.97949886 0.97722096
 0.98405467 0.98405467 0.96810934 0.97266515 0.96355353 0.97266515
 0.98177677 0.98861048 0.97494305 0.98633257 0.96810934 0.98177677
 0.98177677 0.97266515]";95.11$\pm$0.77;"[0.94077449 0.9498861  0.9498861  0.9498861  0.9498861  0.97038724
 0.9498861  0.93849658 0.93621868 0.95671982 0.9476082  0.9498861
 0.9476082  0.95444191 0.9476082  0.95899772 0.95899772 0.96127563
 0.95216401 0.95216401]";94.35$\pm$1.06;"[0.93166287 0.94305239 0.9498861  0.93166287 0.92938497 0.95671982
 0.93621868 0.9498861  0.93621868 0.94077449 0.93621868 0.93621868
 0.93849658 0.9498861  0.94305239 0.92710706 0.95671982 0.95899772
 0.96355353 0.95444191]";96.23$\pm$0.95;"[0.95899772 0.96355353 0.95899772 0.96810934 0.96583144 0.97038724
 0.96583144 0.96127563 0.9476082  0.96810934 0.93394077 0.95216401
 0.96583144 0.96810934 0.96355353 0.96810934 0.95899772 0.98177677
 0.95899772 0.96583144]";98.39$\pm$0.44;"[0.98633257 0.98177677 0.97949886 0.97494305 0.97949886 0.99088838
 0.98405467 0.99088838 0.97949886 0.98405467 0.98633257 0.98405467
 0.98633257 0.97722096 0.98633257 0.98177677 0.98177677 0.98861048
 0.99088838 0.98405467]";95.32$\pm$1.07;"[0.93621868 0.95899772 0.95899772 0.94305239 0.9453303  0.97494305
 0.9498861  0.95444191 0.93621868 0.95671982 0.9476082  0.93166287
 0.95899772 0.95899772 0.95671982 0.95671982 0.96127563 0.97038724
 0.95671982 0.9498861 ]";63.9$\pm$4.16;"[0.62414579 0.69476082 0.63553531 0.63781321 0.64009112 0.61275626
 0.68792711 0.65375854 0.60592255 0.61275626 0.5808656  0.54897494
 0.66742597 0.70387244 0.66059226 0.62414579 0.62642369 0.71298405
 0.58542141 0.66287016]";92.92$\pm$1.28;"[0.92482916 0.93849658 0.93621868 0.92710706 0.93166287 0.92255125
 0.92482916 0.93394077 0.91343964 0.93166287 0.92027335 0.89977221
 0.93166287 0.92710706 0.91343964 0.92710706 0.9476082  0.9476082
 0.95899772 0.92482916]";92.72$\pm$1.43;"[0.91343964 0.93394077 0.93394077 0.92482916 0.91799544 0.94305239
 0.93394077 0.92255125 0.90432802 0.92255125 0.89749431 0.91571754
 0.91116173 0.95216401 0.92255125 0.93394077 0.93621868 0.9476082
 0.9476082  0.92938497]";93.31$\pm$1.14;"[0.92027335 0.9453303  0.93166287 0.91571754 0.92938497 0.94305239
 0.92938497 0.93621868 0.91116173 0.9498861  0.92255125 0.92255125
 0.92710706 0.92938497 0.92938497 0.93621868 0.95444191 0.94305239
 0.9476082  0.93849658]";92.26$\pm$1.58;"[0.91571754 0.92938497 0.92938497 0.93621868 0.92938497 0.92255125
 0.93621868 0.90888383 0.89749431 0.92938497 0.90432802 0.90660592
 0.91343964 0.89977221 0.93621868 0.91343964 0.93849658 0.92938497
 0.96355353 0.91116173]"
