metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;91.95$\pm$3.12;"[0.90243902 0.96341463 0.93902439 0.8902439  0.8902439  0.92682927
 0.91463415 0.90243902 0.92682927 0.96341463 0.97560976 0.90243902
 0.95121951 0.8902439  0.87804878 0.95121951 0.91463415 0.86585366
 0.8902439  0.95121951]";83.54$\pm$4.65;"[0.81707317 0.80487805 0.85365854 0.8902439  0.87804878 0.86585366
 0.85365854 0.84146341 0.86585366 0.75609756 0.69512195 0.82926829
 0.87804878 0.86585366 0.82926829 0.7804878  0.85365854 0.85365854
 0.87804878 0.81707317]";92.32$\pm$2.91;"[0.8902439  0.96341463 0.93902439 0.90243902 0.91463415 0.96341463
 0.92682927 0.90243902 0.92682927 0.92682927 0.97560976 0.92682927
 0.96341463 0.90243902 0.87804878 0.91463415 0.90243902 0.87804878
 0.90243902 0.96341463]";90.98$\pm$3.35;"[0.86585366 0.95121951 0.90243902 0.87804878 0.90243902 0.93902439
 0.91463415 0.90243902 0.92682927 0.93902439 0.97560976 0.91463415
 0.95121951 0.90243902 0.85365854 0.92682927 0.87804878 0.84146341
 0.90243902 0.92682927]";92.32$\pm$2.91;"[0.8902439  0.96341463 0.93902439 0.90243902 0.91463415 0.96341463
 0.92682927 0.90243902 0.92682927 0.92682927 0.97560976 0.92682927
 0.96341463 0.90243902 0.87804878 0.91463415 0.90243902 0.87804878
 0.90243902 0.96341463]";83.48$\pm$6.21;"[0.75609756 0.84146341 0.82926829 0.81707317 0.86585366 0.87804878
 0.85365854 0.85365854 0.75609756 0.93902439 0.91463415 0.7804878
 0.8902439  0.7195122  0.73170732 0.91463415 0.87804878 0.84146341
 0.76829268 0.86585366]";92.32$\pm$2.91;"[0.8902439  0.96341463 0.93902439 0.90243902 0.91463415 0.96341463
 0.92682927 0.90243902 0.92682927 0.92682927 0.97560976 0.92682927
 0.96341463 0.90243902 0.87804878 0.91463415 0.90243902 0.87804878
 0.90243902 0.96341463]";96.34$\pm$2.59;"[0.93902439 0.96341463 0.95121951 0.95121951 0.97560976 0.96341463
 0.96341463 0.98780488 0.97560976 0.98780488 1.         0.96341463
 1.         0.90243902 0.96341463 0.98780488 0.95121951 0.90243902
 0.96341463 0.97560976]";96.52$\pm$2.48;"[0.93902439 0.97560976 0.95121951 0.97560976 0.97560976 0.96341463
 0.96341463 0.98780488 0.97560976 0.98780488 1.         0.96341463
 1.         0.91463415 0.95121951 0.98780488 0.95121951 0.90243902
 0.96341463 0.97560976]";91.65$\pm$3.26;"[0.87804878 0.95121951 0.92682927 0.86585366 0.90243902 0.92682927
 0.91463415 0.92682927 0.95121951 0.95121951 0.95121951 0.90243902
 0.95121951 0.8902439  0.87804878 0.95121951 0.8902439  0.85365854
 0.90243902 0.96341463]";92.32$\pm$3.66;"[0.87804878 0.96341463 0.95121951 0.87804878 0.90243902 0.96341463
 0.93902439 0.8902439  0.93902439 0.95121951 0.96341463 0.91463415
 0.97560976 0.93902439 0.86585366 0.95121951 0.90243902 0.85365854
 0.8902439  0.95121951]";91.46$\pm$3.27;"[0.8902439  0.95121951 0.92682927 0.87804878 0.93902439 0.92682927
 0.92682927 0.91463415 0.95121951 0.95121951 0.96341463 0.91463415
 0.95121951 0.90243902 0.86585366 0.92682927 0.90243902 0.84146341
 0.86585366 0.90243902]";96.46$\pm$2.53;"[0.96341463 0.96341463 0.96341463 0.95121951 0.98780488 0.97560976
 0.96341463 0.96341463 0.97560976 0.98780488 1.         0.96341463
 1.         0.90243902 0.96341463 0.98780488 0.95121951 0.90243902
 0.95121951 0.97560976]";97.56$\pm$2.44;"[0.97560976 0.98780488 0.96341463 0.98780488 0.97560976 0.97560976
 0.97560976 0.98780488 0.98780488 0.97560976 1.         0.97560976
 1.         0.87804878 0.97560976 0.98780488 0.96341463 0.97560976
 0.98780488 0.97560976]";80.3$\pm$4.35;"[0.79268293 0.82926829 0.79268293 0.84146341 0.82926829 0.79268293
 0.84146341 0.74390244 0.84146341 0.75609756 0.86585366 0.7195122
 0.86585366 0.80487805 0.84146341 0.81707317 0.7195122  0.81707317
 0.79268293 0.75609756]";90.79$\pm$3.24;"[0.8902439  0.92682927 0.91463415 0.8902439  0.86585366 0.91463415
 0.87804878 0.91463415 0.93902439 0.96341463 0.96341463 0.91463415
 0.93902439 0.92682927 0.8902439  0.85365854 0.86585366 0.87804878
 0.95121951 0.87804878]";91.83$\pm$3.56;"[0.86585366 0.96341463 0.92682927 0.8902439  0.8902439  0.95121951
 0.92682927 0.90243902 0.93902439 0.95121951 0.96341463 0.92682927
 0.97560976 0.87804878 0.85365854 0.93902439 0.90243902 0.86585366
 0.90243902 0.95121951]";96.04$\pm$2.67;"[0.92682927 0.97560976 0.95121951 0.93902439 0.98780488 0.96341463
 0.97560976 0.97560976 0.97560976 0.96341463 0.98780488 0.97560976
 0.98780488 0.8902439  0.93902439 1.         0.95121951 0.91463415
 0.96341463 0.96341463]";89.02$\pm$4.58;"[0.85365854 0.86585366 0.82926829 0.92682927 0.97560976 0.86585366
 0.90243902 0.87804878 0.91463415 0.82926829 0.84146341 0.95121951
 0.90243902 0.85365854 0.93902439 0.97560976 0.92682927 0.85365854
 0.84146341 0.87804878]";74.76$\pm$11.02;"[0.85365854 0.90243902 0.67073171 0.7195122  0.87804878 0.86585366
 0.56097561 0.7195122  0.84146341 0.7804878  0.52439024 0.87804878
 0.64634146 0.82926829 0.68292683 0.75609756 0.81707317 0.73170732
 0.57317073 0.7195122 ]";94.02$\pm$3.06;"[0.8902439  1.         0.96341463 0.91463415 0.91463415 0.93902439
 0.97560976 0.90243902 0.95121951 0.96341463 0.97560976 0.92682927
 0.96341463 0.98780488 0.91463415 0.92682927 0.92682927 0.90243902
 0.91463415 0.95121951]";91.04$\pm$3.94;"[0.85365854 0.95121951 0.92682927 0.86585366 0.8902439  0.93902439
 0.91463415 0.8902439  0.92682927 0.96341463 0.97560976 0.91463415
 0.96341463 0.8902439  0.87804878 0.92682927 0.87804878 0.82926829
 0.87804878 0.95121951]";94.63$\pm$3.0;"[0.91463415 0.95121951 0.92682927 0.95121951 0.91463415 0.96341463
 0.92682927 0.97560976 0.96341463 0.96341463 1.         0.96341463
 0.98780488 0.8902439  0.91463415 0.97560976 0.95121951 0.8902439
 0.93902439 0.96341463]";93.23$\pm$4.07;"[0.91463415 0.95121951 0.87804878 0.96341463 0.86585366 0.95121951
 0.84146341 1.         0.96341463 0.95121951 0.98780488 0.93902439
 0.87804878 0.91463415 0.93902439 0.97560976 0.91463415 0.91463415
 0.95121951 0.95121951]";93.84$\pm$3.67;"[0.8902439  0.97560976 0.96341463 0.90243902 0.8902439  0.96341463
 0.95121951 0.8902439  0.95121951 0.98780488 0.98780488 0.96341463
 0.96341463 0.85365854 0.95121951 0.92682927 0.95121951 0.96341463
 0.90243902 0.93902439]";94.88$\pm$2.06;"[0.91463415 0.97560976 0.95121951 0.95121951 0.93902439 0.95121951
 0.95121951 0.91463415 0.95121951 0.96341463 0.95121951 0.93902439
 0.96341463 0.97560976 0.93902439 0.92682927 0.93902439 0.91463415
 0.98780488 0.97560976]";89.51$\pm$3.84;"[0.85365854 0.91463415 0.85365854 0.86585366 0.8902439  0.95121951
 0.91463415 0.91463415 0.92682927 0.90243902 0.96341463 0.8902439
 0.95121951 0.86585366 0.85365854 0.87804878 0.91463415 0.81707317
 0.85365854 0.92682927]";93.05$\pm$3.82;"[0.91463415 0.93902439 0.87804878 0.8902439  0.92682927 0.96341463
 0.86585366 0.97560976 0.92682927 0.97560976 0.98780488 0.93902439
 0.98780488 0.90243902 0.87804878 0.97560976 0.8902439  0.90243902
 0.93902439 0.95121951]";93.05$\pm$3.21;"[0.8902439  0.97560976 0.8902439  0.91463415 0.91463415 0.93902439
 0.96341463 0.93902439 0.96341463 0.96341463 0.97560976 0.92682927
 0.97560976 0.91463415 0.90243902 0.96341463 0.87804878 0.90243902
 0.8902439  0.92682927]"
Hits@50;94.76$\pm$2.25;"[0.96341463 0.96341463 0.96341463 0.92682927 0.91463415 0.93902439
 0.95121951 0.91463415 0.92682927 0.98780488 0.98780488 0.91463415
 0.96341463 0.95121951 0.91463415 0.96341463 0.93902439 0.95121951
 0.95121951 0.96341463]";96.77$\pm$2.16;"[0.97560976 0.96341463 0.97560976 0.98780488 0.95121951 0.95121951
 0.98780488 0.92682927 1.         0.93902439 0.95121951 0.97560976
 0.98780488 0.95121951 0.97560976 0.98780488 1.         0.92682927
 0.97560976 0.96341463]";95.98$\pm$2.15;"[0.95121951 0.98780488 0.97560976 0.92682927 0.93902439 0.98780488
 0.97560976 0.95121951 0.96341463 0.97560976 0.98780488 0.95121951
 0.97560976 0.97560976 0.93902439 0.91463415 0.97560976 0.95121951
 0.92682927 0.96341463]";92.8$\pm$2.91;"[0.87804878 0.96341463 0.92682927 0.91463415 0.92682927 0.95121951
 0.91463415 0.93902439 0.92682927 0.95121951 0.98780488 0.92682927
 0.96341463 0.92682927 0.87804878 0.93902439 0.92682927 0.86585366
 0.91463415 0.93902439]";95.98$\pm$2.15;"[0.95121951 0.98780488 0.97560976 0.92682927 0.93902439 0.98780488
 0.97560976 0.95121951 0.96341463 0.97560976 0.98780488 0.95121951
 0.97560976 0.97560976 0.93902439 0.91463415 0.97560976 0.95121951
 0.92682927 0.96341463]";94.51$\pm$3.1;"[0.92682927 0.95121951 0.98780488 0.90243902 0.97560976 0.96341463
 0.95121951 0.8902439  0.96341463 0.96341463 0.97560976 0.92682927
 0.98780488 0.91463415 0.90243902 0.96341463 0.97560976 0.8902439
 0.93902439 0.95121951]";95.98$\pm$2.15;"[0.95121951 0.98780488 0.97560976 0.92682927 0.93902439 0.98780488
 0.97560976 0.95121951 0.96341463 0.97560976 0.98780488 0.95121951
 0.97560976 0.97560976 0.93902439 0.91463415 0.97560976 0.95121951
 0.92682927 0.96341463]";96.59$\pm$2.33;"[0.93902439 0.96341463 0.95121951 0.95121951 0.97560976 0.96341463
 0.96341463 0.98780488 0.97560976 0.98780488 1.         0.96341463
 1.         0.92682927 0.96341463 0.98780488 0.96341463 0.90243902
 0.97560976 0.97560976]";97.2$\pm$2.08;"[0.95121951 0.97560976 0.97560976 0.97560976 0.97560976 0.97560976
 0.97560976 0.98780488 0.98780488 0.98780488 1.         0.97560976
 1.         0.92682927 0.96341463 0.98780488 0.96341463 0.91463415
 0.96341463 0.97560976]";94.27$\pm$2.65;"[0.90243902 0.97560976 0.92682927 0.90243902 0.92682927 0.96341463
 0.96341463 0.97560976 0.96341463 0.96341463 0.97560976 0.92682927
 0.95121951 0.92682927 0.90243902 0.95121951 0.95121951 0.90243902
 0.92682927 0.97560976]";96.1$\pm$2.8;"[0.92682927 1.         0.96341463 0.93902439 0.91463415 0.97560976
 0.97560976 0.95121951 0.97560976 1.         0.98780488 0.93902439
 0.98780488 0.98780488 0.92682927 0.97560976 0.96341463 0.92682927
 0.91463415 0.98780488]";93.23$\pm$3.19;"[0.8902439  0.97560976 0.93902439 0.93902439 0.95121951 0.96341463
 0.95121951 0.91463415 0.95121951 0.96341463 0.96341463 0.95121951
 0.97560976 0.91463415 0.8902439  0.92682927 0.92682927 0.85365854
 0.90243902 0.90243902]";96.95$\pm$2.33;"[0.96341463 0.97560976 0.97560976 0.95121951 0.98780488 0.97560976
 0.97560976 0.98780488 0.97560976 0.98780488 1.         0.96341463
 1.         0.90243902 0.97560976 0.98780488 0.95121951 0.92682927
 0.95121951 0.97560976]";99.15$\pm$1.23;"[1.         1.         0.98780488 1.         0.98780488 1.
 0.98780488 0.98780488 1.         1.         1.         1.
 1.         0.96341463 0.97560976 1.         0.96341463 1.
 1.         0.97560976]";93.72$\pm$2.45;"[0.93902439 0.95121951 0.95121951 0.93902439 0.97560976 0.95121951
 0.93902439 0.90243902 0.95121951 0.96341463 0.95121951 0.92682927
 0.97560976 0.92682927 0.95121951 0.92682927 0.8902439  0.90243902
 0.8902439  0.93902439]";95.43$\pm$2.37;"[0.95121951 1.         0.95121951 0.92682927 0.97560976 0.93902439
 0.95121951 0.95121951 0.96341463 0.98780488 0.96341463 0.91463415
 0.95121951 0.96341463 0.92682927 0.96341463 0.95121951 0.90243902
 0.98780488 0.96341463]";97.32$\pm$2.3;"[0.95121951 1.         0.98780488 0.91463415 0.98780488 0.97560976
 0.98780488 0.93902439 0.96341463 0.98780488 0.98780488 0.96341463
 1.         0.98780488 0.97560976 0.98780488 0.97560976 0.92682927
 0.98780488 0.97560976]";99.02$\pm$0.99;"[0.98780488 0.98780488 0.97560976 0.98780488 0.98780488 1.
 1.         0.98780488 1.         1.         0.98780488 1.
 0.98780488 0.97560976 0.98780488 1.         1.         0.96341463
 0.98780488 1.        ]";98.17$\pm$1.36;"[0.95121951 0.98780488 0.98780488 0.96341463 1.         0.98780488
 0.98780488 0.98780488 0.97560976 0.98780488 1.         0.98780488
 1.         0.96341463 0.98780488 0.97560976 0.98780488 0.96341463
 0.96341463 0.98780488]";90.37$\pm$8.41;"[0.95121951 0.97560976 0.95121951 0.81707317 0.97560976 0.96341463
 0.75609756 0.96341463 0.91463415 0.92682927 0.68292683 0.97560976
 0.93902439 0.98780488 0.90243902 0.91463415 0.92682927 0.87804878
 0.74390244 0.92682927]";97.26$\pm$1.84;"[0.97560976 1.         0.98780488 0.93902439 0.95121951 0.96341463
 0.98780488 0.93902439 0.95121951 0.97560976 0.97560976 0.98780488
 0.98780488 0.98780488 0.95121951 0.97560976 0.98780488 0.96341463
 0.96341463 1.        ]";93.35$\pm$3.75;"[0.91463415 0.96341463 0.96341463 0.87804878 0.90243902 0.96341463
 0.91463415 0.96341463 0.95121951 0.96341463 0.98780488 0.96341463
 0.98780488 0.90243902 0.90243902 0.95121951 0.8902439  0.85365854
 0.90243902 0.95121951]";95.37$\pm$3.0;"[0.91463415 0.97560976 0.95121951 0.95121951 0.91463415 0.96341463
 0.93902439 0.97560976 0.96341463 0.97560976 1.         0.97560976
 1.         0.90243902 0.92682927 0.97560976 0.95121951 0.8902439
 0.95121951 0.97560976]";97.68$\pm$1.8;"[0.97560976 0.96341463 0.95121951 0.98780488 0.95121951 0.97560976
 0.96341463 1.         0.98780488 0.98780488 1.         0.98780488
 1.         0.93902439 0.97560976 0.98780488 0.97560976 0.95121951
 0.97560976 1.        ]";97.62$\pm$1.7;"[0.95121951 0.97560976 1.         0.93902439 0.98780488 1.
 0.96341463 0.95121951 0.97560976 1.         0.98780488 0.96341463
 0.98780488 0.97560976 0.97560976 0.98780488 0.98780488 0.96341463
 0.96341463 0.98780488]";98.23$\pm$1.52;"[0.98780488 1.         0.96341463 1.         0.96341463 1.
 0.98780488 0.95121951 0.97560976 1.         0.97560976 0.96341463
 1.         0.98780488 0.97560976 0.97560976 0.98780488 0.96341463
 0.98780488 1.        ]";94.39$\pm$3.56;"[0.91463415 0.97560976 0.93902439 0.91463415 0.90243902 1.
 0.97560976 0.95121951 0.97560976 0.98780488 0.97560976 0.93902439
 0.96341463 0.8902439  0.95121951 0.93902439 0.95121951 0.85365854
 0.91463415 0.96341463]";98.6$\pm$1.56;"[0.96341463 0.98780488 1.         0.96341463 0.98780488 1.
 0.96341463 0.98780488 1.         0.98780488 1.         1.
 1.         0.96341463 0.98780488 1.         0.95121951 0.98780488
 1.         0.98780488]";98.29$\pm$2.13;"[0.98780488 1.         1.         0.96341463 0.97560976 0.98780488
 0.98780488 1.         0.98780488 0.98780488 1.         0.98780488
 1.         1.         0.93902439 1.         0.92682927 1.
 0.95121951 0.97560976]"
Hits@100;100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];100.0$\pm$0.0;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
