metrics;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;leiden_prob_pred_mean;leiden_prob_pred;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;22.28$\pm$5.3;"[0.20235294 0.26588235 0.15294118 0.25176471 0.26823529 0.27294118
 0.30588235 0.16470588 0.17647059 0.16705882]";79.34$\pm$3.29;"[0.78117647 0.84235294 0.75764706 0.82823529 0.73882353 0.8
 0.8        0.82117647 0.75294118 0.81176471]";76.75$\pm$3.77;"[0.81176471 0.78117647 0.76470588 0.78823529 0.67294118 0.76
 0.77411765 0.80941176 0.77411765 0.73882353]";22.28$\pm$5.3;"[0.20235294 0.26588235 0.15294118 0.25176471 0.26823529 0.27294118
 0.30588235 0.16470588 0.17647059 0.16705882]";64.49$\pm$5.6;"[0.72705882 0.62588235 0.64705882 0.70352941 0.66117647 0.54117647
 0.62352941 0.65882353 0.56470588 0.69647059]";68.28$\pm$7.11;"[0.70117647 0.84       0.71529412 0.64470588 0.64       0.74352941
 0.61647059 0.59529412 0.61647059 0.71529412]";73.48$\pm$4.7;"[0.74352941 0.8        0.76       0.77882353 0.63058824 0.71764706
 0.72705882 0.76235294 0.68       0.74823529]";71.93$\pm$6.17;"[0.73882353 0.75764706 0.61647059 0.69176471 0.72       0.74352941
 0.74117647 0.76941176 0.60470588 0.80941176]";22.28$\pm$5.3;"[0.20235294 0.26588235 0.15294118 0.25176471 0.26823529 0.27294118
 0.30588235 0.16470588 0.17647059 0.16705882]";54.87$\pm$5.37;"[0.48470588 0.54352941 0.54823529 0.51294118 0.65647059 0.58352941
 0.45411765 0.57882353 0.54823529 0.57647059]";78.96$\pm$3.7;"[0.73647059 0.80705882 0.74823529 0.80941176 0.75529412 0.82352941
 0.78352941 0.85647059 0.76       0.81647059]"
Hits@50;47.08$\pm$10.8;"[0.44235294 0.57647059 0.32470588 0.56235294 0.6        0.54823529
 0.57882353 0.38823529 0.31764706 0.36941176]";87.76$\pm$2.86;"[0.90117647 0.89647059 0.84941176 0.88235294 0.84705882 0.86117647
 0.85176471 0.92470588 0.84705882 0.91529412]";87.46$\pm$2.54;"[0.87764706 0.89882353 0.85411765 0.88705882 0.83764706 0.86588235
 0.87294118 0.91058824 0.83529412 0.90588235]";47.08$\pm$10.8;"[0.44235294 0.57647059 0.32470588 0.56235294 0.6        0.54823529
 0.57882353 0.38823529 0.31764706 0.36941176]";83.01$\pm$3.3;"[0.85882353 0.83764706 0.80235294 0.86588235 0.80235294 0.75764706
 0.83058824 0.86823529 0.82588235 0.85176471]";83.53$\pm$4.55;"[0.84705882 0.92       0.86823529 0.77647059 0.77176471 0.86588235
 0.83058824 0.83294118 0.77882353 0.86117647]";86.61$\pm$3.36;"[0.90588235 0.89411765 0.85882353 0.87294118 0.80470588 0.87529412
 0.86352941 0.89411765 0.80470588 0.88705882]";86.02$\pm$2.73;"[0.84       0.85882353 0.81176471 0.88705882 0.87058824 0.85176471
 0.88470588 0.87294118 0.82352941 0.90117647]";47.08$\pm$10.8;"[0.44235294 0.57647059 0.32470588 0.56235294 0.6        0.54823529
 0.57882353 0.38823529 0.31764706 0.36941176]";72.0$\pm$4.93;"[0.75294118 0.65882353 0.76705882 0.65176471 0.76       0.68235294
 0.68       0.75529412 0.69411765 0.79764706]";88.85$\pm$2.66;"[0.88470588 0.90823529 0.85647059 0.88235294 0.84470588 0.89882353
 0.89176471 0.92705882 0.86352941 0.92705882]"
Hits@100;72.35$\pm$5.53;"[0.76       0.75764706 0.73647059 0.72705882 0.74823529 0.73647059
 0.72470588 0.77647059 0.69882353 0.56941176]";92.82$\pm$1.37;"[0.93882353 0.94823529 0.92705882 0.92470588 0.91764706 0.92470588
 0.90823529 0.93882353 0.90823529 0.94588235]";92.73$\pm$1.25;"[0.92941176 0.92941176 0.92470588 0.92941176 0.92470588 0.92705882
 0.91529412 0.94352941 0.90117647 0.94823529]";72.35$\pm$5.53;"[0.76       0.75764706 0.73647059 0.72705882 0.74823529 0.73647059
 0.72470588 0.77647059 0.69882353 0.56941176]";92.12$\pm$2.39;"[0.93647059 0.93411765 0.90823529 0.94352941 0.88470588 0.88470588
 0.92235294 0.95529412 0.90117647 0.94117647]";92.56$\pm$2.78;"[0.95058824 0.95529412 0.94117647 0.87764706 0.88941176 0.92941176
 0.93647059 0.94117647 0.88705882 0.94823529]";93.08$\pm$1.44;"[0.94588235 0.93176471 0.94117647 0.94117647 0.90352941 0.92705882
 0.92470588 0.93647059 0.90823529 0.94823529]";92.42$\pm$1.36;"[0.89882353 0.93411765 0.90117647 0.93647059 0.92235294 0.92
 0.93176471 0.93176471 0.92470588 0.94117647]";72.35$\pm$5.53;"[0.76       0.75764706 0.73647059 0.72705882 0.74823529 0.73647059
 0.72470588 0.77647059 0.69882353 0.56941176]";86.75$\pm$3.72;"[0.89882353 0.79764706 0.88941176 0.81176471 0.87529412 0.88705882
 0.85176471 0.92235294 0.85176471 0.88941176]";94.0$\pm$1.84;"[0.95529412 0.95294118 0.91764706 0.95294118 0.91764706 0.94823529
 0.92705882 0.95764706 0.91058824 0.96      ]"
ROCAUC;80.76$\pm$2.05;"[0.81501453 0.83634602 0.7890899  0.81668701 0.82327414 0.82009135
 0.82087125 0.80701453 0.7713218  0.77580392]";93.62$\pm$1.21;"[0.9448692  0.95527197 0.92805216 0.92891232 0.93644284 0.93307128
 0.92528857 0.94464775 0.91433633 0.95152941]";94.15$\pm$0.91;"[0.94410519 0.95192803 0.93348502 0.94086848 0.93947836 0.93650381
 0.94432852 0.95542699 0.92205952 0.94708683]";80.76$\pm$2.05;"[0.81501453 0.83634602 0.7890899  0.81668701 0.82327414 0.82009135
 0.82087125 0.80701453 0.7713218  0.77580392]";91.92$\pm$1.26;"[0.93490381 0.92070311 0.91140954 0.92749723 0.91059378 0.90004706
 0.92283574 0.93636817 0.89964844 0.92843137]";93.9$\pm$1.5;"[0.94897716 0.96411349 0.94940622 0.91737514 0.91337958 0.94428235
 0.93824084 0.93925536 0.92607336 0.94917087]";93.59$\pm$1.08;"[0.94461453 0.94948097 0.93628191 0.9461293  0.9186071  0.93395709
 0.93402886 0.93920554 0.91454118 0.94176471]";93.17$\pm$1.2;"[0.91659516 0.93783253 0.90990844 0.93562708 0.9359212  0.92638893
 0.94288568 0.94147543 0.92104083 0.94892997]";80.76$\pm$2.05;"[0.81501453 0.83634602 0.7890899  0.81668701 0.82327414 0.82009135
 0.82087125 0.80701453 0.7713218  0.77580392]";89.7$\pm$1.18;"[0.90394464 0.88375363 0.90222531 0.87910655 0.90267481 0.89851349
 0.88293008 0.91933564 0.89224083 0.90572549]";94.48$\pm$1.15;"[0.94905467 0.95800138 0.92691454 0.94988901 0.92996115 0.94905467
 0.94249168 0.95422007 0.92896332 0.95928852]"
AP;78.11$\pm$2.72;"[0.78234119 0.81292032 0.75170191 0.79944861 0.81310253 0.79617818
 0.80650803 0.76207558 0.74621031 0.74010837]";94.85$\pm$1.02;"[0.9572801  0.9633457  0.93982056 0.94474062 0.94631366 0.94869704
 0.93645172 0.95712214 0.93142645 0.96014234]";94.82$\pm$0.69;"[0.95225744 0.95626364 0.93995733 0.94098005 0.94528207 0.94687924
 0.95241066 0.95986734 0.93765409 0.95002906]";78.11$\pm$2.72;"[0.78234119 0.81292032 0.75170191 0.79944861 0.81310253 0.79617818
 0.80650803 0.76207558 0.74621031 0.74010837]";92.15$\pm$1.46;"[0.93792332 0.91227071 0.9279991  0.93415771 0.91336134 0.89481277
 0.92521167 0.93285395 0.90057143 0.93595883]";93.7$\pm$1.55;"[0.94621797 0.96548789 0.94600466 0.91315079 0.91694705 0.94575281
 0.93688752 0.92694092 0.92442293 0.94807055]";94.01$\pm$1.23;"[0.95185392 0.95574934 0.93046838 0.9460358  0.91930747 0.93754044
 0.94236547 0.94887401 0.92023084 0.94881693]";92.95$\pm$1.6;"[0.9254523  0.93809624 0.89417494 0.92174744 0.92514563 0.94056884
 0.93616087 0.93772563 0.91798368 0.95759495]";78.11$\pm$2.72;"[0.78234119 0.81292032 0.75170191 0.79944861 0.81310253 0.79617818
 0.80650803 0.76207558 0.74621031 0.74010837]";89.97$\pm$1.41;"[0.8983603  0.88868474 0.90415678 0.88716195 0.91656452 0.90676457
 0.8702651  0.91382429 0.89516489 0.91587381]";95.52$\pm$0.84;"[0.95568501 0.9622491  0.94120495 0.95804696 0.94477258 0.95999791
 0.9526481  0.96494181 0.94611223 0.96661238]"
pretrain_time;nan$\pm$nan;[];6.23$\pm$0.06;"[6.17642117 6.14694095 6.20893455 6.36343598 6.22378325 6.23562479
 6.22040534 6.23810339 6.21595049 6.27407575]";17.7$\pm$0.1;"[17.84504724 17.81585717 17.78463221 17.81728983 17.669698   17.52249408
 17.61047602 17.71691227 17.62577295 17.615376  ]";nan$\pm$nan;[];5.6$\pm$0.03;"[5.56622648 5.63870358 5.57117844 5.60438466 5.6061697  5.57088494
 5.57935619 5.56197906 5.61004806 5.66771793]";35.59$\pm$0.99;"[34.95060968 35.85085797 37.01404834 34.67683387 37.27614164 35.04322171
 36.50195503 34.50898242 34.45247626 35.665416  ]";18.83$\pm$0.12;"[19.09049559 18.80766773 18.66264987 18.68766403 18.84527111 18.88696742
 18.82427716 18.7595458  18.79849553 18.94857001]";59.23$\pm$1.3;"[60.49894834 59.9633472  59.91220355 59.98595452 60.05937839 59.99061322
 60.03826785 57.90153599 56.97771454 56.98697996]";nan$\pm$nan;[];19.95$\pm$0.1;"[20.1080091  20.10832047 19.8671453  19.89204288 19.78097677 19.97205091
 19.9953773  19.88814902 19.84387732 20.00065994]";29.73$\pm$0.16;"[29.96974468 29.97322702 29.79405022 29.53592324 29.64547753 29.54448128
 29.52887678 29.85542631 29.69126463 29.7665019 ]"
