metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;27.78$\pm$0.66;"[0.27693475 0.27389985 0.27465857 0.26707132 0.28528073 0.28224583
 0.27996965 0.28603945 0.284522   0.26783005]";24.84$\pm$1.48;"[0.26327769 0.23672231 0.25037936 0.25265554 0.26403642 0.25569044
 0.22078907 0.25569044 0.26024279 0.2245827 ]";22.34$\pm$9.28;"[0.2814871  0.03414264 0.0447648  0.26176024 0.27996965 0.27921093
 0.24658574 0.27389985 0.28224583 0.24962064]";30.62$\pm$1.05;"[0.30045524 0.29438543 0.31562974 0.30576631 0.31183612 0.30576631
 0.32018209 0.32018209 0.30197269 0.28603945]";23.51$\pm$2.13;"[0.2215478  0.2215478  0.22230653 0.24051593 0.23672231 0.20561457
 0.26783005 0.27617602 0.24127466 0.21775417]";31.06$\pm$1.79;"[0.33004552 0.28907436 0.31866464 0.29742033 0.31562974 0.30728376
 0.33004552 0.33915023 0.29059181 0.28831563]";31.17$\pm$1.42;"[0.32169954 0.28831563 0.32549317 0.31411229 0.30424886 0.31714719
 0.32169954 0.33308042 0.29817906 0.29286798]";29.67$\pm$1.96;"[0.30197269 0.29059181 0.323217   0.30804249 0.29135053 0.28983308
 0.30121396 0.31487102 0.29969651 0.24658574]";31.17$\pm$1.42;"[0.32169954 0.28831563 0.32549317 0.31411229 0.30424886 0.31714719
 0.32169954 0.33308042 0.29817906 0.29286798]";30.15$\pm$1.6;"[0.31107739 0.28679818 0.31259484 0.30576631 0.30576631 0.31866464
 0.30804249 0.31714719 0.27996965 0.2693475 ]";31.17$\pm$1.42;"[0.32169954 0.28831563 0.32549317 0.31411229 0.30424886 0.31714719
 0.32169954 0.33308042 0.29817906 0.29286798]";58.67$\pm$5.94;"[0.59711684 0.54400607 0.60242792 0.72685888 0.60849772 0.59408194
 0.59332322 0.52883156 0.58270106 0.48937785]";57.68$\pm$9.79;"[0.59635812 0.53110774 0.54097117 0.77314112 0.69119879 0.5
 0.62367223 0.51213961 0.58952959 0.40971168]";32.12$\pm$1.28;"[0.31942337 0.30728376 0.33383915 0.31562974 0.32549317 0.3323217
 0.33004552 0.34066768 0.30880121 0.29893778]";29.23$\pm$1.86;"[0.30500759 0.26555387 0.26100152 0.29059181 0.29514416 0.27996965
 0.31259484 0.31790592 0.31031866 0.28528073]";30.96$\pm$1.1;"[0.30576631 0.29438543 0.323217   0.30576631 0.31487102 0.31411229
 0.32094082 0.32094082 0.30804249 0.28831563]";31.46$\pm$1.7;"[0.31942337 0.31487102 0.33156297 0.31107739 0.31487102 0.32701062
 0.32776935 0.3323217  0.28072838 0.28679818]";31.3$\pm$1.41;"[0.31942337 0.30197269 0.31866464 0.30349014 0.31107739 0.32701062
 0.33459788 0.3262519  0.30121396 0.28603945]";30.46$\pm$2.39;"[0.31107739 0.29742033 0.32852807 0.30728376 0.28603945 0.30576631
 0.32776935 0.32852807 0.30880121 0.24506829]";31.0$\pm$2.94;"[0.31790592 0.29362671 0.35432473 0.29135053 0.23975721 0.323217
 0.3262519  0.33459788 0.30804249 0.31107739]";60.64$\pm$9.34;"[0.63050076 0.57359636 0.50379363 0.76251897 0.69954476 0.61836115
 0.69726859 0.46737481 0.62367223 0.48786039]";63.25$\pm$7.34;"[0.68437026 0.64188164 0.61532625 0.7723824  0.68892261 0.61608498
 0.65705615 0.48330804 0.58194234 0.58345979]";23.16$\pm$0.95;"[0.24430956 0.22003035 0.21471927 0.22913505 0.24355083 0.23444613
 0.2276176  0.23975721 0.23748103 0.22534143]";25.4$\pm$2.36;"[0.26327769 0.20789074 0.2124431  0.25796662 0.25948407 0.27769347
 0.26707132 0.27769347 0.27010622 0.24658574]";22.75$\pm$0.76;"[0.23292868 0.2276176  0.22610015 0.22382398 0.23823976 0.2185129
 0.2245827  0.2306525  0.23899848 0.21396055]";16.66$\pm$1.65;"[0.18512898 0.14491654 0.1676783  0.14719272 0.16616085 0.14415781
 0.16236722 0.19195751 0.17147193 0.18512898]";22.75$\pm$0.73;"[0.22989378 0.21623672 0.22989378 0.23292868 0.22610015 0.23444613
 0.23672231 0.23216995 0.22230653 0.21396055]";30.08$\pm$2.17;"[0.31487102 0.29286798 0.33383915 0.31790592 0.26100152 0.29969651
 0.29438543 0.32776935 0.28831563 0.27769347]";24.78$\pm$2.56;"[0.22913505 0.24203338 0.24658574 0.28224583 0.25113809 0.27693475
 0.27389985 0.26100152 0.21168437 0.20333839]";60.04$\pm$8.83;"[0.66388467 0.6737481  0.63808801 0.72382398 0.61456753 0.47875569
 0.68057663 0.47268589 0.57283763 0.48482549]";63.61$\pm$10.01;"[0.68892261 0.67602428 0.61153263 0.76479514 0.73975721 0.64112291
 0.64036419 0.57056146 0.64415781 0.38391502]";27.75$\pm$1.45;"[0.27389985 0.25113809 0.27769347 0.26403642 0.28983308 0.29135053
 0.27617602 0.30424886 0.28072838 0.26555387]";29.52$\pm$2.01;"[0.31183612 0.25417299 0.26555387 0.30045524 0.30045524 0.323217
 0.28983308 0.31183612 0.30121396 0.29362671]";23.0$\pm$1.32;"[0.22989378 0.22913505 0.24355083 0.21927162 0.22230653 0.25189681
 0.2124431  0.23823976 0.24279211 0.21092564]";26.18$\pm$0.79;"[0.27010622 0.25493171 0.26024279 0.25417299 0.26479514 0.26858877
 0.26707132 0.27465857 0.25265554 0.25113809]";22.25$\pm$1.74;"[0.24051593 0.19347496 0.24810319 0.21092564 0.22534143 0.22306525
 0.22382398 0.23823976 0.2276176  0.19423369]";29.6$\pm$1.57;"[0.31411229 0.28528073 0.30880121 0.2784522  0.2814871  0.30045524
 0.30728376 0.31866464 0.29514416 0.27010622]";29.65$\pm$1.47;"[0.31942337 0.2784522  0.28072838 0.284522   0.29135053 0.29893778
 0.31638847 0.31638847 0.29059181 0.28831563]";78.45$\pm$2.26;"[0.82094082 0.78528073 0.7693475  0.79286798 0.80045524 0.76251897
 0.81487102 0.7875569  0.76479514 0.74658574]";68.42$\pm$3.82;"[0.75417299 0.71396055 0.72078907 0.64871017 0.69423369 0.65705615
 0.70561457 0.67754173 0.63277693 0.63732929]";20.1$\pm$1.28;"[0.20789074 0.176783   0.18664643 0.18740516 0.20637329 0.21775417
 0.21623672 0.20789074 0.20409712 0.19878604]";21.34$\pm$1.53;"[0.20106222 0.19650986 0.22534143 0.20182094 0.19802731 0.22837633
 0.21016692 0.23899848 0.23216995 0.20106222]";15.55$\pm$0.77;"[0.16312595 0.14946889 0.15781487 0.15933232 0.16843703 0.1585736
 0.15022762 0.14188164 0.15933232 0.14719272]";24.68$\pm$0.95;"[0.24886191 0.23823976 0.24279211 0.24203338 0.26403642 0.24203338
 0.23520486 0.26327769 0.25113809 0.24051593]";15.86$\pm$1.03;"[0.14567527 0.15705615 0.15326252 0.14339909 0.16995448 0.14946889
 0.16691958 0.17223065 0.15705615 0.17147193]";31.15$\pm$1.47;"[0.31411229 0.28983308 0.33156297 0.32549317 0.29969651 0.31183612
 0.30880121 0.33004552 0.31638847 0.2875569 ]";28.87$\pm$2.02;"[0.28679818 0.28072838 0.31562974 0.30576631 0.29135053 0.2784522
 0.30500759 0.30197269 0.2814871  0.23975721]";49.7$\pm$8.56;"[0.59028832 0.47799697 0.47723824 0.60091047 0.64112291 0.47268589
 0.4969651  0.38088012 0.46661608 0.36570561]";51.72$\pm$5.05;"[0.56752656 0.56676783 0.51138088 0.60318665 0.53034901 0.54324734
 0.46358118 0.46509863 0.47116844 0.44992413]"
Hits@50;30.37$\pm$0.86;"[0.30500759 0.29286798 0.30576631 0.29210926 0.30349014 0.32245827
 0.30955994 0.30424886 0.30728376 0.29438543]";32.15$\pm$1.25;"[0.33687405 0.30349014 0.32701062 0.31942337 0.3262519  0.31942337
 0.31942337 0.33763278 0.3292868  0.29666161]";27.02$\pm$9.75;"[0.31487102 0.07511381 0.07663126 0.31638847 0.32018209 0.33080425
 0.31183612 0.3262519  0.32776935 0.30197269]";33.45$\pm$1.24;"[0.32397572 0.3262519  0.3353566  0.34901366 0.33459788 0.34446131
 0.35280728 0.33763278 0.33308042 0.30804249]";31.93$\pm$1.33;"[0.30197269 0.29893778 0.3292868  0.32397572 0.32473445 0.3414264
 0.3292868  0.32018209 0.32169954 0.30197269]";36.15$\pm$1.51;"[0.36722307 0.3353566  0.37177542 0.35735964 0.36722307 0.37481032
 0.37253414 0.38239757 0.34446131 0.34218513]";33.47$\pm$1.4;"[0.3383915  0.31335357 0.35660091 0.3414264  0.32473445 0.33763278
 0.34749621 0.34749621 0.3262519  0.31335357]";32.61$\pm$1.17;"[0.31790592 0.31562974 0.34673748 0.3323217  0.31562974 0.34066768
 0.32776935 0.33611533 0.31562974 0.31259484]";33.47$\pm$1.4;"[0.3383915  0.31335357 0.35660091 0.3414264  0.32473445 0.33763278
 0.34749621 0.34749621 0.3262519  0.31335357]";33.87$\pm$1.68;"[0.34673748 0.31183612 0.35204856 0.35356601 0.33459788 0.36494689
 0.34370258 0.34370258 0.31714719 0.31866464]";33.47$\pm$1.4;"[0.3383915  0.31335357 0.35660091 0.3414264  0.32473445 0.33763278
 0.34749621 0.34749621 0.3262519  0.31335357]";95.49$\pm$1.25;"[0.96282246 0.95371775 0.96358118 0.96130501 0.97647951 0.93474962
 0.9552352  0.9552352  0.95295903 0.93247344]";96.46$\pm$1.87;"[0.97799697 0.95827011 0.97951442 0.97647951 0.98103187 0.97040971
 0.96661608 0.96433991 0.95675266 0.91426404]";35.08$\pm$1.32;"[0.34218513 0.33156297 0.37025797 0.36039454 0.35128983 0.36115326
 0.35660091 0.36267071 0.34370258 0.32852807]";33.47$\pm$2.17;"[0.34066768 0.29969651 0.30045524 0.3353566  0.3383915  0.34370258
 0.35887709 0.37101669 0.33990895 0.31942337]";34.41$\pm$1.0;"[0.34066768 0.33915023 0.35128983 0.35053111 0.33763278 0.34825493
 0.35735964 0.34749621 0.34901366 0.31942337]";35.12$\pm$1.39;"[0.34749621 0.34597876 0.37481032 0.35508346 0.33459788 0.36874052
 0.35963581 0.35735964 0.3292868  0.33915023]";34.58$\pm$1.1;"[0.34597876 0.32473445 0.35432473 0.34901366 0.33459788 0.36267071
 0.35204856 0.35204856 0.34977238 0.3323217 ]";35.14$\pm$1.83;"[0.34597876 0.32473445 0.37784522 0.35356601 0.3292868  0.35660091
 0.35660091 0.3801214  0.35963581 0.33004552]";36.22$\pm$1.6;"[0.35660091 0.3383915  0.3831563  0.35660091 0.34370258 0.37329287
 0.37784522 0.38163885 0.36798179 0.34294385]";96.35$\pm$0.88;"[0.97116844 0.96358118 0.96965099 0.97420334 0.97268589 0.95751138
 0.96282246 0.95295903 0.96509863 0.94537178]";96.63$\pm$0.96;"[0.97875569 0.96509863 0.96965099 0.97799697 0.97572079 0.9552352
 0.97116844 0.95978756 0.96130501 0.94840668]";25.67$\pm$0.74;"[0.26251897 0.24658574 0.24051593 0.25872534 0.26555387 0.25720789
 0.25948407 0.26403642 0.25493171 0.25720789]";28.92$\pm$2.63;"[0.29286798 0.23975721 0.23899848 0.29893778 0.29286798 0.31638847
 0.31183612 0.30652504 0.30652504 0.2875569 ]";26.05$\pm$1.12;"[0.27389985 0.26251897 0.24962064 0.24203338 0.26631259 0.25872534
 0.25796662 0.26100152 0.28224583 0.25037936]";21.4$\pm$1.2;"[0.22382398 0.2124431  0.20713202 0.19271624 0.20485584 0.19878604
 0.22230653 0.2276176  0.2276176  0.22306525]";25.86$\pm$1.07;"[0.25341426 0.24203338 0.25720789 0.26858877 0.26100152 0.26403642
 0.27010622 0.2754173  0.25037936 0.24355083]";35.34$\pm$1.33;"[0.35508346 0.3353566  0.37556904 0.35280728 0.35280728 0.36874052
 0.36418816 0.35356601 0.34597876 0.33004552]";31.18$\pm$1.64;"[0.29286798 0.30045524 0.31335357 0.3292868  0.30424886 0.33004552
 0.33990895 0.30424886 0.31638847 0.28679818]";94.77$\pm$2.28;"[0.96433991 0.95447648 0.95295903 0.95675266 0.97040971 0.95978756
 0.94992413 0.88467375 0.9370258  0.94688923]";96.52$\pm$0.81;"[0.97496206 0.96813354 0.97192716 0.97192716 0.97116844 0.9522003
 0.96813354 0.9522003  0.96509863 0.95599393]";30.58$\pm$1.81;"[0.30273141 0.26783005 0.30955994 0.29742033 0.31411229 0.31942337
 0.29817906 0.34066768 0.31411229 0.29438543]";33.7$\pm$2.51;"[0.35508346 0.29362671 0.29059181 0.35508346 0.34370258 0.35660091
 0.323217   0.35280728 0.36418816 0.3353566 ]";29.5$\pm$1.19;"[0.29969651 0.284522   0.31183612 0.30728376 0.29590288 0.30424886
 0.27314112 0.29969651 0.29514416 0.2784522 ]";28.83$\pm$0.89;"[0.28831563 0.2875569  0.27617602 0.28376328 0.29742033 0.30197269
 0.28603945 0.30121396 0.28528073 0.2754173 ]";27.67$\pm$1.68;"[0.27996965 0.25796662 0.30576631 0.29135053 0.26858877 0.27617602
 0.28603945 0.29059181 0.26327769 0.24734446]";33.45$\pm$1.08;"[0.34066768 0.32473445 0.35128983 0.3353566  0.32549317 0.34294385
 0.34066768 0.34294385 0.32776935 0.31335357]";35.08$\pm$1.91;"[0.37101669 0.30804249 0.3353566  0.35584219 0.3323217  0.36191199
 0.37177542 0.36267071 0.34749621 0.36115326]";84.39$\pm$1.4;"[0.84522003 0.83459788 0.83915023 0.84825493 0.84294385 0.84370258
 0.87708649 0.84522003 0.84522003 0.81714719]";80.4$\pm$1.88;"[0.83915023 0.80500759 0.81183612 0.79742033 0.80652504 0.823217
 0.81487102 0.77996965 0.7875569  0.77465857]";23.66$\pm$0.95;"[0.23975721 0.215478   0.22837633 0.23444613 0.23975721 0.24279211
 0.24962064 0.24810319 0.23520486 0.23292868]";27.76$\pm$2.46;"[0.27314112 0.22230653 0.25265554 0.27996965 0.28224583 0.29969651
 0.2814871  0.31942337 0.284522   0.28072838]";19.58$\pm$1.23;"[0.21623672 0.18057663 0.18361153 0.20864947 0.21092564 0.19954476
 0.18664643 0.18057663 0.19575114 0.19499241]";27.54$\pm$0.92;"[0.28376328 0.27010622 0.27314112 0.27314112 0.29210926 0.26555387
 0.2754173  0.28907436 0.26631259 0.26555387]";20.4$\pm$0.92;"[0.22230653 0.20182094 0.215478   0.20864947 0.20182094 0.19499241
 0.20485584 0.20409712 0.18892261 0.19726859]";34.94$\pm$1.37;"[0.35053111 0.33459788 0.35128983 0.36418816 0.32776935 0.36494689
 0.36646434 0.35508346 0.34977238 0.3292868 ]";33.11$\pm$1.47;"[0.33687405 0.30804249 0.36039454 0.32852807 0.31942337 0.33080425
 0.33990895 0.34597876 0.3262519  0.31487102]";90.04$\pm$2.32;"[0.92261002 0.90819423 0.91274659 0.92336874 0.93095599 0.86267071
 0.91198786 0.87253414 0.87860395 0.8801214 ]";93.47$\pm$1.71;"[0.95068285 0.93474962 0.94840668 0.94764795 0.94840668 0.92033384
 0.9491654  0.93474962 0.91350531 0.89908953]"
