metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;67.85$\pm$1.73;"[0.71648352 0.67032967 0.68461538 0.69120879 0.66593407 0.68901099
 0.67582418 0.64835165 0.67362637 0.66923077]";63.59$\pm$4.73;"[0.67912088 0.63296703 0.67912088 0.68901099 0.5967033  0.58461538
 0.55824176 0.58791209 0.68351648 0.66813187]";68.03$\pm$3.12;"[0.7021978  0.66923077 0.72087912 0.73516484 0.67582418 0.68681319
 0.64395604 0.67472527 0.66813187 0.62637363]";69.53$\pm$2.12;"[0.7010989  0.66153846 0.73626374 0.6989011  0.72417582 0.6978022
 0.67582418 0.68021978 0.6956044  0.68131868]";68.49$\pm$3.02;"[0.7043956  0.68791209 0.71758242 0.72967033 0.65054945 0.68461538
 0.62637363 0.7        0.69120879 0.65714286]";63.36$\pm$3.75;"[0.63406593 0.62747253 0.64505495 0.62417582 0.63736264 0.56923077
 0.58571429 0.69010989 0.62527473 0.6978022 ]";46.18$\pm$1.83;"[0.46813187 0.43076923 0.45604396 0.49120879 0.47912088 0.44725275
 0.45054945 0.48681319 0.45934066 0.44835165]";68.2$\pm$3.28;"[0.71428571 0.65164835 0.69450549 0.72197802 0.72857143 0.68131868
 0.62197802 0.66923077 0.68681319 0.64945055]";46.23$\pm$1.75;"[0.47912088 0.43736264 0.47362637 0.48791209 0.47252747 0.45054945
 0.44615385 0.48021978 0.45604396 0.43956044]";75.15$\pm$6.0;"[0.77142857 0.61208791 0.84725275 0.68791209 0.77362637 0.77142857
 0.74065934 0.76923077 0.79120879 0.75054945]";67.66$\pm$2.2;"[0.72637363 0.66483516 0.65494505 0.70549451 0.67582418 0.67142857
 0.65714286 0.66043956 0.68571429 0.66373626]";74.89$\pm$3.44;"[0.8010989  0.72417582 0.76153846 0.77472527 0.76923077 0.77252747
 0.67142857 0.72307692 0.74725275 0.74395604]";75.1$\pm$1.84;"[0.76043956 0.75714286 0.77032967 0.78241758 0.73956044 0.73956044
 0.72637363 0.72417582 0.76703297 0.74285714]";66.69$\pm$4.25;"[0.6967033  0.60879121 0.6978022  0.73186813 0.67252747 0.70549451
 0.58791209 0.65494505 0.64065934 0.67252747]";67.91$\pm$2.69;"[0.7021978  0.66923077 0.70659341 0.7032967  0.7010989  0.66043956
 0.61648352 0.67472527 0.69450549 0.66263736]";46.23$\pm$1.75;"[0.47912088 0.43736264 0.47362637 0.48791209 0.47252747 0.45054945
 0.44615385 0.48021978 0.45604396 0.43956044]";62.12$\pm$4.17;"[0.64065934 0.58571429 0.57912088 0.64175824 0.66153846 0.59120879
 0.55164835 0.68241758 0.66923077 0.60879121]";84.34$\pm$1.73;"[0.84945055 0.83186813 0.85164835 0.88791209 0.83516484 0.83956044
 0.82197802 0.84835165 0.83076923 0.83736264]";72.63$\pm$2.2;"[0.74835165 0.70879121 0.73186813 0.75164835 0.73846154 0.72637363
 0.69340659 0.71758242 0.75494505 0.69120879]";62.53$\pm$1.79;"[0.63516484 0.61318681 0.63846154 0.63186813 0.66373626 0.59340659
 0.61098901 0.62197802 0.61868132 0.62527473]";65.15$\pm$2.66;"[0.69450549 0.63296703 0.66153846 0.68571429 0.65604396 0.61428571
 0.63296703 0.63956044 0.67802198 0.61978022]";70.18$\pm$2.12;"[0.70989011 0.68571429 0.70659341 0.72087912 0.6967033  0.6956044
 0.67912088 0.7021978  0.74945055 0.67142857]";59.7$\pm$4.03;"[0.56153846 0.60989011 0.65274725 0.61758242 0.64065934 0.5989011
 0.54615385 0.61208791 0.61318681 0.51758242]";52.89$\pm$4.24;"[0.55494505 0.55054945 0.54615385 0.54065934 0.57252747 0.53956044
 0.41758242 0.49230769 0.55384615 0.52087912]";76.59$\pm$2.71;"[0.76703297 0.74835165 0.77252747 0.8        0.8032967  0.77362637
 0.72637363 0.76263736 0.78791209 0.71758242]";67.01$\pm$3.18;"[0.66813187 0.65494505 0.68351648 0.68791209 0.73076923 0.66483516
 0.5989011  0.65054945 0.68351648 0.67802198]";60.89$\pm$3.51;"[0.66043956 0.58021978 0.54395604 0.5956044  0.63186813 0.64725275
 0.59010989 0.60879121 0.64725275 0.58351648]";63.65$\pm$3.29;"[0.65824176 0.62417582 0.63626374 0.63296703 0.7010989  0.63186813
 0.58241758 0.67472527 0.62527473 0.5978022 ]";73.13$\pm$2.21;"[0.77912088 0.72637363 0.73626374 0.73186813 0.73076923 0.6967033
 0.6989011  0.72967033 0.74835165 0.73516484]";64.59$\pm$4.48;"[0.65604396 0.57582418 0.67362637 0.65054945 0.65494505 0.64065934
 0.55274725 0.69450549 0.7        0.66043956]";68.69$\pm$5.4;"[0.71648352 0.70769231 0.7021978  0.70549451 0.74835165 0.61208791
 0.58681319 0.7032967  0.75494505 0.63186813]";75.56$\pm$3.52;"[0.76703297 0.68131868 0.77362637 0.77142857 0.82527473 0.72197802
 0.76043956 0.75934066 0.74835165 0.74725275]"
Hits@50;74.55$\pm$1.64;"[0.77032967 0.74835165 0.75054945 0.74725275 0.76043956 0.75714286
 0.75164835 0.71978022 0.71758242 0.73186813]";77.37$\pm$2.66;"[0.77692308 0.76263736 0.78681319 0.80659341 0.73626374 0.77472527
 0.74725275 0.75714286 0.82967033 0.75934066]";78.22$\pm$3.05;"[0.8043956  0.75054945 0.77802198 0.8043956  0.8        0.82307692
 0.82087912 0.75384615 0.74725275 0.73956044]";76.52$\pm$1.43;"[0.79340659 0.74835165 0.76923077 0.76813187 0.75824176 0.75384615
 0.78791209 0.75274725 0.76483516 0.75494505]";79.31$\pm$1.66;"[0.82637363 0.78351648 0.78461538 0.81318681 0.78791209 0.7989011
 0.77912088 0.78241758 0.80549451 0.76923077]";76.67$\pm$2.8;"[0.74615385 0.77252747 0.78791209 0.76483516 0.79450549 0.71318681
 0.72417582 0.78021978 0.7956044  0.78791209]";50.19$\pm$1.56;"[0.52857143 0.47142857 0.48901099 0.51868132 0.50659341 0.5
 0.49230769 0.51538462 0.5021978  0.49450549]";80.3$\pm$2.0;"[0.82087912 0.77802198 0.83626374 0.80659341 0.81978022 0.78681319
 0.77142857 0.7956044  0.81978022 0.79450549]";50.03$\pm$1.65;"[0.51428571 0.47692308 0.5010989  0.51978022 0.5021978  0.48681319
 0.4967033  0.52967033 0.4989011  0.47692308]";90.35$\pm$1.71;"[0.9        0.87692308 0.91978022 0.8956044  0.91758242 0.91868132
 0.91648352 0.91648352 0.9032967  0.87032967]";80.03$\pm$1.52;"[0.81538462 0.81428571 0.8043956  0.82967033 0.78681319 0.78241758
 0.78021978 0.8010989  0.7989011  0.79010989]";82.6$\pm$2.08;"[0.86593407 0.81098901 0.81208791 0.83406593 0.81648352 0.86483516
 0.81758242 0.80879121 0.81098901 0.81868132]";84.07$\pm$1.09;"[0.85494505 0.83296703 0.85384615 0.84615385 0.84835165 0.84505495
 0.84175824 0.81978022 0.83736264 0.82637363]";79.56$\pm$2.88;"[0.80769231 0.77362637 0.82197802 0.83076923 0.82527473 0.78461538
 0.73076923 0.78681319 0.81208791 0.78241758]";79.97$\pm$2.23;"[0.80989011 0.81538462 0.82417582 0.80989011 0.78461538 0.82527473
 0.75384615 0.77142857 0.80989011 0.79230769]";50.03$\pm$1.65;"[0.51428571 0.47692308 0.5010989  0.51978022 0.5021978  0.48681319
 0.4967033  0.52967033 0.4989011  0.47692308]";77.23$\pm$2.51;"[0.77252747 0.76263736 0.79010989 0.80549451 0.76483516 0.77582418
 0.72637363 0.8        0.79120879 0.73406593]";90.68$\pm$0.85;"[0.91098901 0.90989011 0.90989011 0.91978022 0.91098901 0.90879121
 0.88681319 0.9043956  0.8978022  0.90879121]";81.81$\pm$1.38;"[0.82637363 0.82307692 0.82857143 0.83076923 0.81758242 0.8032967
 0.82307692 0.81758242 0.82747253 0.78351648]";75.88$\pm$2.43;"[0.78901099 0.77362637 0.77472527 0.74395604 0.77362637 0.73186813
 0.71648352 0.74395604 0.79340659 0.74725275]";75.38$\pm$1.8;"[0.78901099 0.75384615 0.77032967 0.77142857 0.75934066 0.73736264
 0.73296703 0.73846154 0.75274725 0.73296703]";79.34$\pm$1.21;"[0.78571429 0.77362637 0.8043956  0.78681319 0.7956044  0.79120879
 0.78131868 0.7967033  0.81868132 0.8       ]";72.97$\pm$4.72;"[0.70549451 0.72857143 0.77142857 0.77142857 0.75384615 0.74395604
 0.68681319 0.77362637 0.74725275 0.61428571]";70.56$\pm$3.1;"[0.68131868 0.65164835 0.76593407 0.69230769 0.71538462 0.7021978
 0.68351648 0.73956044 0.72747253 0.6967033 ]";83.65$\pm$2.4;"[0.82417582 0.8010989  0.86923077 0.86043956 0.85494505 0.83846154
 0.81208791 0.83626374 0.86373626 0.8043956 ]";77.41$\pm$2.0;"[0.75714286 0.74945055 0.77362637 0.78131868 0.81868132 0.77912088
 0.74505495 0.77032967 0.78021978 0.78571429]";74.6$\pm$2.56;"[0.78131868 0.72307692 0.73516484 0.74285714 0.77692308 0.78021978
 0.70549451 0.74285714 0.75494505 0.71758242]";76.55$\pm$2.18;"[0.78241758 0.74835165 0.74505495 0.76043956 0.81098901 0.75934066
 0.73626374 0.77912088 0.78351648 0.74945055]";82.52$\pm$1.32;"[0.84175824 0.82087912 0.81758242 0.81318681 0.84175824 0.80769231
 0.81098901 0.83186813 0.84505495 0.82087912]";77.07$\pm$2.67;"[0.77582418 0.73296703 0.77362637 0.75494505 0.80879121 0.76923077
 0.72857143 0.79340659 0.80989011 0.75934066]";77.46$\pm$2.56;"[0.79340659 0.76483516 0.77252747 0.78571429 0.82967033 0.73516484
 0.75824176 0.76483516 0.79340659 0.74835165]";86.95$\pm$1.46;"[0.87692308 0.84615385 0.87472527 0.89340659 0.88901099 0.86813187
 0.84835165 0.87252747 0.86483516 0.86043956]"
Hits@100;79.93$\pm$1.4;"[0.82747253 0.80879121 0.78901099 0.79450549 0.7978022  0.80659341
 0.80989011 0.79230769 0.77252747 0.79450549]";86.22$\pm$1.7;"[0.87912088 0.85164835 0.87802198 0.87142857 0.83736264 0.85934066
 0.84175824 0.86263736 0.89230769 0.84835165]";84.69$\pm$2.67;"[0.87032967 0.82967033 0.84285714 0.85824176 0.86703297 0.87362637
 0.88351648 0.83296703 0.81098901 0.8       ]";81.78$\pm$1.32;"[0.84285714 0.8010989  0.80769231 0.82307692 0.80659341 0.81648352
 0.83406593 0.80879121 0.82967033 0.80769231]";85.31$\pm$1.25;"[0.88351648 0.84945055 0.83406593 0.86263736 0.85714286 0.85054945
 0.85274725 0.85054945 0.84725275 0.84285714]";85.33$\pm$1.52;"[0.86263736 0.86263736 0.86923077 0.84175824 0.86153846 0.82197802
 0.83186813 0.86373626 0.86483516 0.85274725]";53.44$\pm$1.36;"[0.55164835 0.52197802 0.51538462 0.55494505 0.54615385 0.52637363
 0.53076923 0.54615385 0.53186813 0.51868132]";87.44$\pm$1.12;"[0.89010989 0.85164835 0.87912088 0.88131868 0.89120879 0.86483516
 0.87252747 0.86923077 0.87142857 0.87252747]";53.14$\pm$1.86;"[0.54175824 0.5021978  0.52857143 0.54945055 0.54175824 0.50769231
 0.52967033 0.56593407 0.53296703 0.51428571]";95.04$\pm$0.42;"[0.95604396 0.94395604 0.95054945 0.95384615 0.95274725 0.95164835
 0.94835165 0.95604396 0.94505495 0.94615385]";85.95$\pm$1.47;"[0.85824176 0.86593407 0.86593407 0.87802198 0.87802198 0.82747253
 0.85384615 0.86373626 0.86153846 0.84175824]";87.51$\pm$2.55;"[0.90989011 0.85714286 0.85494505 0.87472527 0.85384615 0.93076923
 0.88791209 0.86043956 0.87032967 0.85054945]";89.88$\pm$0.94;"[0.89010989 0.88351648 0.90769231 0.91868132 0.90549451 0.8978022
 0.9        0.89450549 0.89450549 0.8956044 ]";87.36$\pm$1.64;"[0.87692308 0.85604396 0.88351648 0.89010989 0.89010989 0.87252747
 0.83736264 0.86263736 0.87692308 0.89010989]";88.43$\pm$0.57;"[0.87802198 0.87912088 0.88901099 0.88791209 0.88681319 0.89450549
 0.87692308 0.88351648 0.88901099 0.87802198]";53.14$\pm$1.86;"[0.54175824 0.5021978  0.52857143 0.54945055 0.54175824 0.50769231
 0.52967033 0.56593407 0.53296703 0.51428571]";87.24$\pm$1.38;"[0.86043956 0.85604396 0.87692308 0.89450549 0.87142857 0.88021978
 0.85054945 0.88571429 0.88571429 0.86263736]";94.03$\pm$0.92;"[0.93736264 0.93846154 0.94615385 0.95604396 0.94835165 0.93626374
 0.91868132 0.94285714 0.93846154 0.94065934]";87.48$\pm$1.47;"[0.88461538 0.88021978 0.87692308 0.89340659 0.84725275 0.87032967
 0.88131868 0.89010989 0.87472527 0.84945055]";86.38$\pm$1.56;"[0.87252747 0.83516484 0.87252747 0.86373626 0.84945055 0.87032967
 0.86373626 0.87912088 0.88791209 0.84395604]";82.6$\pm$1.35;"[0.85164835 0.83296703 0.82417582 0.82967033 0.83516484 0.80989011
 0.81428571 0.83296703 0.82747253 0.8021978 ]";85.38$\pm$1.57;"[0.86263736 0.83406593 0.87472527 0.83296703 0.85494505 0.85714286
 0.84945055 0.85824176 0.88021978 0.83406593]";83.08$\pm$3.74;"[0.8        0.81648352 0.87362637 0.85604396 0.82747253 0.83406593
 0.81758242 0.87802198 0.85824176 0.74615385]";83.67$\pm$1.6;"[0.82637363 0.82087912 0.85604396 0.83076923 0.81978022 0.83296703
 0.83076923 0.87472527 0.84065934 0.83406593]";88.26$\pm$1.49;"[0.88901099 0.86593407 0.9        0.8967033  0.87582418 0.86923077
 0.87802198 0.87472527 0.91098901 0.86593407]";85.65$\pm$1.64;"[0.84945055 0.84395604 0.85274725 0.84175824 0.8978022  0.85384615
 0.83736264 0.85714286 0.86373626 0.86703297]";83.81$\pm$1.29;"[0.83956044 0.83516484 0.83516484 0.82417582 0.86043956 0.84835165
 0.82197802 0.85274725 0.84395604 0.81978022]";84.29$\pm$2.59;"[0.86263736 0.84505495 0.85164835 0.84175824 0.8956044  0.82307692
 0.8010989  0.81318681 0.86153846 0.83296703]";88.32$\pm$0.87;"[0.89010989 0.88351648 0.8956044  0.88351648 0.88571429 0.87362637
 0.87802198 0.88131868 0.89450549 0.86593407]";84.37$\pm$1.37;"[0.84835165 0.83186813 0.83516484 0.83846154 0.86483516 0.82967033
 0.84065934 0.84945055 0.87032967 0.82857143]";83.98$\pm$1.81;"[0.84285714 0.82637363 0.85054945 0.85494505 0.87912088 0.82197802
 0.83846154 0.82087912 0.84505495 0.81758242]";93.13$\pm$0.88;"[0.92527473 0.93186813 0.93736264 0.94505495 0.93296703 0.92417582
 0.91538462 0.92527473 0.93186813 0.94395604]"
ROCAUC;90.38$\pm$0.59;"[0.91559957 0.90409733 0.90252179 0.89422896 0.90162118 0.90687477
 0.90749064 0.9087743  0.89851062 0.89784446]";94.42$\pm$0.58;"[0.94869822 0.94540152 0.95013842 0.94634102 0.9375323  0.94282695
 0.93421326 0.94204685 0.95446874 0.93998792]";93.48$\pm$1.4;"[0.9488371  0.92461901 0.93777367 0.94207946 0.93487079 0.94948678
 0.95416616 0.9309721  0.91397261 0.9113694 ]";91.52$\pm$0.56;"[0.92175341 0.90309021 0.91879012 0.9172926  0.91472588 0.91739766
 0.92256853 0.9089168  0.91414064 0.91366985]";93.54$\pm$0.54;"[0.94686753 0.93496921 0.93128302 0.94061949 0.93521374 0.93259872
 0.93507306 0.93923801 0.93181857 0.92644246]";94.35$\pm$0.69;"[0.94793745 0.94508876 0.95015293 0.94341142 0.94695387 0.93058085
 0.93014853 0.95036952 0.94651048 0.94414745]";73.75$\pm$1.17;"[0.75175945 0.71960995 0.72972957 0.7474363  0.74374351 0.73484
 0.73469025 0.75677334 0.73517934 0.72164956]";94.56$\pm$0.56;"[0.95494989 0.93870185 0.9490093  0.94782635 0.95362094 0.94515155
 0.93873385 0.9463211  0.94266734 0.93917039]";73.63$\pm$1.49;"[0.73418548 0.71534477 0.73436454 0.7519261  0.75089844 0.7080256
 0.74049752 0.75799903 0.73258018 0.7371501 ]";97.24$\pm$0.42;"[0.97336071 0.96256732 0.97771975 0.97039005 0.97121543 0.9758761
 0.97145091 0.97656442 0.97547722 0.96964859]";93.87$\pm$0.67;"[0.94938051 0.93772733 0.93933316 0.94544379 0.93939198 0.92387755
 0.93471924 0.94348871 0.94044295 0.93368796]";94.75$\pm$1.16;"[0.9677382  0.94331119 0.94191298 0.94405869 0.93790786 0.9695544
 0.95471561 0.93912571 0.9384422  0.93832267]";95.79$\pm$0.37;"[0.96471199 0.95520106 0.9592101  0.95869098 0.96045345 0.96151914
 0.95629634 0.95552107 0.9508408  0.9564497 ]";94.73$\pm$0.54;"[0.95298998 0.94069195 0.94939978 0.95441855 0.94703116 0.94938896
 0.935032   0.94615747 0.94972014 0.94815602]";95.46$\pm$0.27;"[0.95513102 0.95171598 0.95746805 0.95685787 0.95607475 0.95593648
 0.94893008 0.95453568 0.95724561 0.95198044]";73.63$\pm$1.49;"[0.73418548 0.71534477 0.73436454 0.7519261  0.75089844 0.7080256
 0.74049752 0.75799903 0.73258018 0.7371501 ]";95.2$\pm$0.38;"[0.95085014 0.94950368 0.95456848 0.95741456 0.95247011 0.95227267
 0.94373023 0.95596788 0.95453161 0.94842652]";96.96$\pm$0.44;"[0.97498249 0.96707161 0.96909779 0.97856539 0.97178904 0.96717667
 0.96324236 0.96897355 0.97069839 0.96487018]";94.14$\pm$1.01;"[0.94605362 0.94163024 0.94442631 0.95467093 0.92032544 0.94372419
 0.94472648 0.95394759 0.93533167 0.9290128 ]";94.48$\pm$0.51;"[0.95526506 0.93943847 0.94508154 0.94123174 0.94778348 0.94737351
 0.94102886 0.94454293 0.94937681 0.93698225]";93.47$\pm$0.54;"[0.9445695  0.93835165 0.93580314 0.93770921 0.93315481 0.93355271
 0.92850622 0.9358918  0.93584545 0.92371332]";93.95$\pm$0.61;"[0.94376042 0.9321652  0.94409749 0.93215795 0.93476331 0.94563579
 0.93559111 0.9477394  0.94589635 0.93325685]";93.59$\pm$0.94;"[0.93012559 0.93435334 0.94862003 0.94462867 0.93350743 0.93376887
 0.93022099 0.94881778 0.93906358 0.91634766]";93.76$\pm$0.67;"[0.93479048 0.9309081  0.94925591 0.94390895 0.92503381 0.94300568
 0.93273638 0.93814757 0.93801908 0.93999396]";94.45$\pm$1.08;"[0.94975969 0.93084289 0.95248855 0.95751479 0.92626192 0.93514551
 0.94396087 0.94913416 0.96015547 0.93956044]";94.54$\pm$0.38;"[0.94908224 0.94228354 0.94178484 0.94804251 0.95065511 0.9432013
 0.93832025 0.94431953 0.9486031  0.94774544]";93.76$\pm$0.61;"[0.94631445 0.92928753 0.93327651 0.936975   0.94506944 0.94385461
 0.93306968 0.94241034 0.9359869  0.92969327]";92.73$\pm$0.93;"[0.92806666 0.9291716  0.93070153 0.93111943 0.9445387  0.9145538
 0.91160005 0.92714406 0.93589864 0.91972346]";94.52$\pm$0.56;"[0.95396933 0.94497887 0.94860915 0.93933824 0.94991366 0.93794952
 0.9376911  0.94614419 0.95220324 0.9414491 ]";93.5$\pm$0.6;"[0.93605241 0.93075112 0.93069428 0.93370728 0.94779435 0.93295979
 0.9322618  0.93824659 0.94194079 0.925573  ]";93.45$\pm$0.75;"[0.93018597 0.93250332 0.94221037 0.93427002 0.94918186 0.93452119
 0.93513223 0.92769714 0.93904303 0.920477  ]";96.87$\pm$0.39;"[0.96808356 0.96313247 0.97480506 0.97256853 0.97188021 0.9696027
 0.96154329 0.96783722 0.96674645 0.97089723]"
