metrics;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;45.81$\pm$1.23;"[0.47582418 0.43846154 0.45164835 0.45494505 0.46813187 0.45934066
 0.44945055 0.47582418 0.46483516 0.44285714]";78.13$\pm$2.9;"[0.80769231 0.77362637 0.8021978  0.81318681 0.76813187 0.78351648
 0.71208791 0.79010989 0.80549451 0.75714286]";66.96$\pm$5.3;"[0.63626374 0.67362637 0.75604396 0.71098901 0.67252747 0.6
 0.59230769 0.67692308 0.74395604 0.63296703]";71.82$\pm$1.5;"[0.73076923 0.71098901 0.71758242 0.74945055 0.73186813 0.7010989
 0.7010989  0.72197802 0.7021978  0.71538462]";45.81$\pm$1.23;"[0.47582418 0.43846154 0.45164835 0.45494505 0.46813187 0.45934066
 0.44945055 0.47582418 0.46483516 0.44285714]";61.88$\pm$3.13;"[0.62637363 0.5956044  0.69340659 0.5989011  0.60769231 0.63626374
 0.5989011  0.61538462 0.64065934 0.57472527]";68.84$\pm$2.41;"[0.66153846 0.65054945 0.70769231 0.69230769 0.67362637 0.6989011
 0.66043956 0.70879121 0.72747253 0.7021978 ]";53.0$\pm$2.43;"[0.54065934 0.56153846 0.52857143 0.56263736 0.54065934 0.49450549
 0.51538462 0.53406593 0.53736264 0.48461538]";67.27$\pm$5.77;"[0.7        0.61868132 0.68791209 0.74615385 0.62967033 0.66373626
 0.59010989 0.65934066 0.79120879 0.64065934]";68.88$\pm$4.13;"[0.71318681 0.68021978 0.66703297 0.74725275 0.73626374 0.63626374
 0.63736264 0.73626374 0.6956044  0.63846154]";63.13$\pm$2.9;"[0.66483516 0.63626374 0.61208791 0.64505495 0.65604396 0.57802198
 0.60879121 0.63516484 0.67472527 0.6021978 ]";62.12$\pm$3.87;"[0.65824176 0.61538462 0.63626374 0.61428571 0.63076923 0.65494505
 0.56043956 0.58021978 0.68791209 0.57362637]";45.81$\pm$1.23;"[0.47582418 0.43846154 0.45164835 0.45494505 0.46813187 0.45934066
 0.44945055 0.47582418 0.46483516 0.44285714]";61.77$\pm$4.61;"[0.67142857 0.6        0.56043956 0.64065934 0.59010989 0.6021978
 0.56593407 0.63736264 0.71538462 0.59340659]";66.91$\pm$2.52;"[0.68681319 0.67912088 0.68241758 0.66593407 0.64505495 0.69120879
 0.65714286 0.66153846 0.70769231 0.61428571]";65.8$\pm$2.65;"[0.7        0.65714286 0.66153846 0.64945055 0.62307692 0.65824176
 0.61428571 0.7032967  0.65604396 0.65714286]";64.69$\pm$3.05;"[0.64725275 0.64945055 0.60989011 0.66593407 0.62197802 0.63186813
 0.65274725 0.6989011  0.69010989 0.6010989 ]";55.26$\pm$3.99;"[0.57802198 0.58791209 0.53296703 0.6        0.55164835 0.52637363
 0.48351648 0.56813187 0.6021978  0.4956044 ]";62.34$\pm$2.3;"[0.60989011 0.60549451 0.63076923 0.66153846 0.66263736 0.60879121
 0.62307692 0.63406593 0.60879121 0.58901099]";68.57$\pm$2.89;"[0.73626374 0.61538462 0.6989011  0.69120879 0.68131868 0.67692308
 0.67252747 0.7043956  0.69010989 0.69010989]";62.54$\pm$3.02;"[0.63516484 0.56373626 0.60989011 0.60549451 0.65824176 0.61978022
 0.62747253 0.63186813 0.68351648 0.61868132]";75.21$\pm$3.25;"[0.78241758 0.69010989 0.76153846 0.73186813 0.76483516 0.71208791
 0.72967033 0.79120879 0.78571429 0.77142857]";66.3$\pm$3.04;"[0.7021978  0.62197802 0.7021978  0.67802198 0.62967033 0.64175824
 0.64395604 0.70549451 0.66373626 0.64065934]";65.62$\pm$1.91;"[0.66703297 0.65274725 0.67252747 0.62857143 0.65054945 0.67032967
 0.61978022 0.65604396 0.68681319 0.65714286]";59.15$\pm$3.95;"[0.63516484 0.51648352 0.63186813 0.6010989  0.57912088 0.58571429
 0.54835165 0.56703297 0.65164835 0.5989011 ]";70.71$\pm$2.77;"[0.70769231 0.70769231 0.71538462 0.72527473 0.75054945 0.7043956
 0.64065934 0.73186813 0.69450549 0.69340659]";66.21$\pm$4.21;"[0.72087912 0.64945055 0.65714286 0.68901099 0.64945055 0.67912088
 0.66703297 0.67142857 0.68571429 0.55164835]"
Hits@50;47.44$\pm$1.43;"[0.49340659 0.45714286 0.46153846 0.47472527 0.49010989 0.46923077
 0.47032967 0.49340659 0.48241758 0.45164835]";86.33$\pm$1.81;"[0.88351648 0.85494505 0.86373626 0.88791209 0.87142857 0.86483516
 0.82527473 0.87582418 0.86483516 0.84065934]";79.46$\pm$3.19;"[0.78681319 0.8010989  0.84505495 0.81208791 0.79340659 0.77472527
 0.74175824 0.77802198 0.84835165 0.76483516]";80.49$\pm$1.7;"[0.8032967  0.80659341 0.83076923 0.83186813 0.80879121 0.8032967
 0.77252747 0.80879121 0.78681319 0.7967033 ]";47.44$\pm$1.43;"[0.49340659 0.45714286 0.46153846 0.47472527 0.49010989 0.46923077
 0.47032967 0.49340659 0.48241758 0.45164835]";72.35$\pm$1.93;"[0.73296703 0.70769231 0.77142857 0.7043956  0.71318681 0.73736264
 0.71428571 0.71098901 0.73076923 0.71208791]";77.56$\pm$1.56;"[0.75494505 0.77582418 0.78461538 0.76593407 0.77362637 0.76703297
 0.78131868 0.78901099 0.80879121 0.75494505]";66.54$\pm$3.18;"[0.71098901 0.65824176 0.64615385 0.72197802 0.66483516 0.61208791
 0.64505495 0.69010989 0.66153846 0.64285714]";81.19$\pm$2.73;"[0.82747253 0.79450549 0.82307692 0.83296703 0.7978022  0.81648352
 0.75164835 0.82307692 0.85714286 0.79450549]";80.7$\pm$1.82;"[0.8        0.8010989  0.78131868 0.84615385 0.82087912 0.79340659
 0.78901099 0.82307692 0.81428571 0.8010989 ]";78.43$\pm$2.24;"[0.79010989 0.76703297 0.75824176 0.81978022 0.77692308 0.80659341
 0.77252747 0.79230769 0.81098901 0.74835165]";75.95$\pm$2.7;"[0.72967033 0.75054945 0.78791209 0.78351648 0.76043956 0.78901099
 0.74835165 0.75494505 0.78681319 0.7032967 ]";47.44$\pm$1.43;"[0.49340659 0.45714286 0.46153846 0.47472527 0.49010989 0.46923077
 0.47032967 0.49340659 0.48241758 0.45164835]";77.66$\pm$2.44;"[0.79230769 0.76703297 0.78791209 0.78021978 0.74505495 0.77692308
 0.76373626 0.77362637 0.83406593 0.74505495]";80.91$\pm$1.72;"[0.8043956  0.81868132 0.83846154 0.81648352 0.80879121 0.81978022
 0.78571429 0.78571429 0.82527473 0.78791209]";75.95$\pm$1.76;"[0.77582418 0.75824176 0.76923077 0.76483516 0.74835165 0.77912088
 0.72527473 0.78021978 0.75824176 0.73516484]";78.05$\pm$1.37;"[0.77252747 0.75714286 0.80549451 0.77362637 0.79450549 0.77802198
 0.76923077 0.79230769 0.78901099 0.77362637]";70.07$\pm$1.89;"[0.7        0.7032967  0.71648352 0.6978022  0.68681319 0.69230769
 0.6956044  0.72857143 0.72527473 0.66043956]";76.84$\pm$2.21;"[0.76153846 0.76153846 0.7967033  0.76373626 0.79230769 0.77582418
 0.74505495 0.8010989  0.75714286 0.72857143]";79.54$\pm$1.92;"[0.82197802 0.75604396 0.80659341 0.81428571 0.77582418 0.8
 0.78241758 0.78461538 0.80879121 0.8032967 ]";74.33$\pm$2.53;"[0.73846154 0.6978022  0.76923077 0.70989011 0.76043956 0.75384615
 0.71538462 0.75384615 0.77472527 0.75934066]";82.63$\pm$1.34;"[0.85274725 0.81758242 0.83516484 0.81648352 0.82747253 0.80659341
 0.80989011 0.83186813 0.83846154 0.82637363]";76.91$\pm$1.3;"[0.78681319 0.75164835 0.77582418 0.75494505 0.76923077 0.76923077
 0.76263736 0.7956044  0.76483516 0.76043956]";77.52$\pm$1.94;"[0.82087912 0.76483516 0.78351648 0.75714286 0.75164835 0.77252747
 0.77142857 0.77472527 0.79450549 0.76043956]";70.26$\pm$1.77;"[0.72527473 0.72747253 0.73406593 0.69450549 0.68571429 0.6967033
 0.68901099 0.68901099 0.6967033  0.68791209]";79.3$\pm$1.82;"[0.81538462 0.7967033  0.80879121 0.78351648 0.80769231 0.79010989
 0.75164835 0.8021978  0.8        0.77362637]";76.29$\pm$1.89;"[0.80549451 0.76813187 0.77032967 0.77692308 0.73736264 0.76483516
 0.75384615 0.74835165 0.76373626 0.73956044]"
Hits@100;50.66$\pm$1.38;"[0.52417582 0.48241758 0.49450549 0.4989011  0.52197802 0.5021978
 0.50659341 0.52857143 0.50769231 0.4989011 ]";91.27$\pm$1.09;"[0.92307692 0.91538462 0.91978022 0.92197802 0.91208791 0.91208791
 0.88241758 0.91098901 0.91208791 0.91758242]";87.98$\pm$2.33;"[0.87032967 0.88681319 0.90879121 0.8978022  0.87802198 0.84835165
 0.83846154 0.9010989  0.90549451 0.86263736]";87.22$\pm$1.06;"[0.88131868 0.88021978 0.87802198 0.88571429 0.86593407 0.88021978
 0.85714286 0.87142857 0.87032967 0.85164835]";50.66$\pm$1.38;"[0.52417582 0.48241758 0.49450549 0.4989011  0.52197802 0.5021978
 0.50659341 0.52857143 0.50769231 0.4989011 ]";80.1$\pm$1.26;"[0.81428571 0.77802198 0.81868132 0.80989011 0.79450549 0.79450549
 0.80879121 0.7978022  0.80879121 0.78461538]";84.66$\pm$1.27;"[0.82197802 0.84945055 0.85604396 0.84065934 0.84615385 0.86043956
 0.84945055 0.85494505 0.86043956 0.82637363]";75.8$\pm$2.09;"[0.78681319 0.73846154 0.76373626 0.77912088 0.76593407 0.73406593
 0.74725275 0.78131868 0.76263736 0.72087912]";89.69$\pm$1.35;"[0.9032967  0.88901099 0.8967033  0.90989011 0.90769231 0.89340659
 0.86813187 0.90879121 0.91098901 0.88131868]";88.4$\pm$0.94;"[0.86813187 0.88791209 0.88571429 0.9021978  0.87912088 0.87912088
 0.88131868 0.8967033  0.88351648 0.87582418]";88.07$\pm$0.81;"[0.88241758 0.87802198 0.87472527 0.89120879 0.87252747 0.88131868
 0.87252747 0.88571429 0.8967033  0.87142857]";86.87$\pm$1.49;"[0.85714286 0.85604396 0.87032967 0.87802198 0.86483516 0.88681319
 0.84835165 0.88241758 0.89230769 0.85054945]";50.66$\pm$1.38;"[0.52417582 0.48241758 0.49450549 0.4989011  0.52197802 0.5021978
 0.50659341 0.52857143 0.50769231 0.4989011 ]";88.23$\pm$1.7;"[0.89230769 0.85714286 0.89120879 0.8978022  0.87802198 0.8989011
 0.86373626 0.87252747 0.90879121 0.86263736]";88.97$\pm$1.51;"[0.9010989  0.8967033  0.8978022  0.89120879 0.87692308 0.88021978
 0.87912088 0.87912088 0.92417582 0.87032967]";83.46$\pm$0.88;"[0.84835165 0.82747253 0.83626374 0.82527473 0.81648352 0.84175824
 0.83406593 0.83626374 0.84065934 0.83956044]";86.07$\pm$1.14;"[0.83846154 0.84945055 0.86263736 0.85934066 0.88241758 0.86923077
 0.85604396 0.86923077 0.85604396 0.86373626]";82.09$\pm$1.31;"[0.8010989  0.82527473 0.84395604 0.81868132 0.82857143 0.81978022
 0.80659341 0.83516484 0.82527473 0.8043956 ]";85.87$\pm$1.31;"[0.86043956 0.84505495 0.88021978 0.85714286 0.85274725 0.86263736
 0.83626374 0.88021978 0.85164835 0.86043956]";87.11$\pm$1.46;"[0.88901099 0.84835165 0.88791209 0.89340659 0.85494505 0.85934066
 0.87252747 0.86813187 0.87582418 0.86153846]";83.43$\pm$1.62;"[0.84505495 0.82747253 0.84615385 0.79450549 0.83956044 0.84065934
 0.82307692 0.85494505 0.82857143 0.84285714]";87.13$\pm$1.02;"[0.89120879 0.85274725 0.87142857 0.86263736 0.88571429 0.87142857
 0.86923077 0.87032967 0.87142857 0.86703297]";83.04$\pm$0.95;"[0.82967033 0.83516484 0.84945055 0.82087912 0.83186813 0.82197802
 0.82857143 0.84395604 0.82307692 0.81978022]";84.76$\pm$2.31;"[0.9        0.81978022 0.87362637 0.83956044 0.82637363 0.83736264
 0.84505495 0.85714286 0.84945055 0.82747253]";78.6$\pm$2.06;"[0.82637363 0.77802198 0.81978022 0.76043956 0.77802198 0.78241758
 0.79120879 0.77912088 0.76153846 0.78351648]";85.13$\pm$1.13;"[0.87362637 0.83956044 0.86263736 0.84725275 0.85824176 0.84395604
 0.83186813 0.85054945 0.85274725 0.85274725]";82.79$\pm$1.32;"[0.85054945 0.81978022 0.82637363 0.85384615 0.82417582 0.81758242
 0.82087912 0.83406593 0.81538462 0.81648352]"
ROCAUC;72.19$\pm$1.21;"[0.72497645 0.70835527 0.7179197  0.72962927 0.73962203 0.69489192
 0.72384374 0.73424949 0.72406823 0.72153242]";96.34$\pm$0.47;"[0.96834803 0.96061104 0.9658434  0.96852313 0.96658314 0.96369521
 0.95248158 0.9655899  0.96303872 0.95915952]";95.02$\pm$0.84;"[0.95392344 0.95494747 0.96028724 0.95570221 0.94977237 0.93683492
 0.93468905 0.95031639 0.96035252 0.94547881]";94.85$\pm$0.4;"[0.95144548 0.94844101 0.95453161 0.95076319 0.94745381 0.94786499
 0.94463954 0.95176307 0.9486841  0.93940828]";72.19$\pm$1.21;"[0.72497645 0.70835527 0.7179197  0.72962927 0.73962203 0.69489192
 0.72384374 0.73424949 0.72406823 0.72153242]";91.55$\pm$0.72;"[0.92421809 0.90392223 0.92309264 0.92017027 0.91277563 0.91539428
 0.91672141 0.92352977 0.91123079 0.90377974]";93.81$\pm$0.3;"[0.93732037 0.93771767 0.94024831 0.93377611 0.93820493 0.93726603
 0.9377708  0.94185243 0.94323553 0.93338848]";89.59$\pm$0.87;"[0.90861007 0.89510446 0.89776351 0.90743268 0.89889204 0.89338848
 0.89150103 0.89816447 0.89191842 0.87584954]";95.81$\pm$0.48;"[0.96320372 0.95379302 0.95836144 0.96156382 0.95814334 0.95637604
 0.95089965 0.96006883 0.96695922 0.95188323]";95.34$\pm$0.34;"[0.95260355 0.95469871 0.95263724 0.96032122 0.95339874 0.95178964
 0.9512414  0.95673228 0.9537579  0.94650405]";95.32$\pm$0.33;"[0.95655959 0.95141529 0.95448325 0.95718875 0.95333233 0.95032122
 0.94729501 0.95597271 0.9558324  0.9491076 ]";94.87$\pm$0.41;"[0.9516725  0.94588335 0.94893555 0.94976452 0.94792356 0.95104094
 0.94585557 0.94897838 0.95680799 0.94035503]";72.19$\pm$1.21;"[0.72497645 0.70835527 0.7179197  0.72962927 0.73962203 0.69489192
 0.72384374 0.73424949 0.72406823 0.72153242]";95.28$\pm$0.48;"[0.96059051 0.9485352  0.95111401 0.95490883 0.95344101 0.95455984
 0.94922352 0.95146842 0.96019173 0.94417945]";95.7$\pm$0.39;"[0.96158918 0.95919877 0.95812208 0.95554402 0.95546854 0.95738196
 0.94965705 0.95533812 0.9640119  0.95321942]";93.29$\pm$0.35;"[0.93637966 0.93410277 0.92758254 0.93377853 0.93008272 0.93675643
 0.92930564 0.93703538 0.93546706 0.92843497]";94.43$\pm$0.24;"[0.94089482 0.94037918 0.94644036 0.94616834 0.94779193 0.94305519
 0.94365656 0.94685907 0.94275197 0.94461055]";93.71$\pm$0.51;"[0.94186089 0.93545707 0.94100993 0.94441734 0.93466671 0.93634947
 0.92942157 0.94049994 0.93966441 0.9277865 ]";94.78$\pm$0.36;"[0.94811255 0.94612849 0.95395737 0.95077768 0.94702995 0.94943244
 0.94127883 0.95171477 0.94527376 0.94426277]";94.63$\pm$0.34;"[0.95066176 0.9409081  0.95142954 0.95043231 0.94523669 0.94264944
 0.94542205 0.94445478 0.94799381 0.94402246]";92.81$\pm$1.02;"[0.93790726 0.92664896 0.94070891 0.91241275 0.92483577 0.91261683
 0.92180171 0.94213139 0.92745016 0.93447047]";94.12$\pm$0.61;"[0.95522884 0.93581331 0.94636661 0.93725275 0.94626192 0.93774786
 0.93515517 0.94244415 0.93956286 0.93641348]";92.52$\pm$0.62;"[0.9315771  0.92471924 0.92786542 0.92404903 0.92543533 0.92278469
 0.92142253 0.93477358 0.92832844 0.91070463]";93.7$\pm$0.84;"[0.9552711  0.9321821  0.94462699 0.93155658 0.93323089 0.92852313
 0.92875981 0.94303224 0.94230709 0.93055066]";90.53$\pm$0.76;"[0.92065572 0.90121724 0.91669266 0.89932979 0.89755283 0.90401763
 0.91001811 0.90521193 0.8984405  0.90035865]";93.61$\pm$0.53;"[0.94305277 0.93340659 0.94091079 0.93724792 0.94290967 0.93248641
 0.92487864 0.9322449  0.93804446 0.93545405]";91.62$\pm$0.69;"[0.92451757 0.91926217 0.91680025 0.92314696 0.91157892 0.9160826
 0.91616954 0.92433643 0.9081529  0.90210844]"
AP;79.4$\pm$0.81;"[0.80094733 0.78348283 0.79005286 0.79697797 0.8045957  0.78011115
 0.79311987 0.80601355 0.79495468 0.78945251]";96.89$\pm$0.43;"[0.97349836 0.9667432  0.97154492 0.97443102 0.97083632 0.96906754
 0.95957808 0.97046753 0.96966067 0.96344044]";95.39$\pm$0.79;"[0.95422404 0.95747565 0.96455377 0.95968907 0.95460457 0.94268829
 0.93881157 0.95333899 0.96330369 0.95012852]";95.62$\pm$0.36;"[0.95780608 0.95560262 0.96065545 0.96103274 0.95510361 0.95556907
 0.95151712 0.95920023 0.95621637 0.94912074]";79.4$\pm$0.81;"[0.80094733 0.78348283 0.79005286 0.79697797 0.8045957  0.78011115
 0.79311987 0.80601355 0.79495468 0.78945251]";92.88$\pm$0.55;"[0.93330472 0.91984488 0.93700186 0.93265223 0.92664266 0.93108707
 0.92716145 0.93361261 0.92713816 0.91953338]";94.74$\pm$0.31;"[0.94494608 0.94601538 0.95015493 0.94606767 0.94708826 0.94686142
 0.94441051 0.95284228 0.95212532 0.94307866]";91.04$\pm$0.8;"[0.92040881 0.91114181 0.91198413 0.92398157 0.91082927 0.90820095
 0.9024306  0.91266576 0.90917384 0.89356658]";95.92$\pm$0.55;"[0.96546664 0.95552931 0.96006216 0.96527029 0.95673165 0.9585598
 0.95085441 0.95719164 0.9692125  0.95350643]";95.75$\pm$0.42;"[0.95746156 0.95894338 0.95647324 0.96641045 0.95868969 0.95332275
 0.9530347  0.96135918 0.95806914 0.95150348]";95.38$\pm$0.34;"[0.95738166 0.95312719 0.95315824 0.95914739 0.95451407 0.95076497
 0.94758471 0.95560517 0.95661041 0.95012797]";95.0$\pm$0.44;"[0.95367661 0.94825551 0.9515454  0.95131831 0.9497951  0.9531914
 0.94407989 0.94721475 0.95783679 0.94259056]";79.4$\pm$0.81;"[0.80094733 0.78348283 0.79005286 0.79697797 0.8045957  0.78011115
 0.79311987 0.80601355 0.79495468 0.78945251]";95.3$\pm$0.53;"[0.96176167 0.94802953 0.95070992 0.95619008 0.95138539 0.95385894
 0.9483237  0.95109755 0.96248137 0.94650034]";95.81$\pm$0.44;"[0.96389075 0.96076293 0.95978498 0.9600864  0.95703447 0.95849857
 0.94930732 0.95450271 0.96375454 0.95353147]";94.28$\pm$0.36;"[0.94744131 0.94323761 0.94125014 0.94204125 0.93968787 0.94620299
 0.93604203 0.94741497 0.94575426 0.93942558]";94.98$\pm$0.23;"[0.94765519 0.94586827 0.95143085 0.95188681 0.9518807  0.94923949
 0.9476962  0.95327769 0.95112336 0.94773441]";93.81$\pm$0.59;"[0.94276909 0.93979389 0.94112344 0.94565397 0.93567631 0.93715774
 0.92755849 0.94119751 0.94239502 0.92779202]";94.98$\pm$0.35;"[0.94911558 0.94893855 0.95620265 0.95314767 0.95007489 0.95131728
 0.94389454 0.95230385 0.94744253 0.94523721]";95.34$\pm$0.38;"[0.95900572 0.9466956  0.95745012 0.95763692 0.95190895 0.95044485
 0.94934445 0.95479719 0.95498475 0.95142231]";93.85$\pm$0.62;"[0.94646697 0.93396487 0.94552731 0.92956606 0.93885668 0.9333156
 0.93067161 0.94665952 0.93754374 0.9423175 ]";95.34$\pm$0.47;"[0.9638281  0.94860235 0.9575115  0.9527324  0.95613087 0.95137024
 0.94680901 0.954401   0.95278604 0.94958038]";93.87$\pm$0.47;"[0.94388502 0.93662414 0.94328809 0.9384041  0.93822123 0.93897939
 0.93458318 0.9455384  0.93938688 0.92857005]";94.52$\pm$0.62;"[0.95937725 0.94188998 0.9510831  0.94264768 0.93971665 0.94012713
 0.9386864  0.9467863  0.94980095 0.94159585]";92.26$\pm$0.53;"[0.93388521 0.91678589 0.93095257 0.91989672 0.9176783  0.92331277
 0.92075    0.92106731 0.92127913 0.92032048]";94.85$\pm$0.46;"[0.95448505 0.94510808 0.95253593 0.95087302 0.95272982 0.94603614
 0.93797134 0.94777179 0.95070512 0.94683837]";93.41$\pm$0.59;"[0.94391085 0.93543738 0.93422401 0.9406617  0.93015473 0.93405164
 0.93308926 0.93699924 0.93109198 0.92116944]"
pretrain_time;nan$\pm$nan;[];14.78$\pm$0.07;"[14.83215451 14.83674526 14.87287402 14.82321787 14.76168776 14.71932912
 14.68532515 14.7706182  14.80784917 14.65087938]";15.6$\pm$0.3;"[15.60414052 15.21837974 15.80722427 15.40608168 15.40093541 16.01619601
 15.08140182 15.8353045  15.69749475 15.94805598]";19.32$\pm$0.28;"[19.12580514 19.22888184 19.23546028 19.22932458 20.04231954 19.59496856
 19.25885797 19.33368063 19.10134745 19.02017522]";nan$\pm$nan;[];53.42$\pm$0.75;"[54.33880329 53.02317071 52.8643055  53.33837843 52.96547008 52.4262991
 53.64806414 54.88601375 54.05479431 52.68740082]";59.61$\pm$0.71;"[58.59992838 59.20419431 61.31950903 59.72966504 59.75140715 60.11808562
 59.88595319 59.02994633 59.23542237 59.24052882]";2.46$\pm$0.01;"[2.45261884 2.45551753 2.46214461 2.45640397 2.45641279 2.44464946
 2.42970419 2.45653462 2.4746623  2.47081661]";1.35$\pm$0.13;"[1.36023092 1.26018381 1.59073424 1.29423976 1.2350347  1.29559803
 1.30656338 1.24607801 1.59218359 1.33188701]";57.9$\pm$1.31;"[56.82017541 56.81293082 56.4553628  57.41085649 57.26746535 61.02375627
 59.07283115 58.68373775 58.0918045  57.36462331]";4.25$\pm$0.2;"[4.03187108 4.10589623 4.1640687  4.10341954 4.78213668 4.32500029
 4.27998137 4.1033175  4.33163619 4.22536039]";3.07$\pm$0.03;"[3.08485436 3.06969213 3.09682989 3.02846456 3.02951336 3.09570909
 3.06577301 3.04221153 3.14901781 3.0550735 ]";nan$\pm$nan;[];3.19$\pm$0.05;"[3.29128861 3.27166319 3.17917991 3.14476705 3.17080736 3.11534858
 3.21661067 3.13208175 3.18484974 3.18640494]";1.42$\pm$0.1;"[1.54043651 1.34402633 1.45952463 1.36680698 1.5077374  1.31576705
 1.31226873 1.3056109  1.56545043 1.45570374]";2.6$\pm$0.04;"[2.63822675 2.6158793  2.52098513 2.56693101 2.61165571 2.59907842
 2.601197   2.59815025 2.59992433 2.67212248]";134.82$\pm$1.78;"[131.88896918 134.28064775 133.03602409 134.33467221 137.5448606
 138.10443544 134.60769653 135.67171741 134.34372973 134.43412328]";64.67$\pm$1.12;"[64.15383768 66.357687   63.45030332 63.34336495 62.95979238 65.63691783
 65.24250126 65.50282288 65.77883244 64.29134631]";23.23$\pm$0.64;"[24.26796722 23.7974453  23.57700133 24.20624614 22.91175795 22.7777431
 22.51519179 22.6209271  22.88184118 22.71092081]";58.79$\pm$0.73;"[58.5183661  57.60811257 59.91951776 59.43323731 59.62565136 58.61377192
 57.68134451 58.63090062 58.62830186 59.26292586]";40.17$\pm$0.35;"[40.54107189 40.71875119 40.3743453  40.37203956 40.31524301 39.64944959
 40.31300688 39.89055872 39.84906459 39.69735098]";9.07$\pm$0.05;"[9.15193105 9.06622982 9.01689291 9.11726022 9.08362198 9.08059716
 9.00675201 9.00299287 9.1062119  9.09711504]";62.01$\pm$0.76;"[61.65681219 63.38528538 61.88889217 62.54827785 62.51396751 61.83366632
 62.2052784  62.4776752  60.77903318 60.83091784]";61.63$\pm$0.96;"[61.31579924 61.44785118 62.35112596 62.43699002 61.23829007 60.17640233
 60.05973625 61.55482912 63.04662323 62.71287084]";4.02$\pm$0.05;"[4.10206032 4.09561563 4.01072764 4.03049922 4.01237583 3.97304177
 3.95966339 3.95985413 4.04758668 4.03215933]";63.12$\pm$0.9;"[62.200701   61.99275327 62.82790208 64.47651291 64.03161144 61.99115801
 63.86723042 63.06174302 62.5770371  64.14878225]";1.95$\pm$0.03;"[2.03275657 1.96219563 1.94902444 1.9507091  1.93471861 1.93039203
 1.93689156 1.91408181 1.93918943 1.93814731]"
