metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random
Hits@20;47.56$\pm$4.99;"[0.47788809 0.54535199 0.42452617 0.53655235 0.52707581 0.45679152
 0.40218863 0.49018502 0.40579874 0.48962094]";29.84$\pm$2.11;"[0.30370036 0.30212094 0.26195848 0.30674639 0.30279783 0.27865523
 0.27775271 0.33122744 0.32987365 0.28892148]";36.52$\pm$3.6;"[0.36969765 0.43355144 0.3238944  0.33348375 0.37849729 0.31723827
 0.3984657  0.39282491 0.37375903 0.33100181]";33.15$\pm$4.61;"[0.34724729 0.37409747 0.26319946 0.36112365 0.37387184 0.24514892
 0.28418321 0.35751354 0.36868231 0.33968863]";34.44$\pm$4.32;"[0.40297834 0.33427347 0.31577166 0.36202617 0.40309116 0.28643953
 0.29975181 0.3963222  0.34882671 0.29467509]";39.81$\pm$4.31;"[0.41685469 0.40918321 0.4588222  0.34837545 0.42678249 0.29772112
 0.39575812 0.4254287  0.39034296 0.41189079]";5.53$\pm$1.15;"[0.06024368 0.05527978 0.05640794 0.05234657 0.07660199 0.04208032
 0.06137184 0.06780235 0.0426444  0.03779332]";37.22$\pm$3.58;"[0.41595217 0.36191336 0.35108303 0.4368231  0.38289711 0.33427347
 0.35458032 0.41155235 0.34611913 0.32682762]";5.53$\pm$1.15;"[0.06024368 0.05527978 0.05640794 0.05234657 0.07660199 0.04208032
 0.06137184 0.06780235 0.0426444  0.03779332]";41.12$\pm$5.47;"[0.40523466 0.38199458 0.43546931 0.38447653 0.42734657 0.2784296
 0.46773466 0.48984657 0.40929603 0.43174639]";37.65$\pm$2.76;"[0.36416968 0.36518502 0.39564531 0.36597473 0.42858755 0.32513538
 0.4012861  0.36563628 0.39654783 0.35649819]";34.96$\pm$3.55;"[0.33258123 0.36247744 0.3863944  0.27324007 0.36428249 0.30099278
 0.39338899 0.35807762 0.35694946 0.36777978]";36.13$\pm$4.08;"[0.34002708 0.35018051 0.37409747 0.42238267 0.31656137 0.34104242
 0.40060921 0.34984206 0.42249549 0.29535199]";39.47$\pm$3.96;"[0.43569495 0.42159296 0.41944946 0.38402527 0.45182762 0.30606949
 0.38515343 0.40399368 0.36800542 0.37127708]";40.0$\pm$4.12;"[0.45024819 0.40647563 0.42982852 0.35333935 0.37172834 0.34420126
 0.46875    0.43152076 0.36383123 0.38018953]";32.14$\pm$4.82;"[0.35706227 0.36383123 0.2926444  0.36146209 0.25225632 0.24345668
 0.34149368 0.36518502 0.36586191 0.27041968]";48.64$\pm$5.01;"[0.48149819 0.4737139  0.46480144 0.566787   0.46559116 0.39508123
 0.49063628 0.57626354 0.49560018 0.4538583 ]";34.33$\pm$3.91;"[0.37364621 0.39192238 0.33461191 0.28542419 0.37466155 0.29918773
 0.40489621 0.32716606 0.30392599 0.33765794]"
Hits@50;66.78$\pm$2.81;"[0.63718412 0.68828971 0.63323556 0.67836191 0.70769404 0.61710289
 0.67418773 0.69979693 0.67272112 0.66956227]";46.97$\pm$2.03;"[0.45837094 0.48736462 0.44054603 0.47563177 0.48916968 0.42892599
 0.46717058 0.47969314 0.47563177 0.49458484]";55.86$\pm$3.0;"[0.55618231 0.54918773 0.5291065  0.54625451 0.58134025 0.49210289
 0.57096119 0.57806859 0.60243682 0.58055054]";52.88$\pm$2.55;"[0.56328971 0.54851083 0.51782491 0.54523917 0.50180505 0.47619585
 0.51150722 0.52809116 0.55099278 0.54411101]";55.87$\pm$2.52;"[0.59758574 0.53395758 0.51838899 0.5788583  0.58269404 0.53170126
 0.5511056  0.58641697 0.55561823 0.5511056 ]";59.36$\pm$2.43;"[0.57445848 0.59882671 0.60627256 0.58291968 0.64248646 0.54749549
 0.57333032 0.60694946 0.60401625 0.59972924]";10.79$\pm$0.95;"[0.11191336 0.11225181 0.10119585 0.10435469 0.12138989 0.10886733
 0.12093863 0.10852888 0.10221119 0.08743231]";57.77$\pm$1.8;"[0.5866426  0.59025271 0.57017148 0.59465253 0.58269404 0.55550542
 0.55121841 0.59104242 0.60243682 0.55200812]";10.79$\pm$0.95;"[0.11191336 0.11225181 0.10119585 0.10435469 0.12138989 0.10886733
 0.12093863 0.10852888 0.10221119 0.08743231]";65.41$\pm$2.72;"[0.63289711 0.60164711 0.67463899 0.67012635 0.67339801 0.6172157
 0.68716155 0.66516245 0.6754287  0.64282491]";58.73$\pm$2.93;"[0.61924639 0.57073556 0.58833484 0.57829422 0.64733755 0.52933213
 0.58348375 0.57479693 0.59623195 0.58495036]";53.97$\pm$3.82;"[0.52752708 0.526963   0.55810018 0.53260379 0.61044675 0.45904783
 0.57118682 0.55731047 0.50722022 0.54659296]";57.06$\pm$2.18;"[0.55437726 0.53226534 0.54738267 0.59679603 0.56238718 0.58359657
 0.57479693 0.57524819 0.60976986 0.56938177]";60.05$\pm$3.35;"[0.62973827 0.60458032 0.57773014 0.58980144 0.62443592 0.52312726
 0.629287   0.60243682 0.64429152 0.5795352 ]";59.5$\pm$2.81;"[0.61586191 0.57626354 0.62578971 0.58799639 0.61890794 0.52549639
 0.60221119 0.61653881 0.59860108 0.58201715]";52.24$\pm$2.83;"[0.55358755 0.51015343 0.49447202 0.54241877 0.54016245 0.51850181
 0.51398917 0.57118682 0.50879964 0.47032942]";68.65$\pm$2.88;"[0.6732852  0.6512861  0.68569495 0.72879061 0.69505866 0.62973827
 0.70216606 0.70837094 0.71694495 0.67396209]";52.52$\pm$2.86;"[0.54704422 0.54208032 0.50879964 0.48127256 0.53734206 0.4708935
 0.55550542 0.53181408 0.51895307 0.55843863]"
Hits@100;78.38$\pm$1.11;"[0.78170126 0.78768051 0.78328069 0.77075812 0.78982401 0.76105596
 0.78452166 0.78384477 0.79129061 0.80449007]";61.47$\pm$1.71;"[0.59566787 0.59611913 0.60345217 0.62657942 0.63052798 0.58404783
 0.62962545 0.63255866 0.62815884 0.6200361 ]";70.28$\pm$2.17;"[0.66516245 0.71040162 0.69584838 0.69122292 0.71875    0.66933664
 0.70983755 0.73995939 0.71209386 0.71525271]";65.9$\pm$1.23;"[0.65952166 0.65760379 0.66516245 0.65805505 0.67587996 0.63086643
 0.64564531 0.67136733 0.66662906 0.65884477]";71.26$\pm$2.35;"[0.72901625 0.68795126 0.67475181 0.70532491 0.75834838 0.68795126
 0.72766245 0.72833935 0.71220668 0.71412455]";72.23$\pm$1.71;"[0.70893502 0.72879061 0.73194946 0.72292419 0.73883123 0.67847473
 0.7166065  0.72540614 0.73702617 0.73454422]";18.89$\pm$1.91;"[0.21468863 0.18061823 0.17035199 0.15568592 0.20002256 0.21435018
 0.20182762 0.19314079 0.19167419 0.16629061]";72.2$\pm$2.11;"[0.73273917 0.69584838 0.73104693 0.71322202 0.74210289 0.67531588
 0.72078069 0.72190884 0.74097473 0.74560018]";18.89$\pm$1.91;"[0.21468863 0.18061823 0.17035199 0.15568592 0.20002256 0.21435018
 0.20182762 0.19314079 0.19167419 0.16629061]";79.05$\pm$1.39;"[0.7905009  0.77064531 0.79557762 0.79365975 0.8053926  0.75812274
 0.80234657 0.79805957 0.79580325 0.79490072]";72.22$\pm$2.31;"[0.73206227 0.7329648  0.71559116 0.71796029 0.73973375 0.66459838
 0.72010379 0.71559116 0.75958935 0.72416516]";69.05$\pm$2.54;"[0.67734657 0.68208484 0.69990975 0.71220668 0.71333484 0.62229242
 0.70893502 0.69347924 0.69833032 0.69754061]";71.12$\pm$1.39;"[0.70160199 0.70306859 0.69302798 0.70983755 0.72619585 0.69257671
 0.72461643 0.70769404 0.73634928 0.71683213]";73.1$\pm$1.85;"[0.74199007 0.73251354 0.73319043 0.72078069 0.75665614 0.68366426
 0.73883123 0.72642148 0.74492329 0.73138538]";71.4$\pm$1.97;"[0.73826715 0.67283394 0.72484206 0.71310921 0.72337545 0.68580776
 0.70893502 0.72382671 0.73544675 0.71356047]";68.18$\pm$0.8;"[0.69787906 0.67351083 0.67181859 0.6903204  0.67903881 0.6775722
 0.67633123 0.69077166 0.6797157  0.68152076]";79.75$\pm$2.41;"[0.75462545 0.78734206 0.80370036 0.81441787 0.82005866 0.75439982
 0.81689982 0.79839801 0.82569946 0.79930054]";66.67$\pm$1.64;"[0.69438177 0.66414711 0.66561372 0.65297834 0.67633123 0.63436372
 0.6797157  0.66967509 0.65049639 0.67937726]"
ROCAUC;97.48$\pm$0.23;"[0.97703196 0.97122335 0.97431871 0.97230965 0.9735228  0.97364067
 0.9767585  0.97456617 0.9795503  0.97545539]";96.48$\pm$0.16;"[0.96498901 0.96538129 0.96241562 0.96125065 0.9652101  0.9654186
 0.96569728 0.9645502  0.96644262 0.96634758]";97.3$\pm$0.07;"[0.9728875  0.97304645 0.97229185 0.97282168 0.97318823 0.97207634
 0.97436131 0.97253669 0.97386557 0.97245493]";97.14$\pm$0.13;"[0.97031274 0.97158881 0.97067826 0.96962303 0.97293926 0.96916734
 0.97177794 0.97196849 0.97333392 0.97271746]";97.5$\pm$0.12;"[0.97714807 0.97619351 0.97450057 0.97339685 0.97592696 0.97336007
 0.97392189 0.97415302 0.97584099 0.97572904]";97.48$\pm$0.11;"[0.97590716 0.97547431 0.9761254  0.97247609 0.97511012 0.97392752
 0.97395683 0.97448309 0.97623399 0.9742133 ]";73.55$\pm$0.4;"[0.74014021 0.73804847 0.728563   0.73109846 0.73643757 0.73359415
 0.74281644 0.73344521 0.73623897 0.73415296]";97.43$\pm$0.12;"[0.97605784 0.9735851  0.97543418 0.97367754 0.9740737  0.97203035
 0.97317298 0.97409518 0.97589901 0.9747674 ]";73.55$\pm$0.4;"[0.74014021 0.73804847 0.728563   0.73109846 0.73643757 0.73359415
 0.74281644 0.73344521 0.73623897 0.73415296]";98.48$\pm$0.06;"[0.98449492 0.98356946 0.98531613 0.98526756 0.98525907 0.98384156
 0.9852227  0.98545227 0.98435248 0.98493226]";95.91$\pm$0.21;"[0.95912753 0.95805328 0.96136776 0.95625175 0.95671824 0.95881053
 0.95864108 0.95903065 0.96381823 0.95906318]";97.66$\pm$0.12;"[0.97626765 0.97583704 0.97742266 0.97505971 0.97864673 0.97477237
 0.97764439 0.97570577 0.97703315 0.97793039]";96.54$\pm$0.14;"[0.96606541 0.96562676 0.96655466 0.96819365 0.9650097  0.96256679
 0.96543867 0.96488827 0.96558424 0.96443655]";97.15$\pm$0.13;"[0.97179127 0.97208344 0.9727417  0.97128836 0.97090248 0.97168166
 0.96984838 0.97419154 0.96952956 0.97138018]";97.93$\pm$0.07;"[0.97968621 0.97720403 0.9794774  0.97914608 0.97942289 0.97910886
 0.9801856  0.97944246 0.97945017 0.97947383]";97.73$\pm$0.06;"[0.97843984 0.97745574 0.97690582 0.97713563 0.97778967 0.97647537
 0.97660775 0.97675713 0.97766546 0.97775646]";98.56$\pm$0.04;"[0.98511285 0.98480064 0.98593616 0.9855888  0.98558489 0.98538403
 0.98631762 0.98600359 0.98542207 0.98535765]";97.35$\pm$0.09;"[0.97400631 0.97280906 0.97374245 0.97239416 0.97362725 0.97175739
 0.97503667 0.97357735 0.97350987 0.97433098]"
AP;97.84$\pm$0.13;"[0.97957715 0.97644109 0.97797074 0.97660847 0.97790764 0.97730373
 0.9793494  0.97834913 0.98084871 0.97922338]";96.6$\pm$0.13;"[0.96631147 0.96627401 0.96344523 0.96356202 0.96671568 0.96592123
 0.96649221 0.96662827 0.9671997  0.96716495]";97.46$\pm$0.09;"[0.97404942 0.97555445 0.97383708 0.97432827 0.97520289 0.97273131
 0.97587177 0.97482791 0.9754318  0.97463358]";97.21$\pm$0.16;"[0.97167904 0.97335076 0.97083602 0.97093338 0.97371977 0.96846698
 0.97165667 0.9730226  0.97407978 0.97316494]";97.6$\pm$0.14;"[0.97810471 0.97647327 0.97496258 0.97484839 0.97778953 0.97332882
 0.97476638 0.97630655 0.97682924 0.97646308]";97.64$\pm$0.12;"[0.9772717  0.97708327 0.97782509 0.97428821 0.97737754 0.97436865
 0.97568524 0.97639688 0.97755462 0.97626947]";78.72$\pm$0.4;"[0.79222014 0.78988193 0.7819417  0.78142235 0.78981281 0.78601738
 0.79326841 0.78630901 0.78800161 0.78311857]";97.58$\pm$0.12;"[0.97707347 0.97593387 0.97613781 0.97547709 0.97647095 0.97292135
 0.97512066 0.97607713 0.97727478 0.97600547]";78.72$\pm$0.4;"[0.79222014 0.78988193 0.7819417  0.78142235 0.78981281 0.78601738
 0.79326841 0.78630901 0.78800161 0.78311857]";98.43$\pm$0.1;"[0.98435714 0.98323343 0.9850154  0.98441525 0.9854553  0.98188026
 0.98509757 0.98532541 0.98412504 0.98451391]";96.67$\pm$0.15;"[0.96705551 0.96603741 0.96826187 0.96471401 0.96616629 0.96489134
 0.96682447 0.96668414 0.96994008 0.96623812]";97.64$\pm$0.16;"[0.97579131 0.97591058 0.97715056 0.97433635 0.97887225 0.97325324
 0.9777665  0.97617881 0.97681732 0.97767179]";96.98$\pm$0.12;"[0.97024544 0.97004252 0.9700602  0.97169873 0.96967988 0.96695155
 0.97001363 0.96904107 0.97108984 0.96876965]";97.46$\pm$0.1;"[0.97520516 0.97562579 0.97521613 0.97366698 0.9752102  0.97291671
 0.97414156 0.97645084 0.97355446 0.97446639]";97.9$\pm$0.09;"[0.98048696 0.97702015 0.97939061 0.97859723 0.97885822 0.97789658
 0.97994838 0.97916274 0.97911503 0.97924589]";97.68$\pm$0.08;"[0.9780353  0.97727876 0.97588649 0.97688109 0.97740872 0.97509202
 0.97652439 0.9766815  0.97755686 0.97654309]";98.58$\pm$0.07;"[0.98523922 0.98509751 0.98591001 0.9864273  0.98606377 0.98464955
 0.98690258 0.98639854 0.98614163 0.98538161]";97.37$\pm$0.13;"[0.9747692  0.9737825  0.97388623 0.97161735 0.97444623 0.97098123
 0.97541972 0.97403216 0.97326057 0.97479592]"
pretrain_time;nan$\pm$nan;[];4.87$\pm$0.01;"[4.87340975 4.86788559 4.86538363 4.86469436 4.8733573  4.88921452
 4.87913179 4.8663094  4.859514   4.86509681]";83.31$\pm$0.14;"[83.52095222 83.30088353 83.46321511 83.29949689 83.21899176 83.47864437
 83.16588736 83.3516047  83.18764734 83.06371331]";5.37$\pm$0.02;"[5.3991127  5.35569119 5.39911175 5.3639524  5.35851979 5.37882066
 5.34486222 5.39471388 5.35877895 5.35096526]";9.28$\pm$0.02;"[9.32204533 9.26930165 9.29715824 9.2679143  9.27184033 9.2958107
 9.26276898 9.29428148 9.28238535 9.26353288]";21.71$\pm$0.02;"[21.68676686 21.68607736 21.7491281  21.72724342 21.69519925 21.67575192
 21.71418405 21.70092678 21.70448256 21.73017883]";nan$\pm$nan;[];186.88$\pm$9.66;"[188.2178309  207.37340307 178.13806963 177.76511121 173.33386636
 196.02277422 193.33598542 180.4317677  187.77205753 186.36704135]";nan$\pm$nan;[];133.12$\pm$6.26;"[133.46975517 129.64675999 135.44992924 132.29208803 123.67168713
 129.75172973 148.87194657 135.04920602 134.32688928 128.67439556]";169.94$\pm$0.21;"[170.09136081 169.9810009  170.0389142  169.96158767 169.99690557
 169.99943328 170.04696155 169.99070501 170.00375509 169.33306122]";179.94$\pm$0.02;"[179.88043523 179.97003007 179.9673152  179.92146611 179.947047
 179.94349027 179.92909622 179.95236421 179.94225574 179.95060778]";49.76$\pm$0.15;"[49.3527813  49.62676907 49.81177926 49.86765122 49.85688853 49.81854916
 49.77054358 49.83828092 49.81135154 49.86510992]";239.82$\pm$0.12;"[239.88920498 239.90622211 239.89053273 239.80171132 239.82810855
 239.89028072 239.76554656 239.85927868 239.47141528 239.85992646]";306.43$\pm$0.19;"[306.08576345 306.82682204 306.64354491 306.44970894 306.32354021
 306.28509307 306.43786812 306.43047452 306.44051886 306.40309334]";45.88$\pm$0.39;"[45.82561207 45.19138098 45.70016432 46.1104002  45.85315514 46.7075417
 45.82135224 45.51973844 46.23164129 45.83481526]";157.71$\pm$1.87;"[154.12832952 157.59318686 158.92589521 159.18822193 156.68602586
 160.46848488 154.88495374 158.24423933 158.77221489 158.19957376]";6.62$\pm$0.32;"[7.01233268 6.3567946  7.01320958 6.36193824 6.35959315 7.01678824
 6.36116719 7.01032782 6.35366535 6.35457659]"
