metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;82.21$\pm$3.74;"[0.84470588 0.83058824 0.74823529 0.84941176 0.82588235 0.79294118
 0.81411765 0.89882353 0.80941176 0.80705882]";76.92$\pm$3.03;"[0.83058824 0.8        0.74823529 0.77411765 0.73411765 0.76
 0.75764706 0.8        0.73176471 0.75529412]";76.49$\pm$3.86;"[0.78117647 0.77882353 0.74352941 0.80235294 0.72705882 0.78352941
 0.77411765 0.81647059 0.67529412 0.76705882]";80.78$\pm$3.94;"[0.85411765 0.82117647 0.75294118 0.81882353 0.76705882 0.79058824
 0.79764706 0.89176471 0.77647059 0.80705882]";78.54$\pm$3.09;"[0.79764706 0.80235294 0.78588235 0.77411765 0.70823529 0.78117647
 0.80235294 0.83764706 0.78352941 0.78117647]";82.59$\pm$3.0;"[0.82352941 0.84235294 0.77882353 0.84705882 0.82352941 0.82352941
 0.80941176 0.89176471 0.78823529 0.83058824]";26.21$\pm$3.58;"[0.26823529 0.31058824 0.22588235 0.26117647 0.28470588 0.19058824
 0.30823529 0.28470588 0.23529412 0.25176471]";70.02$\pm$3.81;"[0.73647059 0.72941176 0.67529412 0.72235294 0.63529412 0.66588235
 0.73411765 0.69411765 0.65647059 0.75294118]";84.16$\pm$3.72;"[0.86117647 0.87058824 0.79058824 0.85176471 0.83294118 0.80470588
 0.81411765 0.88470588 0.8        0.90588235]";85.01$\pm$2.63;"[0.85411765 0.84941176 0.82588235 0.86117647 0.84705882 0.81647059
 0.84       0.90117647 0.81882353 0.88705882]";78.05$\pm$11.63;"[0.85176471 0.82117647 0.48       0.82117647 0.82117647 0.82117647
 0.83764706 0.64235294 0.84470588 0.86352941]";40.47$\pm$5.97;"[0.31764706 0.37647059 0.38823529 0.54588235 0.38588235 0.34117647
 0.43058824 0.42117647 0.44470588 0.39529412]";82.45$\pm$3.1;"[0.83294118 0.81882353 0.78823529 0.84235294 0.80941176 0.78823529
 0.80235294 0.89411765 0.81411765 0.85411765]";78.33$\pm$1.86;"[0.77647059 0.77411765 0.76941176 0.81882353 0.78352941 0.76235294
 0.79764706 0.81176471 0.76470588 0.77411765]";75.27$\pm$3.71;"[0.69647059 0.78352941 0.71058824 0.80470588 0.70352941 0.74823529
 0.76       0.79529412 0.74352941 0.78117647]";74.35$\pm$4.43;"[0.72235294 0.70352941 0.72705882 0.71764706 0.71058824 0.79764706
 0.75058824 0.84470588 0.76235294 0.69882353]";67.86$\pm$5.5;"[0.71294118 0.68941176 0.66588235 0.67529412 0.61647059 0.58352941
 0.70823529 0.8        0.66352941 0.67058824]";73.22$\pm$5.8;"[0.71529412 0.77176471 0.76235294 0.72705882 0.65411765 0.74117647
 0.70823529 0.87058824 0.70352941 0.66823529]";82.07$\pm$4.65;"[0.81647059 0.82352941 0.76       0.86588235 0.79764706 0.83529412
 0.81882353 0.89411765 0.73176471 0.86352941]";84.38$\pm$3.21;"[0.87764706 0.86588235 0.80705882 0.85882353 0.80235294 0.83294118
 0.83294118 0.90117647 0.80235294 0.85647059]";78.66$\pm$4.23;"[0.76941176 0.75058824 0.76       0.76235294 0.74588235 0.8
 0.77647059 0.88235294 0.77176471 0.84705882]";26.21$\pm$3.58;"[0.26823529 0.31058824 0.22588235 0.26117647 0.28470588 0.19058824
 0.30823529 0.28470588 0.23529412 0.25176471]";76.94$\pm$4.49;"[0.80941176 0.76470588 0.72       0.78117647 0.73882353 0.80941176
 0.73411765 0.84470588 0.69411765 0.79764706]";79.58$\pm$2.38;"[0.81647059 0.79294118 0.76705882 0.81647059 0.75764706 0.81411765
 0.78588235 0.82588235 0.76705882 0.81411765]";85.69$\pm$2.11;"[0.83764706 0.85411765 0.84705882 0.87058824 0.86352941 0.83294118
 0.83529412 0.90588235 0.84941176 0.87294118]";83.01$\pm$3.26;"[0.84235294 0.84470588 0.75058824 0.84705882 0.82117647 0.80941176
 0.80941176 0.86823529 0.84705882 0.86117647]";82.28$\pm$3.81;"[0.83294118 0.87529412 0.76       0.85411765 0.78823529 0.81882353
 0.82117647 0.86823529 0.76705882 0.84235294]";81.13$\pm$4.44;"[0.83764706 0.82352941 0.72235294 0.77882353 0.79058824 0.82823529
 0.81411765 0.86823529 0.77176471 0.87764706]";84.82$\pm$3.32;"[0.87529412 0.87764706 0.78352941 0.84705882 0.80941176 0.83529412
 0.87058824 0.90117647 0.83294118 0.84941176]";57.65$\pm$16.69;"[0.66352941 0.75294118 0.13411765 0.60941176 0.70117647 0.70588235
 0.60470588 0.56235294 0.48235294 0.54823529]";78.85$\pm$3.73;"[0.83764706 0.76470588 0.74117647 0.78588235 0.78352941 0.76470588
 0.74352941 0.86352941 0.79058824 0.80941176]"
Hits@50;89.74$\pm$2.29;"[0.90117647 0.89882353 0.86588235 0.89882353 0.89647059 0.88705882
 0.89411765 0.94588235 0.86352941 0.92235294]";87.11$\pm$1.9;"[0.88235294 0.88       0.85411765 0.86823529 0.83529412 0.86823529
 0.86588235 0.90588235 0.85882353 0.89176471]";86.47$\pm$3.22;"[0.88941176 0.88941176 0.85176471 0.87294118 0.81411765 0.86117647
 0.84470588 0.92470588 0.81882353 0.88      ]";88.82$\pm$1.47;"[0.90588235 0.89176471 0.88235294 0.87529412 0.87764706 0.87529412
 0.87764706 0.92       0.87764706 0.89882353]";86.24$\pm$2.51;"[0.88235294 0.86117647 0.84705882 0.85882353 0.80941176 0.86117647
 0.85176471 0.90117647 0.85411765 0.89647059]";89.74$\pm$2.13;"[0.91764706 0.91294118 0.86823529 0.91529412 0.86117647 0.87764706
 0.89176471 0.91529412 0.89176471 0.92235294]";46.73$\pm$3.53;"[0.47294118 0.47058824 0.56235294 0.42823529 0.43294118 0.47058824
 0.46588235 0.46117647 0.44235294 0.46588235]";82.35$\pm$2.55;"[0.82823529 0.82823529 0.81647059 0.85176471 0.78352941 0.79764706
 0.85411765 0.83764706 0.78588235 0.85176471]";91.58$\pm$2.1;"[0.93882353 0.91529412 0.89176471 0.91294118 0.90823529 0.88941176
 0.89882353 0.93176471 0.91058824 0.96      ]";91.48$\pm$1.72;"[0.92235294 0.91294118 0.90823529 0.92705882 0.91294118 0.88470588
 0.91058824 0.93176471 0.89176471 0.94588235]";87.39$\pm$10.03;"[0.92       0.92235294 0.58117647 0.91058824 0.90352941 0.89882353
 0.91764706 0.84705882 0.89647059 0.94117647]";59.46$\pm$4.74;"[0.61647059 0.62588235 0.57882353 0.65647059 0.56941176 0.50352941
 0.6        0.65647059 0.60705882 0.53176471]";90.33$\pm$1.95;"[0.92       0.92235294 0.87529412 0.90588235 0.88235294 0.88
 0.89647059 0.93176471 0.89411765 0.92470588]";88.4$\pm$2.93;"[0.88941176 0.88705882 0.85411765 0.90823529 0.86823529 0.85647059
 0.88470588 0.91764706 0.83764706 0.93647059]";86.35$\pm$3.46;"[0.84235294 0.89882353 0.84470588 0.89411765 0.81647059 0.85176471
 0.84470588 0.91529412 0.82117647 0.90588235]";85.6$\pm$2.11;"[0.88941176 0.84       0.84       0.83294118 0.83764706 0.85411765
 0.84705882 0.89882353 0.85647059 0.86352941]";79.81$\pm$3.92;"[0.81176471 0.83294118 0.75764706 0.79529412 0.73882353 0.77882353
 0.81647059 0.88470588 0.77647059 0.78823529]";83.6$\pm$3.96;"[0.81882353 0.84470588 0.87058824 0.83764706 0.77176471 0.81647059
 0.81176471 0.92941176 0.81882353 0.84      ]";89.39$\pm$2.4;"[0.88470588 0.90352941 0.86352941 0.91294118 0.87764706 0.88470588
 0.89647059 0.92705882 0.85647059 0.93176471]";90.66$\pm$1.93;"[0.92470588 0.91294118 0.88941176 0.90823529 0.89647059 0.88470588
 0.89882353 0.94117647 0.88       0.92941176]";89.22$\pm$2.76;"[0.87764706 0.89411765 0.87764706 0.92       0.87294118 0.89411765
 0.84941176 0.94117647 0.86823529 0.92705882]";46.73$\pm$3.53;"[0.47294118 0.47058824 0.56235294 0.42823529 0.43294118 0.47058824
 0.46588235 0.46117647 0.44235294 0.46588235]";86.19$\pm$2.59;"[0.88705882 0.85882353 0.82823529 0.86117647 0.84941176 0.87058824
 0.84470588 0.89647059 0.82117647 0.90117647]";88.8$\pm$2.57;"[0.90352941 0.92       0.86588235 0.88       0.87294118 0.88470588
 0.87764706 0.90352941 0.84       0.93176471]";92.47$\pm$0.8;"[0.92705882 0.92941176 0.92235294 0.92235294 0.91294118 0.91764706
 0.93647059 0.93411765 0.91294118 0.93176471]";90.71$\pm$1.88;"[0.92235294 0.92       0.87058824 0.90823529 0.89882353 0.88705882
 0.90823529 0.90823529 0.90352941 0.94352941]";90.61$\pm$2.57;"[0.90823529 0.92705882 0.85647059 0.91529412 0.90352941 0.87764706
 0.92470588 0.92470588 0.88       0.94352941]";90.0$\pm$2.02;"[0.92       0.91294118 0.88235294 0.87764706 0.87764706 0.89176471
 0.88941176 0.91058824 0.89411765 0.94352941]";90.8$\pm$1.84;"[0.92       0.92470588 0.88470588 0.91294118 0.88941176 0.89176471
 0.90823529 0.93882353 0.88470588 0.92470588]";77.18$\pm$11.83;"[0.81882353 0.88470588 0.45882353 0.78588235 0.81647059 0.84
 0.80470588 0.83058824 0.65647059 0.82117647]";89.11$\pm$2.29;"[0.93647059 0.89882353 0.87058824 0.87764706 0.88       0.85882353
 0.89882353 0.92       0.87058824 0.89882353]"
Hits@100;94.68$\pm$1.27;"[0.95294118 0.95294118 0.96       0.93176471 0.93176471 0.93411765
 0.94352941 0.96705882 0.93411765 0.96      ]";92.02$\pm$1.66;"[0.93176471 0.93176471 0.91294118 0.91764706 0.88470588 0.91764706
 0.92       0.94352941 0.90352941 0.93882353]";91.36$\pm$1.92;"[0.92941176 0.93411765 0.90823529 0.91294118 0.91294118 0.90117647
 0.89647059 0.93882353 0.87294118 0.92941176]";92.64$\pm$1.37;"[0.94117647 0.94352941 0.92       0.92       0.91058824 0.91529412
 0.92       0.93882353 0.90823529 0.94588235]";90.54$\pm$1.67;"[0.91294118 0.92       0.88705882 0.90588235 0.89647059 0.89176471
 0.89647059 0.93411765 0.88235294 0.92705882]";92.45$\pm$1.27;"[0.94588235 0.93647059 0.90823529 0.93176471 0.91294118 0.91294118
 0.91764706 0.93647059 0.91058824 0.93176471]";65.53$\pm$2.36;"[0.67058824 0.65411765 0.67764706 0.66588235 0.61647059 0.67058824
 0.64235294 0.66588235 0.68       0.60941176]";89.74$\pm$1.97;"[0.89647059 0.91294118 0.89176471 0.90117647 0.86823529 0.87529412
 0.92235294 0.92470588 0.87058824 0.91058824]";95.76$\pm$1.28;"[0.96470588 0.96235294 0.94588235 0.96       0.96470588 0.93882353
 0.94588235 0.96       0.94823529 0.98588235]";94.33$\pm$1.18;"[0.94588235 0.95764706 0.93882353 0.95529412 0.94352941 0.92470588
 0.93647059 0.94588235 0.92470588 0.96      ]";92.45$\pm$5.62;"[0.95529412 0.95294118 0.76235294 0.94588235 0.93176471 0.93882353
 0.94823529 0.91058824 0.92941176 0.96941176]";75.41$\pm$3.02;"[0.79764706 0.76941176 0.75529412 0.77411765 0.73411765 0.68470588
 0.75529412 0.76941176 0.77411765 0.72705882]";93.44$\pm$1.41;"[0.95764706 0.95294118 0.93176471 0.92941176 0.92941176 0.92235294
 0.92235294 0.94117647 0.91058824 0.94588235]";93.22$\pm$2.09;"[0.94352941 0.93882353 0.91529412 0.92705882 0.93647059 0.92235294
 0.93882353 0.94823529 0.88470588 0.96705882]";91.53$\pm$1.82;"[0.92470588 0.92941176 0.90117647 0.92705882 0.88705882 0.90117647
 0.91294118 0.94117647 0.89176471 0.93647059]";92.35$\pm$1.31;"[0.94117647 0.92235294 0.92235294 0.93176471 0.91764706 0.91058824
 0.92       0.94588235 0.89882353 0.92470588]";86.05$\pm$2.36;"[0.86117647 0.88705882 0.84       0.85882353 0.81647059 0.86823529
 0.86352941 0.90352941 0.83764706 0.86823529]";89.86$\pm$2.4;"[0.90588235 0.90117647 0.92470588 0.89176471 0.86117647 0.89882353
 0.87764706 0.94588235 0.87058824 0.90823529]";93.18$\pm$1.27;"[0.91529412 0.93176471 0.92705882 0.93882353 0.92470588 0.91764706
 0.94588235 0.94823529 0.91764706 0.95058824]";94.19$\pm$1.74;"[0.96470588 0.95529412 0.92235294 0.95529412 0.93647059 0.92235294
 0.94117647 0.95529412 0.91058824 0.95529412]";93.15$\pm$1.79;"[0.93411765 0.93882353 0.93176471 0.95058824 0.91058824 0.92235294
 0.90352941 0.95294118 0.91294118 0.95764706]";65.53$\pm$2.36;"[0.67058824 0.65411765 0.67764706 0.66588235 0.61647059 0.67058824
 0.64235294 0.66588235 0.68       0.60941176]";91.98$\pm$1.86;"[0.93882353 0.92705882 0.88941176 0.91529412 0.91294118 0.92941176
 0.90823529 0.93882353 0.89176471 0.94588235]";93.6$\pm$1.5;"[0.95764706 0.94588235 0.93176471 0.92941176 0.93411765 0.92470588
 0.93411765 0.93647059 0.90588235 0.96      ]";95.65$\pm$0.9;"[0.96235294 0.96705882 0.95294118 0.94352941 0.95294118 0.95294118
 0.96941176 0.95294118 0.94352941 0.96705882]";93.29$\pm$1.81;"[0.94823529 0.94352941 0.89882353 0.92470588 0.93176471 0.93647059
 0.93647059 0.92       0.92       0.96941176]";95.39$\pm$1.28;"[0.96705882 0.94588235 0.94117647 0.95764706 0.95294118 0.95294118
 0.95529412 0.97176471 0.92705882 0.96705882]";93.91$\pm$1.97;"[0.96       0.96235294 0.94823529 0.91058824 0.93882353 0.92235294
 0.92705882 0.93176471 0.91764706 0.97176471]";93.2$\pm$1.55;"[0.95294118 0.94352941 0.92470588 0.93882353 0.92235294 0.91764706
 0.93176471 0.94588235 0.89882353 0.94352941]";88.73$\pm$3.87;"[0.90117647 0.93176471 0.80941176 0.88705882 0.89647059 0.91294118
 0.92705882 0.90352941 0.82352941 0.88      ]";93.79$\pm$1.3;"[0.96235294 0.94352941 0.93882353 0.92470588 0.92235294 0.91764706
 0.94117647 0.95294118 0.93882353 0.93647059]"
ROCAUC;95.8$\pm$0.69;"[0.96120692 0.95848858 0.95532741 0.95472808 0.95659822 0.95047751
 0.95311876 0.9735308  0.95039446 0.96617927]";92.94$\pm$1.14;"[0.94945329 0.94311972 0.92119312 0.92663707 0.91260821 0.92173287
 0.92497225 0.93884014 0.91838339 0.93746218]";92.24$\pm$1.51;"[0.93902007 0.94187405 0.9140899  0.92537181 0.919101   0.91391557
 0.91368479 0.93681938 0.88917924 0.93087955]";92.71$\pm$1.16;"[0.93952111 0.94315848 0.91966149 0.92360155 0.92461709 0.91504498
 0.92180355 0.93991972 0.90655779 0.93721008]";92.49$\pm$1.14;"[0.93541315 0.93395709 0.91699223 0.92002775 0.91586016 0.9129301
 0.91877913 0.94427128 0.91162907 0.93893557]";93.32$\pm$1.01;"[0.94706713 0.94754879 0.92462264 0.93473363 0.92816315 0.9244955
 0.9227303  0.94199585 0.91941315 0.94157423]";78.3$\pm$0.9;"[0.79947958 0.79492318 0.78309656 0.77962264 0.77961709 0.77502007
 0.78864595 0.78542284 0.77580623 0.76789356]";91.08$\pm$1.3;"[0.91798478 0.92238062 0.90911765 0.91017203 0.89551609 0.89451073
 0.92240289 0.91908097 0.8887917  0.92830812]";95.75$\pm$0.85;"[0.95889273 0.96130104 0.94995006 0.96057714 0.95414539 0.94573287
 0.94935627 0.96339377 0.95452457 0.97689636]";94.23$\pm$1.12;"[0.94872249 0.95438062 0.93572697 0.95151498 0.94529412 0.92647751
 0.93338513 0.95017855 0.92254118 0.95437535]";93.26$\pm$3.04;"[0.9488609  0.95231557 0.84832963 0.93960599 0.938202   0.93380761
 0.95280799 0.91521107 0.93829204 0.95819608]";82.86$\pm$1.34;"[0.85093426 0.83436401 0.82597114 0.83651498 0.81760821 0.79661176
 0.83167037 0.83355017 0.83164014 0.82734454]";93.94$\pm$1.08;"[0.95549343 0.9516346  0.93172031 0.93735294 0.93672031 0.9267045
 0.93013319 0.94947543 0.92478893 0.95019608]";93.84$\pm$1.23;"[0.94480277 0.94237785 0.9282242  0.93110988 0.94329079 0.93141038
 0.94350721 0.95272526 0.91146851 0.95462185]";92.3$\pm$1.28;"[0.92737993 0.93613841 0.91320755 0.93159822 0.90540511 0.91159585
 0.91263041 0.94216747 0.91172318 0.93810084]";92.76$\pm$0.79;"[0.93111142 0.92719723 0.9268535  0.92711432 0.91988901 0.9239308
 0.93263041 0.94594879 0.91449135 0.92677871]";88.55$\pm$1.49;"[0.88422976 0.90321938 0.8763374  0.88661487 0.86664817 0.87541592
 0.88751942 0.92021038 0.87341176 0.88145658]";90.82$\pm$1.68;"[0.91719308 0.92507128 0.91938957 0.90053829 0.88852941 0.89777163
 0.8909212  0.94085536 0.88829896 0.91338375]";94.53$\pm$0.87;"[0.93596125 0.94355156 0.93597669 0.9545727  0.94513319 0.93827543
 0.95174806 0.95929135 0.93416194 0.95456022]";94.52$\pm$1.44;"[0.95779654 0.95970104 0.93446171 0.95157048 0.94532186 0.92930657
 0.9399778  0.95506713 0.91579239 0.96258824]";93.64$\pm$1.24;"[0.9321301  0.93985329 0.93968368 0.9381687  0.92171476 0.9378436
 0.92135405 0.95709896 0.92050934 0.95527731]";78.3$\pm$0.9;"[0.79947958 0.79492318 0.78309656 0.77962264 0.77961709 0.77502007
 0.78864595 0.78542284 0.77580623 0.76789356]";93.31$\pm$1.21;"[0.94605952 0.93405675 0.91533296 0.93526637 0.93060488 0.94366228
 0.92423418 0.94341869 0.9112526  0.94730532]";93.81$\pm$1.0;"[0.95305744 0.9422173  0.94222531 0.92826304 0.92844895 0.93491488
 0.93650943 0.94149758 0.92068651 0.95303641]";96.16$\pm$0.53;"[0.96141176 0.96824913 0.95304107 0.95440622 0.96075472 0.96133979
 0.96884018 0.96308927 0.95730934 0.96744538]";93.96$\pm$1.58;"[0.95186713 0.95111419 0.90709212 0.93493341 0.94190344 0.95770796
 0.93350721 0.93241246 0.92408581 0.96135014]";95.58$\pm$1.0;"[0.95696609 0.96191003 0.94760821 0.95803552 0.95171476 0.95342837
 0.96113762 0.96826021 0.9320526  0.96701401]";93.88$\pm$1.43;"[0.95301315 0.95115294 0.94511654 0.91593785 0.94686459 0.93335363
 0.92687569 0.93288304 0.92104083 0.96185434]";93.91$\pm$1.31;"[0.95776886 0.94871142 0.93007769 0.93991121 0.93494451 0.9269481
 0.93580466 0.94666851 0.91353356 0.95645378]";89.7$\pm$3.08;"[0.90537855 0.94481384 0.82704772 0.89893452 0.91511099 0.90983529
 0.91522752 0.90605952 0.86295363 0.88445938]";94.4$\pm$0.81;"[0.95443599 0.95105882 0.94094895 0.93689234 0.9363485  0.93497578
 0.9477303  0.95802353 0.93435017 0.9447619 ]"
AP;96.35$\pm$0.6;"[0.96693076 0.96258314 0.95750097 0.96506027 0.96479532 0.95625608
 0.95821208 0.97611094 0.95787306 0.96973531]";94.62$\pm$0.78;"[0.95821613 0.95496073 0.94047769 0.94804163 0.93297974 0.94226296
 0.94265836 0.95437619 0.93788073 0.95008468]";94.07$\pm$1.14;"[0.94986605 0.95257262 0.93443181 0.94673646 0.93404912 0.93722141
 0.93343847 0.95579295 0.91567711 0.94684624]";94.94$\pm$0.63;"[0.95622307 0.95746907 0.94564338 0.94798996 0.9469417  0.94273128
 0.94524632 0.95882985 0.93955911 0.95358273]";94.4$\pm$0.77;"[0.95037189 0.94904745 0.93989321 0.94049548 0.93238939 0.9377887
 0.94129257 0.9550932  0.93752901 0.95621428]";95.26$\pm$0.67;"[0.96062856 0.96138221 0.94355978 0.95492353 0.95011455 0.94748922
 0.94734112 0.95923457 0.94367166 0.95808564]";77.03$\pm$1.02;"[0.77411565 0.78539644 0.77030271 0.76909083 0.77395368 0.7650027
 0.78515242 0.77165786 0.75161113 0.75684622]";92.78$\pm$0.89;"[0.93155024 0.9272222  0.92946886 0.93228233 0.91679653 0.92262691
 0.93816686 0.93192705 0.90891194 0.93930927]";96.32$\pm$0.69;"[0.96156481 0.96910622 0.9573606  0.96438989 0.95995468 0.95496581
 0.96071925 0.96717587 0.95762865 0.97952089]";95.93$\pm$0.74;"[0.96386779 0.96547502 0.95337293 0.96421719 0.96100688 0.94992251
 0.95465693 0.96567637 0.94567209 0.9686713 ]";94.76$\pm$2.92;"[0.96202796 0.96515858 0.86608226 0.95690266 0.95706959 0.95318679
 0.96298563 0.92754742 0.95516872 0.96945086]";83.57$\pm$1.31;"[0.83782156 0.83017142 0.83047255 0.85949316 0.83898693 0.80615184
 0.8380805  0.84713496 0.84034287 0.82845085]";95.56$\pm$0.65;"[0.9632384  0.95879157 0.94819281 0.95606597 0.95245858 0.94972298
 0.95162712 0.96309477 0.94704266 0.96603019]";94.86$\pm$0.69;"[0.94722221 0.94956002 0.94384991 0.94875924 0.94679263 0.94614612
 0.95460961 0.95458328 0.93343593 0.96064948]";94.05$\pm$0.93;"[0.94040094 0.94762763 0.93422385 0.95145067 0.92570636 0.93622078
 0.93131256 0.95353568 0.93303274 0.95128271]";93.93$\pm$0.75;"[0.93277954 0.93647769 0.94371959 0.93791462 0.92846821 0.94493377
 0.94101004 0.95690659 0.93570033 0.93507679]";91.36$\pm$1.2;"[0.91576767 0.92584734 0.90834913 0.91428083 0.89552421 0.8992023
 0.91646804 0.93994297 0.9087434  0.9122975 ]";93.14$\pm$1.36;"[0.93477336 0.94361597 0.94312021 0.92647051 0.91456294 0.92479089
 0.91654854 0.95987229 0.91888509 0.9314903 ]";95.49$\pm$0.72;"[0.94740147 0.95285636 0.94617315 0.96178116 0.95585102 0.95004369
 0.95879194 0.9650058  0.94577878 0.96518432]";95.95$\pm$0.97;"[0.96678705 0.96843109 0.95263849 0.96442578 0.95758883 0.95079427
 0.95599291 0.96869357 0.93872409 0.9708911 ]";94.86$\pm$0.82;"[0.94310623 0.94935372 0.94915558 0.94846582 0.93926984 0.95084971
 0.9437497  0.96207642 0.93668881 0.96302589]";77.03$\pm$1.02;"[0.77411565 0.78539644 0.77030271 0.76909083 0.77395368 0.7650027
 0.78515242 0.77165786 0.75161113 0.75684622]";94.18$\pm$1.21;"[0.951958   0.93120481 0.9312958  0.94642573 0.9334814  0.95367166
 0.94016434 0.95627963 0.91888091 0.95462128]";95.02$\pm$0.8;"[0.9600202  0.9526937  0.94837651 0.94510559 0.93985096 0.95209681
 0.9513317  0.9560089  0.93494799 0.96147666]";96.71$\pm$0.37;"[0.9632094  0.96745638 0.96104388 0.96622925 0.96926832 0.96608667
 0.9706822  0.96854246 0.96400527 0.97425808]";95.7$\pm$0.9;"[0.96278612 0.9638679  0.93772164 0.95452045 0.95869101 0.96382447
 0.95278493 0.95368806 0.95012148 0.97222258]";96.27$\pm$0.72;"[0.96246548 0.96894574 0.95501754 0.96471458 0.95668667 0.96180122
 0.96586057 0.96970877 0.94821987 0.97343679]";95.47$\pm$0.82;"[0.96169322 0.96311433 0.95377376 0.94375096 0.95436406 0.95304616
 0.94872784 0.95428894 0.94310607 0.97093525]";95.78$\pm$0.77;"[0.96813602 0.96412511 0.94792218 0.95938663 0.95501043 0.95201344
 0.95656828 0.96175555 0.94473728 0.96853137]";89.25$\pm$5.28;"[0.9080945  0.95257034 0.76509711 0.91633485 0.92994757 0.91507209
 0.91910042 0.88998485 0.82566279 0.90264016]";95.23$\pm$0.61;"[0.9596655  0.95406256 0.9515489  0.94775797 0.94765768 0.9439125
 0.95126099 0.96521034 0.94661493 0.95492338]"
