metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;73.84$\pm$2.16;"[0.71813516 0.69632164 0.75834046 0.7540633  0.7459367  0.72241232
 0.74037639 0.72840034 0.74422583 0.77587682]";74.44$\pm$2.43;"[0.72326775 0.713858   0.77117194 0.76176219 0.73182207 0.72968349
 0.72284003 0.73866553 0.7566296  0.79426861]";75.19$\pm$1.75;"[0.74165954 0.73481608 0.72284003 0.75620188 0.73994867 0.76176219
 0.75834046 0.74764756 0.76946108 0.78656972]";78.31$\pm$1.94;"[0.76390077 0.75705731 0.76646707 0.77416595 0.77373824 0.81736527
 0.78229256 0.78699743 0.79640719 0.81308811]";77.3$\pm$2.2;"[0.77373824 0.74807528 0.7326775  0.76518392 0.79426861 0.77416595
 0.76646707 0.79426861 0.76860565 0.81266039]";63.34$\pm$3.0;"[0.64157399 0.61633875 0.62189906 0.65012831 0.63002566 0.66082121
 0.63344739 0.64756202 0.55816938 0.67365269]";73.42$\pm$2.62;"[0.74379812 0.71642429 0.70872541 0.76988879 0.74721985 0.71556886
 0.72840034 0.74422583 0.6899059  0.7780154 ]";71.56$\pm$2.07;"[0.72070145 0.69589393 0.66381523 0.71514115 0.71899059 0.73652695
 0.71343028 0.72326775 0.73567151 0.73224979]";81.66$\pm$2.45;"[0.78015398 0.77416595 0.79127459 0.8396065  0.81779299 0.83361848
 0.83661249 0.83661249 0.84088965 0.81522669]";67.81$\pm$5.2;"[0.71899059 0.60607357 0.60735672 0.63344739 0.71214713 0.74978614
 0.73396065 0.69375535 0.70188195 0.62403764]"
Hits@50;81.68$\pm$1.07;"[0.80410607 0.79897348 0.80838323 0.81864842 0.81522669 0.83404619
 0.82848589 0.81736527 0.81394354 0.82848589]";82.06$\pm$1.56;"[0.8289136  0.78528657 0.81351583 0.83105218 0.82035928 0.83190761
 0.81351583 0.81394354 0.81950385 0.84773311]";80.76$\pm$0.88;"[0.79854577 0.79640719 0.79127459 0.8100941  0.81437126 0.81223268
 0.81266039 0.80581694 0.81736527 0.81736527]";83.53$\pm$0.8;"[0.82591959 0.82591959 0.83062447 0.84003422 0.82549187 0.84516681
 0.84559453 0.8396065  0.83062447 0.84388366]";83.32$\pm$0.72;"[0.8289136  0.82506416 0.82677502 0.83532934 0.82378101 0.8421728
 0.8396065  0.84003422 0.82720274 0.84302823]";71.83$\pm$1.52;"[0.72583405 0.71685201 0.69204448 0.72070145 0.713858   0.73481608
 0.7031651  0.73738238 0.70102652 0.73781009]";81.51$\pm$1.29;"[0.81308811 0.78956373 0.80581694 0.81907613 0.80196749 0.82506416
 0.81693755 0.81993157 0.82121471 0.83875107]";79.95$\pm$1.41;"[0.8075278  0.79341317 0.77074423 0.79982891 0.78100941 0.81907613
 0.79769033 0.80538922 0.80367836 0.81650984]";89.69$\pm$1.12;"[0.89520958 0.87467921 0.89221557 0.89948674 0.88323353 0.8956373
 0.90590248 0.89948674 0.90804106 0.91488452]";82.66$\pm$2.02;"[0.84003422 0.8075278  0.78785287 0.80624465 0.84644996 0.85414885
 0.82378101 0.84687767 0.82249786 0.83105218]"
Hits@100;84.27$\pm$0.84;"[0.83789564 0.83404619 0.83105218 0.84431138 0.83105218 0.85372113
 0.8528657  0.84730539 0.8421728  0.85243798]";85.03$\pm$1.04;"[0.84773311 0.83019675 0.8396065  0.85457656 0.84046193 0.86227545
 0.85457656 0.85201027 0.85500428 0.86612489]";83.68$\pm$0.7;"[0.83447391 0.83190761 0.82164243 0.83190761 0.83917879 0.8421728
 0.83490163 0.84388366 0.84131737 0.84687767]";85.64$\pm$0.5;"[0.85115483 0.85543199 0.84944397 0.85500428 0.85243798 0.86142002
 0.86655261 0.85842601 0.85329341 0.86056459]";85.46$\pm$0.6;"[0.85072712 0.84901625 0.84644996 0.85799829 0.84687767 0.86013687
 0.86612489 0.85671514 0.85414885 0.85799829]";78.43$\pm$1.49;"[0.78443114 0.77502139 0.76561163 0.76817793 0.78571429 0.80453379
 0.77331052 0.79512404 0.7780154  0.81308811]";84.66$\pm$0.61;"[0.83917879 0.84345595 0.84046193 0.84816082 0.83789564 0.85628743
 0.84516681 0.84944397 0.8528657  0.85329341]";82.94$\pm$0.8;"[0.83105218 0.83190761 0.80966638 0.83190761 0.82249786 0.8421728
 0.82976903 0.83361848 0.82934132 0.83233533]";92.39$\pm$0.66;"[0.92001711 0.92172797 0.91830624 0.93028229 0.90932421 0.92600513
 0.92942686 0.92472198 0.92600513 0.9332763 ]";89.38$\pm$1.34;"[0.90290847 0.88537211 0.86441403 0.88665526 0.89606501 0.91488452
 0.89093242 0.89734816 0.88964927 0.90932421]"
ROCAUC;90.96$\pm$0.33;"[0.90729832 0.90522432 0.90604725 0.90847051 0.90704065 0.91444537
 0.91573336 0.91127207 0.90955856 0.91063571]";91.49$\pm$0.45;"[0.90994657 0.9200687  0.90947813 0.9099334  0.91228822 0.92071631
 0.92108567 0.91838125 0.91387871 0.91323768]";92.52$\pm$0.24;"[0.92466088 0.92397119 0.91997172 0.92295532 0.92547982 0.92881968
 0.92734993 0.92641035 0.92531746 0.92754367]";92.37$\pm$0.32;"[0.92257042 0.92131114 0.9215897  0.92158144 0.91764638 0.92927685
 0.92511467 0.9258403  0.92616338 0.92592409]";91.63$\pm$0.28;"[0.91996085 0.91147651 0.91276351 0.91854901 0.91455102 0.91998637
 0.91613876 0.91431868 0.91868841 0.9169137 ]";90.85$\pm$0.28;"[0.90974424 0.90954703 0.90414989 0.9098959  0.90406941 0.91342904
 0.9062905  0.9098959  0.90724691 0.91045442]";91.2$\pm$0.42;"[0.90972659 0.91152032 0.91244377 0.91697581 0.90456674 0.92056977
 0.9093576  0.90962588 0.91324692 0.91219281]";90.61$\pm$0.35;"[0.90571497 0.90653399 0.90485543 0.90485953 0.90093783 0.91512325
 0.90412484 0.90621641 0.90453079 0.90778577]";96.81$\pm$0.3;"[0.96558716 0.96658656 0.96794582 0.97031362 0.96273575 0.96723033
 0.97028343 0.96754636 0.96822169 0.97442275]";96.44$\pm$0.18;"[0.96438926 0.96481798 0.96029022 0.96240289 0.96494888 0.96618702
 0.96528164 0.96478295 0.96363463 0.96689317]"
AP;94.21$\pm$0.27;"[0.94021924 0.93838911 0.93901714 0.93955605 0.94131446 0.94551952
 0.94668365 0.94407371 0.9416357  0.94430857]";94.64$\pm$0.24;"[0.94332231 0.94683113 0.94346672 0.94444928 0.9446178  0.94982951
 0.949819   0.94865056 0.9457508  0.94742995]";94.95$\pm$0.24;"[0.94886018 0.94802492 0.94639935 0.94871623 0.94497884 0.95263795
 0.9518299  0.95092984 0.95078844 0.95196965]";94.98$\pm$0.27;"[0.94934808 0.94645085 0.94712595 0.94809532 0.94605439 0.95406906
 0.95290465 0.95152457 0.95153767 0.95109587]";94.68$\pm$0.19;"[0.94749848 0.94351355 0.94393062 0.94840372 0.94520249 0.94956177
 0.94796511 0.94699671 0.94779961 0.94679404]";93.37$\pm$0.25;"[0.93665609 0.93178418 0.93069349 0.9360509  0.9300401  0.936049
 0.93348061 0.93621544 0.93085581 0.93499219]";94.21$\pm$0.29;"[0.93787946 0.94134556 0.94219012 0.94635095 0.9373412  0.94693451
 0.94145865 0.94322504 0.94147558 0.94328316]";93.81$\pm$0.33;"[0.9375505  0.93894484 0.93356547 0.93777047 0.9322542  0.94518704
 0.93862688 0.93995503 0.93777425 0.93933478]";97.61$\pm$0.23;"[0.97466353 0.97389474 0.97726128 0.977191   0.97130001 0.97482029
 0.97787165 0.97675151 0.9770527  0.98002361]";96.93$\pm$0.29;"[0.96986942 0.96697612 0.96527813 0.96373523 0.97022557 0.97252505
 0.97223934 0.97188582 0.97186003 0.96845243]"
pretrain_time;8.02$\pm$0.37;"[7.42703867 7.85127759 8.45036459 7.86228609 8.34300208 7.88677907
 8.16646075 8.59865308 8.13517046 7.45982599]";9.02$\pm$0.19;"[9.08714509 9.24051642 9.19251847 8.90908575 8.86574244 8.87603331
 8.86287785 8.86590695 9.39492226 8.87634063]";8.12$\pm$0.26;"[8.60894203 7.83801985 7.96368337 7.71931696 8.39771962 8.31764007
 8.13089204 8.15901303 7.88590813 8.20675087]";8.76$\pm$0.06;"[8.89214277 8.76536846 8.7901535  8.77423143 8.70821881 8.66453791
 8.7501266  8.73961878 8.78243756 8.76130223]";8.78$\pm$0.15;"[8.66687822 8.63470006 8.67020941 8.71318841 8.97635651 9.04515338
 8.82657862 8.69812679 8.63617802 8.9500885 ]";nan$\pm$nan;[];8.34$\pm$0.49;"[7.74089718 7.43698454 8.47144294 8.87481833 8.48489118 8.10430002
 8.6160965  9.10860848 8.54063869 8.02186108]";2.33$\pm$0.05;"[2.25830793 2.25062299 2.45345426 2.33575654 2.3279388  2.30018139
 2.33264017 2.33998799 2.3719964  2.33552647]";1.99$\pm$0.12;"[1.91025162 1.88125277 1.97633862 1.98059702 1.97239518 1.99165249
 1.94218922 1.90758491 2.3454566  1.98687601]";12.12$\pm$0.28;"[11.80577207 11.42456722 12.33210254 12.36981773 12.34007478 12.04986691
 12.35181642 12.14752603 12.23983836 12.10033727]"
