metrics;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;79.36$\pm$1.07;"[0.76824818 0.80474453 0.79927007 0.80109489 0.78467153 0.79562044
 0.79562044 0.78467153 0.80291971 0.79927007]";92.99$\pm$1.18;"[0.93613139 0.92153285 0.93430657 0.94708029 0.94160584 0.91240876
 0.93978102 0.92335766 0.91058394 0.93248175]";79.64$\pm$1.14;"[0.77189781 0.81021898 0.79744526 0.80474453 0.78832117 0.79744526
 0.79562044 0.78832117 0.79562044 0.81386861]";93.7$\pm$1.04;"[0.94343066 0.93613139 0.9270073  0.95255474 0.93430657 0.91970803
 0.94890511 0.92335766 0.94343066 0.94160584]";79.64$\pm$1.14;"[0.77189781 0.81021898 0.79744526 0.80474453 0.78832117 0.79744526
 0.79562044 0.78832117 0.79562044 0.81386861]";69.05$\pm$6.63;"[0.64051095 0.66970803 0.64781022 0.73540146 0.74087591 0.67335766
 0.64963504 0.75729927 0.57664234 0.81386861]";95.18$\pm$0.83;"[0.95985401 0.95255474 0.95620438 0.96532847 0.94890511 0.94160584
 0.9580292  0.94708029 0.93613139 0.95255474]";78.78$\pm$5.44;"[0.76642336 0.7080292  0.80291971 0.82664234 0.84671533 0.80656934
 0.81934307 0.83394161 0.79744526 0.66970803]";78.92$\pm$5.98;"[0.82116788 0.83394161 0.82846715 0.82116788 0.65693431 0.82664234
 0.8120438  0.6879562  0.7919708  0.8120438 ]";86.09$\pm$1.23;"[0.84854015 0.85036496 0.87408759 0.87226277 0.85036496 0.86313869
 0.87043796 0.85948905 0.84124088 0.87956204]";90.11$\pm$1.12;"[0.89963504 0.89233577 0.90510949 0.91058394 0.87956204 0.91788321
 0.90145985 0.8959854  0.89233577 0.91605839]"
Hits@50;80.71$\pm$0.99;"[0.78649635 0.82664234 0.80291971 0.8120438  0.80474453 0.8120438
 0.80474453 0.79927007 0.81021898 0.8120438 ]";94.65$\pm$1.1;"[0.9580292  0.93430657 0.94890511 0.96167883 0.95437956 0.93248175
 0.94890511 0.93430657 0.93430657 0.9580292 ]";81.09$\pm$0.65;"[0.79927007 0.8229927  0.81569343 0.80656934 0.80656934 0.8120438
 0.81021898 0.80839416 0.80839416 0.81934307]";95.09$\pm$0.9;"[0.95985401 0.9580292  0.94160584 0.96167883 0.94890511 0.9379562
 0.9580292  0.93613139 0.95620438 0.95072993]";81.09$\pm$0.65;"[0.79927007 0.8229927  0.81569343 0.80656934 0.80656934 0.8120438
 0.81021898 0.80839416 0.80839416 0.81934307]";80.44$\pm$5.17;"[0.79014599 0.77007299 0.7919708  0.82846715 0.81021898 0.82664234
 0.82846715 0.82481752 0.68065693 0.89233577]";95.69$\pm$0.89;"[0.96167883 0.95985401 0.96350365 0.96715328 0.95620438 0.94525547
 0.96715328 0.95255474 0.9379562  0.9580292 ]";88.41$\pm$2.65;"[0.85766423 0.83941606 0.88321168 0.93065693 0.92153285 0.87956204
 0.89051095 0.89963504 0.87408759 0.8649635 ]";90.42$\pm$0.95;"[0.91605839 0.90510949 0.90693431 0.91423358 0.88138686 0.91058394
 0.90510949 0.8959854  0.89963504 0.90693431]";88.01$\pm$1.43;"[0.85766423 0.87226277 0.8959854  0.90145985 0.8649635  0.88686131
 0.88321168 0.88138686 0.86313869 0.89416058]";90.51$\pm$1.14;"[0.90693431 0.89416058 0.90875912 0.91605839 0.88321168 0.91970803
 0.90328467 0.89781022 0.89963504 0.92153285]"
Hits@100;82.59$\pm$1.22;"[0.79927007 0.84854015 0.8229927  0.83576642 0.8229927  0.82116788
 0.83394161 0.81934307 0.83029197 0.82481752]";95.97$\pm$1.1;"[0.97080292 0.94343066 0.9580292  0.97445255 0.96532847 0.94160584
 0.96532847 0.95255474 0.95437956 0.97080292]";83.43$\pm$0.96;"[0.81934307 0.84124088 0.84489051 0.82664234 0.83941606 0.83759124
 0.8229927  0.84489051 0.8229927  0.84306569]";95.91$\pm$0.84;"[0.96532847 0.97080292 0.94890511 0.97080292 0.95620438 0.95072993
 0.95985401 0.94525547 0.96350365 0.95985401]";83.43$\pm$0.96;"[0.81934307 0.84124088 0.84489051 0.82664234 0.83941606 0.83759124
 0.8229927  0.84489051 0.8229927  0.84306569]";87.61$\pm$4.21;"[0.83941606 0.87408759 0.85583942 0.90510949 0.87773723 0.91788321
 0.87043796 0.89051095 0.78467153 0.94525547]";96.31$\pm$0.67;"[0.96715328 0.96532847 0.96532847 0.97262774 0.96350365 0.95072993
 0.97080292 0.96167883 0.95255474 0.96167883]";93.08$\pm$2.0;"[0.90693431 0.90875912 0.94708029 0.96715328 0.94160584 0.92518248
 0.92518248 0.95620438 0.91970803 0.91058394]";94.05$\pm$0.91;"[0.94343066 0.94343066 0.9379562  0.94708029 0.91970803 0.94708029
 0.93248175 0.95072993 0.93430657 0.94890511]";90.18$\pm$1.48;"[0.88138686 0.89781022 0.92153285 0.91240876 0.87956204 0.91605839
 0.90875912 0.90328467 0.88321168 0.91423358]";91.04$\pm$1.18;"[0.91240876 0.90875912 0.91058394 0.92335766 0.8850365  0.91970803
 0.90510949 0.89963504 0.91058394 0.92883212]"
ROCAUC;89.1$\pm$0.68;"[0.87299869 0.89924543 0.89418389 0.89541931 0.89229248 0.88989158
 0.8948732  0.88729754 0.89384091 0.89037109]";97.51$\pm$0.62;"[0.98377977 0.9648989  0.97767596 0.98246444 0.97526839 0.96731645
 0.97878816 0.97048657 0.97006367 0.9801268 ]";89.5$\pm$0.51;"[0.88753397 0.89760709 0.90333129 0.89442032 0.89883918 0.89134344
 0.88948532 0.89793676 0.88927553 0.90028105]";97.65$\pm$0.42;"[0.97793902 0.98123901 0.9735235  0.98171187 0.97570129 0.97102603
 0.97568464 0.96879495 0.98142549 0.97782913]";89.5$\pm$0.51;"[0.88753397 0.89760709 0.90333129 0.89442032 0.89883918 0.89134344
 0.88948532 0.89793676 0.88927553 0.90028105]";92.76$\pm$1.64;"[0.90807981 0.91725052 0.92856572 0.93685066 0.93630121 0.94119625
 0.91107012 0.93340082 0.90430031 0.95916471]";97.71$\pm$0.34;"[0.97996197 0.97333369 0.98031994 0.9817152  0.97665033 0.97442259
 0.98165193 0.97670028 0.97429938 0.97212824]";95.35$\pm$1.31;"[0.95300762 0.94249494 0.96222828 0.97073632 0.96330718 0.95471922
 0.94135276 0.9648656  0.95718339 0.9247063 ]";95.2$\pm$0.69;"[0.95693031 0.95306756 0.95300762 0.95773616 0.93336752 0.95787935
 0.95392003 0.95606785 0.94791278 0.95027039]";94.62$\pm$0.76;"[0.94231845 0.94375699 0.95872516 0.95038694 0.93162928 0.94952781
 0.94423651 0.95122942 0.93729354 0.95291771]";93.01$\pm$0.86;"[0.92930497 0.92726371 0.93288468 0.93390697 0.91314967 0.94349726
 0.9298644  0.92257845 0.92580518 0.94283792]"
AP;92.85$\pm$0.4;"[0.91818946 0.93330603 0.93009316 0.93178246 0.92787496 0.92716992
 0.93104235 0.92661053 0.92942507 0.92938908]";97.96$\pm$0.43;"[0.98207107 0.97062956 0.98366395 0.98398463 0.98019754 0.97379362
 0.98429403 0.97846601 0.97869541 0.98065083]";93.11$\pm$0.35;"[0.92586767 0.93251753 0.936927   0.93053575 0.93157774 0.92897517
 0.92862839 0.93376178 0.92667772 0.93538401]";98.33$\pm$0.27;"[0.98465419 0.9862955  0.9817603  0.98612645 0.98295489 0.97860657
 0.98433056 0.97870658 0.98537866 0.98448442]";93.11$\pm$0.35;"[0.92586767 0.93251753 0.936927   0.93053575 0.93157774 0.92897517
 0.92862839 0.93376178 0.92667772 0.93538401]";93.17$\pm$1.57;"[0.91742148 0.91401276 0.93365289 0.93755365 0.94278797 0.93940645
 0.9207128  0.94007117 0.90833612 0.9630329 ]";98.15$\pm$0.4;"[0.98080123 0.97454298 0.98723967 0.98486926 0.98141205 0.97522503
 0.98597102 0.9841435  0.98052636 0.98040472]";96.0$\pm$0.96;"[0.95832989 0.95047969 0.96770291 0.97107232 0.96586954 0.95982499
 0.95543661 0.969403   0.96359215 0.93785751]";95.63$\pm$0.75;"[0.9536604  0.95092515 0.96009943 0.96425291 0.93699957 0.96327852
 0.95962806 0.95774114 0.95852909 0.95797025]";96.27$\pm$0.49;"[0.95861646 0.96082189 0.97049094 0.96634065 0.95387047 0.96532943
 0.96280665 0.96585718 0.95680924 0.96640215]";95.92$\pm$0.48;"[0.95956616 0.95629933 0.96154308 0.96245199 0.94941049 0.96580662
 0.95886077 0.95561291 0.95656239 0.96628748]"
pretrain_time;nan$\pm$nan;[];1.79$\pm$0.01;"[1.7947607  1.79517937 1.79164839 1.80381036 1.7905066  1.78576803
 1.7895596  1.78584599 1.79003692 1.78812766]";nan$\pm$nan;[];43.37$\pm$0.26;"[43.36042833 43.23080516 43.11036277 43.00414562 43.17150426 43.29075694
 43.37075734 43.83984756 43.68368435 43.67194462]";nan$\pm$nan;[];6.51$\pm$0.03;"[6.50819325 6.55528903 6.48108983 6.53699446 6.49207425 6.50756979
 6.52105689 6.54396462 6.47156596 6.5155673 ]";21.94$\pm$0.7;"[21.04701328 23.53343034 22.04265356 22.08730817 22.0764668  22.1249516
 22.05435061 21.94241929 21.73603678 20.75963449]";47.76$\pm$0.26;"[48.16378999 47.79585075 47.78888631 48.05251288 48.08378744 47.53968787
 47.41782999 47.62493443 47.43219948 47.65937495]";51.85$\pm$0.32;"[51.84436893 51.91607285 51.99244738 51.87483644 51.74073029 51.84477234
 51.68586135 52.46428847 52.02991772 51.10896158]";28.56$\pm$0.95;"[29.29472947 29.20598412 30.69389534 29.26816964 28.07367086 27.80559874
 27.81460857 27.8233633  27.79297733 27.80241179]";50.02$\pm$1.01;"[49.83624554 51.44774008 51.14869928 51.43700314 50.79280972 49.49110103
 49.12057233 48.97759914 48.96063924 49.01034212]"
