metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;71.37$\pm$12.09;"[0.78907436 0.41047041 0.65477997 0.84066768 0.71168437 0.67526555
 0.80652504 0.76631259 0.8262519  0.65629742]";33.69$\pm$5.92;"[0.40819423 0.46054628 0.31942337 0.33763278 0.35356601 0.3292868
 0.34066768 0.25644917 0.30804249 0.25493171]";21.01$\pm$18.85;"[0.48786039 0.         0.2185129  0.22078907 0.43626707 0.
 0.37632777 0.36115326 0.         0.        ]";10.24$\pm$16.83;"[0.45068285 0.         0.         0.         0.18512898 0.
 0.         0.38846737 0.         0.        ]";73.47$\pm$5.95;"[0.8383915  0.75417299 0.75265554 0.74051593 0.74962064 0.75189681
 0.67754173 0.76403642 0.7215478  0.59635812]";29.94$\pm$3.12;"[0.32018209 0.28224583 0.33308042 0.27162367 0.28831563 0.30880121
 0.32549317 0.33687405 0.29742033 0.22989378]";59.93$\pm$4.42;"[0.63505311 0.63505311 0.64719272 0.66919575 0.56449165 0.54931715
 0.56525038 0.59028832 0.60698027 0.53034901]";79.85$\pm$4.76;"[0.79590288 0.84370258 0.77693475 0.83763278 0.78376328 0.74203338
 0.83004552 0.7754173  0.88239757 0.71699545]";29.7$\pm$2.98;"[0.32549317 0.28376328 0.32094082 0.27086495 0.28224583 0.31031866
 0.32549317 0.32701062 0.29362671 0.22989378]";81.62$\pm$8.31;"[0.96054628 0.66691958 0.85508346 0.86494689 0.84901366 0.88088012
 0.79059181 0.79893778 0.80424886 0.69119879]";82.91$\pm$5.65;"[0.93095599 0.88467375 0.84370258 0.86949924 0.80349014 0.82018209
 0.78224583 0.85432473 0.77010622 0.73141123]"
Hits@50;96.44$\pm$4.67;"[0.99013657 0.83383915 0.99468892 0.99165402 0.97344461 0.95902883
 0.98558422 0.98558422 0.99165402 0.93854325]";63.05$\pm$8.45;"[0.72837633 0.676783   0.49468892 0.71699545 0.73520486 0.63277693
 0.676783   0.53717754 0.54931715 0.5569044 ]";34.2$\pm$30.17;"[0.71699545 0.         0.33990895 0.4400607  0.54552352 0.
 0.61760243 0.76024279 0.         0.        ]";22.97$\pm$30.44;"[0.77314112 0.         0.         0.         0.5030349  0.
 0.30728376 0.71320182 0.         0.        ]";97.0$\pm$1.64;"[0.98254932 0.95371775 0.98103187 0.96737481 0.98406677 0.92867982
 0.97951442 0.98103187 0.97496206 0.96661608]";33.59$\pm$1.44;"[0.33687405 0.32018209 0.34522003 0.3292868  0.32776935 0.35356601
 0.34522003 0.35963581 0.33080425 0.31031866]";90.62$\pm$4.23;"[0.91578149 0.90136571 0.96813354 0.88846737 0.91350531 0.83004552
 0.92867982 0.92867982 0.95068285 0.83687405]";98.17$\pm$1.22;"[0.99013657 0.97572079 0.99468892 0.98786039 0.95144158 0.97268589
 0.99013657 0.98406677 0.99165402 0.97875569]";33.41$\pm$1.38;"[0.3414264  0.31638847 0.35053111 0.33459788 0.32169954 0.34749621
 0.34825493 0.34294385 0.32776935 0.30955994]";98.69$\pm$0.55;"[0.99468892 0.97723824 0.99317147 0.98634294 0.98786039 0.98179059
 0.98254932 0.99241275 0.99013657 0.98254932]";98.2$\pm$0.78;"[0.98861912 0.98179059 0.98786039 0.98710167 0.96358118 0.97951442
 0.98937785 0.97647951 0.98861912 0.97723824]"
Hits@100;99.56$\pm$1.09;"[0.99924127 0.96282246 1.         0.99924127 0.99924127 0.99848255
 0.99848255 0.99924127 1.         0.99924127]";90.52$\pm$8.0;"[0.98482549 0.82852807 0.73141123 0.99241275 0.8383915  0.94688923
 0.98861912 0.9339909  0.89984825 0.90667678]";48.86$\pm$35.51;"[0.91729894 0.         0.44992413 0.61532625 0.65250379 0.
 0.86418816 0.90743551 0.         0.47951442]";50.75$\pm$42.98;"[0.98406677 0.         0.         0.88239757 0.68512898 0.
 0.60546282 0.97192716 0.9461305  0.        ]";99.8$\pm$0.13;"[0.99848255 0.99544765 1.         0.99848255 0.99772382 0.99620637
 0.99848255 0.9969651  0.99924127 0.99848255]";36.24$\pm$1.15;"[0.35735964 0.35432473 0.37405159 0.35811836 0.35811836 0.38391502
 0.36267071 0.37632777 0.35584219 0.34370258]";99.56$\pm$0.18;"[0.99544765 0.9939302  0.9969651  0.99620637 0.99620637 0.99165402
 0.9939302  0.99772382 0.99620637 0.99772382]";99.89$\pm$0.09;"[0.99924127 0.99924127 1.         0.99924127 0.9969651  0.99772382
 0.99848255 0.99848255 1.         0.99924127]";36.15$\pm$1.18;"[0.36798179 0.34294385 0.37784522 0.36039454 0.35053111 0.37025797
 0.37632777 0.36418816 0.36039454 0.34370258]";99.84$\pm$0.09;"[0.99924127 0.99848255 0.99772382 0.99772382 1.         0.99848255
 0.9969651  0.99924127 0.99772382 0.99848255]";99.87$\pm$0.13;"[0.99772382 0.99924127 0.99924127 0.99924127 0.99544765 0.99924127
 0.99848255 1.         1.         0.99848255]"
ROCAUC;98.82$\pm$0.42;"[0.99061667 0.97702467 0.98842109 0.99206389 0.988215   0.98780398
 0.99024077 0.99114456 0.99118219 0.98508339]";96.58$\pm$0.8;"[0.97573    0.96741626 0.94520195 0.97315736 0.96474805 0.96854801
 0.97238251 0.96350174 0.96346827 0.96347008]";91.3$\pm$4.53;"[0.97280447 0.89643399 0.84881736 0.91584942 0.93507602 0.87176966
 0.96553787 0.97132559 0.84914472 0.90340931]";92.21$\pm$4.21;"[0.97773964 0.84522003 0.88004512 0.95748979 0.93730384 0.89449918
 0.93294693 0.97472316 0.9381322  0.88268166]";98.93$\pm$0.15;"[0.99184514 0.98959487 0.9912712  0.98913261 0.98911246 0.98729221
 0.98979002 0.98958624 0.98926839 0.98641087]";65.24$\pm$0.86;"[0.64280961 0.66467448 0.65830591 0.64909298 0.64522625 0.65999434
 0.66005017 0.6563452  0.6508187  0.63632533]";98.47$\pm$0.19;"[0.98647189 0.98485946 0.98808433 0.98476678 0.98361142 0.98149931
 0.98477944 0.98505979 0.98565796 0.98184989]";99.08$\pm$0.16;"[0.99216924 0.99146175 0.99036453 0.99226595 0.99015729 0.99104094
 0.99092811 0.98982801 0.99298078 0.98707173]";66.08$\pm$0.68;"[0.65103873 0.65103527 0.6620886  0.66512178 0.65953035 0.66595016
 0.65830476 0.67386324 0.66512156 0.65576493]";99.17$\pm$0.2;"[0.99630654 0.98844613 0.99180945 0.99180485 0.99225214 0.99228783
 0.99137367 0.99172368 0.99150625 0.9889933 ]";99.15$\pm$0.14;"[0.9942376  0.99299302 0.9920685  0.99222623 0.99033863 0.99097646
 0.99073411 0.9914013  0.99130375 0.98894034]"
AP;98.15$\pm$0.69;"[0.98478816 0.96424327 0.9825455  0.98933045 0.98101801 0.9807723
 0.98487036 0.98754427 0.98449997 0.97490436]";94.87$\pm$1.07;"[0.96369095 0.95635036 0.92716373 0.95722441 0.95251369 0.95289114
 0.95603346 0.93857634 0.94427526 0.93781563]";87.64$\pm$6.7;"[0.96283472 0.82956561 0.83178032 0.89399624 0.92182335 0.79682704
 0.95299916 0.95605668 0.76836369 0.85018626]";88.45$\pm$5.77;"[0.96738734 0.81210834 0.80810519 0.9235739  0.91363609 0.85453034
 0.88473903 0.96210429 0.9084387  0.81025494]";98.43$\pm$0.28;"[0.98899808 0.98645705 0.98685896 0.98469013 0.9834776  0.98164263
 0.98535764 0.98425233 0.98280439 0.97860451]";72.23$\pm$0.91;"[0.71801431 0.72608169 0.72980279 0.7133088  0.71567454 0.73255477
 0.72736642 0.73494344 0.7204911  0.70437021]";97.67$\pm$0.34;"[0.97883856 0.97960515 0.98320181 0.97743024 0.97382722 0.97272423
 0.97589442 0.97677547 0.97782962 0.97076877]";98.61$\pm$0.35;"[0.98924493 0.98837576 0.98355033 0.9891619  0.98632454 0.98763114
 0.98548848 0.98142898 0.99020874 0.97925433]";72.68$\pm$0.74;"[0.7265074  0.71732154 0.73305074 0.72103103 0.72313549 0.73350631
 0.7296824  0.73980877 0.72928848 0.7151084 ]";98.71$\pm$0.32;"[0.99433501 0.98273607 0.9879052  0.98921254 0.9876602  0.98942502
 0.9861294  0.98569296 0.98464325 0.9835949 ]";98.72$\pm$0.24;"[0.9920553  0.99007323 0.98865798 0.98768729 0.98590425 0.98625656
 0.98718968 0.98487556 0.98563681 0.98354139]"
pretrain_time;119.98$\pm$0.47;"[118.95603013 120.11138344 120.78412437 119.49837446 120.02269912
 120.02248812 119.7975769  120.09094214 120.4257431  120.06778336]";2.94$\pm$0.12;"[2.8888092  2.93611741 2.94457817 2.89541864 2.89850497 3.2878778
 2.86866879 2.92865181 2.89932823 2.9001863 ]";14.24$\pm$0.1;"[14.2367847  14.23507476 14.25609684 14.53256345 14.20576739 14.17691302
 14.20700669 14.17964983 14.22470665 14.14417934]";17.61$\pm$0.04;"[17.64835906 17.62563252 17.59840727 17.68058491 17.56652021 17.62019968
 17.63846946 17.59221721 17.55278707 17.53889036]";40.66$\pm$0.12;"[40.54302096 40.56324077 40.55858731 40.59246588 40.61167717 40.68502808
 40.77267599 40.94699621 40.68492508 40.68033957]";nan$\pm$nan;[];2.79$\pm$0.15;"[2.85673761 3.08341217 2.93601871 2.60455179 2.86558199 2.82583094
 2.61252117 2.77477574 2.63568974 2.74642944]";125.27$\pm$1.64;"[124.00878787 126.67213607 124.98997259 124.32948852 122.51264668
 127.99066186 127.42779136 124.43725967 126.147753   124.16865396]";nan$\pm$nan;[];110.76$\pm$0.24;"[110.62655234 111.19590735 110.61614609 110.97910404 110.6593647
 110.7197938  110.48497653 110.49577665 111.11701941 110.69236612]";63.49$\pm$0.47;"[63.40258193 62.78972507 63.64869356 63.76609707 63.29252601 63.51679349
 63.69822669 62.60478592 64.09806895 64.09705591]"
