metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;56.68$\pm$2.55;"[0.56682464 0.51753555 0.58483412 0.59241706 0.53459716 0.56303318
 0.54881517 0.58672986 0.6028436  0.57061611]";51.03$\pm$4.31;"[0.49004739 0.5042654  0.51753555 0.492891   0.50047393 0.53933649
 0.44834123 0.59241706 0.45308057 0.56492891]";49.18$\pm$3.89;"[0.43127962 0.46445498 0.49668246 0.53080569 0.47677725 0.51753555
 0.4464455  0.57061611 0.492891   0.49004739]";41.42$\pm$4.69;"[0.46635071 0.33175355 0.48909953 0.43222749 0.43127962 0.36208531
 0.40379147 0.44265403 0.36303318 0.41990521]";46.4$\pm$3.92;"[0.4492891  0.40473934 0.48246445 0.50805687 0.49478673 0.47014218
 0.49383886 0.48246445 0.38009479 0.47393365]";43.87$\pm$2.89;"[0.41327014 0.40473934 0.48720379 0.45971564 0.41990521 0.46919431
 0.42843602 0.45402844 0.39526066 0.4549763 ]";45.46$\pm$2.97;"[0.43317536 0.3971564  0.46919431 0.47772512 0.47677725 0.45308057
 0.41706161 0.49668246 0.47867299 0.4464455 ]";57.28$\pm$4.61;"[0.47488152 0.6        0.61800948 0.61232227 0.52227488 0.55165877
 0.55450237 0.63412322 0.57251185 0.58767773]";45.46$\pm$2.97;"[0.43317536 0.3971564  0.46919431 0.47772512 0.47677725 0.45308057
 0.41706161 0.49668246 0.47867299 0.4464455 ]";51.3$\pm$6.63;"[0.51184834 0.3971564  0.54407583 0.58483412 0.50236967 0.53838863
 0.6056872  0.56966825 0.42180095 0.45402844]";50.64$\pm$3.79;"[0.47014218 0.52132701 0.46919431 0.54597156 0.49478673 0.50616114
 0.47393365 0.59146919 0.47109005 0.52037915]";54.77$\pm$3.89;"[0.50995261 0.57345972 0.58483412 0.54976303 0.47488152 0.55450237
 0.53933649 0.60473934 0.58104265 0.5042654 ]";53.8$\pm$4.48;"[0.46540284 0.5535545  0.59526066 0.56398104 0.45402844 0.54407583
 0.51943128 0.58672986 0.56492891 0.53270142]";48.88$\pm$3.88;"[0.46066351 0.41232227 0.48151659 0.53080569 0.49004739 0.5535545
 0.47014218 0.53080569 0.48720379 0.47109005]";39.22$\pm$3.39;"[0.39526066 0.34691943 0.39620853 0.38009479 0.32606635 0.38672986
 0.44265403 0.43507109 0.41327014 0.4       ]";59.89$\pm$2.39;"[0.56682464 0.6        0.58767773 0.63317536 0.59052133 0.60379147
 0.56587678 0.64549763 0.5943128  0.60094787]";73.62$\pm$2.93;"[0.71374408 0.72606635 0.72417062 0.75829384 0.76113744 0.76872038
 0.68909953 0.692891   0.76018957 0.76777251]";52.57$\pm$3.49;"[0.47962085 0.48815166 0.55829384 0.57914692 0.54312796 0.52132701
 0.46540284 0.54881517 0.53838863 0.53459716]";46.42$\pm$4.14;"[0.40947867 0.41800948 0.47488152 0.46729858 0.42180095 0.53080569
 0.44549763 0.53554502 0.46066351 0.47772512]";48.12$\pm$4.93;"[0.48056872 0.4436019  0.46066351 0.45781991 0.42748815 0.49478673
 0.43886256 0.6        0.53459716 0.47393365]";48.16$\pm$6.03;"[0.4436019  0.44739336 0.47582938 0.5535545  0.36208531 0.54123223
 0.50236967 0.56018957 0.42274882 0.507109  ]";62.49$\pm$2.91;"[0.60094787 0.62369668 0.61327014 0.62369668 0.58578199 0.64454976
 0.57819905 0.65971564 0.66255924 0.65687204]";54.52$\pm$4.17;"[0.57345972 0.53364929 0.49952607 0.5450237  0.54691943 0.58388626
 0.45118483 0.54312796 0.6028436  0.57251185]";69.73$\pm$2.08;"[0.70047393 0.68246445 0.74123223 0.67014218 0.69099526 0.67772512
 0.68909953 0.69763033 0.72796209 0.6957346 ]";42.19$\pm$2.9;"[0.38862559 0.37251185 0.42085308 0.38578199 0.43886256 0.43412322
 0.43507109 0.46540284 0.42369668 0.45402844]";51.54$\pm$4.63;"[0.40663507 0.52701422 0.53554502 0.52037915 0.51848341 0.57061611
 0.4549763  0.55734597 0.53649289 0.52606635]";48.95$\pm$2.73;"[0.45592417 0.52796209 0.52322275 0.46066351 0.47962085 0.46066351
 0.47393365 0.51848341 0.51658768 0.47772512]";56.69$\pm$2.04;"[0.55450237 0.54123223 0.58862559 0.56492891 0.53459716 0.58672986
 0.58767773 0.59241706 0.56966825 0.54881517]";62.13$\pm$2.66;"[0.60663507 0.59905213 0.62085308 0.63886256 0.62085308 0.6464455
 0.56587678 0.66919431 0.61895735 0.62654028]";55.79$\pm$2.83;"[0.56303318 0.507109   0.56966825 0.58672986 0.58009479 0.57345972
 0.50047393 0.55450237 0.57345972 0.57061611]";65.17$\pm$4.06;"[0.56208531 0.62180095 0.67772512 0.70616114 0.62843602 0.69383886
 0.66540284 0.68436019 0.63981043 0.63696682]"
Hits@50;65.8$\pm$1.5;"[0.65023697 0.63033175 0.67677725 0.6549763  0.68246445 0.65402844
 0.64075829 0.66635071 0.66729858 0.65687204]";68.63$\pm$3.05;"[0.63886256 0.68815166 0.68151659 0.66255924 0.65687204 0.71943128
 0.67677725 0.74976303 0.68341232 0.70521327]";68.49$\pm$3.88;"[0.59052133 0.66729858 0.72985782 0.69668246 0.68151659 0.7042654
 0.6521327  0.72417062 0.692891   0.70995261]";59.44$\pm$4.59;"[0.61042654 0.52322275 0.65118483 0.63696682 0.65308057 0.51563981
 0.57061611 0.58293839 0.61232227 0.58767773]";65.83$\pm$3.6;"[0.62464455 0.63696682 0.68436019 0.63127962 0.72132701 0.61516588
 0.64075829 0.71753555 0.6436019  0.66729858]";60.73$\pm$3.65;"[0.56587678 0.60189573 0.67677725 0.64454976 0.6028436  0.58293839
 0.5478673  0.60379147 0.64170616 0.60473934]";54.66$\pm$1.49;"[0.53459716 0.54597156 0.56492891 0.57156398 0.55260664 0.51753555
 0.53933649 0.53554502 0.54976303 0.55450237]";69.64$\pm$3.2;"[0.64075829 0.73933649 0.72417062 0.71753555 0.67109005 0.65687204
 0.68720379 0.73554502 0.707109   0.68436019]";54.66$\pm$1.49;"[0.53459716 0.54597156 0.56492891 0.57156398 0.55260664 0.51753555
 0.53933649 0.53554502 0.54976303 0.55450237]";79.75$\pm$4.43;"[0.84265403 0.73459716 0.83317536 0.83317536 0.76777251 0.83791469
 0.78293839 0.8492891  0.76398104 0.72985782]";68.47$\pm$2.82;"[0.63696682 0.65781991 0.68341232 0.67014218 0.70521327 0.68815166
 0.67298578 0.7478673  0.68720379 0.69763033]";71.91$\pm$2.49;"[0.7042654  0.70900474 0.73933649 0.71469194 0.67109005 0.72037915
 0.70331754 0.76587678 0.74597156 0.71658768]";70.74$\pm$2.19;"[0.66729858 0.70616114 0.73459716 0.71563981 0.71090047 0.70331754
 0.67014218 0.73649289 0.71469194 0.71469194]";67.93$\pm$3.41;"[0.63791469 0.66161137 0.6957346  0.63222749 0.707109   0.67867299
 0.68246445 0.73080569 0.72606635 0.64075829]";60.09$\pm$3.62;"[0.56303318 0.57156398 0.61800948 0.59905213 0.53649289 0.63317536
 0.58388626 0.6436019  0.65781991 0.6028436 ]";73.03$\pm$2.16;"[0.6957346  0.7014218  0.71943128 0.75260664 0.71848341 0.76018957
 0.72796209 0.75260664 0.72322275 0.75165877]";85.81$\pm$1.27;"[0.86540284 0.82843602 0.86350711 0.86540284 0.86350711 0.85876777
 0.85118483 0.87203791 0.8436019  0.86919431]";68.31$\pm$2.88;"[0.63033175 0.68436019 0.73459716 0.70616114 0.67109005 0.66350711
 0.65971564 0.7014218  0.70995261 0.67014218]";64.37$\pm$3.3;"[0.59052133 0.63127962 0.66066351 0.6549763  0.59146919 0.66445498
 0.62085308 0.69194313 0.68151659 0.6492891 ]";65.69$\pm$2.25;"[0.64075829 0.6436019  0.6549763  0.64454976 0.63601896 0.67772512
 0.63507109 0.70047393 0.69004739 0.64549763]";65.45$\pm$4.44;"[0.61516588 0.63412322 0.6957346  0.67962085 0.56208531 0.66824645
 0.62843602 0.72796209 0.6549763  0.67867299]";74.45$\pm$1.56;"[0.72606635 0.7450237  0.7563981  0.77061611 0.72417062 0.74597156
 0.72132701 0.7535545  0.74218009 0.75924171]";71.52$\pm$2.74;"[0.68530806 0.70331754 0.74218009 0.73649289 0.6957346  0.68341232
 0.69004739 0.77156398 0.72511848 0.71848341]";79.74$\pm$1.87;"[0.80189573 0.76777251 0.80379147 0.78293839 0.79810427 0.78957346
 0.79146919 0.78672986 0.84170616 0.81042654]";59.44$\pm$3.72;"[0.60379147 0.52890995 0.61990521 0.53649289 0.61895735 0.60189573
 0.59052133 0.66255924 0.58388626 0.5971564 ]";68.32$\pm$3.14;"[0.63222749 0.63791469 0.71374408 0.72511848 0.67488152 0.71184834
 0.67014218 0.71848341 0.67772512 0.67014218]";64.8$\pm$1.96;"[0.62274882 0.67677725 0.6464455  0.65876777 0.63412322 0.63696682
 0.6521327  0.68625592 0.63317536 0.63222749]";73.36$\pm$1.69;"[0.70616114 0.73933649 0.74407583 0.73364929 0.72132701 0.73080569
 0.72701422 0.76872038 0.74881517 0.71658768]";75.61$\pm$1.77;"[0.72701422 0.7450237  0.78104265 0.74976303 0.79241706 0.7535545
 0.74691943 0.76303318 0.75260664 0.74976303]";70.51$\pm$2.03;"[0.70331754 0.69763033 0.74407583 0.72701422 0.68530806 0.69478673
 0.70236967 0.72132701 0.66919431 0.70616114]";81.13$\pm$2.55;"[0.77630332 0.80094787 0.8436019  0.82748815 0.80379147 0.81232227
 0.80758294 0.86066351 0.80473934 0.77535545]"
Hits@100;72.58$\pm$1.23;"[0.72037915 0.70331754 0.74407583 0.74028436 0.74028436 0.72511848
 0.71469194 0.72322275 0.72985782 0.71658768]";81.77$\pm$1.68;"[0.79241706 0.81042654 0.8        0.82938389 0.79905213 0.82464455
 0.82843602 0.85118483 0.82369668 0.81800948]";80.03$\pm$2.74;"[0.74218009 0.79146919 0.85402844 0.8028436  0.78578199 0.80853081
 0.78009479 0.81232227 0.81421801 0.81137441]";72.64$\pm$3.26;"[0.7535545  0.692891   0.75165877 0.75450237 0.7563981  0.66445498
 0.70995261 0.71184834 0.76587678 0.70331754]";78.67$\pm$1.59;"[0.76682464 0.78483412 0.77914692 0.77156398 0.81042654 0.77535545
 0.79052133 0.81800948 0.77630332 0.7943128 ]";73.31$\pm$2.34;"[0.71090047 0.72796209 0.77440758 0.74691943 0.72606635 0.72417062
 0.69478673 0.7478673  0.76303318 0.71469194]";56.87$\pm$1.58;"[0.5563981  0.56303318 0.58483412 0.6        0.58009479 0.54123223
 0.56208531 0.55734597 0.57251185 0.56966825]";79.15$\pm$1.8;"[0.76018957 0.79905213 0.80663507 0.8056872  0.78672986 0.75829384
 0.79526066 0.8056872  0.81137441 0.78578199]";56.87$\pm$1.58;"[0.5563981  0.56303318 0.58483412 0.6        0.58009479 0.54123223
 0.56208531 0.55734597 0.57251185 0.56966825]";90.85$\pm$0.65;"[0.90995261 0.9014218  0.91848341 0.91279621 0.90331754 0.91658768
 0.89952607 0.91374408 0.9014218  0.90805687]";81.0$\pm$2.33;"[0.75924171 0.80189573 0.82748815 0.80947867 0.80663507 0.80758294
 0.7971564  0.8492891  0.83696682 0.80473934]";82.42$\pm$1.16;"[0.81327014 0.80189573 0.83127962 0.82464455 0.82085308 0.81706161
 0.82180095 0.84549763 0.82938389 0.83601896]";81.74$\pm$1.36;"[0.79241706 0.82085308 0.82180095 0.83601896 0.80663507 0.82464455
 0.80189573 0.82369668 0.83601896 0.81042654]";80.3$\pm$1.28;"[0.78767773 0.78862559 0.79526066 0.79810427 0.81421801 0.79052133
 0.81327014 0.82843602 0.81232227 0.80189573]";77.02$\pm$1.17;"[0.76303318 0.76492891 0.76777251 0.76587678 0.7450237  0.77156398
 0.77535545 0.77819905 0.79146919 0.77914692]";81.81$\pm$1.31;"[0.81327014 0.78672986 0.81421801 0.83127962 0.82559242 0.82938389
 0.82180095 0.81421801 0.81042654 0.83412322]";91.49$\pm$0.74;"[0.91658768 0.9042654  0.92606635 0.91753555 0.92322275 0.91184834
 0.90047393 0.91943128 0.91469194 0.91469194]";80.24$\pm$2.07;"[0.77819905 0.79336493 0.83033175 0.82274882 0.78957346 0.76966825
 0.78388626 0.82464455 0.81611374 0.81516588]";77.23$\pm$1.75;"[0.76587678 0.75734597 0.78293839 0.76303318 0.7450237  0.77345972
 0.75734597 0.80853081 0.78578199 0.78388626]";79.53$\pm$1.48;"[0.78483412 0.78483412 0.8056872  0.80947867 0.78293839 0.7971564
 0.78767773 0.81611374 0.81421801 0.76966825]";78.96$\pm$2.44;"[0.77630332 0.74691943 0.81042654 0.82559242 0.75734597 0.78104265
 0.77725118 0.81137441 0.80663507 0.8028436 ]";83.75$\pm$1.36;"[0.82180095 0.81800948 0.83981043 0.86540284 0.83507109 0.84170616
 0.82559242 0.83127962 0.84834123 0.84834123]";81.16$\pm$2.25;"[0.78388626 0.81706161 0.83696682 0.82464455 0.77914692 0.78767773
 0.79526066 0.84834123 0.82464455 0.81800948]";85.36$\pm$1.56;"[0.86919431 0.83791469 0.86540284 0.82654028 0.84454976 0.84549763
 0.85592417 0.84739336 0.88246445 0.86066351]";74.26$\pm$2.47;"[0.73554502 0.71563981 0.75829384 0.69763033 0.77156398 0.73459716
 0.75545024 0.78578199 0.73838863 0.73270142]";79.26$\pm$1.65;"[0.77251185 0.77819905 0.82748815 0.81421801 0.79241706 0.79620853
 0.78767773 0.79810427 0.77630332 0.78293839]";77.06$\pm$1.58;"[0.77345972 0.76777251 0.79526066 0.77819905 0.74881517 0.77819905
 0.77156398 0.77156398 0.73744076 0.78388626]";82.39$\pm$1.11;"[0.81137441 0.81327014 0.82559242 0.84454976 0.80663507 0.82274882
 0.82085308 0.83222749 0.82559242 0.83601896]";83.05$\pm$1.13;"[0.81895735 0.82938389 0.83981043 0.85402844 0.84170616 0.82369668
 0.82559242 0.83222749 0.81327014 0.82654028]";80.02$\pm$1.12;"[0.79336493 0.81137441 0.81800948 0.79620853 0.81137441 0.79810427
 0.78483412 0.80853081 0.7971564  0.78293839]";88.88$\pm$1.55;"[0.87298578 0.87867299 0.90900474 0.8957346  0.89099526 0.87203791
 0.88909953 0.91563981 0.89763033 0.86635071]"
ROCAUC;83.85$\pm$0.98;"[0.83101612 0.81287123 0.84199456 0.83566946 0.84365131 0.84635386
 0.84282653 0.83846365 0.84794914 0.84407538]";93.52$\pm$0.5;"[0.92840185 0.93502123 0.93363132 0.93187395 0.93024236 0.94115047
 0.93394398 0.94673076 0.93600187 0.93510209]";92.08$\pm$0.5;"[0.91062169 0.91417893 0.93003032 0.92349947 0.91893444 0.92153546
 0.92169897 0.9226401  0.92256985 0.92228117]";90.78$\pm$1.17;"[0.91509483 0.89162687 0.91763437 0.9185499  0.91888412 0.88520024
 0.90785023 0.90725186 0.91821002 0.89756205]";92.06$\pm$0.48;"[0.9144869  0.91759754 0.9172112  0.92344467 0.92715078 0.91488511
 0.91928573 0.92768087 0.91773879 0.92631927]";90.38$\pm$0.92;"[0.89042735 0.90026459 0.92524067 0.91098628 0.89778666 0.90164462
 0.90164012 0.90630669 0.90832936 0.89575886]";75.81$\pm$1.09;"[0.75014524 0.75069024 0.76764044 0.78043979 0.75872689 0.74187642
 0.75629029 0.7465915  0.76410155 0.76434312]";92.26$\pm$0.6;"[0.91027366 0.91953101 0.92365311 0.93236181 0.92320927 0.91836392
 0.91986972 0.92981829 0.92730469 0.92191056]";75.81$\pm$1.09;"[0.75014524 0.75069024 0.76764044 0.78043979 0.75872689 0.74187642
 0.75629029 0.7465915  0.76410155 0.76434312]";94.45$\pm$0.38;"[0.94325207 0.93645516 0.94710227 0.94818805 0.94125918 0.94713865
 0.94713686 0.94969745 0.94290179 0.94186609]";93.13$\pm$0.42;"[0.92184771 0.92851823 0.93354597 0.93255857 0.93296736 0.93072483
 0.93045978 0.93891871 0.9336358  0.92953887]";93.79$\pm$0.35;"[0.93762691 0.9325379  0.94082523 0.93645156 0.93340491 0.9394488
 0.93431774 0.94266885 0.94213648 0.93986478]";93.24$\pm$0.37;"[0.92401054 0.93209766 0.93646953 0.93645516 0.93012107 0.93106534
 0.92954426 0.93368343 0.93560168 0.93543272]";91.99$\pm$0.43;"[0.91852118 0.9107109  0.91998473 0.91789493 0.92084185 0.92181757
 0.91876912 0.92324251 0.92855653 0.91880596]";91.69$\pm$0.41;"[0.91562003 0.91602794 0.92167561 0.91567395 0.90836055 0.91593989
 0.91392377 0.92311359 0.92114176 0.91711148]";91.83$\pm$0.53;"[0.91645008 0.9047335  0.91559489 0.92183734 0.92118236 0.92585971
 0.91996766 0.91768289 0.91866507 0.92101435]";96.19$\pm$0.5;"[0.96260421 0.95083399 0.96425687 0.96219941 0.96797646 0.96581478
 0.95429303 0.96282923 0.96440821 0.96387323]";92.78$\pm$0.54;"[0.92022627 0.92569888 0.93548078 0.93124323 0.92692707 0.91984367
 0.92280137 0.93378046 0.92841893 0.93334651]";91.31$\pm$0.77;"[0.89808448 0.90248557 0.91313672 0.91445565 0.9086193  0.9187215
 0.91332989 0.92527212 0.91814348 0.918434  ]";92.22$\pm$0.5;"[0.91788088 0.91939983 0.9250493  0.92502504 0.91409447 0.92003504
 0.91699378 0.93091799 0.92697825 0.92591406]";92.84$\pm$0.78;"[0.92582983 0.91829114 0.9345702  0.93896364 0.9125123  0.9301004
 0.92355967 0.93423418 0.93258631 0.93349116]";93.59$\pm$0.43;"[0.92637391 0.93112464 0.93820624 0.94065273 0.93475169 0.93655848
 0.93471755 0.9404335  0.93629594 0.93983693]";93.28$\pm$0.66;"[0.92336214 0.9319009  0.93820444 0.93986838 0.92520294 0.92969879
 0.92547202 0.94410278 0.93292535 0.93684823]";92.9$\pm$0.82;"[0.93414391 0.91265964 0.939624   0.91789223 0.93398711 0.92860268
 0.92661216 0.92510231 0.93812243 0.93312729]";91.24$\pm$0.72;"[0.90820526 0.90007322 0.91515375 0.90314863 0.9234249  0.90883763
 0.91472608 0.92307989 0.91460381 0.91263988]";92.22$\pm$0.66;"[0.9177172  0.91167135 0.93491341 0.92502145 0.91995238 0.92618944
 0.91437928 0.92913546 0.92102305 0.92242313]";91.54$\pm$0.4;"[0.91291672 0.91610161 0.91971339 0.91857865 0.90761259 0.91347095
 0.91578177 0.91665776 0.91133844 0.92173311]";93.11$\pm$0.3;"[0.92864106 0.93057838 0.93059859 0.93421172 0.9259235  0.9317257
 0.92801779 0.93352081 0.93129806 0.93649109]";92.31$\pm$0.47;"[0.91203989 0.92016082 0.92593608 0.92835471 0.92426675 0.92078345
 0.92083197 0.92349228 0.92717879 0.92780486]";91.83$\pm$0.65;"[0.90933748 0.91716808 0.92191999 0.9266746  0.91702163 0.92460008
 0.91765414 0.92767278 0.91209385 0.90906763]";94.92$\pm$0.53;"[0.94193548 0.94760585 0.95159857 0.95555895 0.94938389 0.9529157
 0.9461836  0.95917881 0.94474042 0.94307675]"
AP;88.68$\pm$0.62;"[0.88432254 0.87049989 0.88852334 0.88712307 0.88983237 0.89169336
 0.88778685 0.88749876 0.89547674 0.88501578]";93.46$\pm$0.65;"[0.92721301 0.93630482 0.93176796 0.93129899 0.93008498 0.94116785
 0.93478375 0.950369   0.92929046 0.93326147]";92.59$\pm$0.59;"[0.91283427 0.91905841 0.93120228 0.93108263 0.92341378 0.92626485
 0.92563134 0.93292115 0.9301477  0.92672351]";90.8$\pm$1.08;"[0.91677086 0.89331111 0.91574766 0.91782753 0.92005349 0.88630787
 0.90602747 0.91086265 0.91311226 0.90018841]";92.16$\pm$0.62;"[0.91761931 0.9197818  0.91942484 0.92642122 0.93015281 0.91748121
 0.92310085 0.931272   0.90943358 0.92098961]";90.92$\pm$0.67;"[0.90068776 0.90503337 0.9247314  0.91615023 0.90585784 0.90682974
 0.90314154 0.912094   0.91066465 0.90633824]";82.03$\pm$0.92;"[0.81122573 0.81361503 0.82834411 0.83922895 0.82382434 0.8095887
 0.81455319 0.81106468 0.82561248 0.82567257]";93.1$\pm$0.64;"[0.91787372 0.93267098 0.9331134  0.94009547 0.92734108 0.92706054
 0.92873434 0.94091097 0.93412543 0.92855203]";82.03$\pm$0.92;"[0.81122573 0.81361503 0.82834411 0.83922895 0.82382434 0.8095887
 0.81455319 0.81106468 0.82561248 0.82567257]";94.4$\pm$0.57;"[0.94806533 0.93588727 0.94207141 0.94968792 0.94468626 0.94839323
 0.9448084  0.95290327 0.93828994 0.93548474]";93.34$\pm$0.56;"[0.92188477 0.93215628 0.93406901 0.93789254 0.93494661 0.93265182
 0.93251925 0.94492451 0.93455356 0.92832713]";93.95$\pm$0.39;"[0.94012114 0.9374232  0.93942461 0.93986752 0.93404009 0.94174619
 0.93822602 0.94862262 0.94103756 0.93464251]";93.47$\pm$0.39;"[0.92812769 0.9386275  0.93467373 0.9383567  0.9285064  0.9359737
 0.93392857 0.94115606 0.93412111 0.93391609]";92.7$\pm$0.4;"[0.92629887 0.92046246 0.92218445 0.92851887 0.93108221 0.93098029
 0.92506685 0.93370109 0.92822096 0.92364505]";91.5$\pm$0.57;"[0.91475768 0.912337   0.91732552 0.91786815 0.90204286 0.91260285
 0.91668802 0.92609994 0.91610764 0.91378684]";93.25$\pm$0.45;"[0.93045978 0.92398862 0.92739055 0.93836449 0.93359215 0.93976768
 0.93113332 0.93472123 0.93419016 0.93122895]";96.65$\pm$0.4;"[0.96521873 0.96109371 0.96606514 0.96868627 0.97197286 0.97040952
 0.95825199 0.96755189 0.9689297  0.96712161]";93.26$\pm$0.56;"[0.92425438 0.93057029 0.93830338 0.93883928 0.93062497 0.92969557
 0.92349592 0.94077248 0.93360336 0.93575468]";91.75$\pm$0.72;"[0.90875112 0.90925362 0.91942472 0.91906427 0.91039644 0.92648718
 0.91730678 0.93275642 0.91482125 0.91719325]";92.68$\pm$0.59;"[0.92358514 0.92146708 0.92602486 0.92928403 0.92060188 0.92767322
 0.92085734 0.93922223 0.93509656 0.9241983 ]";92.85$\pm$0.87;"[0.92539283 0.91943272 0.92959268 0.94212621 0.91118019 0.93349332
 0.92671172 0.94070711 0.92613264 0.92993752]";94.41$\pm$0.38;"[0.93670153 0.94156889 0.94379999 0.94919389 0.94301321 0.94649939
 0.94127523 0.94944735 0.94262587 0.94698498]";93.62$\pm$0.58;"[0.93028972 0.9388338  0.93867343 0.94316379 0.93092088 0.93527369
 0.92590498 0.94646095 0.93467686 0.93786784]";94.56$\pm$0.47;"[0.94962067 0.93703892 0.94926231 0.94111458 0.94913139 0.94561012
 0.94105267 0.94295541 0.95286605 0.94782412]";91.21$\pm$0.73;"[0.91132226 0.89906775 0.91301014 0.90313612 0.91910317 0.91504925
 0.91455759 0.92631776 0.90849564 0.91078252]";92.82$\pm$0.63;"[0.92218947 0.91964596 0.93828031 0.93165652 0.92607832 0.93553396
 0.92153741 0.93562823 0.92577733 0.92517559]";92.09$\pm$0.41;"[0.91780124 0.92493706 0.92213211 0.92418926 0.91133837 0.92008672
 0.92189298 0.92586787 0.91844479 0.9224574 ]";93.73$\pm$0.38;"[0.93634466 0.93778712 0.93493027 0.94185322 0.93110183 0.93973615
 0.93650632 0.94443012 0.93297313 0.93740931]";93.78$\pm$0.33;"[0.93006924 0.93586832 0.93966524 0.9411924  0.94087702 0.93685802
 0.93487829 0.93985671 0.93992161 0.93834181]";92.91$\pm$0.52;"[0.92668293 0.92660228 0.92961089 0.9358496  0.93079925 0.93455654
 0.92561548 0.93695408 0.92105958 0.92305238]";95.4$\pm$0.55;"[0.946996   0.95394936 0.95452054 0.96236104 0.95269056 0.95724937
 0.95252877 0.96390203 0.94767921 0.94802678]"
