metrics;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;13.61$\pm$3.79;"[0.16550117 0.13519814 0.11421911 0.13519814 0.12820513 0.21445221
 0.17249417 0.12820513 0.08624709 0.08158508]";34.45$\pm$5.05;"[0.35198135 0.35198135 0.30769231 0.37062937 0.22843823 0.42424242
 0.4009324  0.34731935 0.33100233 0.33100233]";13.24$\pm$3.78;"[0.14918415 0.13519814 0.10955711 0.12587413 0.11188811 0.21911422
 0.17482517 0.09324009 0.11655012 0.08857809]";35.38$\pm$3.98;"[0.37062937 0.38461538 0.32167832 0.36829837 0.35431235 0.31235431
 0.35897436 0.40559441 0.26806527 0.39393939]";13.24$\pm$3.78;"[0.14918415 0.13519814 0.10955711 0.12587413 0.11188811 0.21911422
 0.17482517 0.09324009 0.11655012 0.08857809]";44.27$\pm$3.56;"[0.45687646 0.44522145 0.46853147 0.41491841 0.41025641 0.48018648
 0.49417249 0.38461538 0.4009324  0.47086247]";36.55$\pm$4.6;"[0.31235431 0.4009324  0.43356643 0.33333333 0.2983683  0.39160839
 0.41724942 0.31235431 0.36363636 0.39160839]";43.05$\pm$4.66;"[0.34498834 0.40559441 0.44055944 0.44055944 0.42890443 0.53146853
 0.46853147 0.44289044 0.3962704  0.40559441]";35.85$\pm$2.78;"[0.35897436 0.37062937 0.4009324  0.34965035 0.30536131 0.36596737
 0.38694639 0.36596737 0.31468531 0.36596737]";48.18$\pm$3.18;"[0.54778555 0.47319347 0.5034965  0.51048951 0.47552448 0.4988345
 0.46386946 0.46153846 0.44988345 0.43356643]";29.93$\pm$3.38;"[0.28438228 0.25874126 0.27272727 0.26107226 0.26107226 0.32400932
 0.34032634 0.31468531 0.32400932 0.35198135]"
Hits@50;31.68$\pm$4.36;"[0.37296037 0.34032634 0.26340326 0.34032634 0.28904429 0.4009324
 0.3030303  0.30536131 0.26107226 0.29137529]";55.8$\pm$3.38;"[0.5990676  0.56643357 0.55244755 0.57109557 0.47319347 0.57109557
 0.56643357 0.56410256 0.52680653 0.58974359]";31.54$\pm$4.9;"[0.37995338 0.33333333 0.26340326 0.35431235 0.28438228 0.4032634
 0.30536131 0.30536131 0.24242424 0.28205128]";59.09$\pm$3.19;"[0.6013986  0.60839161 0.6013986  0.61305361 0.60606061 0.54545455
 0.59440559 0.6013986  0.51515152 0.62237762]";31.54$\pm$4.9;"[0.37995338 0.33333333 0.26340326 0.35431235 0.28438228 0.4032634
 0.30536131 0.30536131 0.24242424 0.28205128]";65.97$\pm$3.24;"[0.67132867 0.63636364 0.65734266 0.7016317  0.65034965 0.68065268
 0.69230769 0.58275058 0.64568765 0.67832168]";62.17$\pm$5.04;"[0.5990676  0.65967366 0.71561772 0.57342657 0.58974359 0.64102564
 0.64102564 0.53846154 0.58741259 0.67132867]";65.71$\pm$4.32;"[0.63170163 0.59440559 0.69230769 0.68065268 0.62937063 0.73892774
 0.67365967 0.62004662 0.61538462 0.69463869]";62.07$\pm$4.52;"[0.65268065 0.62004662 0.68764569 0.59207459 0.57808858 0.56643357
 0.66666667 0.62004662 0.55244755 0.67132867]";69.49$\pm$2.78;"[0.75524476 0.67132867 0.70862471 0.6993007  0.67832168 0.70629371
 0.71095571 0.65034965 0.66899767 0.6993007 ]";55.5$\pm$3.49;"[0.4965035  0.56643357 0.54079254 0.55244755 0.56177156 0.51048951
 0.57109557 0.60839161 0.53379953 0.60839161]"
Hits@100;55.69$\pm$4.07;"[0.60839161 0.58275058 0.53846154 0.57808858 0.55710956 0.57808858
 0.5990676  0.54312354 0.46386946 0.51981352]";77.41$\pm$4.31;"[0.83682984 0.79487179 0.73892774 0.79254079 0.68065268 0.80652681
 0.78088578 0.8018648  0.72960373 0.77855478]";55.83$\pm$4.09;"[0.60839161 0.60839161 0.53846154 0.57342657 0.56177156 0.57575758
 0.5990676  0.51515152 0.48251748 0.51981352]";80.7$\pm$3.73;"[0.85547786 0.79020979 0.83449883 0.84615385 0.8018648  0.78787879
 0.78321678 0.76923077 0.74358974 0.85780886]";55.83$\pm$4.09;"[0.60839161 0.60839161 0.53846154 0.57342657 0.56177156 0.57575758
 0.5990676  0.51515152 0.48251748 0.51981352]";82.56$\pm$2.21;"[0.82517483 0.83449883 0.82750583 0.85081585 0.7972028  0.84149184
 0.84382284 0.78321678 0.8041958  0.84848485]";82.35$\pm$2.91;"[0.86247086 0.83916084 0.83449883 0.82051282 0.77389277 0.81585082
 0.86247086 0.8041958  0.78088578 0.84149184]";82.35$\pm$2.73;"[0.86013986 0.8041958  0.82284382 0.84149184 0.78088578 0.85314685
 0.83682984 0.81351981 0.77855478 0.84382284]";81.61$\pm$2.69;"[0.81351981 0.82517483 0.83682984 0.84149184 0.76223776 0.82517483
 0.85547786 0.78088578 0.7995338  0.82051282]";81.68$\pm$2.97;"[0.85780886 0.79487179 0.84382284 0.83449883 0.77156177 0.82051282
 0.83216783 0.7995338  0.76923077 0.84382284]";74.64$\pm$3.79;"[0.72261072 0.76923077 0.74358974 0.6993007  0.73659674 0.67832168
 0.77156177 0.7995338  0.74358974 0.7995338 ]"
ROCAUC;72.32$\pm$1.89;"[0.73997098 0.73079102 0.7242446  0.73902554 0.7178177  0.75715737
 0.71975143 0.71509487 0.68958547 0.69866893]";85.04$\pm$1.71;"[0.86194924 0.85485153 0.84671481 0.86542129 0.80761315 0.8724958
 0.8519051  0.85843246 0.83882396 0.84613751]";72.37$\pm$1.88;"[0.73868866 0.72995229 0.72409755 0.73992752 0.71698247 0.75889068
 0.72149424 0.71546522 0.6894931  0.70159358]";86.79$\pm$0.96;"[0.87632647 0.86857068 0.87107596 0.87629387 0.86735669 0.86471493
 0.86858702 0.86041762 0.84469222 0.88099906]";72.37$\pm$1.88;"[0.73868866 0.72995229 0.72409755 0.73992752 0.71698247 0.75889068
 0.72149424 0.71546522 0.6894931  0.70159358]";87.46$\pm$0.98;"[0.87864661 0.87754613 0.8770124  0.8899267  0.86190312 0.88029841
 0.87895127 0.85348452 0.86974098 0.87799272]";86.7$\pm$1.19;"[0.87515825 0.87402784 0.88321025 0.86757842 0.85057565 0.86870317
 0.87785657 0.8448304  0.85609185 0.87193103]";87.29$\pm$1.39;"[0.87710347 0.86884027 0.8864535  0.87756261 0.85168656 0.89637907
 0.88282901 0.86042851 0.85208731 0.87584962]";85.83$\pm$0.92;"[0.85737961 0.85898525 0.87221423 0.86689922 0.83900799 0.86801854
 0.86128358 0.85020587 0.85168522 0.85778707]";85.98$\pm$1.56;"[0.88108628 0.84925822 0.87776943 0.86748605 0.8469727  0.86828478
 0.86471472 0.84234146 0.83095615 0.86954012]";82.79$\pm$1.39;"[0.81119424 0.82417271 0.82341568 0.81773627 0.83158918 0.81004233
 0.8390029  0.84821798 0.82128439 0.85251509]"
AP;68.92$\pm$2.49;"[0.71352894 0.68660233 0.68229649 0.70057    0.68320874 0.73791299
 0.70772255 0.66838698 0.65442281 0.65694994]";83.35$\pm$1.95;"[0.83563363 0.83757735 0.81523636 0.84618759 0.78636355 0.86074498
 0.84691472 0.84133667 0.82544846 0.83912651]";68.82$\pm$2.56;"[0.70936291 0.68906994 0.67596382 0.69945102 0.68634103 0.74002028
 0.70411856 0.67022326 0.64434736 0.66331109]";84.89$\pm$1.11;"[0.86039595 0.84985158 0.83663871 0.85803319 0.84995255 0.84552384
 0.85128724 0.84711845 0.82479876 0.86491033]";68.82$\pm$2.56;"[0.70936291 0.68906994 0.67596382 0.69945102 0.68634103 0.74002028
 0.70411856 0.67022326 0.64434736 0.66331109]";86.51$\pm$1.21;"[0.87159841 0.86818669 0.86917018 0.87898914 0.85595232 0.8732776
 0.87275979 0.83400638 0.86048002 0.86663531]";84.82$\pm$1.44;"[0.84610799 0.86078517 0.85635309 0.84180528 0.83362824 0.85040915
 0.87176276 0.81950004 0.84130098 0.86079789]";86.56$\pm$1.47;"[0.86198071 0.86145763 0.87729686 0.87243732 0.85347451 0.89329913
 0.88416559 0.84943071 0.84773674 0.85503889]";84.43$\pm$0.91;"[0.84314228 0.85036683 0.85389254 0.84250007 0.82574321 0.85065863
 0.85277421 0.83360197 0.83694651 0.85314   ]";86.47$\pm$1.1;"[0.87559059 0.85783295 0.87670592 0.8733874  0.86782905 0.87643568
 0.86776496 0.84516603 0.85577829 0.85059805]";81.58$\pm$1.4;"[0.79533508 0.81271395 0.80493391 0.8022277  0.81749958 0.80433954
 0.82907575 0.82595592 0.82147358 0.84403237]"
pretrain_time;nan$\pm$nan;[];26.09$\pm$0.1;"[26.11808944 26.14719939 26.10760736 26.13018799 26.15635371 26.17105079
 26.08177471 26.15271974 25.9071629  25.87834501]";nan$\pm$nan;[];7.46$\pm$0.04;"[7.45164967 7.44537854 7.44504285 7.42781687 7.4365406  7.44930696
 7.45748401 7.53318286 7.52913165 7.4533999 ]";nan$\pm$nan;[];6.13$\pm$0.01;"[6.1481266  6.13019586 6.12744498 6.14233708 6.1516242  6.12994409
 6.13986063 6.12598896 6.12189198 6.1278367 ]";1.24$\pm$0.0;"[1.23417497 1.23799253 1.23744369 1.23145485 1.23272085 1.23249674
 1.23129058 1.23736072 1.24171305 1.23848629]";11.13$\pm$0.52;"[10.50884366 10.29357982 10.73573804 11.65240264 11.54772639 11.71783304
 11.22710395 11.30892229 10.60775518 11.68536973]";2.61$\pm$0.13;"[2.49475789 2.69562054 2.52313161 2.69604897 2.73036933 2.39403009
 2.43894196 2.77082777 2.67044425 2.65500045]";8.08$\pm$0.14;"[7.76658678 8.01439428 8.0223012  8.04903078 8.06726766 8.14905119
 8.00890374 8.18399692 8.17722297 8.32456994]";63.58$\pm$1.12;"[63.73589158 62.38694263 62.07244134 63.36506414 64.70745635 65.39733958
 63.66434884 61.96780443 64.84894371 63.67528534]"
