metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;75.51$\pm$5.14;"[0.74117647 0.74352941 0.67294118 0.74588235 0.77647059 0.79294118
 0.72941176 0.84941176 0.68705882 0.81176471]";82.61$\pm$4.52;"[0.86117647 0.88705882 0.72941176 0.84235294 0.81176471 0.8
 0.8        0.83764706 0.80470588 0.88705882]";75.53$\pm$4.37;"[0.76235294 0.76705882 0.66352941 0.76705882 0.71529412 0.76235294
 0.76235294 0.83764706 0.72705882 0.78823529]";69.67$\pm$4.75;"[0.73882353 0.70823529 0.67294118 0.72       0.67294118 0.67058824
 0.64470588 0.78117647 0.61647059 0.74117647]";82.99$\pm$3.07;"[0.87058824 0.87058824 0.79764706 0.81411765 0.83294118 0.80705882
 0.80705882 0.88235294 0.80235294 0.81411765]";30.19$\pm$5.18;"[0.29176471 0.32941176 0.31058824 0.24705882 0.28705882 0.28470588
 0.29882353 0.43764706 0.29176471 0.24      ]";77.98$\pm$4.44;"[0.80235294 0.83294118 0.73411765 0.83058824 0.71764706 0.74117647
 0.79529412 0.84470588 0.75294118 0.74588235]";80.89$\pm$3.28;"[0.77411765 0.84470588 0.80470588 0.82352941 0.78588235 0.76705882
 0.79529412 0.88235294 0.81411765 0.79764706]";29.29$\pm$3.75;"[0.29176471 0.32941176 0.26352941 0.26117647 0.26823529 0.28235294
 0.30352941 0.38588235 0.28705882 0.25647059]";72.64$\pm$4.39;"[0.71294118 0.75294118 0.67058824 0.76       0.64941176 0.72470588
 0.78352941 0.78352941 0.68705882 0.73882353]";76.0$\pm$4.15;"[0.72705882 0.79058824 0.76       0.81882353 0.71764706 0.74823529
 0.73176471 0.82117647 0.69411765 0.79058824]"
Hits@50;86.26$\pm$3.28;"[0.85176471 0.85176471 0.82117647 0.85882353 0.85411765 0.87764706
 0.83058824 0.93411765 0.84       0.90588235]";88.94$\pm$2.81;"[0.90352941 0.92235294 0.82588235 0.90588235 0.87764706 0.87294118
 0.88941176 0.89411765 0.87294118 0.92941176]";85.25$\pm$2.51;"[0.87529412 0.85882353 0.82588235 0.83529412 0.80705882 0.84470588
 0.86352941 0.89411765 0.84235294 0.87764706]";81.53$\pm$2.98;"[0.81176471 0.85647059 0.77882353 0.82588235 0.78588235 0.78823529
 0.82588235 0.86117647 0.77882353 0.84      ]";90.16$\pm$1.61;"[0.91529412 0.92       0.88       0.89882353 0.89411765 0.88705882
 0.88705882 0.92941176 0.88941176 0.91529412]";46.94$\pm$3.99;"[0.44       0.48941176 0.48705882 0.41647059 0.43764706 0.42823529
 0.49647059 0.53411765 0.52470588 0.44      ]";86.75$\pm$2.73;"[0.88       0.89176471 0.83764706 0.88       0.83764706 0.85411765
 0.84235294 0.91764706 0.84       0.89411765]";88.89$\pm$2.39;"[0.89882353 0.91058824 0.88235294 0.87294118 0.86352941 0.86352941
 0.88470588 0.92941176 0.86117647 0.92235294]";46.78$\pm$3.83;"[0.43529412 0.48470588 0.49176471 0.41411765 0.44941176 0.41882353
 0.50352941 0.52235294 0.51529412 0.44235294]";85.6$\pm$3.44;"[0.88235294 0.86823529 0.82823529 0.88705882 0.78117647 0.83058824
 0.88       0.88941176 0.83058824 0.88235294]";87.91$\pm$3.02;"[0.86588235 0.90117647 0.84705882 0.90352941 0.84470588 0.87529412
 0.87764706 0.93411765 0.83529412 0.90588235]"
Hits@100;91.48$\pm$1.94;"[0.90352941 0.92       0.90823529 0.92470588 0.88941176 0.91529412
 0.89647059 0.95294118 0.89647059 0.94117647]";92.09$\pm$2.11;"[0.95058824 0.93882353 0.87764706 0.92941176 0.90823529 0.91764706
 0.92705882 0.92       0.89647059 0.94352941]";90.24$\pm$1.58;"[0.92470588 0.91294118 0.88235294 0.89882353 0.88       0.89411765
 0.90352941 0.91529412 0.88705882 0.92470588]";88.35$\pm$1.76;"[0.90352941 0.90117647 0.86352941 0.87529412 0.87058824 0.86352941
 0.88470588 0.91764706 0.87058824 0.88470588]";93.58$\pm$1.56;"[0.95294118 0.96470588 0.92941176 0.93176471 0.94117647 0.91529412
 0.93411765 0.94117647 0.90823529 0.93882353]";63.98$\pm$3.23;"[0.61882353 0.64470588 0.63058824 0.62352941 0.63529412 0.61176471
 0.67764706 0.71294118 0.64705882 0.59529412]";92.07$\pm$1.81;"[0.93176471 0.93882353 0.91529412 0.92235294 0.90823529 0.90588235
 0.91294118 0.94117647 0.88470588 0.94588235]";92.99$\pm$1.33;"[0.94352941 0.94588235 0.92941176 0.91529412 0.91764706 0.92705882
 0.92705882 0.94352941 0.90588235 0.94352941]";63.29$\pm$2.94;"[0.60705882 0.65176471 0.62117647 0.62117647 0.63529412 0.6
 0.66588235 0.69176471 0.64235294 0.59294118]";93.91$\pm$1.3;"[0.95058824 0.94588235 0.95294118 0.95294118 0.92235294 0.92
 0.93411765 0.94588235 0.92       0.94588235]";94.16$\pm$1.38;"[0.92941176 0.96235294 0.94352941 0.94588235 0.92       0.92705882
 0.93411765 0.96470588 0.94117647 0.94823529]"
ROCAUC;93.07$\pm$1.32;"[0.92270173 0.9335308  0.92083796 0.92895117 0.92152053 0.93490381
 0.9204384  0.9598173  0.91580346 0.94807283]";93.68$\pm$1.41;"[0.95235986 0.95139654 0.90932297 0.93692564 0.92493341 0.93634879
 0.93657603 0.94380069 0.92117924 0.95547899]";91.85$\pm$1.28;"[0.93332042 0.93175363 0.90017758 0.91367925 0.9100111  0.91069343
 0.91758047 0.93240138 0.90112664 0.93407843]";90.91$\pm$1.43;"[0.92539792 0.92841522 0.9009545  0.90295782 0.89981687 0.89862976
 0.90442841 0.92850381 0.88384775 0.9177535 ]";93.45$\pm$1.26;"[0.9466519  0.95488443 0.92658158 0.92773585 0.94176471 0.92267405
 0.93039401 0.94127059 0.91010104 0.94332213]";78.38$\pm$1.54;"[0.78656886 0.80111834 0.77953385 0.76814095 0.7781909  0.76452318
 0.79897891 0.80905744 0.79010657 0.76164146]";92.29$\pm$1.38;"[0.93239031 0.94391142 0.91090455 0.92871809 0.91836848 0.90777578
 0.91641509 0.93781592 0.89921107 0.93364706]";93.45$\pm$1.12;"[0.94438201 0.95036678 0.92623196 0.92409545 0.93200333 0.92397509
 0.93598224 0.94672388 0.91604706 0.94562465]";78.33$\pm$1.53;"[0.78337439 0.80209827 0.77581021 0.76672586 0.77890122 0.76775087
 0.7999778  0.80845398 0.7884955  0.76178151]";94.37$\pm$0.73;"[0.94653564 0.95098131 0.94583796 0.9545616  0.93138735 0.93437785
 0.94339623 0.95053287 0.93547405 0.94430812]";94.71$\pm$0.93;"[0.9409827  0.95885952 0.94052719 0.95299112 0.93636515 0.94513495
 0.94223085 0.96321107 0.9352692  0.95521008]"
AP;94.32$\pm$1.04;"[0.93549585 0.94111116 0.93242163 0.94349651 0.93916537 0.94790031
 0.93808931 0.96674566 0.93172007 0.95583133]";95.38$\pm$1.01;"[0.96338357 0.9637601  0.93081048 0.95421043 0.94930737 0.95306203
 0.95308677 0.95522029 0.94684588 0.9687631 ]";93.8$\pm$0.96;"[0.94563309 0.94655829 0.92046387 0.93374188 0.92716249 0.93730844
 0.93972738 0.94626118 0.93074162 0.95276594]";92.71$\pm$1.13;"[0.93723333 0.93994682 0.92222095 0.92863165 0.92069905 0.91860361
 0.92367446 0.94290975 0.90341878 0.93359304]";95.35$\pm$0.74;"[0.96078584 0.96677983 0.94900865 0.95121846 0.95732972 0.94734513
 0.94647965 0.95508777 0.94099936 0.9596765 ]";77.14$\pm$1.7;"[0.76905168 0.77344156 0.77013279 0.75285041 0.77258538 0.75687388
 0.79479003 0.80504899 0.77272292 0.74615563]";94.39$\pm$0.97;"[0.94976369 0.95837377 0.93387996 0.95158516 0.93757808 0.93417338
 0.93921895 0.95548266 0.92925    0.94926061]";95.08$\pm$0.74;"[0.95741443 0.96157424 0.94512054 0.9409141  0.94972211 0.94439785
 0.94975721 0.96173871 0.94187788 0.95547118]";77.45$\pm$1.6;"[0.76351427 0.78253739 0.76288123 0.76040092 0.78313695 0.76063647
 0.79845036 0.8008523  0.7796802  0.75263033]";94.24$\pm$1.03;"[0.93515764 0.95114996 0.94022783 0.956158   0.92130058 0.93561455
 0.94553181 0.95215791 0.93518363 0.95167023]";95.0$\pm$0.91;"[0.94795397 0.95792255 0.93988615 0.95428722 0.94094017 0.95134359
 0.94460502 0.96370988 0.93661612 0.9627608 ]"
pretrain_time;1.18$\pm$0.01;"[1.18534923 1.17790723 1.1814568  1.17883754 1.17927265 1.17922378
 1.18073773 1.20746517 1.18258142 1.18371391]";3.86$\pm$0.01;"[3.85368371 3.86755967 3.85909152 3.85779381 3.84336448 3.85504127
 3.84950066 3.86286926 3.85913515 3.8529489 ]";21.37$\pm$0.06;"[21.36581206 21.31793427 21.30750442 21.24830008 21.31949854 21.41681147
 21.42082691 21.41478395 21.43112969 21.40848041]";0.79$\pm$0.0;"[0.79661798 0.79217196 0.7927165  0.78841567 0.79334259 0.79189229
 0.79266667 0.79547262 0.79244089 0.79253626]";1.77$\pm$0.0;"[1.77841043 1.76700926 1.77367592 1.76931262 1.77070618 1.78102875
 1.77507305 1.77111983 1.76909828 1.76644158]";nan$\pm$nan;[];8.81$\pm$0.02;"[8.79924655 8.84349585 8.82787561 8.8142097  8.82202506 8.78263068
 8.78535271 8.80520749 8.81777048 8.85185242]";34.56$\pm$1.0;"[35.12896466 36.45789719 35.88228011 33.04482985 34.83706164 34.3756907
 34.28103495 33.50288892 34.30559111 33.79866505]";nan$\pm$nan;[];25.15$\pm$0.04;"[25.19889879 25.21601105 25.12661672 25.17599607 25.11589026 25.1198988
 25.16683388 25.19750786 25.09499502 25.12091088]";33.16$\pm$0.62;"[33.27450323 34.1156466  32.27873921 33.69479561 33.14815044 33.01499224
 33.64208055 33.72172141 32.41325474 32.29509807]"
