metrics;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat;infomap_prob_pred_mean;infomap_prob_pred;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;19.39$\pm$1.93;"[0.21502798 0.20783373 0.19904077 0.2206235  0.18305356 0.20623501
 0.17186251 0.16147082 0.17186251 0.20223821]";79.13$\pm$2.61;"[0.80255795 0.76738609 0.76818545 0.80095923 0.83772982 0.78417266
 0.79536371 0.79056755 0.74340528 0.82254197]";19.39$\pm$1.93;"[0.21502798 0.20783373 0.19904077 0.2206235  0.18305356 0.20623501
 0.17186251 0.16147082 0.17186251 0.20223821]";68.13$\pm$2.55;"[0.70903277 0.67785771 0.66346922 0.62589928 0.70263789 0.65227818
 0.68665068 0.70823341 0.6922462  0.69464428]";84.84$\pm$2.38;"[0.8745004  0.84492406 0.80655476 0.88009592 0.82494005 0.83213429
 0.87609912 0.86810552 0.84092726 0.83533173]";80.66$\pm$6.8;"[0.8401279  0.85931255 0.6195044  0.80815348 0.87370104 0.82733813
 0.85051958 0.79536371 0.78816946 0.80335731]";75.94$\pm$2.69;"[0.78097522 0.72422062 0.74340528 0.75139888 0.7569944  0.71382894
 0.75139888 0.79696243 0.78097522 0.79376499]";76.78$\pm$3.32;"[0.76258993 0.7569944  0.73780975 0.69784173 0.77617906 0.77378098
 0.83453237 0.78017586 0.77138289 0.78657074]";19.39$\pm$1.93;"[0.21502798 0.20783373 0.19904077 0.2206235  0.18305356 0.20623501
 0.17186251 0.16147082 0.17186251 0.20223821]";75.6$\pm$2.99;"[0.79216627 0.76898481 0.76578737 0.73780975 0.76418865 0.72022382
 0.73860911 0.79936051 0.77378098 0.69944045]";83.26$\pm$1.6;"[0.84332534 0.86810552 0.82494005 0.82254197 0.84732214 0.81934452
 0.82973621 0.83533173 0.82733813 0.80815348]"
Hits@50;22.35$\pm$1.33;"[0.23261391 0.21902478 0.23181455 0.24460432 0.23661071 0.22621902
 0.20063949 0.20383693 0.22382094 0.21582734]";87.87$\pm$1.94;"[0.92086331 0.87130296 0.85131894 0.87769784 0.88808953 0.87529976
 0.86810552 0.88489209 0.85371703 0.89608313]";22.35$\pm$1.33;"[0.23261391 0.21902478 0.23181455 0.24460432 0.23661071 0.22621902
 0.20063949 0.20383693 0.22382094 0.21582734]";75.97$\pm$2.35;"[0.7793765  0.74820144 0.73221423 0.74420464 0.78976819 0.7529976
 0.74340528 0.79936051 0.72981615 0.77777778]";96.63$\pm$0.94;"[0.97042366 0.94884093 0.9696243  0.97122302 0.95523581 0.95843325
 0.97841727 0.97202238 0.96083133 0.97761791]";94.7$\pm$2.67;"[0.9656275  0.96482814 0.87609912 0.95043965 0.94804157 0.96243006
 0.94404476 0.94484412 0.93445244 0.97921663]";89.31$\pm$2.11;"[0.91446843 0.9088729  0.90567546 0.88169464 0.88169464 0.83932854
 0.88649081 0.90807354 0.90247802 0.90247802]";90.27$\pm$1.56;"[0.91207034 0.90247802 0.90247802 0.89848122 0.88409273 0.88089528
 0.93045564 0.89208633 0.89688249 0.92725819]";22.35$\pm$1.33;"[0.23261391 0.21902478 0.23181455 0.24460432 0.23661071 0.22621902
 0.20063949 0.20383693 0.22382094 0.21582734]";84.63$\pm$1.0;"[0.85291767 0.85531575 0.83373301 0.83932854 0.85531575 0.83293365
 0.83213429 0.84972022 0.85211831 0.85931255]";87.27$\pm$1.31;"[0.87929656 0.89608313 0.86410871 0.85451639 0.89368505 0.86091127
 0.86890488 0.87769784 0.86570743 0.86570743]"
Hits@100;25.64$\pm$1.34;"[0.25739408 0.25259792 0.25899281 0.28217426 0.27577938 0.25739408
 0.24140687 0.23581135 0.254996   0.24780176]";90.71$\pm$1.44;"[0.9392486  0.90567546 0.88729017 0.9048761  0.90327738 0.90567546
 0.89448441 0.9128697  0.89448441 0.92326139]";25.64$\pm$1.34;"[0.25739408 0.25259792 0.25899281 0.28217426 0.27577938 0.25739408
 0.24140687 0.23581135 0.254996   0.24780176]";81.02$\pm$1.61;"[0.82014388 0.79776179 0.79936051 0.79936051 0.8361311  0.81135092
 0.79616307 0.8401279  0.79216627 0.8097522 ]";98.11$\pm$0.43;"[0.97761791 0.97681855 0.97601918 0.98241407 0.98241407 0.97681855
 0.98960831 0.98161471 0.98081535 0.98721023]";97.47$\pm$0.81;"[0.97601918 0.98081535 0.96882494 0.97521982 0.98241407 0.98081535
 0.97282174 0.96802558 0.95683453 0.98561151]";94.23$\pm$1.07;"[0.95043965 0.94724221 0.94964029 0.931255   0.95283773 0.92805755
 0.92246203 0.95523581 0.94244604 0.9432454 ]";95.76$\pm$0.64;"[0.95683453 0.96083133 0.95923261 0.95603517 0.95603517 0.94564349
 0.96402878 0.95363709 0.95283773 0.97042366]";25.64$\pm$1.34;"[0.25739408 0.25259792 0.25899281 0.28217426 0.27577938 0.25739408
 0.24140687 0.23581135 0.254996   0.24780176]";86.79$\pm$0.76;"[0.87529976 0.88089528 0.86011191 0.86011191 0.87290168 0.85611511
 0.86171063 0.8705036  0.86810552 0.87290168]";88.9$\pm$1.07;"[0.89048761 0.90567546 0.88089528 0.87210232 0.90407674 0.87609912
 0.88489209 0.89448441 0.88489209 0.89608313]"
ROCAUC;59.85$\pm$1.16;"[0.58466608 0.59462071 0.59694978 0.62210439 0.60052038 0.5941402
 0.58016449 0.59788716 0.60052741 0.61349034]";96.22$\pm$0.51;"[0.97275529 0.95738437 0.95418469 0.96108309 0.96406584 0.961839
 0.95846201 0.96327478 0.96102047 0.9681521 ]";59.85$\pm$1.16;"[0.58466608 0.59462071 0.59694978 0.62210439 0.60052038 0.5941402
 0.58016449 0.59788716 0.60052741 0.61349034]";92.14$\pm$1.03;"[0.92414765 0.910586   0.92025053 0.91271699 0.94143965 0.92183583
 0.90833488 0.93545308 0.91354191 0.92585117]";98.64$\pm$0.27;"[0.98520129 0.98362174 0.98100257 0.98812461 0.98630161 0.98610033
 0.99098148 0.98772525 0.98579618 0.98902908]";98.19$\pm$0.52;"[0.98534634 0.98765432 0.97211376 0.98048947 0.98603419 0.98643835
 0.98327797 0.97777318 0.97429107 0.98511343]";96.8$\pm$0.65;"[0.97311567 0.96445274 0.9728703  0.96322239 0.97430034 0.95961792
 0.95695977 0.977885   0.96680258 0.97110194]";97.92$\pm$0.23;"[0.97977286 0.97778692 0.97931631 0.97927605 0.97718787 0.97814251
 0.98323771 0.97495848 0.98071886 0.98190257]";59.85$\pm$1.16;"[0.58466608 0.59462071 0.59694978 0.62210439 0.60052038 0.5941402
 0.58016449 0.59788716 0.60052741 0.61349034]";90.87$\pm$0.63;"[0.91187737 0.92258983 0.90461604 0.90378792 0.91191603 0.89796492
 0.91028888 0.91182306 0.90745948 0.90444319]";93.53$\pm$0.68;"[0.93793614 0.9421585  0.92541027 0.92612593 0.94273997 0.92543711
 0.93524349 0.94361665 0.93684349 0.93794828]"
AP;65.73$\pm$0.94;"[0.65596274 0.65954484 0.65776387 0.67836677 0.66027379 0.65378048
 0.63949279 0.65104524 0.65369872 0.66326397]";97.04$\pm$0.38;"[0.97814612 0.96573248 0.96550802 0.97005405 0.97216702 0.96980996
 0.96839393 0.97125084 0.96825449 0.97514489]";65.73$\pm$0.94;"[0.65596274 0.65954484 0.65776387 0.67836677 0.66027379 0.65378048
 0.63949279 0.65104524 0.65369872 0.66326397]";94.01$\pm$0.71;"[0.9436203  0.93328031 0.93867134 0.93247212 0.95376514 0.93937443
 0.93291778 0.95089412 0.93529817 0.94062773]";98.83$\pm$0.19;"[0.98881758 0.98451031 0.98569503 0.98968989 0.98831909 0.98776066
 0.99169838 0.98957817 0.98838934 0.98809579]";98.3$\pm$0.47;"[0.98706307 0.98809098 0.97187561 0.98162434 0.98648834 0.98658001
 0.98565053 0.98069248 0.97916931 0.98256645]";97.51$\pm$0.42;"[0.97900317 0.97275225 0.97761476 0.97125412 0.97856243 0.96923129
 0.9690389  0.98181606 0.97465243 0.97696643]";98.13$\pm$0.15;"[0.98129307 0.98013539 0.98067484 0.98044472 0.9802639  0.98062224
 0.98495665 0.97969591 0.9820056  0.9825368 ]";65.73$\pm$0.94;"[0.65596274 0.65954484 0.65776387 0.67836677 0.66027379 0.65378048
 0.63949279 0.65104524 0.65369872 0.66326397]";94.26$\pm$0.38;"[0.94573507 0.95031992 0.94098116 0.94005869 0.94468382 0.93628553
 0.94251088 0.94506662 0.94153394 0.93833853]";95.85$\pm$0.41;"[0.95990328 0.96361941 0.95363826 0.95237591 0.96346097 0.95244159
 0.95897518 0.96260091 0.95882852 0.95874503]"
pretrain_time;nan$\pm$nan;[];15.7$\pm$0.39;"[16.35729933 16.10250926 15.82111549 15.42096114 15.30330968 16.12225533
 15.35420704 15.28918099 15.29927707 15.89350128]";nan$\pm$nan;[];6.76$\pm$0.08;"[6.80598354 6.76708436 6.73458052 6.70430589 6.70811248 6.78994417
 6.74150515 6.68971777 6.714463   6.9705081 ]";8.47$\pm$0.05;"[8.47258878 8.46030593 8.49639058 8.49653864 8.43945193 8.50092053
 8.38146186 8.46770167 8.38674617 8.56899142]";108.29$\pm$0.76;"[109.94046879 109.63074875 107.97674632 107.96366382 107.82166886
 107.88329244 107.92137122 107.98682809 107.74989009 107.99818492]";37.66$\pm$0.75;"[37.39999819 37.40679121 37.42252326 37.39612031 37.42357397 37.42087793
 37.41641998 37.38005376 37.41049814 39.90046191]";81.83$\pm$0.96;"[81.31677651 81.35331774 81.79850626 83.36146045 81.09270334 81.21089435
 81.09377694 81.14751244 83.94663525 81.98801684]";nan$\pm$nan;[];42.22$\pm$1.24;"[38.79570222 42.65136504 41.68613219 42.87298584 43.02603316 43.03331304
 43.04630446 43.02265406 41.98618293 42.12403202]";65.95$\pm$2.55;"[69.52279544 67.82877588 68.12898183 66.06048822 63.42813468 63.34139514
 63.20641184 63.32225943 69.82790327 64.82472587]"
