metrics;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;63.34$\pm$3.0;"[0.64157399 0.61633875 0.62189906 0.65012831 0.63002566 0.66082121
 0.63344739 0.64756202 0.55816938 0.67365269]";72.57$\pm$3.45;"[0.69375535 0.64884517 0.70102652 0.75320787 0.74978614 0.75449102
 0.75491873 0.71899059 0.72070145 0.76176219]";70.89$\pm$1.79;"[0.69418306 0.6685201  0.70958084 0.71556886 0.71428571 0.73481608
 0.70402053 0.71941831 0.69974337 0.72840034]";63.34$\pm$3.0;"[0.64157399 0.61633875 0.62189906 0.65012831 0.63002566 0.66082121
 0.63344739 0.64756202 0.55816938 0.67365269]";65.64$\pm$2.09;"[0.62275449 0.62617622 0.66210436 0.64884517 0.65611634 0.67664671
 0.64798973 0.65269461 0.68006843 0.69076133]";70.81$\pm$2.26;"[0.68135158 0.68263473 0.68776732 0.73481608 0.713858   0.74379812
 0.69546621 0.69076133 0.713858   0.73695466]";71.1$\pm$2.37;"[0.68006843 0.68477331 0.69461078 0.7245509  0.71770744 0.73438837
 0.67579127 0.73396065 0.72070145 0.74379812]";68.91$\pm$2.59;"[0.67536356 0.66509837 0.6578272  0.67493584 0.66595381 0.72326775
 0.71086399 0.68349016 0.69546621 0.73909324]";70.25$\pm$2.44;"[0.66467066 0.70402053 0.69760479 0.74893071 0.69375535 0.70786997
 0.70915312 0.7005988  0.66638152 0.73182207]";70.21$\pm$2.91;"[0.66467066 0.68135158 0.66467066 0.73866553 0.72112917 0.73224979
 0.70872541 0.72497861 0.66167665 0.72241232]";72.53$\pm$1.36;"[0.70530368 0.72027374 0.71599658 0.72155689 0.72112917 0.73866553
 0.74123182 0.72797263 0.71043627 0.75064157]";71.85$\pm$3.48;"[0.6578272  0.72540633 0.70359281 0.76218991 0.77117194 0.72626176
 0.74123182 0.69717707 0.67023097 0.72968349]";67.37$\pm$2.24;"[0.67450813 0.65996578 0.65483319 0.70188195 0.68006843 0.70872541
 0.66723695 0.65312233 0.63729683 0.69888794]";68.76$\pm$1.75;"[0.65141146 0.679213   0.66894782 0.69375535 0.6924722  0.70444825
 0.70487596 0.7005988  0.67408041 0.70615911]";73.13$\pm$1.78;"[0.71300257 0.70017109 0.71941831 0.74978614 0.73224979 0.75149701
 0.74080411 0.72155689 0.72583405 0.75876818]";75.11$\pm$2.54;"[0.73695466 0.70359281 0.74465355 0.77630453 0.73396065 0.77929855
 0.73609923 0.7459367  0.75962361 0.79469632]";68.2$\pm$2.44;"[0.64414029 0.68862275 0.65483319 0.69332763 0.69161677 0.70530368
 0.7031651  0.70530368 0.6390077  0.69461078]";69.84$\pm$2.0;"[0.67664671 0.68862275 0.67536356 0.71214713 0.68819504 0.71770744
 0.68562874 0.70615911 0.69076133 0.74251497]";71.75$\pm$2.28;"[0.67835757 0.69846022 0.6899059  0.73695466 0.73738238 0.72840034
 0.69803251 0.72241232 0.74037639 0.74422583]";73.39$\pm$2.11;"[0.72369547 0.69375535 0.72968349 0.76347305 0.71471343 0.74165954
 0.74080411 0.72840034 0.7326775  0.77031651]";74.76$\pm$2.33;"[0.71770744 0.71813516 0.73866553 0.74123182 0.73823781 0.77887083
 0.73011121 0.75320787 0.77416595 0.78571429]";76.76$\pm$1.96;"[0.76090676 0.72497861 0.76432849 0.76047904 0.7647562  0.77758768
 0.77117194 0.77245509 0.76946108 0.80966638]";74.41$\pm$2.27;"[0.71899059 0.73738238 0.70102652 0.74850299 0.76047904 0.7540633
 0.72797263 0.77202737 0.74251497 0.77844311]";75.39$\pm$2.44;"[0.74978614 0.7112917  0.73011121 0.72840034 0.74465355 0.77673225
 0.76304534 0.77117194 0.76903336 0.79512404]";73.52$\pm$2.17;"[0.7245509  0.69375535 0.72070145 0.72711719 0.74978614 0.75449102
 0.72840034 0.74422583 0.73011121 0.77844311]";70.99$\pm$2.52;"[0.68562874 0.68434559 0.66595381 0.70487596 0.71043627 0.74893071
 0.72882806 0.72840034 0.70273738 0.73909324]"
Hits@50;71.83$\pm$1.52;"[0.72583405 0.71685201 0.69204448 0.72070145 0.713858   0.73481608
 0.7031651  0.73738238 0.70102652 0.73781009]";81.01$\pm$1.37;"[0.80111206 0.78656972 0.79041916 0.82720274 0.80239521 0.82506416
 0.81522669 0.81351583 0.81565441 0.82420873]";78.59$\pm$1.3;"[0.76646707 0.78143713 0.77416595 0.80196749 0.76860565 0.8075278
 0.79041916 0.79213003 0.78272027 0.79384089]";71.83$\pm$1.52;"[0.72583405 0.71685201 0.69204448 0.72070145 0.713858   0.73481608
 0.7031651  0.73738238 0.70102652 0.73781009]";72.48$\pm$1.19;"[0.71471343 0.70188195 0.71770744 0.72412318 0.72583405 0.7433704
 0.71642429 0.73182207 0.7326775  0.73909324]";79.38$\pm$2.17;"[0.79170231 0.75620188 0.77459367 0.81907613 0.77074423 0.82677502
 0.7968349  0.79170231 0.79084688 0.81907613]";82.13$\pm$1.29;"[0.82677502 0.80710009 0.7968349  0.81779299 0.82164243 0.83490163
 0.81864842 0.83361848 0.81394354 0.84174508]";79.58$\pm$1.59;"[0.79854577 0.76261762 0.77502139 0.80325064 0.79084688 0.82164243
 0.80496151 0.79640719 0.79555175 0.80881095]";79.84$\pm$1.61;"[0.7968349  0.78314799 0.77715997 0.7994012  0.77929855 0.81693755
 0.79982891 0.80710009 0.79255774 0.8314799 ]";79.85$\pm$1.9;"[0.78314799 0.78528657 0.78528657 0.80795552 0.78400342 0.83618477
 0.79811805 0.81137725 0.77288281 0.82035928]";80.81$\pm$1.39;"[0.79084688 0.80239521 0.79769033 0.81052181 0.7887083  0.82976903
 0.8289136  0.80111206 0.81094953 0.82035928]";81.73$\pm$1.32;"[0.81479897 0.79469632 0.80667237 0.82805817 0.81779299 0.83276305
 0.81693755 0.8314799  0.79811805 0.8314799 ]";79.7$\pm$1.41;"[0.79341317 0.7887083  0.78229256 0.79982891 0.78999145 0.82378101
 0.80068435 0.78229256 0.78742515 0.82121471]";79.46$\pm$1.49;"[0.79213003 0.76347305 0.78100941 0.80538922 0.7968349  0.81779299
 0.78999145 0.79811805 0.7887083  0.81266039]";80.77$\pm$1.18;"[0.80624465 0.78999145 0.79341317 0.80966638 0.80453379 0.83062447
 0.81565441 0.80453379 0.80025663 0.82207015]";81.72$\pm$1.17;"[0.82463644 0.80966638 0.80710009 0.83019675 0.79469632 0.82420873
 0.81993157 0.80581694 0.82164243 0.83404619]";75.8$\pm$1.1;"[0.75491873 0.74764756 0.73310522 0.76432849 0.74935843 0.76432849
 0.76775021 0.76261762 0.76817793 0.76775021]";77.95$\pm$1.37;"[0.77502139 0.77758768 0.75491873 0.78999145 0.76946108 0.79426861
 0.76860565 0.77202737 0.79084688 0.80239521]";80.97$\pm$1.63;"[0.81180496 0.77673225 0.78956373 0.82335329 0.79298546 0.82549187
 0.82591959 0.81479897 0.81608212 0.81993157]";81.19$\pm$0.91;"[0.80667237 0.80367836 0.79897348 0.81608212 0.80153978 0.82420873
 0.80923867 0.82207015 0.81137725 0.82549187]";83.22$\pm$0.96;"[0.83618477 0.82207015 0.81180496 0.83704021 0.82805817 0.84046193
 0.82506416 0.84345595 0.83661249 0.84088965]";81.97$\pm$0.77;"[0.82121471 0.81223268 0.81052181 0.81351583 0.80923867 0.82335329
 0.82848589 0.82164243 0.82292558 0.83361848]";81.94$\pm$1.15;"[0.80966638 0.80795552 0.7994012  0.82463644 0.81137725 0.83233533
 0.82035928 0.82934132 0.82121471 0.83746792]";82.05$\pm$1.21;"[0.82035928 0.79811805 0.8100941  0.820787   0.80410607 0.82976903
 0.8289136  0.83019675 0.82420873 0.83875107]";81.97$\pm$0.86;"[0.81522669 0.81394354 0.80025663 0.82164243 0.81608212 0.81993157
 0.82634731 0.82378101 0.82677502 0.83319076]";79.77$\pm$1.78;"[0.80111206 0.76646707 0.77929855 0.81137725 0.78015398 0.82848589
 0.80667237 0.7968349  0.79255774 0.81437126]"
Hits@100;78.43$\pm$1.49;"[0.78443114 0.77502139 0.76561163 0.76817793 0.78571429 0.80453379
 0.77331052 0.79512404 0.7780154  0.81308811]";84.19$\pm$0.96;"[0.83746792 0.83532934 0.8314799  0.85671514 0.82591959 0.84559453
 0.85714286 0.84431138 0.83917879 0.84559453]";82.41$\pm$0.77;"[0.820787   0.81693755 0.82207015 0.83276305 0.81094953 0.83917879
 0.82763045 0.82121471 0.82035928 0.8289136 ]";78.43$\pm$1.49;"[0.78443114 0.77502139 0.76561163 0.76817793 0.78571429 0.80453379
 0.77331052 0.79512404 0.7780154  0.81308811]";76.5$\pm$1.23;"[0.75834046 0.74807528 0.76518392 0.76218991 0.75962361 0.78956373
 0.76047904 0.76090676 0.75876818 0.78656972]";83.35$\pm$0.99;"[0.82934132 0.82677502 0.81736527 0.8396065  0.81993157 0.84730539
 0.83875107 0.83361848 0.83447391 0.84816082]";85.67$\pm$0.72;"[0.85414885 0.8502994  0.84944397 0.85928144 0.84388366 0.86954662
 0.85885372 0.86313088 0.85543199 0.86270317]";83.61$\pm$0.97;"[0.83704021 0.82292558 0.82164243 0.84345595 0.82249786 0.8502994
 0.84302823 0.83575706 0.84174508 0.84260051]";83.96$\pm$0.69;"[0.83917879 0.8396065  0.83276305 0.83832335 0.82335329 0.84388366
 0.84473909 0.84388366 0.84003422 0.84987169]";84.04$\pm$0.98;"[0.83832335 0.83532934 0.82549187 0.84174508 0.82378101 0.85414885
 0.84687767 0.84816082 0.83789564 0.85201027]";84.16$\pm$0.74;"[0.83704021 0.8396065  0.83618477 0.8421728  0.8289136  0.85457656
 0.84901625 0.83490163 0.84473909 0.84901625]";84.9$\pm$0.71;"[0.84987169 0.83789564 0.84388366 0.85201027 0.84046193 0.85757057
 0.84473909 0.85457656 0.84773311 0.8609923 ]";84.32$\pm$0.78;"[0.84602224 0.8421728  0.84003422 0.84302823 0.82976903 0.85585971
 0.83661249 0.83832335 0.84388366 0.85671514]";84.47$\pm$0.95;"[0.84302823 0.83917879 0.82805817 0.84858854 0.83661249 0.86270317
 0.83832335 0.85372113 0.84388366 0.8528657 ]";83.9$\pm$0.87;"[0.84088965 0.82634731 0.8314799  0.84388366 0.83276305 0.8528657
 0.85201027 0.83319076 0.83190761 0.84473909]";83.83$\pm$1.03;"[0.84388366 0.82249786 0.83746792 0.84944397 0.8182207  0.84388366
 0.84388366 0.83105218 0.84388366 0.84858854]";78.98$\pm$0.83;"[0.79213003 0.78314799 0.77715997 0.79170231 0.77929855 0.80282293
 0.78913601 0.78485885 0.79897348 0.79897348]";82.23$\pm$0.81;"[0.81437126 0.81394354 0.81308811 0.82591959 0.81479897 0.83746792
 0.82335329 0.82249786 0.82420873 0.83361848]";84.38$\pm$0.77;"[0.83661249 0.83404619 0.83661249 0.8528657  0.83532934 0.85457656
 0.85372113 0.8421728  0.84302823 0.84858854]";84.35$\pm$0.36;"[0.84260051 0.84088965 0.8396065  0.84388366 0.83875107 0.85201027
 0.84260051 0.84473909 0.84602224 0.84345595]";85.76$\pm$0.6;"[0.85115483 0.8502994  0.85243798 0.85799829 0.84901625 0.86526946
 0.86398631 0.8609923  0.86056459 0.86441403]";83.72$\pm$0.63;"[0.83789564 0.83190761 0.82848589 0.83917879 0.82763045 0.84345595
 0.84901625 0.83575706 0.83661249 0.84174508]";85.44$\pm$0.77;"[0.85585971 0.85072712 0.84046193 0.84944397 0.84388366 0.86526946
 0.85714286 0.8609923  0.85885372 0.86184773]";84.9$\pm$0.76;"[0.84687767 0.83704021 0.8421728  0.84559453 0.84131737 0.85799829
 0.85500428 0.8502994  0.85115483 0.86270317]";84.17$\pm$0.69;"[0.84174508 0.8314799  0.83704021 0.84602224 0.8314799  0.84858854
 0.84730539 0.83532934 0.85115483 0.84644996]";84.1$\pm$1.0;"[0.83361848 0.83233533 0.82848589 0.84345595 0.82549187 0.85372113
 0.84473909 0.85500428 0.84260051 0.85072712]"
ROCAUC;90.85$\pm$0.28;"[0.90974424 0.90954703 0.90414989 0.9098959  0.90406941 0.91342904
 0.9062905  0.9098959  0.90724691 0.91045442]";90.7$\pm$0.43;"[0.90309287 0.90668382 0.90505528 0.91014506 0.89961142 0.91308237
 0.9141286  0.90752151 0.90332457 0.90760813]";90.13$\pm$0.41;"[0.90213573 0.89952022 0.89823434 0.901736   0.89225856 0.90798252
 0.906727   0.90059555 0.90133573 0.9025232 ]";90.85$\pm$0.28;"[0.90974424 0.90954703 0.90414989 0.9098959  0.90406941 0.91342904
 0.9062905  0.9098959  0.90724691 0.91045442]";89.14$\pm$0.49;"[0.88674069 0.88668728 0.89155633 0.89117034 0.88470694 0.90324526
 0.892775   0.8919825  0.89112231 0.8938196 ]";90.72$\pm$0.42;"[0.90592206 0.90469699 0.90603297 0.9089393  0.8982475  0.91200466
 0.91397091 0.90571844 0.90563895 0.9108889 ]";90.9$\pm$0.42;"[0.90586104 0.90899034 0.90464065 0.90706379 0.90330884 0.91802012
 0.91307432 0.91262904 0.90720667 0.9092943 ]";90.91$\pm$0.38;"[0.90856427 0.90691799 0.90801297 0.90631263 0.90130453 0.91532284
 0.91374955 0.91022849 0.9112053  0.90984175]";90.76$\pm$0.29;"[0.90788867 0.90658211 0.90763018 0.90755865 0.90051414 0.91143114
 0.90756633 0.90976363 0.90604755 0.91107843]";91.43$\pm$0.63;"[0.92059859 0.90791337 0.9159237  0.91949628 0.89947723 0.9187078
 0.91512728 0.91082743 0.9148793  0.9199582 ]";91.35$\pm$0.37;"[0.91038792 0.91462913 0.91187239 0.91323896 0.90852119 0.9210006
 0.91526705 0.91096135 0.91087564 0.91830954]";91.79$\pm$0.3;"[0.91610656 0.91644098 0.91434507 0.91774434 0.91217168 0.92242388
 0.91896456 0.92161638 0.91858285 0.92035253]";91.14$\pm$0.32;"[0.91176675 0.91286649 0.90769278 0.90535293 0.91003201 0.9170037
 0.91113276 0.91342062 0.914533   0.91038819]";91.57$\pm$0.37;"[0.91604766 0.91311465 0.91507595 0.91092622 0.90887335 0.92052879
 0.92025164 0.91557603 0.91795847 0.91884802]";91.96$\pm$0.43;"[0.91791612 0.91346517 0.91859862 0.91453418 0.91694004 0.92611581
 0.92297856 0.91857663 0.9194338  0.92697792]";90.79$\pm$0.47;"[0.90786681 0.9014711  0.90420013 0.90893985 0.89944942 0.9155743
 0.91269526 0.90886475 0.90977507 0.90972165]";90.61$\pm$0.41;"[0.90321078 0.90020113 0.90697735 0.90803758 0.89806968 0.9067087
 0.91143864 0.90968277 0.908934   0.90765515]";91.09$\pm$0.36;"[0.91075472 0.9087924  0.90781119 0.90657552 0.90566155 0.91848434
 0.91231877 0.91285991 0.91194767 0.91366009]";92.01$\pm$0.57;"[0.92244638 0.91667405 0.92386939 0.92015505 0.91240164 0.93073251
 0.92157229 0.91669399 0.92542356 0.91090701]";90.58$\pm$0.32;"[0.90427522 0.9048374  0.90293052 0.90714977 0.89976545 0.90925542
 0.90943489 0.90968149 0.90774342 0.90335795]";92.37$\pm$0.46;"[0.91950744 0.92105127 0.91974075 0.92115171 0.91601162 0.92732944
 0.92875876 0.92421231 0.9292774  0.92955071]";91.4$\pm$0.7;"[0.91416903 0.90914108 0.91875162 0.91819996 0.9030594  0.91715006
 0.90763146 0.90532155 0.92577865 0.92083202]";93.02$\pm$0.32;"[0.93016988 0.92472638 0.92725021 0.92956809 0.92599544 0.93257903
 0.93124017 0.93534555 0.93383336 0.93172606]";92.86$\pm$0.39;"[0.92616173 0.92045415 0.92526811 0.9274833  0.92579841 0.93224049
 0.93094381 0.93270278 0.93236096 0.93228623]";90.07$\pm$0.43;"[0.8989563  0.89690425 0.90259917 0.90177826 0.89354399 0.90767664
 0.90359157 0.89830238 0.90675261 0.89717711]";91.65$\pm$0.51;"[0.91515134 0.91216181 0.91375144 0.91040301 0.90978577 0.92509482
 0.9180365  0.92423701 0.92023536 0.91660178]"
AP;93.37$\pm$0.25;"[0.93665609 0.93178418 0.93069349 0.9360509  0.9300401  0.936049
 0.93348061 0.93621544 0.93085581 0.93499219]";93.98$\pm$0.39;"[0.93423377 0.93669375 0.93910673 0.94336403 0.93573981 0.94466649
 0.94594541 0.94088022 0.93603516 0.94133299]";93.75$\pm$0.27;"[0.93704492 0.93555872 0.93497772 0.93865229 0.93241785 0.94263694
 0.94057841 0.9377172  0.93655062 0.93856307]";93.37$\pm$0.25;"[0.93665609 0.93178418 0.93069349 0.9360509  0.9300401  0.936049
 0.93348061 0.93621544 0.93085581 0.93499219]";92.67$\pm$0.39;"[0.92241389 0.92246986 0.92693899 0.92551705 0.92221983 0.93574355
 0.92738786 0.92752899 0.92684192 0.92982268]";93.98$\pm$0.34;"[0.93683575 0.93642083 0.93828329 0.94229847 0.93427141 0.94452412
 0.944983   0.94013562 0.93805081 0.94191618]";94.2$\pm$0.31;"[0.9391902  0.94155502 0.9390696  0.94206625 0.93707056 0.94683205
 0.94513911 0.94541455 0.93953556 0.94374198]";94.12$\pm$0.32;"[0.93823766 0.93894499 0.93765003 0.94155961 0.93553364 0.94558183
 0.94475156 0.94293586 0.94254801 0.9440043 ]";94.01$\pm$0.3;"[0.93761817 0.93874247 0.94048932 0.94124521 0.9335012  0.94206124
 0.94231142 0.94325021 0.93772905 0.9438706 ]";94.32$\pm$0.31;"[0.94248118 0.94053696 0.94116542 0.94740617 0.93685433 0.94618691
 0.94596636 0.94353551 0.94207786 0.94560465]";94.28$\pm$0.33;"[0.93730478 0.94460111 0.94206221 0.94409999 0.93739782 0.94670686
 0.94492686 0.94292771 0.94036493 0.94723014]";94.52$\pm$0.28;"[0.94274977 0.94421921 0.94153939 0.94562716 0.94062675 0.94882569
 0.94525183 0.9490544  0.94531258 0.94843578]";94.26$\pm$0.17;"[0.94159322 0.94284334 0.94078232 0.94050867 0.9413326  0.94670101
 0.94295787 0.94436945 0.9424359  0.94289259]";94.48$\pm$0.29;"[0.94221146 0.94212142 0.94347334 0.94368622 0.93952614 0.94840996
 0.94822825 0.94640004 0.94639487 0.94743385]";94.55$\pm$0.3;"[0.94362542 0.94037823 0.9432251  0.94529903 0.94326223 0.95017586
 0.94934961 0.946086   0.9447852  0.94901762]";93.96$\pm$0.35;"[0.93727013 0.93506193 0.93791379 0.94231427 0.93321266 0.945512
 0.9421499  0.94017364 0.94044941 0.94158015]";93.39$\pm$0.35;"[0.9303902  0.92816929 0.93401691 0.935956   0.92826498 0.93684914
 0.93892935 0.935389   0.93518389 0.93630553]";94.14$\pm$0.27;"[0.93909189 0.93978802 0.9390535  0.93968487 0.93850815 0.94700794
 0.94304042 0.9430895  0.94026421 0.94412655]";94.67$\pm$0.3;"[0.94546678 0.9428539  0.94750999 0.9488846  0.94295214 0.95321526
 0.94766438 0.94621203 0.94796389 0.94412781]";94.05$\pm$0.3;"[0.93769983 0.94011391 0.9360556  0.94333187 0.935998   0.94344733
 0.9435761  0.94356794 0.94196734 0.93877972]";94.94$\pm$0.3;"[0.94663445 0.94795054 0.94674335 0.94776308 0.94406306 0.95254431
 0.95276673 0.95092469 0.95185225 0.95265223]";94.39$\pm$0.35;"[0.94124396 0.94128789 0.94493325 0.94540258 0.93796871 0.94656435
 0.94248027 0.94099812 0.94981505 0.94829106]";95.26$\pm$0.24;"[0.95139306 0.94973472 0.94935156 0.95181122 0.95029932 0.95547803
 0.95213184 0.95631207 0.95496859 0.95435122]";95.17$\pm$0.28;"[0.94989289 0.94623268 0.94952665 0.95056614 0.94980127 0.95498773
 0.95243282 0.95477729 0.95420066 0.95433852]";93.65$\pm$0.26;"[0.93449384 0.93440506 0.93623482 0.93737177 0.93257612 0.94134997
 0.93862382 0.93545275 0.93981904 0.93486126]";94.52$\pm$0.35;"[0.94311121 0.9412003  0.94287545 0.94242957 0.94118455 0.95166729
 0.94609286 0.95047164 0.94693661 0.94637292]"
pretrain_time;nan$\pm$nan;[];14.36$\pm$0.17;"[14.41130233 14.20632482 14.46522164 14.52368069 14.29206753 14.35766339
 14.192137   14.24775648 14.73363709 14.15944052]";3.84$\pm$0.1;"[3.87002969 3.99049258 3.7335012  3.85646462 3.70807314 3.73543572
 4.00542426 3.75218439 3.85964918 3.86568713]";nan$\pm$nan;[];2.37$\pm$0.02;"[2.37893414 2.37034369 2.33103704 2.33723259 2.40927052 2.37446713
 2.37341762 2.36534953 2.36161017 2.35997939]";59.47$\pm$0.92;"[60.54695964 58.13700175 58.28752422 59.02716398 59.73031569 60.1876328
 59.06548429 60.57373881 58.60769749 60.56360698]";24.12$\pm$0.27;"[24.2526443  23.8616643  23.54770112 23.92702675 24.03542352 24.34288526
 24.40070295 24.44620275 24.22503948 24.17648435]";27.43$\pm$1.19;"[25.82231903 26.03025126 25.51097631 27.97141314 28.45456719 27.52908635
 28.49481344 27.38794327 27.80119419 29.26403141]";10.93$\pm$0.75;"[10.57433248 11.51917791 10.73925161 10.96894383 10.11598969 10.45716476
  9.79475093 12.36357379 11.85327315 10.88978243]";19.78$\pm$0.28;"[19.79739618 20.11153603 19.65739059 19.52078438 19.86090446 20.04079199
 19.60430193 19.44270444 20.28933263 19.45903254]";63.87$\pm$0.88;"[63.92855477 62.69824219 63.46085691 63.9311316  62.39755869 65.71269894
 64.01043439 63.88101053 64.04551625 64.66144419]";64.63$\pm$0.86;"[65.28981519 63.51281619 66.10197401 65.41956544 64.98170185 65.36560941
 63.64171863 64.17633653 63.7700243  64.0264473 ]";21.8$\pm$0.32;"[22.2213645  21.45500398 21.75369716 22.11197972 21.59796739 22.37215018
 21.4614296  21.7796042  21.41494846 21.86639094]";3.82$\pm$0.48;"[3.65807986 3.8315661  4.01344323 3.64000082 4.33100867 2.91154528
 3.97246599 4.40670133 4.35470033 3.10787606]";13.25$\pm$0.23;"[13.78987932 13.2583766  13.04794145 13.54144168 13.07445431 13.15799832
 13.15399313 13.05506968 13.13396764 13.24943137]";15.34$\pm$0.32;"[14.90063167 15.12909102 14.97741294 15.09258986 15.70799541 15.7589128
 15.86566091 15.37712002 15.2267952  15.37583685]";46.02$\pm$0.55;"[45.8308301  45.99069309 45.39220691 45.04169822 46.51604581 46.59522772
 46.96697211 45.87231445 45.74474978 46.29592991]";18.09$\pm$0.41;"[17.79302192 18.75879383 18.31497169 17.43351889 17.57896519 17.9605875
 17.91151428 18.33684707 18.65483999 18.18865275]";64.43$\pm$0.65;"[64.27640963 65.95244002 64.31088257 63.92737055 64.21399355 64.8647275
 64.86483383 64.09762621 64.4539206  63.37819242]";23.79$\pm$0.82;"[23.70461297 24.87355924 24.31138062 22.15224504 24.0790565  23.56634545
 24.85345888 22.84294915 23.27046371 24.23375487]";42.43$\pm$0.61;"[42.17862749 42.05950141 42.32948995 42.14699101 42.28604579 44.18960714
 42.45265412 42.23393607 41.90345335 42.52742457]";73.85$\pm$0.94;"[72.7165041  75.97705674 73.70944333 72.85327148 74.25018167 73.51732373
 73.85209727 72.84030557 74.21263218 74.56091475]";149.51$\pm$1.75;"[150.61209154 148.29665732 150.42790604 147.01759672 151.12517071
 149.79202962 148.59455252 148.83220506 147.34228778 153.01150298]";72.41$\pm$0.83;"[73.62581348 70.96864629 71.42345786 72.76831412 73.04289746 73.53057647
 72.44355607 72.46177673 71.72445154 72.12462521]";138.67$\pm$3.35;"[142.91075826 133.77264237 134.6918273  138.84987187 140.24678588
 136.1947155  136.49487329 142.45186758 137.40230298 143.66842914]";16.81$\pm$0.46;"[17.23800778 16.47046947 17.50843716 16.19730997 17.1548965  16.66846347
 16.19216228 16.35614657 17.1796701  17.15895224]"
