metrics;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;14.71$\pm$2.41;"[0.14452214 0.13519814 0.12587413 0.15151515 0.16550117 0.17715618
 0.13986014 0.10955711 0.12820513 0.19347319]";36.46$\pm$3.38;"[0.4009324  0.35198135 0.35897436 0.35897436 0.31934732 0.35198135
 0.41958042 0.35431235 0.31701632 0.41258741]";14.71$\pm$2.41;"[0.14452214 0.13519814 0.12587413 0.15151515 0.16550117 0.17715618
 0.13986014 0.10955711 0.12820513 0.19347319]";41.45$\pm$4.73;"[0.36829837 0.40559441 0.40792541 0.47086247 0.37995338 0.47552448
 0.47552448 0.34032634 0.37296037 0.44755245]";14.71$\pm$2.41;"[0.14452214 0.13519814 0.12587413 0.15151515 0.16550117 0.17715618
 0.13986014 0.10955711 0.12820513 0.19347319]";42.75$\pm$4.92;"[0.46153846 0.47319347 0.4032634  0.43356643 0.37062937 0.43123543
 0.38694639 0.41724942 0.53379953 0.36363636]";35.87$\pm$3.89;"[0.35897436 0.35664336 0.34965035 0.28904429 0.4032634  0.35664336
 0.43356643 0.34032634 0.38228438 0.31701632]";29.91$\pm$2.86;"[0.27738928 0.25407925 0.32867133 0.29370629 0.24708625 0.31701632
 0.31235431 0.30769231 0.32867133 0.32400932]";33.78$\pm$3.54;"[0.27738928 0.34032634 0.32634033 0.34032634 0.35431235 0.31002331
 0.41724942 0.30769231 0.34731935 0.35664336]";44.17$\pm$3.02;"[0.45687646 0.48717949 0.41258741 0.46620047 0.42191142 0.47785548
 0.41025641 0.45454545 0.39160839 0.43822844]";39.42$\pm$5.48;"[0.31468531 0.36363636 0.41491841 0.36130536 0.45221445 0.46153846
 0.49184149 0.37062937 0.34498834 0.36596737]";35.71$\pm$4.5;"[0.33566434 0.29137529 0.37529138 0.37062937 0.42424242 0.34265734
 0.41724942 0.37296037 0.27738928 0.36363636]";37.25$\pm$3.79;"[0.36363636 0.34731935 0.42657343 0.35431235 0.33799534 0.37062937
 0.41724942 0.38461538 0.3030303  0.41958042]";37.53$\pm$2.92;"[0.36130536 0.4009324  0.4009324  0.35198135 0.33100233 0.38228438
 0.42191142 0.37762238 0.33100233 0.39393939]";36.57$\pm$3.5;"[0.28904429 0.36829837 0.4032634  0.41258741 0.33333333 0.38461538
 0.34731935 0.37296037 0.35198135 0.39393939]";42.12$\pm$4.23;"[0.37529138 0.42890443 0.48018648 0.36829837 0.37062937 0.46153846
 0.48951049 0.41258741 0.3986014  0.42657343]";41.19$\pm$4.15;"[0.39393939 0.35897436 0.48951049 0.37995338 0.37995338 0.48717949
 0.4009324  0.41491841 0.3962704  0.41724942]";43.33$\pm$3.98;"[0.38927739 0.43822844 0.5034965  0.38461538 0.47552448 0.46153846
 0.41025641 0.39393939 0.40792541 0.46853147]";38.11$\pm$3.23;"[0.33333333 0.41491841 0.39160839 0.35664336 0.40792541 0.41258741
 0.35198135 0.34032634 0.37529138 0.42657343]";41.45$\pm$2.57;"[0.40792541 0.39393939 0.44522145 0.43822844 0.41958042 0.37529138
 0.44522145 0.42424242 0.42424242 0.37062937]";24.27$\pm$2.63;"[0.27039627 0.24009324 0.23543124 0.26107226 0.22843823 0.22610723
 0.23310023 0.22843823 0.2027972  0.3006993 ]";43.61$\pm$3.7;"[0.4009324  0.4032634  0.53146853 0.44988345 0.44289044 0.43356643
 0.43589744 0.44988345 0.41491841 0.3986014 ]";43.78$\pm$6.5;"[0.4009324  0.45920746 0.5967366  0.3986014  0.37529138 0.42191142
 0.46853147 0.36130536 0.41258741 0.48251748]";45.13$\pm$2.6;"[0.44755245 0.42657343 0.47086247 0.42657343 0.48484848 0.49184149
 0.44055944 0.45454545 0.40559441 0.46386946]";45.64$\pm$3.72;"[0.4988345  0.37762238 0.52447552 0.46153846 0.45687646 0.46386946
 0.45454545 0.45221445 0.44988345 0.42424242]";48.04$\pm$3.78;"[0.45920746 0.5034965  0.54778555 0.49184149 0.5011655  0.50815851
 0.41258741 0.43123543 0.48717949 0.46153846]";39.25$\pm$4.56;"[0.41958042 0.32867133 0.36130536 0.45687646 0.37529138 0.45920746
 0.42191142 0.4009324  0.37995338 0.32167832]"
Hits@50;35.55$\pm$4.57;"[0.33566434 0.35431235 0.36829837 0.33566434 0.34498834 0.35897436
 0.33566434 0.33799534 0.3006993  0.48251748]";58.72$\pm$3.18;"[0.63170163 0.57575758 0.57342657 0.61072261 0.56410256 0.56876457
 0.62470862 0.60606061 0.51981352 0.5967366 ]";35.55$\pm$4.57;"[0.33566434 0.35431235 0.36829837 0.33566434 0.34498834 0.35897436
 0.33566434 0.33799534 0.3006993  0.48251748]";66.27$\pm$4.81;"[0.66433566 0.69230769 0.65501166 0.71328671 0.59207459 0.74358974
 0.68997669 0.58275058 0.63170163 0.66200466]";35.55$\pm$4.57;"[0.33566434 0.35431235 0.36829837 0.33566434 0.34498834 0.35897436
 0.33566434 0.33799534 0.3006993  0.48251748]";66.67$\pm$2.13;"[0.71095571 0.65967366 0.64102564 0.67832168 0.65734266 0.66666667
 0.65034965 0.63869464 0.67365967 0.68997669]";57.69$\pm$3.68;"[0.55944056 0.6013986  0.60606061 0.55710956 0.61771562 0.55710956
 0.61072261 0.5034965  0.54079254 0.61538462]";55.08$\pm$2.9;"[0.56177156 0.55011655 0.58741259 0.54312354 0.50582751 0.51048951
 0.57342657 0.56643357 0.51981352 0.58974359]";57.2$\pm$3.6;"[0.57342657 0.58741259 0.59440559 0.58041958 0.56410256 0.51515152
 0.58741259 0.58041958 0.5034965  0.63403263]";64.71$\pm$3.17;"[0.67832168 0.61305361 0.65734266 0.63636364 0.65967366 0.62470862
 0.64335664 0.64335664 0.5990676  0.71561772]";62.28$\pm$3.1;"[0.58741259 0.62237762 0.63403263 0.60606061 0.63403263 0.64102564
 0.69463869 0.62237762 0.57575758 0.61072261]";60.23$\pm$3.68;"[0.5967366  0.59207459 0.58974359 0.61771562 0.58041958 0.62004662
 0.67832168 0.54312354 0.56410256 0.64102564]";60.86$\pm$2.67;"[0.64335664 0.62470862 0.61305361 0.5990676  0.6013986  0.62937063
 0.64102564 0.5967366  0.55011655 0.58741259]";59.95$\pm$3.72;"[0.61771562 0.61305361 0.60606061 0.62703963 0.6013986  0.63403263
 0.60606061 0.51048951 0.55011655 0.62937063]";61.98$\pm$3.55;"[0.57575758 0.66433566 0.64102564 0.68298368 0.56643357 0.64102564
 0.61538462 0.60606061 0.59440559 0.61072261]";65.22$\pm$2.76;"[0.65268065 0.66899767 0.64335664 0.61305361 0.62937063 0.65501166
 0.71328671 0.66433566 0.61771562 0.66433566]";65.55$\pm$2.67;"[0.67599068 0.60606061 0.67365967 0.61305361 0.64102564 0.65034965
 0.68531469 0.67132867 0.65501166 0.68298368]";68.67$\pm$2.57;"[0.74358974 0.66666667 0.68764569 0.66200466 0.68298368 0.70629371
 0.66899767 0.6993007  0.65034965 0.6993007 ]";64.52$\pm$2.35;"[0.66200466 0.61538462 0.64801865 0.64102564 0.59440559 0.63869464
 0.67365967 0.65967366 0.64801865 0.67132867]";63.73$\pm$3.8;"[0.62703963 0.58508159 0.66899767 0.68997669 0.55944056 0.63403263
 0.65967366 0.62937063 0.65034965 0.66899767]";42.73$\pm$2.57;"[0.41724942 0.45687646 0.39160839 0.41958042 0.39160839 0.45920746
 0.44055944 0.42657343 0.40559441 0.46386946]";67.02$\pm$2.6;"[0.6969697  0.64102564 0.71095571 0.69230769 0.66899767 0.63170163
 0.68531469 0.65967366 0.63636364 0.67832168]";68.23$\pm$4.4;"[0.62004662 0.68531469 0.73892774 0.68997669 0.63403263 0.74825175
 0.6969697  0.6993007  0.61305361 0.6969697 ]";67.67$\pm$3.77;"[0.6969697  0.62937063 0.63170163 0.68298368 0.71561772 0.71561772
 0.68997669 0.67365967 0.61072261 0.72027972]";67.11$\pm$3.54;"[0.7016317  0.65268065 0.67832168 0.6969697  0.72027972 0.68531469
 0.60839161 0.64102564 0.62470862 0.7016317 ]";71.14$\pm$3.97;"[0.77389277 0.69463869 0.74592075 0.72727273 0.65034965 0.74825175
 0.69463869 0.65034965 0.69230769 0.73659674]";60.44$\pm$3.16;"[0.63869464 0.5967366  0.62470862 0.64335664 0.58508159 0.63403263
 0.62237762 0.56177156 0.54778555 0.58974359]"
Hits@100;58.9$\pm$3.95;"[0.61538462 0.58508159 0.61538462 0.66200466 0.6013986  0.58041958
 0.53146853 0.58041958 0.51748252 0.6013986 ]";79.18$\pm$2.5;"[0.83216783 0.78321678 0.79020979 0.78554779 0.74592075 0.79020979
 0.82517483 0.78321678 0.76689977 0.81585082]";58.9$\pm$3.95;"[0.61538462 0.58508159 0.61538462 0.66200466 0.6013986  0.58041958
 0.53146853 0.58041958 0.51748252 0.6013986 ]";84.15$\pm$3.32;"[0.87179487 0.87179487 0.83216783 0.85314685 0.7972028  0.88811189
 0.84382284 0.77389277 0.82983683 0.85314685]";58.9$\pm$3.95;"[0.61538462 0.58508159 0.61538462 0.66200466 0.6013986  0.58041958
 0.53146853 0.58041958 0.51748252 0.6013986 ]";84.8$\pm$1.83;"[0.88111888 0.83916084 0.84149184 0.82750583 0.82750583 0.84615385
 0.87645688 0.82983683 0.85081585 0.86013986]";79.16$\pm$2.5;"[0.7972028  0.81118881 0.82750583 0.8018648  0.78554779 0.74358974
 0.78787879 0.75291375 0.79254079 0.81585082]";77.53$\pm$3.26;"[0.83682984 0.77622378 0.7995338  0.7995338  0.71794872 0.74592075
 0.75058275 0.77855478 0.75291375 0.79487179]";79.56$\pm$2.78;"[0.79254079 0.8018648  0.82284382 0.82284382 0.75058275 0.8018648
 0.81118881 0.75990676 0.75990676 0.83216783]";78.93$\pm$4.06;"[0.8041958  0.80885781 0.84615385 0.76456876 0.79020979 0.82517483
 0.78554779 0.74825175 0.6993007  0.82051282]";82.49$\pm$2.48;"[0.83449883 0.83216783 0.82517483 0.87179487 0.79487179 0.81351981
 0.82983683 0.78787879 0.8041958  0.85547786]";80.7$\pm$3.61;"[0.85081585 0.84149184 0.7995338  0.82517483 0.73659674 0.83916084
 0.82051282 0.75058275 0.79487179 0.81118881]";80.96$\pm$3.05;"[0.87179487 0.80652681 0.80652681 0.8018648  0.78787879 0.84382284
 0.82284382 0.77156177 0.76456876 0.81818182]";80.37$\pm$3.39;"[0.85081585 0.79487179 0.82051282 0.83682984 0.79020979 0.80652681
 0.7995338  0.72261072 0.78554779 0.82983683]";80.65$\pm$2.39;"[0.82983683 0.84149184 0.8041958  0.83682984 0.76689977 0.81351981
 0.8041958  0.77156177 0.79487179 0.8018648 ]";84.08$\pm$2.69;"[0.89044289 0.85081585 0.82983683 0.84615385 0.8018648  0.84382284
 0.86247086 0.82517483 0.7972028  0.86013986]";83.24$\pm$2.79;"[0.8951049  0.82750583 0.82051282 0.83216783 0.7972028  0.85547786
 0.84382284 0.79254079 0.82051282 0.83916084]";84.1$\pm$2.12;"[0.87179487 0.82284382 0.85780886 0.86946387 0.82750583 0.83682984
 0.84848485 0.82983683 0.7995338  0.84615385]";83.64$\pm$3.19;"[0.8951049  0.82284382 0.83216783 0.86247086 0.7972028  0.86247086
 0.82750583 0.78787879 0.81351981 0.86247086]";81.38$\pm$4.02;"[0.86480186 0.77855478 0.85780886 0.84382284 0.73892774 0.84615385
 0.81818182 0.77622378 0.78088578 0.83216783]";59.53$\pm$1.77;"[0.57575758 0.56410256 0.62004662 0.59440559 0.57575758 0.60606061
 0.60606061 0.60606061 0.58974359 0.61538462]";84.52$\pm$1.53;"[0.84615385 0.83916084 0.87412587 0.86013986 0.82517483 0.85780886
 0.84848485 0.84149184 0.82051282 0.83916084]";86.04$\pm$1.89;"[0.88111888 0.87412587 0.86480186 0.85081585 0.85081585 0.87179487
 0.86013986 0.83916084 0.82284382 0.88811189]";83.05$\pm$2.72;"[0.87878788 0.82284382 0.83916084 0.82983683 0.83449883 0.83449883
 0.86713287 0.78554779 0.79254079 0.82051282]";81.49$\pm$2.8;"[0.84848485 0.82750583 0.84382284 0.82983683 0.80652681 0.80885781
 0.81118881 0.77622378 0.75757576 0.83916084]";85.9$\pm$2.29;"[0.8997669  0.83916084 0.88811189 0.85547786 0.86946387 0.86713287
 0.83682984 0.83916084 0.82517483 0.86946387]";78.04$\pm$3.61;"[0.83916084 0.77622378 0.77855478 0.84149184 0.73892774 0.79254079
 0.77855478 0.76223776 0.72027972 0.77622378]"
ROCAUC;72.7$\pm$2.19;"[0.7364772  0.69723656 0.75288652 0.74857776 0.72874666 0.74526328
 0.73533865 0.71332484 0.68136448 0.7309544 ]";85.37$\pm$0.99;"[0.86901288 0.85202492 0.8586966  0.85057134 0.83807449 0.86085166
 0.85901793 0.83704224 0.84910428 0.8628521 ]";72.7$\pm$2.19;"[0.7364772  0.69723656 0.75288652 0.74857776 0.72874666 0.74526328
 0.73533865 0.71332484 0.68136448 0.7309544 ]";88.0$\pm$1.53;"[0.88390902 0.88414156 0.88499662 0.89020925 0.85876419 0.90577643
 0.88065595 0.84823432 0.87711434 0.88576455]";72.7$\pm$2.19;"[0.7364772  0.69723656 0.75288652 0.74857776 0.72874666 0.74526328
 0.73533865 0.71332484 0.68136448 0.7309544 ]";88.05$\pm$0.9;"[0.89605034 0.88298695 0.88084384 0.88256421 0.87194499 0.88567765
 0.88044082 0.86224757 0.88874218 0.87312921]";85.1$\pm$0.93;"[0.85654284 0.8622639  0.85935015 0.84768611 0.85196225 0.84849572
 0.86104394 0.8288565  0.84701778 0.84716141]";84.59$\pm$1.27;"[0.8533968  0.84479228 0.86470383 0.85515727 0.81821457 0.84814253
 0.83460776 0.83703135 0.84574089 0.85754744]";85.58$\pm$0.93;"[0.84527904 0.86187177 0.86902272 0.86013443 0.84417768 0.85307622
 0.86231292 0.84172603 0.85317945 0.86726902]";85.29$\pm$1.34;"[0.85954217 0.85548875 0.86848899 0.85433681 0.84645409 0.87256101
 0.85014051 0.83509248 0.82676143 0.86030325]";86.98$\pm$0.99;"[0.8595476  0.86889746 0.87688169 0.88435186 0.8632515  0.87627214
 0.88288347 0.85934471 0.8543205  0.87201817]";86.27$\pm$1.18;"[0.86768166 0.86119099 0.86282487 0.87870638 0.84773696 0.87268054
 0.87978455 0.84394811 0.85133204 0.86089145]";86.56$\pm$1.14;"[0.88244467 0.8666427  0.86667538 0.87080053 0.85154736 0.88478111
 0.8654772  0.85439949 0.84874566 0.86428447]";86.22$\pm$1.25;"[0.87150146 0.86727992 0.86868505 0.8717025  0.85286844 0.87162643
 0.86640307 0.83075725 0.85247309 0.86912075]";86.84$\pm$1.22;"[0.86103097 0.8805797  0.8764242  0.89084497 0.84965854 0.87354992
 0.85982398 0.85449753 0.86313919 0.87494826]";87.67$\pm$0.83;"[0.8778207  0.88638542 0.8867122  0.87831516 0.86545149 0.87879875
 0.88336547 0.86939307 0.861069   0.87993159]";87.19$\pm$1.0;"[0.8853299  0.85748208 0.88366773 0.87258817 0.85427141 0.88076027
 0.87134011 0.86375618 0.87523432 0.87458336]";87.21$\pm$0.89;"[0.88106455 0.86411564 0.88191948 0.87836949 0.86867777 0.87884765
 0.87294403 0.85529541 0.8611342  0.87910376]";87.56$\pm$0.93;"[0.88430295 0.8780254  0.87738274 0.88050489 0.85907262 0.88856016
 0.87585506 0.85998192 0.87012133 0.88251857]";86.76$\pm$1.33;"[0.87939101 0.851916   0.88920114 0.87954315 0.84534045 0.87334344
 0.86995403 0.85383308 0.86238393 0.87141908]";74.98$\pm$1.11;"[0.74112834 0.74335011 0.74797943 0.74171516 0.73572875 0.77048592
 0.75477638 0.7428436  0.75092507 0.76870248]";87.63$\pm$0.86;"[0.88167854 0.87102695 0.89372154 0.88738922 0.87397302 0.876283
 0.87731739 0.86839095 0.86612222 0.86678431]";88.85$\pm$1.14;"[0.88386283 0.89400475 0.91028909 0.88879108 0.87491197 0.90037546
 0.89288826 0.87476853 0.87306633 0.89154848]";87.5$\pm$0.89;"[0.88355855 0.87595037 0.88585169 0.87543808 0.87342166 0.88700072
 0.87363571 0.86176557 0.85852609 0.87505174]";85.96$\pm$1.34;"[0.86651344 0.86259613 0.87895127 0.86925196 0.86001976 0.87101244
 0.84339803 0.8422761  0.83636798 0.86608718]";88.31$\pm$1.1;"[0.89655023 0.8785319  0.89957628 0.88912797 0.87695911 0.89479518
 0.87553101 0.86744875 0.86808374 0.88479511]";85.27$\pm$1.46;"[0.87116729 0.84501013 0.85966603 0.87560924 0.83521397 0.87097712
 0.84755354 0.83918262 0.83666683 0.84566913]"
AP;70.39$\pm$2.03;"[0.71050559 0.69035752 0.71812601 0.72356556 0.71315334 0.72166494
 0.70500955 0.67963148 0.65828259 0.71903891]";83.68$\pm$1.08;"[0.84397924 0.83962122 0.82746015 0.83237468 0.82494526 0.8438442
 0.85566699 0.82531681 0.82441592 0.84994718]";70.39$\pm$2.03;"[0.71050559 0.69035752 0.71812601 0.72356556 0.71315334 0.72166494
 0.70500955 0.67963148 0.65828259 0.71903891]";86.87$\pm$1.87;"[0.871631   0.86802001 0.87479333 0.88190599 0.84597369 0.89635558
 0.88141819 0.82754311 0.8609757  0.87815471]";70.39$\pm$2.03;"[0.71050559 0.69035752 0.71812601 0.72356556 0.71315334 0.72166494
 0.70500955 0.67963148 0.65828259 0.71903891]";86.95$\pm$1.28;"[0.88630446 0.88611843 0.86058876 0.87059653 0.8605614  0.87677485
 0.86425641 0.85737362 0.88466267 0.84803114]";83.83$\pm$1.0;"[0.8407207  0.85463985 0.84692194 0.82955991 0.83830369 0.83903007
 0.85062264 0.82057244 0.8349583  0.82802614]";81.89$\pm$1.19;"[0.81486948 0.81360972 0.82572388 0.82730928 0.79639282 0.81598656
 0.81270716 0.81105861 0.82935467 0.8419141 ]";83.39$\pm$1.29;"[0.81008614 0.84450984 0.83014044 0.83482643 0.82985328 0.82806647
 0.85134125 0.82070039 0.83438056 0.85488202]";85.17$\pm$1.12;"[0.85519069 0.85163717 0.85505775 0.85811052 0.84453829 0.87686595
 0.8497355  0.84363839 0.83088641 0.85100318]";85.51$\pm$1.21;"[0.83828709 0.85196158 0.86393117 0.86480526 0.85830775 0.86120558
 0.87832873 0.83972662 0.84173237 0.85244615]";84.6$\pm$1.24;"[0.85005143 0.83603912 0.84745322 0.86542341 0.83208327 0.85377748
 0.86277359 0.8267634  0.83504743 0.85010531]";85.3$\pm$1.31;"[0.86687436 0.84013413 0.85791142 0.85008376 0.84062529 0.86909239
 0.86724609 0.84952204 0.82764075 0.86116622]";84.32$\pm$1.25;"[0.84442096 0.85293432 0.84694284 0.85085768 0.83290527 0.85183191
 0.85180295 0.8116377  0.83599035 0.85295098]";84.59$\pm$1.54;"[0.83193881 0.86100556 0.85052046 0.87297203 0.8257112  0.85767485
 0.83706876 0.82826233 0.83555607 0.85868391]";85.91$\pm$0.72;"[0.85859211 0.86294571 0.86433336 0.85313009 0.85219896 0.85631918
 0.87076181 0.85386064 0.84920043 0.86999631]";85.97$\pm$1.26;"[0.87130069 0.84413181 0.87463192 0.85580432 0.83832194 0.8749668
 0.8637542  0.85311652 0.87078237 0.84973386]";86.43$\pm$0.78;"[0.86651043 0.86215006 0.86777774 0.86314278 0.8619742  0.87597428
 0.86656237 0.8479308  0.85652187 0.87450447]";85.62$\pm$0.93;"[0.86538239 0.85703584 0.86423332 0.85635724 0.84278996 0.86433435
 0.86356645 0.84326122 0.84189158 0.86286102]";85.68$\pm$1.42;"[0.86203781 0.84317097 0.87528366 0.87276457 0.83131863 0.86404525
 0.8640507  0.83571508 0.85970516 0.85982104]";74.65$\pm$1.21;"[0.74048669 0.74387754 0.73871844 0.74557458 0.74156754 0.76160671
 0.73646944 0.73482717 0.74591315 0.7760219 ]";86.64$\pm$0.92;"[0.86656054 0.86821471 0.87838254 0.8730023  0.86566091 0.86842946
 0.87753582 0.86527164 0.84859572 0.8521694 ]";87.53$\pm$1.33;"[0.86581634 0.87864144 0.90268073 0.87438474 0.85479817 0.88546571
 0.88792791 0.86521413 0.86419979 0.87346509]";86.77$\pm$0.75;"[0.8713847  0.86531495 0.87169478 0.85969277 0.87070663 0.88177063
 0.87599378 0.85809831 0.85927865 0.86355591]";85.97$\pm$1.07;"[0.86733727 0.85737111 0.88320313 0.86147908 0.86330417 0.86751078
 0.8530462  0.84676681 0.84823363 0.84878237]";87.65$\pm$1.25;"[0.87937564 0.88023333 0.8966105  0.87723651 0.87606897 0.89478784
 0.87127298 0.85425991 0.87519486 0.85957416]";84.3$\pm$1.77;"[0.86876248 0.83920827 0.85076374 0.86128172 0.82869563 0.86566941
 0.84333933 0.83457907 0.82644458 0.81138037]"
pretrain_time;nan$\pm$nan;[];6.59$\pm$0.16;"[6.63710737 6.660954   6.4550643  6.31547689 6.41506004 6.7575829
 6.45209765 6.71152186 6.77321601 6.74422264]";nan$\pm$nan;[];63.6$\pm$0.84;"[64.71277285 64.371912   64.81825066 63.25032878 62.31202102 62.57874751
 64.05935574 63.62191749 62.79138803 63.49938464]";nan$\pm$nan;[];50.46$\pm$1.27;"[49.88332963 49.88926864 50.09800982 49.2174561  48.72239804 50.40456796
 49.52007747 52.24342251 52.00221491 52.57090783]";32.96$\pm$2.13;"[29.91083407 29.54638147 29.7528882  34.57002115 33.78205299 34.14430809
 34.84592772 34.59400725 34.46460032 34.00493479]";3.56$\pm$0.23;"[3.14142251 3.09106445 3.70997286 3.60058951 3.71179676 3.61296034
 3.68896556 3.71487498 3.65184402 3.68407345]";35.12$\pm$0.3;"[35.53324509 35.04924011 35.39450216 34.99628282 35.52685213 34.51584864
 34.85590911 35.18649459 35.09767103 35.02927542]";5.01$\pm$0.21;"[5.18469381 4.78059459 4.66266775 4.82059956 4.97738338 5.13577318
 5.13831472 4.8404007  5.32310057 5.21448112]";88.12$\pm$0.5;"[87.37598896 87.75258517 87.44361639 88.72629762 88.4792788  87.94188571
 88.99130988 88.39441395 88.18850064 87.95228148]";11.88$\pm$0.16;"[12.20008516 11.90126085 11.75146055 11.61927891 11.988235   11.9863503
 12.00717187 11.69028139 11.8646307  11.8236084 ]";73.91$\pm$2.66;"[69.99687481 68.90562367 74.11020112 75.60267615 75.09741998 76.59404826
 76.41758275 76.39554024 74.56352806 71.456352  ]";80.56$\pm$0.41;"[80.97585464 81.19916248 80.78185582 80.8275466  80.61757731 80.68805575
 80.00102305 79.83524942 80.24862242 80.461061  ]";8.74$\pm$0.6;"[8.31747675 8.57470322 8.52363753 8.0895977  8.25730467 8.46244931
 8.32715368 9.34331393 9.79903269 9.7399981 ]";14.38$\pm$0.21;"[14.40161395 13.82162166 14.56550336 14.30833316 14.38727474 14.59239745
 14.32376337 14.31090093 14.52289653 14.5500226 ]";11.48$\pm$0.34;"[10.6027317  11.46805358 11.46665478 11.43851233 11.78513527 11.77655649
 11.83475876 11.57292008 11.25428319 11.59988642]";3.74$\pm$0.06;"[3.71997929 3.76685524 3.78337002 3.69881344 3.71725821 3.76431966
 3.72324753 3.58543396 3.77310872 3.82679892]";42.99$\pm$0.2;"[42.94138026 43.06828332 42.88166952 42.57671022 43.34191203 43.09203839
 43.08997774 42.85340214 43.17133522 42.84713507]";87.28$\pm$4.96;"[88.58506155 90.35478354 91.29121804 91.58525085 87.95036483 78.21610332
 78.73483014 83.61492562 91.44209671 91.01096272]";1.95$\pm$0.06;"[2.00241089 1.95499778 1.90389943 1.9513371  1.82441401 1.91365409
 1.99399877 2.0359602  1.97743511 1.91823244]";69.69$\pm$4.26;"[73.81546283 72.43652368 72.56020951 73.20005631 72.26555419 73.31821799
 68.89347029 63.42461491 63.68247008 63.32651758]";46.54$\pm$2.78;"[48.60906291 48.00196934 48.77261543 48.27031398 48.33852649 48.55542803
 47.92138743 42.23954701 42.19818735 42.49139333]";15.93$\pm$0.13;"[16.00340509 15.81641889 15.83603764 15.80876517 16.06449294 16.14277768
 15.93805861 15.711514   16.05181742 15.96389484]";45.08$\pm$2.14;"[43.4073813  43.64117742 43.41393161 43.42752838 43.23686576 43.83620477
 45.07854128 48.50380397 48.21664953 48.08389401]";41.95$\pm$0.41;"[42.67914629 42.07641101 42.20567584 42.24776149 42.23823071 42.09204268
 41.37084079 41.47918749 41.42927551 41.65772986]";10.13$\pm$0.49;"[ 8.82889271 10.27420926 10.17711139 10.18356133 10.3443737  10.54292679
 10.55576444 10.4929266  10.12869787  9.76664877]"
