metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;leiden_prob_pred_mean;leiden_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;louvain_prob_pred_mean;louvain_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;80.13$\pm$1.4;"[0.77189781 0.81569343 0.80839416 0.81751825 0.79562044 0.79744526
 0.80291971 0.78832117 0.79562044 0.81934307]";75.97$\pm$5.38;"[0.77554745 0.78467153 0.79379562 0.77737226 0.60218978 0.79379562
 0.78467153 0.76277372 0.75729927 0.76459854]";70.53$\pm$3.0;"[0.65875912 0.74635036 0.70437956 0.70072993 0.69160584 0.70072993
 0.67335766 0.68613139 0.75729927 0.73357664]";66.53$\pm$2.33;"[0.67883212 0.68430657 0.65328467 0.67153285 0.65145985 0.63138686
 0.69160584 0.66605839 0.62591241 0.69890511]";79.49$\pm$1.62;"[0.75547445 0.80109489 0.80109489 0.80474453 0.78284672 0.78832117
 0.8120438  0.78832117 0.80291971 0.8120438 ]";79.65$\pm$1.14;"[0.77007299 0.8120438  0.79927007 0.80291971 0.79014599 0.79744526
 0.79562044 0.7919708  0.79379562 0.8120438 ]";78.28$\pm$1.06;"[0.77007299 0.78832117 0.79744526 0.78649635 0.7919708  0.76824818
 0.77737226 0.78467153 0.76824818 0.79562044]";79.27$\pm$1.2;"[0.77007299 0.80291971 0.80656934 0.79927007 0.7810219  0.79014599
 0.79014599 0.78467153 0.79014599 0.8120438 ]";79.65$\pm$1.14;"[0.77007299 0.8120438  0.79927007 0.80291971 0.79014599 0.79744526
 0.79562044 0.7919708  0.79379562 0.8120438 ]";94.89$\pm$0.8;"[0.95620438 0.95072993 0.94708029 0.9580292  0.95620438 0.94343066
 0.9580292  0.94160584 0.93248175 0.94525547]";79.65$\pm$1.14;"[0.77007299 0.8120438  0.79927007 0.80291971 0.79014599 0.79744526
 0.79562044 0.7919708  0.79379562 0.8120438 ]";94.45$\pm$0.68;"[0.95072993 0.94525547 0.94343066 0.9580292  0.93430657 0.93978102
 0.95072993 0.93613139 0.94160584 0.94525547]"
Hits@50;81.73$\pm$0.87;"[0.79744526 0.82116788 0.81569343 0.82481752 0.81021898 0.81386861
 0.82481752 0.81386861 0.8229927  0.82846715]";80.33$\pm$3.89;"[0.80474453 0.83394161 0.82116788 0.81934307 0.68978102 0.81751825
 0.81934307 0.80291971 0.80474453 0.81934307]";79.07$\pm$2.65;"[0.75       0.83029197 0.8229927  0.79379562 0.78284672 0.7810219
 0.75364964 0.77189781 0.80291971 0.81751825]";71.33$\pm$2.75;"[0.72080292 0.70620438 0.77372263 0.7189781  0.69343066 0.68430657
 0.73357664 0.71350365 0.66788321 0.72080292]";82.45$\pm$1.69;"[0.79562044 0.82664234 0.83759124 0.81934307 0.80291971 0.82481752
 0.84489051 0.80839416 0.83759124 0.84671533]";81.15$\pm$0.73;"[0.79744526 0.8229927  0.81569343 0.80839416 0.80839416 0.81386861
 0.81021898 0.81569343 0.80291971 0.81934307]";80.51$\pm$1.09;"[0.77919708 0.80656934 0.81934307 0.8120438  0.80291971 0.80291971
 0.80291971 0.79744526 0.81021898 0.81751825]";80.2$\pm$1.22;"[0.77919708 0.81021898 0.81386861 0.80474453 0.78832117 0.79562044
 0.80474453 0.79379562 0.80656934 0.8229927 ]";81.15$\pm$0.73;"[0.79744526 0.8229927  0.81569343 0.80839416 0.80839416 0.81386861
 0.81021898 0.81569343 0.80291971 0.81934307]";95.27$\pm$0.62;"[0.95620438 0.95620438 0.95255474 0.95985401 0.95985401 0.94525547
 0.95985401 0.94525547 0.94343066 0.94890511]";81.15$\pm$0.73;"[0.79744526 0.8229927  0.81569343 0.80839416 0.80839416 0.81386861
 0.81021898 0.81569343 0.80291971 0.81934307]";94.78$\pm$0.75;"[0.95255474 0.94708029 0.94343066 0.96350365 0.93613139 0.94343066
 0.95437956 0.94160584 0.94343066 0.95255474]"
Hits@100;83.76$\pm$1.26;"[0.81751825 0.83941606 0.83211679 0.83759124 0.82116788 0.83211679
 0.85766423 0.83394161 0.8540146  0.85036496]";84.11$\pm$1.47;"[0.8229927  0.86313869 0.84306569 0.84671533 0.81934307 0.83394161
 0.85036496 0.85036496 0.8229927  0.85766423]";85.0$\pm$2.06;"[0.82664234 0.87956204 0.87408759 0.84671533 0.83394161 0.8649635
 0.81386861 0.83941606 0.85218978 0.86861314]";75.31$\pm$3.29;"[0.74270073 0.73540146 0.8229927  0.74817518 0.72992701 0.79562044
 0.75       0.75364964 0.69708029 0.75547445]";86.11$\pm$1.96;"[0.85218978 0.87773723 0.86313869 0.8540146  0.83576642 0.84489051
 0.89416058 0.83759124 0.89051095 0.86131387]";83.41$\pm$1.04;"[0.81934307 0.83941606 0.84671533 0.82664234 0.83759124 0.83941606
 0.8229927  0.84671533 0.81934307 0.84306569]";82.28$\pm$1.0;"[0.79562044 0.8229927  0.83394161 0.82846715 0.82664234 0.82116788
 0.82664234 0.81751825 0.82846715 0.82664234]";81.28$\pm$1.13;"[0.79744526 0.8229927  0.83211679 0.80839416 0.79562044 0.80291971
 0.81386861 0.8120438  0.81934307 0.8229927 ]";83.41$\pm$1.04;"[0.81934307 0.83941606 0.84671533 0.82664234 0.83759124 0.83941606
 0.8229927  0.84671533 0.81934307 0.84306569]";95.62$\pm$0.58;"[0.96167883 0.9580292  0.95437956 0.96167883 0.95985401 0.95072993
 0.96350365 0.94890511 0.94525547 0.9580292 ]";83.41$\pm$1.04;"[0.81934307 0.83941606 0.84671533 0.82664234 0.83759124 0.83941606
 0.8229927  0.84671533 0.81934307 0.84306569]";95.0$\pm$0.86;"[0.96350365 0.94890511 0.94343066 0.96350365 0.93613139 0.94525547
 0.95620438 0.94525547 0.94343066 0.95437956]"
ROCAUC;90.4$\pm$1.04;"[0.90152312 0.91371077 0.89278198 0.89992141 0.88610874 0.89599872
 0.91982458 0.90196934 0.91514599 0.91276506]";89.66$\pm$0.89;"[0.88260563 0.91051401 0.89699771 0.89074738 0.88397424 0.90267196
 0.90419708 0.89721416 0.89093718 0.90596862]";89.97$\pm$1.22;"[0.88090069 0.91868906 0.91019434 0.90485641 0.88527292 0.91074378
 0.885526   0.89179631 0.90370425 0.90578547]";86.11$\pm$2.02;"[0.83712505 0.83712838 0.88915566 0.86418762 0.86627884 0.88081411
 0.86162355 0.87887607 0.82502398 0.87115723]";92.38$\pm$1.21;"[0.90876245 0.93511575 0.92972788 0.92257845 0.90356772 0.91535577
 0.93811604 0.91387061 0.93819263 0.93291798]";89.51$\pm$0.52;"[0.88726424 0.89785018 0.90367428 0.89429378 0.89887914 0.89159652
 0.88948532 0.89844291 0.8892389  0.90035431]";87.4$\pm$0.65;"[0.8623728  0.87971855 0.87245258 0.88526626 0.87213957 0.8670747
 0.87839323 0.86862646 0.87808354 0.87607225]";86.54$\pm$0.94;"[0.85742781 0.87409092 0.87984509 0.86957883 0.85072793 0.85419275
 0.87110395 0.85818038 0.86472375 0.87460373]";89.51$\pm$0.52;"[0.88726424 0.89785018 0.90367428 0.89429378 0.89887914 0.89159652
 0.88948532 0.89844291 0.8892389  0.90035431]";96.33$\pm$0.48;"[0.96840868 0.96178539 0.96466248 0.9682555  0.96376339 0.95627098
 0.96848527 0.95774948 0.95625766 0.96736973]";89.51$\pm$0.52;"[0.88726424 0.89785018 0.90367428 0.89429378 0.89887914 0.89159652
 0.88948532 0.89844291 0.8892389  0.90035431]";95.86$\pm$0.73;"[0.96662382 0.9556899  0.95391337 0.96787922 0.94611793 0.95939781
 0.96514865 0.95337058 0.95099965 0.96673371]"
AP;93.63$\pm$0.57;"[0.93209837 0.94152602 0.93112384 0.93573614 0.92678171 0.93143434
 0.94489718 0.9353836  0.94166141 0.94250167]";92.7$\pm$1.13;"[0.92313107 0.93912099 0.93078033 0.92778637 0.8962184  0.9334038
 0.93446676 0.9279687  0.92319129 0.93404372]";92.43$\pm$0.84;"[0.91107251 0.93637576 0.92661675 0.9268477  0.91375879 0.93296597
 0.91579517 0.91927185 0.93269207 0.92781747]";89.92$\pm$1.2;"[0.88884199 0.88808058 0.91764081 0.90080111 0.89883748 0.90841613
 0.90174974 0.90849528 0.87378323 0.90547666]";94.58$\pm$0.77;"[0.93603815 0.95252089 0.94928515 0.94578776 0.93276004 0.94056637
 0.95552088 0.93953106 0.95499808 0.95112987]";93.12$\pm$0.35;"[0.92550725 0.93293825 0.93723176 0.93042408 0.93171286 0.929194
 0.92862839 0.93417602 0.92724338 0.93535328]";92.07$\pm$0.49;"[0.90880274 0.9228666  0.92404327 0.92614323 0.91843171 0.91648912
 0.92446819 0.91888963 0.92346635 0.92378504]";91.49$\pm$0.71;"[0.90718585 0.91687525 0.92669175 0.91651867 0.9051627  0.90411233
 0.919775   0.91494395 0.91444804 0.9233186 ]";93.12$\pm$0.35;"[0.92550725 0.93293825 0.93723176 0.93042408 0.93171286 0.929194
 0.92862839 0.93417602 0.92724338 0.93535328]";97.58$\pm$0.36;"[0.97812607 0.96941039 0.97923925 0.97822723 0.97519781 0.97170075
 0.97978712 0.9752573  0.97187298 0.97956335]";93.12$\pm$0.35;"[0.92550725 0.93293825 0.93723176 0.93042408 0.93171286 0.929194
 0.92862839 0.93417602 0.92724338 0.93535328]";97.6$\pm$0.41;"[0.98136582 0.97249732 0.9743686  0.98051949 0.97023365 0.97616757
 0.98031176 0.97400849 0.97041445 0.98018399]"
pretrain_time;5.5$\pm$0.01;"[5.50178027 5.48998022 5.49534249 5.48700619 5.5241189  5.49687457
 5.49859071 5.50329828 5.50281358 5.49936366]";35.56$\pm$0.19;"[35.45198298 35.44145179 36.01915765 35.67218876 35.79616046 35.43915415
 35.41764355 35.45163965 35.46398687 35.43911219]";11.69$\pm$0.5;"[11.53514123 11.5319469  11.51969862 11.49729276 11.57603431 11.45355892
 11.51592183 11.62700677 13.17623186 11.5056529 ]";7.34$\pm$0.44;"[6.77954817 7.68269134 7.68370438 7.68239403 6.84814191 6.80789733
 6.80112219 7.70984745 7.71516705 7.70637012]";36.38$\pm$2.24;"[40.89882708 40.83480263 35.29431152 35.28088975 35.34852004 35.24587059
 35.23657942 35.22209072 35.23691154 35.24870896]";nan$\pm$nan;[];13.81$\pm$0.47;"[14.13546276 13.50012088 13.9701941  14.47393441 13.32582808 13.15965319
 13.08106136 14.23661208 13.98971128 14.1845665 ]";35.7$\pm$0.28;"[36.0421257  35.75076222 35.75090241 36.05711818 35.96639729 35.51967406
 35.352458   35.24800038 35.87658    35.47901702]";nan$\pm$nan;[];14.52$\pm$0.74;"[13.94606376 13.84564757 13.89210129 13.86832428 15.66121888 15.391186
 15.36818242 15.25727201 14.13789535 13.88122487]";nan$\pm$nan;[];5.7$\pm$0.08;"[5.65469193 5.80502057 5.6152072  5.78738475 5.68794632 5.70933819
 5.62549233 5.68748951 5.58285928 5.8203361 ]"
