metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,deg;bgrl,enc:gcn_bgrl,pred:mlp,evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,evc;bgrl,enc:gcn_bgrl,pred:mlp,pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,pr;bgrl,enc:gcn_bgrl,pred:mlp,scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,deg_mean;grace,enc:gcn_bgrl,pred:mlp,deg;grace,enc:gcn_bgrl,pred:mlp,evc_mean;grace,enc:gcn_bgrl,pred:mlp,evc;grace,enc:gcn_bgrl,pred:mlp,pr_mean;grace,enc:gcn_bgrl,pred:mlp,pr;grace,enc:gcn_bgrl,pred:mlp,scom_mean;grace,enc:gcn_bgrl,pred:mlp,scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,deg;lbgrl,enc:gcn_bgrl,pred:mlp,evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,evc;lbgrl,enc:gcn_bgrl,pred:mlp,pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,pr;lbgrl,enc:gcn_bgrl,pred:mlp,scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,deg;lgrace,enc:gcn_bgrl,pred:mlp,evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,evc;lgrace,enc:gcn_bgrl,pred:mlp,pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,pr;lgrace,enc:gcn_bgrl,pred:mlp,scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;42.26$\pm$4.16;"[0.43589744 0.38461538 0.4032634  0.42890443 0.38461538 0.45221445
 0.42890443 0.44755245 0.35198135 0.50815851]";42.84$\pm$3.84;"[0.36596737 0.40559441 0.46153846 0.47552448 0.42191142 0.48484848
 0.37762238 0.42657343 0.40792541 0.45687646]";46.18$\pm$5.0;"[0.51515152 0.41724942 0.48251748 0.51282051 0.42890443 0.40792541
 0.48251748 0.44755245 0.54079254 0.38228438]";38.34$\pm$2.79;"[0.37062937 0.34265734 0.38228438 0.39160839 0.34498834 0.42890443
 0.42890443 0.37062937 0.37995338 0.39393939]";40.44$\pm$4.84;"[0.35431235 0.4032634  0.48951049 0.38694639 0.37995338 0.42424242
 0.47552448 0.32867133 0.37296037 0.42890443]";46.57$\pm$2.95;"[0.45687646 0.47785548 0.5034965  0.44055944 0.49417249 0.41958042
 0.42424242 0.47552448 0.50582751 0.45920746]";14.71$\pm$2.41;"[0.14452214 0.13519814 0.12587413 0.15151515 0.16550117 0.17715618
 0.13986014 0.10955711 0.12820513 0.19347319]";35.62$\pm$4.44;"[0.33100233 0.35431235 0.33333333 0.41491841 0.31468531 0.41491841
 0.40559441 0.28205128 0.38694639 0.32400932]";14.71$\pm$2.41;"[0.14452214 0.13519814 0.12587413 0.15151515 0.16550117 0.17715618
 0.13986014 0.10955711 0.12820513 0.19347319]";39.91$\pm$5.52;"[0.45920746 0.37762238 0.37762238 0.39393939 0.26340326 0.41025641
 0.45454545 0.46153846 0.38228438 0.41025641]";50.07$\pm$5.66;"[0.53613054 0.36130536 0.53146853 0.54545455 0.52214452 0.57342657
 0.44988345 0.49417249 0.5011655  0.49184149]";46.67$\pm$4.75;"[0.49417249 0.41958042 0.46153846 0.53146853 0.52447552 0.48717949
 0.41724942 0.37529138 0.49417249 0.46153846]";43.4$\pm$3.75;"[0.39160839 0.45454545 0.51282051 0.38694639 0.39393939 0.47086247
 0.42191142 0.42191142 0.44522145 0.44055944]";45.08$\pm$3.36;"[0.44055944 0.43123543 0.51748252 0.48717949 0.46386946 0.46853147
 0.4032634  0.40792541 0.45687646 0.43123543]";43.68$\pm$2.13;"[0.42890443 0.41258741 0.48251748 0.41491841 0.43822844 0.46853147
 0.43822844 0.42890443 0.42191142 0.43356643]";37.23$\pm$5.71;"[0.35897436 0.44522145 0.43123543 0.34265734 0.44055944 0.42191142
 0.36829837 0.3030303  0.27505828 0.33566434]";45.41$\pm$4.43;"[0.49417249 0.42424242 0.42890443 0.51282051 0.45454545 0.43123543
 0.53613054 0.44522145 0.43123543 0.38228438]";39.91$\pm$2.97;"[0.39160839 0.37296037 0.42424242 0.36596737 0.37062937 0.38694639
 0.45221445 0.38461538 0.39393939 0.44755245]";47.48$\pm$4.65;"[0.51048951 0.42191142 0.56876457 0.4032634  0.48717949 0.46620047
 0.48951049 0.42424242 0.47785548 0.4988345 ]";41.47$\pm$4.84;"[0.41025641 0.44755245 0.47086247 0.37762238 0.34731935 0.38228438
 0.51048951 0.36130536 0.41025641 0.42890443]";46.01$\pm$4.13;"[0.44522145 0.47086247 0.54778555 0.40792541 0.42657343 0.49417249
 0.47552448 0.41724942 0.48951049 0.42657343]";45.5$\pm$3.47;"[0.39160839 0.47552448 0.5034965  0.41958042 0.46853147 0.43822844
 0.49184149 0.43589744 0.49184149 0.43356643]";38.72$\pm$3.69;"[0.34731935 0.39160839 0.41491841 0.38461538 0.34032634 0.46620047
 0.37995338 0.36130536 0.42424242 0.36130536]";35.59$\pm$3.61;"[0.35431235 0.37529138 0.41958042 0.37529138 0.3030303  0.36829837
 0.35664336 0.31701632 0.3030303  0.38694639]";48.07$\pm$4.56;"[0.51048951 0.4009324  0.55244755 0.50815851 0.47552448 0.52214452
 0.43123543 0.44055944 0.45221445 0.51282051]";45.69$\pm$6.75;"[0.54778555 0.4032634  0.54545455 0.53146853 0.38228438 0.51981352
 0.44755245 0.40792541 0.40792541 0.37529138]";50.84$\pm$3.27;"[0.57575758 0.48717949 0.52447552 0.55710956 0.47785548 0.51282051
 0.4965035  0.48717949 0.47319347 0.49184149]";48.55$\pm$3.89;"[0.46620047 0.46620047 0.50582751 0.48951049 0.57808858 0.48251748
 0.44988345 0.46620047 0.51748252 0.43356643]";40.33$\pm$4.87;"[0.34498834 0.3986014  0.48484848 0.43123543 0.42424242 0.44055944
 0.44289044 0.31468531 0.37529138 0.37529138]";39.46$\pm$4.13;"[0.35664336 0.3962704  0.38228438 0.3986014  0.42890443 0.43123543
 0.37529138 0.31235431 0.47086247 0.39393939]";42.45$\pm$4.55;"[0.47319347 0.43589744 0.51282051 0.41258741 0.39160839 0.4032634
 0.46153846 0.42424242 0.37529138 0.35431235]"
Hits@50;63.61$\pm$3.65;"[0.69463869 0.61305361 0.66433566 0.63869464 0.63170163 0.65967366
 0.6037296  0.60606061 0.57109557 0.67832168]";67.41$\pm$3.44;"[0.70862471 0.66899767 0.68531469 0.72261072 0.64335664 0.65734266
 0.64102564 0.66666667 0.62004662 0.72727273]";68.72$\pm$3.37;"[0.74592075 0.67132867 0.63636364 0.72494172 0.65967366 0.65967366
 0.6993007  0.65734266 0.6993007  0.71794872]";60.47$\pm$4.94;"[0.52913753 0.59440559 0.62237762 0.58508159 0.54545455 0.66433566
 0.69463869 0.62937063 0.56177156 0.62004662]";66.67$\pm$3.77;"[0.64801865 0.66899767 0.6969697  0.71095571 0.63170163 0.63636364
 0.6969697  0.65034965 0.6013986  0.72494172]";70.51$\pm$3.43;"[0.72727273 0.67832168 0.72027972 0.68298368 0.69463869 0.73659674
 0.72261072 0.72960373 0.62237762 0.73659674]";35.55$\pm$4.57;"[0.33566434 0.35431235 0.36829837 0.33566434 0.34498834 0.35897436
 0.33566434 0.33799534 0.3006993  0.48251748]";59.98$\pm$4.1;"[0.64568765 0.63869464 0.5967366  0.62703963 0.52680653 0.63869464
 0.62004662 0.53146853 0.57808858 0.59440559]";35.55$\pm$4.57;"[0.33566434 0.35431235 0.36829837 0.33566434 0.34498834 0.35897436
 0.33566434 0.33799534 0.3006993  0.48251748]";65.03$\pm$4.59;"[0.65501166 0.61538462 0.62703963 0.61072261 0.55944056 0.6993007
 0.7039627  0.70862471 0.64568765 0.67832168]";72.1$\pm$2.43;"[0.75757576 0.68298368 0.71561772 0.73426573 0.72960373 0.73193473
 0.6969697  0.72027972 0.68764569 0.75291375]";69.23$\pm$2.68;"[0.70629371 0.6993007  0.67599068 0.69463869 0.70629371 0.71328671
 0.67832168 0.62470862 0.6969697  0.72727273]";70.4$\pm$2.77;"[0.68298368 0.70629371 0.67832168 0.74825175 0.66666667 0.71794872
 0.72027972 0.67832168 0.69230769 0.74825175]";72.75$\pm$1.57;"[0.72494172 0.71095571 0.72027972 0.75524476 0.70629371 0.74825175
 0.72027972 0.74125874 0.71328671 0.73426573]";67.32$\pm$2.46;"[0.65734266 0.65967366 0.7039627  0.68531469 0.71095571 0.63636364
 0.65967366 0.66433566 0.65034965 0.7039627 ]";64.99$\pm$3.18;"[0.64102564 0.67832168 0.66666667 0.68065268 0.63636364 0.69463869
 0.65967366 0.59207459 0.6013986  0.64801865]";67.02$\pm$4.11;"[0.75524476 0.62470862 0.67832168 0.68298368 0.61771562 0.69230769
 0.6969697  0.61305361 0.67832168 0.66200466]";65.52$\pm$2.25;"[0.67365967 0.68065268 0.67599068 0.68764569 0.63170163 0.64568765
 0.65501166 0.63170163 0.61771562 0.65268065]";71.03$\pm$4.36;"[0.72727273 0.66899767 0.75291375 0.68298368 0.71328671 0.76223776
 0.7016317  0.64335664 0.66666667 0.78321678]";67.3$\pm$2.55;"[0.68298368 0.64568765 0.65268065 0.72960373 0.64335664 0.65967366
 0.7039627  0.67132867 0.67132867 0.66899767]";70.05$\pm$2.87;"[0.6969697  0.69230769 0.7039627  0.72727273 0.64102564 0.73659674
 0.67132867 0.7016317  0.69230769 0.74125874]";69.04$\pm$2.79;"[0.74592075 0.64102564 0.70862471 0.6969697  0.66200466 0.68997669
 0.6969697  0.68531469 0.66666667 0.71095571]";63.31$\pm$3.42;"[0.65034965 0.62937063 0.64568765 0.68997669 0.59207459 0.65501166
 0.64801865 0.6037296  0.56643357 0.65034965]";59.65$\pm$5.0;"[0.61305361 0.57342657 0.64335664 0.65501166 0.53846154 0.55244755
 0.64335664 0.55244755 0.52913753 0.66433566]";70.56$\pm$3.27;"[0.70629371 0.65034965 0.73193473 0.74592075 0.68997669 0.74358974
 0.71561772 0.66433566 0.67365967 0.73426573]";65.9$\pm$3.9;"[0.66899767 0.62004662 0.72960373 0.68298368 0.61771562 0.65501166
 0.66666667 0.67132867 0.58741259 0.68997669]";72.54$\pm$4.24;"[0.77855478 0.6969697  0.75058275 0.77855478 0.68298368 0.75524476
 0.72261072 0.66433566 0.66666667 0.75757576]";72.89$\pm$2.3;"[0.74358974 0.71095571 0.75990676 0.71095571 0.75058275 0.75058275
 0.6993007  0.71561772 0.6969697  0.75058275]";65.31$\pm$4.03;"[0.6993007  0.62470862 0.65967366 0.62703963 0.65734266 0.68764569
 0.7039627  0.6013986  0.58275058 0.68764569]";63.03$\pm$3.33;"[0.68298368 0.63170163 0.65501166 0.58974359 0.62703963 0.67599068
 0.58041958 0.59207459 0.63636364 0.63170163]";63.66$\pm$3.63;"[0.70862471 0.66200466 0.66433566 0.62470862 0.61305361 0.60839161
 0.66666667 0.57808858 0.61072261 0.62937063]"
Hits@100;78.9$\pm$2.43;"[0.8041958  0.80652681 0.83216783 0.78554779 0.79254079 0.77622378
 0.74592075 0.75757576 0.78088578 0.80885781]";83.45$\pm$2.47;"[0.84149184 0.85547786 0.82750583 0.83449883 0.82983683 0.84149184
 0.84848485 0.77622378 0.81585082 0.87412587]";83.29$\pm$3.18;"[0.87878788 0.79254079 0.86713287 0.86713287 0.82517483 0.82051282
 0.80652681 0.78088578 0.83682984 0.85314685]";80.33$\pm$3.33;"[0.84382284 0.77156177 0.83682984 0.8041958  0.76456876 0.84382284
 0.82517483 0.79254079 0.74358974 0.80652681]";84.06$\pm$2.97;"[0.85547786 0.84382284 0.86013986 0.86946387 0.79020979 0.82983683
 0.84848485 0.81818182 0.7995338  0.89044289]";85.97$\pm$2.27;"[0.9020979  0.85547786 0.87878788 0.84848485 0.82051282 0.87645688
 0.86013986 0.84615385 0.83449883 0.87412587]";58.9$\pm$3.95;"[0.61538462 0.58508159 0.61538462 0.66200466 0.6013986  0.58041958
 0.53146853 0.58041958 0.51748252 0.6013986 ]";81.42$\pm$4.03;"[0.84848485 0.81818182 0.80885781 0.84848485 0.77622378 0.84848485
 0.85314685 0.75757576 0.73892774 0.84382284]";58.9$\pm$3.95;"[0.61538462 0.58508159 0.61538462 0.66200466 0.6013986  0.58041958
 0.53146853 0.58041958 0.51748252 0.6013986 ]";83.47$\pm$2.52;"[0.88578089 0.82051282 0.81818182 0.82983683 0.80652681 0.85780886
 0.86247086 0.82750583 0.8018648  0.83682984]";85.15$\pm$1.45;"[0.87412587 0.84382284 0.85780886 0.83916084 0.85314685 0.84615385
 0.87412587 0.82750583 0.83916084 0.86013986]";82.7$\pm$2.78;"[0.85314685 0.82983683 0.83449883 0.85314685 0.82750583 0.85780886
 0.82051282 0.76223776 0.79487179 0.83682984]";86.36$\pm$1.6;"[0.86713287 0.88578089 0.85547786 0.88811189 0.84149184 0.86013986
 0.84615385 0.85081585 0.85780886 0.88344988]";87.55$\pm$2.34;"[0.91375291 0.87645688 0.8951049  0.88111888 0.84615385 0.87412587
 0.87179487 0.83682984 0.85547786 0.9044289 ]";83.12$\pm$1.59;"[0.86480186 0.82284382 0.83449883 0.83216783 0.83449883 0.81585082
 0.80885781 0.85081585 0.82983683 0.81818182]";84.36$\pm$2.95;"[0.86247086 0.85081585 0.86247086 0.87645688 0.79020979 0.87179487
 0.85314685 0.8041958  0.80652681 0.85780886]";83.94$\pm$3.32;"[0.86480186 0.85314685 0.87412587 0.82284382 0.8041958  0.86013986
 0.86480186 0.76223776 0.82983683 0.85780886]";83.26$\pm$3.06;"[0.86946387 0.82750583 0.81351981 0.85780886 0.77855478 0.87878788
 0.84149184 0.7972028  0.81351981 0.84848485]";87.3$\pm$2.32;"[0.86013986 0.89044289 0.86247086 0.89277389 0.84382284 0.88344988
 0.91375291 0.85780886 0.83682984 0.88811189]";85.97$\pm$2.25;"[0.88578089 0.85081585 0.87179487 0.87412587 0.84149184 0.85547786
 0.87878788 0.80652681 0.87878788 0.85314685]";86.74$\pm$2.41;"[0.88811189 0.86480186 0.86247086 0.8974359  0.85314685 0.8974359
 0.86247086 0.85314685 0.81351981 0.88111888]";84.99$\pm$2.86;"[0.87412587 0.83216783 0.83916084 0.86946387 0.82051282 0.88344988
 0.89277389 0.81118881 0.81351981 0.86247086]";83.1$\pm$3.32;"[0.87645688 0.85081585 0.79254079 0.87645688 0.80652681 0.85081585
 0.82051282 0.79254079 0.78787879 0.85547786]";77.53$\pm$3.13;"[0.76923077 0.7972028  0.82517483 0.81118881 0.74592075 0.76456876
 0.79254079 0.75058275 0.71561772 0.78088578]";87.34$\pm$2.25;"[0.87878788 0.88344988 0.8997669  0.8974359  0.82750583 0.87878788
 0.87179487 0.85547786 0.84615385 0.8951049 ]";82.49$\pm$1.65;"[0.83216783 0.80885781 0.85081585 0.80885781 0.81351981 0.80652681
 0.83449883 0.81351981 0.82750583 0.85314685]";86.64$\pm$3.18;"[0.88344988 0.84615385 0.88811189 0.8997669  0.84848485 0.8951049
 0.88111888 0.81818182 0.80885781 0.8951049 ]";86.9$\pm$2.27;"[0.89044289 0.86946387 0.88578089 0.89044289 0.87645688 0.88344988
 0.86946387 0.82983683 0.82284382 0.87179487]";82.89$\pm$2.35;"[0.85081585 0.83682984 0.86480186 0.82517483 0.8018648  0.81585082
 0.85547786 0.8018648  0.79487179 0.84149184]";80.72$\pm$3.97;"[0.85780886 0.81585082 0.77156177 0.80885781 0.82517483 0.83449883
 0.77156177 0.72027972 0.81585082 0.85081585]";81.68$\pm$4.49;"[0.87878788 0.85081585 0.77389277 0.84382284 0.79487179 0.88111888
 0.75990676 0.75291375 0.7972028  0.83449883]"
ROCAUC;84.93$\pm$1.11;"[0.8526361  0.85431235 0.86691502 0.85438027 0.84003974 0.85016382
 0.83709126 0.8260898  0.85296755 0.85834804]";86.6$\pm$1.09;"[0.87334887 0.86822757 0.86886478 0.87189811 0.85863317 0.87874441
 0.85999826 0.84278805 0.85740134 0.88051435]";87.61$\pm$1.46;"[0.89792492 0.86619611 0.88764896 0.89820746 0.86929464 0.87933124
 0.86267237 0.84973204 0.87666879 0.87363026]";85.92$\pm$1.48;"[0.86450302 0.85624033 0.87078187 0.85779799 0.8343842  0.88051032
 0.8770015  0.85188332 0.83562358 0.86287933]";87.89$\pm$1.08;"[0.87382159 0.88120602 0.88849857 0.88739466 0.86871598 0.88186871
 0.88901052 0.85798314 0.86787727 0.8929754 ]";88.15$\pm$0.88;"[0.89457784 0.88105897 0.88969131 0.88280872 0.86791351 0.88769894
 0.88264384 0.86919156 0.87076249 0.88856393]";72.7$\pm$2.19;"[0.7364772  0.69723656 0.75288652 0.74857776 0.72874666 0.74526328
 0.73533865 0.71332484 0.68136448 0.7309544 ]";86.81$\pm$1.41;"[0.87452252 0.87425658 0.87121757 0.88559071 0.84185214 0.88308583
 0.87873342 0.84692177 0.85747198 0.86761758]";72.7$\pm$2.19;"[0.7364772  0.69723656 0.75288652 0.74857776 0.72874666 0.74526328
 0.73533865 0.71332484 0.68136448 0.7309544 ]";87.79$\pm$1.14;"[0.89029075 0.86954556 0.87979544 0.87910303 0.85127987 0.89086128
 0.89101475 0.87614644 0.87543536 0.8751062 ]";88.17$\pm$0.97;"[0.89485495 0.87805808 0.89343289 0.88574828 0.88152831 0.89084497
 0.88013855 0.86362002 0.86815981 0.88051979]";87.21$\pm$1.37;"[0.88631338 0.87489924 0.87518245 0.88649812 0.87812734 0.88397151
 0.86382154 0.83907915 0.86100923 0.87159881]";88.85$\pm$0.86;"[0.87869007 0.89770821 0.89105287 0.893665   0.87663157 0.89646872
 0.88735486 0.87384267 0.89154591 0.89817114]";89.61$\pm$0.66;"[0.90290207 0.89653182 0.90112847 0.8990714  0.88702554 0.90151108
 0.89387404 0.88184323 0.89533311 0.90183104]";86.69$\pm$0.5;"[0.87117001 0.86714921 0.86622334 0.86740998 0.86619937 0.86812178
 0.85872928 0.87737185 0.86699159 0.85931203]";87.44$\pm$1.56;"[0.87946164 0.88330283 0.88516001 0.88774241 0.86129717 0.89691427
 0.88186502 0.85161645 0.84725143 0.86894103]";88.11$\pm$1.03;"[0.89027988 0.88780145 0.88982746 0.88772067 0.86720929 0.8867861
 0.88924199 0.85925212 0.87578855 0.87694159]";87.32$\pm$1.1;"[0.87634821 0.86851077 0.87691436 0.88030928 0.8636118  0.88835097
 0.87830316 0.84749363 0.86905092 0.88267107]";89.8$\pm$0.91;"[0.89923441 0.89839444 0.90380258 0.89997338 0.89269747 0.91100353
 0.90585583 0.87673464 0.89027988 0.90214692]";88.47$\pm$0.99;"[0.89083954 0.88745834 0.88687559 0.89043746 0.87218246 0.88955722
 0.89416269 0.85997103 0.8891334  0.88643988]";89.19$\pm$0.86;"[0.89076347 0.89518114 0.90153149 0.8990877  0.87712834 0.90501573
 0.88944622 0.8790493  0.88773697 0.89430974]";88.4$\pm$0.93;"[0.89301297 0.87815611 0.88370586 0.88986693 0.87202415 0.89732179
 0.89176089 0.86787901 0.87661445 0.88926105]";87.33$\pm$1.21;"[0.87603849 0.88099906 0.87859181 0.88876935 0.86019991 0.89028532
 0.86565693 0.85352265 0.85975408 0.87926715]";84.26$\pm$1.62;"[0.8527828  0.84413328 0.86534105 0.85617335 0.82479269 0.84121473
 0.84501013 0.81564113 0.82105074 0.859568  ]";89.6$\pm$0.95;"[0.8937465  0.89592728 0.90904734 0.90659147 0.88218339 0.90779229
 0.88757271 0.88202841 0.894442   0.90063286]";87.08$\pm$1.07;"[0.8769296  0.86974163 0.89179356 0.87517999 0.86595918 0.87958661
 0.86640307 0.84912206 0.86313919 0.87021545]";89.56$\pm$1.36;"[0.9126662  0.89147768 0.9027569  0.91054711 0.88611935 0.91021566
 0.89905344 0.87728471 0.87091463 0.89515391]";88.96$\pm$1.18;"[0.89108405 0.8881609  0.90838289 0.89487669 0.90301502 0.89863672
 0.87811254 0.87531316 0.86912155 0.88900508]";86.19$\pm$1.23;"[0.870844   0.86543908 0.88466985 0.86245728 0.85131808 0.87190354
 0.86578219 0.8427227  0.84463788 0.85911052]";85.09$\pm$2.4;"[0.87231649 0.85634926 0.84088186 0.85196233 0.86232893 0.8778044
 0.82288739 0.79467573 0.86504638 0.86448598]";86.3$\pm$2.43;"[0.89493102 0.87891859 0.85010784 0.87778267 0.85785799 0.89183388
 0.83913905 0.81002876 0.86219918 0.86684966]"
AP;84.91$\pm$0.86;"[0.85059747 0.84888957 0.85853976 0.85064502 0.84701348 0.85805667
 0.84156498 0.82893246 0.84737533 0.85910471]";86.02$\pm$0.98;"[0.85957918 0.86096247 0.85869639 0.86694684 0.86028262 0.8815947
 0.85707925 0.84209199 0.85048831 0.8639577 ]";87.13$\pm$1.59;"[0.8976259  0.86805049 0.88647256 0.88474203 0.86133499 0.87348083
 0.84985327 0.85067646 0.88493047 0.85612109]";84.67$\pm$1.52;"[0.85097863 0.84147231 0.85793302 0.84733659 0.81719383 0.86627909
 0.8698886  0.83409604 0.83331368 0.84834183]";86.13$\pm$1.3;"[0.84660981 0.86905001 0.86551226 0.85561894 0.85652952 0.86806075
 0.8855544  0.84070487 0.85104043 0.87421654]";87.15$\pm$0.76;"[0.87319109 0.87888333 0.87195005 0.8648652  0.8640484  0.88130876
 0.88121661 0.85862805 0.86499408 0.8756836 ]";70.39$\pm$2.03;"[0.71050559 0.69035752 0.71812601 0.72356556 0.71315334 0.72166494
 0.70500955 0.67963148 0.65828259 0.71903891]";84.93$\pm$1.35;"[0.85079645 0.85127507 0.85478587 0.86726113 0.83029181 0.86190583
 0.86276235 0.82260136 0.84197741 0.84973542]";70.39$\pm$2.03;"[0.71050559 0.69035752 0.71812601 0.72356556 0.71315334 0.72166494
 0.70500955 0.67963148 0.65828259 0.71903891]";86.22$\pm$1.67;"[0.87849007 0.853496   0.85617018 0.86001933 0.82440265 0.878196
 0.88884616 0.86254006 0.86186678 0.85829375]";87.72$\pm$0.83;"[0.88061664 0.86789018 0.88719773 0.880464   0.88434092 0.89070756
 0.87473755 0.86480742 0.87016304 0.87110489]";86.79$\pm$1.3;"[0.88102553 0.86815702 0.86482344 0.87626637 0.87267227 0.87934274
 0.86598728 0.83234269 0.86676947 0.87193602]";87.32$\pm$1.13;"[0.85131401 0.8859434  0.87277433 0.86892608 0.86480405 0.88352551
 0.88227984 0.85895542 0.87913316 0.88414426]";87.98$\pm$0.59;"[0.88503643 0.87918336 0.87789634 0.87898713 0.87885631 0.88749033
 0.87231518 0.86970912 0.88989908 0.87849819]";86.45$\pm$0.42;"[0.86770185 0.86467718 0.86295849 0.86938373 0.85677329 0.86235185
 0.86540748 0.87172282 0.86450999 0.85976804]";85.68$\pm$1.92;"[0.86429649 0.87416663 0.86458634 0.86488219 0.8563051  0.8807412
 0.87096142 0.83802194 0.81495603 0.83902793]";86.69$\pm$1.08;"[0.87387196 0.86623123 0.86708323 0.87882477 0.86452632 0.87158607
 0.87738899 0.83996572 0.87211082 0.85747655]";85.76$\pm$1.29;"[0.85162939 0.86014693 0.85473939 0.85816099 0.84714157 0.87212291
 0.87542806 0.83067432 0.85312568 0.87283452]";88.72$\pm$0.77;"[0.89128052 0.88208203 0.8846742  0.88265915 0.8863118  0.89356066
 0.90030196 0.87502768 0.87877563 0.89694638]";86.82$\pm$0.98;"[0.86678716 0.87219207 0.86338746 0.86735029 0.85504334 0.86918323
 0.89062097 0.85409695 0.87472937 0.86822161]";87.79$\pm$1.03;"[0.86913946 0.88286726 0.89045086 0.88442641 0.86027553 0.894835
 0.87880802 0.86989474 0.88025527 0.86835455]";87.49$\pm$0.86;"[0.87770342 0.87377274 0.87745287 0.87586362 0.86734916 0.88785055
 0.88967145 0.86106731 0.87195468 0.86581918]";85.47$\pm$1.14;"[0.85268759 0.85739548 0.85868688 0.86036958 0.83924521 0.87942207
 0.85878668 0.83606548 0.85006854 0.85433917]";83.28$\pm$1.7;"[0.83471944 0.83938334 0.84838069 0.84742745 0.8220927  0.82924432
 0.83964134 0.79796273 0.81211572 0.856925  ]";88.35$\pm$1.02;"[0.87972176 0.88297762 0.89319017 0.88656072 0.86900577 0.90165484
 0.87477649 0.86812592 0.89024109 0.88873902]";86.47$\pm$1.27;"[0.87690684 0.86303686 0.8910594  0.86911915 0.85378783 0.87246357
 0.86405447 0.84687281 0.86070482 0.84912099]";88.98$\pm$1.13;"[0.89932564 0.89195932 0.89823566 0.90096914 0.88568974 0.90548731
 0.88976944 0.86736504 0.87831202 0.88040061]";88.06$\pm$1.1;"[0.8806823  0.87961199 0.90091373 0.88308521 0.89256755 0.89167427
 0.87186186 0.8677517  0.86615214 0.87180921]";85.5$\pm$1.15;"[0.85733044 0.8572706  0.87131683 0.84568433 0.85101914 0.86865602
 0.86863748 0.83312601 0.85128227 0.84576902]";84.67$\pm$1.92;"[0.86264822 0.84847456 0.84480563 0.84387735 0.85060294 0.87149623
 0.83670856 0.79672044 0.85992486 0.85138082]";85.86$\pm$1.61;"[0.88432149 0.86449975 0.86159758 0.86266217 0.8443352  0.87909334
 0.85672879 0.82419586 0.85647196 0.85229731]"
