metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;louvain_prob_pred_mean;louvain_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;32.12$\pm$3.76;"[0.28216637 0.30011969 0.36475165 0.31807301 0.30789946 0.28366248
 0.33093956 0.29054458 0.32465589 0.40873728]";33.49$\pm$2.56;"[0.3219629  0.3043088  0.32166367 0.37761819 0.31268701 0.331538
 0.334231   0.35397965 0.31149013 0.37971275]";24.33$\pm$4.56;"[0.18461999 0.28366248 0.26181927 0.2716936  0.18551765 0.17205266
 0.25613405 0.26750449 0.23399162 0.31597846]";33.17$\pm$3.88;"[0.30939557 0.31538001 0.30879713 0.38689408 0.31059246 0.28067026
 0.29712747 0.34171155 0.35936565 0.40664273]";32.35$\pm$4.84;"[0.33931777 0.27528426 0.35607421 0.39257929 0.30041891 0.27318971
 0.33572711 0.34111311 0.23578695 0.38509874]";1.77$\pm$0.53;"[0.01705566 0.01436266 0.02842609 0.0122681  0.01406344 0.01436266
 0.02274087 0.02184321 0.02064632 0.01077199]";29.07$\pm$3.39;"[0.29383603 0.29982047 0.25972472 0.331538   0.23847995 0.27289048
 0.27737882 0.28366248 0.28485937 0.36475165]";1.75$\pm$0.81;"[0.02274087 0.0095751  0.03351287 0.01585877 0.00748055 0.02244165
 0.02603232 0.01107121 0.0095751  0.01675643]";29.35$\pm$2.31;"[0.30101735 0.30999402 0.31807301 0.32495512 0.29473369 0.25912627
 0.26840215 0.2812687  0.26241771 0.31508079]";1.75$\pm$0.81;"[0.02274087 0.0095751  0.03351287 0.01585877 0.00748055 0.02244165
 0.02603232 0.01107121 0.0095751  0.01675643]";30.81$\pm$3.46;"[0.31298624 0.28904847 0.34799521 0.34769599 0.24625972 0.29712747
 0.29503291 0.27618193 0.30371035 0.36535009]";28.82$\pm$3.02;"[0.27558348 0.3111909  0.27618193 0.32794734 0.23399162 0.2567325
 0.27977259 0.2866547  0.29413525 0.33991622]"
Hits@50;47.92$\pm$2.02;"[0.46828247 0.45661281 0.49281867 0.49910233 0.45002992 0.46708558
 0.46140036 0.4877319  0.49521245 0.51406344]";48.95$\pm$2.73;"[0.47785757 0.48892879 0.50329144 0.54817475 0.45751047 0.47097546
 0.46379414 0.50448833 0.46319569 0.51645721]";41.48$\pm$2.74;"[0.37522442 0.4225015  0.40843806 0.43506882 0.38809096 0.37821664
 0.40125673 0.43536804 0.44554159 0.45780969]";49.42$\pm$2.8;"[0.4727708  0.44643926 0.50807899 0.52393776 0.4593058  0.49551167
 0.4727708  0.51406344 0.51585877 0.53291442]";47.75$\pm$3.5;"[0.46918013 0.47666068 0.48713345 0.53770197 0.41472172 0.48354279
 0.42998205 0.46828247 0.48444045 0.52333932]";4.3$\pm$0.61;"[0.03321364 0.03919808 0.04697786 0.04398564 0.03919808 0.04548175
 0.05655296 0.04248953 0.04578097 0.03710353]";43.37$\pm$3.21;"[0.42848594 0.42040694 0.43985637 0.4497307  0.38420108 0.40903651
 0.40185518 0.4470377  0.45002992 0.50658288]";4.65$\pm$1.09;"[0.05954518 0.04428486 0.05715141 0.04248953 0.03889886 0.04877319
 0.0625374  0.02752843 0.03291442 0.05056852]";44.97$\pm$2.46;"[0.44524237 0.43836026 0.43955715 0.49281867 0.4225015  0.44883303
 0.40963495 0.45421903 0.45691203 0.48862956]";4.65$\pm$1.09;"[0.05954518 0.04428486 0.05715141 0.04248953 0.03889886 0.04877319
 0.0625374  0.02752843 0.03291442 0.05056852]";45.72$\pm$3.05;"[0.4470377  0.43177738 0.46947935 0.4904249  0.39437463 0.45601436
 0.43147816 0.47636146 0.47187313 0.50329144]";44.63$\pm$3.25;"[0.46918013 0.43656493 0.42818671 0.47815679 0.39886296 0.43058049
 0.3994614  0.45332136 0.46169958 0.50658288]"
Hits@100;61.75$\pm$2.07;"[0.62417714 0.62716936 0.61849192 0.64631957 0.59395572 0.59395572
 0.5882705  0.60113704 0.64213046 0.63973668]";62.45$\pm$2.06;"[0.61220826 0.62507481 0.64123279 0.65529623 0.62178336 0.6181927
 0.58318372 0.63554758 0.60412926 0.6481149 ]";56.37$\pm$2.73;"[0.51436266 0.55685218 0.59305805 0.59305805 0.5299222  0.5475763
 0.55056852 0.58707361 0.56822262 0.59664871]";63.52$\pm$2.34;"[0.62716936 0.60383004 0.64482346 0.67833633 0.62028725 0.61101137
 0.61071215 0.65769001 0.64003591 0.65798923]";62.05$\pm$2.52;"[0.58886894 0.61998803 0.65380012 0.65888689 0.60293238 0.63435069
 0.60442849 0.57839617 0.62986236 0.6331538 ]";8.63$\pm$1.13;"[0.07301017 0.0733094  0.09275883 0.09395572 0.07690006 0.09874327
 0.10742071 0.07630162 0.08138839 0.08886894]";57.92$\pm$2.33;"[0.56552962 0.59485338 0.58886894 0.60023938 0.5406942  0.57660084
 0.54937163 0.5652304  0.58886894 0.62178336]";8.44$\pm$1.79;"[0.09844405 0.07510473 0.09904249 0.07540395 0.07630162 0.08527828
 0.12327947 0.06163974 0.06134051 0.08797127]";58.99$\pm$2.05;"[0.58527828 0.58886894 0.59605027 0.62238181 0.55326152 0.57570317
 0.56313585 0.59545183 0.61160981 0.60771993]";8.44$\pm$1.79;"[0.09844405 0.07510473 0.09904249 0.07540395 0.07630162 0.08527828
 0.12327947 0.06163974 0.06134051 0.08797127]";60.71$\pm$2.61;"[0.58078995 0.61759425 0.60891682 0.63614602 0.56582885 0.59156194
 0.57510473 0.61669659 0.63554758 0.6427289 ]";59.22$\pm$2.25;"[0.57869539 0.59994016 0.60532615 0.60113704 0.55774985 0.5733094
 0.56044285 0.60293238 0.61101137 0.63165769]"
ROCAUC;93.39$\pm$0.19;"[0.93237627 0.93174524 0.93611417 0.93611247 0.93364193 0.93078586
 0.93306134 0.93515823 0.93657255 0.9338653 ]";93.84$\pm$0.2;"[0.93642962 0.9371597  0.9402219  0.94246961 0.9391202  0.93577264
 0.93638679 0.93982887 0.93936227 0.93758883]";91.09$\pm$0.34;"[0.90868435 0.9089309  0.91174296 0.91696965 0.91266815 0.90411486
 0.90832178 0.91307923 0.91064655 0.91412633]";93.66$\pm$0.26;"[0.93360561 0.93355436 0.93982946 0.94155483 0.93512482 0.93399162
 0.93598416 0.93874191 0.93682274 0.93660843]";93.62$\pm$0.31;"[0.93360059 0.93546456 0.93704225 0.94424147 0.93564422 0.93254378
 0.93612399 0.93401178 0.93567058 0.93808398]";76.59$\pm$1.15;"[0.75234689 0.7612638  0.76943611 0.77021971 0.75841485 0.75630919
 0.79549139 0.76006631 0.76332121 0.77165588]";92.66$\pm$0.26;"[0.92593143 0.92882169 0.92795891 0.93130466 0.92464322 0.92307455
 0.92351024 0.9246795  0.92708171 0.92915583]";76.59$\pm$1.17;"[0.75788205 0.75709188 0.76661597 0.77336365 0.75939734 0.7514233
 0.79404669 0.75985874 0.76386076 0.77503189]";93.48$\pm$0.26;"[0.93365715 0.93191799 0.93561684 0.93946736 0.93708796 0.93055205
 0.93351735 0.9336601  0.93804432 0.93432121]";76.59$\pm$1.17;"[0.75788205 0.75709188 0.76661597 0.77336365 0.75939734 0.7514233
 0.79404669 0.75985874 0.76386076 0.77503189]";93.28$\pm$0.32;"[0.92954536 0.93055869 0.93150552 0.9396844  0.9308347  0.9289376
 0.93117777 0.93408358 0.93504726 0.93626992]";93.62$\pm$0.27;"[0.93448396 0.93423795 0.93646364 0.94120982 0.93767063 0.93264064
 0.93254755 0.93652614 0.94001974 0.9365359 ]"
AP;93.74$\pm$0.31;"[0.9350632  0.93534863 0.94037899 0.94088165 0.93342415 0.93318337
 0.93609829 0.93712265 0.94050348 0.94179637]";94.15$\pm$0.27;"[0.93865732 0.94080033 0.9436365  0.94671779 0.94017276 0.93778532
 0.93844126 0.94362249 0.94166729 0.94358356]";91.6$\pm$0.48;"[0.91166141 0.91637514 0.9164853  0.92218182 0.91298463 0.9068675
 0.91403518 0.91897314 0.91567242 0.92435202]";94.06$\pm$0.35;"[0.93657295 0.93790589 0.94299819 0.94735707 0.9377332  0.93734471
 0.93798624 0.94384878 0.9403559  0.94426515]";93.77$\pm$0.41;"[0.9352256  0.93715949 0.9401107  0.94689553 0.93363745 0.93439953
 0.93745528 0.93392464 0.93570017 0.94251933]";70.95$\pm$1.51;"[0.6933607  0.69626506 0.7201193  0.71566196 0.69891302 0.70469154
 0.74803931 0.70544937 0.70234405 0.70991422]";92.88$\pm$0.44;"[0.92692716 0.93214426 0.92903388 0.93530124 0.92353332 0.92674908
 0.92267055 0.92623046 0.92905827 0.9363949 ]";71.01$\pm$1.64;"[0.71048121 0.69530793 0.72252486 0.71588153 0.6960884  0.70168378
 0.74966146 0.69671985 0.6955474  0.71751417]";93.47$\pm$0.28;"[0.934017   0.93398409 0.93685852 0.94065945 0.93365366 0.92980993
 0.93199549 0.93474468 0.9351383  0.93639477]";71.01$\pm$1.64;"[0.71048121 0.69530793 0.72252486 0.71588153 0.6960884  0.70168378
 0.74966146 0.69671985 0.6955474  0.71751417]";93.54$\pm$0.39;"[0.93302591 0.9334054  0.93601653 0.94167243 0.93051776 0.93182766
 0.93240101 0.93450746 0.9382414  0.94212519]";93.57$\pm$0.38;"[0.93495    0.93468775 0.93665881 0.94170403 0.9313482  0.93185054
 0.92974082 0.93594219 0.93852677 0.94113725]"
pretrain_time;1.41$\pm$0.13;"[1.37599325 1.34467387 1.34818459 1.36365199 1.36697006 1.40592694
 1.78932834 1.35752869 1.34622335 1.41010213]";27.05$\pm$0.35;"[26.5584352  27.36532664 27.04000664 26.8228054  27.890944   26.73604774
 26.8481307  27.0582478  27.10726476 27.04908562]";1.08$\pm$0.09;"[1.05920815 1.05502868 1.05285668 1.36312604 1.04644227 1.05516624
 1.06157565 1.05602789 1.03991008 1.04178834]";38.95$\pm$0.56;"[39.36363125 40.00439167 38.58379984 38.7802546  38.92424679 39.65127158
 38.46565843 38.17287469 39.15907884 38.3650949 ]";5.75$\pm$0.13;"[5.53607798 5.80647349 5.75150824 5.75549269 5.61551499 5.68679428
 5.7566874  5.73635077 5.7787447  6.06368709]";nan$\pm$nan;[];7.75$\pm$0.28;"[7.62618709 7.62155771 7.48409104 7.55945325 7.82530546 7.69031477
 8.51667905 7.68344808 7.6312778  7.81214356]";nan$\pm$nan;[];2.57$\pm$0.18;"[2.46498179 2.43946719 2.84017587 2.46729898 2.60086083 2.43722415
 2.97079802 2.56728697 2.44690633 2.44561815]";nan$\pm$nan;[];9.61$\pm$0.31;"[ 9.56210184  9.43791819  9.40633678  9.55825925  9.42792797  9.35911942
  9.70384908  9.4304471   9.7464869  10.46795964]";2.48$\pm$0.11;"[2.42643118 2.72403908 2.44445133 2.44775558 2.43910837 2.43795896
 2.4107523  2.40094876 2.69371796 2.41479754]"
