metrics;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;infomap_prob_pred_mean;infomap_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;30.86$\pm$1.63;"[0.31411229 0.284522   0.33915023 0.30576631 0.30349014 0.31335357
 0.31866464 0.32245827 0.30273141 0.2814871 ]";29.89$\pm$1.94;"[0.30804249 0.2723824  0.32245827 0.29893778 0.28224583 0.28603945
 0.32701062 0.32094082 0.29893778 0.2723824 ]";30.86$\pm$1.63;"[0.31411229 0.284522   0.33915023 0.30576631 0.30349014 0.31335357
 0.31866464 0.32245827 0.30273141 0.2814871 ]";29.48$\pm$2.76;"[0.32776935 0.2754173  0.32397572 0.29514416 0.25569044 0.27010622
 0.3292868  0.31638847 0.29817906 0.25644917]";22.09$\pm$2.78;"[0.24051593 0.20182094 0.26403642 0.22989378 0.20789074 0.22837633
 0.21016692 0.26176024 0.18133536 0.18285281]";25.36$\pm$2.29;"[0.24203338 0.23368741 0.28679818 0.26403642 0.22382398 0.25796662
 0.26479514 0.27086495 0.27769347 0.21396055]";30.9$\pm$1.53;"[0.31790592 0.29817906 0.33383915 0.31107739 0.28072838 0.31638847
 0.29817906 0.3292868  0.30652504 0.29742033]";28.12$\pm$3.34;"[0.32549317 0.25948407 0.32018209 0.27465857 0.23368741 0.28376328
 0.31335357 0.31335357 0.23748103 0.25037936]";30.86$\pm$1.63;"[0.31411229 0.284522   0.33915023 0.30576631 0.30349014 0.31335357
 0.31866464 0.32245827 0.30273141 0.2814871 ]";26.47$\pm$1.02;"[0.27921093 0.25720789 0.26783005 0.26631259 0.25417299 0.26631259
 0.2754173  0.27162367 0.26631259 0.24279211]";30.68$\pm$1.98;"[0.31411229 0.31411229 0.35128983 0.29438543 0.30349014 0.29590288
 0.30500759 0.32245827 0.29514416 0.2723824 ]";31.71$\pm$1.52;"[0.32169954 0.29817906 0.32852807 0.31942337 0.31031866 0.33763278
 0.32852807 0.33383915 0.30197269 0.29059181]";29.86$\pm$1.42;"[0.31866464 0.30121396 0.30728376 0.29210926 0.27921093 0.30500759
 0.31183612 0.31031866 0.27314112 0.2875569 ]";29.76$\pm$1.42;"[0.29210926 0.2814871  0.30349014 0.29969651 0.30273141 0.30576631
 0.31638847 0.31638847 0.28831563 0.2693475 ]";31.4$\pm$2.44;"[0.33004552 0.2875569  0.33915023 0.33383915 0.28907436 0.30804249
 0.33004552 0.33308042 0.32549317 0.26327769]";30.01$\pm$1.15;"[0.30576631 0.28983308 0.31031866 0.29893778 0.29893778 0.27314112
 0.30728376 0.31714719 0.30121396 0.29817906]";27.15$\pm$3.01;"[0.27693475 0.29514416 0.30880121 0.29893778 0.26403642 0.22306525
 0.23520486 0.30576631 0.27314112 0.23368741]";30.2$\pm$1.88;"[0.32169954 0.2875569  0.33156297 0.28983308 0.29362671 0.29742033
 0.30880121 0.31942337 0.30652504 0.26403642]";29.1$\pm$2.82;"[0.30273141 0.2723824  0.32169954 0.30576631 0.27921093 0.31942337
 0.28603945 0.31335357 0.2875569  0.2215478 ]";29.86$\pm$2.42;"[0.30576631 0.29059181 0.33915023 0.29362671 0.30197269 0.28376328
 0.31790592 0.31107739 0.30121396 0.24127466]";29.43$\pm$2.63;"[0.31942337 0.29059181 0.33687405 0.27162367 0.24127466 0.284522
 0.30728376 0.32094082 0.28528073 0.28528073]";27.41$\pm$1.92;"[0.29969651 0.27086495 0.30955994 0.2814871  0.26024279 0.24203338
 0.28528073 0.27010622 0.26024279 0.26176024]";30.4$\pm$1.84;"[0.31942337 0.29059181 0.323217   0.29286798 0.28907436 0.29210926
 0.32473445 0.3353566  0.29210926 0.28072838]";32.04$\pm$4.32;"[0.34218513 0.26251897 0.21396055 0.34977238 0.34597876 0.33459788
 0.33308042 0.35053111 0.34749621 0.32397572]";27.26$\pm$4.05;"[0.2814871  0.24051593 0.17830046 0.29514416 0.32776935 0.27693475
 0.24279211 0.30955994 0.27693475 0.29666161]";29.42$\pm$1.45;"[0.2875569  0.2875569  0.30880121 0.29438543 0.28831563 0.29742033
 0.31259484 0.31790592 0.27162367 0.2754173 ]";30.36$\pm$1.91;"[0.32169954 0.29059181 0.31335357 0.30500759 0.28376328 0.28376328
 0.31638847 0.34066768 0.30424886 0.27693475]"
Hits@50;33.47$\pm$1.33;"[0.33459788 0.31411229 0.36342944 0.33687405 0.32549317 0.34218513
 0.34446131 0.33611533 0.33156297 0.31866464]";34.36$\pm$1.49;"[0.35887709 0.31790592 0.36039454 0.35432473 0.3353566  0.33611533
 0.35963581 0.35128983 0.33990895 0.32169954]";33.47$\pm$1.33;"[0.33459788 0.31411229 0.36342944 0.33687405 0.32549317 0.34218513
 0.34446131 0.33611533 0.33156297 0.31866464]";35.1$\pm$1.08;"[0.36570561 0.33763278 0.36570561 0.36115326 0.33990895 0.35584219
 0.35204856 0.35356601 0.34218513 0.33611533]";28.37$\pm$2.38;"[0.29590288 0.28072838 0.3262519  0.26858877 0.26783005 0.26631259
 0.284522   0.32169954 0.27921093 0.24582701]";31.75$\pm$1.49;"[0.31031866 0.29969651 0.3383915  0.32852807 0.30349014 0.31790592
 0.34218513 0.31562974 0.32245827 0.29590288]";34.69$\pm$1.35;"[0.34370258 0.3323217  0.36342944 0.34370258 0.33080425 0.37405159
 0.35356601 0.35280728 0.34218513 0.3323217 ]";33.68$\pm$1.31;"[0.35432473 0.32549317 0.34066768 0.34218513 0.31411229 0.34522003
 0.35128983 0.34066768 0.33763278 0.31638847]";33.47$\pm$1.33;"[0.33459788 0.31411229 0.36342944 0.33687405 0.32549317 0.34218513
 0.34446131 0.33611533 0.33156297 0.31866464]";28.43$\pm$1.11;"[0.29817906 0.27314112 0.28983308 0.2814871  0.28907436 0.284522
 0.29817906 0.28376328 0.28603945 0.25872534]";35.86$\pm$1.38;"[0.36722307 0.34597876 0.37708649 0.35508346 0.33611533 0.37405159
 0.36798179 0.37025797 0.35128983 0.3414264 ]";35.11$\pm$1.4;"[0.34977238 0.32852807 0.36191199 0.35660091 0.34066768 0.37329287
 0.35432473 0.36267071 0.35584219 0.32776935]";33.61$\pm$1.11;"[0.34218513 0.32776935 0.34370258 0.3292868  0.33080425 0.35811836
 0.34673748 0.33383915 0.33156297 0.31714719]";32.39$\pm$1.23;"[0.31866464 0.31714719 0.32397572 0.33915023 0.323217   0.3292868
 0.34066768 0.33383915 0.31638847 0.29666161]";36.79$\pm$1.46;"[0.37253414 0.34901366 0.38770865 0.35735964 0.36949924 0.38391502
 0.37329287 0.37101669 0.37632777 0.3383915 ]";34.05$\pm$0.76;"[0.34977238 0.3262519  0.34597876 0.34446131 0.33763278 0.34825493
 0.3414264  0.34673748 0.3323217  0.3323217 ]";32.09$\pm$1.12;"[0.32549317 0.32018209 0.34294385 0.32701062 0.30955994 0.32473445
 0.31487102 0.33004552 0.31183612 0.30197269]";35.67$\pm$1.31;"[0.35584219 0.33611533 0.37481032 0.35204856 0.35204856 0.36115326
 0.37632777 0.36874052 0.35128983 0.3383915 ]";33.93$\pm$1.63;"[0.34294385 0.31790592 0.35735964 0.34673748 0.32701062 0.35811836
 0.34294385 0.35735964 0.33383915 0.30880121]";34.58$\pm$1.6;"[0.32776935 0.32549317 0.37329287 0.34522003 0.33156297 0.34901366
 0.35660091 0.35735964 0.36342944 0.32852807]";36.22$\pm$1.31;"[0.36722307 0.34673748 0.38467375 0.35584219 0.34294385 0.37481032
 0.37025797 0.37329287 0.35735964 0.34901366]";32.68$\pm$1.14;"[0.33383915 0.31638847 0.33763278 0.33004552 0.32094082 0.32245827
 0.34977238 0.33080425 0.31638847 0.30955994]";33.92$\pm$1.43;"[0.34673748 0.32701062 0.35280728 0.33990895 0.32701062 0.34294385
 0.35053111 0.36267071 0.33080425 0.31183612]";42.11$\pm$4.57;"[0.4430956  0.35811836 0.31866464 0.40819423 0.4430956  0.42412747
 0.45295903 0.47951442 0.44461305 0.43854325]";36.08$\pm$4.22;"[0.37860395 0.30576631 0.27010622 0.37481032 0.41350531 0.37936267
 0.3353566  0.40515933 0.37329287 0.37177542]";33.7$\pm$1.26;"[0.33459788 0.323217   0.35280728 0.34066768 0.32701062 0.33990895
 0.35508346 0.35204856 0.31790592 0.32701062]";36.05$\pm$0.86;"[0.36191199 0.34294385 0.36418816 0.35963581 0.35508346 0.36722307
 0.37101669 0.37253414 0.35963581 0.35128983]"
Hits@100;36.27$\pm$1.24;"[0.36115326 0.34066768 0.38846737 0.36494689 0.36191199 0.36646434
 0.37556904 0.35887709 0.36039454 0.34901366]";39.08$\pm$1.83;"[0.40515933 0.35584219 0.40364188 0.42109256 0.38163885 0.3831563
 0.40440061 0.3983308  0.38391502 0.37101669]";36.27$\pm$1.24;"[0.36115326 0.34066768 0.38846737 0.36494689 0.36191199 0.36646434
 0.37556904 0.35887709 0.36039454 0.34901366]";40.95$\pm$1.43;"[0.42261002 0.3861912  0.40743551 0.43247344 0.41274659 0.42336874
 0.40288316 0.41047041 0.41047041 0.3861912 ]";33.65$\pm$1.73;"[0.35053111 0.31411229 0.36570561 0.33459788 0.33459788 0.33308042
 0.34977238 0.35356601 0.31335357 0.31562974]";36.67$\pm$1.14;"[0.37784522 0.35735964 0.38846737 0.3801214  0.35811836 0.36874052
 0.36418816 0.36494689 0.35508346 0.35204856]";38.09$\pm$1.57;"[0.3831563  0.35963581 0.39301973 0.3801214  0.37708649 0.41198786
 0.39150228 0.38239757 0.37632777 0.35356601]";36.46$\pm$1.48;"[0.37177542 0.35508346 0.37101669 0.36570561 0.34446131 0.37784522
 0.37708649 0.36949924 0.3801214  0.33308042]";36.27$\pm$1.24;"[0.36115326 0.34066768 0.38846737 0.36494689 0.36191199 0.36646434
 0.37556904 0.35887709 0.36039454 0.34901366]";30.75$\pm$1.36;"[0.32018209 0.29286798 0.31183612 0.30273141 0.32094082 0.31259484
 0.32094082 0.30880121 0.30880121 0.2754173 ]";41.21$\pm$1.88;"[0.40288316 0.37405159 0.41198786 0.44081942 0.40060698 0.43626707
 0.40819423 0.43095599 0.41350531 0.40212443]";39.29$\pm$1.32;"[0.38694992 0.37329287 0.40895296 0.39984825 0.3801214  0.40971168
 0.38543247 0.392261   0.41198786 0.3801214 ]";37.0$\pm$1.47;"[0.38163885 0.36342944 0.36798179 0.35963581 0.36267071 0.38239757
 0.39908953 0.37481032 0.36570561 0.34218513]";34.97$\pm$1.24;"[0.34901366 0.33763278 0.35356601 0.36798179 0.34522003 0.36115326
 0.36267071 0.35660091 0.33459788 0.32852807]";40.11$\pm$1.64;"[0.39984825 0.37860395 0.43095599 0.39453718 0.39605463 0.41426404
 0.40971168 0.41122914 0.40364188 0.37177542]";38.36$\pm$0.99;"[0.39453718 0.36039454 0.38163885 0.39453718 0.37708649 0.39453718
 0.37936267 0.3831563  0.38846737 0.38239757]";34.91$\pm$1.43;"[0.34901366 0.35053111 0.37481032 0.34597876 0.33990895 0.36646434
 0.35811836 0.35053111 0.3292868  0.3262519 ]";39.41$\pm$1.27;"[0.39377845 0.3801214  0.40364188 0.392261   0.3952959  0.41198786
 0.40667678 0.39908953 0.392261   0.36570561]";39.2$\pm$1.73;"[0.40060698 0.36798179 0.41729894 0.40971168 0.36949924 0.3983308
 0.40060698 0.40515933 0.37860395 0.37177542]";38.95$\pm$1.91;"[0.37253414 0.35963581 0.42033384 0.37708649 0.37177542 0.39984825
 0.39681335 0.40136571 0.41502276 0.3801214 ]";40.27$\pm$1.23;"[0.40440061 0.38770865 0.41729894 0.39074355 0.40591806 0.41729894
 0.41122914 0.41426404 0.39757208 0.38088012]";36.15$\pm$1.04;"[0.37177542 0.35280728 0.37025797 0.35811836 0.36115326 0.35811836
 0.38163885 0.35811836 0.36039454 0.34218513]";37.03$\pm$1.1;"[0.36874052 0.36874052 0.37632777 0.37177542 0.35735964 0.37481032
 0.37936267 0.392261   0.36115326 0.35204856]";50.33$\pm$4.42;"[0.51062215 0.43171472 0.41047041 0.49848255 0.53717754 0.50986343
 0.53717754 0.55235205 0.51213961 0.53338392]";44.76$\pm$3.42;"[0.45675266 0.40440061 0.37253414 0.45978756 0.48179059 0.45068285
 0.44385432 0.4939302  0.4400607  0.47192716]";37.1$\pm$1.26;"[0.37101669 0.35204856 0.38770865 0.37632777 0.36722307 0.36722307
 0.38770865 0.3861912  0.35584219 0.35887709]";40.07$\pm$1.35;"[0.37936267 0.37936267 0.40060698 0.39984825 0.40895296 0.41122914
 0.41047041 0.42488619 0.39908953 0.39301973]"
ROCAUC;66.07$\pm$0.72;"[0.64759223 0.64910622 0.66741177 0.66546948 0.65890863 0.66382423
 0.65914868 0.67038738 0.66632446 0.65928857]";71.03$\pm$1.51;"[0.70526917 0.70322383 0.71521031 0.73282448 0.67801147 0.71514699
 0.73161962 0.71546303 0.69984261 0.70612058]";66.07$\pm$0.72;"[0.64759223 0.64910622 0.66741177 0.66546948 0.65890863 0.66382423
 0.65914868 0.67038738 0.66632446 0.65928857]";72.85$\pm$2.72;"[0.7466859  0.6811592  0.69678532 0.78069384 0.71579634 0.73153097
 0.72190126 0.752777   0.74068214 0.71733279]";67.07$\pm$1.22;"[0.66967643 0.65368793 0.67996297 0.68222447 0.66451675 0.66286028
 0.66940443 0.69824434 0.66271692 0.66376551]";66.76$\pm$1.32;"[0.67982424 0.65548228 0.68581258 0.67315344 0.66883107 0.64848364
 0.65379961 0.67931478 0.67967014 0.65161727]";64.85$\pm$0.94;"[0.63037469 0.65178306 0.6430652  0.65450423 0.65179486 0.66909271
 0.64465231 0.64344169 0.64702104 0.64920639]";64.19$\pm$1.62;"[0.63686933 0.63595748 0.6357347  0.6502777  0.64673909 0.6477442
 0.63452292 0.67077365 0.65486581 0.60504892]";66.07$\pm$0.72;"[0.64759223 0.64910622 0.66741177 0.66546948 0.65890863 0.66382423
 0.65914868 0.67038738 0.66632446 0.65928857]";60.37$\pm$1.33;"[0.61113542 0.62021911 0.60553478 0.5987975  0.60305942 0.62256177
 0.60762674 0.60107453 0.59340906 0.57318274]";75.25$\pm$2.57;"[0.75472448 0.70001681 0.71225658 0.77099908 0.74084176 0.76527496
 0.77779767 0.77921236 0.76819817 0.75547802]";73.56$\pm$0.83;"[0.73785061 0.72381649 0.74636526 0.73798359 0.73332934 0.74203338
 0.72240381 0.74401885 0.74179545 0.72595652]";66.81$\pm$0.94;"[0.67385    0.6710396  0.65816545 0.67201651 0.6588361  0.67468644
 0.68674487 0.66564448 0.66739659 0.65225712]";60.4$\pm$1.28;"[0.60683521 0.60807375 0.59692227 0.61525372 0.60056277 0.6212861
 0.61710563 0.60894674 0.58193024 0.58281274]";67.92$\pm$1.14;"[0.65846422 0.66105989 0.68118971 0.67009062 0.68239343 0.69541812
 0.68218273 0.68676502 0.6872813  0.68680273]";67.12$\pm$1.41;"[0.67621281 0.66412588 0.65241802 0.67792944 0.65371442 0.68731881
 0.66633528 0.66285481 0.70054833 0.67040925]";64.03$\pm$2.12;"[0.63179543 0.63745305 0.62504289 0.65928569 0.61754601 0.66833053
 0.6499133  0.67011048 0.641926   0.60120118]";59.02$\pm$1.76;"[0.59810296 0.56050979 0.59673489 0.59174273 0.6003823  0.62570692
 0.59044317 0.56898673 0.59556886 0.57374805]";69.18$\pm$1.61;"[0.69142502 0.6822403  0.71989104 0.69831371 0.68117878 0.6944651
 0.69888448 0.71207294 0.67711369 0.66241875]";64.71$\pm$2.03;"[0.64018113 0.63263878 0.66345293 0.62503771 0.64498044 0.65335088
 0.66949251 0.6860748  0.63992578 0.61548312]";65.21$\pm$1.78;"[0.63255041 0.6590822  0.63718882 0.6405366  0.6638864  0.68041947
 0.67704839 0.66252467 0.63775704 0.62961625]";64.72$\pm$1.15;"[0.64469836 0.64587502 0.66566664 0.63770232 0.6576226  0.64440996
 0.66626159 0.6397229  0.63999376 0.62982953]";62.67$\pm$1.71;"[0.63353508 0.59378605 0.60595904 0.63158042 0.62779571 0.64998181
 0.64541967 0.64371513 0.61669219 0.61862423]";79.5$\pm$3.25;"[0.79849539 0.75680435 0.71598746 0.79580502 0.82420484 0.79520604
 0.825819   0.8200566  0.80311509 0.81426657]";75.93$\pm$2.71;"[0.7659079  0.72879081 0.69930586 0.74853493 0.78477299 0.77393813
 0.76616465 0.7999829  0.75789576 0.76782861]";60.82$\pm$1.35;"[0.59609274 0.60092601 0.59978879 0.62811175 0.58883304 0.62467158
 0.6181401  0.62465547 0.59671501 0.60430746]";66.75$\pm$1.44;"[0.6571874  0.64856855 0.66094476 0.67548488 0.67665348 0.66599563
 0.70055045 0.67511358 0.66208551 0.65223841]"
AP;72.79$\pm$0.71;"[0.72265841 0.71513292 0.74045157 0.7244267  0.72730848 0.73177366
 0.72998969 0.73586146 0.73107983 0.72078156]";75.9$\pm$1.14;"[0.76326513 0.74710482 0.76804494 0.77523849 0.73860247 0.7564862
 0.7725356  0.76658274 0.75346141 0.74905542]";72.79$\pm$0.71;"[0.72265841 0.71513292 0.74045157 0.7244267  0.72730848 0.73177366
 0.72998969 0.73586146 0.73107983 0.72078156]";77.02$\pm$1.71;"[0.78313997 0.74084998 0.75407835 0.80452995 0.76080407 0.77531387
 0.76610338 0.78522913 0.77182337 0.7598287 ]";71.99$\pm$1.22;"[0.72647682 0.70297324 0.73403745 0.72938802 0.71546857 0.71136929
 0.72118772 0.74224538 0.70875308 0.70730469]";72.56$\pm$1.14;"[0.73428593 0.71719639 0.74278935 0.73317965 0.72097029 0.71415497
 0.72084153 0.73846009 0.72927559 0.70441193]";72.74$\pm$0.74;"[0.72230868 0.71856058 0.73058125 0.72975617 0.72953492 0.74643773
 0.72493966 0.7269584  0.72462185 0.72060398]";71.51$\pm$1.22;"[0.71874951 0.70947507 0.7147557  0.71986012 0.70739383 0.72072724
 0.7154626  0.73533013 0.72354572 0.6858445 ]";72.79$\pm$0.71;"[0.72265841 0.71513292 0.74045157 0.7244267  0.72730848 0.73177366
 0.72998969 0.73586146 0.73107983 0.72078156]";68.4$\pm$1.09;"[0.69331582 0.68905766 0.68606216 0.68156152 0.68843688 0.69568823
 0.68860987 0.68469714 0.67779088 0.65503558]";78.3$\pm$1.51;"[0.78433842 0.75314313 0.76814835 0.79851942 0.76612572 0.79016818
 0.79426254 0.80332196 0.78977228 0.78177972]";77.31$\pm$0.84;"[0.77484288 0.76204344 0.7840813  0.77501309 0.77072364 0.77990281
 0.76532568 0.78132521 0.77984425 0.75771112]";73.22$\pm$0.95;"[0.73907339 0.73417295 0.72686789 0.73165916 0.72246723 0.73906784
 0.75026671 0.73519258 0.72982313 0.71371488]";69.65$\pm$0.98;"[0.69461028 0.69608119 0.69537049 0.70413952 0.69636657 0.70783975
 0.70697272 0.70476707 0.68227611 0.67679405]";74.43$\pm$0.82;"[0.73573865 0.73054116 0.75168639 0.73898715 0.74843582 0.75170929
 0.74763311 0.75384568 0.75028412 0.73373363]";73.7$\pm$0.74;"[0.74368298 0.72593405 0.73003916 0.74450068 0.72669798 0.74154832
 0.73468291 0.73788921 0.7487421  0.73624385]";70.97$\pm$1.41;"[0.7094247  0.71126597 0.7063274  0.71894412 0.69422568 0.72610355
 0.71295604 0.73123505 0.70672217 0.67973224]";70.12$\pm$1.19;"[0.70800012 0.68261148 0.70924298 0.70345859 0.70558001 0.72223217
 0.70432815 0.6945649  0.70207486 0.68011558]";75.3$\pm$1.25;"[0.75517172 0.74221307 0.7733558  0.75860206 0.74531659 0.75367884
 0.75523077 0.7710451  0.74526759 0.72978467]";73.25$\pm$1.52;"[0.72730458 0.71719907 0.74817422 0.71960824 0.72817869 0.73779212
 0.74868649 0.75790622 0.73400026 0.70633718]";73.25$\pm$1.02;"[0.725622   0.73006108 0.73098035 0.72275984 0.73455472 0.74995017
 0.74422837 0.74404945 0.72702219 0.71574947]";71.88$\pm$0.86;"[0.7213291  0.71236273 0.73091714 0.71511947 0.7241668  0.71644004
 0.7340877  0.71682508 0.713152   0.70360166]";71.58$\pm$0.93;"[0.71956736 0.70240179 0.70725114 0.71663061 0.71396365 0.72836645
 0.72575359 0.72951126 0.70805621 0.70657689]";82.56$\pm$2.73;"[0.83234242 0.78805524 0.76154493 0.8255359  0.84956684 0.82762649
 0.84998259 0.84651137 0.83376235 0.84105506]";79.57$\pm$2.41;"[0.79703802 0.76953939 0.74113376 0.79420531 0.82404178 0.80799175
 0.79471889 0.82958426 0.7957998  0.8031904 ]";70.98$\pm$0.99;"[0.70035945 0.70209497 0.70606136 0.72144132 0.69895563 0.7169018
 0.71990805 0.72682402 0.69970046 0.70548802]";74.21$\pm$0.97;"[0.73790754 0.72952801 0.73694229 0.74796626 0.74582564 0.74210973
 0.76235051 0.75066065 0.73968862 0.72797557]"
pretrain_time;nan$\pm$nan;[];49.49$\pm$0.89;"[50.71067619 49.40954566 50.58749247 49.64809966 49.31763029 49.10075951
 50.36484742 49.29243231 48.99664092 47.48673797]";nan$\pm$nan;[];93.36$\pm$1.96;"[94.83387733 95.15161061 91.98871922 92.84920812 97.00015974 92.21754336
 90.50787878 90.85610414 94.78880095 93.40235496]";97.46$\pm$3.39;"[ 96.13499975  90.24772668  96.44544268  97.70890856  96.05238867
  98.40807486  96.91254568 103.78505182  97.29802132 101.57975078]";92.84$\pm$3.41;"[96.97946715 93.43383479 90.30850124 94.0192318  88.15533495 88.12955999
 97.99277234 91.28012586 96.77713275 91.35406327]";54.25$\pm$4.11;"[53.74824548 55.53164196 55.25839043 49.34577823 49.84871745 59.83541799
 62.83440018 50.6502347  52.72499537 52.67933607]";32.99$\pm$3.27;"[25.59165382 36.93754935 34.7976141  33.50917339 37.35198808 31.51441717
 31.82004094 32.11573267 30.91091228 35.36028719]";nan$\pm$nan;[];15.3$\pm$0.58;"[14.82456684 14.80712628 15.22350478 14.72867131 15.11325884 15.47974133
 16.57996941 15.97112465 15.51607013 14.74651599]";19.68$\pm$1.16;"[20.02620935 18.84405303 19.82780457 18.89661169 22.81372643 18.3779726
 19.39214325 19.6112597  19.172086   19.88584232]";59.89$\pm$1.19;"[59.46100283 61.03400731 59.31885958 60.02087355 60.47687745 58.18546367
 59.09814191 62.65559912 58.97110033 59.63968563]";117.15$\pm$9.67;"[121.60944605 108.23228693 109.91821575 102.91000652 108.1830678
 131.26484585 128.33008981 128.93040347 120.21575379 111.87228894]";73.26$\pm$4.5;"[69.36950922 69.69293547 74.07455182 79.541502   63.46106267 74.90668583
 72.6479311  74.193156   78.05820775 76.6573565 ]";37.36$\pm$3.45;"[29.17528224 38.93033528 36.76043272 42.49687862 39.04253936 38.49687338
 38.8356061  35.97736549 34.30459404 39.62826896]";40.66$\pm$0.69;"[39.54396248 40.18446302 40.55435514 42.19532275 40.77220082 40.8876369
 40.86649299 40.0391233  41.22818351 40.33318424]";54.69$\pm$1.35;"[53.67427182 56.52698493 52.76050663 55.37319851 55.09776068 55.38966775
 53.90662694 54.20187378 52.97516274 56.98569202]";105.0$\pm$2.82;"[106.07869053 107.17199421 110.39877725 103.5384841  105.94328856
 104.45064425 106.21694899 103.25123215 103.93273139  99.06583023]";98.99$\pm$9.34;"[ 93.38248658  93.80020142  94.47712922  89.86288023  91.17583561
  92.12222528 120.66047573 105.89560008 100.46956587 108.05167603]";115.37$\pm$2.35;"[113.1543541  118.25793147 113.79620051 114.94863796 112.76008224
 112.51912928 115.27834916 115.26593304 118.54982567 119.17499542]";26.32$\pm$0.62;"[25.82337284 26.88081098 26.97923255 25.97395349 25.95021367 27.60275078
 25.96426129 26.5834825  25.69469476 25.75967097]";21.8$\pm$0.66;"[21.05094194 22.05642247 21.33180094 21.46159959 21.49836493 21.77929902
 21.14745069 22.05570245 23.43287039 22.20364547]";96.0$\pm$5.11;"[ 94.22047901  93.88070488  91.00166082  90.91607237  89.14579153
  95.61890864  95.76588893 102.88490391 104.42317772 102.12246394]";15.89$\pm$0.65;"[15.87308311 14.65756989 16.19378066 14.65521049 16.26021934 15.80065036
 16.19054508 16.56711197 16.27501178 16.41398025]";3.55$\pm$0.23;"[3.61079717 3.4795444  3.41189027 3.14154887 3.70762801 3.91047454
 3.81193423 3.74627924 3.31571531 3.40540004]";18.26$\pm$0.93;"[18.78471637 16.89058948 19.11396217 18.40421772 18.77619672 19.85007691
 16.93472433 18.69170856 17.34344053 17.83317947]";46.71$\pm$1.0;"[47.2460146  44.30289435 46.16462827 47.35157204 46.51337409 47.56304789
 46.58192086 47.82067871 47.56464744 45.98715925]"
