metrics;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;1.39$\pm$0.49;"[0.02333932 0.00987433 0.02004788 0.01436266 0.01017355 0.01885099
 0.01196888 0.01196888 0.00777977 0.01047277]";28.67$\pm$2.87;"[0.30580491 0.28456014 0.28994614 0.29952124 0.25972472 0.26780371
 0.27737882 0.25763016 0.26570916 0.35906643]";1.39$\pm$0.49;"[0.02333932 0.00987433 0.02004788 0.01436266 0.01017355 0.01885099
 0.01196888 0.01196888 0.00777977 0.01047277]";29.95$\pm$4.1;"[0.24895272 0.339617   0.28246559 0.3464991  0.23249551 0.28067026
 0.27977259 0.30849791 0.30730102 0.36864153]";1.39$\pm$0.49;"[0.02333932 0.00987433 0.02004788 0.01436266 0.01017355 0.01885099
 0.01196888 0.01196888 0.00777977 0.01047277]";30.89$\pm$3.96;"[0.25912627 0.31149013 0.33333333 0.34320766 0.27678037 0.30849791
 0.27648115 0.31986834 0.26540993 0.39467385]";26.77$\pm$3.43;"[0.23279473 0.30819868 0.25014961 0.32764811 0.21813285 0.2363854
 0.24985039 0.28276481 0.27109515 0.29952124]";25.2$\pm$2.62;"[0.24386595 0.2690006  0.24566128 0.26331538 0.21663674 0.21663674
 0.21903052 0.28216637 0.28545781 0.2785757 ]";26.2$\pm$4.33;"[0.23159785 0.28964692 0.29054458 0.34320766 0.20795931 0.21095153
 0.22471574 0.26331538 0.24625972 0.31178935]";29.25$\pm$3.27;"[0.26122083 0.29174147 0.27887493 0.32226212 0.29144225 0.28156792
 0.26540993 0.30789946 0.2540395  0.37043686]";28.22$\pm$4.54;"[0.24895272 0.334231   0.26211849 0.26002394 0.24057451 0.28156792
 0.20915619 0.33213645 0.29204069 0.3614602 ]";28.25$\pm$4.53;"[0.23429084 0.28874925 0.31448235 0.35637343 0.20017953 0.24386595
 0.27558348 0.27139437 0.30550569 0.33453022]";29.03$\pm$4.62;"[0.24386595 0.34021544 0.28874925 0.34320766 0.26331538 0.20227409
 0.26331538 0.28815081 0.31567923 0.35397965]";27.62$\pm$3.9;"[0.22351885 0.2962298  0.30610413 0.32645123 0.20676242 0.22890485
 0.27797726 0.30341113 0.29443447 0.29832436]";30.3$\pm$2.83;"[0.27767804 0.32166367 0.30041891 0.36265709 0.26451227 0.28186715
 0.30221424 0.29114303 0.28994614 0.33752244]";28.63$\pm$4.01;"[0.27199282 0.24566128 0.30221424 0.30131658 0.21154997 0.27977259
 0.31178935 0.29533214 0.27229204 0.37103531]";30.24$\pm$4.38;"[0.26421305 0.32914423 0.30520646 0.29473369 0.2309994  0.26780371
 0.27917415 0.33632555 0.32136445 0.39497307]";28.08$\pm$4.15;"[0.2513465  0.29413525 0.28695392 0.33871933 0.20496709 0.23518851
 0.26959904 0.27109515 0.31597846 0.33991622]";28.05$\pm$3.63;"[0.27977259 0.30730102 0.28904847 0.33273489 0.20795931 0.23279473
 0.27707959 0.26421305 0.29233992 0.32166367]";29.43$\pm$2.42;"[0.28785159 0.29712747 0.30400958 0.33901855 0.27558348 0.25613405
 0.29024536 0.30341113 0.26481149 0.32525434]";28.51$\pm$3.45;"[0.26540993 0.27678037 0.27019749 0.2839617  0.26929982 0.31178935
 0.27887493 0.30789946 0.22441652 0.36265709]";31.48$\pm$4.25;"[0.28815081 0.31538001 0.30789946 0.37133453 0.33004189 0.2935368
 0.29233992 0.35607421 0.2241173  0.36923998]";30.91$\pm$3.03;"[0.28037104 0.29293836 0.33363256 0.34260922 0.28485937 0.28096948
 0.29174147 0.29563136 0.31238779 0.37612208]";34.16$\pm$3.96;"[0.34350688 0.34619988 0.33273489 0.35637343 0.32286056 0.27827648
 0.30520646 0.37043686 0.32585278 0.43447038]";32.4$\pm$4.05;"[0.24416517 0.37462597 0.32465589 0.3192699  0.31328546 0.28156792
 0.32525434 0.32256134 0.33782166 0.3967684 ]";31.43$\pm$4.41;"[0.21723519 0.31358468 0.32734889 0.37283064 0.28186715 0.31478157
 0.27378815 0.36505087 0.33572711 0.34111311]";28.23$\pm$6.52;"[0.32914423 0.2785757  0.13614602 0.32764811 0.20347098 0.27648115
 0.2758827  0.32585278 0.29533214 0.37432675]"
Hits@50;4.06$\pm$1.03;"[0.05954518 0.04548175 0.05086774 0.04009575 0.04248953 0.03919808
 0.02393776 0.02872531 0.02962298 0.04608019]";43.95$\pm$2.45;"[0.42998205 0.42639138 0.45661281 0.46379414 0.39527229 0.43806104
 0.41322561 0.46349491 0.42908438 0.47875524]";4.06$\pm$1.03;"[0.05954518 0.04548175 0.05086774 0.04009575 0.04248953 0.03919808
 0.02393776 0.02872531 0.02962298 0.04608019]";44.8$\pm$2.91;"[0.45212448 0.46140036 0.40634351 0.4646918  0.40514662 0.45751047
 0.42160383 0.47606224 0.43506882 0.5       ]";4.06$\pm$1.03;"[0.05954518 0.04548175 0.05086774 0.04009575 0.04248953 0.03919808
 0.02393776 0.02872531 0.02962298 0.04608019]";47.31$\pm$3.45;"[0.46588869 0.43806104 0.48982645 0.50119689 0.4293836  0.48414123
 0.42579294 0.48623579 0.46648713 0.54428486]";41.78$\pm$2.87;"[0.39377618 0.44254937 0.39587074 0.46588869 0.36804309 0.43147816
 0.38659485 0.42489527 0.43028127 0.43865949]";42.36$\pm$2.05;"[0.40424895 0.41352484 0.41292639 0.45002992 0.40963495 0.40245362
 0.40724117 0.42968282 0.44254937 0.46349491]";42.7$\pm$2.91;"[0.43656493 0.42848594 0.42130461 0.45122681 0.35996409 0.43656493
 0.4021544  0.42459605 0.43177738 0.4769599 ]";45.65$\pm$2.74;"[0.4497307  0.4401556  0.4401556  0.49401556 0.42639138 0.45960503
 0.41472172 0.45631358 0.47905446 0.50478755]";44.54$\pm$3.81;"[0.42309994 0.45960503 0.45990425 0.40754039 0.39317774 0.4551167
 0.39347696 0.47456613 0.46977858 0.51735488]";44.2$\pm$2.58;"[0.44943148 0.46529025 0.42459605 0.45541592 0.39018552 0.43955715
 0.40754039 0.46379414 0.44733692 0.47666068]";44.57$\pm$2.15;"[0.44404548 0.44733692 0.41262717 0.4700778  0.43626571 0.43985637
 0.41861161 0.45601436 0.44254937 0.48982645]";44.54$\pm$2.52;"[0.46708558 0.44584081 0.44524237 0.46289647 0.3898863  0.46349491
 0.40783962 0.45900658 0.44374626 0.46918013]";45.54$\pm$2.5;"[0.46648713 0.45571514 0.42369838 0.497307   0.41532017 0.44943148
 0.43267504 0.45691203 0.46888091 0.48743268]";44.46$\pm$2.91;"[0.42758827 0.43506882 0.45691203 0.4700778  0.38569719 0.43985637
 0.42609216 0.44584081 0.45721125 0.50209455]";45.46$\pm$3.19;"[0.44733692 0.4401556  0.45332136 0.49012567 0.40245362 0.45691203
 0.40873728 0.45571514 0.47995212 0.51107121]";44.24$\pm$2.93;"[0.44823459 0.44494315 0.43087971 0.45870736 0.3845003  0.44135248
 0.40873728 0.46169958 0.44584081 0.49940156]";44.7$\pm$2.41;"[0.45152603 0.43417115 0.45780969 0.47127469 0.40155595 0.44943148
 0.42100539 0.43806104 0.45272292 0.49222023]";44.78$\pm$2.08;"[0.43387193 0.45900658 0.44225015 0.47815679 0.40035907 0.44524237
 0.44494315 0.45691203 0.44284859 0.47396768]";44.23$\pm$2.29;"[0.4470377  0.45391981 0.41412328 0.44883303 0.40694195 0.46319569
 0.43267504 0.42459605 0.44225015 0.48892879]";48.54$\pm$2.99;"[0.45751047 0.4877319  0.51555955 0.5326152  0.45421903 0.48862956
 0.45092759 0.49371634 0.44913226 0.52363854]";45.67$\pm$2.56;"[0.45780969 0.44643926 0.46110114 0.49700778 0.41591861 0.43776182
 0.42998205 0.46259725 0.45661281 0.50179533]";49.78$\pm$3.53;"[0.48384201 0.4850389  0.49491323 0.55176541 0.44225015 0.4769599
 0.4619988  0.49401556 0.53291442 0.55385996]";47.56$\pm$2.3;"[0.44344704 0.4673848  0.48713345 0.50418911 0.45810892 0.48294434
 0.44195093 0.48174746 0.47247157 0.51705566]";48.35$\pm$2.18;"[0.45332136 0.4796529  0.48384201 0.51855177 0.46439258 0.4673848
 0.46678636 0.49341712 0.48414123 0.52333932]";44.43$\pm$4.54;"[0.45332136 0.46379414 0.35547576 0.49222023 0.3764213  0.44254937
 0.41771394 0.47875524 0.46319569 0.5       ]"
Hits@100;7.79$\pm$1.19;"[0.09455416 0.08348294 0.08916816 0.0733094  0.08138839 0.08408139
 0.06702573 0.06283662 0.05595452 0.08707361]";57.57$\pm$2.74;"[0.56163974 0.57420706 0.60203471 0.59964093 0.53830042 0.5625374
 0.52423698 0.59036505 0.59156194 0.6128067 ]";7.79$\pm$1.19;"[0.09455416 0.08348294 0.08916816 0.0733094  0.08138839 0.08408139
 0.06702573 0.06283662 0.05595452 0.08707361]";59.08$\pm$2.46;"[0.57540395 0.59186116 0.61669659 0.59575105 0.54518253 0.58408139
 0.55954518 0.60652304 0.60113704 0.63135847]";7.79$\pm$1.19;"[0.09455416 0.08348294 0.08916816 0.0733094  0.08138839 0.08408139
 0.06702573 0.06283662 0.05595452 0.08707361]";62.03$\pm$2.67;"[0.6181927  0.58138839 0.63913824 0.63435069 0.60891682 0.6358468
 0.56822262 0.62208259 0.63165769 0.66337522]";57.56$\pm$2.34;"[0.54817475 0.58348294 0.58916816 0.60263315 0.54997008 0.57899461
 0.53351287 0.57570317 0.58408139 0.61071215]";56.9$\pm$2.24;"[0.56104129 0.55475763 0.55595452 0.60861759 0.55954518 0.54727708
 0.54608019 0.55894674 0.6005386  0.59754638]";57.71$\pm$2.4;"[0.56642729 0.57450628 0.58587672 0.59126272 0.54189108 0.56104129
 0.55505685 0.57241173 0.58856972 0.63405147]";59.02$\pm$3.16;"[0.57839617 0.60203471 0.58916816 0.62597247 0.54189108 0.59216038
 0.52932376 0.60472771 0.60412926 0.63435069]";59.45$\pm$3.75;"[0.57809695 0.60203471 0.61849192 0.57540395 0.54219031 0.59126272
 0.52872531 0.62387792 0.63165769 0.65320168]";59.01$\pm$2.5;"[0.57031718 0.59634949 0.60233393 0.61579892 0.54009575 0.5774985
 0.5679234  0.59754638 0.60263315 0.63076002]";59.25$\pm$2.44;"[0.5733094  0.59575105 0.60023938 0.6208857  0.55954518 0.5733094
 0.55655296 0.61071215 0.60233393 0.63195691]";58.96$\pm$2.77;"[0.57181329 0.58707361 0.61160981 0.60622382 0.54548175 0.58438061
 0.55356074 0.59874327 0.59096349 0.64631957]";58.89$\pm$2.79;"[0.57719928 0.58737283 0.58886894 0.63165769 0.56134051 0.58078995
 0.53201676 0.59964093 0.60263315 0.62716936]";58.86$\pm$2.94;"[0.56941951 0.59036505 0.60532615 0.62956314 0.53141831 0.5679234
 0.55954518 0.60442849 0.60353082 0.62447636]";59.27$\pm$2.67;"[0.58049072 0.59335727 0.60173549 0.60742071 0.56552962 0.58438061
 0.53830042 0.59545183 0.62327947 0.63734291]";58.17$\pm$2.44;"[0.56912029 0.58587672 0.59545183 0.60861759 0.54248953 0.56104129
 0.55505685 0.58318372 0.5882705  0.62806703]";58.76$\pm$2.3;"[0.56732496 0.58797127 0.61250748 0.60861759 0.5448833  0.58258528
 0.56971873 0.58348294 0.59126272 0.6277678 ]";58.65$\pm$2.55;"[0.58348294 0.58108917 0.59844405 0.61370437 0.54308797 0.57959306
 0.54248953 0.59216038 0.61669659 0.61400359]";58.83$\pm$2.29;"[0.58467983 0.58408139 0.59305805 0.61250748 0.5448833  0.59664871
 0.56014363 0.58886894 0.58647516 0.63135847]";62.51$\pm$1.46;"[0.62387792 0.62956314 0.64691801 0.64901257 0.6101137  0.60921604
 0.61101137 0.62238181 0.61071215 0.6385398 ]";59.05$\pm$3.16;"[0.57690006 0.59066427 0.60023938 0.62956314 0.53052065 0.58856972
 0.54368642 0.59934171 0.61310592 0.63255536]";64.58$\pm$2.7;"[0.6277678  0.64093357 0.65888689 0.6780371  0.61759425 0.64123279
 0.59605027 0.63704369 0.68162777 0.67863555]";61.33$\pm$3.03;"[0.60891682 0.6059246  0.62507481 0.65290245 0.59006583 0.59664871
 0.56074207 0.61609814 0.60233393 0.673848  ]";62.06$\pm$1.42;"[0.62148414 0.61430281 0.61340515 0.64003591 0.61849192 0.59904249
 0.60921604 0.61759425 0.62148414 0.65140634]";59.42$\pm$3.31;"[0.5828845  0.60622382 0.55804907 0.64931179 0.53620586 0.58617594
 0.57031718 0.61370437 0.60083782 0.63824057]"
ROCAUC;76.14$\pm$0.31;"[0.75771926 0.76137688 0.7606257  0.76434442 0.763382   0.75865586
 0.76152615 0.7597928  0.75847727 0.76831149]";92.06$\pm$0.37;"[0.91789977 0.92259515 0.91408587 0.92730814 0.92128282 0.91540361
 0.92015778 0.92293958 0.92202945 0.92204021]";76.14$\pm$0.31;"[0.75771926 0.76137688 0.7606257  0.76434442 0.763382   0.75865586
 0.76152615 0.7597928  0.75847727 0.76831149]";93.46$\pm$0.21;"[0.93317771 0.93378092 0.93629334 0.93731205 0.93239707 0.93129508
 0.93270156 0.93606669 0.93712071 0.93633541]";76.14$\pm$0.31;"[0.75771926 0.76137688 0.7606257  0.76434442 0.763382   0.75865586
 0.76152615 0.7597928  0.75847727 0.76831149]";92.75$\pm$0.3;"[0.9235459  0.92514395 0.92758841 0.93244214 0.92510433 0.92480636
 0.92509329 0.92990697 0.93048278 0.93048795]";93.09$\pm$0.26;"[0.92714356 0.93034305 0.92966093 0.93570903 0.93208028 0.92694523
 0.93032707 0.92987642 0.93265582 0.93380653]";92.32$\pm$0.3;"[0.92028503 0.92220881 0.92041484 0.92798002 0.92485116 0.92019852
 0.9196278  0.92357171 0.92448104 0.92798125]";93.26$\pm$0.22;"[0.93007841 0.93108094 0.93211881 0.93737056 0.93316517 0.92981445
 0.9321687  0.93114301 0.93397224 0.93476879]";93.09$\pm$0.25;"[0.92908707 0.93073538 0.93149121 0.93551779 0.93000034 0.92727743
 0.92775381 0.93278354 0.93065767 0.93381079]";92.71$\pm$0.38;"[0.92844085 0.92776112 0.92935076 0.92557168 0.92422491 0.92403031
 0.91873641 0.93269578 0.92837693 0.93132931]";93.53$\pm$0.24;"[0.9328537  0.93303972 0.93598138 0.94056769 0.93569013 0.93138269
 0.9358634  0.93493466 0.93641684 0.93666661]";93.42$\pm$0.3;"[0.92938584 0.93307992 0.93308525 0.93762381 0.9361972  0.92898093
 0.93453933 0.93456821 0.93665161 0.9378936 ]";93.38$\pm$0.25;"[0.93162566 0.9337045  0.93348806 0.93928437 0.9333654  0.92896227
 0.93287145 0.93472633 0.93516312 0.93483616]";93.41$\pm$0.34;"[0.93039995 0.93096114 0.93388988 0.94051549 0.93542713 0.92918321
 0.93285803 0.93438348 0.93847913 0.93500114]";92.11$\pm$0.23;"[0.91764026 0.92278263 0.92269121 0.91951474 0.92037551 0.91865149
 0.91940044 0.925715   0.92259396 0.92125413]";93.71$\pm$0.26;"[0.93696123 0.9393891  0.9392124  0.93847654 0.93421334 0.93689928
 0.93095441 0.93688471 0.93851001 0.93942698]";93.48$\pm$0.25;"[0.93251907 0.93242999 0.93428977 0.94061935 0.93476422 0.93271228
 0.93295892 0.93390513 0.93663808 0.93715576]";93.19$\pm$0.23;"[0.93047418 0.93256819 0.93247829 0.93568537 0.93471871 0.92811844
 0.93071175 0.92980905 0.93075843 0.93412237]";93.15$\pm$0.29;"[0.92867705 0.93121018 0.93450609 0.9371261  0.93136683 0.9264541
 0.92931245 0.93130696 0.9307885  0.93409501]";93.55$\pm$0.14;"[0.93329617 0.93596147 0.93646767 0.93692007 0.93705811 0.93297552
 0.93421629 0.93609908 0.93640237 0.93537624]";92.3$\pm$0.36;"[0.9222566  0.9191472  0.92450664 0.93160855 0.92265021 0.91934221
 0.92058625 0.9263538  0.92323637 0.92047431]";94.22$\pm$0.24;"[0.93991428 0.94167901 0.94325351 0.94527275 0.94167636 0.93906624
 0.94003833 0.9410177  0.94298512 0.94702655]";93.98$\pm$0.32;"[0.93911908 0.93708168 0.93593114 0.94572745 0.93878314 0.93710896
 0.93771175 0.93934384 0.94451637 0.94249163]";93.72$\pm$0.25;"[0.934828   0.93469162 0.93793256 0.9421686  0.93577002 0.93650769
 0.93383416 0.93734089 0.93843189 0.9404713 ]";93.21$\pm$0.38;"[0.9300621  0.9270807  0.92987317 0.94065233 0.93595743 0.92904553
 0.93075805 0.9335986  0.93435904 0.92999074]";92.8$\pm$0.32;"[0.92671647 0.92803267 0.9223216  0.93437315 0.92591291 0.92484
 0.92767656 0.92953904 0.93046145 0.93047854]"
AP;70.12$\pm$0.71;"[0.70871897 0.70080412 0.7078277  0.70650839 0.69996237 0.70199946
 0.69668133 0.69352423 0.68620144 0.70958409]";92.63$\pm$0.34;"[0.92402786 0.92753438 0.92422659 0.93159578 0.92416616 0.92136139
 0.92413394 0.92621537 0.92720805 0.93252926]";70.12$\pm$0.71;"[0.70871897 0.70080412 0.7078277  0.70650839 0.69996237 0.70199946
 0.69668133 0.69352423 0.68620144 0.70958409]";93.51$\pm$0.42;"[0.9332555  0.936295   0.93591394 0.93846617 0.92780723 0.93078595
 0.93087071 0.93834706 0.93692149 0.94262374]";70.12$\pm$0.71;"[0.70871897 0.70080412 0.7078277  0.70650839 0.69996237 0.70199946
 0.69668133 0.69352423 0.68620144 0.70958409]";93.29$\pm$0.4;"[0.92787833 0.93125755 0.93399272 0.93953607 0.9289763  0.93067856
 0.92890728 0.93512877 0.93375971 0.93931832]";93.02$\pm$0.41;"[0.92597995 0.93326803 0.92839899 0.93632451 0.92578573 0.92532846
 0.92773734 0.93045256 0.9315336  0.93740688]";92.46$\pm$0.41;"[0.92209653 0.92456727 0.92107471 0.93032924 0.92139759 0.9209169
 0.92045474 0.9244975  0.92742653 0.93280936]";93.19$\pm$0.41;"[0.92955658 0.93176241 0.93350302 0.93788642 0.92551029 0.92733237
 0.92998565 0.93256409 0.9318797  0.93927627]";93.38$\pm$0.37;"[0.93130923 0.93480808 0.93398838 0.93875965 0.9306631  0.93023557
 0.92903858 0.9363536  0.93163587 0.94100712]";92.98$\pm$0.61;"[0.92940743 0.9331925  0.93368133 0.92670917 0.9214861  0.92846172
 0.91779368 0.93693917 0.93190554 0.93795244]";93.51$\pm$0.39;"[0.93183524 0.93559095 0.93593207 0.94081101 0.92815993 0.93047601
 0.93373746 0.93592387 0.93727151 0.94087888]";93.38$\pm$0.41;"[0.92891113 0.93564863 0.93202667 0.93923649 0.93254901 0.92661424
 0.93166978 0.93689707 0.93456342 0.94002428]";93.35$\pm$0.4;"[0.93207926 0.93567408 0.93532879 0.93976253 0.92701945 0.92786156
 0.93041265 0.9363916  0.93307475 0.93739811]";93.55$\pm$0.38;"[0.93232431 0.93476688 0.93472734 0.94294536 0.93287169 0.93087886
 0.93147487 0.93671716 0.93842637 0.93995952]";92.61$\pm$0.32;"[0.92413999 0.92824048 0.92609744 0.92978859 0.92008403 0.92212822
 0.92457174 0.9297177  0.92810741 0.92857948]";93.59$\pm$0.45;"[0.93490838 0.93814979 0.93829581 0.93786055 0.92676563 0.93459292
 0.92888406 0.93744746 0.93961076 0.94218937]";93.39$\pm$0.42;"[0.93284276 0.93506641 0.93469536 0.94040692 0.92604304 0.92965494
 0.93062465 0.93435252 0.93544772 0.9400748 ]";93.27$\pm$0.36;"[0.93209864 0.93465019 0.93431817 0.9374677  0.92860321 0.92836819
 0.92936987 0.93008782 0.93251433 0.93970433]";93.27$\pm$0.44;"[0.93142394 0.9332881  0.93574198 0.94021163 0.92939903 0.92377912
 0.92998275 0.93237943 0.9331923  0.93754336]";93.54$\pm$0.22;"[0.93429456 0.93706146 0.93481487 0.93675276 0.93279263 0.93247018
 0.93462189 0.93621536 0.93439938 0.94034987]";93.09$\pm$0.3;"[0.93019498 0.92874299 0.93235286 0.93838205 0.92970496 0.92845307
 0.92795096 0.93276922 0.92811904 0.93208265]";94.01$\pm$0.36;"[0.93756656 0.9397202  0.94166966 0.94435708 0.9346459  0.93634855
 0.93767562 0.93963347 0.94256627 0.94715378]";94.3$\pm$0.38;"[0.94169645 0.94141328 0.94129117 0.94909304 0.93911741 0.93914567
 0.93820793 0.94444513 0.94714842 0.94850345]";93.85$\pm$0.34;"[0.93333982 0.93780731 0.93901237 0.94282447 0.93589453 0.93693636
 0.93483732 0.94066232 0.93876213 0.94503303]";93.62$\pm$0.32;"[0.93165938 0.93420833 0.93591409 0.94379381 0.93484962 0.93396647
 0.9343641  0.93933503 0.93654324 0.93723089]";93.13$\pm$0.68;"[0.93293323 0.93309594 0.91699668 0.93987639 0.92239645 0.92907301
 0.92887096 0.93590779 0.93421844 0.93915443]"
pretrain_time;nan$\pm$nan;[];19.23$\pm$0.02;"[19.25839734 19.24987411 19.22859931 19.23490024 19.22606611 19.20819783
 19.24336672 19.20324159 19.21617341 19.18885398]";nan$\pm$nan;[];100.24$\pm$0.4;"[100.76027513 100.72779703 100.22496867 100.30893445  99.76186848
  99.84585261  99.73325229  99.83737898 100.57727337 100.63033676]";nan$\pm$nan;[];59.11$\pm$1.74;"[57.56434226 58.34853554 58.0381608  59.15520263 58.5059669  58.28871489
 64.07883739 58.96437573 58.69125366 59.47831297]";36.59$\pm$0.92;"[36.09144354 39.26180649 36.86614203 36.43842936 36.09999132 36.16999602
 36.24207497 36.21512961 35.99090886 36.52661395]";10.46$\pm$0.06;"[10.48555064 10.41560411 10.35784316 10.55429649 10.47708249 10.4286015
 10.41210175 10.5302372  10.43459201 10.45519233]";8.27$\pm$0.04;"[8.22937059 8.22082138 8.20701742 8.32778859 8.31559324 8.30069017
 8.26495934 8.27431917 8.25725389 8.2705133 ]";23.57$\pm$0.05;"[23.54326439 23.62858987 23.62010503 23.637187   23.54421926 23.55718112
 23.57116461 23.58616376 23.4737637  23.57982016]";31.09$\pm$0.24;"[31.24692202 31.71234989 30.88441181 30.95654631 30.86853123 31.07027698
 31.19938564 31.03790712 30.90191126 30.97275901]";14.51$\pm$0.06;"[14.42349362 14.62517881 14.4930377  14.53146768 14.44796062 14.55206943
 14.42681456 14.54773211 14.56434703 14.50914836]";2.88$\pm$0.03;"[2.85426211 2.87480259 2.90154052 2.86992478 2.87480378 2.97317076
 2.86118865 2.8552196  2.85300326 2.88164949]";2.95$\pm$0.01;"[2.95498323 2.9528811  2.92810392 2.96099997 2.94347882 2.94966841
 2.94037247 2.95963311 2.94289613 2.95194817]";2.09$\pm$0.0;"[2.09229803 2.1037457  2.08932042 2.09151745 2.09696364 2.09875846
 2.09501815 2.09192252 2.0898459  2.09192324]";54.71$\pm$0.11;"[54.4908731  54.79387784 54.81654716 54.87268901 54.75310016 54.7017169
 54.66231799 54.56508112 54.68724871 54.75395226]";78.28$\pm$0.25;"[77.78639078 78.50571966 78.59535837 78.56573606 78.35182357 78.38274741
 78.39070225 78.12642717 78.07942677 78.02826142]";3.03$\pm$0.01;"[3.03947902 3.05381083 3.02847195 3.03839588 3.01559973 3.02514505
 3.01146173 3.02161741 3.02973032 3.05343223]";96.36$\pm$0.34;"[96.00112367 96.10770011 95.76134753 96.76234341 96.72932267 96.60529566
 96.8297205  96.36158419 96.17060256 96.30264235]";43.52$\pm$0.31;"[43.75278735 43.76503706 43.679178   43.65706611 43.80291867 43.10656977
 43.20930433 43.12968183 43.17359924 43.9244349 ]";34.28$\pm$0.09;"[34.30362964 34.35129166 34.04043102 34.21952438 34.327003   34.38786983
 34.33288336 34.30777693 34.25910258 34.23809505]";36.79$\pm$0.1;"[36.66057706 36.7895627  36.73444438 36.81464553 36.85174561 36.89838004
 36.8687315  36.57190943 36.90590048 36.82631636]";16.49$\pm$0.05;"[16.57490468 16.54710913 16.4019351  16.4491806  16.46478057 16.48418927
 16.49987984 16.44805169 16.4942596  16.48837757]";101.29$\pm$0.5;"[100.69681692 101.19484997 101.12826729 102.00704551 101.8610611
 100.4414866  101.45307255 101.58889294 101.75610161 100.8154726 ]";53.68$\pm$0.1;"[53.5830338  53.76631713 53.55715346 53.88437819 53.75644779 53.62069631
 53.73902822 53.64357042 53.74430466 53.54597712]";106.54$\pm$0.27;"[106.43805861 106.26848102 106.46755862 107.22813964 106.62630033
 106.58169508 106.32403469 106.26267529 106.50792503 106.71992564]";41.37$\pm$0.08;"[41.34324551 41.38110542 41.34449458 41.37209344 41.41940331 41.50121975
 41.28459048 41.45535302 41.40198326 41.21000338]"
