metrics;leiden_prob_pred_mean;leiden_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;5.52$\pm$0.92;"[0.06475632 0.06656137 0.06351534 0.05437726 0.05200812 0.04512635
 0.0646435  0.04095217 0.0433213  0.05663357]";35.56$\pm$3.99;"[0.45780686 0.29422383 0.37736913 0.34250903 0.35209838 0.36642599
 0.34420126 0.339463   0.34848827 0.33337094]";32.11$\pm$5.15;"[0.34239621 0.37477437 0.28925993 0.30415162 0.34555505 0.2237139
 0.26398917 0.410537   0.34273466 0.31385379]";5.52$\pm$0.92;"[0.06475632 0.06656137 0.06351534 0.05437726 0.05200812 0.04512635
 0.0646435  0.04095217 0.0433213  0.05663357]";38.02$\pm$4.15;"[0.43005415 0.3778204  0.38628159 0.39011733 0.3601083  0.29986462
 0.3771435  0.4424639  0.41143953 0.32648917]";33.48$\pm$5.01;"[0.3344991  0.34555505 0.31419224 0.32423285 0.40895758 0.25090253
 0.30302347 0.38323556 0.40703971 0.27685018]";33.12$\pm$5.14;"[0.39259928 0.3316787  0.33416065 0.39496841 0.26297383 0.25688177
 0.34408845 0.36529783 0.37172834 0.25744585]";5.52$\pm$0.92;"[0.06475632 0.06656137 0.06351534 0.05437726 0.05200812 0.04512635
 0.0646435  0.04095217 0.0433213  0.05663357]";33.26$\pm$3.29;"[0.34499097 0.35063177 0.30719765 0.40794224 0.30054152 0.32581227
 0.31374097 0.36428249 0.31351534 0.29738267]";43.0$\pm$4.78;"[0.40568592 0.47698556 0.44235108 0.47766245 0.50011282 0.32490975
 0.39474278 0.44077166 0.41854693 0.41820848]";43.92$\pm$3.81;"[0.51150722 0.42903881 0.4303926  0.42870036 0.48465704 0.44483303
 0.3756769  0.47044224 0.40647563 0.410537  ]";29.32$\pm$3.01;"[0.3032491  0.27831679 0.26150722 0.31983303 0.30482852 0.26218412
 0.26906588 0.35672383 0.31306408 0.26286101]";42.07$\pm$3.28;"[0.43073105 0.40760379 0.4275722  0.43456679 0.4829648  0.40918321
 0.35931859 0.45848375 0.39248646 0.40421931]";45.03$\pm$4.1;"[0.47563177 0.47281137 0.51286101 0.41719314 0.40365523 0.41211643
 0.43434116 0.51500451 0.40015794 0.45893502]";33.71$\pm$4.01;"[0.32107401 0.3196074  0.39282491 0.26116877 0.35615975 0.28282942
 0.32851986 0.3721796  0.3756769  0.36055957]";29.62$\pm$2.64;"[0.35627256 0.2890343  0.2833935  0.29377256 0.33337094 0.26116877
 0.29670578 0.28418321 0.28542419 0.27899368]";34.64$\pm$4.84;"[0.37319495 0.35920578 0.4041065  0.31238718 0.37556408 0.2379287
 0.4090704  0.33021209 0.31137184 0.35051895]";24.48$\pm$3.13;"[0.19009477 0.22664711 0.21976534 0.26534296 0.22597022 0.2237139
 0.26613267 0.28418321 0.29580325 0.25078971]";37.37$\pm$4.44;"[0.39282491 0.42836191 0.3288583  0.37138989 0.39598375 0.30415162
 0.40703971 0.40861913 0.40218863 0.29726986]";29.93$\pm$3.11;"[0.26680957 0.26556859 0.33799639 0.33404783 0.29241877 0.27865523
 0.31159747 0.35458032 0.27775271 0.27380415]";35.72$\pm$2.52;"[0.36326715 0.36902076 0.35819043 0.3607852  0.35931859 0.29230596
 0.35175993 0.37409747 0.39643502 0.34690884]";39.86$\pm$5.36;"[0.47224729 0.40794224 0.4211417  0.41583935 0.37522563 0.29411101
 0.36834386 0.48736462 0.39056859 0.35288809]";41.89$\pm$3.99;"[0.4346796  0.37624097 0.4346796  0.45273014 0.45622744 0.33495036
 0.45419675 0.45374549 0.41143953 0.38018953]";35.14$\pm$2.75;"[0.3103565  0.36631318 0.30392599 0.35683664 0.36868231 0.34611913
 0.35920578 0.38876354 0.38447653 0.3288583 ]";34.19$\pm$4.68;"[0.32479693 0.31362816 0.38346119 0.32513538 0.2784296  0.3131769
 0.36134928 0.44900722 0.36653881 0.30381318]";37.39$\pm$5.03;"[0.4545352  0.43276173 0.39440433 0.36856949 0.39305054 0.28474729
 0.34758574 0.35232401 0.40433213 0.30685921]";36.14$\pm$3.84;"[0.43095668 0.34420126 0.36935921 0.40004513 0.36868231 0.30336191
 0.31915614 0.39519404 0.36304152 0.32039711]"
Hits@50;11.28$\pm$1.32;"[0.10029332 0.1441787  0.10356498 0.10773917 0.11744134 0.11428249
 0.12691787 0.10288809 0.11022112 0.10006769]";56.24$\pm$2.79;"[0.63267148 0.55900271 0.53350632 0.55291065 0.58280686 0.54399819
 0.5618231  0.53610108 0.57592509 0.54557762]";52.59$\pm$3.15;"[0.50090253 0.54219314 0.50180505 0.535537   0.54794675 0.47788809
 0.49424639 0.55922834 0.5838222  0.51568141]";11.28$\pm$1.32;"[0.10029332 0.1441787  0.10356498 0.10773917 0.11744134 0.11428249
 0.12691787 0.10288809 0.11022112 0.10006769]";55.74$\pm$2.77;"[0.55674639 0.55742329 0.55482852 0.55065433 0.57299188 0.51432762
 0.55764892 0.61180054 0.58370939 0.51387635]";51.28$\pm$3.34;"[0.4836417  0.5071074  0.50056408 0.53452166 0.55832581 0.46502708
 0.46728339 0.53768051 0.56374097 0.50981498]";54.39$\pm$2.91;"[0.57784296 0.52380415 0.54659296 0.54106498 0.52391697 0.48589801
 0.55144404 0.5866426  0.57524819 0.52673736]";11.28$\pm$1.32;"[0.10029332 0.1441787  0.10356498 0.10773917 0.11744134 0.11428249
 0.12691787 0.10288809 0.11022112 0.10006769]";54.34$\pm$2.03;"[0.56362816 0.54772112 0.50868682 0.55922834 0.55313628 0.52008123
 0.52324007 0.57333032 0.53034747 0.55415162]";60.79$\pm$4.21;"[0.60446751 0.59183213 0.60491877 0.64000451 0.69618682 0.53813177
 0.56656137 0.63233303 0.57626354 0.62872292]";61.88$\pm$2.77;"[0.64711191 0.63616877 0.5866426  0.59758574 0.64068141 0.57208935
 0.59104242 0.63662004 0.65512184 0.62477437]";49.57$\pm$3.07;"[0.47709838 0.47495487 0.45250451 0.50755866 0.53328069 0.4566787
 0.48928249 0.55291065 0.51511733 0.4971796 ]";59.83$\pm$2.66;"[0.59217058 0.55776173 0.60706227 0.59972924 0.64327617 0.56554603
 0.62375903 0.61879513 0.60898014 0.56633574]";62.51$\pm$1.94;"[0.60615975 0.63662004 0.6107852  0.60424188 0.61180054 0.63188177
 0.63537906 0.67226986 0.62556408 0.61586191]";51.43$\pm$2.51;"[0.48702617 0.5071074  0.53158845 0.52763989 0.48657491 0.47032942
 0.51838899 0.52301444 0.55708484 0.53429603]";46.38$\pm$2.4;"[0.48206227 0.42531588 0.47642148 0.4857852  0.49740523 0.41956227
 0.47190884 0.46028881 0.46728339 0.45160199]";53.42$\pm$2.85;"[0.54083935 0.53948556 0.55663357 0.4801444  0.52707581 0.49379513
 0.5618231  0.57784296 0.52064531 0.54388538]";38.57$\pm$2.42;"[0.36101083 0.40038357 0.37838448 0.40263989 0.39553249 0.3338222
 0.40782942 0.4155009  0.39620939 0.36563628]";56.49$\pm$2.68;"[0.54320848 0.56791516 0.54862365 0.54253159 0.59995487 0.51049188
 0.58100181 0.59363718 0.58968863 0.57186372]";46.65$\pm$3.03;"[0.43355144 0.44765343 0.47743682 0.46750903 0.51590704 0.40602437
 0.48183664 0.49638989 0.48273917 0.45634025]";51.27$\pm$3.13;"[0.48476986 0.52459386 0.49176444 0.54038809 0.55945397 0.44550993
 0.52730144 0.53813177 0.51308664 0.50248195]";62.18$\pm$2.05;"[0.63357401 0.64395307 0.59679603 0.59972924 0.62308213 0.59228339
 0.62601534 0.65647563 0.63662004 0.60943141]";61.13$\pm$2.61;"[0.62511282 0.60187274 0.598037   0.59679603 0.6370713  0.54772112
 0.63143051 0.64034296 0.60954422 0.62522563]";53.66$\pm$3.02;"[0.48375451 0.5362139  0.53203971 0.5426444  0.56757671 0.50812274
 0.50958935 0.59420126 0.5575361  0.53474729]";54.57$\pm$2.77;"[0.53689079 0.5482852  0.55584386 0.53113718 0.51319946 0.51173285
 0.52854242 0.60683664 0.54659296 0.57750451]";55.19$\pm$3.14;"[0.60288809 0.57220217 0.55708484 0.55133123 0.57344314 0.52290162
 0.50676895 0.58370939 0.54670578 0.50236913]";57.33$\pm$2.71;"[0.61101083 0.57017148 0.51240975 0.566787   0.58957581 0.5426444
 0.59544224 0.59262184 0.57050993 0.58145307]"
Hits@100;20.06$\pm$1.52;"[0.22439079 0.22405235 0.20521209 0.18625903 0.18648466 0.21277076
 0.20318141 0.17881318 0.19009477 0.19517148]";70.36$\pm$2.19;"[0.73443141 0.70588899 0.71784747 0.68050542 0.73262635 0.68828971
 0.67396209 0.67384928 0.71141697 0.71750903]";66.82$\pm$1.83;"[0.65072202 0.67926444 0.65568592 0.64564531 0.69347924 0.63910199
 0.66527527 0.68366426 0.68479242 0.68422834]";20.06$\pm$1.52;"[0.22439079 0.22405235 0.20521209 0.18625903 0.18648466 0.21277076
 0.20318141 0.17881318 0.19009477 0.19517148]";69.44$\pm$2.31;"[0.70837094 0.68953069 0.70284296 0.66674188 0.72190884 0.65038357
 0.68005415 0.72980596 0.70487365 0.68998195]";66.36$\pm$1.86;"[0.6569269  0.65309116 0.65782942 0.67644404 0.69641245 0.62014892
 0.66471119 0.67215704 0.66922383 0.66865975]";68.51$\pm$2.01;"[0.69235108 0.67520307 0.6946074  0.66064982 0.68400271 0.64316336
 0.70340704 0.71288357 0.68219765 0.70295578]";20.06$\pm$1.52;"[0.22439079 0.22405235 0.20521209 0.18625903 0.18648466 0.21277076
 0.20318141 0.17881318 0.19009477 0.19517148]";69.82$\pm$1.46;"[0.69438177 0.70194043 0.6754287  0.69776625 0.72551895 0.67599278
 0.69990975 0.69020758 0.71062726 0.70983755]";72.91$\pm$2.53;"[0.7215704  0.71818592 0.73804152 0.74244134 0.77459386 0.6704648
 0.72551895 0.73420578 0.71875    0.74684116]";73.18$\pm$2.19;"[0.73544675 0.74616426 0.70927347 0.6967509  0.75180505 0.7066787
 0.72145758 0.75349729 0.76692238 0.72969314]";65.4$\pm$2.15;"[0.63966606 0.64857852 0.62894856 0.65060921 0.6775722  0.61608755
 0.67621841 0.68919224 0.65681408 0.65636282]";72.43$\pm$1.65;"[0.70916065 0.73059567 0.74447202 0.70995036 0.74435921 0.69776625
 0.7471796  0.72879061 0.71130415 0.71953971]";73.14$\pm$1.69;"[0.7258574  0.72811372 0.71265794 0.69923285 0.74334386 0.72709838
 0.75609206 0.75609206 0.72901625 0.73691336]";63.45$\pm$1.91;"[0.61834386 0.62342058 0.64666065 0.62206679 0.64192238 0.59465253
 0.63233303 0.65489621 0.65805505 0.65286552]";58.87$\pm$3.03;"[0.60412906 0.54986462 0.59521661 0.63109206 0.63109206 0.53170126
 0.5859657  0.56983303 0.58551444 0.6030009 ]";68.06$\pm$1.73;"[0.67768502 0.67678249 0.69280235 0.6512861  0.67678249 0.65602437
 0.68795126 0.70837094 0.67576715 0.70261733]";51.33$\pm$2.0;"[0.52989621 0.51737365 0.49593863 0.50327166 0.49751805 0.47269856
 0.54399819 0.53170126 0.52391697 0.51692238]";69.87$\pm$2.49;"[0.67159296 0.68896661 0.70521209 0.66708032 0.73747744 0.65974729
 0.72190884 0.71277076 0.70024819 0.72224729]";60.11$\pm$3.22;"[0.58009928 0.60390343 0.59047834 0.56847924 0.63752256 0.53068592
 0.62263087 0.63560469 0.6256769  0.61608755]";65.75$\pm$2.62;"[0.63233303 0.65794224 0.65940884 0.66279332 0.71074007 0.60198556
 0.66200361 0.66301895 0.67170578 0.65331679]";76.12$\pm$1.74;"[0.77324007 0.75733303 0.73747744 0.76771209 0.78046029 0.72461643
 0.75575361 0.78215253 0.76974278 0.76365072]";72.86$\pm$2.17;"[0.72032942 0.71829874 0.72427798 0.71277076 0.73702617 0.67926444
 0.75022563 0.75857401 0.7400722  0.74492329]";68.64$\pm$2.04;"[0.68377708 0.6590704  0.70081227 0.66888538 0.72845217 0.66143953
 0.70430957 0.69596119 0.68118231 0.67982852]";70.13$\pm$1.43;"[0.70205325 0.70476083 0.71288357 0.68479242 0.71231949 0.6853565
 0.67362365 0.7137861  0.70408394 0.71953971]";71.03$\pm$1.26;"[0.7066787  0.72845217 0.71886282 0.69979693 0.72969314 0.69550993
 0.69539711 0.71796029 0.69686372 0.71344765]";71.03$\pm$2.1;"[0.7237139  0.69268953 0.68919224 0.69144856 0.73973375 0.68197202
 0.71243231 0.7023917  0.7258574  0.74379513]"
ROCAUC;73.65$\pm$0.32;"[0.73760642 0.73900884 0.73457053 0.73481361 0.73819693 0.73353055
 0.7439579  0.73666102 0.73350957 0.73305734]";97.61$\pm$0.12;"[0.97861182 0.97571803 0.97722941 0.97473876 0.97697144 0.97524416
 0.97533567 0.97505077 0.97654553 0.975533  ]";96.64$\pm$0.12;"[0.96601527 0.96873442 0.96628094 0.96521757 0.96646892 0.96661059
 0.96447458 0.96537562 0.967526   0.96745218]";73.65$\pm$0.32;"[0.73760642 0.73900884 0.73457053 0.73481361 0.73819693 0.73353055
 0.7439579  0.73666102 0.73350957 0.73305734]";97.4$\pm$0.1;"[0.97514626 0.97391753 0.97367007 0.97304296 0.97457945 0.97212825
 0.97396556 0.97498995 0.97507133 0.97299774]";97.51$\pm$0.1;"[0.97517458 0.97486483 0.9747361  0.97416646 0.97552733 0.97343087
 0.97614344 0.9743958  0.9771696  0.97560092]";97.56$\pm$0.16;"[0.97878125 0.9757897  0.97667719 0.97330779 0.97515201 0.97435126
 0.97640999 0.97595237 0.97623881 0.97330354]";73.65$\pm$0.32;"[0.73760642 0.73900884 0.73457053 0.73481361 0.73819693 0.73353055
 0.7439579  0.73666102 0.73350957 0.73305734]";96.93$\pm$0.07;"[0.96985554 0.96941651 0.96933308 0.96906517 0.96954467 0.96852388
 0.96838348 0.96830417 0.97082538 0.96931556]";97.62$\pm$0.11;"[0.9760966  0.97575298 0.97728883 0.97575876 0.97805804 0.97358856
 0.97715381 0.97679896 0.97593936 0.97604829]";96.89$\pm$0.2;"[0.97032854 0.9722082  0.96973427 0.9667416  0.967667   0.96536393
 0.96770676 0.96985673 0.97117771 0.96860109]";97.32$\pm$0.11;"[0.97397995 0.97251289 0.97112857 0.97336727 0.97433944 0.97240255
 0.97370302 0.97299532 0.97497684 0.97246787]";96.66$\pm$0.19;"[0.96615663 0.96365021 0.96405258 0.96829993 0.96752688 0.96699654
 0.96961863 0.9647886  0.96808217 0.96725611]";96.24$\pm$0.22;"[0.96322616 0.96584517 0.96407906 0.95867505 0.96440066 0.96220438
 0.95979791 0.96398538 0.9599989  0.96172918]";95.86$\pm$0.13;"[0.96006288 0.95917538 0.95688642 0.95811605 0.9600739  0.95725462
 0.95828531 0.95827331 0.96068464 0.95728156]";97.09$\pm$0.2;"[0.97297229 0.96949635 0.96950996 0.97151055 0.97482593 0.9682181
 0.97220716 0.96890331 0.97156307 0.96978958]";97.29$\pm$0.13;"[0.9750764  0.97371808 0.97418065 0.97220512 0.97237695 0.97060933
 0.97260623 0.97170474 0.97383068 0.97244141]";93.84$\pm$0.23;"[0.93849443 0.934881   0.93814318 0.93972923 0.93995828 0.93721681
 0.93709078 0.93833308 0.94382592 0.93611841]";97.48$\pm$0.08;"[0.97406585 0.97544702 0.97436832 0.97323446 0.97580942 0.97424593
 0.97605703 0.97456178 0.97548982 0.9748312 ]";96.22$\pm$0.15;"[0.96049796 0.96051076 0.96172604 0.96157357 0.96451751 0.96161646
 0.96423253 0.96410268 0.96256728 0.96094808]";97.36$\pm$0.11;"[0.97383264 0.97393511 0.97243452 0.97350721 0.97524466 0.97236571
 0.97526825 0.97231705 0.97450575 0.97292111]";97.46$\pm$0.13;"[0.97619941 0.97564772 0.97391143 0.97336227 0.97329289 0.97229496
 0.97500061 0.97633296 0.97564018 0.97413374]";96.39$\pm$0.11;"[0.96532386 0.96271819 0.96355723 0.9620509  0.96463294 0.96276236
 0.96460687 0.9647905  0.96487561 0.96409713]";97.12$\pm$0.09;"[0.97134384 0.96955039 0.9702931  0.97026394 0.97182645 0.9707286
 0.97195785 0.97209204 0.97180703 0.97222693]";97.44$\pm$0.11;"[0.97514949 0.97435218 0.97630544 0.97357182 0.9748753  0.97321667
 0.97329581 0.97314962 0.9760625  0.97378125]";97.85$\pm$0.1;"[0.97895886 0.97960113 0.97912788 0.97783715 0.97986509 0.97697717
 0.97687768 0.97823407 0.97831731 0.97913523]";96.39$\pm$0.17;"[0.96541183 0.9637765  0.96179129 0.9636452  0.96560558 0.96190865
 0.96171803 0.96389131 0.96726841 0.9641402 ]"
AP;78.84$\pm$0.35;"[0.79023639 0.79365899 0.78943253 0.78557426 0.78920822 0.78474885
 0.79477292 0.78625074 0.78507377 0.78516703]";97.64$\pm$0.14;"[0.97963782 0.97549822 0.9771596  0.97465121 0.97767948 0.97548443
 0.97556717 0.97548876 0.97691264 0.97564186]";96.87$\pm$0.14;"[0.9683875  0.97148513 0.96763397 0.96693523 0.96938153 0.96720689
 0.96744724 0.96869304 0.97006848 0.97014014]";78.84$\pm$0.35;"[0.79023639 0.79365899 0.78943253 0.78557426 0.78920822 0.78474885
 0.79477292 0.78625074 0.78507377 0.78516703]";97.48$\pm$0.12;"[0.97597713 0.9750815  0.97455726 0.97368522 0.97582122 0.97213566
 0.97468797 0.97622803 0.97593281 0.97399417]";97.48$\pm$0.13;"[0.97444875 0.97495938 0.97369294 0.97422085 0.97626011 0.97189485
 0.97500573 0.97497086 0.976772   0.97541528]";97.54$\pm$0.17;"[0.97828501 0.97506399 0.97674406 0.97356472 0.97460861 0.97255003
 0.9767694  0.97615393 0.97655086 0.97350553]";78.84$\pm$0.35;"[0.79023639 0.79365899 0.78943253 0.78557426 0.78920822 0.78474885
 0.79477292 0.78625074 0.78507377 0.78516703]";97.15$\pm$0.08;"[0.97208955 0.97247744 0.97121303 0.97141216 0.9714208  0.96989831
 0.9712809  0.97119629 0.97307486 0.97127678]";97.77$\pm$0.13;"[0.97739712 0.97773868 0.97859604 0.97738683 0.98000199 0.97440224
 0.97809857 0.9780845  0.97725845 0.97788983]";97.3$\pm$0.18;"[0.9746594  0.97581117 0.97323309 0.97088029 0.97255136 0.96989571
 0.97195542 0.97376397 0.97503574 0.97270876]";97.25$\pm$0.15;"[0.97295647 0.97244162 0.9697367  0.97268675 0.97448738 0.97032897
 0.97324116 0.97354526 0.97419757 0.97185424]";97.12$\pm$0.11;"[0.97098368 0.96928415 0.97023588 0.97193156 0.97259308 0.97043224
 0.97327799 0.97031927 0.97168975 0.97126778]";96.9$\pm$0.15;"[0.96932047 0.97148838 0.97041848 0.96621683 0.97049439 0.9684232
 0.96768656 0.97001957 0.96745448 0.96868632]";96.37$\pm$0.12;"[0.96426826 0.9643592  0.96311227 0.96256756 0.96463534 0.96082359
 0.96390638 0.96376271 0.96552133 0.9637203 ]";96.92$\pm$0.22;"[0.97157778 0.96762626 0.96812268 0.97041572 0.97326726 0.96521304
 0.97051258 0.96767951 0.96934374 0.96825432]";97.34$\pm$0.14;"[0.97517107 0.97433049 0.9748893  0.9722253  0.97345381 0.9700883
 0.9738356  0.97324269 0.97328986 0.97328857]";94.55$\pm$0.21;"[0.94432859 0.94228602 0.94415774 0.94653815 0.94705573 0.94290331
 0.94650581 0.94723225 0.94947852 0.94466881]";97.55$\pm$0.14;"[0.97523956 0.97639102 0.9752703  0.97306896 0.97707712 0.97324918
 0.97702126 0.97626859 0.97649016 0.97541934]";96.32$\pm$0.18;"[0.96123058 0.96210847 0.96320424 0.96160416 0.96589425 0.96088106
 0.96560814 0.96570817 0.96342014 0.96233998]";97.34$\pm$0.15;"[0.97341108 0.97406219 0.97228383 0.97347523 0.97547008 0.97031142
 0.97532917 0.97295058 0.97427926 0.97248669]";97.79$\pm$0.14;"[0.97971811 0.97868363 0.97788571 0.9770322  0.97739873 0.97469299
 0.97816413 0.9795301  0.97824509 0.97726661]";96.99$\pm$0.11;"[0.97101437 0.96902076 0.96920542 0.96881304 0.97099738 0.96763875
 0.97092372 0.9708145  0.97049457 0.96994418]";97.27$\pm$0.11;"[0.97293759 0.97167822 0.97089408 0.97180142 0.9740961  0.97131399
 0.9739506  0.9739887  0.97312703 0.97347334]";97.52$\pm$0.11;"[0.97578152 0.97531676 0.97681524 0.97447881 0.97537027 0.9728729
 0.97446885 0.97522612 0.97669639 0.97480438]";97.83$\pm$0.12;"[0.97980652 0.97966875 0.97877417 0.9777058  0.97927004 0.97563915
 0.97703462 0.97841193 0.97876544 0.97828689]";96.88$\pm$0.16;"[0.97067869 0.96890274 0.96682028 0.96839545 0.97036104 0.96609865
 0.96743552 0.96876868 0.97123593 0.96902048]"
pretrain_time;nan$\pm$nan;[];19.37$\pm$0.36;"[19.09550953 19.12534666 19.64394569 19.15572786 19.24387908 19.42261887
 20.15649033 19.74297118 19.2809732  18.85982132]";31.76$\pm$1.5;"[30.07089186 29.35558081 31.57206488 33.13531995 33.03537989 29.87792182
 32.29082775 31.30169487 33.69385099 33.30943179]";nan$\pm$nan;[];66.87$\pm$3.01;"[66.95664644 67.21444559 70.9879806  62.83061838 68.70020032 67.18094015
 63.52517104 62.36892009 67.35178828 71.57030559]";192.77$\pm$9.18;"[188.47940993 189.65791869 184.37370992 195.28894281 184.88723946
 194.03039336 196.87709904 178.95972323 203.76418185 211.36910415]";377.24$\pm$8.71;"[367.92520738 381.66285586 377.59024811 384.63420701 381.92141843
 359.03608584 387.24006796 377.17242622 369.11930466 386.11169076]";nan$\pm$nan;[];32.11$\pm$1.56;"[31.4568882  30.83263707 31.61940432 32.08075714 36.49487638 31.7123518
 30.9809227  32.11162758 32.67316222 31.12245131]";146.56$\pm$0.1;"[146.8170929  146.62958407 146.49707627 146.42616153 146.57062125
 146.5696106  146.48961806 146.59000731 146.5636034  146.49507308]";168.39$\pm$1.65;"[170.34493136 167.26627731 170.67965102 166.03446412 166.36561751
 166.9614265  169.57517171 168.93169093 167.61116266 170.11106873]";173.64$\pm$3.44;"[175.27957368 177.56097221 179.08969951 172.94467425 173.92206407
 170.17088509 169.12403083 169.92391133 170.80713701 177.57144189]";352.41$\pm$5.56;"[344.47395897 348.04533935 364.08894396 348.02392077 358.24008441
 351.36098719 349.49698305 349.96420598 353.40716743 357.02110362]";61.17$\pm$3.82;"[65.5259347  69.57007694 64.43649745 59.47330666 59.43912077 57.91312289
 58.55614519 57.42700863 58.31620097 61.05067086]";152.71$\pm$0.91;"[150.38029432 152.65796995 152.94455767 153.02977896 152.47152543
 153.09616613 154.11600971 153.04629755 152.22069597 153.10306621]";38.93$\pm$0.56;"[39.21176386 39.87107754 39.72803426 37.98008776 38.79341125 38.28662038
 39.10041237 38.62692595 39.02994585 38.63031054]";169.05$\pm$6.97;"[156.04052639 176.34751558 162.63555813 179.92670679 165.78125763
 164.77240896 166.99449682 177.26940131 169.97316551 170.71829319]";30.37$\pm$1.35;"[29.60939932 29.83313155 29.53117108 31.34378242 34.00290966 30.55878139
 29.41874814 29.21341658 30.07014799 30.12700272]";359.11$\pm$5.76;"[352.06514382 364.89927649 349.83567476 364.85691309 357.04126859
 363.70101929 357.07084584 363.21464849 352.74594092 365.65186238]";216.67$\pm$7.3;"[208.22986078 212.97105503 220.26991796 215.31577873 224.0677526
 221.97062492 210.49216247 232.12820864 210.92385387 210.3080821 ]";50.57$\pm$2.28;"[49.64964509 49.73344636 47.99325657 50.99910808 49.42736244 50.40518522
 57.00442266 49.92115998 49.98312831 50.58951235]";105.87$\pm$3.57;"[103.98980427 101.97833729 114.21264625 105.22380853 103.45187855
 102.54655361 103.51519394 107.73109555 106.61670113 109.40471339]";382.77$\pm$7.37;"[386.01536965 373.48826194 387.65685582 385.93259788 379.58455324
 367.6997571  382.22247529 382.30828166 387.77660179 395.03575802]";62.64$\pm$2.04;"[65.30767059 65.69249344 64.32696915 64.8222971  60.37916231 61.21404338
 61.72403383 61.17350984 61.54300475 60.17173553]";175.5$\pm$4.31;"[167.40145278 167.92373037 176.92461967 177.99609041 179.48533416
 176.35153961 172.93041873 179.52984977 177.76166844 178.67076468]";105.81$\pm$0.76;"[105.90368462 106.19063878 106.73306465 105.32231784 105.99904537
 104.99285197 104.79790664 104.71853232 106.73575807 106.69769835]";47.22$\pm$0.89;"[49.07302117 46.66756368 47.63473201 46.13785625 47.02115536 46.92482591
 46.78286552 46.495327   46.8689599  48.56665254]"
