metrics;infomap_prob_pred_mean;infomap_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;louvain_prob_pred_mean;louvain_prob_pred;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast;leiden_prob_pred_mean;leiden_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast2;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast2;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+deg;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+evc;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+pr;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+scom;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast2
Hits@20;45.46$\pm$2.97;"[0.43317536 0.3971564  0.46919431 0.47772512 0.47677725 0.45308057
 0.41706161 0.49668246 0.47867299 0.4464455 ]";56.82$\pm$2.41;"[0.54691943 0.51848341 0.56872038 0.58009479 0.58578199 0.60758294
 0.5450237  0.57061611 0.58672986 0.57156398]";45.46$\pm$2.97;"[0.43317536 0.3971564  0.46919431 0.47772512 0.47677725 0.45308057
 0.41706161 0.49668246 0.47867299 0.4464455 ]";51.19$\pm$6.63;"[0.43601896 0.55924171 0.40473934 0.60947867 0.44549763 0.47772512
 0.52037915 0.52701422 0.60473934 0.53459716]";54.21$\pm$3.91;"[0.53649289 0.54881517 0.54597156 0.56492891 0.46824645 0.56587678
 0.492891   0.62085308 0.53649289 0.54028436]";58.32$\pm$4.01;"[0.50521327 0.54123223 0.59336493 0.57819905 0.56682464 0.57914692
 0.6        0.6521327  0.63601896 0.58009479]";56.11$\pm$3.37;"[0.5450237  0.52227488 0.59905213 0.61137441 0.52132701 0.57914692
 0.52606635 0.57061611 0.60189573 0.53459716]";60.86$\pm$2.94;"[0.60473934 0.58862559 0.61990521 0.65781991 0.55829384 0.57156398
 0.6        0.64075829 0.63412322 0.61042654]";50.09$\pm$4.77;"[0.44834123 0.44549763 0.53649289 0.54028436 0.43507109 0.56492891
 0.48056872 0.56872038 0.51184834 0.47677725]";45.46$\pm$2.97;"[0.43317536 0.3971564  0.46919431 0.47772512 0.47677725 0.45308057
 0.41706161 0.49668246 0.47867299 0.4464455 ]";56.57$\pm$4.31;"[0.51374408 0.63601896 0.53649289 0.57914692 0.48436019 0.59336493
 0.59052133 0.60663507 0.56587678 0.5507109 ]";49.7$\pm$4.73;"[0.44739336 0.51753555 0.507109   0.45781991 0.39336493 0.54881517
 0.5563981  0.51848341 0.507109   0.51563981]";59.09$\pm$4.1;"[0.5563981  0.58672986 0.63601896 0.64834123 0.4985782  0.58483412
 0.60094787 0.62085308 0.56966825 0.60663507]";48.1$\pm$4.65;"[0.38672986 0.46161137 0.4957346  0.47109005 0.48151659 0.5450237
 0.48341232 0.56208531 0.44454976 0.47867299]";52.99$\pm$4.44;"[0.49004739 0.58672986 0.48720379 0.58388626 0.52890995 0.54218009
 0.45687204 0.59336493 0.50616114 0.52322275]";42.99$\pm$5.13;"[0.42369668 0.42085308 0.49194313 0.42369668 0.39905213 0.51184834
 0.35545024 0.492891   0.41990521 0.35924171]";45.0$\pm$4.0;"[0.43601896 0.47298578 0.4        0.48341232 0.40663507 0.51848341
 0.46635071 0.492891   0.41137441 0.41137441]";54.6$\pm$4.08;"[0.54312796 0.48056872 0.54312796 0.61800948 0.50805687 0.56587678
 0.49478673 0.56872038 0.59241706 0.5450237 ]";50.0$\pm$2.93;"[0.49668246 0.49478673 0.52511848 0.53364929 0.47203791 0.47962085
 0.49668246 0.55734597 0.49099526 0.45308057]";51.47$\pm$3.17;"[0.47677725 0.47582938 0.5014218  0.57725118 0.5042654  0.49004739
 0.5042654  0.5535545  0.53744076 0.52606635]";52.03$\pm$4.07;"[0.50616114 0.49478673 0.6028436  0.53364929 0.46066351 0.54976303
 0.46445498 0.54028436 0.50616114 0.54407583]";65.24$\pm$2.45;"[0.61137441 0.64454976 0.67393365 0.70521327 0.63981043 0.63601896
 0.63412322 0.66635071 0.66066351 0.6521327 ]";50.21$\pm$3.7;"[0.45876777 0.52132701 0.53364929 0.52037915 0.47488152 0.51563981
 0.45781991 0.57630332 0.46066351 0.5014218 ]";55.7$\pm$2.69;"[0.51469194 0.55924171 0.5507109  0.56777251 0.53838863 0.58199052
 0.55260664 0.61042654 0.52227488 0.57156398]";61.88$\pm$3.79;"[0.56018957 0.64549763 0.67867299 0.62559242 0.59905213 0.57630332
 0.57914692 0.64834123 0.66255924 0.61232227]";50.84$\pm$2.81;"[0.52227488 0.53459716 0.4957346  0.51943128 0.4436019  0.53175355
 0.47488152 0.53364929 0.50521327 0.52322275]";60.19$\pm$3.05;"[0.61421801 0.57251185 0.63127962 0.62464455 0.58862559 0.53270142
 0.62748815 0.60853081 0.63317536 0.58578199]"
Hits@50;54.66$\pm$1.49;"[0.53459716 0.54597156 0.56492891 0.57156398 0.55260664 0.51753555
 0.53933649 0.53554502 0.54976303 0.55450237]";69.87$\pm$1.57;"[0.67677725 0.67582938 0.70521327 0.71563981 0.71184834 0.71658768
 0.6957346  0.68720379 0.71658768 0.68530806]";54.66$\pm$1.49;"[0.53459716 0.54597156 0.56492891 0.57156398 0.55260664 0.51753555
 0.53933649 0.53554502 0.54976303 0.55450237]";67.85$\pm$3.2;"[0.61421801 0.72227488 0.68246445 0.71469194 0.66255924 0.6464455
 0.65402844 0.69194313 0.70236967 0.69383886]";71.61$\pm$2.9;"[0.65876777 0.74123223 0.70995261 0.72227488 0.71943128 0.72417062
 0.70521327 0.77725118 0.70521327 0.69763033]";73.73$\pm$2.35;"[0.68436019 0.72322275 0.74312796 0.72511848 0.72606635 0.74123223
 0.7478673  0.77251185 0.76587678 0.74312796]";68.3$\pm$1.5;"[0.67014218 0.65687204 0.69763033 0.71184834 0.68436019 0.68530806
 0.68909953 0.66919431 0.69099526 0.67488152]";72.54$\pm$2.05;"[0.70995261 0.70236967 0.7535545  0.75545024 0.707109   0.69668246
 0.73554502 0.73838863 0.73933649 0.71563981]";69.14$\pm$2.65;"[0.63601896 0.68815166 0.70236967 0.7014218  0.6985782  0.71563981
 0.65781991 0.73175355 0.7042654  0.67772512]";54.66$\pm$1.49;"[0.53459716 0.54597156 0.56492891 0.57156398 0.55260664 0.51753555
 0.53933649 0.53554502 0.54976303 0.55450237]";72.52$\pm$2.63;"[0.69952607 0.7478673  0.72701422 0.76303318 0.72511848 0.71184834
 0.69478673 0.75734597 0.74312796 0.68246445]";68.46$\pm$3.4;"[0.6549763  0.68246445 0.73933649 0.70805687 0.61421801 0.68341232
 0.707109   0.69194313 0.71090047 0.65402844]";73.55$\pm$2.34;"[0.72701422 0.73080569 0.77725118 0.75165877 0.69383886 0.7014218
 0.73744076 0.7507109  0.75165877 0.73364929]";65.96$\pm$2.6;"[0.62274882 0.63981043 0.66066351 0.63127962 0.65876777 0.7014218
 0.66066351 0.70236967 0.67677725 0.64170616]";71.01$\pm$1.99;"[0.70236967 0.72511848 0.71848341 0.71374408 0.7042654  0.69952607
 0.65876777 0.72417062 0.72701422 0.72796209]";59.66$\pm$4.76;"[0.59905213 0.53080569 0.65118483 0.6        0.57345972 0.63317536
 0.53554502 0.66066351 0.6436019  0.53838863]";64.61$\pm$2.57;"[0.61611374 0.67488152 0.6464455  0.66919431 0.62180095 0.65023697
 0.60379147 0.68815166 0.63601896 0.65402844]";71.82$\pm$2.66;"[0.71943128 0.66445498 0.73175355 0.72985782 0.73270142 0.73933649
 0.67203791 0.71753555 0.72417062 0.7507109 ]";67.31$\pm$2.3;"[0.64549763 0.67203791 0.69194313 0.67203791 0.66729858 0.67203791
 0.64075829 0.72037915 0.69478673 0.65402844]";67.12$\pm$2.2;"[0.64834123 0.68436019 0.68720379 0.69478673 0.66824645 0.62843602
 0.65308057 0.69952607 0.68720379 0.66066351]";70.13$\pm$3.7;"[0.68436019 0.69194313 0.79526066 0.69763033 0.66919431 0.7014218
 0.65687204 0.73364929 0.7014218  0.68151659]";77.83$\pm$1.62;"[0.77630332 0.77535545 0.80379147 0.78957346 0.76303318 0.77725118
 0.77345972 0.78672986 0.7943128  0.74312796]";67.63$\pm$3.14;"[0.68151659 0.66161137 0.71279621 0.6985782  0.66350711 0.61042654
 0.64265403 0.72037915 0.68530806 0.68625592]";70.39$\pm$2.32;"[0.67772512 0.69383886 0.72132701 0.70236967 0.67582938 0.69194313
 0.68246445 0.73364929 0.7478673  0.71184834]";74.4$\pm$2.89;"[0.70047393 0.74691943 0.78293839 0.77156398 0.72701422 0.69004739
 0.76113744 0.76113744 0.76208531 0.73649289]";67.97$\pm$2.61;"[0.68151659 0.69763033 0.71090047 0.67488152 0.66350711 0.66445498
 0.64170616 0.73459716 0.66066351 0.66729858]";72.62$\pm$1.5;"[0.74312796 0.70047393 0.73175355 0.73270142 0.73459716 0.6957346
 0.73080569 0.72985782 0.73933649 0.72322275]"
Hits@100;56.87$\pm$1.58;"[0.5563981  0.56303318 0.58483412 0.6        0.58009479 0.54123223
 0.56208531 0.55734597 0.57251185 0.56966825]";78.16$\pm$1.95;"[0.79052133 0.73364929 0.78957346 0.80473934 0.76872038 0.78104265
 0.79905213 0.77440758 0.79810427 0.77630332]";56.87$\pm$1.58;"[0.5563981  0.56303318 0.58483412 0.6        0.58009479 0.54123223
 0.56208531 0.55734597 0.57251185 0.56966825]";78.36$\pm$1.14;"[0.76777251 0.78672986 0.76587678 0.7943128  0.78388626 0.77725118
 0.78483412 0.77630332 0.79905213 0.8       ]";82.17$\pm$1.8;"[0.79905213 0.82369668 0.84075829 0.83033175 0.78862559 0.82938389
 0.8028436  0.84834123 0.82559242 0.82843602]";83.83$\pm$1.1;"[0.83507109 0.82748815 0.85118483 0.83791469 0.81990521 0.84549763
 0.82464455 0.8492891  0.85308057 0.83886256]";76.43$\pm$1.59;"[0.74976303 0.72985782 0.76777251 0.78672986 0.78483412 0.75734597
 0.76872038 0.75734597 0.77061611 0.76966825]";80.71$\pm$1.25;"[0.79336493 0.79336493 0.82180095 0.81611374 0.78862559 0.79526066
 0.81042654 0.82369668 0.81137441 0.81706161]";80.76$\pm$1.17;"[0.8        0.81990521 0.81611374 0.82085308 0.8056872  0.78862559
 0.78767773 0.81895735 0.81232227 0.8056872 ]";56.87$\pm$1.58;"[0.5563981  0.56303318 0.58483412 0.6        0.58009479 0.54123223
 0.56208531 0.55734597 0.57251185 0.56966825]";83.18$\pm$1.52;"[0.81611374 0.83412322 0.8549763  0.85308057 0.82559242 0.81137441
 0.81895735 0.85118483 0.82654028 0.82559242]";79.59$\pm$2.15;"[0.77535545 0.79620853 0.82748815 0.81232227 0.77440758 0.78862559
 0.79905213 0.82274882 0.80663507 0.7563981 ]";82.51$\pm$1.58;"[0.80189573 0.82843602 0.85308057 0.84265403 0.80853081 0.81516588
 0.81042654 0.83791469 0.83317536 0.81990521]";80.22$\pm$1.19;"[0.78957346 0.79810427 0.7943128  0.82180095 0.79146919 0.80379147
 0.80663507 0.82559242 0.79336493 0.7971564 ]";81.64$\pm$0.95;"[0.80853081 0.80853081 0.82843602 0.83127962 0.80473934 0.81232227
 0.8056872  0.82369668 0.81516588 0.82559242]";72.71$\pm$3.44;"[0.73364929 0.66066351 0.75734597 0.71848341 0.72985782 0.74123223
 0.692891   0.76398104 0.77819905 0.69478673]";77.01$\pm$1.93;"[0.74597156 0.76872038 0.78483412 0.78862559 0.73080569 0.78009479
 0.75450237 0.79146919 0.78483412 0.77156398]";80.75$\pm$1.91;"[0.81611374 0.78009479 0.82938389 0.8        0.79526066 0.79526066
 0.78483412 0.80473934 0.83222749 0.83696682]";78.16$\pm$1.55;"[0.76966825 0.81042654 0.78767773 0.79526066 0.77345972 0.76492891
 0.76113744 0.80094787 0.77914692 0.77345972]";78.73$\pm$1.6;"[0.76777251 0.80094787 0.81611374 0.79810427 0.77156398 0.77535545
 0.77630332 0.79526066 0.80094787 0.77061611]";80.37$\pm$2.7;"[0.79241706 0.7971564  0.85876777 0.80189573 0.78862559 0.79052133
 0.7563981  0.83507109 0.82274882 0.79336493]";85.27$\pm$1.11;"[0.85402844 0.83791469 0.87393365 0.86066351 0.84170616 0.85023697
 0.85118483 0.86066351 0.85971564 0.83696682]";80.03$\pm$1.71;"[0.78104265 0.77914692 0.81421801 0.81990521 0.8028436  0.78957346
 0.77725118 0.82843602 0.80189573 0.80853081]";79.89$\pm$1.65;"[0.78862559 0.77251185 0.81990521 0.79810427 0.78672986 0.78199052
 0.79052133 0.81516588 0.81895735 0.81611374]";83.3$\pm$1.37;"[0.83317536 0.82274882 0.86066351 0.8464455  0.81895735 0.82085308
 0.82654028 0.85023697 0.82274882 0.82748815]";78.15$\pm$1.36;"[0.77440758 0.77630332 0.7943128  0.78957346 0.79052133 0.76398104
 0.76777251 0.8028436  0.76208531 0.79336493]";80.72$\pm$0.75;"[0.80379147 0.79336493 0.81232227 0.81516588 0.81421801 0.79526066
 0.8056872  0.81421801 0.8056872  0.81232227]"
ROCAUC;75.81$\pm$1.09;"[0.75014524 0.75069024 0.76764044 0.78043979 0.75872689 0.74187642
 0.75629029 0.7465915  0.76410155 0.76434312]";90.24$\pm$0.85;"[0.90560537 0.8797664  0.90355652 0.91035421 0.9010184  0.90515936
 0.89931763 0.90266436 0.91339874 0.90300487]";75.81$\pm$1.09;"[0.75014524 0.75069024 0.76764044 0.78043979 0.75872689 0.74187642
 0.75629029 0.7465915  0.76410155 0.76434312]";92.15$\pm$0.58;"[0.91377285 0.91835493 0.91366861 0.92926035 0.91597898 0.92727477
 0.91753824 0.92641854 0.92490984 0.92732957]";93.23$\pm$0.65;"[0.92848098 0.92975899 0.93871027 0.93554772 0.91942679 0.9371236
 0.92328654 0.94010197 0.93456658 0.93576649]";94.07$\pm$0.46;"[0.93656304 0.933935   0.94470115 0.93858808 0.93778756 0.93778576
 0.93832663 0.94503268 0.94714785 0.94719076]";89.06$\pm$0.93;"[0.88385028 0.87123874 0.89031064 0.90468228 0.89611195 0.88395858
 0.89734732 0.88698726 0.90095057 0.89096202]";91.9$\pm$0.53;"[0.91680981 0.90931381 0.9233674  0.92161362 0.91331911 0.91638103
 0.91613935 0.92844545 0.92306537 0.92182071]";92.4$\pm$0.36;"[0.92029551 0.91950136 0.92817232 0.92908605 0.92583635 0.92109252
 0.91939983 0.92717774 0.9230213  0.92628018]";75.81$\pm$1.09;"[0.75014524 0.75069024 0.76764044 0.78043979 0.75872689 0.74187642
 0.75629029 0.7465915  0.76410155 0.76434312]";93.39$\pm$0.44;"[0.9278128  0.93024236 0.93971205 0.93864289 0.92883179 0.93039599
 0.9316664  0.93978841 0.93629325 0.93547854]";92.43$\pm$0.54;"[0.91889439 0.92413108 0.93171986 0.9254554  0.9125698  0.9237151
 0.92142135 0.92968082 0.92985692 0.92558029]";93.1$\pm$0.45;"[0.92848953 0.92673031 0.93675614 0.93542463 0.92575638 0.92652905
 0.9272586  0.93282181 0.93898756 0.93124009]";92.59$\pm$0.29;"[0.9238055  0.92066935 0.9254554  0.92841131 0.92643202 0.92717324
 0.92569799 0.93204735 0.92440444 0.92478695]";92.9$\pm$0.37;"[0.92409687 0.92931246 0.92916961 0.93294311 0.92392444 0.93026751
 0.92369444 0.93041396 0.93212362 0.9343977 ]";90.64$\pm$1.02;"[0.90735002 0.89305451 0.92095595 0.91132904 0.90029514 0.91387705
 0.89437075 0.91615013 0.91498781 0.89165472]";90.58$\pm$0.41;"[0.90072754 0.90285034 0.91257204 0.90474652 0.9074913  0.90442533
 0.89974888 0.90435076 0.91031638 0.9104764 ]";91.93$\pm$0.9;"[0.92033778 0.90799668 0.93544889 0.91587161 0.9152665  0.90683857
 0.91446553 0.91845286 0.93148556 0.92730846]";91.45$\pm$0.38;"[0.9116451  0.91275668 0.91786528 0.92061005 0.90655646 0.91785539
 0.91532445 0.91526875 0.91154977 0.91519058]";92.33$\pm$0.45;"[0.92360855 0.92583904 0.925459   0.92560275 0.91836931 0.92169538
 0.92400261 0.93312549 0.9182469  0.91719234]";92.32$\pm$0.73;"[0.92273982 0.91232362 0.93679477 0.92457851 0.91891018 0.92551201
 0.91021226 0.92588756 0.92774715 0.92698412]";93.93$\pm$0.44;"[0.93380397 0.93359359 0.94793019 0.94296624 0.93799016 0.94206509
 0.93396554 0.94001303 0.94013328 0.94076054]";91.92$\pm$0.57;"[0.91246526 0.91284023 0.92435929 0.92787943 0.91298533 0.92332697
 0.91291256 0.92586689 0.91946006 0.92023764]";91.53$\pm$0.54;"[0.90728167 0.90971272 0.91841154 0.91866131 0.91119876 0.91090047
 0.91205049 0.92017969 0.91986474 0.92471822]";92.94$\pm$0.39;"[0.92182073 0.93026167 0.93503111 0.92926754 0.92437097 0.92902046
 0.92692437 0.93453067 0.93153233 0.93095213]";91.1$\pm$0.41;"[0.91661196 0.91061117 0.91109274 0.91086094 0.90769659 0.910334
 0.9097819  0.91642236 0.9018067  0.91465151]";91.48$\pm$0.55;"[0.91704902 0.90759237 0.92540554 0.91836032 0.92101256 0.90886638
 0.91585185 0.91136947 0.90984199 0.91260304]"
AP;82.03$\pm$0.92;"[0.81122573 0.81361503 0.82834411 0.83922895 0.82382434 0.8095887
 0.81455319 0.81106468 0.82561248 0.82567257]";92.14$\pm$0.66;"[0.92078044 0.9050186  0.92046067 0.92899205 0.92016219 0.92645899
 0.9199943  0.9212492  0.93029753 0.92076672]";82.03$\pm$0.92;"[0.81122573 0.81361503 0.82834411 0.83922895 0.82382434 0.8095887
 0.81455319 0.81106468 0.82561248 0.82567257]";92.68$\pm$0.69;"[0.91780382 0.92946222 0.91495975 0.93931273 0.92075122 0.92621137
 0.92629378 0.93114002 0.9322339  0.92986139]";93.56$\pm$0.63;"[0.93275665 0.9377129  0.93782345 0.94169135 0.92625368 0.94132424
 0.92700245 0.94652918 0.93114283 0.93337133]";94.29$\pm$0.38;"[0.93571859 0.93926032 0.94337709 0.94277979 0.94140113 0.94202879
 0.94193909 0.94998481 0.94761544 0.94533973]";91.32$\pm$0.69;"[0.90850743 0.89901219 0.91007004 0.92452569 0.91750832 0.91295176
 0.91790044 0.91166951 0.92087422 0.90909361]";93.23$\pm$0.45;"[0.9300306  0.92665288 0.93310836 0.93765783 0.92694443 0.9292688
 0.93017179 0.94115422 0.93643176 0.93120709]";92.9$\pm$0.45;"[0.9240578  0.92655262 0.93117959 0.93536782 0.93098444 0.93308954
 0.92508269 0.93531222 0.92472837 0.92368474]";82.03$\pm$0.92;"[0.81122573 0.81361503 0.82834411 0.83922895 0.82382434 0.8095887
 0.81455319 0.81106468 0.82561248 0.82567257]";93.93$\pm$0.45;"[0.93363784 0.94205176 0.94196887 0.94457988 0.93320366 0.9367643
 0.93788316 0.94738069 0.94059539 0.93496549]";92.69$\pm$0.54;"[0.92371832 0.92990173 0.92895633 0.93064319 0.91319994 0.92963638
 0.92494864 0.9328856  0.93045495 0.92431305]";93.78$\pm$0.41;"[0.93433785 0.93793532 0.94347676 0.94419706 0.93129722 0.93695303
 0.93422251 0.94147179 0.93994368 0.93423738]";92.77$\pm$0.52;"[0.92428734 0.92203199 0.92431829 0.93084235 0.92887193 0.93493965
 0.92727621 0.93792319 0.92391481 0.92233468]";93.32$\pm$0.46;"[0.92952398 0.93684087 0.93096403 0.9385089  0.93156072 0.93353723
 0.92319739 0.9393387  0.93293824 0.93607988]";90.9$\pm$0.99;"[0.91187197 0.89995302 0.92000193 0.91239148 0.90268629 0.9190292
 0.89394619 0.92214353 0.91278433 0.89503235]";91.38$\pm$0.33;"[0.90941935 0.91751422 0.9163421  0.91788318 0.90880835 0.91395244
 0.91114418 0.91815259 0.91276902 0.91220381]";92.89$\pm$0.62;"[0.92786559 0.92171498 0.93886351 0.92750269 0.92355756 0.92335791
 0.92410183 0.92856261 0.94052945 0.93273893]";92.32$\pm$0.36;"[0.92126635 0.92493546 0.92705705 0.92880997 0.91832896 0.92366251
 0.92142463 0.92783215 0.92028992 0.91866657]";92.81$\pm$0.55;"[0.92708553 0.93019606 0.92946371 0.93342652 0.92642159 0.9244589
 0.92819839 0.93934597 0.92535264 0.91727887]";93.03$\pm$0.62;"[0.92854087 0.92490728 0.94178133 0.93132255 0.92532976 0.93546467
 0.91871642 0.93608489 0.93005033 0.9306863 ]";94.8$\pm$0.35;"[0.94456552 0.9471655  0.95252011 0.95318726 0.94574751 0.94975734
 0.9426691  0.95091144 0.94900429 0.94414937]";92.66$\pm$0.52;"[0.92266501 0.9238703  0.92971114 0.93527886 0.9239927  0.92663235
 0.9183086  0.93581056 0.92520893 0.92457996]";92.75$\pm$0.38;"[0.92264573 0.92375782 0.92757698 0.92989158 0.92459994 0.92599485
 0.92489948 0.93506924 0.92833974 0.93249456]";94.0$\pm$0.35;"[0.93478616 0.94193123 0.94336828 0.9427262  0.93420679 0.94053302
 0.93857062 0.94471348 0.94201228 0.93729605]";92.15$\pm$0.42;"[0.92592315 0.92415213 0.92034622 0.92091592 0.916976   0.92279503
 0.91916467 0.9291429  0.91367712 0.92213264]";93.1$\pm$0.38;"[0.93385627 0.92581693 0.93697391 0.93592105 0.93434612 0.92656299
 0.9301582  0.92989798 0.92901684 0.92792926]"
pretrain_time;nan$\pm$nan;[];19.05$\pm$0.4;"[18.50913715 19.10754514 18.32341123 19.57583475 19.42902875 19.3247478
 18.80223513 19.30436444 18.77646041 19.34642172]";nan$\pm$nan;[];2.53$\pm$0.05;"[2.58972716 2.58538175 2.58942294 2.54824853 2.55620623 2.56204128
 2.49639654 2.47385001 2.46964455 2.46645141]";10.99$\pm$0.28;"[10.72285795 11.45675206 11.3593154  10.79011226 10.87671399 11.32390738
 10.85892987 10.66395879 10.77990866 11.06601429]";43.42$\pm$0.7;"[42.72486711 42.5965116  43.11807275 42.69129801 42.98251557 44.83126211
 44.06573868 44.05648065 43.31663179 43.76680636]";49.28$\pm$0.59;"[49.33699441 50.2174232  48.93682289 48.98937058 48.98310328 48.99760342
 50.6198144  48.81052399 48.87393379 48.99323797]";6.08$\pm$0.04;"[6.1419518  6.05246139 6.05879116 6.06019855 6.07995009 6.0572114
 6.11973143 6.11606932 6.00802732 6.08329654]";1.69$\pm$0.07;"[1.71414113 1.606637   1.50389862 1.69679046 1.71246672 1.72698522
 1.72257209 1.73093987 1.72168756 1.72589183]";nan$\pm$nan;[];2.27$\pm$0.03;"[2.27831173 2.27445126 2.2651751  2.18898153 2.27047491 2.30049205
 2.2703793  2.28512025 2.24496746 2.28742766]";2.54$\pm$0.05;"[2.50829816 2.60547376 2.59156942 2.58472085 2.52676225 2.52256346
 2.56886983 2.43605995 2.52480555 2.57092023]";2.19$\pm$0.06;"[2.2160573  2.15717936 2.28399372 2.12158418 2.1610465  2.13979793
 2.13069367 2.18261743 2.27869105 2.27568197]";3.23$\pm$0.08;"[3.19302988 3.20435929 3.17955232 3.16466188 3.16050577 3.16019988
 3.18352652 3.30682087 3.41939282 3.27805519]";6.14$\pm$0.06;"[6.05251074 6.1509726  6.03604817 6.17727852 6.19841266 6.22237372
 6.15105343 6.15888476 6.12631416 6.11477518]";13.24$\pm$0.42;"[13.93232274 13.88888836 13.83025908 12.94137859 12.98165894 12.96137047
 12.98320913 12.95388579 12.96137357 12.97866082]";32.34$\pm$0.41;"[32.35086942 33.18704319 32.54524779 31.74696636 32.37102151 32.28174877
 32.48542213 32.35231328 32.48392868 31.59322071]";78.17$\pm$0.81;"[76.36066127 78.7086103  78.17378569 77.97735357 77.95420074 78.20519567
 79.64848423 77.56754088 78.76717257 78.31857443]";2.62$\pm$0.09;"[2.56275105 2.75410199 2.74460459 2.5396769  2.56469154 2.67920852
 2.54473376 2.73620677 2.50808358 2.54529452]";45.34$\pm$0.83;"[45.4851954  46.36944723 44.62064981 44.65602136 44.55123925 44.65320659
 46.27928185 46.05524254 44.32064152 46.44168329]";6.33$\pm$0.04;"[6.39687848 6.34589672 6.31648278 6.33395386 6.35342455 6.30602264
 6.40151429 6.3024857  6.2690208  6.31416917]";1.51$\pm$0.01;"[1.50630188 1.51724195 1.51971602 1.50821304 1.50774217 1.51247048
 1.51477027 1.50322771 1.50950789 1.49554229]";17.27$\pm$0.28;"[17.47929287 17.4574964  17.15842342 17.0993464  17.09778571 17.97956777
 17.1240263  17.07583737 17.19808841 17.0115912 ]";17.61$\pm$0.35;"[17.98803425 18.4333477  17.44574213 17.2729187  17.69241643 17.59886789
 17.28985333 17.29606652 17.41355705 17.65548444]";16.02$\pm$0.34;"[16.49337935 15.99413896 16.25205636 16.00968528 15.87832689 15.85496283
 16.69173193 15.66417289 15.50956011 15.85983539]";3.32$\pm$0.06;"[3.29783344 3.31974149 3.39922547 3.33406234 3.31863356 3.25915241
 3.27934313 3.26380873 3.29410815 3.47139359]";2.04$\pm$0.1;"[1.89611793 1.88109326 1.87596035 2.09877515 2.09331608 2.10996175
 2.10496664 2.10117817 2.09983063 2.0958817 ]"
