metrics;csgcl,enc:gcn_bgrl,pred:mlp,random_mean;csgcl,enc:gcn_bgrl,pred:mlp,random;csgcl,enc:gcn_bgrl,pred:mlp,deg_mean;csgcl,enc:gcn_bgrl,pred:mlp,deg;csgcl,enc:gcn_bgrl,pred:mlp,pr_mean;csgcl,enc:gcn_bgrl,pred:mlp,pr;csgcl,enc:gcn_bgrl,pred:mlp,evc_mean;csgcl,enc:gcn_bgrl,pred:mlp,evc;csgcl,enc:gcn_bgrl,pred:mlp,scom_mean;csgcl,enc:gcn_bgrl,pred:mlp,scom;infomap_prob_pred_mean;infomap_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast;louvain_prob_pred_mean;louvain_prob_pred;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat_mean;csgcl,enc:gcn_bgrl,pred:mlp,sbm_fast2_cheat
Hits@20;46.08$\pm$4.15;"[0.44988345 0.45920746 0.47086247 0.45454545 0.45687646 0.52913753
 0.44289044 0.37296037 0.52447552 0.44755245]";48.81$\pm$5.11;"[0.56876457 0.41491841 0.48018648 0.55011655 0.52214452 0.53379953
 0.47552448 0.47319347 0.44289044 0.41958042]";43.36$\pm$4.74;"[0.37529138 0.43822844 0.45454545 0.34965035 0.45687646 0.46853147
 0.44055944 0.4032634  0.52680653 0.42191142]";44.06$\pm$4.83;"[0.37062937 0.46153846 0.54079254 0.44055944 0.44988345 0.43822844
 0.43589744 0.44289044 0.46853147 0.35664336]";46.9$\pm$3.19;"[0.48717949 0.44755245 0.51748252 0.47319347 0.46386946 0.5034965
 0.49417249 0.46620047 0.41258741 0.42424242]";14.71$\pm$2.41;"[0.14452214 0.13519814 0.12587413 0.15151515 0.16550117 0.17715618
 0.13986014 0.10955711 0.12820513 0.19347319]";28.97$\pm$5.39;"[0.28438228 0.35431235 0.21445221 0.27738928 0.35198135 0.34265734
 0.34965035 0.24242424 0.26806527 0.21212121]";14.71$\pm$2.41;"[0.14452214 0.13519814 0.12587413 0.15151515 0.16550117 0.17715618
 0.13986014 0.10955711 0.12820513 0.19347319]";35.48$\pm$2.53;"[0.34265734 0.31235431 0.37762238 0.39393939 0.32634033 0.37995338
 0.34965035 0.34032634 0.37995338 0.34498834]";41.28$\pm$3.03;"[0.41491841 0.38694639 0.38927739 0.44055944 0.43356643 0.4032634
 0.48018648 0.36829837 0.40792541 0.4032634 ]";38.46$\pm$7.63;"[0.45221445 0.31934732 0.28671329 0.44289044 0.26107226 0.4009324
 0.51515152 0.43822844 0.35664336 0.37296037]"
Hits@50;70.09$\pm$2.1;"[0.68997669 0.72261072 0.68531469 0.6993007  0.68764569 0.72727273
 0.72960373 0.67365967 0.67365967 0.72027972]";71.7$\pm$2.12;"[0.73892774 0.71328671 0.73659674 0.72960373 0.70629371 0.72727273
 0.73193473 0.7016317  0.66433566 0.72027972]";71.4$\pm$2.43;"[0.6969697  0.71561772 0.72261072 0.74592075 0.65967366 0.74358974
 0.72494172 0.70862471 0.69463869 0.72727273]";70.96$\pm$3.13;"[0.73193473 0.68298368 0.74358974 0.70629371 0.66200466 0.71561772
 0.71095571 0.69230769 0.67832168 0.77156177]";69.37$\pm$3.29;"[0.71328671 0.66433566 0.71794872 0.74825175 0.68997669 0.68997669
 0.72727273 0.65734266 0.63403263 0.69463869]";35.55$\pm$4.57;"[0.33566434 0.35431235 0.36829837 0.33566434 0.34498834 0.35897436
 0.33566434 0.33799534 0.3006993  0.48251748]";51.59$\pm$2.58;"[0.49184149 0.56410256 0.52447552 0.52214452 0.5034965  0.51515152
 0.54545455 0.47552448 0.52913753 0.48717949]";35.55$\pm$4.57;"[0.33566434 0.35431235 0.36829837 0.33566434 0.34498834 0.35897436
 0.33566434 0.33799534 0.3006993  0.48251748]";54.03$\pm$1.83;"[0.55244755 0.49417249 0.55011655 0.54312354 0.53146853 0.52680653
 0.55710956 0.54079254 0.55944056 0.54778555]";64.41$\pm$2.79;"[0.65034965 0.61072261 0.62703963 0.66899767 0.64102564 0.65967366
 0.6993007  0.63403263 0.5967366  0.65268065]";58.28$\pm$5.7;"[0.63170163 0.53379953 0.57109557 0.5990676  0.46620047 0.57808858
 0.68298368 0.63636364 0.55710956 0.57109557]"
Hits@100;86.34$\pm$2.54;"[0.87878788 0.87645688 0.85780886 0.9020979  0.84615385 0.85547786
 0.86946387 0.82051282 0.82983683 0.8974359 ]";84.99$\pm$2.27;"[0.86247086 0.85780886 0.84615385 0.87179487 0.84149184 0.88111888
 0.86480186 0.80885781 0.81118881 0.85314685]";86.6$\pm$2.57;"[0.8951049  0.85780886 0.87645688 0.8974359  0.83916084 0.8974359
 0.85314685 0.82051282 0.84382284 0.87878788]";86.25$\pm$1.69;"[0.87645688 0.86013986 0.87179487 0.89044289 0.82750583 0.86013986
 0.86013986 0.85780886 0.84382284 0.87645688]";83.47$\pm$2.03;"[0.84149184 0.83216783 0.83682984 0.86946387 0.83449883 0.82983683
 0.85780886 0.82517483 0.78787879 0.83216783]";58.9$\pm$3.95;"[0.61538462 0.58508159 0.61538462 0.66200466 0.6013986  0.58041958
 0.53146853 0.58041958 0.51748252 0.6013986 ]";72.52$\pm$3.16;"[0.68531469 0.75524476 0.76223776 0.70862471 0.69230769 0.70862471
 0.75757576 0.68065268 0.74125874 0.75990676]";58.9$\pm$3.95;"[0.61538462 0.58508159 0.61538462 0.66200466 0.6013986  0.58041958
 0.53146853 0.58041958 0.51748252 0.6013986 ]";71.61$\pm$2.24;"[0.75524476 0.70862471 0.67132867 0.74125874 0.71328671 0.6993007
 0.71328671 0.7039627  0.73426573 0.72027972]";82.8$\pm$2.43;"[0.86013986 0.82051282 0.84615385 0.85780886 0.7995338  0.83682984
 0.83682984 0.78787879 0.7972028  0.83682984]";79.28$\pm$4.3;"[0.81118881 0.7972028  0.78554779 0.8018648  0.71561772 0.81818182
 0.89044289 0.78088578 0.75990676 0.76689977]"
ROCAUC;88.68$\pm$0.93;"[0.89033422 0.89402109 0.88450101 0.89760434 0.87742858 0.899104
 0.88660872 0.86887567 0.87734255 0.89201142]";88.75$\pm$1.26;"[0.89943545 0.89337843 0.88954426 0.9013209  0.88720023 0.90363017
 0.88367318 0.86138433 0.8724632  0.88255125]";89.15$\pm$1.08;"[0.8868839  0.89486526 0.89897719 0.90349976 0.88157744 0.90528198
 0.88593338 0.86753044 0.89352373 0.89680413]";89.07$\pm$0.77;"[0.89389321 0.89678235 0.90594297 0.89918551 0.87896257 0.88910623
 0.88435396 0.88740387 0.8854114  0.88640176]";87.44$\pm$1.03;"[0.88055922 0.87526959 0.88357515 0.88896496 0.87242812 0.87984743
 0.88133673 0.86261247 0.85313599 0.86652833]";72.7$\pm$2.19;"[0.7364772  0.69723656 0.75288652 0.74857776 0.72874666 0.74526328
 0.73533865 0.71332484 0.68136448 0.7309544 ]";82.22$\pm$1.39;"[0.81672562 0.84114873 0.83461865 0.82236567 0.81249352 0.8253813
 0.83940592 0.7924591  0.82559321 0.81206021]";72.7$\pm$2.19;"[0.7364772  0.69723656 0.75288652 0.74857776 0.72874666 0.74526328
 0.73533865 0.71332484 0.68136448 0.7309544 ]";81.54$\pm$0.97;"[0.82710374 0.80762151 0.81403721 0.83508566 0.80718189 0.8178232
 0.81566564 0.79947934 0.81914899 0.81118336]";87.31$\pm$0.74;"[0.87370206 0.87462693 0.87713766 0.88152097 0.86232347 0.87827712
 0.88328105 0.8604394  0.86614939 0.87382633]";85.45$\pm$2.34;"[0.86523655 0.84788576 0.85586454 0.86756212 0.81792524 0.86847496
 0.90007734 0.86385421 0.82069756 0.83752696]"
AP;87.32$\pm$0.99;"[0.87139413 0.88376909 0.87145425 0.87226148 0.86875854 0.89054134
 0.87908256 0.85085949 0.87455118 0.86976734]";88.06$\pm$1.35;"[0.9048549  0.88063814 0.87731347 0.89258145 0.88129557 0.89823941
 0.87721889 0.86322982 0.866301   0.86467593]";87.47$\pm$1.11;"[0.86538794 0.87631875 0.87497977 0.87706155 0.86301024 0.89471204
 0.87927734 0.85295338 0.88350013 0.87960816]";87.57$\pm$0.72;"[0.86903838 0.88682253 0.88811367 0.88027381 0.86819716 0.87224486
 0.87763351 0.87133479 0.87703092 0.86654689]";87.14$\pm$1.07;"[0.87866874 0.8701678  0.88385253 0.88194483 0.86396217 0.87624581
 0.87978086 0.87162539 0.8589799  0.84843997]";70.39$\pm$2.03;"[0.71050559 0.69035752 0.71812601 0.72356556 0.71315334 0.72166494
 0.70500955 0.67963148 0.65828259 0.71903891]";80.4$\pm$1.77;"[0.79831248 0.83369507 0.80389174 0.80518129 0.80973423 0.81481622
 0.81806217 0.77314069 0.80917413 0.77422667]";70.39$\pm$2.03;"[0.71050559 0.69035752 0.71812601 0.72356556 0.71315334 0.72166494
 0.70500955 0.67963148 0.65828259 0.71903891]";81.6$\pm$1.07;"[0.82120983 0.8015159  0.81753377 0.83468547 0.81036084 0.82273964
 0.82048337 0.79759701 0.82414257 0.80931398]";85.89$\pm$1.05;"[0.84901459 0.86352468 0.85677044 0.85926715 0.85576381 0.86580968
 0.88356909 0.84231338 0.85367699 0.85902181]";84.36$\pm$2.78;"[0.86682342 0.8357646  0.83402193 0.86452367 0.78438257 0.85935506
 0.89072099 0.8470288  0.82238027 0.83134636]"
pretrain_time;1.79$\pm$0.01;"[1.81304574 1.79415441 1.79066515 1.77157974 1.77918053 1.78473687
 1.79110026 1.7829442  1.81019425 1.79075217]";16.13$\pm$0.07;"[16.05038667 16.04630494 16.11882544 16.22085571 16.04858327 16.23295999
 16.18268919 16.18722057 16.06029797 16.1552031 ]";8.64$\pm$0.04;"[8.62217617 8.56172657 8.66261411 8.61983657 8.63861036 8.62338853
 8.63503504 8.68126845 8.69469643 8.6388588 ]";1.57$\pm$0.0;"[1.57445192 1.56117916 1.57093048 1.57825637 1.5684576  1.57695603
 1.57192302 1.57624984 1.56993866 1.57560086]";13.82$\pm$0.08;"[13.72513986 13.89700222 13.95637512 13.80968213 13.76345754 13.74302506
 13.82366824 13.76788425 13.72775006 13.94450498]";nan$\pm$nan;[];37.31$\pm$0.18;"[37.42913508 37.30898404 37.27330804 37.4295373  37.04832911 36.94681358
 37.42566419 37.60280585 37.39411831 37.26443624]";nan$\pm$nan;[];1.04$\pm$0.03;"[1.03088403 1.03682256 1.02764487 1.043257   1.01256013 1.04179144
 1.01813221 1.01255536 1.10482526 1.02867699]";1.64$\pm$0.06;"[1.61345434 1.61350203 1.6131134  1.6321075  1.61080146 1.77814507
 1.73636365 1.61792207 1.61722946 1.58906198]";15.87$\pm$0.14;"[16.23208785 15.7048049  15.76658654 15.87063313 15.89254308 15.88063097
 15.90006876 15.78332162 15.78573918 15.90874457]"
